,Day-ahead demand forecast
20191102T02Z,2617
20191102T01Z,2675
20191102T00Z,2667
20191101T23Z,2598
20191101T22Z,2518
20191101T21Z,2477
20191101T20Z,2454
20191101T19Z,2420
20191101T18Z,2404
20191101T17Z,2402
20191101T16Z,2440
20191101T15Z,2485
20191101T14Z,2527
20191101T13Z,2580
20191101T12Z,2594
20191101T11Z,2484
20191101T10Z,2188
20191101T09Z,2026
20191101T08Z,1976
20191101T07Z,1975
20191101T06Z,1997
20191101T05Z,2059
20191101T04Z,2311
20191101T03Z,2508
20191101T02Z,2726
20191101T01Z,2902
20191101T00Z,3022
20191031T23Z,3058
20191031T22Z,3113
20191031T21Z,3200
20191031T20Z,3195
20191031T19Z,3131
20191031T18Z,3083
20191031T17Z,2961
20191031T16Z,2851
20191031T15Z,2735
20191031T14Z,2625
20191031T13Z,2520
20191031T12Z,2488
20191031T11Z,2405
20191031T10Z,2153
20191031T09Z,2064
20191031T08Z,2036
20191031T07Z,2050
20191031T06Z,2099
20191031T05Z,2183
20191031T04Z,2292
20191031T03Z,2468
20191031T02Z,2645
20191031T01Z,2787
20191031T00Z,2850
20191030T23Z,2803
20191030T22Z,2793
20191030T21Z,2801
20191030T20Z,2786
20191030T19Z,2746
20191030T18Z,2693
20191030T17Z,2640
20191030T16Z,2593
20191030T15Z,2539
20191030T14Z,2471
20191030T13Z,2416
20191030T12Z,2408
20191030T11Z,2329
20191030T10Z,2086
20191030T09Z,1975
20191030T08Z,1950
20191030T07Z,1963
20191030T06Z,2012
20191030T05Z,2090
20191030T04Z,2245
20191030T03Z,2409
20191030T02Z,2578
20191030T01Z,2722
20191030T00Z,2800
20191029T23Z,2762
20191029T22Z,2751
20191029T21Z,2765
20191029T20Z,2753
20191029T19Z,2729
20191029T18Z,2707
20191029T17Z,2655
20191029T16Z,2594
20191029T15Z,2533
20191029T14Z,2480
20191029T13Z,2431
20191029T12Z,2408
20191029T11Z,2323
20191029T10Z,2084
20191029T09Z,1971
20191029T08Z,1953
20191029T07Z,1967
20191029T06Z,2016
20191029T05Z,2113
20191029T04Z,2369
20191029T03Z,2589
20191029T02Z,2797
20191029T01Z,2998
20191029T00Z,3095
20191028T23Z,3076
20191028T22Z,3155
20191028T21Z,3200
20191028T20Z,3180
20191028T19Z,3099
20191028T18Z,2990
20191028T17Z,2867
20191028T16Z,2790
20191028T15Z,2679
20191028T14Z,2616
20191028T13Z,2511
20191028T12Z,2475
20191028T11Z,2403
20191028T10Z,2130
20191028T09Z,2033
20191028T08Z,2005
20191028T07Z,2030
20191028T06Z,2089
20191028T05Z,2193
20191028T04Z,2340
20191028T03Z,2542
20191028T02Z,2728
20191028T01Z,2921
20191028T00Z,3052
20191027T23Z,3049
20191027T22Z,3103
20191027T21Z,3125
20191027T20Z,3105
20191027T19Z,3043
20191027T18Z,2945
20191027T17Z,2822
20191027T16Z,2688
20191027T15Z,2564
20191027T14Z,2441
20191027T13Z,2282
20191027T12Z,2179
20191027T11Z,2127
20191027T10Z,2034
20191027T09Z,2022
20191027T08Z,2022
20191027T07Z,2070
20191027T06Z,2152
20191027T05Z,2254
20191027T04Z,2376
20191027T03Z,2525
20191027T02Z,2663
20191027T01Z,2781
20191027T00Z,2850
20191026T23Z,2821
20191026T22Z,2849
20191026T21Z,2832
20191026T20Z,2808
20191026T19Z,2767
20191026T18Z,2656
20191026T17Z,2564
20191026T16Z,2472
20191026T15Z,2411
20191026T14Z,2308
20191026T13Z,2166
20191026T12Z,2065
20191026T11Z,2015
20191026T10Z,1941
20191026T09Z,1909
20191026T08Z,1915
20191026T07Z,1951
20191026T06Z,2010
20191026T05Z,2097
20191026T04Z,2132
20191026T03Z,2280
20191026T02Z,2423
20191026T01Z,2548
20191026T00Z,2646
20191025T23Z,2609
20191025T22Z,2645
20191025T21Z,2650
20191025T20Z,2620
20191025T19Z,2570
20191025T18Z,2505
20191025T17Z,2455
20191025T16Z,2427
20191025T15Z,2405
20191025T14Z,2358
20191025T13Z,2323
20191025T12Z,2320
20191025T11Z,2247
20191025T10Z,2020
20191025T09Z,1860
20191025T08Z,1837
20191025T07Z,1858
20191025T06Z,1893
20191025T05Z,1964
20191025T04Z,2104
20191025T03Z,2262
20191025T02Z,2431
20191025T01Z,2539
20191025T00Z,2600
20191024T23Z,2510
20191024T22Z,2500
20191024T21Z,2497
20191024T20Z,2464
20191024T19Z,2415
20191024T18Z,2396
20191024T17Z,2377
20191024T16Z,2377
20191024T15Z,2405
20191024T14Z,2412
20191024T13Z,2435
20191024T12Z,2446
20191024T11Z,2358
20191024T10Z,2110
20191024T09Z,1975
20191024T08Z,1927
20191024T07Z,1923
20191024T06Z,1956
20191024T05Z,2006
20191024T04Z,2149
20191024T03Z,2296
20191024T02Z,2471
20191024T01Z,2599
20191024T00Z,2650
20191023T23Z,2587
20191023T22Z,2553
20191023T21Z,2555
20191023T20Z,2529
20191023T19Z,2513
20191023T18Z,2494
20191023T17Z,2461
20191023T16Z,2398
20191023T15Z,2380
20191023T14Z,2374
20191023T13Z,2375
20191023T12Z,2366
20191023T11Z,2305
20191023T10Z,2050
20191023T09Z,1944
20191023T08Z,1914
20191023T07Z,1931
20191023T06Z,1969
20191023T05Z,2063
20191023T04Z,2268
20191023T03Z,2444
20191023T02Z,2627
20191023T01Z,2789
20191023T00Z,2891
20191022T23Z,2912
20191022T22Z,2959
20191022T21Z,2982
20191022T20Z,3000
20191022T19Z,2952
20191022T18Z,2917
20191022T17Z,2799
20191022T16Z,2690
20191022T15Z,2573
20191022T14Z,2447
20191022T13Z,2350
20191022T12Z,2299
20191022T11Z,2219
20191022T10Z,1980
20191022T09Z,1854
20191022T08Z,1826
20191022T07Z,1839
20191022T06Z,1877
20191022T05Z,1958
20191022T04Z,2275
20191022T03Z,2449
20191022T02Z,2673
20191022T01Z,2716
20191022T00Z,2775
20191021T23Z,2763
20191021T22Z,2755
20191021T21Z,2749
20191021T20Z,2731
20191021T19Z,2658
20191021T18Z,2535
20191021T17Z,2465
20191021T16Z,2437
20191021T15Z,2386
20191021T14Z,2339
20191021T13Z,2379
20191021T12Z,2380
20191021T11Z,2316
20191021T10Z,2075
20191021T09Z,1914
20191021T08Z,1872
20191021T07Z,1891
20191021T06Z,1927
20191021T05Z,1995
20191021T04Z,2103
20191021T03Z,2268
20191021T02Z,2422
20191021T01Z,2531
20191021T00Z,2550
20191020T23Z,2566
20191020T22Z,2575
20191020T21Z,2542
20191020T20Z,2496
20191020T19Z,2421
20191020T18Z,2372
20191020T17Z,2309
20191020T16Z,2236
20191020T15Z,2204
20191020T14Z,2158
20191020T13Z,2060
20191020T12Z,1944
20191020T11Z,1906
20191020T10Z,1854
20191020T09Z,1846
20191020T08Z,1857
20191020T07Z,1878
20191020T06Z,1928
20191020T05Z,1999
20191020T04Z,2165
20191020T03Z,2293
20191020T02Z,2378
20191020T01Z,2443
20191020T00Z,2450
20191019T23Z,2423
20191019T22Z,2419
20191019T21Z,2339
20191019T20Z,2308
20191019T19Z,2290
20191019T18Z,2308
20191019T17Z,2322
20191019T16Z,2346
20191019T15Z,2363
20191019T14Z,2327
20191019T13Z,2259
20191019T12Z,2160
20191019T11Z,2094
20191019T10Z,2004
20191019T09Z,1949
20191019T08Z,1934
20191019T07Z,1961
20191019T06Z,2007
20191019T05Z,2069
20191019T04Z,2165
20191019T03Z,2310
20191019T02Z,2435
20191019T01Z,2475
20191019T00Z,2500
20191018T23Z,2465
20191018T22Z,2440
20191018T21Z,2425
20191018T20Z,2410
20191018T19Z,2395
20191018T18Z,2380
20191018T17Z,2370
20191018T16Z,2384
20191018T15Z,2423
20191018T14Z,2454
20191018T13Z,2491
20191018T12Z,2525
20191018T11Z,2414
20191018T10Z,2157
20191018T09Z,2015
20191018T08Z,1955
20191018T07Z,1969
20191018T06Z,1984
20191018T05Z,2043
20191018T04Z,2139
20191018T03Z,2294
20191018T02Z,2461
20191018T01Z,2562
20191018T00Z,2575
20191017T23Z,2515
20191017T22Z,2547
20191017T21Z,2525
20191017T20Z,2487
20191017T19Z,2458
20191017T18Z,2431
20191017T17Z,2394
20191017T16Z,2381
20191017T15Z,2375
20191017T14Z,2376
20191017T13Z,2392
20191017T12Z,2382
20191017T11Z,2301
20191017T10Z,2066
20191017T09Z,1939
20191017T08Z,1893
20191017T07Z,1913
20191017T06Z,1938
20191017T05Z,2020
20191017T04Z,2230
20191017T03Z,2410
20191017T02Z,2595
20191017T01Z,2736
20191017T00Z,2800
20191016T23Z,2806
20191016T22Z,2850
20191016T21Z,2829
20191016T20Z,2787
20191016T19Z,2723
20191016T18Z,2647
20191016T17Z,2592
20191016T16Z,2544
20191016T15Z,2492
20191016T14Z,2419
20191016T13Z,2377
20191016T12Z,2375
20191016T11Z,2310
20191016T10Z,2137
20191016T09Z,1953
20191016T08Z,1920
20191016T07Z,1932
20191016T06Z,1977
20191016T05Z,2059
20191016T04Z,2217
20191016T03Z,2399
20191016T02Z,2589
20191016T01Z,2715
20191016T00Z,2766
20191015T23Z,2790
20191015T22Z,2809
20191015T21Z,2825
20191015T20Z,2799
20191015T19Z,2769
20191015T18Z,2679
20191015T17Z,2599
20191015T16Z,2530
20191015T15Z,2473
20191015T14Z,2433
20191015T13Z,2424
20191015T12Z,2413
20191015T11Z,2339
20191015T10Z,2108
20191015T09Z,1992
20191015T08Z,1973
20191015T07Z,1985
20191015T06Z,2044
20191015T05Z,2142
20191015T04Z,2359
20191015T03Z,2560
20191015T02Z,2774
20191015T01Z,2948
20191015T00Z,3046
20191014T23Z,3073
20191014T22Z,3146
20191014T21Z,3200
20191014T20Z,3182
20191014T19Z,3111
20191014T18Z,3008
20191014T17Z,2884
20191014T16Z,2738
20191014T15Z,2692
20191014T14Z,2581
20191014T13Z,2526
20191014T12Z,2539
20191014T11Z,2452
20191014T10Z,2224
20191014T09Z,2103
20191014T08Z,2046
20191014T07Z,2077
20191014T06Z,2153
20191014T05Z,2294
20191014T04Z,2382
20191014T03Z,2596
20191014T02Z,2784
20191014T01Z,2950
20191014T00Z,3040
20191013T23Z,3072
20191013T22Z,3124
20191013T21Z,3125
20191013T20Z,3056
20191013T19Z,2982
20191013T18Z,2854
20191013T17Z,2712
20191013T16Z,2561
20191013T15Z,2425
20191013T14Z,2285
20191013T13Z,2149
20191013T12Z,2021
20191013T11Z,1986
20191013T10Z,1933
20191013T09Z,1888
20191013T08Z,1940
20191013T07Z,1984
20191013T06Z,2061
20191013T05Z,2151
20191013T04Z,2298
20191013T03Z,2468
20191013T02Z,2646
20191013T01Z,2773
20191013T00Z,2885
20191012T23Z,2909
20191012T22Z,2925
20191012T21Z,2875
20191012T20Z,2812
20191012T19Z,2725
20191012T18Z,2612
20191012T17Z,2501
20191012T16Z,2390
20191012T15Z,2290
20191012T14Z,2183
20191012T13Z,2072
20191012T12Z,1957
20191012T11Z,1904
20191012T10Z,1840
20191012T09Z,1846
20191012T08Z,1846
20191012T07Z,1865
20191012T06Z,1946
20191012T05Z,2036
20191012T04Z,2197
20191012T03Z,2363
20191012T02Z,2513
20191012T01Z,2633
20191012T00Z,2696
20191011T23Z,2769
20191011T22Z,2834
20191011T21Z,2875
20191011T20Z,2848
20191011T19Z,2797
20191011T18Z,2707
20191011T17Z,2602
20191011T16Z,2514
20191011T15Z,2459
20191011T14Z,2382
20191011T13Z,2332
20191011T12Z,2301
20191011T11Z,2245
20191011T10Z,2029
20191011T09Z,1925
20191011T08Z,1873
20191011T07Z,1899
20191011T06Z,1945
20191011T05Z,2035
20191011T04Z,2131
20191011T03Z,2327
20191011T02Z,2545
20191011T01Z,2703
20191011T00Z,2798
20191010T23Z,2780
20191010T22Z,2850
20191010T21Z,2837
20191010T20Z,2795
20191010T19Z,2740
20191010T18Z,2660
20191010T17Z,2574
20191010T16Z,2524
20191010T15Z,2473
20191010T14Z,2434
20191010T13Z,2377
20191010T12Z,2359
20191010T11Z,2278
20191010T10Z,2081
20191010T09Z,1954
20191010T08Z,1916
20191010T07Z,1962
20191010T06Z,2023
20191010T05Z,2104
20191010T04Z,2225
20191010T03Z,2428
20191010T02Z,2646
20191010T01Z,2766
20191010T00Z,2875
20191009T23Z,2680
20191009T22Z,2670
20191009T21Z,2650
20191009T20Z,2630
20191009T19Z,2585
20191009T18Z,2525
20191009T17Z,2475
20191009T16Z,2427
20191009T15Z,2406
20191009T14Z,2376
20191009T13Z,2358
20191009T12Z,2364
20191009T11Z,2313
20191009T10Z,2106
20191009T09Z,2030
20191009T08Z,2030
20191009T07Z,2073
20191009T06Z,2168
20191009T05Z,2260
20191009T04Z,2443
20191009T03Z,2662
20191009T02Z,2873
20191009T01Z,3052
20191009T00Z,3137
20191008T23Z,3188
20191008T22Z,3278
20191008T21Z,3362
20191008T20Z,3375
20191008T19Z,3354
20191008T18Z,3279
20191008T17Z,3151
20191008T16Z,3021
20191008T15Z,2879
20191008T14Z,2727
20191008T13Z,2630
20191008T12Z,2604
20191008T11Z,2516
20191008T10Z,2266
20191008T09Z,2129
20191008T08Z,2170
20191008T07Z,2188
20191008T06Z,2236
20191008T05Z,2327
20191008T04Z,2478
20191008T03Z,2700
20191008T02Z,2922
20191008T01Z,3098
20191008T00Z,3183
20191007T23Z,3210
20191007T22Z,3270
20191007T21Z,3325
20191007T20Z,3307
20191007T19Z,3251
20191007T18Z,3177
20191007T17Z,3050
20191007T16Z,2899
20191007T15Z,2730
20191007T14Z,2679
20191007T13Z,2557
20191007T12Z,2535
20191007T11Z,2453
20191007T10Z,2203
20191007T09Z,2103
20191007T08Z,2061
20191007T07Z,2104
20191007T06Z,2153
20191007T05Z,2249
20191007T04Z,2405
20191007T03Z,2604
20191007T02Z,2819
20191007T01Z,2983
20191007T00Z,3096
20191006T23Z,3133
20191006T22Z,3183
20191006T21Z,3170
20191006T20Z,3114
20191006T19Z,3059
20191006T18Z,2931
20191006T17Z,2791
20191006T16Z,2653
20191006T15Z,2525
20191006T14Z,2395
20191006T13Z,2239
20191006T12Z,2117
20191006T11Z,2081
20191006T10Z,2030
20191006T09Z,2007
20191006T08Z,2036
20191006T07Z,2102
20191006T06Z,2181
20191006T05Z,2299
20191006T04Z,2379
20191006T03Z,2551
20191006T02Z,2737
20191006T01Z,2868
20191006T00Z,2950
20191005T23Z,2994
20191005T22Z,3092
20191005T21Z,3107
20191005T20Z,3076
20191005T19Z,3023
20191005T18Z,2914
20191005T17Z,2823
20191005T16Z,2719
20191005T15Z,2617
20191005T14Z,2512
20191005T13Z,2369
20191005T12Z,2263
20191005T11Z,2272
20191005T10Z,2236
20191005T09Z,2236
20191005T08Z,2263
20191005T07Z,2370
20191005T06Z,2490
20191005T05Z,2649
20191005T04Z,2905
20191005T03Z,3130
20191005T02Z,3393
20191005T01Z,3653
20191005T00Z,3827
20191004T23Z,3958
20191004T22Z,4125
20191004T21Z,4232
20191004T20Z,4227
20191004T19Z,4164
20191004T18Z,4018
20191004T17Z,3792
20191004T16Z,3535
20191004T15Z,3259
20191004T14Z,3023
20191004T13Z,2832
20191004T12Z,2755
20191004T11Z,2720
20191004T10Z,2504
20191004T09Z,2410
20191004T08Z,2446
20191004T07Z,2502
20191004T06Z,2601
20191004T05Z,2757
20191004T04Z,2972
20191004T03Z,3236
20191004T02Z,3542
20191004T01Z,3797
20191004T00Z,3976
20191003T23Z,4059
20191003T22Z,4237
20191003T21Z,4325
20191003T20Z,4265
20191003T19Z,4208
20191003T18Z,4043
20191003T17Z,3792
20191003T16Z,3523
20191003T15Z,3232
20191003T14Z,3024
20191003T13Z,2801
20191003T12Z,2713
20191003T11Z,2672
20191003T10Z,2446
20191003T09Z,2367
20191003T08Z,2371
20191003T07Z,2455
20191003T06Z,2533
20191003T05Z,2683
20191003T04Z,2863
20191003T03Z,3153
20191003T02Z,3445
20191003T01Z,3681
20191003T00Z,3855
20191002T23Z,3927
20191002T22Z,4082
20191002T21Z,4162
20191002T20Z,4090
20191002T19Z,3992
20191002T18Z,3839
20191002T17Z,3580
20191002T16Z,3338
20191002T15Z,3071
20191002T14Z,2884
20191002T13Z,2722
20191002T12Z,2658
20191002T11Z,2619
20191002T10Z,2399
20191002T09Z,2278
20191002T08Z,2281
20191002T07Z,2356
20191002T06Z,2438
20191002T05Z,2604
20191002T04Z,2842
20191002T03Z,3082
20191002T02Z,3370
20191002T01Z,3606
20191002T00Z,3772
20191001T23Z,3871
20191001T22Z,4019
20191001T21Z,4100
20191001T20Z,4064
20191001T19Z,3964
20191001T18Z,3819
20191001T17Z,3598
20191001T16Z,3380
20191001T15Z,3158
20191001T14Z,2971
20191001T13Z,2811
20191001T12Z,2753
20191001T11Z,2717
20191001T10Z,2471
20191001T09Z,2362
20191001T08Z,2372
20191001T07Z,2435
20191001T06Z,2518
20191001T05Z,2671
20191001T04Z,2895
20191001T03Z,3144
20191001T02Z,3427
20191001T01Z,3676
20191001T00Z,3806
20190930T23Z,3911
20190930T22Z,4047
20190930T21Z,4175
20190930T20Z,4200
20190930T19Z,4141
20190930T18Z,4017
20190930T17Z,3834
20190930T16Z,3617
20190930T15Z,3377
20190930T14Z,3133
20190930T13Z,2904
20190930T12Z,2813
20190930T11Z,2765
20190930T10Z,2531
20190930T09Z,2465
20190930T08Z,2466
20190930T07Z,2524
20190930T06Z,2621
20190930T05Z,2763
20190930T04Z,2951
20190930T03Z,3220
20190930T02Z,3500
20190930T01Z,3739
20190930T00Z,3865
20190929T23Z,3982
20190929T22Z,4085
20190929T21Z,4100
20190929T20Z,4026
20190929T19Z,3920
20190929T18Z,3767
20190929T17Z,3543
20190929T16Z,3285
20190929T15Z,3038
20190929T14Z,2772
20190929T13Z,2520
20190929T12Z,2351
20190929T11Z,2329
20190929T10Z,2288
20190929T09Z,2242
20190929T08Z,2286
20190929T07Z,2364
20190929T06Z,2470
20190929T05Z,2621
20190929T04Z,2784
20190929T03Z,2980
20190929T02Z,3224
20190929T01Z,3470
20190929T00Z,3597
20190928T23Z,3711
20190928T22Z,3857
20190928T21Z,3900
20190928T20Z,3873
20190928T19Z,3783
20190928T18Z,3635
20190928T17Z,3445
20190928T16Z,3217
20190928T15Z,2981
20190928T14Z,2785
20190928T13Z,2582
20190928T12Z,2442
20190928T11Z,2422
20190928T10Z,2339
20190928T09Z,2311
20190928T08Z,2359
20190928T07Z,2409
20190928T06Z,2514
20190928T05Z,2656
20190928T04Z,2809
20190928T03Z,3020
20190928T02Z,3272
20190928T01Z,3498
20190928T00Z,3639
20190927T23Z,3787
20190927T22Z,3967
20190927T21Z,4077
20190927T20Z,4100
20190927T19Z,4060
20190927T18Z,3940
20190927T17Z,3749
20190927T16Z,3517
20190927T15Z,3286
20190927T14Z,3103
20190927T13Z,2921
20190927T12Z,2831
20190927T11Z,2809
20190927T10Z,2598
20190927T09Z,2491
20190927T08Z,2524
20190927T07Z,2589
20190927T06Z,2665
20190927T05Z,2807
20190927T04Z,2959
20190927T03Z,3215
20190927T02Z,3521
20190927T01Z,3794
20190927T00Z,3941
20190926T23Z,4073
20190926T22Z,4213
20190926T21Z,4300
20190926T20Z,4263
20190926T19Z,4153
20190926T18Z,3993
20190926T17Z,3760
20190926T16Z,3511
20190926T15Z,3239
20190926T14Z,3021
20190926T13Z,2825
20190926T12Z,2744
20190926T11Z,2696
20190926T10Z,2473
20190926T09Z,2384
20190926T08Z,2399
20190926T07Z,2459
20190926T06Z,2563
20190926T05Z,2693
20190926T04Z,2820
20190926T03Z,3099
20190926T02Z,3393
20190926T01Z,3635
20190926T00Z,3789
20190925T23Z,3914
20190925T22Z,4047
20190925T21Z,4100
20190925T20Z,4016
20190925T19Z,3928
20190925T18Z,3779
20190925T17Z,3546
20190925T16Z,3301
20190925T15Z,3084
20190925T14Z,2865
20190925T13Z,2713
20190925T12Z,2620
20190925T11Z,2592
20190925T10Z,2369
20190925T09Z,2270
20190925T08Z,2297
20190925T07Z,2350
20190925T06Z,2430
20190925T05Z,2589
20190925T04Z,2807
20190925T03Z,3069
20190925T02Z,3374
20190925T01Z,3620
20190925T00Z,3759
20190924T23Z,3918
20190924T22Z,4049
20190924T21Z,4099
20190924T20Z,4017
20190924T19Z,3896
20190924T18Z,3709
20190924T17Z,3469
20190924T16Z,3228
20190924T15Z,2982
20190924T14Z,2769
20190924T13Z,2599
20190924T12Z,2512
20190924T11Z,2459
20190924T10Z,2245
20190924T09Z,2143
20190924T08Z,2134
20190924T07Z,2194
20190924T06Z,2276
20190924T05Z,2403
20190924T04Z,2662
20190924T03Z,2911
20190924T02Z,3206
20190924T01Z,3420
20190924T00Z,3520
20190923T23Z,3624
20190923T22Z,3733
20190923T21Z,3800
20190923T20Z,3754
20190923T19Z,3647
20190923T18Z,3486
20190923T17Z,3280
20190923T16Z,3082
20190923T15Z,2851
20190923T14Z,2638
20190923T13Z,2416
20190923T12Z,2364
20190923T11Z,2269
20190923T10Z,2039
