,Day-ahead demand forecast
20191102T05Z,28275
20191102T04Z,29041
20191102T03Z,30108
20191102T02Z,30829
20191102T01Z,30736
20191102T00Z,30598
20191101T23Z,30176
20191101T22Z,30290
20191101T21Z,30227
20191101T20Z,30563
20191101T19Z,31124
20191101T18Z,31555
20191101T17Z,32002
20191101T16Z,32792
20191101T15Z,33632
20191101T14Z,34734
20191101T13Z,35123
20191101T12Z,33496
20191101T11Z,30963
20191101T10Z,29647
20191101T09Z,29185
20191101T08Z,29021
20191101T07Z,29066
20191101T06Z,29349
20191101T05Z,30205
20191101T04Z,31102
20191101T03Z,32408
20191101T02Z,33192
20191101T01Z,32898
20191101T00Z,32461
20191031T23Z,31747
20191031T22Z,31622
20191031T21Z,31458
20191031T20Z,31770
20191031T19Z,32256
20191031T18Z,32613
20191031T17Z,32923
20191031T16Z,33575
20191031T15Z,34292
20191031T14Z,34688
20191031T13Z,35922
20191031T12Z,34201
20191031T11Z,31455
20191031T10Z,29990
20191031T09Z,29432
20191031T08Z,29186
20191031T07Z,29169
20191031T06Z,29333
20191031T05Z,29186
20191031T04Z,30264
20191031T03Z,31782
20191031T02Z,32740
20191031T01Z,32708
20191031T00Z,32639
20191030T23Z,32114
20191030T22Z,31960
20191030T21Z,31702
20191030T20Z,31827
20191030T19Z,32099
20191030T18Z,32154
20191030T17Z,32098
20191030T16Z,32306
20191030T15Z,32533
20191030T14Z,32628
20191030T13Z,32735
20191030T12Z,31061
20191030T11Z,28680
20191030T10Z,27482
20191030T09Z,27053
20191030T08Z,26961
20191030T07Z,27055
20191030T06Z,27348
20191030T05Z,27623
20191030T04Z,28797
20191030T03Z,30117
20191030T02Z,30966
20191030T01Z,30921
20191030T00Z,30425
20191029T23Z,30080
20191029T22Z,29844
20191029T21Z,29789
20191029T20Z,30066
20191029T19Z,30410
20191029T18Z,30623
20191029T17Z,30995
20191029T16Z,31334
20191029T15Z,31563
20191029T14Z,31935
20191029T13Z,32091
20191029T12Z,30602
20191029T11Z,28275
20191029T10Z,26928
20191029T09Z,26305
20191029T08Z,26160
20191029T07Z,26210
20191029T06Z,26485
20191029T05Z,28002
20191029T04Z,29268
20191029T03Z,30731
20191029T02Z,31384
20191029T01Z,31289
20191029T00Z,30996
20191028T23Z,30577
20191028T22Z,30556
20191028T21Z,30875
20191028T20Z,30995
20191028T19Z,31146
20191028T18Z,31194
20191028T17Z,31045
20191028T16Z,31103
20191028T15Z,30912
20191028T14Z,30830
20191028T13Z,30744
20191028T12Z,29362
20191028T11Z,26762
20191028T10Z,25406
20191028T09Z,24757
20191028T08Z,24581
20191028T07Z,24598
20191028T06Z,24831
20191028T05Z,26116
20191028T04Z,27201
20191028T03Z,28406
20191028T02Z,28930
20191028T01Z,28908
20191028T00Z,28494
20191027T23Z,28169
20191027T22Z,27942
20191027T21Z,28083
20191027T20Z,27967
20191027T19Z,27950
20191027T18Z,27983
20191027T17Z,27568
20191027T16Z,27510
20191027T15Z,27294
20191027T14Z,26952
20191027T13Z,26425
20191027T12Z,25824
20191027T11Z,24763
20191027T10Z,24312
20191027T09Z,24091
20191027T08Z,24095
20191027T07Z,24242
20191027T06Z,24631
20191027T05Z,25498
20191027T04Z,26292
20191027T03Z,27322
20191027T02Z,28061
20191027T01Z,28007
20191027T00Z,27857
20191026T23Z,27646
20191026T22Z,27643
20191026T21Z,27454
20191026T20Z,27543
20191026T19Z,27845
20191026T18Z,28085
20191026T17Z,28118
20191026T16Z,28358
20191026T15Z,28551
20191026T14Z,28422
20191026T13Z,28061
20191026T12Z,26827
20191026T11Z,25646
20191026T10Z,25098
20191026T09Z,24930
20191026T08Z,24925
20191026T07Z,25130
20191026T06Z,25541
20191026T05Z,26492
20191026T04Z,27349
20191026T03Z,28417
20191026T02Z,29067
20191026T01Z,29080
20191026T00Z,28929
20191025T23Z,28817
20191025T22Z,29079
20191025T21Z,29078
20191025T20Z,29348
20191025T19Z,29749
20191025T18Z,29937
20191025T17Z,30073
20191025T16Z,30447
20191025T15Z,30838
20191025T14Z,31078
20191025T13Z,31057
20191025T12Z,29392
20191025T11Z,27046
20191025T10Z,25873
20191025T09Z,25491
20191025T08Z,25442
20191025T07Z,25571
20191025T06Z,25866
20191025T05Z,69
20191025T04Z,67
20191025T03Z,74
20191025T02Z,67
20191025T01Z,72
20191025T00Z,68
20191024T23Z,71
20191024T22Z,73
20191024T21Z,70
20191024T20Z,71
20191024T19Z,71
20191024T18Z,64
20191024T17Z,71
20191024T16Z,69
20191024T15Z,64
20191024T14Z,64
20191024T13Z,72
20191024T12Z,60
20191024T11Z,66
20191024T10Z,56
20191024T09Z,56
20191024T08Z,53
20191024T07Z,54
20191024T06Z,57
20191024T05Z,25387
20191024T04Z,26833
20191024T03Z,28344
20191024T02Z,29276
20191024T01Z,29581
20191024T00Z,29308
20191023T23Z,29279
20191023T22Z,29372
20191023T21Z,29368
20191023T20Z,29380
20191023T19Z,29337
20191023T18Z,29015
20191023T17Z,28974
20191023T16Z,28942
20191023T15Z,28810
20191023T14Z,28782
20191023T13Z,28721
20191023T12Z,27721
20191023T11Z,25585
20191023T10Z,24371
20191023T09Z,23924
20191023T08Z,23980
20191023T07Z,24221
20191023T06Z,24597
20191023T05Z,26052
20191023T04Z,27400
20191023T03Z,28812
20191023T02Z,29575
20191023T01Z,29763
20191023T00Z,29537
20191022T23Z,29454
20191022T22Z,29635
20191022T21Z,29965
20191022T20Z,29897
20191022T19Z,29827
20191022T18Z,29651
20191022T17Z,29456
20191022T16Z,29522
20191022T15Z,29406
20191022T14Z,29477
20191022T13Z,29554
20191022T12Z,28354
20191022T11Z,25835
20191022T10Z,24593
20191022T09Z,24071
20191022T08Z,24051
20191022T07Z,24257
20191022T06Z,24641
20191022T05Z,25996
20191022T04Z,27415
20191022T03Z,28959
20191022T02Z,29684
20191022T01Z,29939
20191022T00Z,29789
20191021T23Z,29733
20191021T22Z,29918
20191021T21Z,30266
20191021T20Z,30229
20191021T19Z,30137
20191021T18Z,29918
20191021T17Z,29492
20191021T16Z,29316
20191021T15Z,28849
20191021T14Z,28561
20191021T13Z,28370
20191021T12Z,26995
20191021T11Z,24637
20191021T10Z,23454
20191021T09Z,22986
20191021T08Z,23017
20191021T07Z,23289
20191021T06Z,23767
20191021T05Z,25388
20191021T04Z,26893
20191021T03Z,28477
20191021T02Z,29277
20191021T01Z,29578
20191021T00Z,29633
20191020T23Z,29718
20191020T22Z,29469
20191020T21Z,29341
20191020T20Z,28713
20191020T19Z,28121
20191020T18Z,27597
20191020T17Z,26685
20191020T16Z,26168
20191020T15Z,25613
20191020T14Z,24950
20191020T13Z,24347
20191020T12Z,23816
20191020T11Z,22958
20191020T10Z,22691
20191020T09Z,22607
20191020T08Z,22780
20191020T07Z,23097
20191020T06Z,23666
20191020T05Z,25121
20191020T04Z,26335
20191020T03Z,27590
20191020T02Z,28239
20191020T01Z,28429
20191020T00Z,28498
20191019T23Z,28702
20191019T22Z,28773
20191019T21Z,28944
20191019T20Z,28649
20191019T19Z,28405
20191019T18Z,28169
20191019T17Z,27637
20191019T16Z,27293
20191019T15Z,26667
20191019T14Z,25990
20191019T13Z,25465
20191019T12Z,24721
20191019T11Z,23535
20191019T10Z,23064
20191019T09Z,22905
20191019T08Z,23076
20191019T07Z,23454
20191019T06Z,24078
20191019T05Z,25813
20191019T04Z,27181
20191019T03Z,28588
20191019T02Z,29488
20191019T01Z,29962
20191019T00Z,30179
20191018T23Z,30702
20191018T22Z,31072
20191018T21Z,31255
20191018T20Z,30835
20191018T19Z,30416
20191018T18Z,29914
20191018T17Z,29312
20191018T16Z,28990
20191018T15Z,28508
20191018T14Z,28355
20191018T13Z,28240
20191018T12Z,27049
20191018T11Z,24686
20191018T10Z,23574
20191018T09Z,23178
20191018T08Z,23248
20191018T07Z,23553
20191018T06Z,24074
20191018T05Z,26041
20191018T04Z,27637
20191018T03Z,29335
20191018T02Z,30137
20191018T01Z,30284
20191018T00Z,30288
20191017T23Z,30464
20191017T22Z,30715
20191017T21Z,30890
20191017T20Z,30633
20191017T19Z,30365
20191017T18Z,29973
20191017T17Z,29516
20191017T16Z,29415
20191017T15Z,29308
20191017T14Z,29401
20191017T13Z,29549
20191017T12Z,28395
20191017T11Z,25833
20191017T10Z,24559
20191017T09Z,24064
20191017T08Z,24056
20191017T07Z,24241
20191017T06Z,24592
20191017T05Z,26330
20191017T04Z,27829
20191017T03Z,29422
20191017T02Z,30088
20191017T01Z,30069
20191017T00Z,29963
20191016T23Z,29987
20191016T22Z,30184
20191016T21Z,30466
20191016T20Z,30394
20191016T19Z,30379
20191016T18Z,30207
20191016T17Z,29918
20191016T16Z,29854
20191016T15Z,29644
20191016T14Z,29500
20191016T13Z,29441
20191016T12Z,28193
20191016T11Z,25649
20191016T10Z,24416
20191016T09Z,23965
20191016T08Z,24023
20191016T07Z,24267
20191016T06Z,24734
20191016T05Z,24727
20191016T04Z,26186
20191016T03Z,27641
20191016T02Z,28520
20191016T01Z,28723
20191016T00Z,28469
20191015T23Z,28599
20191015T22Z,28813
20191015T21Z,28808
20191015T20Z,28869
20191015T19Z,28849
20191015T18Z,28620
20191015T17Z,28475
20191015T16Z,28306
20191015T15Z,27895
20191015T14Z,27578
20191015T13Z,27255
20191015T12Z,26035
20191015T11Z,24049
20191015T10Z,23028
20191015T09Z,22797
20191015T08Z,22978
20191015T07Z,23298
20191015T06Z,23860
20191015T05Z,26212
20191015T04Z,27664
20191015T03Z,29313
20191015T02Z,29986
20191015T01Z,30240
20191015T00Z,30498
20191014T23Z,30787
20191014T22Z,30885
20191014T21Z,30956
20191014T20Z,30530
20191014T19Z,30127
20191014T18Z,29671
20191014T17Z,28947
20191014T16Z,28513
20191014T15Z,27852
20191014T14Z,27349
20191014T13Z,26849
20191014T12Z,26069
20191014T11Z,24468
20191014T10Z,23783
20191014T09Z,23483
20191014T08Z,23577
20191014T07Z,23885
20191014T06Z,24392
20191014T05Z,24752
20191014T04Z,407963
20191014T03Z,54273
20191014T02Z,28244
20191014T01Z,28161
20191014T00Z,27954
20191013T23Z,27915
20191013T22Z,27603
20191013T21Z,27367
20191013T20Z,27243
20191013T19Z,27122
20191013T18Z,26787
20191013T17Z,26575
20191013T16Z,26450
20191013T15Z,26249
20191013T14Z,25691
20191013T13Z,25052
20191013T12Z,24566
20191013T11Z,23905
20191013T10Z,23527
20191013T09Z,23415
20191013T08Z,23557
20191013T07Z,23792
20191013T06Z,24201
20191013T05Z,25713
20191013T04Z,26799
20191013T03Z,27823
20191013T02Z,28194
20191013T01Z,28030
20191013T00Z,28122
20191012T23Z,28228
20191012T22Z,28205
20191012T21Z,28417
20191012T20Z,28228
20191012T19Z,28272
20191012T18Z,28414
20191012T17Z,28335
20191012T16Z,28424
20191012T15Z,28258
20191012T14Z,27877
20191012T13Z,27464
20191012T12Z,26888
20191012T11Z,25786
20191012T10Z,25293
20191012T09Z,25059
20191012T08Z,25093
20191012T07Z,25317
20191012T06Z,25755
20191012T05Z,26721
20191012T04Z,27867
20191012T03Z,28951
20191012T02Z,29393
20191012T01Z,29221
20191012T00Z,29073
20191011T23Z,29262
20191011T22Z,29557
20191011T21Z,30002
20191011T20Z,30011
20191011T19Z,30195
20191011T18Z,30188
20191011T17Z,30055
20191011T16Z,30018
20191011T15Z,29616
20191011T14Z,29254
20191011T13Z,28960
20191011T12Z,27694
20191011T11Z,25304
20191011T10Z,24225
20191011T09Z,23837
20191011T08Z,23943
20191011T07Z,24279
20191011T06Z,24842
20191011T05Z,25155
20191011T04Z,26802
20191011T03Z,28449
20191011T02Z,29538
20191011T01Z,29914
20191011T00Z,30036
20191010T23Z,30638
20191010T22Z,31080
20191010T21Z,31211
20191010T20Z,31141
20191010T19Z,30906
20191010T18Z,30415
20191010T17Z,29941
20191010T16Z,29316
20191010T15Z,28501
20191010T14Z,27755
20191010T13Z,27261
20191010T12Z,26070
20191010T11Z,24169
20191010T10Z,23204
20191010T09Z,23044
20191010T08Z,23293
20191010T07Z,23747
20191010T06Z,24452
20191010T05Z,27167
20191010T04Z,28939
20191010T03Z,30804
20191010T02Z,31773
20191010T01Z,32185
20191010T00Z,32823
20191009T23Z,33443
20191009T22Z,33714
20191009T21Z,33753
20191009T20Z,33083
20191009T19Z,32301
20191009T18Z,31391
20191009T17Z,30331
20191009T16Z,29619
20191009T15Z,28770
20191009T14Z,28203
20191009T13Z,27951
20191009T12Z,26898
20191009T11Z,24724
20191009T10Z,23704
20191009T09Z,23386
20191009T08Z,23597
20191009T07Z,23977
20191009T06Z,24594
20191009T05Z,25553
20191009T04Z,27219
20191009T03Z,28967
20191009T02Z,30062
20191009T01Z,30442
20191009T00Z,30835
20191008T23Z,31401
20191008T22Z,31675
20191008T21Z,31532
20191008T20Z,31150
20191008T19Z,30622
20191008T18Z,29812
20191008T17Z,29268
20191008T16Z,28702
20191008T15Z,28102
20191008T14Z,27643
20191008T13Z,27356
20191008T12Z,26345
20191008T11Z,24394
20191008T10Z,23285
20191008T09Z,22965
20191008T08Z,23183
20191008T07Z,23553
20191008T06Z,24096
20191008T05Z,25296
20191008T04Z,26899
20191008T03Z,28635
20191008T02Z,29630
20191008T01Z,29965
20191008T00Z,30304
20191007T23Z,30794
20191007T22Z,31055
20191007T21Z,31039
20191007T20Z,30842
20191007T19Z,30485
20191007T18Z,29901
20191007T17Z,29402
20191007T16Z,28878
20191007T15Z,28234
20191007T14Z,27665
20191007T13Z,27272
20191007T12Z,26152
20191007T11Z,24157
20191007T10Z,22987
20191007T09Z,22618
20191007T08Z,22782
20191007T07Z,23088
20191007T06Z,23607
20191007T05Z,24776
20191007T04Z,26283
20191007T03Z,27843
20191007T02Z,28857
20191007T01Z,29237
20191007T00Z,30057
20191006T23Z,30516
20191006T22Z,30450
20191006T21Z,30290
20191006T20Z,30103
20191006T19Z,29728
20191006T18Z,28998
20191006T17Z,28112
20191006T16Z,27125
20191006T15Z,26094
20191006T14Z,24846
20191006T13Z,23856
20191006T12Z,23470
20191006T11Z,23015
20191006T10Z,22885
20191006T09Z,23050
20191006T08Z,23476
20191006T07Z,24038
20191006T06Z,24833
20191006T05Z,26829
20191006T04Z,28311
20191006T03Z,29832
20191006T02Z,30650
20191006T01Z,31246
20191006T00Z,32131
20191005T23Z,32890
20191005T22Z,33133
20191005T21Z,33271
20191005T20Z,32710
20191005T19Z,32129
20191005T18Z,31311
20191005T17Z,29977
20191005T16Z,28814
20191005T15Z,27465
20191005T14Z,26299
20191005T13Z,25393
20191005T12Z,24853
20191005T11Z,23895
20191005T10Z,23629
20191005T09Z,23627
20191005T08Z,23959
20191005T07Z,24443
20191005T06Z,25135
20191005T05Z,27299
20191005T04Z,28822
20191005T03Z,30210
20191005T02Z,31103
20191005T01Z,31501
20191005T00Z,32201
20191004T23Z,32990
20191004T22Z,33432
20191004T21Z,33556
20191004T20Z,33006
20191004T19Z,32541
20191004T18Z,32004
20191004T17Z,31113
20191004T16Z,30391
20191004T15Z,29469
20191004T14Z,28815
20191004T13Z,28481
20191004T12Z,27433
20191004T11Z,25248
