,Day-ahead demand forecast1
20191225T23-05,1776
20191225T22-05,1891
20191225T21-05,1996
20191225T20-05,2071
20191225T19-05,2141
20191225T18-05,2176
20191225T17-05,2138
20191225T16-05,2206
20191225T15-05,2255
20191225T14-05,2265
20191225T13-05,2248
20191225T12-05,2203
20191225T11-05,2117
20191225T10-05,2027
20191225T09-05,1906
20191225T08-05,1745
20191225T07-05,1626
20191225T06-05,1538
20191225T05-05,1501
20191225T04-05,1499
20191225T03-05,1548
20191225T02-05,1607
20191225T01-05,1687
20191225T00-05,1783
20191224T23-05,1891
20191224T22-05,1997
20191224T21-05,2095
20191224T20-05,2199
20191224T19-05,2308
20191224T18-05,2404
20191224T17-05,2362
20191224T16-05,2385
20191224T15-05,2398
20191224T14-05,2369
20191224T13-05,2319
20191224T12-05,2265
20191224T11-05,2212
20191224T10-05,2141
20191224T09-05,2054
20191224T08-05,1917
20191224T07-05,1801
20191224T06-05,1686
20191224T05-05,1620
20191224T04-05,1596
20191224T03-05,1627
20191224T02-05,1658
20191224T01-05,1715
20191224T00-05,1782
20191223T23-05,1905
20191223T22-05,2053
20191223T21-05,2231
20191223T20-05,2318
20191223T19-05,2360
20191223T18-05,2313
20191223T17-05,2136
20191223T16-05,2105
20191223T15-05,2115
20191223T14-05,2121
20191223T13-05,2139
20191223T12-05,2124
20191223T11-05,2105
20191223T10-05,2063
20191223T09-05,2027
20191223T08-05,1997
20191223T07-05,1981
20191223T06-05,1763
20191223T05-05,1559
20191223T04-05,1483
20191223T03-05,1477
20191223T02-05,1493
20191223T01-05,1557
20191223T00-05,1653
20191222T23-05,1816
20191222T22-05,1973
20191222T21-05,2102
20191222T20-05,2175
20191222T19-05,2210
20191222T18-05,2212
20191222T17-05,2105
20191222T16-05,2073
20191222T15-05,2087
20191222T14-05,2096
20191222T13-05,2106
20191222T12-05,2103
20191222T11-05,2057
20191222T10-05,1991
20191222T09-05,1849
20191222T08-05,1675
20191222T07-05,1565
20191222T06-05,1496
20191222T05-05,1449
20191222T04-05,1430
20191222T03-05,1457
20191222T02-05,1502
20191222T01-05,1573
20191222T00-05,1680
20191221T23-05,1812
20191221T22-05,1941
20191221T21-05,2043
20191221T20-05,2120
20191221T19-05,2193
20191221T18-05,2232
20191221T17-05,2160
20191221T16-05,2153
20191221T15-05,2126
20191221T14-05,2114
20191221T13-05,2105
20191221T12-05,2079
20191221T11-05,2050
20191221T10-05,1984
20191221T09-05,1896
20191221T08-05,1755
