,Day-ahead demand forecast1
20191205T18-05,283
20191205T17-05,271
20191205T16-05,269
20191205T15-05,271
20191205T14-05,277
20191205T13-05,285
20191205T12-05,300
20191205T11-05,319
20191205T10-05,340
20191205T09-05,364
20191205T08-05,376
20191205T07-05,355
20191205T06-05,308
20191205T05-05,281
20191205T04-05,269
20191205T03-05,264
20191205T02-05,265
20191205T01-05,271
20191205T00-05,273
20191204T23-05,292
20191204T22-05,311
20191204T21-05,323
20191204T20-05,330
20191204T19-05,326
20191204T18-05,300
20191204T17-05,284
20191204T16-05,282
20191204T15-05,284
20191204T14-05,291
20191204T13-05,302
20191204T12-05,321
20191204T11-05,345
20191204T10-05,375
20191204T09-05,407
20191204T08-05,422
20191204T07-05,402
20191204T06-05,354
20191204T05-05,324
20191204T04-05,309
20191204T03-05,302
20191204T02-05,303
20191204T01-05,309
20191204T00-05,321
20191203T23-05,338
20191203T22-05,358
20191203T21-05,370
20191203T20-05,371
20191203T19-05,364
20191203T18-05,328
20191203T17-05,306
20191203T16-05,301
20191203T15-05,307
20191203T14-05,318
20191203T13-05,333
20191203T12-05,352
20191203T11-05,374
20191203T10-05,399
20191203T09-05,422
20191203T08-05,429
20191203T07-05,404
20191203T06-05,351
20191203T05-05,318
20191203T04-05,302
20191203T03-05,295
20191203T02-05,295
20191203T01-05,300
20191203T00-05,286
20191202T23-05,302
20191202T22-05,320
20191202T21-05,331
20191202T20-05,333
20191202T19-05,327
20191202T18-05,298
20191202T17-05,287
20191202T16-05,286
20191202T15-05,288
20191202T14-05,288
20191202T13-05,288
20191202T12-05,289
20191202T11-05,292
20191202T10-05,289
20191202T09-05,287
20191202T08-05,282
20191202T07-05,255
20191202T06-05,218
20191202T05-05,200
20191202T04-05,194
20191202T03-05,193
20191202T02-05,199
20191202T01-05,210
20191202T00-05,229
20191201T23-05,248
20191201T22-05,265
20191201T21-05,278
20191201T20-05,289
20191201T19-05,298
20191201T18-05,289
20191201T17-05,280
20191201T16-05,278
20191201T15-05,273
20191201T14-05,272
20191201T13-05,271
20191201T12-05,267
20191201T11-05,256
20191201T10-05,242
20191201T09-05,224
20191201T08-05,208
20191201T07-05,202
20191201T06-05,196
20191201T05-05,193
20191201T04-05,195
20191201T03-05,199
20191201T02-05,206
20191201T01-05,217
20191201T00-05,222
20191130T23-05,237
20191130T22-05,251
20191130T21-05,262
20191130T20-05,271
20191130T19-05,278
20191130T18-05,271
20191130T17-05,263
20191130T16-05,258
20191130T15-05,254
20191130T14-05,251
20191130T13-05,251
20191130T12-05,250
20191130T11-05,248
20191130T10-05,244
20191130T09-05,234
20191130T08-05,218
20191130T07-05,210
20191130T06-05,201
20191130T05-05,195
20191130T04-05,195
20191130T03-05,195
20191130T02-05,198
20191130T01-05,205
20191130T00-05,225
20191129T23-05,240
20191129T22-05,253
20191129T21-05,267
20191129T20-05,273
20191129T19-05,277
20191129T18-05,270
20191129T17-05,261
20191129T16-05,258
20191129T15-05,255
20191129T14-05,252
20191129T13-05,250
