,Day-ahead demand forecast1
20191102T00-07,2151
20191101T23-07,2353
20191101T22-07,2161
20191101T21-07,2401
20191101T20-07,2377
20191101T19-07,2387
20191101T18-07,2177
20191101T17-07,2140
20191101T16-07,2149
20191101T15-07,2154
20191101T14-07,2219
20191101T13-07,2177
20191101T12-07,2166
20191101T11-07,2308
20191101T10-07,2323
20191101T09-07,2312
20191101T08-07,2307
20191101T07-07,2251
20191101T06-07,2292
20191101T05-07,2196
20191101T04-07,2124
20191101T03-07,2052
20191101T02-07,2047
20191101T01-07,2109
20191101T00-07,1962
20191031T23-07,2109
20191031T22-07,1916
20191031T21-07,2012
20191031T20-07,1992
20191031T19-07,1976
20191031T18-07,1872
20191031T17-07,1834
20191031T16-07,1774
20191031T15-07,1793
20191031T14-07,1774
20191031T13-07,1847
20191031T12-07,1950
20191031T11-07,1951
20191031T10-07,1950
20191031T09-07,1993
20191031T08-07,1954
20191031T07-07,1969
20191031T06-07,1994
20191031T05-07,1802
20191031T04-07,1824
20191031T03-07,1740
20191031T02-07,1780
20191031T01-07,1844
20191031T00-07,1790
20191030T23-07,2054
20191030T22-07,1893
20191030T21-07,2092
20191030T20-07,2123
20191030T19-07,2108
20191030T18-07,1821
20191030T17-07,1743
20191030T16-07,1678
20191030T15-07,1677
20191030T14-07,1693
20191030T13-07,1863
20191030T12-07,1971
20191030T11-07,1972
20191030T10-07,1955
20191030T09-07,1949
20191030T08-07,1950
20191030T07-07,1969
20191030T06-07,1954
20191030T05-07,1906
20191030T04-07,1731
20191030T03-07,1698
20191030T02-07,1678
20191030T01-07,1680
20191030T00-07,2078
20191029T23-07,2152
20191029T22-07,1809
20191029T21-07,2146
20191029T20-07,2211
20191029T19-07,2105
20191029T18-07,1842
20191029T17-07,1731
20191029T16-07,1637
20191029T15-07,1621
20191029T14-07,1767
20191029T13-07,1722
20191029T12-07,1799
20191029T11-07,1903
20191029T10-07,1960
20191029T09-07,2099
20191029T08-07,2164
20191029T07-07,1854
20191029T06-07,2001
20191029T05-07,1832
20191029T04-07,1696
20191029T03-07,1665
20191029T02-07,1616
20191029T01-07,1621
20191029T00-07,1695
20191028T23-07,1994
20191028T22-07,1740
20191028T21-07,1772
20191028T20-07,2009
20191028T19-07,2049
20191028T18-07,1875
20191028T17-07,1639
20191028T16-07,1668
20191028T15-07,1658
20191028T14-07,1570
20191028T13-07,1604
20191028T12-07,1679
20191028T11-07,2007
20191028T10-07,1840
20191028T09-07,1994
20191028T08-07,2020
20191028T07-07,1958
20191028T06-07,2076
20191028T05-07,1695
20191028T04-07,1671
20191028T03-07,1711
20191028T02-07,1633
20191028T01-07,1647
20191028T00-07,1603
20191027T23-07,1845
20191027T22-07,1734
20191027T21-07,1971
20191027T20-07,1925
20191027T19-07,1888
20191027T18-07,1652
20191027T17-07,1548
20191027T16-07,1530
20191027T15-07,1535
20191027T14-07,1542
20191027T13-07,1598
20191027T12-07,1702
20191027T11-07,1802
20191027T10-07,1871
20191027T09-07,1833
20191027T08-07,1639
20191027T07-07,1503
20191027T06-07,1625
20191027T05-07,1497
20191027T04-07,1461
20191027T03-07,1445
20191027T02-07,1539
20191027T01-07,1573
20191027T00-07,1633
20191026T23-07,1808
20191026T22-07,1565
20191026T21-07,1590
20191026T20-07,1784
20191026T19-07,1772
20191026T18-07,1640
20191026T17-07,1394
20191026T16-07,1413
20191026T15-07,1427
20191026T14-07,1477
20191026T13-07,1536
20191026T12-07,1582
20191026T11-07,1711
20191026T10-07,1615
20191026T09-07,1477
20191026T08-07,1233
20191026T07-07,1047
20191026T06-07,1136
20191026T05-07,1059
20191026T04-07,1122
20191026T03-07,1084
20191026T02-07,1107
20191026T01-07,1153
20191026T00-07,1350
20191025T23-07,1451
20191025T22-07,1322
20191025T21-07,1550
20191025T20-07,1569
20191025T19-07,1464
20191025T18-07,1445
20191025T17-07,1219
20191025T16-07,1200
20191025T15-07,1198
20191025T14-07,1272
20191025T13-07,1533
20191025T12-07,1523
20191025T11-07,1577
20191025T10-07,1734
20191025T09-07,1861
20191025T08-07,1762
20191025T07-07,1600
20191025T06-07,1550
20191025T05-07,1504
20191025T04-07,1448
20191025T03-07,1394
20191025T02-07,1426
20191025T01-07,1445
20191025T00-07,1396
20191024T23-07,1716
20191024T22-07,1372
20191024T21-07,1644
20191024T20-07,1693
20191024T19-07,1702
20191024T18-07,1585
20191024T17-07,1357
20191024T16-07,1353
20191024T15-07,1349
20191024T14-07,1346
20191024T13-07,1446
20191024T12-07,1546
20191024T11-07,1603
20191024T10-07,1825
20191024T09-07,1803
20191024T08-07,1843
20191024T07-07,1620
20191024T06-07,1759
20191024T05-07,1452
20191024T04-07,1558
20191024T03-07,1474
20191024T02-07,1510
20191024T01-07,1531
20191024T00-07,1585
20191023T23-07,1663
20191023T22-07,1450
20191023T21-07,1608
20191023T20-07,1616
20191023T19-07,1558
20191023T18-07,1483
20191023T17-07,1364
20191023T16-07,1422
20191023T15-07,1395
20191023T14-07,1382
20191023T13-07,1380
20191023T12-07,1389
20191023T11-07,1541
20191023T10-07,1603
20191023T09-07,1690
20191023T08-07,1691
20191023T07-07,1522
20191023T06-07,1677
20191023T05-07,1472
20191023T04-07,1506
20191023T03-07,1447
20191023T02-07,1433
20191023T01-07,1445
20191023T00-07,1865
20191022T23-07,1888
20191022T22-07,1849
20191022T21-07,1928
20191022T20-07,1942
20191022T19-07,1945
20191022T18-07,1889
20191022T17-07,1866
20191022T16-07,1683
20191022T15-07,1625
20191022T14-07,1630
20191022T13-07,1631
20191022T12-07,1645
20191022T11-07,1658
20191022T10-07,1782
20191022T09-07,1804
20191022T08-07,1830
20191022T07-07,1627
20191022T06-07,1614
20191022T05-07,1531
20191022T04-07,1401
20191022T03-07,1384
20191022T02-07,1327
20191022T01-07,1388
20191022T00-07,1694
20191021T23-07,1760
20191021T22-07,1652
20191021T21-07,1878
20191021T20-07,1868
20191021T19-07,1854
20191021T18-07,1846
20191021T17-07,1842
20191021T16-07,1794
20191021T15-07,1625
20191021T14-07,1642
20191021T13-07,1658
20191021T12-07,1727
20191021T11-07,1763
20191021T10-07,1829
20191021T09-07,1898
20191021T08-07,1905
20191021T07-07,1725
20191021T06-07,1631
20191021T05-07,1532
20191021T04-07,1539
20191021T03-07,1426
20191021T02-07,1558
20191021T01-07,1564
20191021T00-07,1628
20191020T23-07,1795
20191020T22-07,1739
20191020T21-07,1750
20191020T20-07,1804
20191020T19-07,1840
20191020T18-07,1802
20191020T17-07,1762
20191020T16-07,1704
20191020T15-07,1570
20191020T14-07,1686
20191020T13-07,1680
20191020T12-07,1572
20191020T11-07,1699
20191020T10-07,1581
20191020T09-07,1606
20191020T08-07,1734
20191020T07-07,1618
20191020T06-07,1803
20191020T05-07,1649
20191020T04-07,1680
20191020T03-07,1675
20191020T02-07,1706
20191020T01-07,1721
20191020T00-07,1471
20191019T23-07,1429
20191019T22-07,1366
20191019T21-07,1389
20191019T20-07,1491
20191019T19-07,1494
20191019T18-07,1530
20191019T17-07,1320
20191019T16-07,1408
20191019T15-07,1381
20191019T14-07,1435
20191019T13-07,1524
20191019T12-07,1532
20191019T11-07,1457
20191019T10-07,1399
20191019T09-07,1478
20191019T08-07,1340
20191019T07-07,1329
20191019T06-07,1274
20191019T05-07,1349
20191019T04-07,1395
20191019T03-07,1321
20191019T02-07,1327
20191019T01-07,1403
20191019T00-07,1456
20191018T23-07,1525
20191018T22-07,1342
20191018T21-07,1503
20191018T20-07,1542
20191018T19-07,1411
20191018T18-07,1463
20191018T17-07,1343
20191018T16-07,1411
20191018T15-07,1381
20191018T14-07,1349
20191018T13-07,1347
20191018T12-07,1318
20191018T11-07,1293
20191018T10-07,1293
20191018T09-07,1383
20191018T08-07,1483
20191018T07-07,1351
20191018T06-07,1464
20191018T05-07,1182
20191018T04-07,1110
20191018T03-07,1106
20191018T02-07,1160
20191018T01-07,1154
20191018T00-07,1315
20191017T23-07,1484
20191017T22-07,1096
20191017T21-07,1287
20191017T20-07,1256
20191017T19-07,1207
20191017T18-07,1190
20191017T17-07,1073
20191017T16-07,1145
20191017T15-07,1133
20191017T14-07,1132
20191017T13-07,1164
20191017T12-07,1205
20191017T11-07,1260
20191017T10-07,1333
20191017T09-07,1219
20191017T08-07,1349
20191017T07-07,1239
20191017T06-07,1283
20191017T05-07,1173
20191017T04-07,1203
20191017T03-07,1079
20191017T02-07,1155
20191017T01-07,1133
20191017T00-07,1058
20191016T23-07,1219
20191016T22-07,1064
20191016T21-07,1062
20191016T20-07,1107
20191016T19-07,1251
20191016T18-07,1145
20191016T17-07,1074
20191016T16-07,1039
20191016T15-07,1047
20191016T14-07,1073
20191016T13-07,1102
20191016T12-07,1014
20191016T11-07,1096
20191016T10-07,1133
20191016T09-07,1133
20191016T08-07,1133
20191016T07-07,1067
20191016T06-07,1121
20191016T05-07,1094
20191016T04-07,1047
20191016T03-07,1124
20191016T02-07,1105
20191016T01-07,1074
20191016T00-07,930
20191015T23-07,1104
20191015T22-07,900
20191015T21-07,1009
20191015T20-07,1131
20191015T19-07,1126
20191015T18-07,1125
20191015T17-07,1052
20191015T16-07,1012
20191015T15-07,1017
20191015T14-07,1050
20191015T13-07,916
20191015T12-07,1053
20191015T11-07,1115
20191015T10-07,1095
20191015T09-07,1079
20191015T08-07,1079
20191015T07-07,1135
20191015T06-07,1003
20191015T05-07,968
20191015T04-07,1069
20191015T03-07,1012
20191015T02-07,972
20191015T01-07,998
20191015T00-07,943
20191014T23-07,1112
20191014T22-07,995
20191014T21-07,1284
20191014T20-07,1328
20191014T19-07,1276
20191014T18-07,1158
20191014T17-07,1089
20191014T16-07,1033
20191014T15-07,910
20191014T14-07,1055
20191014T13-07,1092
20191014T12-07,1119
20191014T11-07,1145
20191014T10-07,1219
20191014T09-07,1225
20191014T08-07,1242
20191014T07-07,985
20191014T06-07,982
20191014T05-07,939
20191014T04-07,868
20191014T03-07,918
20191014T02-07,776
20191014T01-07,1037
