,Day-ahead demand forecast
20191102T02Z,26873
20191102T01Z,26792
20191102T00Z,25856
20191101T23Z,24564
20191101T22Z,23723
20191101T21Z,23627
20191101T20Z,23810
20191101T19Z,24446
20191101T18Z,25361
20191101T17Z,26499
20191101T16Z,27733
20191101T15Z,28823
20191101T14Z,29840
20191101T13Z,30429
20191101T12Z,30154
20191101T11Z,27922
20191101T10Z,25318
20191101T09Z,23897
20191101T08Z,23044
20191101T07Z,22813
20191101T06Z,22716
20191101T05Z,23161
20191101T04Z,24773
20191101T03Z,25868
20191101T02Z,26797
20191101T01Z,27104
20191101T00Z,26548
20191031T23Z,25103
20191031T22Z,24176
20191031T21Z,24029
20191031T20Z,24274
20191031T19Z,24685
20191031T18Z,25235
20191031T17Z,25619
20191031T16Z,25796
20191031T15Z,25629
20191031T14Z,25307
20191031T13Z,24981
20191031T12Z,24733
20191031T11Z,23074
20191031T10Z,21044
20191031T09Z,20211
20191031T08Z,20060
20191031T07Z,20467
20191031T06Z,21135
20191031T05Z,21522
20191031T04Z,23009
20191031T03Z,24747
20191031T02Z,26325
20191031T01Z,27271
20191031T00Z,27601
20191030T23Z,26864
20191030T22Z,26676
20191030T21Z,26752
20191030T20Z,26729
20191030T19Z,26597
20191030T18Z,26347
20191030T17Z,25979
20191030T16Z,25545
20191030T15Z,24968
20191030T14Z,24195
20191030T13Z,23639
20191030T12Z,23330
20191030T11Z,21703
20191030T10Z,19836
20191030T09Z,18942
20191030T08Z,18811
20191030T07Z,19116
20191030T06Z,19778
20191030T05Z,20239
20191030T04Z,21721
20191030T03Z,23569
20191030T02Z,25199
20191030T01Z,26245
20191030T00Z,26372
20191029T23Z,25544
20191029T22Z,25501
20191029T21Z,25491
20191029T20Z,25347
20191029T19Z,25214
20191029T18Z,24903
20191029T17Z,24523
20191029T16Z,24236
20191029T15Z,23928
20191029T14Z,23558
20191029T13Z,23291
20191029T12Z,23198
20191029T11Z,21578
20191029T10Z,19471
20191029T09Z,18459
20191029T08Z,18261
20191029T07Z,18470
20191029T06Z,19007
20191029T05Z,20159
20191029T04Z,21498
20191029T03Z,23148
20191029T02Z,24652
20191029T01Z,25559
20191029T00Z,25628
20191028T23Z,25013
20191028T22Z,25007
20191028T21Z,25115
20191028T20Z,24957
20191028T19Z,24771
20191028T18Z,24461
20191028T17Z,24153
20191028T16Z,24025
20191028T15Z,24033
20191028T14Z,23960
20191028T13Z,23916
20191028T12Z,23752
20191028T11Z,22015
20191028T10Z,19733
20191028T09Z,18509
20191028T08Z,18037
20191028T07Z,18105
20191028T06Z,18448
20191028T05Z,19419
20191028T04Z,20588
20191028T03Z,22006
20191028T02Z,23193
20191028T01Z,23810
20191028T00Z,23695
20191027T23Z,23171
20191027T22Z,23037
20191027T21Z,22943
20191027T20Z,22766
20191027T19Z,22615
20191027T18Z,22376
20191027T17Z,22060
20191027T16Z,21786
20191027T15Z,21572
20191027T14Z,20999
20191027T13Z,19901
20191027T12Z,18979
20191027T11Z,18301
20191027T10Z,17903
20191027T09Z,17781
20191027T08Z,17901
20191027T07Z,18311
20191027T06Z,18982
20191027T05Z,20200
20191027T04Z,21539
20191027T03Z,22800
20191027T02Z,23894
20191027T01Z,24641
20191027T00Z,24982
20191026T23Z,24846
20191026T22Z,25208
20191026T21Z,25353
20191026T20Z,25335
20191026T19Z,25237
20191026T18Z,25091
20191026T17Z,24758
20191026T16Z,24219
20191026T15Z,23376
20191026T14Z,22212
20191026T13Z,20887
20191026T12Z,19907
20191026T11Z,19175
20191026T10Z,18725
20191026T09Z,18549
20191026T08Z,18713
20191026T07Z,19115
20191026T06Z,19815
20191026T05Z,20396
20191026T04Z,21715
20191026T03Z,22971
20191026T02Z,24120
20191026T01Z,24981
20191026T00Z,25401
20191025T23Z,25043
20191025T22Z,25106
20191025T21Z,25079
20191025T20Z,25049
20191025T19Z,24988
20191025T18Z,24879
20191025T17Z,24652
20191025T16Z,24465
20191025T15Z,24111
20191025T14Z,23585
20191025T13Z,23079
20191025T12Z,22753
20191025T11Z,21362
20191025T10Z,19576
20191025T09Z,18692
20191025T08Z,18514
20191025T07Z,18765
20191025T06Z,19377
20191025T05Z,19467
20191025T04Z,20816
20191025T03Z,22573
20191025T02Z,24176
20191025T01Z,25288
20191025T00Z,25515
20191024T23Z,24644
20191024T22Z,24580
20191024T21Z,24477
20191024T20Z,24339
20191024T19Z,24168
20191024T18Z,24102
20191024T17Z,23933
20191024T16Z,24012
20191024T15Z,24104
20191024T14Z,24125
20191024T13Z,24317
20191024T12Z,24361
20191024T11Z,22728
20191024T10Z,20389
20191024T09Z,19136
