,Day-ahead demand forecast
20191102T05Z,37722
20191102T04Z,38973
20191102T03Z,40366
20191102T02Z,41410
20191102T01Z,41344
20191102T00Z,39321
20191101T23Z,39474
20191101T22Z,39634
20191101T21Z,39597
20191101T20Z,39740
20191101T19Z,40253
20191101T18Z,41563
20191101T17Z,43151
20191101T16Z,45058
20191101T15Z,46565
20191101T14Z,48248
20191101T13Z,49658
20191101T12Z,48022
20191101T11Z,44122
20191101T10Z,41199
20191101T09Z,39950
20191101T08Z,39504
20191101T07Z,39083
20191101T06Z,39800
20191101T05Z,40179
20191101T04Z,41881
20191101T03Z,44228
20191101T02Z,44921
20191101T01Z,44561
20191101T00Z,41600
20191031T23Z,41150
20191031T22Z,41136
20191031T21Z,40340
20191031T20Z,40577
20191031T19Z,41722
20191031T18Z,43672
20191031T17Z,44532
20191031T16Z,47042
20191031T15Z,47351
20191031T14Z,47945
20191031T13Z,48710
20191031T12Z,46290
20191031T11Z,42442
20191031T10Z,39999
20191031T09Z,39277
20191031T08Z,38972
20191031T07Z,38367
20191031T06Z,38904
20191031T05Z,38771
20191031T04Z,40409
20191031T03Z,42362
20191031T02Z,43586
20191031T01Z,43992
20191031T00Z,43253
20191030T23Z,43180
20191030T22Z,43339
20191030T21Z,42928
20191030T20Z,42374
20191030T19Z,42302
20191030T18Z,41945
20191030T17Z,42118
20191030T16Z,41495
20191030T15Z,41020
20191030T14Z,39825
20191030T13Z,40230
20191030T12Z,38459
20191030T11Z,35320
20191030T10Z,33621
20191030T09Z,33007
20191030T08Z,33145
20191030T07Z,33571
20191030T06Z,34778
20191030T05Z,35514
20191030T04Z,37851
20191030T03Z,40228
20191030T02Z,41961
20191030T01Z,42441
20191030T00Z,41575
20191029T23Z,41799
20191029T22Z,42100
20191029T21Z,41694
20191029T20Z,41503
20191029T19Z,41264
20191029T18Z,40729
20191029T17Z,40236
20191029T16Z,39484
20191029T15Z,38603
20191029T14Z,37970
20191029T13Z,37945
20191029T12Z,36313
20191029T11Z,33055
20191029T10Z,31365
20191029T09Z,30983
20191029T08Z,31263
20191029T07Z,31981
20191029T06Z,33193
20191029T05Z,34792
20191029T04Z,37507
20191029T03Z,40303
20191029T02Z,42205
20191029T01Z,43010
20191029T00Z,42498
20191028T23Z,42997
20191028T22Z,43162
20191028T21Z,42541
20191028T20Z,41713
20191028T19Z,40762
20191028T18Z,39660
20191028T17Z,38798
20191028T16Z,37903
20191028T15Z,36967
20191028T14Z,36172
20191028T13Z,36170
20191028T12Z,34567
20191028T11Z,31320
20191028T10Z,29444
20191028T09Z,28871
20191028T08Z,29067
20191028T07Z,29623
20191028T06Z,30796
20191028T05Z,32122
20191028T04Z,34357
20191028T03Z,36528
20191028T02Z,37927
20191028T01Z,38443
20191028T00Z,37546
20191027T23Z,37808
20191027T22Z,37787
20191027T21Z,37068
20191027T20Z,36276
20191027T19Z,35607
20191027T18Z,34871
20191027T17Z,34309
20191027T16Z,33964
20191027T15Z,33383
20191027T14Z,32366
20191027T13Z,31484
20191027T12Z,30414
20191027T11Z,29614
20191027T10Z,29184
20191027T09Z,29192
20191027T08Z,29527
20191027T07Z,30142
20191027T06Z,31198
20191027T05Z,32716
20191027T04Z,34122
20191027T03Z,35296
20191027T02Z,36269
20191027T01Z,36582
20191027T00Z,35619
20191026T23Z,35845
20191026T22Z,35854
20191026T21Z,35446
20191026T20Z,35351
20191026T19Z,35478
20191026T18Z,35898
20191026T17Z,36428
20191026T16Z,36866
20191026T15Z,36774
20191026T14Z,36238
20191026T13Z,35540
20191026T12Z,34046
20191026T11Z,32823
20191026T10Z,31966
20191026T09Z,31805
20191026T08Z,32075
20191026T07Z,32773
20191026T06Z,33824
20191026T05Z,34302
20191026T04Z,35818
20191026T03Z,37133
20191026T02Z,38162
20191026T01Z,38336
20191026T00Z,37545
20191025T23Z,37675
20191025T22Z,37786
20191025T21Z,37546
20191025T20Z,37860
20191025T19Z,38142
20191025T18Z,38330
20191025T17Z,38750
20191025T16Z,38938
20191025T15Z,38740
20191025T14Z,38434
20191025T13Z,38398
20191025T12Z,36726
20191025T11Z,33546
20191025T10Z,31781
20191025T09Z,31433
