,Day-ahead demand forecast
20191102T03Z,6049
20191102T02Z,6311
20191102T01Z,6480
20191102T00Z,6574
20191101T23Z,6667
20191101T22Z,6397
20191101T21Z,6151
20191101T20Z,6008
20191101T19Z,5935
20191101T18Z,5912
20191101T17Z,5964
20191101T16Z,5982
20191101T15Z,6077
20191101T14Z,6114
20191101T13Z,6103
20191101T12Z,6142
20191101T11Z,5715
20191101T10Z,4899
20191101T09Z,4516
20191101T08Z,4552
20191101T07Z,4709
20191101T06Z,5021
20191101T05Z,5360
20191101T04Z,5494
20191101T03Z,6023
20191101T02Z,6581
20191101T01Z,7025
20191101T00Z,7225
20191031T23Z,7373
20191031T22Z,7473
20191031T21Z,7524
20191031T20Z,7415
20191031T19Z,7303
20191031T18Z,7235
20191031T17Z,7193
20191031T16Z,6938
20191031T15Z,6676
20191031T14Z,6369
20191031T13Z,6325
20191031T12Z,6338
20191031T11Z,6046
20191031T10Z,5299
20191031T09Z,4916
20191031T08Z,4821
20191031T07Z,4866
20191031T06Z,4942
20191031T05Z,5154
20191031T04Z,5423
20191031T03Z,5921
20191031T02Z,6467
20191031T01Z,6880
20191031T00Z,7107
20191030T23Z,6924
20191030T22Z,6658
20191030T21Z,6573
20191030T20Z,6458
20191030T19Z,6399
20191030T18Z,6360
20191030T17Z,6302
20191030T16Z,6231
20191030T15Z,6149
20191030T14Z,5944
20191030T13Z,5922
20191030T12Z,5957
20191030T11Z,5741
20191030T10Z,5040
20191030T09Z,4668
20191030T08Z,4600
20191030T07Z,4709
20191030T06Z,4853
20191030T05Z,5154
20191030T04Z,5563
20191030T03Z,6093
20191030T02Z,6709
20191030T01Z,7248
20191030T00Z,7504
20191029T23Z,7412
20191029T22Z,7304
20191029T21Z,7320
20191029T20Z,7175
20191029T19Z,6963
20191029T18Z,6755
20191029T17Z,6529
20191029T16Z,6194
20191029T15Z,5983
20191029T14Z,5797
20191029T13Z,5751
20191029T12Z,5772
20191029T11Z,5519
20191029T10Z,4838
20191029T09Z,4531
20191029T08Z,4483
20191029T07Z,4578
20191029T06Z,4784
20191029T05Z,5060
20191029T04Z,5362
20191029T03Z,5902
20191029T02Z,6502
20191029T01Z,7063
20191029T00Z,7433
20191028T23Z,7319
20191028T22Z,7223
20191028T21Z,7261
20191028T20Z,7130
20191028T19Z,6983
20191028T18Z,6834
20191028T17Z,6720
