,Day-ahead demand forecast1
20191206T23-08,1803
20191206T22-08,1893
20191206T21-08,1976
20191206T20-08,2025
20191206T19-08,2051
20191206T18-08,2065
20191206T17-08,2036
20191206T16-08,1965
20191206T15-08,1901
20191206T14-08,1901
20191206T13-08,1930
20191206T12-08,1988
20191206T11-08,2053
20191206T10-08,2119
20191206T09-08,2174
20191206T08-08,2216
20191206T07-08,2206
20191206T06-08,2062
20191206T05-08,1871
20191206T04-08,1756
20191206T03-08,1707
20191206T02-08,1686
20191206T01-08,1716
20191206T00-08,1756
20191205T23-08,1784
20191205T22-08,1898
20191205T21-08,2026
20191205T20-08,2111
20191205T19-08,2152
20191205T18-08,2178
20191205T17-08,2148
20191205T16-08,2019
20191205T15-08,1948
20191205T14-08,1934
20191205T13-08,1951
20191205T12-08,1987
20191205T11-08,2038
20191205T10-08,2087
20191205T09-08,2130
20191205T08-08,2166
20191205T07-08,2164
20191205T06-08,2035
20191205T05-08,1860
20191205T04-08,1755
20191205T03-08,1712
20191205T02-08,1696
20191205T01-08,1739
20191205T00-08,1794
20191204T23-08,1802
20191204T22-08,1916
20191204T21-08,2037
20191204T20-08,2114
20191204T19-08,2145
20191204T18-08,2159
20191204T17-08,2122
20191204T16-08,1996
20191204T15-08,1944
20191204T14-08,1948
20191204T13-08,1974
20191204T12-08,2015
20191204T11-08,2065
20191204T10-08,2110
20191204T09-08,2137
20191204T08-08,2160
20191204T07-08,2136
20191204T06-08,2010
20191204T05-08,1834
20191204T04-08,1731
20191204T03-08,1684
20191204T02-08,1664
20191204T01-08,1720
20191204T00-08,1766
20191203T23-08,1830
20191203T22-08,1945
20191203T21-08,2064
20191203T20-08,2139
20191203T19-08,2174
20191203T18-08,2192
20191203T17-08,2162
20191203T16-08,2046
20191203T15-08,2000
20191203T14-08,2000
20191203T13-08,2018
20191203T12-08,2053
20191203T11-08,2079
20191203T10-08,2105
20191203T09-08,2119
20191203T08-08,2123
20191203T07-08,2098
20191203T06-08,1986
20191203T05-08,1837
20191203T04-08,1742
20191203T03-08,1704
20191203T02-08,1691
20191203T01-08,1696
20191203T00-08,1678
20191202T23-08,1834
20191202T22-08,1944
20191202T21-08,2060
20191202T20-08,2139
20191202T19-08,2183
20191202T18-08,2208
20191202T17-08,2200
20191202T16-08,2099
20191202T15-08,2066
20191202T14-08,2068
20191202T13-08,2087
20191202T12-08,2114
20191202T11-08,2132
20191202T10-08,2148
20191202T09-08,2151
20191202T08-08,2150
20191202T07-08,2102
20191202T06-08,1983
20191202T05-08,1838
20191202T04-08,1750
20191202T03-08,1714
20191202T02-08,1701
20191202T01-08,1636
20191202T00-08,1598
20191201T23-08,1743
20191201T22-08,1846
20191201T21-08,1954
20191201T20-08,2013
20191201T19-08,2037
20191201T18-08,2062
20191201T17-08,2045
20191201T16-08,1926
20191201T15-08,1880
20191201T14-08,1880
20191201T13-08,1908
20191201T12-08,1953
20191201T11-08,1991
20191201T10-08,2016
20191201T09-08,2036
20191201T08-08,1993
20191201T07-08,1899
20191201T06-08,1837
20191201T05-08,1826
20191201T04-08,1821
20191201T03-08,1824
20191201T02-08,1839
20191201T01-08,1796
20191201T00-08,1775
20191130T23-08,1845
20191130T22-08,1917
20191130T21-08,1975
20191130T20-08,2014
20191130T19-08,2039
20191130T18-08,2058
20191130T17-08,2022
20191130T16-08,1887
20191130T15-08,1856
20191130T14-08,1867
20191130T13-08,1910
20191130T12-08,1973
20191130T11-08,2034
20191130T10-08,2062
20191130T09-08,2065
20191130T08-08,2019
20191130T07-08,1894
20191130T06-08,1808
20191130T05-08,1781
20191130T04-08,1749
20191130T03-08,1731
20191130T02-08,1725
20191130T01-08,1726
20191130T00-08,1810
20191129T23-08,1702
20191129T22-08,1752
20191129T21-08,1787
20191129T20-08,1819
20191129T19-08,1844
20191129T18-08,1871
20191129T17-08,1844
20191129T16-08,1743
20191129T15-08,1711
20191129T14-08,1725
20191129T13-08,1785
20191129T12-08,1851
20191129T11-08,1910
20191129T10-08,1927
20191129T09-08,1922
20191129T08-08,1875
20191129T07-08,1760
20191129T06-08,1674
20191129T05-08,1639
20191129T04-08,1609
20191129T03-08,1592
20191129T02-08,1593
20191129T01-08,1728
20191129T00-08,1836
20191128T23-08,1821
20191128T22-08,1895
