,Day-ahead demand forecast
20191102T04Z,13956
20191102T03Z,15030
20191102T02Z,16070
20191102T01Z,16819
20191102T00Z,17295
20191101T23Z,17444
20191101T22Z,16944
20191101T21Z,16940
20191101T20Z,16443
20191101T19Z,16294
20191101T18Z,16320
20191101T17Z,16334
20191101T16Z,16485
20191101T15Z,16638
20191101T14Z,16710
20191101T13Z,16640
20191101T12Z,16230
20191101T11Z,14798
20191101T10Z,13144
20191101T09Z,12391
20191101T08Z,12279
20191101T07Z,12483
20191101T06Z,12903
20191101T05Z,13485
20191101T04Z,14687
20191101T03Z,15867
20191101T02Z,17020
20191101T01Z,17827
20191101T00Z,18521
20191031T23Z,18567
20191031T22Z,18019
20191031T21Z,17675
20191031T20Z,17538
20191031T19Z,17543
20191031T18Z,17628
20191031T17Z,17642
20191031T16Z,17687
20191031T15Z,17642
20191031T14Z,17407
20191031T13Z,17045
20191031T12Z,16585
20191031T11Z,15109
20191031T10Z,13279
20191031T09Z,12472
20191031T08Z,12277
20191031T07Z,12376
20191031T06Z,12655
20191031T05Z,13154
20191031T04Z,14209
20191031T03Z,15385
20191031T02Z,16562
20191031T01Z,17428
20191031T00Z,18096
20191030T23Z,18188
20191030T22Z,17644
20191030T21Z,17293
20191030T20Z,17095
20191030T19Z,17056
20191030T18Z,17099
20191030T17Z,17097
20191030T16Z,17152
20191030T15Z,17161
20191030T14Z,17031
20191030T13Z,16768
20191030T12Z,16355
20191030T11Z,14914
20191030T10Z,13119
20191030T09Z,12315
20191030T08Z,12140
20191030T07Z,12263
20191030T06Z,12571
20191030T05Z,13072
20191030T04Z,13971
20191030T03Z,15156
20191030T02Z,16369
20191030T01Z,17259
20191030T00Z,17918
20191029T23Z,17980
20191029T22Z,17299
20191029T21Z,16966
20191029T20Z,16789
20191029T19Z,16774
20191029T18Z,16847
20191029T17Z,16848
20191029T16Z,16895
20191029T15Z,16917
20191029T14Z,16794
20191029T13Z,16570
20191029T12Z,16229
20191029T11Z,14847
20191029T10Z,13062
20191029T09Z,12258
20191029T08Z,12077
20191029T07Z,12206
20191029T06Z,12527
20191029T05Z,13060
20191029T04Z,13932
20191029T03Z,15160
20191029T02Z,16415
20191029T01Z,17291
20191029T00Z,17932
20191028T23Z,17989
20191028T22Z,17333
20191028T21Z,16940
20191028T20Z,16683
20191028T19Z,16592
20191028T18Z,16602
20191028T17Z,16602
20191028T16Z,16675
20191028T15Z,16714
20191028T14Z,16611
20191028T13Z,16379
20191028T12Z,15954
20191028T11Z,14590
20191028T10Z,12921
20191028T09Z,12126
20191028T08Z,11937
20191028T07Z,12057
20191028T06Z,12347
20191028T05Z,12819
20191028T04Z,13719
20191028T03Z,14653
20191028T02Z,15568
20191028T01Z,16279
20191028T00Z,16786
20191027T23Z,16670
20191027T22Z,15914
20191027T21Z,15432
20191027T20Z,15168
20191027T19Z,15134
20191027T18Z,15178
20191027T17Z,15173
20191027T16Z,15069
20191027T15Z,14855
20191027T14Z,14432
20191027T13Z,13775
20191027T12Z,13080
20191027T11Z,12505
20191027T10Z,12036
20191027T09Z,11885
20191027T08Z,11927
20191027T07Z,12134
20191027T06Z,12498
20191027T05Z,13035
20191027T04Z,13712
20191027T03Z,14532
20191027T02Z,15279
20191027T01Z,15808
20191027T00Z,16175
20191026T23Z,16069
20191026T22Z,15279
20191026T21Z,14846
20191026T20Z,14597
20191026T19Z,14547
20191026T18Z,14605
20191026T17Z,14746
20191026T16Z,14868
20191026T15Z,14908
20191026T14Z,14761
20191026T13Z,14342
20191026T12Z,13808
20191026T11Z,13106
20191026T10Z,12467
20191026T09Z,12183
20191026T08Z,12164
20191026T07Z,12332
20191026T06Z,12667
20191026T05Z,13208
20191026T04Z,13970
20191026T03Z,15005
20191026T02Z,15954
20191026T01Z,16670
20191026T00Z,17241
20191025T23Z,17320
20191025T22Z,16759
20191025T21Z,16562
20191025T20Z,16445
20191025T19Z,16466
20191025T18Z,16531
20191025T17Z,16559
20191025T16Z,16666
20191025T15Z,16719
20191025T14Z,16655
20191025T13Z,16438
20191025T12Z,16092
20191025T11Z,14790
20191025T10Z,13033
20191025T09Z,12221
20191025T08Z,12042
20191025T07Z,12161
20191025T06Z,12460
20191025T05Z,12978
20191025T04Z,13991
20191025T03Z,15189
20191025T02Z,16398
20191025T01Z,17255
20191025T00Z,17748
20191024T23Z,17679
20191024T22Z,17037
20191024T21Z,16714
20191024T20Z,16449
20191024T19Z,16344
20191024T18Z,16330
20191024T17Z,16318
20191024T16Z,16416
20191024T15Z,16511
20191024T14Z,16520
20191024T13Z,16453
20191024T12Z,16238
20191024T11Z,14953
20191024T10Z,13141
20191024T09Z,12305
20191024T08Z,12096
20191024T07Z,12198
20191024T06Z,12494
20191024T05Z,13049
20191024T04Z,13972
20191024T03Z,15166
20191024T02Z,16339
20191024T01Z,17166
20191024T00Z,17693
20191023T23Z,17647
20191023T22Z,17033
20191023T21Z,16686
20191023T20Z,16382
20191023T19Z,16247
20191023T18Z,16192
20191023T17Z,16135
20191023T16Z,16207
20191023T15Z,16306
20191023T14Z,16328
20191023T13Z,16243
20191023T12Z,16052
20191023T11Z,14806
20191023T10Z,13091
20191023T09Z,12305
20191023T08Z,12145
20191023T07Z,12269
20191023T06Z,12576
20191023T05Z,13076
20191023T04Z,14000
20191023T03Z,15159
20191023T02Z,16334
20191023T01Z,17259
20191023T00Z,17899
20191022T23Z,17868
20191022T22Z,17219
20191022T21Z,16981
20191022T20Z,16862
20191022T19Z,16870
20191022T18Z,16940
20191022T17Z,16916
20191022T16Z,16928
20191022T15Z,16912
20191022T14Z,16767
20191022T13Z,16506
20191022T12Z,16123
20191022T11Z,14837
20191022T10Z,13111
20191022T09Z,12315
20191022T08Z,12138
20191022T07Z,12260
20191022T06Z,12573
20191022T05Z,13098
20191022T04Z,14003
20191022T03Z,15191
20191022T02Z,16400
20191022T01Z,17294
20191022T00Z,17842
20191021T23Z,17731
20191021T22Z,17109
20191021T21Z,16733
20191021T20Z,16444
20191021T19Z,16334
20191021T18Z,16338
20191021T17Z,16371
20191021T16Z,16505
20191021T15Z,16611
20191021T14Z,16585
20191021T13Z,16419
20191021T12Z,16087
20191021T11Z,14851
20191021T10Z,13183
20191021T09Z,12333
20191021T08Z,12101
20191021T07Z,12165
20191021T06Z,12397
20191021T05Z,12803
20191021T04Z,13516
20191021T03Z,14423
20191021T02Z,15324
20191021T01Z,16047
20191021T00Z,16469
20191020T23Z,16128
20191020T22Z,15402
20191020T21Z,14912
20191020T20Z,14612
20191020T19Z,14543
20191020T18Z,14566
20191020T17Z,14572
20191020T16Z,14533
20191020T15Z,14430
20191020T14Z,14152
20191020T13Z,13673
20191020T12Z,13150
20191020T11Z,12726
20191020T10Z,12306
20191020T09Z,12129
20191020T08Z,12149
20191020T07Z,12334
20191020T06Z,12668
20191020T05Z,13151
20191020T04Z,13852
20191020T03Z,14705
20191020T02Z,15448
20191020T01Z,15934
20191020T00Z,16181
20191019T23Z,15906
20191019T22Z,15043
20191019T21Z,14544
20191019T20Z,14227
20191019T19Z,14189
20191019T18Z,14312
20191019T17Z,14535
20191019T16Z,14766
20191019T15Z,14965
20191019T14Z,14948
20191019T13Z,14626
20191019T12Z,14033
20191019T11Z,13360
20191019T10Z,12704
20191019T09Z,12375
20191019T08Z,12342
20191019T07Z,12515
20191019T06Z,12869
20191019T05Z,13437
20191019T04Z,14227
20191019T03Z,15247
20191019T02Z,16164
20191019T01Z,16829
20191019T00Z,17314
20191018T23Z,17313
20191018T22Z,16791
20191018T21Z,16600
20191018T20Z,16458
20191018T19Z,16467
20191018T18Z,16544
20191018T17Z,16607
20191018T16Z,16740
20191018T15Z,16809
20191018T14Z,16742
20191018T13Z,16532
20191018T12Z,16152
20191018T11Z,14924
20191018T10Z,13202
20191018T09Z,12397
20191018T08Z,12229
20191018T07Z,12361
20191018T06Z,12684
20191018T05Z,13216
20191018T04Z,13966
20191018T03Z,15138
20191018T02Z,16332
20191018T01Z,17281
20191018T00Z,17846
20191017T23Z,17660
20191017T22Z,17182
20191017T21Z,16926
20191017T20Z,16761
20191017T19Z,16735
20191017T18Z,16774
20191017T17Z,16766
20191017T16Z,16817
20191017T15Z,16824
20191017T14Z,16680
20191017T13Z,16427
20191017T12Z,16072
20191017T11Z,14837
20191017T10Z,13104
20191017T09Z,12315
20191017T08Z,12142
20191017T07Z,12259
20191017T06Z,12559
20191017T05Z,13069
20191017T04Z,14056
20191017T03Z,15239
20191017T02Z,16420
20191017T01Z,17391
20191017T00Z,17967
20191016T23Z,17815
20191016T22Z,17364
20191016T21Z,17112
20191016T20Z,16937
20191016T19Z,16880
20191016T18Z,16863
20191016T17Z,16786
20191016T16Z,16776
20191016T15Z,16737
20191016T14Z,16625
20191016T13Z,16424
20191016T12Z,16032
20191016T11Z,14799
20191016T10Z,13093
20191016T09Z,12279
20191016T08Z,12094
20191016T07Z,12206
20191016T06Z,12499
20191016T05Z,13007
20191016T04Z,13811
20191016T03Z,15008
20191016T02Z,16225
20191016T01Z,17148
20191016T00Z,17619
20191015T23Z,17333
20191015T22Z,16718
20191015T21Z,16386
20191015T20Z,16137
20191015T19Z,16059
20191015T18Z,16086
20191015T17Z,16096
20191015T16Z,16205
20191015T15Z,16334
20191015T14Z,16395
20191015T13Z,16360
20191015T12Z,16110
20191015T11Z,14923
20191015T10Z,13166
20191015T09Z,12302
20191015T08Z,12094
20191015T07Z,12206
20191015T06Z,12520
20191015T05Z,13075
20191015T04Z,14099
20191015T03Z,15316
20191015T02Z,16525
20191015T01Z,17463
20191015T00Z,17994
20191014T23Z,17760
20191014T22Z,17241
20191014T21Z,16882
20191014T20Z,16613
20191014T19Z,16501
20191014T18Z,16498
20191014T17Z,16501
