,Day-ahead demand forecast1
20191206T23-05,23651
20191206T22-05,24652
20191206T21-05,25213
20191206T20-05,25481
20191206T19-05,25586
20191206T18-05,24899
20191206T17-05,23043
20191206T16-05,22514
20191206T15-05,22568
20191206T14-05,23057
20191206T13-05,23638
20191206T12-05,24593
20191206T11-05,25921
20191206T10-05,27303
20191206T09-05,28811
20191206T08-05,29806
20191206T07-05,28978
20191206T06-05,25983
20191206T05-05,24123
20191206T04-05,23250
20191206T03-05,22941
20191206T02-05,22905
20191206T01-05,23219
20191206T00-05,24167
20191205T23-05,25326
20191205T22-05,26648
20191205T21-05,27219
20191205T20-05,27130
20191205T19-05,26657
20191205T18-05,25414
20191205T17-05,23399
20191205T16-05,22705
20191205T15-05,22699
20191205T14-05,23134
20191205T13-05,23733
20191205T12-05,24768
20191205T11-05,26237
20191205T10-05,28120
20191205T09-05,30190
20191205T08-05,31371
20191205T07-05,30636
20191205T06-05,27756
20191205T05-05,25591
20191205T04-05,24706
20191205T03-05,24189
20191205T02-05,24134
20191205T01-05,24325
20191205T00-05,24754
20191204T23-05,25788
20191204T22-05,27007
20191204T21-05,27589
20191204T20-05,27602
20191204T19-05,27148
20191204T18-05,25865
20191204T17-05,23781
20191204T16-05,23104
20191204T15-05,23067
20191204T14-05,23553
20191204T13-05,24241
20191204T12-05,25454
20191204T11-05,27099
20191204T10-05,29093
20191204T09-05,31312
20191204T08-05,32444
20191204T07-05,31680
20191204T06-05,28865
20191204T05-05,26689
20191204T04-05,25789
20191204T03-05,25305
20191204T02-05,25032
20191204T01-05,25256
20191204T00-05,26164
20191203T23-05,27328
20191203T22-05,28619
20191203T21-05,29251
20191203T20-05,29161
20191203T19-05,28752
20191203T18-05,27353
20191203T17-05,24974
20191203T16-05,23941
20191203T15-05,23905
20191203T14-05,24462
20191203T13-05,25010
20191203T12-05,26391
20191203T11-05,28063
20191203T10-05,29870
20191203T09-05,31783
20191203T08-05,32914
20191203T07-05,32135
20191203T06-05,29221
20191203T05-05,27111
20191203T04-05,26192
20191203T03-05,25638
20191203T02-05,25506
20191203T01-05,25668
20191203T00-05,26093
20191202T23-05,27314
20191202T22-05,28786
20191202T21-05,29579
20191202T20-05,29797
20191202T19-05,29472
20191202T18-05,27963
20191202T17-05,25560
20191202T16-05,24487
20191202T15-05,24430
20191202T14-05,24729
20191202T13-05,25048
20191202T12-05,25621
20191202T11-05,26385
20191202T10-05,26931
20191202T09-05,27338
20191202T08-05,27576
20191202T07-05,26265
20191202T06-05,23168
20191202T05-05,21055
20191202T04-05,19962
20191202T03-05,19549
20191202T02-05,19488
20191202T01-05,19725
20191202T00-05,20190
20191201T23-05,21218
20191201T22-05,22119
20191201T21-05,23053
20191201T20-05,23363
20191201T19-05,23247
20191201T18-05,22398
20191201T17-05,20653
20191201T16-05,20033
20191201T15-05,19952
20191201T14-05,19852
20191201T13-05,19966
20191201T12-05,20105
20191201T11-05,20802
20191201T10-05,21515
20191201T09-05,21525
20191201T08-05,20529
20191201T07-05,19637
20191201T06-05,18891
20191201T05-05,18477
20191201T04-05,18406
20191201T03-05,18442
20191201T02-05,18689
20191201T01-05,19243
20191201T00-05,20736
20191130T23-05,21739
20191130T22-05,22667
20191130T21-05,23290
20191130T20-05,23697
20191130T19-05,23936
20191130T18-05,23551
20191130T17-05,21867
20191130T16-05,21338
20191130T15-05,21445
20191130T14-05,21723
20191130T13-05,22181
20191130T12-05,23031
20191130T11-05,23831
20191130T10-05,24233
20191130T09-05,23985
20191130T08-05,23036
20191130T07-05,22251
20191130T06-05,21328
20191130T05-05,20546
20191130T04-05,20274
20191130T03-05,20215
20191130T02-05,20308
20191130T01-05,20791
20191130T00-05,22324
20191129T23-05,22978
20191129T22-05,23608
20191129T21-05,23916
20191129T20-05,23989
20191129T19-05,23983
20191129T18-05,23146
20191129T17-05,20760
20191129T16-05,19950
20191129T15-05,19902
20191129T14-05,20470
20191129T13-05,21356
20191129T12-05,22370
20191129T11-05,23731
20191129T10-05,24729
20191129T09-05,25135
20191129T08-05,25183
20191129T07-05,24195
20191129T06-05,22703
20191129T05-05,21387
20191129T04-05,20567
20191129T03-05,20163
20191129T02-05,19962
20191129T01-05,20086
20191129T00-05,20852
20191128T23-05,21207
20191128T22-05,21383
20191128T21-05,21317
20191128T20-05,20977
20191128T19-05,20475
20191128T18-05,19704
20191128T17-05,18676
20191128T16-05,18619
20191128T15-05,18980
20191128T14-05,19559
20191128T13-05,20747
20191128T12-05,22151
20191128T11-05,23155
20191128T10-05,23801
20191128T09-05,23893
20191128T08-05,23016
20191128T07-05,21929
20191128T06-05,20759
20191128T05-05,19892
20191128T04-05,19371
20191128T03-05,19309
20191128T02-05,19585
20191128T01-05,20177
20191128T00-05,21003
20191127T23-05,22172
20191127T22-05,23386
20191127T21-05,24032
20191127T20-05,24302
20191127T19-05,24581
20191127T18-05,23876
20191127T17-05,22427
20191127T16-05,22012
20191127T15-05,22034
20191127T14-05,22163
20191127T13-05,22324
20191127T12-05,22773
20191127T11-05,23629
20191127T10-05,24198
20191127T09-05,25257
20191127T08-05,25685
20191127T07-05,24949
20191127T06-05,22781
20191127T05-05,21162
20191127T04-05,20633
20191127T03-05,20397
20191127T02-05,20520
20191127T01-05,20973
20191127T00-05,21487
20191126T23-05,22807
20191126T22-05,24133
20191126T21-05,24912
20191126T20-05,25258
20191126T19-05,25237
20191126T18-05,24108
20191126T17-05,22448
20191126T16-05,21909
20191126T15-05,21855
20191126T14-05,22210
20191126T13-05,22634
20191126T12-05,23542
20191126T11-05,24906
20191126T10-05,26754
20191126T09-05,28585
20191126T08-05,29974
20191126T07-05,29230
