,Day-ahead demand forecast
20191102T04Z,13136
20191102T03Z,14369
20191102T02Z,15410
20191102T01Z,16281
20191102T00Z,16956
20191101T23Z,17702
20191101T22Z,18612
20191101T21Z,19541
20191101T20Z,20111
20191101T19Z,20161
20191101T18Z,19406
20191101T17Z,18680
20191101T16Z,17686
20191101T15Z,16856
20191101T14Z,15506
20191101T13Z,14027
20191101T12Z,12664
20191101T11Z,12766
20191101T10Z,12152
20191101T09Z,11407
20191101T08Z,11256
20191101T07Z,11522
20191101T06Z,12175
20191101T05Z,12899
20191101T04Z,13928
20191101T03Z,15445
20191101T02Z,16931
20191101T01Z,18302
20191101T00Z,19501
20191031T23Z,20127
20191031T22Z,20729
20191031T21Z,21378
20191031T20Z,21748
20191031T19Z,21509
20191031T18Z,20815
20191031T17Z,20119
20191031T16Z,19049
20191031T15Z,17596
20191031T14Z,16150
20191031T13Z,14417
20191031T12Z,13191
20191031T11Z,13079
20191031T10Z,12250
20191031T09Z,11539
20191031T08Z,11357
20191031T07Z,11744
20191031T06Z,12243
20191031T05Z,12759
20191031T04Z,14135
20191031T03Z,15510
20191031T02Z,17050
20191031T01Z,18345
20191031T00Z,19482
20191030T23Z,19983
20191030T22Z,20405
20191030T21Z,21249
20191030T20Z,21602
20191030T19Z,21387
20191030T18Z,20857
20191030T17Z,20164
20191030T16Z,19322
20191030T15Z,18153
20191030T14Z,16802
20191030T13Z,15184
20191030T12Z,13883
20191030T11Z,13813
20191030T10Z,12797
20191030T09Z,11964
20191030T08Z,11845
20191030T07Z,12006
20191030T06Z,12360
20191030T05Z,12916
20191030T04Z,14027
20191030T03Z,15516
20191030T02Z,16853
20191030T01Z,18119
20191030T00Z,19229
20191029T23Z,19827
20191029T22Z,20262
20191029T21Z,21105
20191029T20Z,21397
20191029T19Z,21243
20191029T18Z,20836
20191029T17Z,20164
20191029T16Z,19153
20191029T15Z,18092
20191029T14Z,16655
20191029T13Z,14973
20191029T12Z,13655
20191029T11Z,13538
20191029T10Z,12508
20191029T09Z,11771
20191029T08Z,11668
20191029T07Z,11863
20191029T06Z,12247
20191029T05Z,12899
20191029T04Z,14052
20191029T03Z,15386
20191029T02Z,16732
20191029T01Z,17882
20191029T00Z,18871
20191028T23Z,19547
20191028T22Z,19871
20191028T21Z,20589
20191028T20Z,20751
20191028T19Z,20910
20191028T18Z,20304
20191028T17Z,19665
20191028T16Z,18851
20191028T15Z,17752
20191028T14Z,16385
20191028T13Z,14641
20191028T12Z,13531
20191028T11Z,13103
20191028T10Z,12195
20191028T09Z,11503
20191028T08Z,11311
20191028T07Z,11542
20191028T06Z,11878
20191028T05Z,12662
20191028T04Z,13422
20191028T03Z,14686
20191028T02Z,15873
20191028T01Z,16841
20191028T00Z,17798
20191027T23Z,18137
20191027T22Z,18702
20191027T21Z,19519
20191027T20Z,19940
20191027T19Z,19597
20191027T18Z,19343
20191027T17Z,18725
20191027T16Z,17822
20191027T15Z,16763
20191027T14Z,15220
20191027T13Z,13294
20191027T12Z,11503
20191027T11Z,10993
20191027T10Z,10653
20191027T09Z,10758
20191027T08Z,10727
20191027T07Z,11116
20191027T06Z,11660
20191027T05Z,12301
20191027T04Z,13394
20191027T03Z,14379
20191027T02Z,15356
20191027T01Z,16169
20191027T00Z,17036
20191026T23Z,17410
20191026T22Z,17776
20191026T21Z,18583
20191026T20Z,19217
20191026T19Z,18894
20191026T18Z,18848
20191026T17Z,18258
20191026T16Z,17566
20191026T15Z,16578
20191026T14Z,15416
20191026T13Z,13698
20191026T12Z,12012
20191026T11Z,11487
20191026T10Z,11159
20191026T09Z,11068
20191026T08Z,11288
20191026T07Z,11577
20191026T06Z,12046
20191026T05Z,12569
20191026T04Z,13906
20191026T03Z,15038
20191026T02Z,16212
20191026T01Z,17108
20191026T00Z,18019
20191025T23Z,18438
20191025T22Z,18930
20191025T21Z,19915
20191025T20Z,20351
20191025T19Z,20378
20191025T18Z,20266
20191025T17Z,19512
20191025T16Z,18709
20191025T15Z,17574
20191025T14Z,16378
20191025T13Z,14866
20191025T12Z,13648
20191025T11Z,13585
20191025T10Z,12634
20191025T09Z,11831
20191025T08Z,11763
20191025T07Z,11998
20191025T06Z,12312
20191025T05Z,12992
20191025T04Z,13918
20191025T03Z,15183
20191025T02Z,16694
20191025T01Z,17902
20191025T00Z,18991
20191024T23Z,19287
20191024T22Z,19794
20191024T21Z,20598
20191024T20Z,20997
20191024T19Z,20589
20191024T18Z,20301
20191024T17Z,19433
20191024T16Z,18417
20191024T15Z,17266
20191024T14Z,16037
20191024T13Z,14557
20191024T12Z,13438
20191024T11Z,13168
20191024T10Z,12304
20191024T09Z,11581
20191024T08Z,11400
20191024T07Z,11574
20191024T06Z,12153
20191024T05Z,12680
20191024T04Z,13312
20191024T03Z,14534
20191024T02Z,15659
20191024T01Z,16967
20191024T00Z,18024
20191023T23Z,18323
20191023T22Z,18907
20191023T21Z,19583
20191023T20Z,19814
20191023T19Z,19574
20191023T18Z,19245
20191023T17Z,18660
20191023T16Z,17838
20191023T15Z,16759
20191023T14Z,15437
20191023T13Z,14031
20191023T12Z,12979
20191023T11Z,12808
20191023T10Z,11911
20191023T09Z,11225
20191023T08Z,11210
20191023T07Z,11586
20191023T06Z,12048
20191023T05Z,12894
20191023T04Z,13665
20191023T03Z,14998
20191023T02Z,16501
20191023T01Z,17943
20191023T00Z,19219
20191022T23Z,19841
20191022T22Z,20469
20191022T21Z,21183
20191022T20Z,21461
20191022T19Z,21119
20191022T18Z,20603
20191022T17Z,19847
20191022T16Z,18802
20191022T15Z,17540
20191022T14Z,16366
