,Day-ahead demand forecast
20191101T03Z,2634
20191101T02Z,2855
20191101T01Z,2985
20191101T00Z,3036
20191031T23Z,3093
20191031T22Z,3100
20191031T21Z,3142
20191031T20Z,3152
20191031T19Z,3130
20191031T18Z,3061
20191031T17Z,2979
20191031T16Z,2951
20191031T15Z,2810
20191031T14Z,2730
20191031T13Z,2653
20191031T12Z,2675
20191031T11Z,2569
20191031T10Z,2451
20191031T09Z,2304
20191031T08Z,2281
20191031T07Z,2248
20191031T06Z,2350
20191031T05Z,2457
20191031T04Z,2462
20191031T03Z,2578
20191031T02Z,2718
20191031T01Z,2845
20191031T00Z,2920
20191030T23Z,2907
20191030T22Z,2855
20191030T21Z,2760
20191030T20Z,2766
20191030T19Z,2714
20191030T18Z,2697
20191030T17Z,2538
20191030T16Z,2445
20191030T15Z,2393
20191030T14Z,2311
20191030T13Z,2250
20191030T12Z,2271
20191030T11Z,2197
20191030T10Z,2081
20191030T09Z,2109
20191030T08Z,2077
20191030T07Z,2082
20191030T06Z,2138
20191030T05Z,2231
20191030T04Z,2340
20191030T03Z,2469
20191030T02Z,2624
20191030T01Z,2770
20191030T00Z,2841
20191029T23Z,2782
20191029T22Z,2719
20191029T21Z,2728
20191029T20Z,2714
20191029T19Z,2693
20191029T18Z,2682
20191029T17Z,2620
20191029T16Z,2573
20191029T15Z,2539
20191029T14Z,2483
20191029T13Z,2441
20191029T12Z,2453
20191029T11Z,2405
20191029T10Z,2242
20191029T09Z,2155
20191029T08Z,2144
20191029T07Z,2182
20191029T06Z,2214
20191029T05Z,2345
20191029T04Z,2385
20191029T03Z,2541
20191029T02Z,2708
20191029T01Z,2868
20191029T00Z,2992
20191028T23Z,2956
20191028T22Z,2942
20191028T21Z,2947
20191028T20Z,2911
20191028T19Z,2852
20191028T18Z,2767
20191028T17Z,2680
20191028T16Z,2598
20191028T15Z,2541
20191028T14Z,2447
20191028T13Z,2410
20191028T12Z,2437
20191028T11Z,2320
20191028T10Z,2217
20191028T09Z,2084
20191028T08Z,2090
20191028T07Z,2129
20191028T06Z,2160
20191028T05Z,2292
20191028T04Z,2507
20191028T03Z,2702
20191028T02Z,2891
20191028T01Z,3049
20191028T00Z,3128
20191027T23Z,3082
20191027T22Z,3070
20191027T21Z,3138
20191027T20Z,3147
20191027T19Z,3107
20191027T18Z,3075
20191027T17Z,3039
20191027T16Z,2977
20191027T15Z,2834
20191027T14Z,2754
20191027T13Z,2629
20191027T12Z,2476
20191027T11Z,2326
20191027T10Z,2343
20191027T09Z,2245
20191027T08Z,2259
20191027T07Z,2302
20191027T06Z,2346
20191027T05Z,2369
20191027T04Z,2456
20191027T03Z,2559
20191027T02Z,2692
20191027T01Z,2795
20191027T00Z,2851
20191026T23Z,2831
20191026T22Z,2902
20191026T21Z,2928
20191026T20Z,2867
20191026T19Z,2858
20191026T18Z,2830
20191026T17Z,2683
20191026T16Z,2653
20191026T15Z,2531
20191026T14Z,2458
20191026T13Z,2337
20191026T12Z,2197
20191026T11Z,2095
20191026T10Z,2103
