,Day-ahead demand forecast
20191101T02Z,586
20191101T01Z,566
20191101T00Z,553
20191031T23Z,553
20191031T22Z,556
20191031T21Z,563
20191031T20Z,578
20191031T19Z,588
20191031T18Z,603
20191031T17Z,626
20191031T16Z,651
20191031T15Z,674
20191031T14Z,672
20191031T13Z,641
20191031T12Z,625
20191031T11Z,616
20191031T10Z,612
20191031T09Z,608
20191031T08Z,608
20191031T07Z,592
20191031T06Z,598
20191031T05Z,609
20191031T04Z,613
20191031T03Z,610
20191031T02Z,602
20191031T01Z,579
20191031T00Z,565
20191030T23Z,562
20191030T22Z,574
20191030T21Z,570
20191030T20Z,585
20191030T19Z,606
20191030T18Z,622
20191030T17Z,644
20191030T16Z,670
20191030T15Z,715
20191030T14Z,717
20191030T13Z,686
20191030T12Z,656
20191030T11Z,642
20191030T10Z,631
20191030T09Z,627
20191030T08Z,582
20191030T07Z,606
20191030T06Z,612
20191030T05Z,622
20191030T04Z,626
20191030T03Z,625
20191030T02Z,611
20191030T01Z,594
20191030T00Z,578
20191029T23Z,574
20191029T22Z,576
20191029T21Z,577
20191029T20Z,584
20191029T19Z,596
20191029T18Z,611
20191029T17Z,634
20191029T16Z,662
20191029T15Z,683
20191029T14Z,680
20191029T13Z,648
20191029T12Z,619
20191029T11Z,607
20191029T10Z,597
20191029T09Z,583
20191029T08Z,545
20191029T07Z,560
20191029T06Z,565
20191029T05Z,575
20191029T04Z,579
20191029T03Z,578
20191029T02Z,567
20191029T01Z,552
20191029T00Z,541
20191028T23Z,540
20191028T22Z,543
20191028T21Z,549
20191028T20Z,558
20191028T19Z,568
20191028T18Z,582
20191028T17Z,602
20191028T16Z,626
20191028T15Z,643
20191028T14Z,637
20191028T13Z,608
20191028T12Z,583
20191028T11Z,573
20191028T10Z,565
20191028T09Z,557
20191028T08Z,539
20191028T07Z,544
20191028T06Z,550
20191028T05Z,558
20191028T04Z,562
20191028T03Z,560
20191028T02Z,549
20191028T01Z,537
20191028T00Z,525
20191027T23Z,523
20191027T22Z,525
20191027T21Z,528
20191027T20Z,534
20191027T19Z,541
20191027T18Z,552
20191027T17Z,567
20191027T16Z,580
20191027T15Z,586
20191027T14Z,580
20191027T13Z,564
20191027T12Z,554
20191027T11Z,550
20191027T10Z,547
20191027T09Z,544
20191027T08Z,511
20191027T07Z,524
20191027T06Z,531
20191027T05Z,538
20191027T04Z,541
20191027T03Z,541
20191027T02Z,537
20191027T01Z,531
20191027T00Z,524
20191026T23Z,527
20191026T22Z,530
20191026T21Z,536
20191026T20Z,541
20191026T19Z,549
20191026T18Z,551
20191026T17Z,556
20191026T16Z,564
20191026T15Z,561
20191026T14Z,552
20191026T13Z,538
20191026T12Z,527
20191026T11Z,524
20191026T10Z,519
20191026T09Z,517
20191026T08Z,524
20191026T07Z,529
20191026T06Z,537
20191026T05Z,548
20191026T04Z,553
20191026T03Z,555
20191026T02Z,551
20191026T01Z,543
20191026T00Z,540
20191025T23Z,542
20191025T22Z,542
20191025T21Z,545
20191025T20Z,549
20191025T19Z,556
20191025T18Z,564
20191025T17Z,576
20191025T16Z,593
20191025T15Z,603
20191025T14Z,598
20191025T13Z,572
20191025T12Z,551
20191025T11Z,545
20191025T10Z,537
20191025T09Z,536
20191025T08Z,515
20191025T07Z,539
20191025T06Z,547
20191025T05Z,560
20191025T04Z,567
20191025T03Z,567
20191025T02Z,563
20191025T01Z,553
20191025T00Z,550
20191024T23Z,551
20191024T22Z,551
20191024T21Z,554
20191024T20Z,555
20191024T19Z,561
20191024T18Z,566
20191024T17Z,579
20191024T16Z,590
20191024T15Z,600
20191024T14Z,594
20191024T13Z,566
20191024T12Z,547
20191024T11Z,538
20191024T10Z,532
20191024T09Z,534
20191024T08Z,530
20191024T07Z,553
20191024T06Z,561
20191024T05Z,575
20191024T04Z,581
20191024T03Z,585
20191024T02Z,579
20191024T01Z,573
20191024T00Z,566
20191023T23Z,566
20191023T22Z,564
20191023T21Z,566
20191023T20Z,568
20191023T19Z,575
20191023T18Z,579
20191023T17Z,587
20191023T16Z,600
20191023T15Z,609
20191023T14Z,605
20191023T13Z,574
20191023T12Z,553
20191023T11Z,547
20191023T10Z,542
20191023T09Z,542
20191023T08Z,520
20191023T07Z,534
20191023T06Z,542
20191023T05Z,556
20191023T04Z,564
20191023T03Z,566
20191023T02Z,564
20191023T01Z,557
20191023T00Z,551
20191022T23Z,553
20191022T22Z,549
20191022T21Z,552
20191022T20Z,551
20191022T19Z,555
20191022T18Z,556
20191022T17Z,562
20191022T16Z,569
20191022T15Z,576
20191022T14Z,571
20191022T13Z,547
20191022T12Z,539
20191022T11Z,535
20191022T10Z,532
20191022T09Z,532
20191022T08Z,556
20191022T07Z,562
20191022T06Z,571
20191022T05Z,586
20191022T04Z,596
20191022T03Z,598
20191022T02Z,596
20191022T01Z,592
20191022T00Z,588
20191021T23Z,586
20191021T22Z,585
20191021T21Z,587
20191021T20Z,587
20191021T19Z,590
20191021T18Z,592
20191021T17Z,600
20191021T16Z,610
20191021T15Z,617
20191021T14Z,609
20191021T13Z,594
20191021T12Z,582
20191021T11Z,571
20191021T10Z,566
20191021T09Z,554
20191021T08Z,561
20191021T07Z,553
20191021T06Z,559
20191021T05Z,570
20191021T04Z,575
20191021T03Z,573
20191021T02Z,565
20191021T01Z,558
20191021T00Z,552
20191020T23Z,551
20191020T22Z,554
20191020T21Z,560
20191020T20Z,563
20191020T19Z,570
20191020T18Z,576
20191020T17Z,585
20191020T16Z,591
20191020T15Z,592
20191020T14Z,588
20191020T13Z,576
20191020T12Z,571
20191020T11Z,568
20191020T10Z,563
20191020T09Z,555
20191020T08Z,560
20191020T07Z,540
20191020T06Z,546
20191020T05Z,554
20191020T04Z,557
20191020T03Z,558
20191020T02Z,555
20191020T01Z,549
20191020T00Z,546
20191019T23Z,548
20191019T22Z,551
20191019T21Z,557
20191019T20Z,564
