,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20200101T18-08,714,7956,2273.0,90.0,741,48,925,2447
20200101T17-08,654,7695,2272.0,91.0,750,80,594,2594
20200101T16-08,654,6781,2271.0,90.0,740,1712,348,2863
20200101T15-08,654,6230,2270.0,92.0,742,5062,290,2937
20200101T14-08,653,5552,2273.0,91.0,743,7004,282,2469
20200101T13-08,653,5441,2272.0,46.0,739,5868,273,2704
20200101T12-08,654,5287,2272.0,83.0,737,7141,276,1853
20200101T11-08,656,5320,2275.0,62.0,744,7378,286,1626
20200101T10-08,656,5475,2273.0,56.0,746,7614,290,1013
20200101T09-08,657,6395,2272.0,46.0,749,6195,351,1018
20200101T08-08,656,6700,2273.0,46.0,753,2820,350,881
20200101T07-08,656,8221,2271.0,46.0,754,154,338,523
20200101T06-08,655,8160,2272.0,58.0,751,4,227,962
20200101T05-08,658,8378,2271.0,90.0,754,3,207,761
20200101T04-08,651,8498,2272.0,90.0,756,4,205,823
20200101T03-08,651,8925,2274.0,91.0,755,4,207,527
20200101T02-08,665,9321,2274.0,90.0,749,5,259,654
20200101T01-08,771,10236,2272.0,91.0,750,5,304,334
20200101T00-08,978,10294,2275.0,46.0,696,6,397,289
20191231T23-08,982,10313,2275.0,46.0,700,6,429,334
20191231T22-08,971,9910,2275.0,90.0,703,6,511,249
20191231T21-08,968,9988,2272.0,90.0,703,5,538,278
20191231T20-08,965,10151,2272.0,46.0,706,5,876,351
20191231T19-08,1086,10441,2272.0,91.0,707,6,1086,379
20191231T18-08,1148,11254,2273.0,91.0,703,5,1076,263
20191231T17-08,1000,11414,2272.0,91.0,696,1439,608,227
20191231T16-08,694,9123,2273.0,91.0,698,1843,401,242
20191231T15-08,654,8153,2274.0,91.0,696,6771,370,325
20191231T14-08,655,7457,2273.0,91.0,697,8146,371,440
20191231T13-08,656,7252,2272.0,47.0,696,8916,369,542
20191231T12-08,657,7277,2274.0,88.0,678,8322,400,681
20191231T11-08,659,7452,2272.0,90.0,691,8252,431,717
20191231T10-08,656,7259,2271.0,90.0,700,8469,413,713
20191231T09-08,657,8162,2271.0,90.0,701,6686,442,704
20191231T08-08,889,9817,2271.0,91.0,705,2986,600,762
20191231T07-08,929,10011,2271.0,90.0,708,39,617,936
20191231T06-08,861,9605,2271.0,46.0,707,4,422,816
20191231T05-08,664,9661,2273.0,90.0,705,3,406,736
20191231T04-08,660,9173,2271.0,46.0,705,4,379,1029
20191231T03-08,658,9516,2272.0,91.0,708,3,381,1032
20191231T02-08,658,9814,2273.0,90.0,701,3,388,1067
20191231T01-08,687,10078,2272.0,90.0,694,4,375,1348
20191231T00-08,932,11058,2272.0,90.0,695,7,264,1200
20191230T23-08,1042,12230,2272.0,90.0,701,7,301,990
20191230T22-08,1387,12494,2273.0,91.0,706,7,497,930
20191230T21-08,1493,12864,2272.0,91.0,733,7,723,753
20191230T20-08,1475,13280,2272.0,46.0,731,7,816,615
20191230T19-08,1469,13550,2273.0,90.0,736,7,865,556
20191230T18-08,1649,13702,2273.0,91.0,738,7,874,660
20191230T17-08,1277,13419,2273.0,90.0,727,1177,401,609
20191230T16-08,938,11850,2275.0,92.0,696,1526,347,532
20191230T15-08,671,9912,2275.0,91.0,697,4782,339,531
20191230T14-08,658,9958,2276.0,91.0,697,5652,328,449
20191230T13-08,662,9730,2274.0,91.0,696,6167,326,467
20191230T12-08,663,9684,2276.0,80.0,678,6672,358,531
20191230T11-08,661,10120,2275.0,48.0,688,5826,401,559
20191230T10-08,804,11289,2275.0,46.0,696,3852,373,476
20191230T09-08,886,11975,2275.0,83.0,699,2198,343,468
20191230T08-08,1129,12115,2274.0,85.0,704,946,444,469
20191230T07-08,999,11660,2273.0,90.0,708,21,413,457
20191230T06-08,682,10641,2276.0,90.0,707,5,276,575
20191230T05-08,659,9861,2274.0,90.0,707,4,263,789
20191230T04-08,656,9256,2273.0,90.0,707,4,253,847
20191230T03-08,655,10010,2274.0,90.0,710,4,247,860
20191230T02-08,659,10512,2275.0,90.0,703,4,249,562
20191230T01-08,661,10795,2273.0,91.0,705,5,249,512
20191230T00-08,792,11194,2274.0,46.0,702,5,226,420
20191229T23-08,952,11975,2273.0,90.0,705,6,296,415
20191229T22-08,1253,12375,2273.0,90.0,734,6,503,529
20191229T21-08,1393,12489,2273.0,90.0,735,6,855,562
20191229T20-08,1360,12355,2272.0,91.0,738,6,893,411
20191229T19-08,1467,12467,2272.0,90.0,736,6,855,148
20191229T18-08,1522,12536,2273.0,90.0,737,6,824,58
20191229T17-08,1412,12261,2273.0,91.0,739,429,500,193
20191229T16-08,1043,10536,2272.0,90.0,735,615,418,244
20191229T15-08,723,9422,2275.0,46.0,712,3583,361,86
20191229T14-08,715,8307,2273.0,91.0,700,5406,387,81
20191229T13-08,662,7808,2274.0,91.0,681,5806,378,66
20191229T12-08,678,8041,2276.0,90.0,695,7148,395,27
20191229T11-08,665,7563,2275.0,90.0,681,5881,356,112
20191229T10-08,744,7885,2274.0,91.0,697,6084,341,117
20191229T09-08,676,8570,2276.0,91.0,698,4550,317,127
20191229T08-08,713,9731,2276.0,90.0,701,2621,362,202
20191229T07-08,1017,10537,2272.0,91.0,705,208,345,235
20191229T06-08,894,10312,2272.0,90.0,701,4,255,226
20191229T05-08,722,10242,2273.0,90.0,700,4,244,93
20191229T04-08,662,10476,2272.0,90.0,702,4,235,145
20191229T03-08,661,10474,2273.0,90.0,705,4,239,169
20191229T02-08,661,10480,2274.0,90.0,710,4,246,217
20191229T01-08,666,10705,2272.0,90.0,710,4,320,225
20191229T00-08,839,11640,2271.0,90.0,709,5,384,195
20191228T23-08,972,11680,2272.0,90.0,718,5,423,194
20191228T22-08,1240,11925,2274.0,91.0,739,5,568,144
20191228T21-08,1384,12088,2274.0,91.0,712,5,833,303
20191228T20-08,1509,12148,2272.0,90.0,733,5,929,230
20191228T19-08,1709,11838,2271.0,91.0,707,5,884,207
20191228T18-08,1723,11863,2271.0,91.0,737,5,777,190
20191228T17-08,1466,11234,2270.0,91.0,709,1605,511,200
20191228T16-08,830,8639,2270.0,90.0,731,2032,340,332
20191228T15-08,657,6290,2273.0,90.0,701,6350,314,496
20191228T14-08,659,5563,2273.0,91.0,698,7825,302,493
20191228T13-08,661,5434,2271.0,90.0,696,8628,414,530
20191228T12-08,660,5417,2272.0,91.0,694,8149,439,552
20191228T11-08,661,5882,2273.0,91.0,691,8450,366,428
20191228T10-08,659,5688,2270.0,90.0,697,8064,382,356
20191228T09-08,659,6740,2274.0,91.0,703,7858,373,384
20191228T08-08,717,9012,2273.0,90.0,705,3778,420,467
20191228T07-08,948,10618,2272.0,90.0,703,173,406,537
20191228T06-08,781,9791,2270.0,90.0,706,4,302,640
20191228T05-08,663,10313,2271.0,91.0,700,4,262,656
20191228T04-08,660,10386,2273.0,91.0,702,5,260,576
20191228T03-08,658,10863,2271.0,91.0,706,4,256,358
20191228T02-08,659,10846,2272.0,91.0,706,4,256,315
20191228T01-08,729,11724,2272.0,90.0,702,4,255,309
20191228T00-08,799,12047,2271.0,91.0,705,4,185,612
20191227T23-08,1064,12509,2271.0,91.0,705,5,218,362
20191227T22-08,1445,12788,2270.0,91.0,708,5,392,193
20191227T21-08,1561,13235,2271.0,90.0,712,5,653,380
20191227T20-08,1603,13259,2271.0,91.0,735,5,742,509
20191227T19-08,1640,13006,2269.0,91.0,736,6,758,897
20191227T18-08,1511,12866,2269.0,91.0,743,10,743,1121
20191227T17-08,1164,12614,2267.0,91.0,701,46,549,696
20191227T16-08,715,10446,2268.0,91.0,704,2101,361,804
20191227T15-08,660,8882,2270.0,91.0,697,6299,336,1011
20191227T14-08,662,8323,2270.0,91.0,684,7845,329,1181
20191227T13-08,665,8507,2270.0,51.0,680,7527,347,1500
20191227T12-08,662,7977,2271.0,90.0,685,7656,417,1624
20191227T11-08,661,7885,2270.0,90.0,707,7440,429,1564
20191227T10-08,661,8371,2267.0,91.0,708,6923,447,1546
20191227T09-08,670,10456,2268.0,48.0,708,5305,460,1254
20191227T08-08,962,12336,2270.0,90.0,708,2164,454,1341
20191227T07-08,1156,11579,2270.0,90.0,707,57,419,940
20191227T06-08,884,11093,2271.0,91.0,710,4,315,1089
20191227T05-08,679,10978,2270.0,91.0,709,4,286,1358
20191227T04-08,660,11399,2269.0,91.0,704,4,275,1115
20191227T03-08,658,11406,2269.0,46.0,706,4,288,748
20191227T02-08,658,11576,2271.0,90.0,705,4,288,684
20191227T01-08,679,11348,2270.0,91.0,706,4,277,814
20191227T00-08,909,11912,2269.0,90.0,706,8,246,725
20191226T23-08,1139,12828,2272.0,90.0,731,8,315,1069
20191226T22-08,1338,13914,2269.0,91.0,737,8,437,1177
20191226T21-08,1458,14113,2271.0,90.0,736,8,527,1233
20191226T20-08,1513,14064,2269.0,90.0,731,8,582,1093
20191226T19-08,1451,14450,2269.0,90.0,734,0,846,995
20191226T18-08,1439,14436,2270.0,91.0,737,0,767,863
