,coal,natural gas,other,solar,hydro,wind
20191231T12-07,2637,830,113,409.0,69,1120
20191231T11-07,2851,863,112,327.0,71,1052
20191231T10-07,3087,921,113,172.0,69,1076
20191231T09-07,3105,1036,113,65.0,69,979
20191231T08-07,3111,971,111,0.0,69,1032
20191231T07-07,3106,1008,112,0.0,70,1052
20191231T06-07,3040,975,114,0.0,69,1023
20191231T05-07,2957,863,113,0.0,73,1066
20191231T04-07,3035,900,111,0.0,67,1012
20191231T03-07,3014,884,113,0.0,70,894
20191231T02-07,3069,939,113,0.0,73,842
20191231T01-07,3047,890,113,0.0,69,891
20191231T00-07,3104,922,111,0.0,70,882
20191230T23-07,2989,1008,109,0.0,71,918
20191230T22-07,2928,1072,112,0.0,71,854
20191230T21-07,2930,1057,111,0.0,73,819
20191230T20-07,2995,1075,112,0.0,68,844
20191230T19-07,3092,1175,112,0.0,73,855
20191230T18-07,3109,1095,112,2.0,74,887
20191230T17-07,3222,998,112,154.0,68,838
20191230T16-07,3334,957,115,522.0,70,854
20191230T15-07,3356,998,113,593.0,70,879
20191230T14-07,3378,959,114,556.0,68,842
20191230T13-07,3398,954,110,488.0,68,854
20191230T12-07,3386,1036,115,490.0,71,832
20191230T11-07,3406,1022,113,411.0,71,856
20191230T10-07,3442,1062,110,266.0,72,796
20191230T09-07,3359,1106,113,62.0,73,788
20191230T08-07,3335,1090,110,2.0,69,814
20191230T07-07,3287,1040,111,0.0,73,877
20191230T06-07,3270,920,112,0.0,68,873
20191230T05-07,3253,824,112,0.0,70,835
20191230T04-07,3244,832,112,0.0,72,814
20191230T03-07,3217,859,110,0.0,71,811
20191230T02-07,3257,923,112,0.0,72,708
20191230T01-07,3337,893,110,0.0,70,727
20191230T00-07,3344,927,113,0.0,73,745
20191229T23-07,3339,1022,112,0.0,71,800
20191229T22-07,3325,1017,111,0.0,72,853
20191229T21-07,3225,1062,111,0.0,73,806
20191229T20-07,3287,1062,112,0.0,72,887
20191229T19-07,3278,1169,111,0.0,73,898
20191229T18-07,3285,1075,110,3.0,73,936
20191229T17-07,3305,1003,111,64.0,72,944
20191229T16-07,3299,972,112,185.0,71,903
20191229T15-07,3285,1057,110,281.0,72,922
20191229T14-07,3263,1035,110,440.0,70,949
20191229T13-07,3217,1030,112,477.0,70,909
20191229T12-07,3187,1014,112,525.0,70,880
20191229T11-07,3318,994,111,483.0,70,855
20191229T10-07,3546,910,111,466.0,69,817
20191229T09-07,3557,1010,112,139.0,70,825
20191229T08-07,3584,1073,116,1.0,72,847
20191229T07-07,3609,940,107,0.0,69,829
20191229T06-07,4009,900,111,0.0,70,826
20191229T05-07,4063,883,112,0.0,69,812
20191229T04-07,4123,911,111,0.0,72,693
20191229T03-07,4075,953,110,0.0,71,713
20191229T02-07,4006,891,111,0.0,72,834
20191229T01-07,3943,947,109,0.0,71,880
20191229T00-07,3927,953,110,0.0,75,880
20191228T23-07,3999,987,111,0.0,72,784
20191228T22-07,4044,1031,110,0.0,73,759
20191228T21-07,4060,1035,111,0.0,71,766
20191228T20-07,4074,1035,109,0.0,76,727
20191228T19-07,4052,1048,113,0.0,73,651
20191228T18-07,4048,990,112,2.0,72,660
20191228T17-07,4084,924,112,103.0,71,514
20191228T16-07,3954,805,112,282.0,72,456
20191228T15-07,3859,823,114,338.0,71,494
20191228T14-07,3899,853,113,332.0,70,572
20191228T13-07,3982,845,113,353.0,71,633
20191228T12-07,3937,901,112,377.0,71,647
20191228T11-07,3846,844,113,377.0,70,695
20191228T10-07,3922,843,111,220.0,71,741
20191228T09-07,3943,978,111,32.0,73,752
20191228T08-07,3932,882,112,1.0,72,865
20191228T07-07,3901,847,109,0.0,73,815
20191228T06-07,3907,806,109,0.0,72,783
20191228T05-07,3942,765,110,0.0,72,708
20191228T04-07,3974,788,111,0.0,73,612
20191228T03-07,3963,775,110,0.0,72,467
20191228T02-07,4152,757,109,0.0,72,312
20191228T01-07,4156,799,110,0.0,71,276
20191228T00-07,4156,920,112,0.0,72,254
20191227T23-07,4155,1052,110,0.0,74,160
20191227T22-07,4160,1082,112,0.0,72,108
20191227T21-07,4106,1083,109,0.0,71,100
20191227T20-07,4056,1067,111,0.0,75,54
20191227T19-07,4063,1148,112,0.0,72,14
20191227T18-07,4072,1101,110,2.0,72,0
20191227T17-07,3974,937,111,43.0,73,3
20191227T16-07,3760,845,111,120.0,74,6
20191227T15-07,3677,853,112,218.0,73,4
20191227T14-07,3829,880,113,291.0,72,6
20191227T13-07,3787,870,113,285.0,73,12
20191227T12-07,3947,935,113,255.0,71,4
20191227T11-07,4103,997,112,161.0,74,12
20191227T10-07,4169,1031,109,58.0,72,43
20191227T09-07,4176,1088,110,21.0,74,53
20191227T08-07,4154,1023,112,0.0,76,119
20191227T07-07,4177,1009,111,0.0,73,147
20191227T06-07,4186,891,110,0.0,75,256
20191227T05-07,4191,871,109,0.0,76,275
20191227T04-07,4192,908,110,0.0,77,262
20191227T03-07,4149,903,111,0.0,75,382
20191227T02-07,4178,851,110,0.0,76,356
20191227T01-07,4174,892,108,0.0,69,278
20191227T00-07,4183,964,111,0.0,76,297
20191226T23-07,4173,1139,110,0.0,75,315
20191226T22-07,4183,1139,109,0.0,74,283
20191226T21-07,4160,1151,112,0.0,74,331
20191226T20-07,4093,1167,110,0.0,75,435
20191226T19-07,4181,1212,112,0.0,73,320
20191226T18-07,4183,1271,111,0.0,74,224
20191226T17-07,4185,1123,112,68.0,76,262
20191226T16-07,4174,995,112,193.0,71,322
20191226T15-07,4166,960,113,238.0,75,297
20191226T14-07,4163,912,114,339.0,73,249
20191226T13-07,4178,947,114,296.0,76,239
20191226T12-07,4173,948,113,279.0,73,171
20191226T11-07,4143,908,113,269.0,76,157
20191226T10-07,4127,979,109,182.0,75,168
20191226T09-07,4087,1025,107,40.0,75,175
20191226T08-07,4125,939,110,0.0,74,232
20191226T07-07,4178,886,109,0.0,74,190
20191226T06-07,4183,910,109,0.0,74,179
20191226T05-07,4181,924,110,0.0,74,209
20191226T04-07,4116,903,110,0.0,77,269
20191226T03-07,4092,862,111,0.0,75,293
20191226T02-07,4131,828,113,0.0,77,319
20191226T01-07,4106,850,112,0.0,75,315
20191226T00-07,4123,878,114,0.0,75,297
20191225T23-07,4133,870,112,0.0,78,294
20191225T22-07,4153,972,112,0.0,75,302
20191225T21-07,4177,981,113,0.0,77,213
20191225T20-07,4097,973,113,0.0,73,221
20191225T19-07,4112,942,111,0.0,75,225
20191225T18-07,4134,957,111,1.0,74,251
20191225T17-07,4086,961,112,39.0,74,301
20191225T16-07,3931,920,110,136.0,74,318
20191225T15-07,3640,807,110,202.0,74,269
20191225T14-07,3365,764,109,329.0,76,205
20191225T13-07,3222,788,111,337.0,73,182
20191225T12-07,3212,757,109,463.0,74,159
20191225T11-07,3435,743,109,270.0,73,80
20191225T10-07,4040,905,110,134.0,74,96
20191225T09-07,4057,958,110,26.0,76,133
20191225T08-07,4059,885,107,0.0,75,101
20191225T07-07,4053,808,109,0.0,76,73
20191225T06-07,4053,813,110,0.0,76,49
20191225T05-07,4039,768,109,0.0,76,38
20191225T04-07,4052,841,111,0.0,78,38
20191225T03-07,4063,871,107,0.0,77,70
20191225T02-07,4061,838,111,0.0,76,101
20191225T01-07,4068,916,109,0.0,75,107
20191225T00-07,4071,989,111,0.0,76,147
20191224T23-07,4065,991,109,0.0,74,204
20191224T22-07,4066,919,111,0.0,76,252
20191224T21-07,4025,937,111,0.0,71,248
20191224T20-07,4038,961,110,0.0,73,195
20191224T19-07,4055,1137,112,0.0,70,304
20191224T18-07,4060,1025,111,0.0,72,428
20191224T17-07,3907,984,112,38.0,73,465
20191224T16-07,3565,854,113,161.0,72,639
20191224T15-07,3547,822,114,227.0,73,724
20191224T14-07,3589,842,114,284.0,72,835
20191224T13-07,3760,830,112,358.0,72,769
20191224T12-07,3876,927,114,413.0,70,785
20191224T11-07,3764,792,113,551.0,69,985
20191224T10-07,3832,843,111,447.0,69,1043
20191224T09-07,3844,846,110,108.0,69,1021
20191224T08-07,3883,846,112,0.0,67,954
20191224T07-07,4052,813,109,0.0,67,871
20191224T06-07,3987,839,112,0.0,67,872
20191224T05-07,4043,769,112,0.0,66,734
20191224T04-07,4085,780,112,0.0,68,493
20191224T03-07,4046,815,115,0.0,64,504
20191224T02-07,3997,892,111,0.0,67,527
20191224T01-07,3988,940,112,0.0,68,493
20191224T00-07,4005,1145,113,0.0,67,514
20191223T23-07,3903,1334,113,0.0,67,387
20191223T22-07,3733,1387,111,1.0,64,406
20191223T21-07,3644,1439,113,0.0,69,536
20191223T20-07,3631,1437,112,0.0,66,514
20191223T19-07,3654,1467,114,0.0,67,440
20191223T18-07,3557,1423,113,0.0,66,548
20191223T17-07,3551,1286,114,29.0,66,665
20191223T16-07,3644,1101,113,103.0,67,633
20191223T15-07,3654,1041,113,154.0,67,534
20191223T14-07,3638,1084,113,143.0,66,441
20191223T13-07,3605,1085,114,194.0,71,405
20191223T12-07,3620,1071,107,188.0,72,551
20191223T11-07,3631,1056,107,139.0,66,607
20191223T10-07,3638,1073,112,94.0,71,580
20191223T09-07,3632,1122,114,30.0,67,590
20191223T08-07,3618,1161,113,0.0,69,718
20191223T07-07,3647,1098,114,0.0,66,774
20191223T06-07,3656,1020,112,0.0,67,634
20191223T05-07,3609,1042,113,0.0,65,750
20191223T04-07,3613,991,114,0.0,67,940
20191223T03-07,3564,974,113,0.0,69,891
20191223T02-07,3569,1046,113,0.0,67,887
20191223T01-07,3778,1137,112,0.0,71,667
20191223T00-07,4075,1202,113,0.0,66,620
20191222T23-07,4079,1366,112,0.0,70,588
20191222T22-07,4084,1366,113,0.0,67,609
20191222T21-07,4079,1372,113,0.0,71,696
20191222T20-07,4074,1390,102,0.0,67,736
20191222T19-07,4077,1461,102,0.0,71,772
20191222T18-07,4078,1391,105,1.0,68,831
20191222T17-07,4032,1256,104,53.0,70,923
20191222T16-07,3978,1012,110,153.0,70,976
20191222T15-07,3927,1021,115,218.0,71,929
20191222T14-07,3895,1044,116,313.0,72,1070
20191222T13-07,3817,996,115,386.0,70,1113
20191222T12-07,3741,1011,115,389.0,72,1094
20191222T11-07,3852,1007,116,313.0,67,1186
20191222T10-07,3925,1027,116,146.0,71,1178
20191222T09-07,3924,1079,114,54.0,68,1194
20191222T08-07,3910,1015,113,0.0,69,1151
20191222T07-07,3904,993,115,0.0,65,1160
20191222T06-07,3827,978,112,0.0,67,1111
20191222T05-07,3896,1004,113,0.0,67,1001
20191222T04-07,3971,953,113,0.0,66,906
20191222T03-07,3975,1015,113,0.0,69,799
20191222T02-07,3942,1007,114,0.0,70,822
20191222T01-07,3880,1007,113,0.0,69,871
20191222T00-07,3847,1129,112,0.0,71,938
20191221T23-07,3846,1347,113,0.0,70,1030
20191221T22-07,3867,1365,112,0.0,70,1046
20191221T21-07,3894,1264,114,0.0,72,1048
20191221T20-07,3880,1239,113,0.0,68,991
20191221T19-07,3797,1295,112,0.0,71,1057
20191221T18-07,3724,1288,113,0.0,71,1055
20191221T17-07,3753,1155,107,53.0,69,1066
20191221T16-07,3725,1006,100,207.0,73,1047
20191221T15-07,3703,914,115,325.0,67,1056
20191221T14-07,3705,973,117,366.0,72,1051
20191221T13-07,3712,1010,114,372.0,65,1118
20191221T12-07,3702,1058,109,318.0,69,1139
20191221T11-07,3715,1069,107,243.0,61,1216
20191221T10-07,3724,1084,104,130.0,66,1169
20191221T09-07,3792,1022,105,45.0,61,1184
20191221T08-07,3806,1062,104,0.0,62,1194
20191221T07-07,3721,1174,106,0.0,60,1213
20191221T06-07,3705,1069,104,0.0,61,1170
20191221T05-07,3698,996,106,0.0,62,1207
20191221T04-07,3671,935,106,0.0,60,1224
20191221T03-07,3667,964,110,0.0,61,1188
20191221T02-07,3702,968,111,0.0,61,1237
20191221T01-07,3703,1072,113,0.0,62,1184
20191221T00-07,3700,1187,113,0.0,59,1253
20191220T23-07,3697,1306,116,0.0,62,1281
20191220T22-07,3717,1379,111,0.0,61,1246
20191220T21-07,3777,1361,116,0.0,62,1256
20191220T20-07,3734,1402,113,0.0,60,1250
20191220T19-07,3751,1375,114,0.0,59,1232
20191220T18-07,3742,1321,115,0.0,59,1290
20191220T17-07,3701,1172,113,53.0,62,1357
20191220T16-07,3490,964,116,328.0,62,1335
20191220T15-07,3450,876,116,566.0,62,1243
20191220T14-07,3783,847,115,583.0,60,1379
20191220T13-07,3081,862,114,568.0,59,1172
20191220T12-07,3697,896,114,603.0,60,1086
20191220T11-07,3688,897,113,645.0,60,1281
20191220T10-07,3738,1028,113,633.0,59,1236
20191220T09-07,3725,1192,114,208.0,59,1263
20191220T08-07,3759,1254,111,2.0,61,1271
20191220T07-07,3767,1093,112,0.0,58,1276
20191220T06-07,3685,1054,113,0.0,60,1330
20191220T05-07,3451,983,113,0.0,58,1362
20191220T04-07,3335,1037,112,0.0,60,1371
20191220T03-07,3257,997,113,0.0,58,1360
20191220T02-07,3237,1021,110,0.0,60,1277
20191220T01-07,3374,1040,114,0.0,60,1145
20191220T00-07,3655,1182,112,0.0,59,1204
20191219T23-07,3722,1489,113,0.0,59,1185
20191219T22-07,3733,1577,114,0.0,58,1184
20191219T21-07,3735,1588,108,0.0,60,1182
20191219T20-07,3681,1618,112,0.0,60,1149
20191219T19-07,3717,1606,112,0.0,59,1143
20191219T18-07,3672,1585,112,0.0,62,1046
20191219T17-07,3600,1310,89,178.0,58,1038
20191219T16-07,3536,1037,71,543.0,62,992
20191219T15-07,3369,901,70,677.0,56,957
20191219T14-07,3376,917,71,611.0,57,914
