,hydro
20191114T00-07,57
20191113T23-07,49
20191113T22-07,56
20191113T21-07,60
20191113T20-07,57
20191113T19-07,54
20191113T18-07,60
20191113T17-07,56
20191113T16-07,51
20191113T15-07,48
20191113T14-07,50
20191113T13-07,48
20191113T12-07,49
20191113T11-07,49
20191113T10-07,47
20191113T09-07,53
20191113T08-07,57
20191113T07-07,59
20191113T06-07,42
20191113T05-07,58
20191113T04-07,60
20191113T03-07,60
20191113T02-07,57
20191113T01-07,59
20191113T00-07,48
20191112T23-07,55
20191112T22-07,59
20191112T21-07,58
20191112T20-07,62
20191112T19-07,60
20191112T18-07,62
20191112T17-07,56
20191112T16-07,52
20191112T15-07,54
20191112T14-07,55
20191112T13-07,57
20191112T12-07,60
20191112T11-07,57
20191112T10-07,57
20191112T09-07,57
20191112T08-07,58
20191112T07-07,58
20191112T06-07,55
20191112T05-07,59
20191112T04-07,60
20191112T03-07,59
20191112T02-07,58
20191112T01-07,49
20191110T22-07,58
20191110T21-07,59
20191110T20-07,59
20191110T19-07,59
20191110T18-07,59
20191110T17-07,61
20191110T16-07,59
20191110T15-07,56
20191110T14-07,57
20191110T13-07,56
20191110T12-07,52
20191110T11-07,53
20191110T10-07,52
20191110T09-07,48
20191110T08-07,62
20191110T07-07,59
20191110T06-07,59
20191110T05-07,59
20191110T04-07,54
20191110T03-07,50
20191110T02-07,51
20191110T01-07,49
20191110T00-07,48
20191109T23-07,53
20191109T22-07,56
20191109T21-07,60
20191109T20-07,58
20191109T19-07,58
20191109T18-07,60
20191109T17-07,63
20191109T16-07,63
20191109T15-07,61
20191109T14-07,62
20191109T13-07,64
20191109T12-07,62
20191109T11-07,63
20191109T10-07,63
20191109T09-07,61
20191109T08-07,63
20191109T07-07,61
20191109T06-07,62
20191109T05-07,60
20191109T04-07,61
20191109T03-07,45
20191109T02-07,42
20191109T01-07,48
20191109T00-07,37
20191108T23-07,39
20191108T22-07,44
20191108T21-07,53
20191108T20-07,30
20191108T19-07,43
20191108T18-07,58
20191108T17-07,50
20191108T16-07,52
20191108T15-07,56
20191108T14-07,57
20191108T13-07,56
20191108T12-07,42
20191108T11-07,48
20191108T10-07,50
20191108T09-07,57
20191108T08-07,61
20191108T07-07,56
20191108T06-07,54
20191108T05-07,57
20191108T04-07,53
20191108T03-07,47
20191108T02-07,52
20191108T01-07,56
20191108T00-07,55
20191107T23-07,55
20191107T22-07,58
20191107T21-07,60
20191107T20-07,37
20191107T19-07,53
20191107T18-07,52
20191107T17-07,54
20191107T16-07,60
20191107T15-07,60
20191107T14-07,54
20191107T13-07,58
20191107T12-07,43
20191107T11-07,54
20191107T10-07,58
20191107T09-07,60
20191107T08-07,56
20191107T07-07,58
20191107T06-07,60
20191107T05-07,55
20191107T04-07,57
20191107T03-07,60
20191107T02-07,62
20191107T01-07,59
20191107T00-07,58
20191106T23-07,59
20191106T22-07,59
20191106T21-07,62
20191106T20-07,58
20191106T19-07,60
20191106T18-07,61
20191106T17-07,60
20191106T16-07,61
20191106T15-07,60
20191106T14-07,59
20191106T13-07,60
20191106T12-07,56
20191106T11-07,60
20191106T10-07,50
20191106T09-07,57
20191106T08-07,57
20191106T07-07,61
20191106T06-07,58
20191106T05-07,61
20191106T04-07,60
20191106T03-07,59
20191106T02-07,58
20191106T01-07,58
20191106T00-07,35
20191105T23-07,62
20191105T22-07,49
20191105T21-07,60
20191105T20-07,60
20191105T19-07,62
20191105T18-07,61
20191105T17-07,62
20191105T16-07,59
20191105T15-07,59
20191105T14-07,56
20191105T13-07,59
20191105T12-07,58
20191105T11-07,58
20191105T10-07,56
20191105T09-07,58
20191105T08-07,60
20191105T07-07,61
20191105T06-07,57
20191105T05-07,58
20191105T04-07,59
20191105T03-07,43
20191105T02-07,33
20191105T01-07,57
20191105T00-07,59
20191104T23-07,57
20191104T22-07,58
20191104T21-07,53
20191104T20-07,57
20191104T19-07,56
20191104T18-07,60
20191104T17-07,61
20191104T16-07,56
20191104T15-07,58
20191104T14-07,57
20191104T13-07,62
20191104T12-07,59
20191104T11-07,57
20191104T10-07,53
20191104T09-07,59
20191104T08-07,60
20191104T07-07,60
20191104T06-07,58
20191104T05-07,58
20191104T04-07,57
20191104T03-07,56
20191104T02-07,62
20191104T01-07,57
20191104T00-07,59
20191103T23-07,57
20191103T22-07,57
20191103T21-07,60
20191103T20-07,59
20191103T19-07,60
20191103T18-07,60
20191103T17-07,62
20191103T16-07,57
20191103T15-07,61
20191103T14-07,60
20191103T13-07,59
20191103T12-07,58
20191103T11-07,61
20191103T10-07,59
20191103T09-07,56
20191103T08-07,57
20191103T07-07,58
20191103T06-07,38
20191103T05-07,33
20191103T04-07,52
20191103T03-07,45
20191103T02-07,49
20191103T01-07,51
20191103T00-06,56
20191102T23-06,58
20191102T22-06,55
20191102T21-06,59
20191102T20-06,60
20191102T19-06,56
20191102T18-06,63
20191102T17-06,60
20191102T16-06,50
20191102T15-06,52
20191102T14-06,56
20191102T13-06,54
20191102T12-06,55
20191102T11-06,58
20191102T10-06,58
20191102T09-06,57
20191102T08-06,61
20191102T07-06,59
20191102T06-06,56
20191102T05-06,58
20191102T04-06,57
20191102T03-06,52
20191102T02-06,43
20191102T01-06,55
20191102T00-06,48
20191101T23-06,51
20191101T22-06,56
20191101T21-06,59
20191101T20-06,55
20191101T19-06,61
20191101T18-06,58
20191101T17-06,58
20191101T16-06,60
20191101T15-06,51
20191101T14-06,55
20191101T13-06,54
20191101T12-06,50
20191101T11-06,54
20191101T10-06,56
20191101T09-06,59
20191101T08-06,59
20191101T07-06,56
20191101T06-06,53
20191101T05-06,59
20191101T04-06,60
20191101T03-06,50
20191101T02-06,42
20191101T01-06,50
20191101T00-06,52
20191031T23-06,57
20191031T22-06,59
20191031T21-06,59
20191031T20-06,57
20191031T19-06,60
20191031T18-06,55
20191031T17-06,61
20191031T16-06,54
20191031T15-06,55
20191031T14-06,59
20191031T13-06,58
20191031T12-06,57
20191031T11-06,54
20191031T10-06,57
20191031T09-06,59
20191031T08-06,59
20191031T07-06,60
20191031T06-06,59
20191031T05-06,45
20191031T04-06,41
20191031T03-06,33
20191031T02-06,34
20191031T01-06,38
20191031T00-06,42
20191030T23-06,54
20191030T22-06,55
20191030T21-06,57
20191030T20-06,59
20191030T19-06,59
20191030T18-06,53
20191030T17-06,47
20191030T16-06,43
20191030T15-06,48
20191030T14-06,49
20191030T13-06,51
20191030T12-06,58
20191030T11-06,57
20191030T10-06,59
20191030T09-06,61
20191030T08-06,61
20191030T07-06,63
20191030T06-06,58
20191030T05-06,60
20191030T04-06,50
20191030T03-06,62
20191030T02-06,61
20191030T01-06,61
20191030T00-06,37
20191029T23-06,52
20191029T22-06,61
20191029T21-06,63
20191029T20-06,61
20191029T19-06,65
20191029T18-06,60
20191029T17-06,62
20191029T16-06,63
20191029T15-06,63
20191029T14-06,65
20191029T13-06,63
20191029T12-06,57
20191029T11-06,63
20191029T10-06,64
20191029T09-06,61
20191029T08-06,63
20191029T07-06,65
20191029T06-06,62
20191029T05-06,62
20191029T04-06,21
20191029T03-06,35
20191029T02-06,60
20191029T01-06,64
20191029T00-06,55
20191028T23-06,33
20191028T22-06,57
20191028T21-06,61
20191028T20-06,60
20191028T19-06,62
20191028T18-06,61
20191028T17-06,63
20191028T16-06,62
20191028T15-06,61
20191028T14-06,62
20191028T13-06,58
20191028T12-06,61
20191028T11-06,61
20191028T10-06,63
20191028T09-06,62
20191028T08-06,63
20191028T07-06,63
20191028T06-06,58
20191028T05-06,61
20191028T04-06,58
20191028T03-06,58
20191028T02-06,58
20191028T01-06,59
20191028T00-06,57
20191027T23-06,34
20191027T22-06,56
20191027T21-06,59
20191027T20-06,59
20191027T19-06,62
20191027T18-06,60
20191027T17-06,55
20191027T16-06,59
20191027T15-06,60
20191027T14-06,59
