,natural gas,other,solar,hydro,wind
20191113T08Z,296,112,0,271,15
20191113T07Z,331,109,0,295,6
20191113T06Z,332,117,0,363,1
20191113T05Z,332,128,0,411,0
20191113T04Z,346,126,0,437,1
20191113T03Z,355,126,0,474,0
20191113T02Z,353,127,0,472,0
20191113T01Z,341,125,0,400,3
20191113T00Z,259,125,1,365,14
20191112T23Z,254,125,8,385,34
20191112T22Z,254,125,8,394,34
20191112T21Z,257,125,3,375,26
20191112T20Z,258,123,2,411,36
20191112T19Z,257,125,1,409,24
20191112T18Z,257,127,1,402,33
20191112T17Z,257,126,0,402,32
20191112T16Z,258,128,1,398,55
20191112T15Z,251,125,0,397,76
20191112T14Z,246,124,0,302,81
20191112T13Z,244,125,0,238,80
20191112T12Z,247,123,0,216,59
20191112T11Z,249,130,0,217,55
20191112T10Z,250,122,0,218,51
20191112T09Z,250,125,0,242,39
20191112T08Z,250,134,0,282,36
20191112T07Z,249,134,0,311,37
20191112T06Z,272,136,0,440,28
20191112T05Z,339,133,0,462,17
20191112T04Z,362,126,0,461,15
20191112T03Z,359,124,0,487,6
20191112T02Z,359,125,0,494,1
20191112T01Z,342,122,0,415,0
20191112T00Z,281,126,2,408,0
20191111T23Z,269,123,8,400,0
20191111T22Z,257,123,7,395,6
20191111T21Z,260,120,8,379,9
20191111T20Z,260,126,7,374,7
20191111T19Z,304,126,14,406,14
20191111T18Z,338,125,13,432,21
20191111T17Z,341,122,6,437,25
20191111T16Z,340,125,1,423,32
20191111T15Z,341,124,0,347,39
20191111T14Z,335,119,0,262,49
20191111T13Z,329,114,0,198,63
20191111T12Z,260,117,0,151,72
20191111T11Z,249,114,0,153,48
20191111T10Z,249,118,0,157,53
20191111T09Z,247,113,0,185,69
20191111T08Z,247,116,0,268,62
20191111T07Z,245,114,0,361,35
20191111T06Z,244,116,0,399,12
20191111T05Z,246,115,0,417,3
20191111T04Z,245,118,0,477,8
20191111T03Z,243,118,0,496,6
20191111T02Z,244,119,0,497,5
20191111T01Z,245,115,0,453,6
20191111T00Z,243,123,5,446,6
20191110T23Z,242,119,13,447,9
20191110T22Z,242,120,4,421,4
20191110T21Z,241,121,3,418,1
20191110T20Z,241,118,3,420,1
20191110T19Z,243,116,2,377,0
20191110T18Z,240,120,2,314,1
20191110T17Z,241,118,1,285,0
20191110T16Z,239,118,1,148,5
20191110T15Z,240,120,0,119,29
20191110T14Z,240,123,0,123,58
20191110T13Z,240,121,0,148,41
20191110T12Z,239,121,0,156,28
20191110T11Z,240,119,0,157,3
20191110T10Z,240,118,0,157,7
20191110T09Z,241,119,0,149,7
20191110T08Z,242,116,0,159,24
20191110T07Z,241,120,0,227,18
20191110T06Z,240,117,0,339,23
20191110T05Z,246,116,0,354,46
20191110T04Z,344,121,0,369,32
20191110T03Z,345,119,0,381,53
20191110T02Z,350,119,0,453,53
20191110T01Z,338,118,0,439,10
20191110T00Z,270,117,2,433,0
20191109T23Z,241,118,1,411,1
20191109T22Z,239,117,3,387,8
20191109T21Z,237,117,4,335,20
20191109T20Z,240,118,5,333,23
20191109T19Z,242,114,3,342,30
20191109T18Z,243,119,3,415,47
20191109T17Z,242,114,0,429,45
20191109T16Z,241,116,0,416,24
20191109T15Z,241,119,0,297,30
20191109T14Z,241,117,0,238,37
20191109T13Z,242,116,0,161,21
20191109T12Z,240,117,0,159,34
20191109T11Z,241,118,0,160,37
20191109T10Z,241,113,0,161,29
20191109T09Z,241,112,0,194,30
20191109T08Z,240,113,0,325,29
20191109T07Z,240,112,0,385,29
20191109T06Z,241,113,0,365,29
20191109T05Z,241,115,0,445,33
20191109T04Z,242,115,0,420,47
20191109T03Z,243,118,0,419,36
20191109T02Z,243,116,0,423,9
20191109T01Z,241,120,0,345,6
20191109T00Z,195,119,2,321,1
20191108T23Z,231,119,4,324,1
20191108T22Z,238,118,8,322,1
20191108T21Z,238,123,10,323,10
20191108T20Z,240,119,10,323,9
20191108T19Z,243,123,7,322,12
20191108T18Z,245,121,9,356,19
20191108T17Z,245,116,7,366,27
20191108T16Z,256,118,5,391,34
20191108T15Z,257,121,0,367,24
20191108T14Z,248,121,0,388,26
20191108T13Z,246,121,0,282,37
20191108T12Z,246,117,0,230,20
20191108T11Z,247,119,0,204,9
20191108T10Z,245,118,0,210,8
20191108T09Z,249,119,0,222,5
20191108T08Z,247,117,0,332,6
20191108T07Z,245,121,0,481,5
20191108T06Z,249,114,0,442,3
20191108T05Z,249,117,0,472,1
20191108T04Z,248,118,0,425,0
20191108T03Z,246,121,0,465,0
20191108T02Z,245,116,0,452,0
20191108T01Z,243,121,0,410,0
20191108T00Z,242,120,3,376,0
20191107T23Z,241,118,5,287,0
20191107T22Z,242,118,6,294,0
20191107T21Z,242,117,8,316,0
20191107T20Z,244,117,9,376,1
20191107T19Z,246,122,11,386,3
20191107T18Z,263,130,13,352,5
20191107T17Z,335,127,12,388,8
20191107T16Z,340,129,4,375,13
20191107T15Z,339,132,0,351,4
20191107T14Z,336,129,0,395,1
20191107T13Z,336,130,0,302,2
20191107T12Z,330,125,0,219,7
20191107T11Z,249,128,0,210,16
20191107T10Z,247,127,0,210,24
20191107T09Z,251,128,0,212,23
20191107T08Z,248,126,0,268,28
20191107T07Z,249,127,0,276,23
20191107T06Z,250,124,0,311,45
20191107T05Z,324,128,0,477,35
20191107T04Z,332,126,0,477,24
20191107T03Z,333,127,0,450,30
20191107T02Z,331,126,0,425,19
20191107T01Z,327,126,1,380,9
20191107T00Z,326,128,6,355,10
20191106T23Z,323,132,15,347,4
20191106T22Z,325,127,14,367,3
20191106T21Z,326,126,13,378,0
20191106T20Z,327,125,13,356,4
20191106T19Z,329,124,14,365,14
20191106T18Z,335,125,15,403,40
20191106T17Z,357,126,16,411,34
20191106T16Z,358,128,5,423,18
20191106T15Z,350,126,1,438,11
20191106T14Z,325,124,0,440,7
20191106T13Z,268,122,0,241,14
20191106T12Z,249,124,0,217,13
20191106T11Z,252,124,0,211,23
20191106T10Z,252,127,0,207,21
20191106T09Z,252,122,0,206,14
20191106T08Z,252,125,0,207,7
20191106T07Z,251,122,0,275,1
20191106T06Z,253,127,0,374,2
20191106T05Z,294,128,0,445,0
20191106T04Z,344,124,0,474,0
20191106T03Z,355,126,0,479,0
20191106T02Z,348,127,0,448,3
20191106T01Z,323,125,0,411,5
20191106T00Z,317,127,6,420,6
20191105T23Z,316,128,15,370,11
20191105T22Z,316,126,14,367,13
20191105T21Z,319,127,13,368,11
20191105T20Z,322,125,12,380,10
20191105T19Z,336,124,14,393,11
20191105T18Z,354,127,16,400,18
20191105T17Z,359,124,13,400,30
20191105T16Z,356,128,4,397,35
20191105T15Z,343,126,0,440,33
20191105T14Z,318,127,0,386,26
20191105T13Z,255,132,0,293,25
20191105T12Z,254,128,0,194,21
20191105T11Z,255,127,0,201,25
20191105T10Z,256,127,0,198,29
20191105T09Z,255,123,0,199,32
20191105T08Z,256,126,0,230,33
20191105T07Z,257,123,0,308,35
20191105T06Z,258,123,0,491,28
20191105T05Z,276,122,0,477,28
20191105T04Z,354,126,0,538,10
20191105T03Z,351,122,0,521,4
20191105T02Z,349,128,0,527,1
20191105T01Z,344,123,0,368,2
20191105T00Z,324,125,7,360,4
20191104T23Z,318,128,12,403,7
20191104T22Z,319,127,13,393,8
20191104T21Z,320,129,12,398,8
20191104T20Z,321,131,11,396,7
20191104T19Z,326,126,14,370,15
20191104T18Z,331,134,12,351,11
20191104T17Z,353,131,9,365,14
20191104T16Z,355,135,3,390,11
20191104T15Z,355,131,0,371,10
20191104T14Z,352,130,0,362,24
20191104T13Z,258,132,0,273,7
20191104T12Z,246,132,0,183,14
20191104T11Z,247,130,0,134,15
20191104T10Z,246,125,0,127,28
20191104T09Z,245,124,0,132,13
20191104T08Z,244,127,0,225,13
20191104T07Z,243,128,0,225,1
20191104T06Z,244,123,0,334,5
20191104T05Z,242,122,0,372,0
20191104T04Z,262,125,0,440,1
20191104T03Z,264,125,0,463,2
20191104T02Z,265,129,0,476,0
20191104T01Z,264,127,0,393,0
20191104T00Z,263,129,4,322,1
20191103T23Z,263,126,10,321,0
20191103T22Z,263,127,12,321,3
20191103T21Z,264,129,9,319,4
20191103T20Z,247,127,11,319,1
20191103T19Z,246,125,11,316,1
20191103T18Z,267,128,12,320,2
20191103T17Z,266,128,10,323,1
20191103T16Z,279,127,3,388,3
20191103T15Z,286,127,0,410,0
20191103T14Z,270,130,0,310,3
20191103T13Z,270,127,0,216,2
20191103T12Z,271,127,0,164,0
20191103T11Z,271,123,0,161,0
20191103T10Z,247,10,0,66,0
20191103T09Z,297,238,0,256,0
20191103T08Z,279,122,0,160,0
20191103T07Z,370,123,0,204,0
20191103T06Z,373,122,0,304,0
20191103T05Z,373,119,0,465,0
20191103T04Z,370,121,0,492,0
20191103T03Z,368,132,0,488,0
20191103T02Z,366,140,0,494,0
20191103T01Z,360,136,0,490,0
20191103T00Z,359,136,7,399,0
20191102T23Z,358,133,14,328,0
20191102T22Z,356,131,14,362,1
20191102T21Z,359,132,13,371,0
20191102T20Z,362,132,11,425,1
20191102T19Z,368,132,14,501,1
20191102T18Z,370,129,7,515,3
20191102T17Z,373,132,6,516,12
20191102T16Z,374,129,4,513,21
20191102T15Z,358,133,0,558,32
20191102T14Z,280,130,0,342,41
20191102T13Z,274,138,0,162,34
20191102T12Z,271,135,0,160,37
20191102T11Z,250,136,0,162,42
20191102T10Z,249,136,0,161,20
20191102T09Z,254,134,0,160,11
20191102T08Z,254,134,0,182,13
20191102T07Z,255,131,0,314,4
20191102T06Z,308,138,0,346,1
20191102T05Z,359,134,0,487,0
20191102T04Z,359,135,0,509,0
20191102T03Z,357,137,0,460,0
20191102T02Z,352,139,0,458,0
20191102T01Z,350,137,1,449,0
20191102T00Z,346,136,8,403,0
20191101T23Z,347,137,14,364,0
20191101T22Z,366,136,15,384,0
20191101T21Z,369,137,13,395,0
20191101T20Z,371,134,14,416,0
20191101T19Z,376,133,14,365,0
20191101T18Z,376,134,17,351,1
20191101T17Z,381,131,16,360,2
20191101T16Z,384,137,7,340,4
20191101T15Z,386,134,0,353,4
20191101T14Z,384,133,0,332,2
20191101T13Z,385,132,0,286,1
20191101T12Z,357,132,0,276,1
20191101T11Z,301,129,0,225,2
20191101T10Z,284,133,0,221,0
20191101T09Z,283,129,0,226,0
20191101T08Z,282,129,0,230,0
20191101T07Z,281,129,0,339,0
20191101T06Z,280,132,0,406,0
20191101T05Z,279,131,0,414,0
20191101T04Z,308,133,0,397,0
20191101T03Z,354,136,0,358,0
20191101T02Z,360,133,0,398,0
20191101T01Z,367,136,1,368,3
20191101T00Z,364,131,6,354,4
20191031T23Z,361,134,11,345,5
20191031T22Z,359,134,13,337,7
20191031T21Z,361,133,13,365,7
20191031T20Z,364,132,11,393,10
20191031T19Z,368,134,11,394,11
20191031T18Z,373,132,6,424,5
20191031T17Z,377,135,3,417,18
20191031T16Z,377,133,1,425,31
20191031T15Z,378,134,0,435,37
20191031T14Z,379,133,0,354,41
20191031T13Z,380,137,0,282,54
20191031T12Z,377,133,0,259,56
20191031T11Z,362,134,0,210,52
20191031T10Z,362,131,0,163,57
20191031T09Z,363,134,0,172,56
20191031T08Z,359,130,0,198,53
20191031T07Z,360,128,0,201,41
20191031T06Z,368,128,0,278,28
20191031T05Z,380,127,0,354,15
20191031T04Z,380,131,0,431,8
20191031T03Z,376,133,0,453,10
20191031T02Z,375,133,0,456,5
20191031T01Z,372,135,0,400,0
20191031T00Z,371,133,9,255,0
20191030T23Z,368,134,17,219,0
20191030T22Z,369,132,15,218,0
20191030T21Z,372,139,14,236,1
20191030T20Z,375,136,14,341,4
20191030T19Z,377,136,16,365,11
20191030T18Z,379,135,17,399,15
20191030T17Z,384,137,17,436,20
20191030T16Z,387,135,8,437,47
20191030T15Z,389,137,0,444,47
20191030T14Z,388,127,0,422,39
20191030T13Z,380,131,0,309,20
20191030T12Z,380,134,0,224,19
20191030T11Z,380,134,0,269,11
20191030T10Z,379,135,0,232,7
20191030T09Z,386,132,0,230,10
20191030T08Z,388,136,0,209,3
20191030T07Z,386,133,0,317,4
20191030T06Z,382,133,0,376,3
20191030T05Z,384,133,0,425,0
20191030T04Z,375,132,0,467,2
20191030T03Z,363,136,0,460,6
20191030T02Z,361,138,0,468,3
20191030T01Z,358,139,1,370,1
20191030T00Z,357,137,10,352,0
20191029T23Z,352,135,18,336,0
20191029T22Z,351,131,17,336,0
20191029T21Z,349,128,15,336,0
20191029T20Z,353,131,15,363,3
20191029T19Z,355,126,16,388,6
20191029T18Z,367,127,17,421,9
20191029T17Z,386,124,18,423,33
20191029T16Z,395,127,9,417,49
20191029T15Z,375,122,0,417,52
20191029T14Z,371,129,0,321,71
20191029T13Z,370,128,0,239,81
20191029T12Z,313,121,0,233,89
20191029T11Z,264,116,0,197,97
20191029T10Z,199,116,0,195,98
20191029T09Z,198,112,0,208,97
20191029T08Z,198,115,0,222,98
20191029T07Z,199,115,0,238,98
20191029T06Z,239,114,0,249,97
20191029T05Z,348,121,0,314,96
20191029T04Z,368,126,0,382,96
20191029T03Z,379,127,0,466,95
20191029T02Z,381,129,0,537,66
20191029T01Z,378,123,1,507,59
20191029T00Z,372,109,6,447,42
20191028T23Z,370,124,16,419,11
20191028T22Z,367,129,15,420,0
20191028T21Z,366,130,14,420,4
20191028T20Z,365,130,14,405,28
20191028T19Z,368,128,10,382,51
20191028T18Z,370,126,3,385,53
20191028T17Z,370,125,1,447,68
20191028T16Z,371,130,1,519,69
20191028T15Z,299,126,0,442,69
20191028T14Z,293,128,0,343,90
20191028T13Z,270,122,0,228,76
20191028T12Z,254,117,0,202,62
20191028T11Z,248,117,0,150,57
20191028T10Z,248,118,0,157,54
20191028T09Z,248,116,0,156,61
20191028T08Z,247,115,0,156,55
20191028T07Z,250,118,0,155,52
20191028T06Z,258,122,0,181,38
20191028T05Z,270,122,0,327,23
20191028T04Z,310,127,0,487,20
20191028T03Z,347,125,0,505,9
20191028T02Z,346,123,0,510,6
20191028T01Z,342,127,1,460,6
20191028T00Z,343,123,10,280,7
20191027T23Z,341,122,17,281,3
20191027T22Z,341,126,16,343,2
20191027T21Z,341,122,14,358,0
20191027T20Z,344,122,14,359,1
20191027T19Z,350,122,16,356,1
20191027T18Z,357,128,17,358,1
20191027T17Z,372,137,17,357,4
20191027T16Z,377,128,9,361,3
20191027T15Z,377,128,0,258,3
20191027T14Z,292,126,0,230,8
20191027T13Z,249,127,0,151,13
20191027T12Z,247,128,0,157,12
20191027T11Z,248,127,0,161,16
20191027T10Z,247,127,0,157,21
20191027T09Z,248,128,0,159,27
20191027T08Z,249,133,0,160,34
20191027T07Z,252,130,0,247,41
20191027T06Z,250,128,0,345,26
20191027T05Z,250,128,0,347,27
20191027T04Z,251,125,0,317,41
20191027T03Z,250,124,0,316,53
20191027T02Z,319,121,0,309,73
20191027T01Z,319,123,1,300,64
20191027T00Z,319,126,9,243,91
20191026T23Z,279,124,11,292,98
20191026T22Z,244,125,6,301,79
20191026T21Z,244,127,10,280,97
20191026T20Z,244,124,6,325,86
20191026T19Z,246,126,6,339,41
20191026T18Z,244,123,17,340,12
20191026T17Z,245,127,15,350,7
20191026T16Z,248,125,9,338,5
20191026T15Z,248,126,1,428,24
20191026T14Z,246,126,0,288,40
20191026T13Z,242,125,0,243,58
20191026T12Z,243,125,0,212,69
20191026T11Z,243,123,0,197,60
20191026T10Z,243,126,0,152,39
20191026T09Z,242,122,0,153,41
20191026T08Z,243,123,0,156,64
20191026T07Z,242,126,0,152,41
20191026T06Z,239,125,0,157,73
20191026T05Z,237,123,0,211,81
20191026T04Z,238,122,0,214,78
20191026T03Z,237,126,0,217,94
20191026T02Z,234,124,0,219,102
20191026T01Z,230,127,0,154,102
20191026T00Z,229,129,1,160,103
20191025T23Z,229,124,7,159,102
20191025T22Z,228,129,14,159,103
20191025T21Z,227,120,7,160,101
20191025T20Z,229,124,8,153,103
20191025T19Z,235,129,12,161,101
20191025T18Z,242,125,11,191,88
20191025T17Z,266,126,17,441,74
20191025T16Z,267,121,9,443,89
20191025T15Z,268,124,1,458,95
20191025T14Z,256,124,0,330,98
20191025T13Z,243,123,0,286,96
20191025T12Z,245,127,0,218,96
20191025T11Z,244,124,0,219,91
20191025T10Z,244,124,0,217,84
20191025T09Z,244,120,0,225,87
20191025T08Z,245,124,0,218,78
20191025T07Z,246,122,0,217,76
20191025T06Z,246,123,0,328,66
20191025T05Z,248,122,0,599,63
20191025T04Z,245,124,0,617,69
20191025T03Z,245,125,0,535,67
20191025T02Z,263,128,0,537,50
20191025T01Z,263,131,1,484,41
20191025T00Z,262,131,10,448,36
20191024T23Z,261,133,17,426,25
20191024T22Z,262,138,15,424,41
20191024T21Z,264,135,10,449,34
20191024T20Z,265,136,9,451,20
20191024T19Z,266,135,9,453,23
20191024T18Z,289,134,15,441,47
20191024T17Z,295,133,17,431,64
20191024T16Z,296,131,3,431,53
20191024T15Z,295,133,0,505,34
20191024T14Z,295,126,0,423,23
20191024T13Z,271,119,0,351,12
20191024T12Z,247,124,0,328,9
20191024T11Z,247,120,0,253,10
20191024T10Z,245,125,0,253,12
20191024T09Z,247,121,0,257,19
20191024T08Z,248,122,0,260,9
20191024T07Z,248,121,0,271,4
20191024T06Z,249,118,0,348,1
20191024T05Z,250,125,0,497,0
20191024T04Z,250,120,0,551,0
20191024T03Z,247,126,0,551,0
20191024T02Z,245,120,0,598,0
20191024T01Z,242,121,1,586,2
20191024T00Z,238,119,11,436,4
20191023T23Z,239,121,17,399,10
20191023T22Z,240,121,17,392,9
20191023T21Z,240,120,14,395,7
20191023T20Z,240,123,14,411,8
20191023T19Z,241,121,16,438,1
20191023T18Z,244,123,17,434,3
20191023T17Z,265,119,17,433,18
20191023T16Z,271,120,11,438,39
20191023T15Z,272,123,0,433,42
20191023T14Z,268,125,0,446,35
20191023T13Z,267,127,0,464,14
20191023T12Z,249,123,0,297,10
20191023T11Z,247,122,0,246,2
20191023T10Z,246,120,0,195,2
20191023T09Z,247,121,0,197,5
20191023T08Z,247,121,0,202,5
20191023T07Z,246,120,0,230,8
20191023T06Z,244,123,0,410,17
20191023T05Z,243,122,0,396,56
20191023T04Z,241,119,0,420,71
20191023T03Z,240,120,0,414,57
20191023T02Z,237,119,0,355,93
20191023T01Z,196,117,1,359,102
20191023T00Z,186,118,12,324,96
20191022T23Z,186,118,7,251,100
20191022T22Z,186,122,7,250,104
20191022T21Z,186,117,13,240,103
20191022T20Z,193,122,15,240,103
20191022T19Z,234,121,16,237,103
20191022T18Z,236,120,17,240,103
20191022T17Z,236,120,17,307,103
20191022T16Z,237,118,9,342,101
20191022T15Z,236,122,0,341,102
20191022T14Z,239,124,0,273,103
20191022T13Z,237,125,0,199,102
20191022T12Z,187,123,0,200,103
20191022T11Z,184,123,0,204,103
20191022T10Z,196,123,0,207,103
20191022T09Z,243,125,0,208,102
20191022T08Z,242,125,0,204,100
20191022T07Z,243,123,0,208,87
20191022T06Z,243,122,0,253,58
20191022T05Z,244,123,0,264,43
20191022T04Z,243,117,0,307,49
20191022T03Z,243,123,0,551,48
20191022T02Z,243,123,0,589,37
20191022T01Z,242,121,0,456,36
20191022T00Z,242,120,1,383,46
20191021T23Z,242,122,2,385,44
20191021T22Z,242,125,2,386,53
20191021T21Z,243,125,4,377,52
20191021T20Z,244,123,5,385,65
20191021T19Z,244,125,5,385,34
20191021T18Z,244,124,3,396,28
20191021T17Z,246,123,4,387,22
20191021T16Z,244,122,1,351,17
20191021T15Z,244,126,1,340,14
20191021T14Z,244,128,0,330,10
20191021T13Z,244,127,0,321,4
20191021T12Z,244,128,0,250,22
20191021T11Z,196,124,0,216,49
20191021T10Z,184,128,0,211,47
20191021T09Z,184,128,0,214,26
20191021T08Z,185,128,0,219,33
20191021T07Z,237,127,0,214,53
20191021T06Z,243,123,0,248,56
20191021T05Z,244,126,0,443,72
20191021T04Z,245,123,0,481,75
20191021T03Z,343,124,0,580,68
20191021T02Z,369,128,0,678,64
20191021T01Z,366,125,0,626,31
20191021T00Z,366,119,0,598,31
20191020T23Z,343,124,2,581,81
20191020T22Z,339,119,2,548,94
20191020T21Z,341,120,3,512,91
20191020T20Z,343,119,3,558,99
20191020T19Z,343,119,5,541,102
20191020T18Z,344,125,9,542,100
20191020T17Z,346,121,10,571,90
20191020T16Z,345,122,5,554,91
20191020T15Z,341,123,1,444,95
20191020T14Z,249,124,0,347,97
20191020T13Z,244,127,0,257,98
20191020T12Z,244,128,0,211,100
20191020T11Z,243,122,0,218,97
20191020T10Z,242,128,0,217,100
20191020T09Z,241,127,0,213,101
20191020T08Z,242,129,0,215,84
20191020T07Z,242,127,0,217,73
20191020T06Z,249,129,0,367,77
20191020T05Z,266,127,0,221,79
20191020T04Z,265,124,0,285,76
20191020T03Z,264,125,0,338,57
20191020T02Z,266,125,0,398,29
20191020T01Z,265,128,0,403,10
20191020T00Z,265,119,1,438,4
20191019T23Z,265,110,1,305,1
20191019T22Z,264,84,3,360,0
20191019T21Z,263,86,2,365,1
20191019T20Z,264,85,3,395,8
20191019T19Z,264,93,1,397,18
20191019T18Z,271,126,1,376,21
20191019T17Z,288,126,0,457,35
20191019T16Z,277,122,1,450,11
20191019T15Z,265,125,0,387,7
20191019T14Z,262,121,0,268,42
20191019T13Z,260,122,0,384,60
20191019T12Z,260,122,0,397,19
20191019T11Z,260,118,0,395,58
20191019T10Z,260,121,0,395,78
20191019T09Z,260,124,0,401,76
20191019T08Z,265,120,0,437,74
20191019T07Z,264,123,0,467,96
20191019T06Z,264,123,0,539,96
20191019T05Z,265,121,0,563,83
20191019T04Z,264,120,0,590,99
20191019T03Z,264,123,0,590,83
20191019T02Z,263,129,0,587,89
20191019T01Z,261,121,0,466,100
20191019T00Z,261,122,0,364,100
20191018T23Z,261,123,1,383,100
20191018T22Z,261,127,4,460,102
20191018T21Z,260,126,8,438,102
20191018T20Z,259,124,12,373,101
20191018T19Z,258,125,16,438,102
20191018T18Z,259,108,11,500,103
20191018T17Z,261,107,5,503,104
20191018T16Z,261,115,11,504,102
20191018T15Z,260,108,1,512,101
20191018T14Z,242,105,0,457,102
20191018T13Z,240,105,0,388,101
20191018T12Z,238,102,0,295,101
20191018T11Z,239,105,0,300,102
20191018T10Z,239,110,0,311,101
20191018T09Z,238,121,0,315,95
20191018T08Z,238,122,0,317,100
20191018T07Z,237,122,0,315,99
20191018T06Z,241,126,0,363,98
20191018T05Z,262,9879,0,516,98
20191018T04Z,260,132,0,606,95
20191018T03Z,260,132,0,602,98
20191018T02Z,261,134,0,556,92
20191018T01Z,259,131,2,536,101
20191018T00Z,257,133,9,521,101
20191017T23Z,257,127,4,473,100
20191017T22Z,257,130,10,425,102
20191017T21Z,257,129,15,426,102
20191017T20Z,257,130,15,456,101
20191017T19Z,256,131,17,458,101
20191017T18Z,259,137,18,459,101
20191017T17Z,260,133,17,461,103
20191017T16Z,261,129,7,473,95
20191017T15Z,258,133,1,482,76
20191017T14Z,257,132,0,448,68
20191017T13Z,257,131,0,405,40
20191017T12Z,257,131,0,279,63
20191017T11Z,254,127,0,241,73
20191017T10Z,255,132,0,318,62
20191017T09Z,257,129,0,372,79
20191017T08Z,255,131,0,382,39
20191017T07Z,260,127,0,409,2
20191017T06Z,260,131,0,462,1
20191017T05Z,259,127,0,487,2
20191017T04Z,280,128,0,525,2
20191017T03Z,281,130,0,594,0
20191017T02Z,281,126,0,564,5
20191017T01Z,280,132,0,526,19
20191017T00Z,264,132,2,484,10
20191016T23Z,253,126,3,461,20
20191016T22Z,253,130,7,461,24
20191016T21Z,255,128,7,458,30
20191016T20Z,257,129,9,462,33
20191016T19Z,259,127,10,459,35
20191016T18Z,260,133,10,424,41
20191016T17Z,262,126,7,453,59
20191016T16Z,264,128,2,489,48
20191016T15Z,265,132,0,489,26
20191016T14Z,264,137,0,405,32
20191016T13Z,265,134,0,436,32
20191016T12Z,265,138,0,272,54
20191016T11Z,265,131,0,293,36
20191016T10Z,266,134,0,286,17
20191016T09Z,267,134,0,302,3
20191016T08Z,264,135,0,372,8
20191016T07Z,264,134,0,378,15
20191016T06Z,267,132,0,482,28
20191016T05Z,288,133,0,525,8
20191016T04Z,289,128,0,539,6
20191016T03Z,287,132,0,585,12
20191016T02Z,286,135,0,557,28
20191016T01Z,287,131,1,453,31
20191016T00Z,284,134,1,398,29
20191015T23Z,284,130,4,401,22
20191015T22Z,285,133,10,404,19
20191015T21Z,282,129,13,430,16
20191015T20Z,287,133,14,430,26
20191015T19Z,290,131,12,428,40
20191015T18Z,291,133,13,484,44
20191015T17Z,293,131,10,463,55
20191015T16Z,291,133,10,459,70
20191015T15Z,292,132,1,461,68
20191015T14Z,293,130,0,403,72
20191015T13Z,293,128,0,408,68
20191015T12Z,292,127,0,350,41
20191015T11Z,292,123,0,304,30
20191015T10Z,293,128,0,304,27
20191015T09Z,279,123,0,304,21
20191015T08Z,268,125,0,304,8
20191015T07Z,269,125,0,300,5
20191015T06Z,271,125,0,346,3
20191015T05Z,270,121,0,432,1
20191015T04Z,268,122,0,555,0
20191015T03Z,268,109,0,592,0
20191015T02Z,265,92,0,546,0
20191015T01Z,260,88,2,505,0
20191015T00Z,259,90,13,465,0
20191014T23Z,254,92,17,461,0
20191014T22Z,245,88,16,463,2
20191014T21Z,236,119,15,437,5
20191014T20Z,238,128,15,432,15
20191014T19Z,238,130,17,442,32
20191014T18Z,240,129,17,466,37
20191014T17Z,303,127,18,488,29
20191014T16Z,344,128,12,491,23
20191014T15Z,344,124,1,490,18
20191014T14Z,344,122,0,487,24
20191014T13Z,339,125,0,290,28
20191014T12Z,337,127,0,218,21
20191014T11Z,335,126,0,211,6
20191014T10Z,337,127,0,224,2
20191014T09Z,336,126,0,235,1
20191014T08Z,335,127,0,294,0
20191014T07Z,341,127,0,320,0
20191014T06Z,338,126,0,441,0
20191014T05Z,338,125,0,560,0
20191014T04Z,335,125,0,555,0
20191014T03Z,335,124,0,564,0
20191014T02Z,335,129,0,592,0
20191014T01Z,333,125,1,595,0
20191014T00Z,335,126,3,588,0
20191013T23Z,334,122,3,568,0
20191013T22Z,332,125,6,566,1
20191013T21Z,329,128,8,562,3
20191013T20Z,333,126,6,565,8
20191013T19Z,334,122,6,562,15
20191013T18Z,336,125,3,553,10
20191013T17Z,337,124,4,555,7
20191013T16Z,338,125,2,553,28
20191013T15Z,343,126,0,503,15
20191013T14Z,344,125,0,434,24
20191013T13Z,336,125,0,316,28
20191013T12Z,269,125,0,298,6
20191013T11Z,267,126,0,303,5
20191013T10Z,269,127,0,336,0
20191013T09Z,269,122,0,396,0
20191013T08Z,270,122,0,445,0
20191013T07Z,294,124,0,522,2
20191013T06Z,334,122,0,541,0
20191013T05Z,373,125,0,589,1
20191013T04Z,370,125,0,598,0
20191013T03Z,365,125,0,595,0
20191013T02Z,328,128,0,597,0
20191013T01Z,260,125,1,592,0
20191013T00Z,261,126,3,475,0
20191012T23Z,259,123,12,432,0
20191012T22Z,262,126,11,397,0
20191012T21Z,262,132,11,393,0
20191012T20Z,265,122,12,399,0
20191012T19Z,266,124,14,400,1
20191012T18Z,269,126,18,453,4
20191012T17Z,271,125,18,453,13
20191012T16Z,268,123,13,486,31
20191012T15Z,266,120,2,453,42
20191012T14Z,259,116,0,442,52
20191012T13Z,246,116,0,432,44
20191012T12Z,247,114,0,374,34
20191012T11Z,247,115,0,402,27
20191012T10Z,248,115,0,404,23
20191012T09Z,248,114,0,403,22
20191012T08Z,247,114,0,470,14
20191012T07Z,246,115,0,489,13
20191012T06Z,247,115,0,427,12
20191012T05Z,248,117,0,414,7
20191012T04Z,249,117,0,453,3
20191012T03Z,247,113,0,510,0
20191012T02Z,245,115,0,430,0
20191012T01Z,242,115,4,362,0
