,coal,natural gas,petroleum,other,hydro,wind
20200106T00-08,347,1037.0,0,21,464,234.0
20200105T23-08,340,1073.0,0,21,460,262.0
20200105T22-08,351,1080.0,0,20,475,287.0
20200105T21-08,348,1082.0,0,21,499,290.0
20200105T20-08,349,1080.0,0,21,593,290.0
20200105T19-08,349,1080.0,0,21,561,301.0
20200105T18-08,348,1077.0,0,22,566,303.0
20200105T17-08,348,1075.0,0,22,540,306.0
20200105T16-08,348,1010.0,0,22,420,291.0
20200105T15-08,347,976.0,0,23,208,308.0
20200105T14-08,351,1005.0,0,21,340,250.0
20200105T13-08,351,998.0,0,22,446,147.0
20200105T12-08,351,1099.0,0,21,566,110.0
20200105T11-08,347,1098.0,0,22,548,81.0
20200105T10-08,347,1080.0,0,21,642,57.0
20200105T09-08,349,1078.0,0,22,576,20.0
20200105T08-08,346,1080.0,0,22,576,28.0
20200105T07-08,348,1079.0,0,21,394,64.0
20200105T06-08,347,1080.0,0,23,378,84.0
20200105T05-08,351,1081.0,0,23,322,90.0
20200105T04-08,372,1081.0,0,25,348,97.0
20200105T03-08,375,1082.0,0,24,348,108.0
20200105T02-08,373,1077.0,0,23,350,36.0
20200105T01-08,373,1082.0,0,25,398,61.0
20200105T00-08,373,1042.0,0,23,568,138.0
20200104T23-08,370,1076.0,0,24,566,193.0
20200104T22-08,370,1015.0,0,25,571,73.0
20200104T21-08,370,972.0,0,23,617,32.0
20200104T20-08,366,942.0,0,25,589,76.0
20200104T19-08,364,921.0,0,24,583,168.0
20200104T18-08,370,917.0,0,22,575,236.0
20200104T17-08,368,903.0,0,22,526,267.0
20200104T16-08,372,849.0,0,24,466,255.0
20200104T15-08,368,809.0,0,24,397,282.0
20200104T14-08,370,766.0,0,23,438,276.0
20200104T13-08,368,843.0,0,25,341,263.0
20200104T12-08,369,869.0,0,23,258,249.0
20200104T11-08,370,888.0,0,25,208,246.0
20200104T10-08,373,893.0,0,24,208,296.0
20200104T09-08,370,899.0,0,23,229,304.0
20200104T08-08,369,917.0,0,25,242,296.0
20200104T07-08,368,912.0,0,23,319,267.0
20200104T06-08,369,910.0,0,23,474,293.0
20200104T05-08,373,891.0,0,25,551,309.0
20200104T04-08,376,821.0,0,23,577,337.0
20200104T03-08,377,789.0,0,24,558,340.0
20200104T02-08,376,786.0,0,24,556,337.0
20200104T01-08,374,784.0,0,26,540,294.0
20200104T00-08,373,1027.0,0,24,614,182.0
20200103T23-08,374,1054.0,0,25,656,161.0
20200103T22-08,377,1049.0,0,25,648,135.0
20200103T21-08,374,1053.0,0,26,635,172.0
20200103T20-08,373,1052.0,0,24,623,223.0
20200103T19-08,380,1047.0,0,25,635,259.0
20200103T18-08,428,1053.0,0,24,566,295.0
20200103T17-08,454,1043.0,0,24,495,265.0
20200103T16-08,454,1033.0,0,26,375,151.0
20200103T15-08,451,987.0,0,26,439,125.0
20200103T14-08,451,968.0,0,25,421,103.0
20200103T13-08,453,923.0,0,25,416,89.0
20200103T12-08,458,1027.0,0,23,425,68.0
20200103T11-08,458,1079.0,0,26,492,114.0
20200103T10-08,455,1069.0,0,25,492,149.0
20200103T09-08,453,1032.0,0,24,508,161.0
20200103T08-08,452,1132.0,0,26,486,242.0
20200103T07-08,453,1132.0,0,25,253,261.0
20200103T06-08,455,1145.0,0,23,364,192.0
20200103T05-08,454,1141.0,0,25,363,210.0
20200103T04-08,455,1130.0,0,25,296,196.0
20200103T03-08,456,1129.0,0,24,357,140.0
20200103T02-08,453,1143.0,0,26,422,141.0
20200103T01-08,455,1212.0,0,25,444,103.0
20200103T00-08,454,1202.0,0,24,584,80.0
20200102T23-08,455,1217.0,0,26,631,50.0
20200102T22-08,454,1215.0,0,24,592,20.0
20200102T21-08,455,1228.0,0,25,591,3.0
20200102T20-08,453,1323.0,0,25,644,3.0
20200102T19-08,455,1307.0,0,24,536,9.0
20200102T18-08,454,1327.0,0,24,569,13.0
20200102T17-08,453,1314.0,0,25,501,24.0
20200102T16-08,450,1230.0,0,25,511,73.0
20200102T15-08,450,1198.0,0,26,450,210.0
20200102T14-08,451,1176.0,0,26,435,265.0
20200102T13-08,449,1174.0,0,27,433,254.0
20200102T12-08,454,1204.0,0,25,418,259.0
20200102T11-08,445,1313.0,0,28,447,266.0
20200102T10-08,455,1320.0,0,27,457,256.0
20200102T09-08,458,1305.0,0,27,463,321.0
20200102T08-08,486,1262.0,0,28,459,309.0
20200102T07-08,514,1124.0,0,28,523,315.0
20200102T06-08,533,991.0,0,26,519,316.0
20200102T05-08,535,891.0,0,22,447,293.0
20200102T04-08,535,794.0,0,23,439,266.0
20200102T03-08,537,804.0,0,22,406,166.0
20200102T02-08,540,805.0,0,22,440,128.0
20200102T01-08,538,803.0,0,23,441,151.0
20200102T00-08,535,798.0,0,22,480,234.0
20200101T23-08,532,794.0,0,22,455,267.0
20200101T22-08,528,792.0,0,22,474,279.0
20200101T21-08,528,795.0,0,22,506,272.0
20200101T20-08,528,793.0,0,22,499,264.0
20200101T19-08,529,796.0,0,23,519,250.0
20200101T18-08,530,794.0,0,23,613,268.0
20200101T17-08,527,724.0,0,22,512,307.0
20200101T16-08,528,614.0,0,23,382,311.0
20200101T15-08,529,513.0,0,23,180,311.0
20200101T14-08,529,530.0,0,22,157,305.0
20200101T13-08,530,547.0,0,22,215,310.0
20200101T12-08,529,607.0,0,23,227,309.0
20200101T11-08,532,622.0,0,23,171,254.0
20200101T10-08,531,537.0,0,22,167,296.0
20200101T09-08,529,634.0,0,23,172,313.0
20200101T08-08,530,687.0,0,23,181,326.0
20200101T07-08,531,673.0,0,22,182,327.0
20200101T06-08,519,742.0,0,24,183,330.0
20200101T05-08,530,767.0,0,24,203,304.0
20200101T04-08,529,782.0,0,24,225,284.0
20200101T03-08,529,779.0,0,24,312,323.0
20200101T02-08,532,784.0,0,24,320,307.0
20200101T01-08,530,785.0,0,23,370,299.0
20200101T00-08,566,786.0,0,24,433,258.0
20191231T23-08,595,949.0,0,24,440,213.0
20191231T22-08,596,899.0,0,23,446,237.0
20191231T21-08,597,980.0,0,22,454,272.0
20191231T20-08,596,1046.0,0,24,448,251.0
20191231T19-08,594,1087.0,0,23,485,230.0
20191231T18-08,596,1110.0,0,23,496,301.0
20191231T17-08,594,1117.0,0,21,445,314.0
20191231T16-08,593,997.0,0,22,433,319.0
20191231T15-08,592,933.0,0,22,414,309.0
20191231T14-08,588,932.0,0,23,411,309.0
20191231T13-08,573,1053.0,0,23,402,228.0
20191231T12-08,563,1139.0,0,23,383,124.0
20191231T11-08,573,1089.0,0,22,471,170.0
20191231T10-08,581,1071.0,0,23,458,190.0
20191231T09-08,578,1099.0,0,23,470,132.0
20191231T08-08,578,1134.0,0,21,483,54.0
20191231T07-08,578,1118.0,0,21,339,94.0
20191231T06-08,579,1132.0,0,23,335,123.0
20191231T05-08,583,1132.0,0,21,241,162.0
20191231T04-08,585,1133.0,0,23,240,106.0
20191231T03-08,607,1131.0,0,23,326,102.0
20191231T02-08,644,1135.0,0,25,381,94.0
20191231T01-08,642,1171.0,0,24,314,69.0
20191231T00-08,641,1151.0,0,23,399,65.0
20191230T23-08,640,1185.0,0,24,565,82.0
20191230T22-08,633,1327.0,0,25,482,112.0
20191230T21-08,608,1393.0,0,23,483,103.0
20191230T20-08,605,1396.0,0,23,475,116.0
20191230T19-08,608,1351.0,0,23,581,72.0
20191230T18-08,609,1369.0,0,23,597,34.0
20191230T17-08,610,1363.0,0,22,583,48.0
20191230T16-08,610,1273.0,0,23,535,36.0
20191230T15-08,609,1293.0,0,22,489,18.0
20191230T14-08,609,1304.0,0,23,408,3.0
20191230T13-08,610,1283.0,0,22,396,24.0
20191230T12-08,609,1270.0,0,23,396,11.0
20191230T11-08,610,1312.0,0,23,423,2.0
20191230T10-08,610,1368.0,0,23,449,1.0
20191230T09-08,611,1387.0,0,22,427,1.0
20191230T08-08,611,1385.0,0,23,432,3.0
20191230T07-08,609,1366.0,0,22,414,1.0
20191230T06-08,612,1370.0,0,24,262,3.0
20191230T05-08,610,1313.0,0,23,204,5.0
20191230T04-08,610,1259.0,0,23,216,1.0
20191230T03-08,612,1221.0,0,24,242,1.0
20191230T02-08,610,1322.0,0,23,240,1.0
20191230T01-08,612,1344.0,0,22,247,1.0
20191230T00-08,612,1348.0,0,23,409,1.0
20191229T23-08,611,1347.0,0,22,434,1.0
20191229T22-08,610,1349.0,0,22,455,1.0
20191229T21-08,611,1401.0,0,22,464,1.0
20191229T20-08,611,1393.0,0,22,485,2.0
20191229T19-08,611,1364.0,0,23,468,1.0
20191229T18-08,612,1365.0,0,23,464,1.0
20191229T17-08,613,1339.0,0,22,434,1.0
20191229T16-08,611,1300.0,0,23,388,10.0
20191229T15-08,610,1306.0,0,23,340,18.0
20191229T14-08,613,1308.0,0,22,353,5.0
20191229T13-08,610,1308.0,0,22,332,8.0
20191229T12-08,612,1305.0,0,23,332,18.0
20191229T11-08,610,1308.0,0,22,351,22.0
20191229T10-08,609,1297.0,0,23,347,19.0
20191229T09-08,611,1269.0,0,22,382,13.0
20191229T08-08,609,1304.0,0,23,385,7.0
20191229T07-08,609,1314.0,0,23,300,4.0
20191229T06-08,612,1349.0,0,23,219,2.0
20191229T05-08,611,1348.0,0,25,174,1.0
20191229T04-08,611,1348.0,0,25,165,1.0
20191229T03-08,611,1343.0,0,24,286,1.0
20191229T02-08,586,1345.0,0,25,281,1.0
20191229T01-08,585,1318.0,0,26,347,1.0
20191229T00-08,583,1317.0,0,24,537,1.0
20191228T23-08,581,1341.0,0,26,550,-1.0
20191228T22-08,584,1334.0,0,24,480,0.0
20191228T21-08,582,1361.0,0,25,577,1.0
20191228T20-08,582,1359.0,0,26,597,1.0
20191228T19-08,598,1399.0,0,23,578,1.0
20191228T18-08,612,1377.0,0,24,578,1.0
20191228T17-08,616,1350.0,0,26,577,0.0
20191228T16-08,614,1275.0,0,25,584,1.0
20191228T15-08,612,1267.0,0,25,553,1.0
20191228T14-08,614,1236.0,0,26,538,1.0
20191228T13-08,613,1224.0,0,25,533,1.0
20191228T12-08,613,1240.0,0,25,536,0.0
20191228T11-08,613,1246.0,0,24,537,0.0
20191228T10-08,615,1279.0,0,25,549,0.0
20191228T09-08,612,1230.0,0,25,443,0.0
20191228T08-08,616,1226.0,0,24,411,0.0
20191228T07-08,614,1203.0,0,26,359,1.0
20191228T06-08,614,1190.0,0,23,349,0.0
20191228T05-08,613,1155.0,0,25,281,0.0
20191228T04-08,615,1115.0,0,25,273,1.0
20191228T03-08,614,1125.0,0,25,272,1.0
20191228T02-08,613,1125.0,0,24,320,7.0
20191228T01-08,614,1143.0,0,26,370,5.0
20191228T00-08,619,1150.0,0,24,496,2.0
20191227T23-08,613,1173.0,0,25,515,1.0
20191227T22-08,613,1181.0,0,25,420,4.0
20191227T21-08,613,1243.0,0,24,497,7.0
20191227T20-08,613,1241.0,0,26,505,3.0
20191227T19-08,613,1201.0,0,25,490,13.0
20191227T18-08,615,1199.0,0,22,505,39.0
20191227T17-08,641,1196.0,0,26,511,23.0
20191227T16-08,644,1186.0,0,26,376,39.0
20191227T15-08,641,1200.0,0,25,370,49.0
20191227T14-08,641,1187.0,0,26,362,96.0
20191227T13-08,642,1159.0,0,24,366,82.0
20191227T12-08,641,1166.0,0,25,375,71.0
20191227T11-08,640,1194.0,0,25,403,89.0
20191227T10-08,644,1213.0,0,25,421,66.0
20191227T09-08,641,1234.0,0,26,449,43.0
20191227T08-08,645,1242.0,0,26,469,32.0
20191227T07-08,642,1236.0,0,24,274,37.0
20191227T06-08,642,1243.0,0,24,275,26.0
20191227T05-08,642,1199.0,0,26,274,25.0
20191227T04-08,641,1203.0,0,24,419,2.0
20191227T03-08,643,1205.0,0,25,463,1.0
20191227T02-08,642,1201.0,0,26,459,1.0
20191227T01-08,642,1199.0,0,24,375,1.0
20191227T00-08,643,1199.0,0,24,490,1.0
20191226T23-08,643,1201.0,0,25,495,1.0
20191226T22-08,642,1195.0,0,25,416,1.0
20191226T21-08,640,1207.0,0,25,431,0.0
20191226T20-08,649,1251.0,0,25,550,1.0
20191226T19-08,643,1220.0,0,26,558,1.0
20191226T18-08,643,1217.0,0,24,560,1.0
20191226T17-08,640,1213.0,0,25,570,1.0
20191226T16-08,641,1160.0,0,26,455,1.0
20191226T15-08,641,1165.0,0,25,439,1.0
20191226T14-08,643,1162.0,0,24,448,1.0
20191226T13-08,643,1161.0,0,26,453,1.0
20191226T12-08,643,1160.0,0,24,454,1.0
20191226T11-08,641,1162.0,0,26,462,1.0
20191226T10-08,640,1242.0,0,25,544,1.0
20191226T09-08,641,1253.0,0,25,540,1.0
20191226T08-08,643,1249.0,0,25,528,1.0
20191226T07-08,644,1241.0,0,25,514,1.0
20191226T06-08,641,1222.0,0,23,505,1.0
20191226T05-08,642,1198.0,0,23,473,1.0
20191226T04-08,641,1196.0,0,22,376,1.0
20191226T03-08,643,1183.0,0,22,351,1.0
20191226T02-08,640,1152.0,0,24,295,1.0
20191226T01-08,643,1123.0,0,22,343,1.0
20191226T00-08,640,1122.0,0,21,305,1.0
20191225T23-08,642,1136.0,0,23,500,2.0
20191225T22-08,641,1144.0,0,22,488,1.0
20191225T21-08,641,1199.0,0,23,537,1.0
20191225T20-08,638,1206.0,0,24,528,1.0
20191225T19-08,641,1165.0,0,23,538,2.0
20191225T18-08,641,1198.0,0,23,500,3.0
20191225T17-08,641,1169.0,0,23,528,6.0
20191225T16-08,640,1198.0,0,22,270,14.0
20191225T15-08,641,1184.0,0,22,286,19.0
20191225T14-08,641,1143.0,0,22,275,6.0
20191225T13-08,641,1125.0,0,23,298,6.0
20191225T12-08,641,1130.0,0,23,235,15.0
20191225T11-08,640,1131.0,0,22,251,29.0
20191225T10-08,640,1134.0,0,24,268,47.0
20191225T09-08,640,1194.0,0,24,346,42.0
20191225T08-08,634,1206.0,0,22,293,14.0
20191225T07-08,641,1163.0,0,24,336,10.0
20191225T06-08,637,1121.0,0,23,369,1.0
20191225T05-08,642,1127.0,0,24,374,1.0
20191225T04-08,642,1115.0,0,24,373,1.0
20191225T03-08,642,1137.0,0,24,380,1.0
20191225T02-08,641,1158.0,0,25,368,1.0
20191225T01-08,642,1135.0,0,25,394,1.0
20191225T00-08,641,1178.0,0,24,522,1.0
20191224T23-08,642,1197.0,0,26,539,1.0
20191224T22-08,641,1230.0,0,25,477,1.0
20191224T21-08,616,1231.0,0,24,490,1.0
20191224T20-08,616,1256.0,0,25,513,1.0
20191224T19-08,611,1307.0,0,24,524,1.0
20191224T18-08,611,1309.0,0,22,567,1.0
20191224T17-08,615,1312.0,0,23,571,1.0
20191224T16-08,615,1293.0,0,22,431,1.0
20191224T15-08,618,1222.0,0,23,419,1.0
20191224T14-08,617,1225.0,0,23,404,1.0
20191224T13-08,626,1255.0,0,22,415,1.0
20191224T12-08,626,1281.0,0,23,401,1.0
20191224T11-08,617,1328.0,0,23,440,1.0
20191224T10-08,609,1271.0,0,22,392,1.0
20191224T09-08,560,1314.0,0,22,438,1.0
20191224T08-08,535,1303.0,0,23,439,1.0
20191224T07-08,420,1342.0,0,22,434,1.0
20191224T06-08,401,1350.0,0,22,354,1.0
20191224T05-08,387,1357.0,0,23,260,2.0
20191224T04-08,348,1341.0,0,24,244,1.0
20191224T03-08,330,1344.0,0,24,227,2.0
20191224T02-08,325,1357.0,0,21,301,1.0
20191224T01-08,300,1363.0,0,23,335,2.0
20191224T00-08,278,1417.0,0,22,401,9.0
20191223T23-08,277,1498.0,0,22,498,5.0
20191223T22-08,312,1484.0,0,24,435,5.0
20191223T21-08,333,1500.0,0,24,456,5.0
20191223T20-08,331,1466.0,0,22,491,9.0
20191223T19-08,336,1428.0,0,24,496,9.0
20191223T18-08,382,1455.0,0,22,528,11.0
20191223T17-08,383,1436.0,0,23,548,8.0
20191223T16-08,383,1458.0,0,23,521,11.0
20191223T15-08,385,1462.0,0,23,432,6.0
20191223T14-08,384,1462.0,0,23,353,3.0
20191223T13-08,384,1504.0,0,23,440,5.0
20191223T12-08,382,1479.0,0,22,452,4.0
20191223T11-08,337,1517.0,0,24,551,5.0
20191223T10-08,332,1458.0,0,23,603,8.0
20191223T09-08,333,1453.0,0,23,600,31.0
20191223T08-08,333,1397.0,0,25,413,66.0
20191223T07-08,336,1326.0,0,25,406,103.0
20191223T06-08,334,1347.0,0,26,384,86.0
20191223T05-08,332,1351.0,0,27,295,36.0
20191223T04-08,333,1350.0,0,26,225,26.0
20191223T03-08,332,1345.0,0,27,248,9.0
20191223T02-08,332,1344.0,0,26,249,2.0
20191223T01-08,349,1341.0,0,24,342,1.0
20191223T00-08,476,1343.0,0,24,421,8.0
20191222T23-08,642,1355.0,0,24,549,7.0
20191222T22-08,645,1357.0,0,24,556,1.0
20191222T21-08,643,1410.0,0,25,564,1.0
20191222T20-08,639,1412.0,0,25,575,3.0
20191222T19-08,643,1412.0,0,23,524,8.0
20191222T18-08,644,1408.0,0,23,476,31.0
20191222T17-08,644,1383.0,0,24,452,57.0
20191222T16-08,642,1354.0,0,23,373,90.0
20191222T15-08,643,1354.0,0,23,408,107.0
20191222T14-08,646,1352.0,0,23,378,109.0
20191222T13-08,644,1356.0,0,23,373,98.0
20191222T12-08,644,1358.0,0,22,459,92.0
20191222T11-08,644,1362.0,0,23,483,70.0
20191222T10-08,642,1364.0,0,23,491,85.0
20191222T09-08,643,1364.0,0,22,423,66.0
20191222T08-08,643,1367.0,0,22,394,63.0
20191222T07-08,644,1364.0,0,22,318,39.0
20191222T06-08,646,1361.0,0,20,394,12.0
20191222T05-08,636,1358.0,0,22,283,5.0
20191222T04-08,560,1356.0,0,22,288,3.0
20191222T03-08,558,1349.0,0,21,279,1.0
20191222T02-08,558,1355.0,0,22,278,13.0
20191222T01-08,567,1353.0,0,22,301,28.0
20191222T00-08,641,1372.0,0,22,389,68.0
20191221T23-08,644,1374.0,0,23,421,98.0
20191221T22-08,645,1371.0,0,22,412,192.0
20191221T21-08,644,1370.0,0,22,445,176.0
20191221T20-08,643,1369.0,0,22,493,191.0
20191221T19-08,643,1369.0,0,23,448,195.0
20191221T18-08,643,1359.0,0,23,448,251.0
20191221T17-08,643,1311.0,0,22,427,246.0
20191221T16-08,643,1205.0,0,23,350,235.0
20191221T15-08,643,1178.0,0,22,349,200.0
20191221T14-08,644,1161.0,0,23,346,135.0
20191221T13-08,643,1153.0,0,22,457,153.0
20191221T12-08,643,1157.0,0,23,470,146.0
20191221T11-08,646,1165.0,0,22,531,150.0
20191221T10-08,643,1161.0,0,23,410,156.0
20191221T09-08,644,1141.0,0,22,389,139.0
20191221T08-08,643,1145.0,0,23,236,162.0
20191221T07-08,644,1120.0,0,22,215,127.0
20191221T06-08,646,1091.0,0,24,321,114.0
20191221T05-08,643,1098.0,0,26,179,91.0
20191221T04-08,642,1098.0,0,25,162,52.0
20191221T03-08,644,1105.0,0,26,172,65.0
20191221T02-08,643,1146.0,0,25,165,99.0
20191221T01-08,642,1111.0,0,25,374,116.0
20191221T00-08,643,1159.0,0,25,465,97.0
20191220T23-08,642,1211.0,0,25,543,90.0
20191220T22-08,643,1188.0,0,26,499,112.0
20191220T21-08,643,1211.0,0,26,532,180.0
20191220T20-08,641,1211.0,0,25,587,190.0
20191220T19-08,642,1204.0,0,25,499,232.0
20191220T18-08,620,1172.0,0,24,501,263.0
20191220T17-08,622,1160.0,0,24,507,281.0
20191220T16-08,621,1101.0,0,26,393,281.0
20191220T15-08,621,1083.0,0,23,387,296.0
20191220T14-08,621,1063.0,0,25,407,272.0
20191220T13-08,623,982.0,0,25,380,257.0
20191220T12-08,623,1053.0,0,25,379,206.0
20191220T11-08,622,1141.0,0,25,379,135.0
20191220T10-08,621,1117.0,0,25,286,177.0
20191220T09-08,622,1137.0,0,24,265,200.0
20191220T08-08,624,1148.0,0,25,311,237.0
20191220T07-08,624,1117.0,0,25,335,253.0
20191220T06-08,622,1106.0,0,23,324,227.0
20191220T05-08,623,1087.0,0,25,270,224.0
20191220T04-08,622,1062.0,0,25,275,229.0
20191220T03-08,617,1053.0,0,25,285,244.0
20191220T02-08,642,1066.0,0,25,279,247.0
20191220T01-08,641,1107.0,0,25,292,200.0
20191220T00-08,642,1115.0,0,25,375,168.0
20191219T23-08,638,1270.0,0,25,474,176.0
20191219T22-08,640,1189.0,0,24,371,177.0
20191219T21-08,642,1294.0,0,23,461,158.0
20191219T20-08,638,1350.0,0,25,462,80.0
20191219T19-08,639,1440.0,0,24,482,26.0
20191219T18-08,641,1448.0,0,22,477,16.0
20191219T17-08,638,1436.0,0,24,476,15.0
20191219T16-08,638,1359.0,0,24,468,12.0
20191219T15-08,639,1270.0,0,25,429,4.0
20191219T14-08,639,1257.0,0,43,384,12.0
20191219T13-08,641,1265.0,0,23,402,14.0
20191219T12-08,639,1290.0,0,24,417,17.0
20191219T11-08,638,1297.0,0,23,422,1.0
20191219T10-08,639,1310.0,0,25,442,6.0
20191219T09-08,639,1330.0,0,23,431,40.0
20191219T08-08,640,1360.0,0,25,435,28.0
20191219T07-08,629,1350.0,0,23,400,46.0
20191219T06-08,637,1388.0,0,22,423,25.0
20191219T05-08,637,1330.0,0,25,388,4.0
20191219T04-08,636,1316.0,0,24,291,1.0
20191219T03-08,637,1330.0,0,23,293,1.0
20191219T02-08,637,1306.0,0,25,357,15.0
20191219T01-08,638,1331.0,0,24,360,3.0
20191219T00-08,636,1288.0,0,23,462,1.0
20191218T23-08,634,1306.0,0,24,487,1.0
20191218T22-08,636,1292.0,0,24,477,1.0
20191218T21-08,638,1380.0,0,23,477,2.0
20191218T20-08,637,1345.0,0,25,442,2.0
20191218T19-08,636,1483.0,0,24,457,1.0
20191218T18-08,643,1487.0,0,21,450,1.0
20191218T17-08,638,1459.0,0,25,498,1.0
20191218T16-08,645,1327.0,0,23,436,1.0
20191218T15-08,643,1305.0,0,24,487,4.0
20191218T14-08,647,1335.0,0,24,438,1.0
20191218T13-08,632,1334.0,0,23,408,1.0
20191218T12-08,614,1337.0,0,25,462,0.0
20191218T11-08,616,1338.0,0,23,420,0.0
20191218T10-08,635,1381.0,0,23,312,3.0
20191218T09-08,635,1390.0,0,24,432,5.0
20191218T08-08,637,1392.0,0,24,367,2.0
20191218T07-08,638,1394.0,0,22,391,1.0
20191218T06-08,634,1362.0,0,24,444,1.0
20191218T05-08,643,1309.0,0,25,431,1.0
20191218T04-08,645,1310.0,0,24,433,1.0
20191218T03-08,642,1306.0,0,24,501,1.0
20191218T02-08,645,1301.0,0,23,502,1.0
20191218T01-08,643,1310.0,0,23,492,1.0
20191218T00-08,627,1344.0,0,23,506,1.0
20191217T23-08,628,1346.0,0,22,504,1.0
20191217T22-08,633,1374.0,0,22,507,1.0
20191217T21-08,623,1493.0,0,23,480,4.0
20191217T20-08,562,1543.0,0,22,512,10.0
20191217T19-08,509,1545.0,0,22,527,10.0
20191217T18-08,460,1534.0,0,23,532,2.0
20191217T17-08,351,1542.0,0,24,524,2.0
20191217T16-08,335,1501.0,0,24,485,0.0
20191217T15-08,333,1411.0,0,25,471,2.0
20191217T14-08,329,1384.0,0,24,449,0.0
20191217T13-08,339,1331.0,0,24,382,0.0
20191217T12-08,335,1456.0,0,24,357,0.0
20191217T11-08,586,1330.0,0,21,494,1.0
20191217T10-08,635,1374.0,0,24,492,1.0
20191217T09-08,636,1418.0,0,23,500,1.0
20191217T08-08,636,1423.0,0,25,531,1.0
20191217T07-08,636,1378.0,0,24,515,1.0
20191217T06-08,636,1407.0,0,23,497,1.0
20191217T05-08,642,1326.0,0,22,332,1.0
20191217T04-08,646,1327.0,0,23,245,1.0
20191217T03-08,644,1329.0,0,24,241,1.0
20191217T02-08,643,1327.0,0,23,407,3.0
20191217T01-08,643,1321.0,0,24,424,7.0
20191217T00-08,643,1316.0,0,24,514,3.0
20191216T23-08,644,1359.0,0,23,518,2.0
20191216T22-08,642,1331.0,0,24,517,2.0
20191216T21-08,643,1371.0,0,23,517,3.0
20191216T20-08,646,1381.0,0,23,516,1.0
20191216T19-08,644,1380.0,0,22,518,0.0
20191216T18-08,644,1379.0,0,22,517,4.0
20191216T17-08,644,1365.0,0,25,509,3.0
20191216T16-08,645,1313.0,0,24,338,4.0
20191216T15-08,643,1199.0,0,25,296,12.0
20191216T14-08,645,1226.0,0,24,227,5.0
20191216T13-08,644,1242.0,0,24,277,13.0
20191216T12-08,646,1287.0,0,25,268,9.0
20191216T11-08,645,1325.0,0,23,275,3.0
20191216T10-08,643,1347.0,0,24,269,2.0
20191216T09-08,645,1379.0,0,23,307,2.0
20191216T08-08,644,1406.0,0,24,324,5.0
20191216T07-08,644,1407.0,0,24,211,7.0
20191216T06-08,646,1405.0,0,22,193,7.0
20191216T05-08,645,1324.0,0,23,172,22.0
20191216T04-08,645,1363.0,0,21,189,32.0
20191216T03-08,645,1359.0,0,22,183,44.0
20191216T02-08,645,1357.0,0,22,329,100.0
20191216T01-08,643,1350.0,0,22,355,122.0
20191216T00-08,642,1284.0,0,23,384,89.0
20191215T23-08,646,1304.0,0,22,408,111.0
20191215T22-08,643,1350.0,0,21,420,161.0
20191215T21-08,643,1398.0,0,22,421,166.0
20191215T20-08,644,1382.0,0,22,432,155.0
20191215T19-08,646,1402.0,0,21,417,185.0
20191215T18-08,644,1386.0,0,22,418,164.0
20191215T17-08,644,1343.0,0,21,418,178.0
20191215T16-08,643,1241.0,0,22,373,152.0
20191215T15-08,650,1145.0,0,22,343,148.0
20191215T14-08,646,1201.0,0,21,317,116.0
20191215T13-08,644,1208.0,0,21,384,121.0
20191215T12-08,646,1202.0,0,22,410,111.0
20191215T11-08,645,1238.0,0,22,405,90.0
20191215T10-08,646,1242.0,0,21,328,154.0
20191215T09-08,645,1305.0,0,21,335,156.0
20191215T08-08,645,1294.0,0,21,395,158.0
20191215T07-08,645,1318.0,0,22,367,131.0
20191215T06-08,645,1295.0,0,22,311,121.0
20191215T05-08,638,1317.0,0,20,221,83.0
20191215T04-08,572,1258.0,0,21,268,80.0
20191215T03-08,570,1199.0,0,21,343,62.0
20191215T02-08,570,1197.0,0,21,413,65.0
20191215T01-08,574,1246.0,0,22,407,63.0
20191215T00-08,642,1302.0,0,21,403,46.0
20191214T23-08,642,1348.0,0,21,417,28.0
20191214T22-08,614,1356.0,0,22,407,27.0
20191214T21-08,615,1400.0,0,20,422,14.0
20191214T20-08,616,1390.0,0,22,419,5.0
20191214T19-08,645,1338.0,0,21,469,13.0
20191214T18-08,643,1379.0,0,21,460,11.0
20191214T17-08,643,1364.0,0,22,472,9.0
20191214T16-08,643,1283.0,0,21,452,12.0
20191214T15-08,644,1175.0,0,22,448,8.0
20191214T14-08,646,1187.0,0,20,440,2.0
20191214T13-08,643,1263.0,0,20,414,15.0
20191214T12-08,645,1307.0,0,22,330,35.0
20191214T11-08,647,1296.0,0,20,286,26.0
20191214T10-08,644,1311.0,0,22,324,38.0
20191214T09-08,644,1313.0,0,21,323,73.0
20191214T08-08,645,1260.0,0,21,258,92.0
20191214T07-08,644,1265.0,0,22,226,81.0
20191214T06-08,646,1339.0,0,22,229,63.0
20191214T05-08,644,1338.0,0,24,228,87.0
20191214T04-08,645,1236.0,0,24,384,92.0
20191214T03-08,647,1227.0,0,23,393,100.0
20191214T02-08,645,1224.0,0,24,388,96.0
20191214T01-08,644,1276.0,0,24,389,78.0
20191214T00-08,640,1288.0,0,23,404,56.0
20191213T23-08,641,1336.0,0,24,389,65.0
20191213T22-08,639,1325.0,0,22,414,88.0
20191213T21-08,641,1374.0,0,25,410,81.0
20191213T20-08,642,1368.0,0,22,415,90.0
20191213T19-08,644,1386.0,0,24,412,26.0
20191213T18-08,644,1390.0,0,21,419,56.0
20191213T17-08,644,1381.0,0,24,433,94.0
20191213T16-08,649,1332.0,0,24,402,132.0
