,natural gas,nuclear,other,solar,hydro,wind
20191103T03-08,775,1168,220,0,5575,1
20191103T02-08,774,1168,215,0,5451,0
20191103T01-08,773,1168,227,0,5380,0
20191103T01-07,834,1169,229,0,5277,0
20191103T00-07,1011,1168,233,0,4193,0
20191102T23-07,1016,1167,224,0,4595,2
20191102T22-07,1013,1166,239,0,4955,2
20191102T21-07,1011,1165,237,0,5241,1
20191102T20-07,1006,1165,234,0,5827,1
20191102T19-07,1002,1163,234,0,5842,1
20191102T18-07,992,1164,236,0,5480,5
20191102T17-07,991,1164,240,0,4577,11
20191102T16-07,989,1163,238,0,4403,12
20191102T15-07,983,1163,234,0,4555,11
20191102T14-07,997,1163,234,0,4838,5
20191102T13-07,1008,1159,238,0,5227,1
20191102T12-07,1014,1161,234,0,5737,2
20191102T11-07,1018,1165,239,0,6242,2
20191102T10-07,1022,1168,239,0,6591,7
20191102T09-07,1022,1168,241,1,6788,8
20191102T08-07,1023,1170,228,0,6517,6
20191102T07-07,1023,1169,203,0,5458,10
20191102T06-07,1022,1165,191,0,4706,9
20191102T05-07,1021,1163,182,0,4165,7
20191102T04-07,1021,1170,187,0,3837,13
20191102T03-07,1021,1171,183,0,3795,20
20191102T02-07,1020,1170,190,0,3809,17
20191102T01-07,1019,1170,186,0,3933,15
20191102T00-07,1021,1170,188,0,4087,15
20191101T23-07,1012,1169,192,0,4858,41
20191101T22-07,909,1168,198,0,5364,97
20191101T21-07,905,1169,199,0,5521,110
20191101T20-07,1009,1168,197,0,5698,128
20191101T19-07,1006,1165,196,0,5610,128
20191101T18-07,996,1166,199,0,5168,103
20191101T17-07,996,1167,195,2,4831,125
20191101T16-07,994,1159,196,3,4254,152
20191101T15-07,999,1129,199,3,4554,103
20191101T14-07,1004,1085,198,3,5049,73
20191101T13-07,1010,1045,198,3,5385,62
20191101T12-07,1015,1018,199,3,5779,52
20191101T11-07,1021,990,201,3,6148,42
20191101T10-07,1025,1075,203,3,6560,35
20191101T09-07,1025,1159,203,1,7235,32
20191101T08-07,1027,1161,199,0,7741,30
20191101T07-07,1026,1165,202,0,7120,32
20191101T06-07,1028,1162,192,0,6326,34
20191101T05-07,1025,1160,187,0,4850,38
20191101T04-07,1024,1160,189,0,4463,25
20191101T03-07,1026,1165,185,0,4209,15
20191101T02-07,1024,1166,183,0,4212,17
20191101T01-07,1016,1169,181,0,4251,21
20191101T00-07,913,1170,185,0,3918,25
20191031T23-07,914,1169,187,0,4725,33
20191031T22-07,1018,1169,194,0,5881,45
20191031T21-07,1020,1168,194,0,6503,53
20191031T20-07,1019,1167,190,0,6540,54
20191031T19-07,1014,1166,195,0,6280,45
20191031T18-07,1013,1168,189,0,6026,40
20191031T17-07,1012,1167,192,2,5397,34
20191031T16-07,1011,1164,188,3,5079,28
20191031T15-07,1011,1156,189,3,5227,15
20191031T14-07,1018,1153,189,3,5471,1
20191031T13-07,1019,1155,190,3,5852,1
20191031T12-07,1021,1155,189,3,6293,3
20191031T11-07,1023,1156,194,3,6977,0
20191031T10-07,1026,1156,189,3,7639,2
20191031T09-07,1028,1157,194,1,8197,7
20191031T08-07,1026,1159,195,0,8401,6
20191031T07-07,1027,1160,195,0,8128,6
20191031T06-07,1025,1159,188,0,6493,4
20191031T05-07,1025,1159,183,0,4680,2
20191031T04-07,1019,1161,185,0,3923,3
20191031T03-07,917,1162,185,0,3792,7
20191031T02-07,911,1160,182,0,3829,3
20191031T01-07,911,1159,185,0,3922,4
20191031T00-07,910,1158,182,0,3985,7
20191030T23-07,913,1158,184,0,4510,32
20191030T22-07,1015,1166,196,0,5914,63
20191030T21-07,1021,1175,194,0,6470,82
20191030T20-07,1016,1175,196,0,6431,134
20191030T19-07,1014,1168,194,0,6689,148
20191030T18-07,1015,1166,189,0,5757,128
20191030T17-07,1010,1159,189,3,5025,97
20191030T16-07,1009,1154,195,4,4607,58
20191030T15-07,1006,1155,194,3,4678,58
20191030T14-07,1011,1158,191,3,4999,102
20191030T13-07,1013,1159,190,3,5540,110
20191030T12-07,1018,1162,193,3,6091,95
20191030T11-07,1023,1161,190,4,6816,58
20191030T10-07,1025,1162,191,4,7649,24
20191030T09-07,1025,1162,189,2,8278,29
20191030T08-07,1028,1163,189,0,8558,38
20191030T07-07,1028,1163,195,0,8173,45
20191030T06-07,1028,1163,190,0,6812,39
20191030T05-07,1027,1163,183,0,4864,22
20191030T04-07,1027,1163,182,0,4255,16
20191030T03-07,1026,1164,182,0,4193,18
20191030T02-07,1027,1162,182,0,4123,17
20191030T01-07,1027,1163,181,0,4163,31
20191030T00-07,1023,1163,180,0,4988,49
20191029T23-07,1021,1163,184,0,5379,79
20191029T22-07,1021,1162,192,0,7067,167
20191029T21-07,1020,1160,189,0,7392,291
20191029T20-07,1018,1159,185,0,7518,402
20191029T19-07,1018,1166,185,0,7253,514
20191029T18-07,1013,1168,185,0,6700,466
20191029T17-07,1011,1168,189,3,5416,683
20191029T16-07,1011,1168,187,4,4955,723
20191029T15-07,1013,1169,187,4,5206,620
20191029T14-07,1015,1172,183,3,5694,622
20191029T13-07,1017,1168,183,3,5932,780
20191029T12-07,1018,1169,187,3,6428,878
20191029T11-07,1018,1169,188,4,6804,933
20191029T10-07,1023,1169,187,4,7928,920
20191029T09-07,1024,1172,190,2,8263,1151
20191029T08-07,1018,1171,189,0,8228,1457
20191029T07-07,916,1170,189,0,7655,1609
20191029T06-07,911,1170,179,0,5544,1703
20191029T05-07,909,1171,177,0,4840,1770
20191029T04-07,908,1170,175,0,4369,2060
20191029T03-07,904,1169,180,0,4220,2092
20191029T02-07,836,1168,180,0,4262,2223
20191029T01-07,832,1168,181,0,4110,2351
20191029T00-07,831,1166,181,0,4285,2440
20191028T23-07,899,1165,182,0,4567,2344
20191028T22-07,905,1160,190,0,5107,2162
20191028T21-07,1007,1157,192,0,5619,1447
20191028T20-07,1011,1157,187,0,6543,895
20191028T19-07,1005,1160,187,0,6603,628
20191028T18-07,1000,1161,190,0,6056,222
20191028T17-07,997,1159,192,2,5177,153
20191028T16-07,994,1162,194,3,4975,139
20191028T15-07,989,1163,192,3,5233,323
20191028T14-07,1003,1163,193,3,5087,804
20191028T13-07,1011,1164,195,3,5091,986
20191028T12-07,1013,1165,195,3,5683,968
20191028T11-07,1014,1165,196,3,6165,924
20191028T10-07,1020,1166,197,2,7044,934
20191028T09-07,1022,1168,198,0,7635,840
20191028T08-07,1020,1166,198,0,8003,759
20191028T07-07,1021,1168,195,0,7435,798
20191028T06-07,1021,1167,194,0,6326,596
20191028T05-07,1020,1169,186,0,4317,449
20191028T04-07,1017,1169,186,0,3986,381
20191028T03-07,976,1168,186,0,3884,336
20191028T02-07,912,1168,189,0,3945,197
20191028T01-07,906,1167,184,0,3975,122
20191028T00-07,908,1168,191,0,4181,104
20191027T23-07,909,1167,185,0,4991,49
20191027T22-07,998,1166,185,0,5672,28
20191027T21-07,999,1166,183,0,5956,25
20191027T20-07,998,1165,187,0,6026,8
20191027T19-07,994,1165,184,0,5900,8
20191027T18-07,992,1165,184,0,5274,10
20191027T17-07,986,1165,187,3,4992,16
20191027T16-07,901,1165,182,4,4332,33
20191027T15-07,896,1166,181,4,4409,47
20191027T14-07,898,1165,182,3,4495,55
20191027T13-07,935,1166,181,3,4511,50
20191027T12-07,986,1166,180,3,4812,38
20191027T11-07,983,1167,181,4,5085,19
20191027T10-07,978,1168,188,4,5709,20
20191027T09-07,976,1168,189,2,6168,73
20191027T08-07,961,1167,188,0,6072,179
20191027T07-07,911,1167,187,0,5542,303
20191027T06-07,909,1166,180,0,4754,318
20191027T05-07,909,1167,180,0,3952,505
20191027T04-07,908,1167,177,0,3653,610
20191027T03-07,907,1167,188,0,3684,586
20191027T02-07,906,1166,186,0,3681,578
20191027T01-07,907,1165,184,0,3667,663
20191027T00-07,914,1164,186,0,4027,626
20191026T23-07,912,1162,184,0,4359,541
20191026T22-07,909,1164,193,0,5861,476
20191026T21-07,907,1163,190,0,6132,588
20191026T20-07,902,1163,191,0,5921,986
20191026T19-07,892,1160,186,0,5746,1040
20191026T18-07,895,1159,190,0,4931,1333
20191026T17-07,890,1159,192,2,4820,1216
20191026T16-07,896,1158,194,4,4416,1000
20191026T15-07,955,1158,194,4,5128,400
20191026T14-07,944,1157,189,3,5440,215
20191026T13-07,966,1158,191,3,5636,121
20191026T12-07,928,1157,196,3,5968,186
20191026T11-07,913,1161,199,3,6158,318
20191026T10-07,977,1162,194,3,6270,641
20191026T09-07,983,1163,196,2,6057,826
20191026T08-07,976,1161,199,0,5817,968
20191026T07-07,909,1161,200,0,5202,1031
20191026T06-07,753,1161,186,0,4326,1191
20191026T05-07,620,1160,181,0,3695,1511
20191026T04-07,451,1159,182,0,3446,1655
20191026T03-07,418,1159,181,0,3587,1521
20191026T02-07,398,1159,182,0,3685,1469
20191026T01-07,398,1156,183,0,3423,1806
20191026T00-07,398,1155,178,0,3942,1774
20191025T23-07,395,1153,179,0,4277,1751
20191025T22-07,396,1151,190,0,4201,2035
20191025T21-07,395,1151,187,0,4421,2159
20191025T20-07,393,1147,189,0,5053,2191
20191025T19-07,393,1146,188,0,5209,2298
20191025T18-07,390,1143,188,0,4535,2496
20191025T17-07,391,1139,191,3,4343,2539
20191025T16-07,389,1142,191,3,4035,2542
20191025T15-07,389,1146,187,3,3840,2624
20191025T14-07,386,1150,192,3,3957,2628
20191025T13-07,388,1154,197,3,4101,2248
20191025T12-07,401,1158,185,3,3864,2111
20191025T11-07,879,1161,187,4,4133,1623
20191025T10-07,993,1163,202,4,4740,1102
20191025T09-07,1000,1165,198,2,5465,808
20191025T08-07,1004,1164,203,0,5787,506
20191025T07-07,1009,1164,202,0,5552,350
20191025T06-07,1005,1164,200,0,4169,181
20191025T05-07,902,1164,195,0,3844,119
20191025T04-07,897,1164,198,0,3720,61
20191025T03-07,899,1162,192,0,3702,38
20191025T02-07,898,1163,192,0,3723,26
20191025T01-07,898,1161,191,0,3726,35
20191025T00-07,894,1160,187,0,3769,57
20191024T23-07,894,1160,187,0,4089,83
20191024T22-07,886,1160,194,0,4504,79
20191024T21-07,884,1161,196,0,5021,67
20191024T20-07,970,1158,192,0,5657,70
20191024T19-07,969,1156,183,0,5621,78
20191024T18-07,966,1155,179,3,5215,92
20191024T17-07,878,1154,166,3,4829,117
20191024T16-07,871,1155,162,3,4581,178
20191024T15-07,875,1156,163,3,4717,185
20191024T14-07,878,1154,158,3,4958,204
20191024T13-07,881,1155,160,3,5218,174
20191024T12-07,889,1155,166,3,5613,171
20191024T11-07,896,1157,161,4,5870,174
20191024T10-07,1003,1159,167,3,6279,132
20191024T09-07,1008,1161,165,2,6850,142
20191024T08-07,1009,1163,176,0,7055,101
20191024T07-07,1009,1163,183,0,6519,62
20191024T06-07,1007,1163,184,0,5113,28
20191024T05-07,905,1163,183,0,4336,14
20191024T04-07,895,1163,187,0,4029,8
20191024T03-07,897,1163,185,0,3977,3
20191024T02-07,896,1162,186,0,3955,6
20191024T01-07,895,1161,182,0,4004,8
20191024T00-07,894,1161,178,0,4071,19
20191023T23-07,896,1162,177,0,4564,46
20191023T22-07,1001,1167,192,0,5771,57
20191023T21-07,1004,1167,186,0,6192,72
20191023T20-07,998,1168,187,0,6373,109
20191023T19-07,988,1166,185,0,6385,158
20191023T18-07,977,1166,190,1,5695,136
20191023T17-07,973,1156,199,3,5294,83
20191023T16-07,975,1156,201,4,5048,88
20191023T15-07,974,1157,205,3,4989,58
20191023T14-07,975,1157,197,3,5158,32
20191023T13-07,993,1158,200,3,5424,35
20191023T12-07,1000,1158,199,3,5579,34
20191023T11-07,1005,1159,202,4,5827,40
20191023T10-07,1009,1162,186,3,6252,43
20191023T09-07,1009,1163,192,2,6651,89
20191023T08-07,1007,1163,184,0,6654,113
20191023T07-07,1003,1161,209,0,6109,130
20191023T06-07,902,1161,223,0,4419,158
20191023T05-07,896,1160,222,0,3582,190
20191023T04-07,896,1158,224,0,3574,236
20191023T03-07,892,1158,229,0,3555,299
20191023T02-07,893,1155,228,0,3583,470
20191023T01-07,891,1156,220,0,3698,607
20191023T00-07,880,1156,210,0,3830,1038
20191022T23-07,864,1154,213,0,3951,1352
20191022T22-07,852,1150,230,0,4104,1491
20191022T21-07,791,1148,223,0,4289,1707
20191022T20-07,769,1148,228,0,4272,1949
20191022T19-07,762,1147,225,0,4285,1994
20191022T18-07,751,1146,227,1,3886,2103
20191022T17-07,750,1146,223,3,3384,2243
20191022T16-07,757,1146,221,4,3667,2207
20191022T15-07,757,1145,227,2,3770,2169
20191022T14-07,753,1143,227,3,3596,2236
20191022T13-07,750,1144,228,3,3287,2401
20191022T12-07,754,1146,226,3,3533,2343
20191022T11-07,755,1146,222,4,3668,2293
20191022T10-07,757,1143,216,1,3775,2192
20191022T09-07,744,1142,214,0,4035,1991
20191022T08-07,751,1143,219,0,4159,2292
20191022T07-07,746,1141,212,0,3844,2255
20191022T06-07,675,1137,206,0,3598,2103
20191022T05-07,537,1139,207,0,3397,1876
20191022T04-07,491,1139,207,0,3528,1692
20191022T03-07,489,1142,208,0,3399,1739
20191022T02-07,489,1140,211,0,3409,1607
20191022T01-07,542,1140,209,0,3804,1399
20191022T00-07,687,1144,215,0,3894,1575
20191021T23-07,878,1144,213,0,3975,1618
20191021T22-07,967,1147,227,0,4365,1476
20191021T21-07,969,1148,226,0,5180,1149
20191021T20-07,967,1149,224,0,5753,1096
20191021T19-07,966,1150,232,0,5915,943
20191021T18-07,968,1150,226,0,5723,838
20191021T17-07,967,1150,225,1,5135,618
20191021T16-07,966,1151,226,3,4940,684
20191021T15-07,967,1152,226,4,4577,886
20191021T14-07,968,1152,222,3,4698,1026
20191021T13-07,969,1154,221,3,4854,1168
20191021T12-07,972,1156,219,3,5029,1159
20191021T11-07,982,1157,221,4,5226,1203
20191021T10-07,989,1158,220,2,5226,1399
20191021T09-07,997,1158,216,1,4968,1593
20191021T08-07,997,1158,221,0,5465,1553
20191021T07-07,994,1157,214,0,4763,1603
20191021T06-07,884,1157,217,0,4002,1717
20191021T05-07,885,1158,209,0,3371,1900
20191021T04-07,886,1158,214,0,3197,1932
20191021T03-07,886,1159,216,0,3006,2099
20191021T02-07,891,1159,217,0,3312,2046
20191021T01-07,895,1159,212,0,3430,2128
20191021T00-07,893,1156,216,0,3169,2308
20191020T23-07,897,1154,213,0,2898,2546
20191020T22-07,992,1154,219,0,3437,1935
20191020T21-07,987,1154,210,0,4295,1451
20191020T20-07,982,1152,207,0,4789,893
20191020T19-07,981,1154,210,0,5189,444
20191020T18-07,982,1154,211,0,5049,193
20191020T17-07,988,1154,220,2,5029,169
20191020T16-07,996,1153,223,1,5200,235
20191020T15-07,996,1157,215,0,4903,528
20191020T14-07,998,1159,206,1,5232,517
20191020T13-07,998,1156,219,1,5297,599
20191020T12-07,1003,1157,221,1,5605,606
20191020T11-07,1003,1159,222,0,5317,641
20191020T10-07,994,1160,225,0,5351,648
20191020T09-07,991,1162,217,0,5221,743
20191020T08-07,990,1163,214,0,4983,838
20191020T07-07,993,1162,216,0,4585,897
20191020T06-07,992,1163,217,0,3962,1145
20191020T05-07,902,1163,215,0,3488,1422
20191020T04-07,898,1163,217,0,3295,1715
20191020T03-07,898,1161,216,0,3019,2083
20191020T02-07,898,1162,212,0,3133,2209
20191020T01-07,896,1160,217,0,3025,2364
20191020T00-07,884,1158,216,0,3244,2287
20191019T23-07,867,1158,212,0,3705,2143
20191019T22-07,833,1155,228,0,4144,2085
20191019T21-07,771,1157,217,0,4016,2427
20191019T20-07,852,1157,228,0,4281,2423
20191019T19-07,846,1157,226,0,4234,2417
20191019T18-07,752,1157,233,1,4124,2344
20191019T17-07,736,1157,225,2,4031,2397
20191019T16-07,736,1157,224,4,3758,2576
20191019T15-07,739,1156,228,3,3781,2661
20191019T14-07,835,1154,237,2,3832,2673
20191019T13-07,842,1153,223,3,4072,2672
20191019T12-07,842,1156,203,1,4262,2653
20191019T11-07,844,1156,210,2,4105,2597
20191019T10-07,848,1156,206,1,4111,2311
20191019T09-07,764,1154,212,0,4107,2066
20191019T08-07,850,1154,205,0,4461,1315
20191019T07-07,855,1156,209,0,4491,931
20191019T06-07,855,1156,198,0,4621,570
20191019T05-07,853,1155,182,0,4302,394
20191019T04-07,854,1156,185,0,4356,284
20191019T03-07,855,1155,187,0,4514,229
20191019T02-07,851,1154,183,0,4492,406
20191019T01-07,765,1153,189,0,4463,419
20191019T00-07,850,1154,190,0,4522,465
20191018T23-07,855,1154,188,0,5150,448
20191018T22-07,856,1152,192,0,5111,430
20191018T21-07,855,1153,193,0,6013,332
20191018T20-07,839,1153,196,0,6318,494
20191018T19-07,757,1153,194,0,6027,496
20191018T18-07,753,1152,191,1,5704,814
20191018T17-07,753,1151,192,2,5219,1209
20191018T16-07,752,1152,191,2,5243,1222
20191018T15-07,752,1152,195,3,4849,1518
20191018T14-07,753,1152,194,3,4996,1553
20191018T13-07,752,1153,191,3,4850,1744
20191018T12-07,753,1153,190,3,4940,1713
20191018T11-07,754,1154,189,4,5092,1736
20191018T10-07,757,1156,193,1,5575,1700
20191018T09-07,759,1158,195,1,5609,1872
20191018T08-07,760,1159,196,0,5775,1835
20191018T07-07,758,1158,197,0,5399,1809
20191018T06-07,758,1157,186,0,4565,1930
20191018T05-07,752,1156,183,0,4122,1969
20191018T04-07,592,1155,181,0,3961,1896
20191018T03-07,431,1154,190,0,3919,1954
20191018T02-07,328,1150,192,0,3649,2286
20191018T01-07,278,1151,188,0,3476,2318
20191018T00-07,252,1152,188,0,3481,2196
20191017T23-07,252,1153,186,0,4315,1659
20191017T22-07,249,1151,199,0,4781,1521
20191017T21-07,249,1149,198,0,5341,1403
20191017T20-07,249,1149,202,0,6132,1036
20191017T19-07,251,1148,200,0,6085,1208
20191017T18-07,249,1146,200,1,5455,1552
20191017T17-07,249,1145,198,1,4861,1895
20191017T16-07,249,1145,199,2,4220,2060
20191017T15-07,250,1145,193,1,4517,1939
20191017T14-07,250,1145,202,2,4594,1725
20191017T13-07,251,1147,195,2,5142,1359
20191017T12-07,249,1149,199,2,5367,1242
20191017T11-07,250,1153,191,3,5236,1333
20191017T10-07,249,1154,197,3,5575,1152
20191017T09-07,250,1154,196,2,5910,1259
20191017T08-07,251,1154,204,0,5916,1205
20191017T07-07,252,1152,194,0,5358,1582
20191017T06-07,250,1152,192,0,4329,1621
20191017T05-07,252,1151,188,0,3879,1471
20191017T04-07,251,1151,188,0,3615,1511
20191017T03-07,250,1151,184,0,3488,1319
20191017T02-07,250,1150,187,0,3368,1144
20191017T01-07,267,1150,186,0,3549,946
20191017T00-07,729,1146,190,0,4472,522
20191016T23-07,753,1149,186,0,4651,657
20191016T22-07,751,1152,193,0,5485,644
20191016T21-07,751,1151,197,0,6218,308
20191016T20-07,755,1152,192,0,6566,260
20191016T19-07,842,1153,200,0,6327,538
20191016T18-07,798,1155,214,0,5942,599
20191016T17-07,752,1154,218,0,5630,271
20191016T16-07,748,1154,217,1,5179,256
20191016T15-07,747,1154,219,1,5096,155
20191016T14-07,749,1156,222,1,5040,91
20191016T13-07,749,1155,217,2,5201,80
20191016T12-07,757,1157,198,1,5551,18
20191016T11-07,802,1158,208,2,6165,34
20191016T10-07,859,1158,206,2,6678,25
20191016T09-07,830,1159,205,2,6876,36
20191016T08-07,864,1158,207,0,7132,32
20191016T07-07,834,1159,203,0,6757,30
20191016T06-07,754,1159,201,0,5134,11
20191016T05-07,755,1159,193,0,4141,45
20191016T04-07,754,1159,195,0,3918,24
20191016T03-07,755,1160,195,0,3849,17
20191016T02-07,754,1159,192,0,3949,8
20191016T01-07,754,1158,199,0,4027,8
20191016T00-07,753,1157,191,0,4092,11
20191015T23-07,754,1157,192,0,4466,28
20191015T22-07,753,1156,183,0,5655,20
20191015T21-07,752,1156,180,0,6172,29
20191015T20-07,752,1154,176,0,6683,29
20191015T19-07,748,1155,183,0,6567,28
20191015T18-07,747,1153,184,1,6156,40
20191015T17-07,749,1155,183,1,5652,26
20191015T16-07,744,1157,180,1,5146,20
20191015T15-07,745,1157,180,1,5051,13
20191015T14-07,749,1158,179,3,5255,6
20191015T13-07,750,1159,182,3,5441,3
20191015T12-07,754,1159,176,3,5696,6
20191015T11-07,758,1162,182,3,6009,4
20191015T10-07,766,1163,178,4,6718,2
20191015T09-07,769,1163,178,2,7146,9
20191015T08-07,769,1164,179,0,7649,20
20191015T07-07,767,1165,177,0,7152,24
20191015T06-07,677,1164,175,0,5283,18
20191015T05-07,549,1163,171,0,4418,23
20191015T04-07,502,1163,165,0,3981,31
20191015T03-07,496,1163,166,0,3922,20
20191015T02-07,497,1161,173,0,3750,23
20191015T01-07,496,1161,168,0,4130,72
20191015T00-07,496,1161,172,0,4252,103
20191014T23-07,493,1160,170,0,5275,121
20191014T22-07,495,1158,176,0,5889,95
20191014T21-07,493,1157,178,0,6969,51
20191014T20-07,491,1156,176,0,7200,70
20191014T19-07,491,1154,179,0,6989,83
20191014T18-07,489,1154,181,1,5511,20
20191014T17-07,489,1155,180,3,4634,2
20191014T16-07,490,1155,179,4,4594,1
20191014T15-07,490,1156,187,3,4460,12
20191014T14-07,492,1157,185,3,4714,35
20191014T13-07,493,1157,186,3,4999,67
20191014T12-07,497,1157,181,3,5319,142
20191014T11-07,499,1160,183,2,5762,241
20191014T10-07,498,1161,184,1,6720,325
20191014T09-07,499,1164,187,1,7199,390
20191014T08-07,499,1164,185,0,7618,417
20191014T07-07,425,1163,190,0,6880,407
20191014T06-07,292,1161,189,0,5171,510
20191014T05-07,259,1160,184,0,3894,734
20191014T04-07,258,1160,184,0,3627,747
20191014T03-07,258,1159,185,0,3531,700
20191014T02-07,256,1157,180,0,3637,664
20191014T01-07,256,1157,180,0,3605,686
20191014T00-07,256,1155,176,0,3610,836
20191013T23-07,255,1157,180,0,3929,925
20191013T22-07,258,1158,180,0,5054,967
20191013T21-07,484,1157,179,0,5207,1197
20191013T20-07,491,1156,177,0,5470,1321
20191013T19-07,491,1155,182,0,5229,1270
20191013T18-07,489,1154,176,1,4697,911
20191013T17-07,489,1155,177,3,3736,659
20191013T16-07,489,1157,177,3,3676,486
20191013T15-07,489,1157,180,3,3840,248
20191013T14-07,489,1158,183,3,4137,95
20191013T13-07,490,1158,176,3,4412,27
20191013T12-07,492,1160,176,3,4690,17
20191013T11-07,493,1160,180,4,5055,0
20191013T10-07,493,1161,180,3,5061,0
20191013T09-07,495,1162,177,2,4658,1
20191013T08-07,494,1161,172,0,4669,3
20191013T07-07,494,1161,175,0,4308,8
20191013T06-07,493,1161,180,0,3969,2
20191013T05-07,495,1162,172,0,3788,7
20191013T04-07,493,1163,175,0,3789,0
20191013T03-07,494,1163,176,0,3812,0
20191013T02-07,494,1162,176,0,3908,3
20191013T01-07,493,1161,172,0,4020,13
20191013T00-07,493,1159,168,0,4405,0
20191012T23-07,493,1161,175,0,4942,1
20191012T22-07,493,1161,181,0,5492,2
20191012T21-07,492,1160,184,0,5820,3
20191012T20-07,491,1158,185,0,6169,8
20191012T19-07,490,1160,180,0,5834,12
20191012T18-07,491,1159,185,0,5062,14
20191012T17-07,490,1158,177,2,3789,12
20191012T16-07,492,1157,180,3,3830,2
20191012T15-07,490,1158,176,3,3581,4
20191012T14-07,493,1159,179,3,3775,6
20191012T13-07,494,1161,181,3,4117,4
20191012T12-07,495,1162,185,3,4805,1
20191012T11-07,497,1162,180,3,5012,0
20191012T10-07,499,1164,180,4,5346,0
20191012T09-07,499,1166,188,2,5327,0
20191012T08-07,499,1165,184,0,5341,2
20191012T07-07,499,1166,182,0,4975,1
20191012T06-07,500,1165,185,0,4725,3
20191012T05-07,498,1165,179,0,4318,4
20191012T04-07,499,1164,180,0,4169,11
20191012T03-07,499,1165,178,0,4147,13
20191012T02-07,499,1163,177,0,4147,22
20191012T01-07,513,1161,178,0,4191,22
20191012T00-07,751,1161,178,0,4540,35
20191011T23-07,759,1160,176,0,4907,54
20191011T22-07,757,1160,184,0,5355,83
20191011T21-07,755,1159,182,0,5930,155
20191011T20-07,750,1156,181,0,5912,306
20191011T19-07,748,1155,183,0,5594,345
20191011T18-07,747,1156,181,1,5171,336
20191011T17-07,747,1157,183,3,4351,384
20191011T16-07,745,1156,183,4,4040,401
20191011T15-07,744,1157,178,4,4212,327
20191011T14-07,747,1159,179,3,5009,250
20191011T13-07,753,1162,181,3,5461,148
20191011T12-07,756,1162,181,4,5898,101
20191011T11-07,758,1164,182,4,6461,96
20191011T10-07,765,1166,187,4,7237,129
20191011T09-07,872,1167,183,3,7787,132
20191011T08-07,878,1167,188,0,8321,101
20191011T07-07,880,1168,190,0,7616,105
20191011T06-07,871,1166,180,0,6264,145
20191011T05-07,770,1167,173,0,5007,186
20191011T04-07,766,1168,170,0,4449,233
20191011T03-07,765,1169,172,0,4248,215
20191011T02-07,764,1168,171,0,4214,179
20191011T01-07,766,1168,170,0,4366,189
20191011T00-07,765,1167,172,0,4416,188
20191010T23-07,762,1165,174,0,4796,201
20191010T22-07,761,1164,187,0,6301,284
20191010T21-07,760,1162,184,0,6724,424
20191010T20-07,757,1159,186,0,6747,417
20191010T19-07,756,1160,189,0,6488,324
20191010T18-07,751,1159,185,2,6126,270
20191010T17-07,751,1159,187,4,5457,183
20191010T16-07,750,1163,188,4,4978,146
20191010T15-07,752,1170,188,4,4907,107
20191010T14-07,756,1172,187,4,5204,78
20191010T13-07,758,1173,184,4,5136,48
20191010T12-07,761,1163,185,4,5963,27
20191010T11-07,763,1163,167,4,6597,18
20191010T10-07,726,1164,165,4,7424,7
20191010T09-07,518,1165,165,3,8075,5
20191010T08-07,728,1165,162,0,8360,7
20191010T07-07,574,1165,164,0,7995,7
20191010T06-07,546,1168,163,0,6579,5
20191010T05-07,518,1169,149,0,5232,7
20191010T04-07,403,1168,154,0,4636,6
20191010T03-07,295,1167,154,0,4436,4
20191010T02-07,276,1167,152,0,4315,7
20191010T01-07,264,1167,152,0,4454,4
20191010T00-07,262,1166,154,0,4490,21
20191009T23-07,262,1164,159,0,4911,37
20191009T22-07,262,1165,168,0,6124,42
20191009T21-07,260,1164,152,0,6849,47
20191009T20-07,260,1163,127,0,7070,54
20191009T19-07,257,1162,130,0,6779,68
20191009T18-07,257,1161,127,2,6109,85
20191009T17-07,257,1161,125,4,5651,70
20191009T16-07,256,1162,128,4,5407,78
20191009T15-07,257,1161,129,4,5143,87
20191009T14-07,257,1163,134,4,5154,90
20191009T13-07,260,1163,129,3,5142,93
20191009T12-07,260,1164,131,3,5630,124
20191009T11-07,262,1163,148,1,6052,145
20191009T10-07,262,1163,174,2,6439,91
20191009T09-07,263,1163,170,2,6596,78
20191009T08-07,263,1162,168,0,7271,128
20191009T07-07,262,1162,168,0,6921,146
20191009T06-07,263,1162,164,0,5010,255
20191009T05-07,262,1162,159,0,4142,358
20191009T04-07,261,1160,157,0,3724,476
20191009T03-07,261,1160,156,0,3584,564
20191009T02-07,261,1160,158,0,3621,570
20191009T01-07,324,1157,157,0,3779,553
20191009T00-07,390,1157,157,0,4112,713
20191008T23-07,390,1156,156,0,4512,857
20191008T22-07,388,1158,164,0,4810,1183
20191008T21-07,387,1157,168,0,4918,1352
20191008T20-07,386,1155,166,0,5444,1233
20191008T19-07,386,1154,176,0,5456,1155
20191008T18-07,384,1154,173,1,4823,1183
20191008T17-07,384,1152,173,4,4714,1201
20191008T16-07,381,1152,176,4,4041,1598
20191008T15-07,382,1152,172,4,3998,1619
20191008T14-07,381,1150,176,4,4114,1592
20191008T13-07,382,1154,173,4,4047,1590
20191008T12-07,381,1152,174,3,4236,1492
20191008T11-07,381,1156,174,2,4527,1490
20191008T10-07,381,1157,175,1,4794,1584
20191008T09-07,381,1156,172,1,5034,1614
20191008T08-07,382,1156,168,0,5025,1629
