,hydro
20191030T00Z,781
20191029T23Z,691
20191029T22Z,702
20191029T21Z,721
20191029T20Z,740
20191029T19Z,785
20191029T18Z,869
20191029T17Z,858
20191029T16Z,861
20191029T15Z,856
20191029T14Z,792
20191029T13Z,469
20191029T12Z,364
20191029T11Z,319
20191029T10Z,307
20191029T09Z,311
20191029T08Z,341
20191029T07Z,350
20191029T06Z,390
20191029T05Z,839
20191029T04Z,855
20191029T03Z,896
20191029T02Z,868
20191029T01Z,856
20191029T00Z,723
20191028T23Z,636
20191028T22Z,652
20191028T21Z,687
20191028T20Z,730
20191028T19Z,762
20191028T18Z,813
20191028T17Z,870
20191028T16Z,823
20191028T15Z,843
20191028T14Z,809
20191028T13Z,573
20191028T12Z,542
20191028T11Z,503
20191028T10Z,463
20191028T09Z,483
20191028T08Z,508
20191028T07Z,566
20191028T06Z,642
20191028T05Z,754
20191028T04Z,814
20191028T03Z,805
20191028T02Z,817
20191028T01Z,780
20191028T00Z,735
20191027T23Z,647
20191027T22Z,673
20191027T21Z,685
20191027T20Z,722
20191027T19Z,728
20191027T18Z,743
20191027T17Z,736
20191027T16Z,686
20191027T15Z,625
20191027T14Z,493
20191027T13Z,460
20191027T12Z,346
20191027T11Z,347
20191027T10Z,319
20191027T09Z,336
20191027T08Z,366
20191027T07Z,387
20191027T06Z,471
20191027T05Z,712
20191027T04Z,743
20191027T03Z,764
20191027T02Z,773
20191027T01Z,686
20191027T00Z,686
20191026T23Z,607
20191026T22Z,682
20191026T21Z,698
20191026T20Z,754
20191026T19Z,786
20191026T18Z,783
20191026T17Z,783
20191026T16Z,730
20191026T15Z,647
20191026T14Z,630
20191026T13Z,514
20191026T12Z,431
20191026T11Z,414
20191026T10Z,418
20191026T09Z,442
20191026T08Z,494
20191026T07Z,583
20191026T06Z,614
20191026T05Z,622
20191026T04Z,623
20191026T03Z,822
20191026T02Z,828
20191026T01Z,836
20191026T00Z,774
20191025T23Z,781
20191025T22Z,795
20191025T21Z,866
20191025T20Z,849
20191025T19Z,877
20191025T18Z,861
20191025T17Z,814
20191025T16Z,795
20191025T15Z,819
20191025T14Z,817
20191025T13Z,523
20191025T12Z,529
20191025T11Z,509
20191025T10Z,533
20191025T09Z,380
20191025T08Z,432
20191025T07Z,578
20191025T06Z,757
20191025T05Z,775
20191025T04Z,813
20191025T03Z,784
20191025T02Z,808
20191025T01Z,788
20191025T00Z,815
20191024T23Z,841
20191024T22Z,834
20191024T21Z,841
20191024T20Z,810
20191024T19Z,823
20191024T18Z,810
20191024T17Z,825
20191024T16Z,811
20191024T15Z,864
20191024T14Z,811
20191024T13Z,787
20191024T12Z,780
20191024T11Z,432
20191024T10Z,364
20191024T09Z,371
20191024T08Z,429
20191024T07Z,504
20191024T06Z,664
20191024T05Z,774
20191024T04Z,810
20191024T03Z,825
20191024T02Z,822
20191024T01Z,831
20191024T00Z,851
20191023T23Z,766
20191023T22Z,755
20191023T21Z,767
20191023T20Z,809
20191023T19Z,814
20191023T18Z,829
20191023T17Z,806
20191023T16Z,812
20191023T15Z,875
20191023T14Z,787
20191023T13Z,669
20191023T12Z,535
20191023T11Z,445
20191023T10Z,371
20191023T09Z,373
20191023T08Z,426
20191023T07Z,566
20191023T06Z,659
20191023T05Z,802
20191023T04Z,812
20191023T03Z,812
20191023T02Z,805
20191023T01Z,803
20191023T00Z,755
20191022T23Z,773
20191022T22Z,780
20191022T21Z,844
20191022T20Z,847
20191022T19Z,842
20191022T18Z,854
20191022T17Z,799
20191022T16Z,792
20191022T15Z,803
20191022T14Z,787
20191022T13Z,616
20191022T12Z,484
20191022T11Z,447
20191022T10Z,453
20191022T09Z,415
20191022T08Z,423
20191022T07Z,494
20191022T06Z,651
20191022T05Z,812
20191022T04Z,766
20191022T03Z,828
20191022T02Z,852
20191022T01Z,861
20191022T00Z,824
20191021T23Z,821
20191021T22Z,813
20191021T21Z,815
20191021T20Z,810
20191021T19Z,849
20191021T18Z,866
20191021T17Z,841
20191021T16Z,796
20191021T15Z,824
20191021T14Z,723
20191021T13Z,591
20191021T12Z,480
20191021T11Z,440
20191021T10Z,460
20191021T09Z,448
20191021T08Z,452
20191021T07Z,473
20191021T06Z,564
20191021T05Z,772
20191021T04Z,854
20191021T03Z,885
20191021T02Z,906
20191021T01Z,901
20191021T00Z,946
20191020T23Z,939
20191020T22Z,935
20191020T21Z,939
20191020T20Z,927
20191020T19Z,927
20191020T18Z,907
20191020T17Z,868
20191020T16Z,800
20191020T15Z,754
20191020T14Z,772
20191020T13Z,544
20191020T12Z,503
20191020T11Z,460
20191020T10Z,477
20191020T09Z,470
20191020T08Z,501
20191020T07Z,526
20191020T06Z,602
20191020T05Z,730
20191020T04Z,763
20191020T03Z,837
20191020T02Z,846
20191020T01Z,836
20191020T00Z,782
20191019T23Z,755
20191019T22Z,767
20191019T21Z,789
20191019T20Z,831
20191019T19Z,847
20191019T18Z,885
20191019T17Z,858
20191019T16Z,851
20191019T15Z,800
20191019T14Z,717
20191019T13Z,611
20191019T12Z,529
20191019T11Z,521
20191019T10Z,635
20191019T09Z,592
20191019T08Z,708
20191019T07Z,818
20191019T06Z,890
20191019T05Z,876
20191019T04Z,858
20191019T03Z,843
20191019T02Z,936
20191019T01Z,938
20191019T00Z,929
20191018T23Z,923
20191018T22Z,918
20191018T21Z,904
20191018T20Z,905
20191018T19Z,911
20191018T18Z,916
20191018T17Z,879
20191018T16Z,891
20191018T15Z,853
20191018T14Z,784
20191018T13Z,674
20191018T12Z,500
20191018T11Z,517
20191018T10Z,505
20191018T09Z,446
20191018T08Z,494
20191018T07Z,750
20191018T06Z,774
20191018T05Z,780
20191018T04Z,796
20191018T03Z,771
20191018T02Z,777
20191018T01Z,772
20191018T00Z,787
20191017T23Z,772
20191017T22Z,751
20191017T21Z,823
20191017T20Z,773
20191017T19Z,787
20191017T18Z,790
20191017T17Z,758
20191017T16Z,762
20191017T15Z,804
20191017T14Z,697
20191017T13Z,590
20191017T12Z,456
20191017T11Z,411
20191017T10Z,459
20191017T09Z,635
20191017T08Z,726
20191017T07Z,567
20191017T06Z,795
20191017T05Z,809
20191017T04Z,807
20191017T03Z,797
20191017T02Z,856
20191017T01Z,862
20191017T00Z,849
20191016T23Z,814
20191016T22Z,846
20191016T21Z,877
20191016T20Z,828
20191016T19Z,839
20191016T18Z,837
20191016T17Z,853
20191016T16Z,843
20191016T15Z,821
20191016T14Z,743
20191016T13Z,636
20191016T12Z,483
20191016T11Z,381
20191016T10Z,409
20191016T09Z,427
20191016T08Z,441
20191016T07Z,595
20191016T06Z,671
20191016T05Z,775
20191016T04Z,815
20191016T03Z,808
20191016T02Z,786
20191016T01Z,851
20191016T00Z,879
20191015T23Z,868
20191015T22Z,872
20191015T21Z,888
20191015T20Z,887
20191015T19Z,901
20191015T18Z,898
20191015T17Z,866
20191015T16Z,819
20191015T15Z,843
20191015T14Z,756
20191015T13Z,655
20191015T12Z,576
20191015T11Z,521
20191015T10Z,522
20191015T09Z,529
20191015T08Z,534
20191015T07Z,619
20191015T06Z,770
20191015T05Z,797
20191015T04Z,864
20191015T03Z,864
20191015T02Z,866
20191015T01Z,854
20191015T00Z,881
20191014T23Z,822
20191014T22Z,839
20191014T21Z,847
20191014T20Z,856
20191014T19Z,862
20191014T18Z,878
20191014T17Z,854
20191014T16Z,849
20191014T15Z,869
20191014T14Z,813
20191014T13Z,803
20191014T12Z,559
20191014T11Z,517
20191014T10Z,519
20191014T09Z,534
20191014T08Z,567
20191014T07Z,596
20191014T06Z,677
20191014T05Z,788
20191014T04Z,836
20191014T03Z,900
20191014T02Z,849
20191014T01Z,863
20191014T00Z,819
20191013T23Z,790
20191013T22Z,796
20191013T21Z,817
20191013T20Z,800
20191013T19Z,826
20191013T18Z,820
20191013T17Z,773
20191013T16Z,732
20191013T15Z,640
20191013T14Z,588
20191013T13Z,583
20191013T12Z,495
20191013T11Z,484
20191013T10Z,501
20191013T09Z,524
20191013T08Z,560
20191013T07Z,645
20191013T06Z,796
20191013T05Z,808
20191013T04Z,837
20191013T03Z,917
20191013T02Z,939
20191013T01Z,882
20191013T00Z,766
20191012T23Z,748
20191012T22Z,751
20191012T21Z,780
20191012T20Z,831
20191012T19Z,842
