,coal,natural gas,petroleum,other,solar,hydro,wind
20191028T00Z,159,299,0,60,137,541,169
20191027T23Z,146,311,0,59,239,553,187
20191027T22Z,147,266,0,59,233,517,203
20191027T21Z,146,259,0,59,219,522,222
20191027T20Z,147,256,0,61,209,495,265
20191027T19Z,145,250,0,61,219,492,336
20191027T18Z,143,265,0,61,235,517,309
20191027T17Z,145,289,0,61,240,515,189
20191027T16Z,147,306,0,61,132,520,203
20191027T15Z,159,356,0,60,13,562,193
20191027T14Z,163,349,0,60,0,568,167
20191027T13Z,149,335,0,60,0,562,194
20191027T12Z,149,334,0,63,0,567,225
20191027T11Z,150,310,0,58,0,569,251
20191027T10Z,149,296,0,62,0,567,254
20191027T09Z,149,279,0,59,0,545,263
20191027T08Z,149,262,0,58,0,537,286
20191027T07Z,148,283,0,60,0,559,342
20191027T06Z,149,301,0,58,0,570,347
20191027T05Z,146,292,0,59,0,568,463
20191027T04Z,146,298,0,59,0,565,343
20191027T03Z,146,292,0,57,0,563,413
20191027T02Z,147,301,0,60,0,567,531
20191027T01Z,156,290,0,57,9,574,605
20191027T00Z,165,14,0,55,109,641,664
20191026T23Z,147,0,0,57,174,553,684
20191026T22Z,147,0,0,58,171,522,662
20191026T21Z,146,0,0,57,171,492,676
20191026T20Z,147,0,0,59,169,494,677
20191026T19Z,146,0,0,56,200,490,670
20191026T18Z,147,0,0,60,199,522,663
20191026T17Z,146,0,0,57,209,509,656
20191026T16Z,146,-1,0,57,130,512,641
20191026T15Z,147,0,0,60,9,562,646
20191026T14Z,147,0,0,58,0,564,665
20191026T13Z,147,0,0,59,0,564,655
20191026T12Z,218,0,0,59,0,532,663
20191026T11Z,315,0,0,58,0,525,619
20191026T10Z,420,0,0,55,0,569,504
20191026T09Z,506,0,0,58,0,534,304
20191026T08Z,331,0,0,56,0,555,218
20191026T07Z,158,115,0,61,0,547,216
20191026T06Z,149,274,0,61,0,545,195
20191026T05Z,147,302,0,60,0,543,166
20191026T04Z,174,322,0,60,0,575,111
20191026T03Z,229,276,0,57,0,574,85
20191026T02Z,212,309,0,59,2,626,86
20191026T01Z,310,291,0,55,23,624,111
20191026T00Z,187,269,0,53,133,578,111
20191025T23Z,148,257,0,55,223,575,134
20191025T22Z,148,237,0,58,226,569,163
20191025T21Z,147,294,0,58,207,570,199
20191025T20Z,147,268,0,61,201,567,255
20191025T19Z,170,268,0,57,239,571,286
20191025T18Z,149,233,0,57,199,569,260
20191025T17Z,147,238,0,61,243,568,283
20191025T16Z,147,250,0,62,161,554,318
20191025T15Z,148,270,0,63,23,563,378
20191025T14Z,147,285,0,65,0,565,329
20191025T13Z,146,290,0,62,0,565,246
20191025T12Z,150,259,0,63,0,558,194
20191025T11Z,150,260,0,61,0,438,164
20191025T10Z,146,263,0,61,0,432,124
20191025T09Z,146,277,0,64,0,412,87
20191025T08Z,146,282,0,62,0,414,62
20191025T07Z,146,299,0,60,0,423,52
20191025T06Z,148,321,0,62,0,438,45
20191025T05Z,146,298,0,61,0,438,110
20191025T04Z,147,314,0,63,0,565,214
20191025T03Z,146,285,0,64,0,563,242
20191025T02Z,147,310,0,59,0,574,267
20191025T01Z,147,307,0,57,18,680,219
20191025T00Z,146,301,0,59,141,438,189
20191024T23Z,146,304,0,58,227,328,154
20191024T22Z,146,306,0,60,226,263,99
20191024T21Z,146,327,0,57,210,303,63
20191024T20Z,146,314,0,62,198,305,33
20191024T19Z,145,323,0,51,198,311,4
20191024T18Z,154,315,0,53,215,329,4
20191024T17Z,166,301,0,52,215,441,6
20191024T16Z,258,325,0,56,129,552,5
20191024T15Z,350,348,0,54,24,750,6
20191024T14Z,193,335,0,49,0,645,16
20191024T13Z,158,288,0,47,0,505,22
20191024T12Z,158,166,0,53,0,562,32
20191024T11Z,158,126,0,51,0,559,31
20191024T10Z,158,127,0,51,0,548,56
20191024T09Z,157,126,0,52,0,565,85
20191024T08Z,158,125,0,52,0,561,58
20191024T07Z,174,145,0,51,0,576,51
20191024T06Z,166,143,0,51,0,595,172
20191024T05Z,159,138,0,48,0,583,337
20191024T04Z,157,147,0,43,0,568,434
20191024T03Z,159,152,0,32,0,565,491
20191024T02Z,179,154,0,32,0,607,533
20191024T01Z,159,140,0,34,18,611,563
20191024T00Z,172,131,0,28,140,622,578
20191023T23Z,207,17,0,30,222,565,575
20191023T22Z,227,0,0,29,204,546,581
20191023T21Z,236,0,0,34,200,594,538
20191023T20Z,237,-1,0,35,209,536,516
20191023T19Z,239,0,0,33,204,519,502
20191023T18Z,237,0,0,32,226,547,505
20191023T17Z,237,0,0,34,217,550,467
20191023T16Z,236,0,0,34,150,596,488
20191023T15Z,275,0,0,39,24,634,496
20191023T14Z,247,0,0,43,0,562,511
20191023T13Z,238,0,0,51,0,534,538
20191023T12Z,239,0,0,53,0,492,575
20191023T11Z,239,0,0,50,0,467,569
20191023T10Z,239,0,0,51,0,472,552
20191023T09Z,238,0,0,51,0,476,538
20191023T08Z,239,0,0,52,0,506,490
20191023T07Z,237,0,0,49,0,488,439
20191023T06Z,238,0,0,51,0,495,327
20191023T05Z,237,0,0,48,0,491,264
20191023T04Z,238,0,0,48,0,532,282
20191023T03Z,237,0,0,48,0,578,338
20191023T02Z,246,-1,0,48,0,804,362
20191023T01Z,244,0,0,45,12,646,431
20191023T00Z,242,0,0,48,127,578,513
20191022T23Z,239,0,0,44,205,544,540
20191022T22Z,240,0,0,52,200,561,495
20191022T21Z,243,0,0,57,166,525,382
20191022T20Z,258,0,0,50,152,571,361
20191022T19Z,282,0,0,57,111,550,340
20191022T18Z,321,0,0,56,84,503,202
20191022T17Z,365,0,0,58,74,505,158
20191022T16Z,362,0,0,57,82,571,136
20191022T15Z,274,0,0,60,12,596,121
20191022T14Z,252,0,0,59,0,586,137
20191022T13Z,239,0,0,58,0,548,148
20191022T12Z,239,0,0,55,0,504,149
20191022T11Z,239,0,0,55,0,496,143
20191022T10Z,240,0,0,57,0,492,127
20191022T09Z,239,0,0,57,0,520,92
20191022T08Z,239,-1,0,55,0,507,64
20191022T07Z,238,0,0,57,0,505,72
20191022T06Z,239,0,0,55,0,503,99
20191022T05Z,238,0,0,54,0,509,143
20191022T04Z,238,0,0,51,0,549,186
20191022T03Z,238,0,0,55,0,552,219
20191022T02Z,245,0,0,51,0,560,290
20191022T01Z,257,0,0,54,6,591,358
20191022T00Z,236,0,0,50,105,593,417
20191021T23Z,232,0,0,49,186,528,469
20191021T22Z,236,0,0,52,177,528,474
20191021T21Z,248,0,0,51,178,496,484
20191021T20Z,260,0,0,50,163,495,476
20191021T19Z,268,0,0,52,149,520,459
20191021T18Z,333,0,0,54,116,530,336
20191021T17Z,389,0,0,56,83,522,255
20191021T16Z,387,0,0,55,47,522,242
20191021T15Z,354,-1,0,58,7,538,232
20191021T14Z,242,0,0,57,0,565,244
20191021T13Z,240,0,0,56,0,534,207
20191021T12Z,242,0,0,57,0,537,253
20191021T11Z,244,0,0,58,0,536,209
20191021T10Z,244,0,0,59,0,536,112
20191021T09Z,243,-1,0,56,0,537,73
20191021T08Z,240,0,0,58,0,521,43
20191021T07Z,238,0,0,56,0,547,23
20191021T06Z,238,0,0,56,0,542,35
20191021T05Z,237,0,0,54,0,559,62
20191021T04Z,237,0,0,56,0,582,84
20191021T03Z,235,0,0,54,0,598,87
20191021T02Z,262,0,0,55,0,612,116
20191021T01Z,285,0,0,48,6,613,167
20191021T00Z,242,0,0,50,26,566,206
20191020T23Z,231,0,0,48,51,547,225
20191020T22Z,230,0,0,49,91,541,216
20191020T21Z,237,0,0,48,129,524,283
20191020T20Z,238,0,0,55,158,518,373
20191020T19Z,246,0,0,54,13867860,511,420
20191020T18Z,301,-1,0,53,131,515,411
20191020T17Z,329,0,0,55,141,517,404
20191020T16Z,324,0,0,57,82,517,411
20191020T15Z,247,0,0,57,28,560,459
20191020T14Z,243,0,0,57,7,688,430
20191020T13Z,241,-1,0,57,7,535,454
20191020T12Z,241,0,0,58,7,503,513
20191020T11Z,243,0,0,58,7,498,555
20191020T10Z,242,0,0,59,7,498,552
20191020T09Z,230,0,0,56,7,490,604
20191020T08Z,237,-1,0,59,7,490,616
20191020T07Z,201,0,0,57,7,512,645
20191020T06Z,237,0,0,54,7,500,639
20191020T05Z,237,0,0,56,7,513,648
20191020T04Z,239,0,0,56,7,503,658
20191020T03Z,246,0,0,56,7,534,645
20191020T02Z,249,0,0,56,7,528,632
20191020T01Z,293,0,0,51,14,571,598
20191020T00Z,289,0,0,53,60,531,627
20191019T23Z,217,0,0,51,88,511,524
20191019T22Z,225,0,0,53,100,483,422
20191019T21Z,234,0,0,51,127,435,445
20191019T20Z,199,0,0,53,83,476,345
20191019T19Z,169,0,0,57,73,507,185
20191019T18Z,164,0,0,52,95,550,107
20191019T17Z,168,-1,0,55,89,566,125
20191019T16Z,171,0,0,56,22,536,213
20191019T15Z,179,0,0,56,5,552,254
20191019T14Z,164,0,0,55,0,555,265
20191019T13Z,161,-1,0,57,0,490,246
20191019T12Z,162,0,0,56,0,454,191
20191019T11Z,162,0,0,56,0,447,142
20191019T10Z,162,0,0,57,0,453,122
20191019T09Z,162,-1,0,55,0,453,104
20191019T08Z,162,0,0,56,0,446,72
20191019T07Z,162,0,0,54,0,470,24
20191019T06Z,162,0,0,56,0,481,37
20191019T05Z,162,0,0,53,0,541,32
20191019T04Z,162,0,0,54,0,540,40
20191019T03Z,180,0,0,53,0,626,48
20191019T02Z,269,0,0,51,0,632,99
20191019T01Z,275,0,0,45,11,616,215
20191019T00Z,276,0,0,45,138,525,346
20191018T23Z,274,0,0,42,186,508,412
20191018T22Z,274,0,0,36,156,492,434
20191018T21Z,272,0,0,40,184,489,443
20191018T20Z,271,0,0,42,195,492,398
20191018T19Z,262,0,0,42,189,502,399
20191018T18Z,205,0,0,44,163,520,232
20191018T17Z,196,0,0,50,117,527,132
20191018T16Z,228,-1,0,54,67,553,103
20191018T15Z,275,0,0,55,13,695,108
20191018T14Z,164,0,0,58,0,704,122
20191018T13Z,162,0,0,56,0,482,154
20191018T12Z,163,0,0,56,0,480,152
20191018T11Z,162,0,0,56,0,463,137
20191018T10Z,182,0,0,58,0,450,164
20191018T09Z,230,0,0,56,0,481,165
20191018T08Z,238,0,0,54,0,502,191
20191018T07Z,237,0,0,53,0,573,284
20191018T06Z,313,-1,0,57,0,614,238
20191018T05Z,237,0,0,54,0,563,332
20191018T04Z,239,0,0,54,0,586,359
20191018T03Z,263,0,0,54,0,586,359
20191018T02Z,293,0,0,52,0,574,462
20191018T01Z,231,0,0,51,26,596,481
20191018T00Z,192,-1,0,53,95,519,494
20191017T23Z,203,0,0,53,97,511,514
20191017T22Z,235,0,0,54,128,515,533
20191017T21Z,250,-1,0,55,137,486,523
20191017T20Z,250,0,0,54,110,483,485
20191017T19Z,250,0,0,55,117,490,463
20191017T18Z,249,-1,0,56,71,491,462
20191017T17Z,241,0,0,57,49,500,459
20191017T16Z,246,0,0,57,27,567,455
20191017T15Z,229,-1,0,53,3,554,285
20191017T14Z,225,0,0,52,0,558,209
20191017T13Z,239,0,0,58,0,483,264
20191017T12Z,240,-1,0,57,0,480,241
20191017T11Z,238,0,0,61,0,457,282
20191017T10Z,237,0,0,49,0,460,266
20191017T09Z,237,-1,0,50,0,488,274
20191017T08Z,238,0,0,49,0,502,230
20191017T07Z,237,0,0,48,0,528,153
20191017T06Z,240,-1,0,46,0,555,168
20191017T05Z,236,0,0,49,0,558,188
20191017T04Z,233,0,0,53,0,562,182
20191017T03Z,340,0,0,46,0,572,174
20191017T02Z,281,0,0,46,1,631,185
20191017T01Z,211,0,0,41,12,727,207
