,coal,natural gas,petroleum,other,solar,hydro
20191211T10-05,525,816,0,72,1,3
20191211T09-05,450,820,0,73,1,3
20191211T08-05,475,831,0,73,0,3
20191211T07-05,716,842,0,75,0,2
20191211T06-05,647,814,0,76,0,4
20191211T05-05,489,830,0,75,0,3
20191211T04-05,454,807,0,75,0,3
20191211T03-05,460,814,-1,76,0,3
20191211T02-05,454,811,0,72,0,3
20191211T01-05,493,826,0,71,0,3
20191211T00-05,503,838,0,74,0,4
20191210T23-05,529,837,0,72,0,76
20191210T22-05,590,833,0,71,0,154
20191210T21-05,678,833,0,73,0,156
20191210T20-05,745,831,0,72,0,156
20191210T19-05,792,830,0,70,0,159
20191210T18-05,689,827,0,71,0,158
20191210T17-05,582,823,0,67,1,114
20191210T16-05,606,801,0,65,1,86
20191210T15-05,632,651,0,65,3,86
20191210T14-05,634,633,0,80,4,70
20191210T13-05,646,606,0,44,3,4
20191210T12-05,716,603,0,60,3,3
20191210T11-05,758,619,0,61,2,3
20191210T10-05,759,628,-1,61,1,3
20191210T09-05,768,640,0,61,1,2
20191210T08-05,845,655,0,67,0,2
20191210T07-05,758,716,0,69,0,2
20191210T06-05,504,826,0,74,0,2
20191210T05-05,450,827,0,74,0,1
20191210T04-05,453,833,0,73,0,2
20191210T03-05,455,829,0,75,0,2
20191210T02-05,451,825,0,75,0,2
20191210T01-05,452,844,0,72,0,2
20191210T00-05,510,813,0,75,0,2
20191209T23-05,675,842,0,76,0,2
20191209T22-05,754,842,0,72,0,12
20191209T21-05,740,835,0,76,0,152
20191209T20-05,684,833,0,75,0,155
20191209T19-05,818,822,0,74,0,147
20191209T18-05,723,837,0,74,0,76
20191209T17-05,612,835,0,77,0,2
20191209T16-05,617,834,0,70,1,2
20191209T15-05,651,791,0,73,2,3
20191209T14-05,764,804,-1,75,3,2
20191209T13-05,850,792,0,72,2,2
20191209T12-05,876,814,0,75,1,44
20191209T11-05,844,853,0,76,1,117
20191209T10-05,828,851,0,75,1,152
20191209T09-05,859,801,0,75,1,153
20191209T08-05,888,854,0,73,0,153
20191209T07-05,790,852,0,73,0,143
20191209T06-05,700,853,0,75,0,26
