,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191109T05-07,2900,3409,5311,0,28,0,280,135
20191109T04-07,2903,3325,5316,0,24,-2,282,147
20191109T03-07,3014,3438,5302,0,33,-2,248,141
20191109T02-07,3044,3767,5299,0,35,1,189,158
20191109T01-07,3054,3873,5295,0,35,1,253,168
20191109T00-07,3083,4609,5294,0,30,8,411,216
20191108T23-07,3095,4993,5292,0,35,9,574,210
20191108T22-07,3023,5322,5286,0,33,8,859,206
20191108T21-07,3063,5392,5278,0,47,11,991,213
20191108T20-07,3076,5592,5280,0,45,23,1002,202
20191108T19-07,3145,5907,5275,0,36,29,912,260
20191108T18-07,3083,6006,5276,0,34,47,882,224
20191108T17-07,2960,5430,5284,0,36,462,519,168
20191108T16-07,2888,4986,5284,0,35,1062,370,174
20191108T15-07,2821,4880,5284,0,34,1241,248,236
20191108T14-07,2811,4323,5276,0,37,1295,222,274
20191108T13-07,2836,4279,5280,0,33,1316,199,263
20191108T12-07,2878,4079,5288,0,32,1243,192,289
20191108T11-07,2841,3970,5303,0,23,1184,170,304
20191108T10-07,2993,4253,5316,0,23,996,204,284
20191108T09-07,3118,4313,5326,0,35,743,406,320
20191108T08-07,3187,4620,5323,0,44,208,553,314
20191108T07-07,3089,4343,5325,0,43,8,538,319
20191108T06-07,2909,3684,5321,0,33,-1,181,337
20191108T05-07,2864,3396,5322,0,25,-3,154,335
20191108T04-07,2903,3278,5318,0,25,-2,160,282
20191108T03-07,3024,3293,5324,0,31,-1,174,203
20191108T02-07,2989,3574,5322,0,34,-2,218,171
20191108T01-07,2965,4036,5317,0,32,-2,333,109
20191108T00-07,2957,4427,5314,0,29,-1,366,73
20191107T23-07,2973,5209,5309,0,32,-2,470,45
20191107T22-07,2951,5687,5303,0,32,-2,797,39
20191107T21-07,2946,6109,5302,0,42,1,939,42
20191107T20-07,2944,6203,5305,0,42,9,1004,41
20191107T19-07,2922,6404,5304,0,32,8,983,39
20191107T18-07,2872,6247,5299,0,31,16,907,44
20191107T17-07,2809,5606,5299,0,31,326,571,35
20191107T16-07,2691,5284,5295,0,33,860,266,19
20191107T15-07,2624,5004,5295,0,31,1036,234,62
20191107T14-07,2543,4424,5290,0,33,1076,212,88
20191107T13-07,2582,4302,5287,0,32,1090,189,128
20191107T12-07,2662,3999,5286,0,32,1086,152,235
20191107T11-07,2700,4103,5303,0,23,1070,188,330
20191107T10-07,2760,4001,5301,0,24,1023,182,348
20191107T09-07,2757,4544,5321,0,36,690,242,347
20191107T08-07,2788,4948,5311,0,45,157,599,344
20191107T07-07,2705,4526,5318,0,48,11,466,390
20191107T06-07,2671,3886,5314,0,38,-2,180,471
20191107T05-07,2654,3607,5309,0,32,-2,140,474
20191107T04-07,2654,3361,5314,0,26,-1,143,469
20191107T03-07,2708,3374,5310,0,37,-3,150,474
20191107T02-07,2618,3462,5307,0,38,-1,179,471
20191107T01-07,2636,3800,5310,0,38,-2,297,334
20191107T00-07,2743,4256,5302,0,30,-1,334,293
20191106T23-07,2723,5075,5302,0,36,-2,378,143
20191106T22-07,2668,5859,5294,0,36,-5,816,154
20191106T21-07,2728,6158,5292,0,32,3,966,181
