,coal,natural gas,solar,hydro,wind
20191114T00-07,2318,133,0,560,106
20191113T23-07,2340,136,0,645,92
20191113T22-07,2364,137,0,776,86
20191113T21-07,2485,136,0,839,91
20191113T20-07,2457,134,0,874,115
20191113T19-07,2428,125,0,878,177
20191113T18-07,2379,124,0,886,328
20191113T17-07,2185,107,6,839,423
20191113T16-07,2105,111,42,642,523
20191113T15-07,2157,114,59,590,609
20191113T14-07,2157,107,52,551,660
20191113T13-07,2157,107,51,570,671
20191113T12-07,2181,105,54,655,663
20191113T11-07,2277,108,60,676,627
20191113T10-07,2234,107,61,691,562
20191113T09-07,2228,106,43,759,501
20191113T08-07,2291,109,10,814,632
20191113T07-07,2209,106,0,814,586
20191113T06-07,2160,108,0,695,536
20191113T05-07,2032,108,0,568,446
20191113T04-07,2016,106,0,541,377
20191113T03-07,1959,106,0,536,244
20191113T02-07,2016,106,0,533,230
20191113T01-07,1966,107,0,548,283
20191113T00-07,2053,107,0,557,408
20191112T23-07,2029,108,0,579,488
20191112T22-07,2031,106,0,743,419
20191112T21-07,2071,-221,0,889,413
20191112T20-07,2120,-212,0,887,466
20191112T19-07,2096,-151,0,892,417
20191112T18-07,2008,-263,0,901,339
20191112T17-07,1920,-160,6,865,312
20191112T16-07,1845,-160,42,763,284
20191112T15-07,1807,-160,60,682,295
20191112T14-07,1802,-160,61,630,341
20191112T13-07,1806,-161,56,629,354
20191112T12-07,1825,-165,58,641,380
20191112T11-07,1855,-166,60,700,399
20191112T10-07,1903,-182,58,717,456
20191112T09-07,1900,-283,46,768,524
20191112T08-07,1887,-276,11,809,561
20191112T07-07,1948,-278,0,831,590
20191112T06-07,1912,-219,0,721,590
20191112T05-07,1809,-258,0,618,572
20191112T04-07,1806,-248,0,514,496
20191112T03-07,1808,-222,0,506,431
20191112T02-07,1825,-284,0,511,383
20191112T01-07,1889,-282,0,511,277
20191112T00-07,1882,-285,0,569,231
20191111T23-07,1905,-287,0,638,217
20191111T22-07,2058,-286,0,702,197
20191111T21-07,2106,-285,0,902,168
20191111T20-07,2114,-287,0,969,127
20191111T19-07,2169,-284,0,978,101
20191111T18-07,2173,-283,0,972,86
20191111T17-07,2090,-285,6,894,68
20191111T16-07,2085,-285,37,767,74
20191111T15-07,2083,-285,54,686,76
20191111T14-07,2102,-283,55,648,88
20191111T13-07,2137,-281,53,647,98
20191111T12-07,2174,-279,52,679,101
20191111T11-07,2169,-281,52,672,93
20191111T10-07,2165,-279,49,744,91
20191111T09-07,2134,-279,35,764,84
20191111T08-07,2121,-279,6,769,87
20191111T07-07,2105,-280,0,793,106
20191111T06-07,2017,-285,0,749,106
20191111T05-07,1914,-286,0,627,110
20191111T04-07,1870,-284,0,605,103
20191111T03-07,1838,-284,0,562,100
20191111T02-07,1773,-286,0,511,97
20191111T01-07,1760,-285,0,547,110
20191111T00-07,1757,-276,0,594,218
20191110T23-07,1812,-274,0,625,456
20191110T22-07,1815,-273,0,793,472
20191110T21-07,1771,-272,0,851,369
20191110T20-07,1760,-272,0,901,414
20191110T19-07,1773,-272,0,924,494
20191110T18-07,1790,-267,0,856,549
20191110T17-07,1752,-268,4,745,432
20191110T16-07,1762,-271,19,652,219
20191110T15-07,1765,-268,34,620,158
20191110T14-07,1785,-268,48,616,141
20191110T13-07,1790,-270,46,601,106
20191110T12-07,1785,-275,49,563,85
20191110T11-07,1770,-278,53,578,80
20191110T10-07,1737,-257,48,588,76
20191110T09-07,1738,-285,28,563,101
20191110T08-07,1662,-286,10,609,235
20191110T07-07,1674,-299,0,636,248
20191110T06-07,1639,-305,0,638,189
20191110T05-07,1604,-301,0,567,163
20191110T04-07,1658,-295,0,511,149
20191110T03-07,1672,-291,0,511,117
20191110T02-07,1694,-289,0,516,97
20191110T01-07,1724,-291,0,563,112
20191110T00-07,1866,-288,0,599,90
20191109T23-07,1863,-287,0,633,95
20191109T22-07,1876,-284,0,733,131
20191109T21-07,1954,-263,0,825,179
20191109T20-07,2050,128,0,938,203
20191109T19-07,2228,129,0,917,183
20191109T18-07,2333,127,0,938,121
20191109T17-07,2228,63,5,881,243
20191109T16-07,2207,62,37,745,331
20191109T15-07,2140,63,57,665,345
20191109T14-07,2107,62,58,619,365
20191109T13-07,2193,63,57,602,358
20191109T12-07,2166,61,57,597,314
20191109T11-07,2144,63,57,591,283
20191109T10-07,2138,63,56,637,277
20191109T09-07,2131,63,45,644,336
20191109T08-07,2170,63,14,686,441
20191109T07-07,2249,62,0,731,408
20191109T06-07,2204,63,0,652,335
20191109T05-07,2152,63,0,588,365
20191109T04-07,2090,61,0,553,380
20191109T03-07,2101,62,0,511,341
20191109T02-07,2063,63,0,490,282
20191109T01-07,2072,63,0,488,269
20191109T00-07,2190,64,0,578,302
20191108T23-07,2213,63,0,564,284
20191108T22-07,2273,61,0,711,228
20191108T21-07,2230,63,0,859,233
20191108T20-07,2289,62,0,915,248
20191108T19-07,2346,62,0,915,216
20191108T18-07,2339,63,0,913,225
20191108T17-07,2241,63,7,910,249
20191108T16-07,2196,62,39,781,332
20191108T15-07,2194,63,57,695,331
20191108T14-07,2184,63,59,676,345
20191108T13-07,2190,64,58,690,317
20191108T12-07,2212,63,58,695,353
20191108T11-07,2256,66,58,697,375
20191108T10-07,2275,63,57,728,328
20191108T09-07,2356,63,46,754,361
20191108T08-07,2378,65,15,813,452
20191108T07-07,2351,66,0,869,462
20191108T06-07,2194,64,0,796,450
20191108T05-07,2154,66,0,600,493
20191108T04-07,2170,65,0,521,402
20191108T03-07,2287,65,0,509,368
20191108T02-07,2329,66,0,516,416
20191108T01-07,2393,66,0,494,439
20191108T00-07,2524,64,0,581,460
20191107T23-07,2632,65,0,631,535
20191107T22-07,2844,65,0,789,520
20191107T21-07,2856,64,0,863,504
20191107T20-07,2835,107,0,876,405
20191107T19-07,2920,132,0,888,273
20191107T18-07,2926,131,0,929,203
20191107T17-07,2865,118,9,881,87
20191107T16-07,2778,108,45,786,82
20191107T15-07,2705,104,63,691,91
20191107T14-07,2691,107,60,652,84
20191107T13-07,2751,111,54,655,91
20191107T12-07,2830,124,50,673,103
20191107T11-07,2890,122,50,698,86
20191107T10-07,2918,125,50,724,76
20191107T09-07,3024,135,36,780,76
20191107T08-07,3013,130,10,864,80
20191107T07-07,3033,128,0,860,70
20191107T06-07,2947,110,0,702,55
20191107T05-07,2787,109,0,553,48
20191107T04-07,2684,112,0,520,47
20191107T03-07,2673,110,0,510,47
20191107T02-07,2746,109,0,489,47
20191107T01-07,2921,111,0,497,49
20191107T00-07,2992,111,0,594,49
20191106T23-07,3021,109,0,648,50
20191106T22-07,3041,133,0,762,56
20191106T21-07,3025,133,0,889,64
20191106T20-07,2989,134,0,893,85
20191106T19-07,3003,133,0,898,105
20191106T18-07,2986,64,0,907,127
20191106T17-07,2859,62,3,843,174
20191106T16-07,2624,62,22,815,422
20191106T15-07,2560,66,33,737,554
20191106T14-07,2617,67,39,684,537
20191106T13-07,2649,66,35,636,434
20191106T12-07,2657,66,51,681,399
20191106T11-07,2746,61,45,669,386
20191106T10-07,2783,128,51,718,311
20191106T09-07,2806,130,46,773,252
20191106T08-07,2804,131,17,835,278
20191106T07-07,2934,126,0,849,210
20191106T06-07,2942,66,0,747,105
20191106T05-07,2740,65,0,553,122
20191106T04-07,2721,61,0,508,158
20191106T03-07,2669,63,0,524,233
20191106T02-07,2678,62,0,502,289
20191106T01-07,2749,64,0,468,323
20191106T00-07,2806,65,0,564,293
20191105T23-07,2828,64,0,619,302
20191105T22-07,2850,65,0,693,315
20191105T21-07,2880,64,0,809,304
20191105T20-07,2867,63,0,870,286
20191105T19-07,2885,65,0,917,230
20191105T18-07,2887,64,0,950,142
20191105T17-07,2769,62,10,879,131
20191105T16-07,2731,63,44,738,117
20191105T15-07,2572,61,58,708,130
20191105T14-07,2537,61,58,623,140
20191105T13-07,2555,61,58,566,174
20191105T12-07,2562,60,57,601,224
20191105T11-07,2584,62,56,686,140
20191105T10-07,2628,61,56,723,101
20191105T09-07,2602,62,40,780,134
20191105T08-07,2742,62,14,865,129
20191105T07-07,2835,62,0,841,135
20191105T06-07,2751,63,0,759,245
20191105T05-07,2594,62,0,574,305
20191105T04-07,2578,64,0,544,308
20191105T03-07,2582,65,0,526,301
20191105T02-07,2527,65,0,563,297
20191105T01-07,2577,65,0,598,422
20191105T00-07,2593,61,0,632,513
20191104T23-07,2640,128,0,670,453
20191104T22-07,2729,130,0,752,369
20191104T21-07,2843,129,0,836,240
20191104T20-07,2885,130,0,888,157
20191104T19-07,2993,131,0,874,128
20191104T18-07,2918,132,0,902,138
20191104T17-07,2899,131,10,884,143
20191104T16-07,2698,130,48,828,110
20191104T15-07,2675,106,62,781,66
20191104T14-07,2742,131,59,703,56
20191104T13-07,2759,131,56,680,74
20191104T12-07,2830,130,54,699,84
20191104T11-07,2909,130,55,666,118
20191104T10-07,2915,130,56,732,118
20191104T09-07,2919,131,49,744,135
20191104T08-07,2933,130,16,766,154
20191104T07-07,2971,131,0,741,145
20191104T06-07,2891,111,0,680,129
20191104T05-07,2689,108,0,530,172
20191104T04-07,2607,107,0,502,227
20191104T03-07,2560,106,0,502,280
20191104T02-07,2576,107,0,502,281
20191104T01-07,2617,108,0,501,217
20191104T00-07,2685,130,0,537,159
20191103T23-07,2726,132,0,643,157
20191103T22-07,2812,132,0,685,190
20191103T21-07,2778,135,0,854,186
20191103T20-07,2820,136,0,787,179
20191103T19-07,2810,136,0,822,149
20191103T18-07,2736,137,0,794,148
20191103T17-07,2671,133,9,735,185
20191103T16-07,2527,107,41,660,265
20191103T15-07,2418,107,60,599,363
20191103T14-07,2464,105,58,567,418
20191103T13-07,2498,109,60,554,394
20191103T12-07,2506,130,60,582,286
20191103T11-07,2586,129,62,585,286
20191103T10-07,2614,133,67,634,221
20191103T09-07,2537,132,54,618,216
20191103T08-07,2539,131,20,674,340
20191103T07-07,2589,128,0,640,328
20191103T06-07,2684,107,0,573,329
20191103T05-07,2677,59,0,519,303
20191103T04-07,2636,59,0,520,236
20191103T03-07,2599,59,0,499,178
20191103T02-07,2601,58,0,501,145
20191103T01-07,2604,59,0,519,104
20191103T00-07,2565,59,0,509,89
20191102T23-07,2618,61,0,673,85
20191102T22-07,2699,63,0,739,93
20191102T21-07,2796,62,0,839,77
20191102T20-07,2776,61,0,872,80
20191102T19-07,2874,63,0,846,97
20191102T18-07,2878,67,0,844,120
20191102T17-07,2694,63,12,794,132
20191102T16-07,2597,62,46,772,147
20191102T15-07,2460,62,65,708,231
20191102T14-07,2498,61,64,632,270
20191102T13-07,2542,63,60,600,283
20191102T12-07,2560,62,61,602,269
20191102T11-07,2532,61,64,620,282
20191102T10-07,2567,63,69,669,296
20191102T09-07,2592,65,57,598,389
20191102T08-07,2503,133,21,576,532
20191102T07-07,2512,134,0,605,579
20191102T06-07,2532,110,0,652,587
20191102T05-07,2537,121,0,560,554
20191102T04-07,2465,119,0,560,414
20191102T03-07,2382,119,0,558,360
20191102T02-07,2441,116,0,560,352
20191102T01-07,2467,115,0,558,374
20191102T00-07,2579,107,0,554,424
20191101T23-07,2737,108,0,650,330
20191101T22-07,2728,106,0,769,266
20191101T21-07,2620,107,0,844,281
20191101T20-07,2486,107,0,884,328
20191101T19-07,2428,133,0,908,395
20191101T18-07,2467,136,0,812,469
20191101T17-07,2285,135,12,766,503
20191101T16-07,2137,133,49,764,595
20191101T15-07,2033,131,62,718,668
20191101T14-07,2114,132,60,665,645
20191101T13-07,2183,132,56,628,683
20191101T12-07,2161,130,61,696,735
20191101T11-07,2217,132,64,688,727
20191101T10-07,2321,132,64,719,722
20191101T09-07,2238,134,54,810,664
20191101T08-07,2189,131,19,785,661
20191101T07-07,2154,131,0,786,647
20191101T06-07,2311,107,0,707,682
20191101T05-07,2219,108,0,596,661
20191101T04-07,2263,108,0,502,651
20191101T03-07,2309,108,0,498,552
20191101T02-07,2384,110,0,519,360
20191101T01-07,2375,111,0,518,263
20191101T00-07,2429,120,0,508,225
20191031T23-07,2528,118,0,590,205
20191031T22-07,2527,134,0,701,199
20191031T21-07,2621,137,0,880,177
20191031T20-07,2592,136,0,916,183
20191031T19-07,2674,133,0,907,161
20191031T18-07,2647,124,0,907,204
20191031T17-07,2622,125,14,756,190
20191031T16-07,2525,123,51,743,215
20191031T15-07,2469,117,65,697,240
20191031T14-07,2566,115,66,609,264
20191031T13-07,2668,109,63,580,274
20191031T12-07,2677,103,63,609,285
20191031T11-07,2703,100,63,610,310
20191031T10-07,2742,95,63,662,356
20191031T09-07,2697,89,51,818,369
20191031T08-07,2742,85,20,865,371
20191031T07-07,2805,123,0,813,356
20191031T06-07,2801,133,0,754,313
20191031T05-07,2612,134,0,628,326
20191031T04-07,2573,132,0,496,388
20191031T03-07,2544,133,0,495,444
20191031T02-07,2580,134,0,501,511
20191031T01-07,2557,132,0,506,611
20191028T00-07,2521,130,0,565,162
20191027T23-07,2712,131,0,593,172
20191027T22-07,2764,131,0,671,171
20191027T21-07,2861,130,0,793,165
20191027T20-07,2845,134,0,857,215
20191027T19-07,2908,135,0,862,220
20191027T18-07,2807,135,0,858,202
20191027T17-07,2767,134,9,826,231
20191027T16-07,2695,135,31,782,252
20191027T15-07,2611,137,41,741,283
20191027T14-07,2668,135,41,676,268
20191027T13-07,2683,136,44,602,294
20191027T12-07,2620,137,48,616,329
20191027T11-07,2651,136,49,592,404
20191027T10-07,2656,135,48,550,433
20191027T09-07,2713,130,39,525,395
20191027T08-07,2687,67,13,578,336
20191027T07-07,2550,60,0,619,357
20191027T06-07,2444,61,0,603,415
20191027T05-07,2280,61,0,529,530
20191027T04-07,2152,60,0,521,642
20191027T03-07,2107,61,0,504,710
20191027T02-07,2131,61,0,500,736
20191027T01-07,2124,60,0,512,732
20191027T00-07,2196,64,0,564,724
20191026T23-07,2166,64,0,600,726
20191026T22-07,2249,63,0,665,714
20191026T21-07,2308,64,0,806,739
20191026T20-07,2441,64,0,840,669
20191026T19-07,2578,66,0,835,661
20191026T18-07,2533,67,0,824,547
20191026T17-07,2516,67,17,624,469
20191026T16-07,2483,66,52,650,467
20191026T15-07,2532,66,66,694,396
20191026T14-07,2637,62,65,647,303
20191026T13-07,2628,105,62,620,297
20191026T12-07,2693,107,62,631,258
20191026T11-07,2685,108,62,688,217
20191026T10-07,2643,109,57,723,196
20191026T09-07,2619,109,52,674,146
20191026T08-07,2577,111,27,729,291
20191026T07-07,2591,111,0,737,374
20191026T06-07,2462,127,0,724,393
20191026T05-07,2384,134,0,591,363
20191026T04-07,2316,134,0,511,352
20191026T03-07,2257,135,0,504,479
20191026T02-07,2246,135,0,523,579
20191026T01-07,2293,134,0,505,612
20191026T00-07,2332,138,0,529,588
20191025T23-07,2398,137,0,609,522
20191025T22-07,2467,135,0,669,501
20191025T21-07,2695,135,0,790,465
20191025T20-07,2773,135,0,835,382
20191025T19-07,2811,134,0,851,309
20191025T18-07,2842,134,0,837,217
20191025T17-07,2826,133,17,804,99
20191025T16-07,2733,135,55,793,56
20191025T15-07,2689,136,67,777,59
20191025T14-07,2766,134,65,729,76
20191025T13-07,2780,135,62,659,80
20191025T12-07,2782,132,62,671,86
20191025T11-07,2777,132,65,666,102
20191025T10-07,2788,133,70,717,141
20191025T09-07,2800,130,61,713,163
20191025T08-07,2808,131,27,807,297
20191025T07-07,3030,133,0,898,352
20191025T06-07,2779,132,0,799,334
20191025T05-07,2663,133,0,634,391
20191025T04-07,2582,132,0,533,412
20191025T03-07,2521,131,0,533,404
20191025T02-07,2558,130,0,515,446
20191025T01-07,2475,134,0,523,475
20191025T00-07,2544,134,0,549,449
20191024T23-07,2652,131,0,606,454
20191024T22-07,2664,131,0,687,349
20191024T21-07,2861,131,0,817,269
20191024T20-07,2919,130,0,880,176
20191024T19-07,2920,130,0,926,119
20191024T18-07,2913,129,0,920,83
20191024T17-07,2845,128,17,854,59
20191024T16-07,2710,129,58,824,71
20191024T15-07,2658,129,71,794,112
20191024T14-07,2731,130,69,746,162
20191024T13-07,2771,129,65,687,137
20191024T12-07,2792,129,65,644,166
20191024T11-07,2793,127,66,670,217
20191024T10-07,2804,132,70,673,262
20191024T09-07,2756,129,59,732,323
20191024T08-07,2764,132,25,794,351
20191024T07-07,2803,129,0,835,406
20191024T06-07,2809,132,0,822,497
20191024T05-07,2694,131,0,659,483
20191024T04-07,2534,128,0,541,464
20191024T03-07,2546,130,0,525,455
20191024T02-07,2537,134,0,522,385
20191024T01-07,2574,127,0,521,310
20191024T00-07,2628,65,0,576,222
20191023T23-07,2680,64,0,658,302
20191023T22-07,2643,63,0,719,400
20191023T21-07,2721,65,0,836,443
20191023T20-07,2700,65,0,909,513
20191023T19-07,2654,65,0,924,596
20191023T18-07,2646,65,0,916,625
20191023T17-07,2596,65,12,868,700
20191023T16-07,2557,64,37,847,741
20191023T15-07,2488,65,51,825,752
20191023T14-07,2562,65,58,769,703
20191023T13-07,2560,64,50,704,607
20191023T12-07,2562,62,50,720,634
20191023T11-07,2571,62,56,722,651
20191023T10-07,2592,43,54,711,613
20191023T09-07,2587,10,35,731,538
20191023T08-07,2676,9,26,801,640
20191023T07-07,2693,63,0,853,715
20191023T06-07,2636,63,0,850,626
20191023T05-07,2542,63,0,616,535
20191023T04-07,2418,62,0,518,463
20191023T03-07,2367,63,0,512,407
20191023T02-07,2332,62,0,513,449
20191023T01-07,2344,63,0,526,378
20191023T00-07,2451,63,0,569,373
20191022T23-07,2471,62,0,650,353
20191022T22-07,2486,63,0,771,349
20191022T21-07,2535,65,0,890,355
20191022T20-07,2559,64,0,946,333
20191022T19-07,2580,65,0,956,328
20191022T18-07,2639,63,0,954,343
20191022T17-07,2546,61,15,945,275
20191022T16-07,2496,63,48,910,274
20191022T15-07,2463,61,59,913,445
20191022T14-07,2483,58,64,829,347
20191022T13-07,2496,32,62,774,456
20191022T12-07,2504,16,63,754,420
20191022T11-07,2562,18,63,746,419
20191022T10-07,2613,17,64,789,457
20191022T09-07,2671,19,57,811,360
20191022T08-07,2699,13,27,853,429
20191022T07-07,2710,12,0,886,507
20191022T06-07,2730,10,0,842,487
20191022T05-07,2644,10,0,637,484
20191022T04-07,2527,9,0,527,475
20191022T03-07,2470,10,0,538,491
20191022T02-07,2384,10,0,570,571
20191022T01-07,2430,9,0,558,674
20191022T00-07,2480,10,0,637,669
20191021T23-07,2540,10,0,672,649
20191021T22-07,2638,9,0,761,463
20191021T21-07,2802,10,0,927,382
20191021T20-07,2820,14,0,989,394
20191021T19-07,2816,13,0,994,436
20191021T18-07,2656,14,0,994,580
20191021T17-07,2550,13,17,961,689
20191021T16-07,2478,9,44,889,716
20191021T15-07,2401,10,51,851,706
20191021T14-07,2391,9,52,826,685
20191021T13-07,2422,10,55,742,675
20191021T12-07,2470,10,59,746,685
20191021T11-07,2537,8,60,765,2929
20191021T10-07,2578,8,63,799,492
20191021T09-07,2619,9,54,823,495
20191021T08-07,2652,8,23,875,497
20191021T07-07,2745,9,0,903,502
20191021T06-07,2696,9,0,874,500
20191021T05-07,2457,8,0,697,499
20191021T04-07,2348,9,0,575,498
20191021T03-07,2313,9,0,551,496
20191021T02-07,2302,8,0,542,496
20191021T01-07,2285,9,0,544,493
20191021T00-07,2315,9,0,606,483
20191020T23-07,2355,8,0,644,481
20191020T22-07,2422,9,0,712,407
20191020T21-07,2600,9,0,798,325
20191020T20-07,2637,8,0,877,345
20191020T19-07,2658,9,0,890,342
20191020T18-07,2576,9,0,872,329
20191020T17-07,2415,8,16,810,360
20191020T16-07,2295,9,48,775,417
20191020T15-07,2290,9,58,690,447
20191020T14-07,2272,8,55,642,466
20191020T13-07,2262,9,55,627,418
20191020T12-07,2243,8,56,637,430
20191020T11-07,2235,9,61,623,484
20191020T10-07,2270,9,64,606,465
20191020T09-07,2281,8,58,605,411
20191020T08-07,2258,9,26,623,356
20191020T07-07,2345,9,0,636,467
20191020T06-07,2261,8,0,677,440
20191020T05-07,2242,9,0,624,467
20191020T04-07,2186,9,0,617,488
20191020T03-07,2205,8,0,610,403
20191020T02-07,2217,9,0,579,420
20191020T01-07,2207,9,0,571,457
20191020T00-07,2204,8,0,621,471
20191019T23-07,2247,9,0,668,472
20191019T22-07,2381,8,0,757,447
20191019T21-07,2622,9,0,881,390
20191019T20-07,2683,9,0,911,363
20191019T19-07,2718,8,0,926,260
20191019T18-07,2671,9,0,944,211
20191019T17-07,2504,9,15,928,169
20191019T16-07,2418,8,53,841,203
20191019T15-07,2438,9,66,839,195
20191019T14-07,2382,8,63,746,243
20191019T13-07,2342,9,62,700,236
20191019T12-07,2374,8,62,685,260
20191019T11-07,2426,9,64,678,238
20191019T10-07,2506,9,67,669,258
20191019T09-07,2586,8,60,678,181
20191019T08-07,2515,9,30,752,188
20191019T07-07,2530,9,1,767,279
20191019T06-07,2537,8,0,783,546
20191019T05-07,2428,9,0,678,579
20191019T04-07,2288,9,0,619,528
20191019T03-07,2294,8,0,604,478
20191019T02-07,2312,9,0,573,437
20191019T01-07,2403,9,0,601,299
20191019T00-07,2382,8,0,650,254
20191018T23-07,2486,9,0,750,234
20191018T22-07,2642,8,0,726,195
20191018T21-07,2673,9,0,866,211
20191018T20-07,2658,9,0,967,268
20191018T19-07,2649,8,0,969,376
20191018T18-07,2582,9,0,976,455
20191018T17-07,2412,9,19,951,478
20191018T16-07,2265,8,52,786,658
20191018T15-07,2283,9,57,749,712
20191018T14-07,2286,8,61,736,688
20191018T13-07,2248,9,58,762,737
20191018T12-07,2380,9,58,713,639
20191018T11-07,2514,8,60,710,329
20191018T10-07,2506,9,56,705,317
20191018T09-07,2574,8,43,738,320
20191018T08-07,2620,9,16,812,397
20191018T07-07,2655,8,0,882,335
20191018T06-07,2539,9,0,840,287
20191018T05-07,2338,9,0,683,395
20191018T04-07,2122,8,0,591,469
20191018T03-07,2080,9,0,589,505
20191018T02-07,2197,8,0,592,551
20191018T01-07,2192,9,0,603,545
20191018T00-07,2218,9,0,591,496
20191017T23-07,2268,8,0,713,529
20191017T22-07,2436,9,0,725,573
20191017T21-07,2604,8,0,819,555
20191017T20-07,2583,8,0,895,571
20191017T19-07,2592,7,0,973,512
20191017T18-07,2583,8,2,957,479
20191017T17-07,2545,8,13,929,499
20191017T16-07,2522,8,43,883,437
20191017T15-07,2473,9,50,865,435
20191017T14-07,2446,8,44,814,395
20191017T13-07,2398,9,52,763,393
20191017T12-07,2319,9,57,761,419
20191017T11-07,2289,8,54,713,399
20191017T10-07,2202,9,54,727,366
20191017T09-07,2169,8,46,749,241
20191017T08-07,2189,9,13,809,231
20191017T07-07,2206,8,0,870,224
20191017T06-07,2045,9,0,878,207
20191017T05-07,1893,9,0,690,248
20191017T04-07,1794,8,0,621,317
20191017T03-07,1775,9,0,575,401
20191017T02-07,1731,9,0,585,469
20191017T01-07,1747,8,0,599,479
20191017T00-07,1842,9,0,606,459
20191016T23-07,1940,8,0,714,410
20191016T22-07,2054,9,0,749,415
20191016T21-07,2204,8,0,907,376
20191016T20-07,2381,9,0,952,371
20191016T19-07,2428,8,0,997,301
20191016T18-07,2432,9,1,1000,169
20191016T17-07,20,0,0,230,0
20191016T16-07,2390,11,51,869,94
20191016T15-07,2345,13,61,850,112
20191016T14-07,2323,11,57,747,145
20191016T13-07,2314,12,58,731,155
20191016T12-07,2317,12,55,720,155
20191016T11-07,2340,11,57,708,135
20191016T10-07,2351,12,55,708,173
20191016T09-07,2365,12,46,721,221
20191016T08-07,2310,13,20,802,291
20191016T07-07,2325,9,1,935,401
20191016T06-07,2310,8,0,924,502
20191016T05-07,2173,9,0,707,621
20191016T04-07,2055,9,0,619,659
20191016T03-07,2036,8,0,603,620
20191016T02-07,2109,9,0,604,495
20191016T01-07,2216,9,0,608,395
20191016T00-07,2253,8,0,633,335
20191015T23-07,2254,10,0,736,284
20191015T22-07,2366,71,0,743,253
20191015T21-07,2526,73,0,885,189
20191015T20-07,2538,79,0,946,189
20191015T19-07,2573,98,0,972,239
20191015T18-07,2526,73,2,967,199
20191015T17-07,2426,73,19,921,159
20191015T16-07,2289,10,52,862,185
20191015T15-07,2249,11,62,862,230
20191015T14-07,2309,21,60,827,255
20191015T13-07,2231,8,60,752,268
20191015T12-07,2229,9,60,749,301
20191015T11-07,2252,8,64,723,330
20191015T10-07,2342,8,67,720,321
20191015T09-07,2404,9,60,744,335
20191015T08-07,2431,8,33,830,394
20191015T07-07,2412,9,1,874,548
20191015T06-07,2296,9,0,918,597
20191015T05-07,2110,8,0,735,582
20191015T04-07,2050,9,0,644,631
20191015T03-07,2001,9,0,635,644
20191015T02-07,2034,8,0,629,494
20191015T01-07,2191,9,0,623,461
20191015T00-07,2318,9,0,628,373
20191014T23-07,2519,8,0,711,362
20191014T22-07,2586,10,0,780,408
20191014T21-07,2667,73,0,876,268
20191014T20-07,2775,76,0,932,251
20191014T19-07,2951,76,0,950,165
20191014T18-07,2915,73,2,932,141
20191014T17-07,2743,73,21,911,188
20191014T16-07,2523,71,54,888,295
20191014T15-07,2446,73,66,864,334
20191014T14-07,2431,73,66,815,343
20191014T13-07,2440,72,64,771,351
20191014T12-07,2512,73,63,792,379
20191014T11-07,2559,73,65,785,378
20191014T10-07,2655,74,67,781,292
20191014T09-07,2659,75,60,789,215
20191014T08-07,2697,76,34,866,352
20191014T07-07,2782,79,1,883,472
20191014T06-07,2644,78,0,900,509
20191014T05-07,2396,79,0,697,654
20191014T04-07,2196,79,0,603,638
20191014T03-07,2153,54,0,588,527
20191014T02-07,2132,54,0,565,463
20191014T01-07,2162,54,0,558,432
20191014T00-07,2223,77,0,573,468
20191013T23-07,2237,79,0,661,524
20191013T22-07,2345,78,0,676,575
20191013T21-07,2485,78,0,795,566
20191013T20-07,2595,79,0,835,543
20191013T19-07,2609,77,0,835,483
20191013T18-07,2595,77,2,889,384
20191013T17-07,2595,75,24,867,204
20191013T16-07,2574,74,59,836,136
20191013T15-07,2569,75,68,775,97
20191013T14-07,2616,74,68,701,81
20191013T13-07,2620,75,65,687,64
20191013T12-07,2622,75,64,676,60
20191013T11-07,2618,75,66,641,56
20191013T10-07,2595,76,69,633,54
20191013T09-07,2621,76,63,638,72
20191013T08-07,2606,78,34,654,125
20191013T07-07,2592,78,2,691,119
20191013T06-07,2548,79,0,743,143
20191013T05-07,2507,79,0,678,115
20191013T04-07,2494,78,0,663,100
20191013T03-07,2500,78,0,606,118
20191013T02-07,2487,78,0,593,152
20191013T01-07,2460,78,0,615,178
20191013T00-07,2476,79,0,594,190
20191012T23-07,2445,78,0,726,179
20191012T22-07,2508,77,0,747,242
20191012T21-07,2626,78,0,885,251
20191012T20-07,2675,79,0,942,187
20191012T19-07,2657,77,0,943,173
20191012T18-07,2561,77,2,935,119
20191012T17-07,2469,75,26,927,111
20191012T16-07,2381,76,60,869,178
20191012T15-07,2376,75,69,810,192
20191012T14-07,2433,76,68,739,180
20191012T13-07,2409,76,67,707,128
20191012T12-07,2453,76,66,718,152
20191012T11-07,2505,77,69,742,173
20191012T10-07,2565,77,67,735,155
20191012T09-07,2592,79,63,737,94
20191012T08-07,2567,79,35,825,110
20191012T07-07,2566,78,4,826,135
20191012T06-07,2635,79,0,828,170
20191012T05-07,2482,78,0,671,221
20191012T04-07,2353,79,0,574,356
20191012T03-07,2243,79,0,566,506
20191012T02-07,2292,78,0,563,570
20191012T01-07,2391,78,0,559,662
20191012T00-07,2429,78,0,608,614
20191011T23-07,2528,77,0,668,428
20191011T22-07,2534,79,0,798,391
20191011T21-07,2616,79,0,913,388
20191011T20-07,2680,78,0,975,295
20191011T19-07,2583,79,0,976,318
20191011T18-07,2400,78,2,973,298
20191011T17-07,2342,79,28,940,402
20191011T16-07,2216,79,63,889,479
20191011T15-07,2186,78,69,879,482
20191011T14-07,2169,79,69,770,499
