,coal,natural gas,nuclear,other,solar,hydro,wind
20191108T23-06,10148,19197,5097,15,0,7,4327
20191108T22-06,10189,20684,5102,16,0,7,3998
20191108T21-06,10183,22134,5103,17,0,6,3501
20191108T20-06,10117,22520,5106,16,0,6,3140
20191108T19-06,10075,23134,5106,14,0,6,2749
20191108T18-06,10264,22384,5106,24,39,6,2281
20191108T17-06,10416,21078,5107,25,246,6,2365
20191108T16-06,10640,20070,5107,26,472,6,2631
20191108T15-06,10687,19925,5106,15,624,6,3061
20191108T14-06,10635,20445,5105,15,674,6,3193
20191108T13-06,10535,20982,5105,13,653,14,3316
20191108T12-06,10433,22331,5105,13,541,44,3024
20191108T11-06,10432,23680,5104,14,373,71,2644
20191108T10-06,10516,24059,5104,15,190,100,2694
20191108T09-06,10319,23975,5104,21,78,66,3135
20191108T08-06,10239,23407,5104,14,7,66,3499
20191108T07-06,9950,22006,5103,15,0,64,3985
20191108T06-06,9570,18428,5104,16,0,3,4404
20191108T05-06,9189,16182,5104,14,0,0,4525
20191108T04-06,9121,15167,5104,14,0,0,4807
20191108T03-06,8997,14674,5104,16,0,0,5258
20191108T02-06,9083,14558,5103,16,0,7,5615
20191108T01-06,9303,14442,5102,20,0,22,6455
20191108T00-06,9849,14982,5102,15,0,8,7078
20191107T23-06,10024,16183,5100,17,0,8,7778
20191107T22-06,10065,17685,5100,14,0,7,8563
20191107T21-06,10201,18433,5100,18,0,10,9205
20191107T20-06,10149,18794,5099,20,0,47,9529
20191107T19-06,10178,19269,5099,24,0,47,9513
20191107T18-06,10048,17839,5100,26,5,47,10168
20191107T17-06,9977,15991,5100,23,45,9,10956
20191107T16-06,10027,15127,5090,15,89,8,11281
20191107T15-06,10110,14282,5071,14,136,7,12045
20191107T14-06,9896,13687,5056,13,193,32,12744
20191107T13-06,9345,13495,5058,14,199,56,13320
20191107T12-06,9056,13063,5058,16,175,76,13820
20191107T11-06,8462,12764,5050,15,120,27,14143
20191107T10-06,7656,12421,5029,15,51,27,14338
20191107T09-06,7431,11535,5007,21,14,27,14235
20191107T08-06,7173,11136,4983,17,2,27,14114
20191107T07-06,6315,11254,4960,19,0,24,13451
20191107T06-06,5490,9406,4959,19,0,0,12734
20191107T05-06,6087,9477,4952,14,0,0,10012
20191107T04-06,6873,9748,4925,13,0,0,8366
20191107T03-06,7893,10219,4893,9,0,0,7055
20191107T02-06,8031,10555,4858,9,0,3,7137
20191107T01-06,8658,10694,4828,9,0,25,7492
20191107T00-06,9469,12031,4803,11,0,7,7432
20191106T23-06,10192,14194,4771,10,0,7,7294
20191106T22-06,10488,16384,4768,7,0,7,7265
20191106T21-06,10787,18327,4768,19,0,7,6579
20191106T20-06,10978,19022,4768,22,0,9,7076
20191106T19-06,10969,18876,4768,24,0,81,8509
20191106T18-06,10912,18146,4767,25,81,47,8349
20191106T17-06,10894,18107,4765,17,320,47,8228
20191106T16-06,11018,17869,4759,13,475,9,8634
20191106T15-06,10819,17738,4762,14,558,7,8807
20191106T14-06,10381,17870,4764,9,664,7,8925
20191106T13-06,9522,17252,4764,12,696,9,9734
20191106T12-06,9041,16838,4764,7,589,55,9914
20191106T11-06,8583,16699,4760,6,559,68,9447
20191106T10-06,9343,16686,4758,9,377,31,7776
20191106T09-06,9578,16839,4749,6,215,30,6272
20191106T08-06,9231,16578,4720,11,25,30,6395
20191106T07-06,8488,15726,4687,8,0,25,6965
20191106T06-06,6480,13323,4662,10,0,4,8206
20191106T05-06,5560,11792,4623,9,0,3,8789
20191106T04-06,5289,10798,4583,10,0,4,9500
20191106T03-06,5322,10817,4536,13,0,4,9685
20191106T02-06,5678,11709,4487,11,0,30,8996
20191106T01-06,6561,12423,4441,11,0,4,8657
20191106T00-06,8395,13017,4387,12,0,4,8009
20191105T23-06,10386,14628,4324,10,0,4,6941
20191105T22-06,11046,17328,4286,14,0,4,6122
20191105T21-06,11101,19342,4242,15,0,31,5625
20191105T20-06,11123,20822,4209,16,0,33,5480
20191105T19-06,11075,22234,4207,10,0,71,4671
20191105T18-06,11117,22930,4208,13,151,71,3304
20191105T17-06,11076,22613,4206,13,926,70,2408
20191105T16-06,11017,22636,4215,11,1407,68,1930
20191105T15-06,10943,23034,4223,13,1385,5,1602
20191105T14-06,10984,22799,4154,10,1414,3,1365
20191105T13-06,10895,22449,4138,11,1386,3,1159
20191105T12-06,10895,21921,4054,17,1392,38,1261
20191105T11-06,10947,21065,3994,19,1419,3,1633
20191105T10-06,11068,19803,3975,16,1392,3,2337
20191105T09-06,10661,18320,3854,14,928,3,3629
20191105T08-06,10212,16803,3838,11,118,3,5763
20191105T07-06,9140,15919,3831,15,0,3,6629
20191105T06-06,7672,13512,3766,14,0,3,7300
20191105T05-06,7062,11267,3766,11,0,3,7989
20191105T04-06,6812,10441,3767,15,0,3,8451
20191105T03-06,6899,10465,3771,11,0,3,8374
20191105T02-06,6789,10732,3771,12,0,3,8736
20191105T01-06,6458,10877,3771,13,0,4,9962
20191105T00-06,5942,11666,3771,11,0,5,11549
20191104T23-06,6470,12531,3771,12,0,5,12705
20191104T22-06,7430,14062,3771,10,0,5,12706
20191104T21-06,8790,14961,3771,15,0,31,12244
20191104T20-06,9421,16841,3772,22,0,33,10693
20191104T19-06,10199,19347,3772,22,0,70,7433
20191104T18-06,10904,20872,3772,20,155,70,4134
20191104T17-06,10926,20521,3772,19,954,32,3304
20191104T16-06,10928,19855,3772,17,1324,31,3108
20191104T15-06,10947,19668,3772,16,1454,5,2987
20191104T14-06,10986,19409,3772,20,1497,5,2791
20191104T13-06,10972,19104,3772,15,1488,39,2832
20191104T12-06,10960,18775,3773,16,1511,40,3110
20191104T11-06,10777,17956,3772,16,1586,5,3807
20191104T10-06,10343,17373,3772,18,1383,5,4783
20191104T09-06,9205,16756,3771,15,834,5,7094
20191104T08-06,7721,15875,3771,14,143,5,10405
20191104T07-06,6742,14405,3770,16,0,5,12146
20191104T06-06,5750,11147,3765,18,0,5,12973
20191104T05-06,5429,8508,3763,15,0,5,13489
20191104T04-06,5095,7455,3763,15,0,5,13877
20191104T03-06,4970,7264,3763,14,0,5,13877
20191104T02-06,4972,7153,3763,12,0,5,14193
20191104T01-06,5101,7242,3763,13,0,5,14507
20191104T00-06,5868,7569,3763,15,0,5,14681
20191103T23-06,6019,8614,3764,14,0,5,15305
20191103T22-06,6007,10416,3763,12,0,6,15468
20191103T21-06,6123,11759,3764,12,0,34,15221
20191103T20-06,6658,13117,3764,13,0,72,14007
20191103T19-06,8106,14176,3766,17,0,71,11596
20191103T18-06,8752,14264,3766,26,98,31,9178
20191103T17-06,6675,14028,3766,17,659,31,9607
20191103T16-06,6189,13517,3765,13,1196,30,9711
20191103T15-06,6111,13162,3766,16,1473,5,9780
20191103T14-06,5998,12702,3765,19,1515,5,10461
20191103T13-06,6014,12412,3766,13,1480,5,11123
20191103T12-06,6212,12079,3764,13,1432,39,11922
20191103T11-06,6432,11909,3764,15,1400,5,12906
20191103T10-06,7180,12582,3765,11,1318,5,12909
20191103T09-06,7402,13249,3765,16,781,5,13392
20191103T08-06,6886,12864,3765,12,87,4,14813
20191103T07-06,6692,12259,3765,14,0,4,14398
20191103T06-06,6520,11277,3765,15,0,4,13816
20191103T05-06,6626,10311,3765,16,0,4,13499
20191103T04-06,6522,9958,3765,14,0,4,13212
20191103T03-06,6487,9918,3765,14,0,4,12929
20191103T02-06,6582,9902,3765,15,0,4,12655
20191103T01-06,6893,10286,3765,12,0,4,11994
20191103T01-05,7557,11229,3765,15,0,4,10669
20191103T00-05,8428,13109,3766,18,0,4,8521
20191102T23-05,9157,15096,3765,17,0,5,6760
20191102T22-05,9437,16472,3765,14,0,9,5856
20191102T21-05,9819,17246,3765,15,0,31,4996
20191102T20-05,10593,17723,3765,14,0,31,3820
20191102T19-05,10308,17683,3765,13,215,31,2792
20191102T18-05,9243,17224,3766,22,1171,31,2811
20191102T17-05,8952,17085,3765,25,1582,31,2645
20191102T16-05,9102,17126,3765,28,1633,27,2531
20191102T15-05,9592,17118,3765,14,1631,4,2346
20191102T14-05,9837,17788,3765,17,1627,4,2252
20191102T13-05,9848,18375,3765,15,1648,4,2627
20191102T12-05,9731,18573,3765,16,1675,46,3939
20191102T11-05,10276,19263,3765,15,1654,41,4058
20191102T10-05,10919,20167,3765,15,1173,78,4182
20191102T09-05,10666,19513,3765,14,184,43,6948
20191102T08-05,9388,18323,3765,15,0,43,8639
20191102T07-05,7927,16948,3765,14,0,43,9536
20191102T06-05,7029,14663,3765,15,0,5,10893
20191102T05-05,6623,13165,3765,13,0,3,11671
20191102T04-05,6610,12203,3765,12,0,3,12023
20191102T03-05,6409,11747,3765,12,0,3,12534
20191102T02-05,6360,11432,3765,14,0,3,12961
20191102T01-05,6885,11840,3765,14,0,3,12528
20191102T00-05,7441,12169,3765,15,0,3,12372
20191101T23-05,7288,12854,3765,15,0,3,13096
20191101T22-05,6855,14572,3765,12,0,4,12864
20191101T21-05,7642,16285,3765,12,0,30,10879
20191101T20-05,8608,17769,3765,12,0,30,8353
20191101T19-05,8950,18104,3765,19,244,27,6033
20191101T18-05,8533,18041,3765,11,1153,27,4742
20191101T17-05,8112,17851,3765,17,1482,26,4927
20191101T16-05,7441,17926,3764,19,1510,27,5740
20191101T15-05,6804,17891,3764,15,1496,0,7436
20191101T14-05,6288,17838,3764,15,1481,0,9181
20191101T13-05,6543,18276,3764,12,1473,6,10161
20191101T12-05,7266,18940,3764,14,1459,6,10725
20191101T11-05,7919,20563,3765,13,1516,40,10603
20191101T10-05,8131,21046,3764,13,1167,6,12391
20191101T09-05,9012,20966,3764,13,200,8,14509
20191101T08-05,9761,21489,3765,18,0,46,14911
20191101T07-05,8532,20655,3765,17,0,45,14852
20191101T06-05,7280,18230,3767,14,0,8,14478
20191101T05-05,6813,16108,3767,15,0,6,14496
20191101T04-05,6503,15202,3767,14,0,6,14469
20191101T03-05,6458,14927,3767,14,0,6,14217
20191101T02-05,6605,15195,3767,14,0,6,13544
20191101T01-05,6971,16192,3766,14,0,0,12194
20191101T00-05,7289,18329,3764,15,0,0,10836
20191031T23-05,7944,20544,3764,14,0,0,9491
20191031T22-05,8672,22461,3763,16,0,1,7803
20191031T21-05,8728,23676,3756,17,0,29,6204
20191031T20-05,8464,23968,3728,16,0,101,4823
20191031T19-05,8229,23609,3763,17,275,66,3215
20191031T18-05,7558,22352,3763,17,1175,66,3054
20191031T17-05,7634,22138,3763,13,1531,28,2842
20191031T16-05,8146,22276,3763,16,1559,26,2695
20191031T15-05,8578,22720,3763,17,1535,0,2941
20191031T14-05,9211,23252,3762,18,1529,0,3238
20191031T13-05,9496,24138,3761,15,1547,6,3628
20191031T12-05,9760,25217,3760,16,1581,41,4122
20191031T11-05,9773,26102,3763,15,1572,42,4822
20191031T10-05,9562,26592,3765,18,1193,6,6230
20191031T09-05,9298,26819,3767,19,204,6,8065
20191031T08-05,9617,26288,3768,15,0,6,9106
20191031T07-05,9349,23012,3768,12,0,6,10150
20191031T06-05,8259,19200,3768,11,0,6,11128
20191031T05-05,7785,16353,3768,12,0,6,12125
20191031T04-05,7531,14921,3763,13,0,6,12644
20191031T03-05,7925,13912,3763,12,0,6,12723
20191031T02-05,8437,13610,3762,15,0,6,12433
20191031T01-05,8603,13662,3761,12,0,0,12594
20191031T00-05,8803,13544,3760,19,0,0,13927
20191030T23-05,8936,14540,3760,14,0,0,14812
20191030T22-05,9899,15668,3759,14,0,0,14907
20191030T21-05,10080,16240,3759,14,0,2,15371
20191030T20-05,9068,16577,3759,14,0,45,16360
20191030T19-05,8095,16256,3739,18,131,68,16785
20191030T18-05,7272,15850,3727,23,386,29,16603
20191030T17-05,6919,15912,3730,19,362,27,16238
20191030T16-05,7349,16200,3729,18,364,27,14915
20191030T15-05,8159,16505,3729,10,425,27,13670
20191030T14-05,9294,17066,3733,7,455,20,11986
20191030T13-05,10350,18090,3735,7,428,8,10042
20191030T12-05,10578,19174,3733,10,353,8,8730
20191030T11-05,10786,19746,3728,11,200,7,7467
20191030T10-05,10803,20799,3727,13,124,8,6236
20191030T09-05,10858,20498,3727,11,16,8,6123
20191030T08-05,10837,19628,3727,13,0,8,6395
20191030T07-05,10753,17825,3727,18,0,7,6820
20191030T06-05,9692,15211,3727,13,0,7,7545
20191030T05-05,7834,14230,3727,12,0,7,8120
20191030T04-05,7677,13888,3736,10,0,7,7877
20191030T03-05,7649,13831,3737,11,0,7,8031
20191030T02-05,7577,14059,3737,16,0,7,8393
20191030T01-05,7786,14775,3737,15,0,7,8380
20191030T00-05,8436,16190,3736,10,0,7,7973
20191029T23-05,9866,17471,3737,9,0,7,7693
20191029T22-05,10621,19190,3736,11,0,7,7744
20191029T21-05,10819,20498,3736,12,0,8,7827
20191029T20-05,10493,21545,3736,11,0,8,7709
20191029T19-05,9797,21866,3736,8,154,8,7251
20191029T18-05,9295,22026,3736,17,491,10,6436
20191029T17-05,9561,21904,3736,18,726,66,5601
20191029T16-05,9801,21796,3736,9,839,93,4941
20191029T15-05,10689,21681,3736,15,784,36,4124
20191029T14-05,10899,22218,3736,8,748,7,3649
20191029T13-05,10761,22905,3736,9,563,0,3148
20191029T12-05,10478,23293,3738,10,375,19,2722
20191029T11-05,10380,23201,3742,15,208,102,2764
20191029T10-05,10679,22274,3742,15,79,27,2850
20191029T09-05,10966,20977,3742,9,7,27,3183
20191029T08-05,10849,20339,3742,14,0,27,3833
20191029T07-05,10528,18218,3742,15,0,27,4551
20191029T06-05,10269,14678,3746,11,0,0,5178
20191029T05-05,9846,12211,3746,10,0,0,6191
20191029T04-05,8903,11369,3746,13,0,0,7320
20191029T03-05,9538,10603,3746,12,0,0,7557
20191029T02-05,9799,10489,3745,10,0,24,7722
20191029T01-05,9916,10958,3746,13,0,9,8193
20191029T00-05,9776,12474,3746,15,0,7,8600
20191028T23-05,10124,14334,3746,11,0,7,9063
20191028T22-05,10373,16379,3746,13,0,7,9272
20191028T21-05,10328,18558,3746,10,0,10,8782
20191028T20-05,10548,20662,3746,9,0,46,7183
20191028T19-05,10278,21208,3746,10,256,47,5782
20191028T18-05,10235,21340,3745,9,1036,45,4532
20191028T17-05,9981,22123,3745,13,1328,8,3505
20191028T16-05,9950,22254,3745,12,1353,8,2997
20191028T15-05,10056,21672,3746,13,1272,8,3233
20191028T14-05,10465,21139,3746,21,1258,8,2956
20191028T13-05,10496,20679,3746,15,1152,0,2960
20191028T12-05,10370,20046,3746,12,901,41,3562
20191028T11-05,10278,18778,3747,9,552,62,4644
20191028T10-05,9465,17659,3746,12,340,27,5976
20191028T09-05,8484,16365,3746,14,94,27,7776
20191028T08-05,7554,15877,3746,13,0,27,9341
20191028T07-05,6491,14214,3746,11,0,25,10399
20191028T06-05,5582,11043,3746,11,0,0,11207
20191028T05-05,5192,8426,3745,9,0,0,12028
20191028T04-05,5129,7485,3746,11,0,0,12363
20191028T03-05,5256,7554,3745,10,0,0,12072
20191028T02-05,5296,7849,3745,12,0,24,12212
20191028T01-05,5316,8290,3745,9,0,7,12921
20191028T00-05,5535,8989,3745,9,0,7,13894
20191027T23-05,5810,10740,3745,10,0,7,14308
20191027T22-05,6589,12471,3745,11,0,7,13849
20191027T21-05,6917,14100,3745,11,0,10,13348
20191027T20-05,7497,15337,3745,10,0,47,12008
20191027T19-05,7502,15691,3745,6,282,47,10149
20191027T18-05,7849,15827,3745,3,1093,9,8640
20191027T17-05,8254,16011,3745,4,1406,8,7139
20191027T16-05,8320,16002,3745,11,1464,8,6234
20191027T15-05,8066,15683,3745,15,1451,7,6065
20191027T14-05,7554,14474,3746,19,1439,7,7227
20191027T13-05,6818,13739,3747,9,1451,0,8451
20191027T12-05,6540,12856,3747,12,1481,6,9425
20191027T11-05,6744,12048,3747,11,1447,62,9903
20191027T10-05,6152,11266,3748,12,1128,28,11906
20191027T09-05,6014,9648,3748,10,186,28,13915
20191027T08-05,5827,9140,3748,9,0,28,13524
20191027T07-05,5360,8275,3748,9,0,21,13418
20191027T06-05,5100,7751,3748,11,0,0,13364
20191027T05-05,4923,7360,3748,10,0,0,13362
20191027T04-05,4814,7249,3752,9,0,0,13550
20191027T03-05,4904,7327,3758,9,0,0,13563
20191027T02-05,4832,7812,3758,12,0,21,13612
20191027T01-05,5107,8766,3758,8,0,7,13133
20191027T00-05,5713,9328,3758,8,0,7,12907
20191026T23-05,6204,10093,3758,10,0,7,12975
20191026T22-05,6241,10958,3758,8,0,30,13316
20191026T21-05,6223,12374,3758,8,0,9,12688
