,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191114T00-05,30116,33984,29768,31,919,8,789,2510
20191113T23-05,31607,31233,29775,54,1327,16,1010,2378
20191113T22-05,32268,35090,29768,56,1344,16,1116,2797
20191113T21-05,32522,39921,29774,54,1342,16,1424,3232
20191113T20-05,32128,41910,29768,53,1337,16,2358,3591
20191113T19-05,31354,42484,29767,55,1330,16,3735,3544
20191113T18-05,30795,43169,29758,57,1340,16,4042,3353
20191113T17-05,30220,41762,29754,57,1274,16,4121,3517
20191113T16-05,29486,38617,29762,58,1313,128,1590,3729
20191113T15-05,29048,35104,29732,60,1315,657,1295,4168
20191113T14-05,28779,35043,29757,40,1337,951,1068,4316
20191113T13-05,28610,36590,29760,40,1327,965,1069,3934
20191113T12-05,29063,35956,29744,41,1323,985,1169,3951
20191113T11-05,28835,37128,29650,42,1319,921,1389,4090
20191113T10-05,29675,38400,29582,58,1326,889,1490,4598
20191113T09-05,30204,40127,29517,292,1312,805,3321,4274
20191113T08-05,30314,43412,29649,1285,1323,532,4084,3171
20191113T07-05,30506,44123,29768,1658,1323,46,4149,4136
20191113T06-05,29808,41876,29778,875,1285,8,3655,3324
20191113T05-05,29221,37523,29788,37,925,8,2863,2768
20191113T04-05,29503,33525,29772,35,939,8,1230,2379
20191113T03-05,29540,31590,29792,33,939,8,711,2081
20191113T02-05,29564,31640,29771,32,941,8,702,2120
20191113T01-05,29619,32219,29770,31,915,8,698,2583
20191113T00-05,18922,26767,29708,34,839,8,1016,5452
20191112T23-05,30187,34425,29777,31,925,8,952,2495
20191112T22-05,30421,37816,29774,32,1258,8,1012,2009
20191112T21-05,30202,41996,29777,32,1252,8,1903,1783
20191112T20-05,30329,42928,29775,55,1298,8,3694,1774
20191112T19-05,30557,43998,29763,319,1273,8,4052,1638
20191112T18-05,30431,43274,29767,306,1243,8,4189,1951
20191112T17-05,30272,41272,29759,35,1110,8,4192,1974
20191112T16-05,29511,39135,29752,35,1077,12,1505,2183
20191112T15-05,29590,36458,29758,35,1069,37,1196,2368
20191112T14-05,29616,36202,29735,37,1070,43,1168,2478
20191112T13-05,29909,36108,29740,41,1063,43,1164,2630
20191112T12-05,29738,36250,29749,40,1204,57,1160,2550
20191112T11-05,29794,36201,29765,38,1195,52,1286,2818
20191112T10-05,29351,35794,29757,36,1173,46,1441,3186
20191112T09-05,28698,35126,29757,36,1228,85,1734,3848
20191112T08-05,27494,34379,29756,45,1225,43,2116,4666
20191112T07-05,25862,33396,29738,37,1168,10,1975,4964
20191112T06-05,23487,30726,29755,36,1210,8,1704,5190
20191112T05-05,20106,26374,29744,34,827,8,1103,5733
20191112T04-05,18212,25356,29729,33,793,8,1043,5855
20191112T03-05,18314,25375,29736,34,752,8,749,5926
20191112T02-05,18986,26049,29718,35,807,8,744,5800
20191112T01-05,19050,25824,29707,35,774,8,1021,5601
20191112T00-05,17908,24118,29745,34,736,8,1042,2206
20191111T23-05,19348,27031,29693,34,1050,8,1102,5697
20191111T22-05,21012,27747,29709,36,1164,8,1129,5561
20191111T21-05,22452,30199,29707,35,1174,8,1280,5344
20191111T20-05,24243,31343,29694,36,1158,8,1995,5308
20191111T19-05,25498,32662,29722,37,1165,8,2333,5224
20191111T18-05,25145,32028,29724,37,1160,8,3573,5250
20191111T17-05,24692,31661,29733,39,1156,8,3521,4739
20191111T16-05,23125,30731,29718,39,1158,84,1954,4291
20191111T15-05,22028,29663,29719,49,1128,538,826,4409
20191111T14-05,21608,29371,29738,41,1127,819,837,4596
20191111T13-05,22063,29834,29754,43,1170,878,880,4622
20191111T12-05,22589,29749,29769,42,1182,740,807,4623
20191111T11-05,23185,29790,29778,43,1206,710,827,4714
20191111T10-05,23618,29952,29796,50,1210,759,985,4693
20191111T09-05,24379,30262,29792,47,875,728,1574,4689
20191111T08-05,24382,31734,29788,38,865,596,1532,4558
20191111T07-05,23032,31196,29791,38,839,126,2450,4288
20191111T06-05,22058,29317,29778,37,837,8,2106,3772
20191111T05-05,18528,25891,29804,38,788,8,1217,3104
20191111T04-05,16541,24743,29798,39,749,8,1000,2782
20191111T03-05,16216,24424,29759,38,745,8,982,2331
20191111T02-05,16003,24490,29739,36,733,8,981,2507
20191111T01-05,16690,23605,29745,35,752,8,1034,2564
20191111T00-05,21486,25956,29721,36,806,8,792,4057
20191110T23-05,18960,26523,29740,34,776,8,1136,2249
20191110T22-05,19636,26896,29761,35,751,8,1196,2423
20191110T21-05,21356,27806,29733,35,755,8,1423,1992
20191110T20-05,22334,29137,29743,36,777,8,1679,2146
20191110T19-05,22993,29171,29744,36,860,8,2146,2240
20191110T18-05,23338,29308,29699,37,865,8,2267,2132
20191110T17-05,21886,28622,29701,37,846,8,2755,1885
20191110T16-05,19925,27268,29715,38,846,126,1900,1094
20191110T15-05,19567,26793,29731,39,832,586,1215,1162
20191110T14-05,19303,26183,29729,39,795,648,1088,1227
20191110T13-05,19683,26878,29715,41,823,797,1112,1213
20191110T12-05,19713,26329,29717,42,819,863,1104,1438
20191110T11-05,20248,26446,29721,42,810,854,1259,1389
20191110T10-05,20800,26737,29732,42,826,925,1263,1521
20191110T09-05,21352,26672,29752,39,824,892,1362,1904
20191110T08-05,21989,26799,29742,39,842,651,1295,2130
20191110T07-05,21854,26129,29752,34,826,124,1396,2156
20191110T06-05,21084,24894,29730,38,813,8,1401,2376
20191110T05-05,19884,25048,29744,40,802,8,922,2421
20191110T04-05,19220,24461,29738,42,796,8,876,2576
20191110T03-05,18992,24268,29728,40,778,8,858,2889
20191110T02-05,19110,24091,29734,38,817,8,858,3568
20191110T01-05,20092,24153,29741,37,808,8,837,3776
20191110T00-05,25303,29786,29562,34,814,8,915,2127
20191109T23-05,22331,28738,29734,36,789,8,1086,4206
20191109T22-05,23633,28940,29732,38,776,8,1209,4187
20191109T21-05,25117,29121,29736,38,815,8,1264,3666
20191109T20-05,26412,30846,29715,38,812,8,1416,3336
20191109T19-05,25647,30872,29736,39,802,8,2230,3239
20191109T18-05,26123,31232,29723,40,819,8,2172,2787
20191109T17-05,25722,30273,29740,40,802,8,2302,2531
20191109T16-05,23595,28731,29739,41,810,120,2168,3126
20191109T15-05,21870,27452,29734,43,795,645,1201,3532
20191109T14-05,21934,26901,29752,44,790,861,1199,3531
20191109T13-05,23327,27419,29749,46,800,1000,1229,3252
20191109T12-05,24687,27819,29731,46,803,986,1154,3472
20191109T11-05,24790,28878,29749,47,801,1044,1138,3873
20191109T10-05,25188,29226,29754,45,812,1072,1171,4606
20191109T09-05,25445,30043,29738,42,819,1073,1438,4734
20191109T08-05,24702,32423,29749,40,816,838,1860,4783
20191109T07-05,24038,31805,29742,39,817,179,3222,4812
20191109T06-05,24158,30883,29742,39,821,8,2569,3840
20191109T05-05,23833,29045,29747,39,820,8,930,3605
20191109T04-05,23960,28581,29735,40,824,8,859,3124
20191109T03-05,23896,27254,29701,38,804,8,860,2632
20191109T02-05,24190,27118,29608,36,818,8,862,2850
20191109T01-05,24579,27048,29514,34,814,8,851,2448
20191109T00-05,21300,26029,29547,35,843,1,788,2885
20191108T23-05,25918,29762,29468,35,1056,8,1070,2132
20191108T22-05,26989,32641,29654,35,1196,8,1233,1964
20191108T21-05,27474,35194,29626,35,1229,8,1848,1730
20191108T20-05,27146,37032,29624,243,1236,8,2520,1456
20191108T19-05,27019,37943,29627,244,1224,8,3454,1130
20191108T18-05,26944,38836,29616,68,1216,8,3974,641
20191108T17-05,26376,37874,29620,68,1211,8,3754,537
20191108T16-05,26126,34649,29629,69,1201,146,1885,678
20191108T15-05,25721,33388,29611,68,1214,694,1169,753
20191108T14-05,25391,33243,29612,72,1200,965,1152,836
20191108T13-05,25088,34103,29578,75,1194,1018,1088,979
20191108T12-05,24975,35387,29567,41,1201,1081,1115,1024
20191108T11-05,25201,35577,29579,43,1212,1154,1142,1040
20191108T10-05,25565,36096,29562,44,1207,1089,1416,1087
20191108T09-05,25947,36856,29573,42,1207,1053,1821,1167
20191108T08-05,26084,36429,29577,42,1222,619,2601,1359
20191108T07-05,25851,35762,29542,41,1211,51,3474,1779
20191108T06-05,24766,32311,29562,39,1211,1,3555,2010
20191108T05-05,23272,27976,29551,39,1216,1,1076,2233
20191108T04-05,21384,26197,29579,39,844,1,880,2386
20191108T03-05,20523,25832,29573,37,854,1,796,2680
20191108T02-05,19792,25637,29559,38,860,1,787,2797
20191108T01-05,19990,25464,29581,36,843,1,792,2875
20191108T00-05,18626,24907,28212,35,850,1,932,4386
20191107T23-05,22631,26616,29534,35,848,1,955,3226
20191107T22-05,24270,28287,29417,36,1282,1,989,3266
20191107T21-05,25015,31512,29326,37,1425,1,1179,3445
20191107T20-05,25200,33522,29175,71,1387,1,2449,3550
20191107T19-05,24969,33820,29090,72,1412,1,2948,3560
20191107T18-05,24606,35017,28955,73,1403,1,3799,2789
20191107T17-05,24488,34930,28884,73,1404,1,3570,2802
20191107T16-05,24574,31002,28819,84,1396,332,1222,3577
20191107T15-05,24574,31002,28819,84,1396,332,1222,3577
20191107T14-05,25227,30760,28838,106,1400,587,1228,2844
20191107T13-05,25762,31067,28836,88,1379,639,1126,2763
20191107T12-05,26139,30353,28848,89,1336,732,1234,2868
