,hydro,wind
20191101T12Z,515,0
20191101T11Z,551,0
20191101T10Z,468,0
20191101T09Z,394,0
20191101T08Z,587,0
20191101T07Z,590,1
20191101T06Z,620,0
20191101T05Z,782,0
20191101T04Z,803,0
20191101T03Z,753,0
20191101T02Z,659,0
20191101T01Z,696,0
20191101T00Z,619,0
20191031T23Z,583,0
20191031T22Z,660,0
20191031T21Z,708,0
20191031T20Z,745,0
20191031T19Z,835,0
20191031T18Z,935,0
20191031T17Z,937,0
20191031T16Z,979,0
20191031T15Z,883,0
20191031T14Z,804,0
20191031T13Z,538,0
20191031T12Z,521,0
20191031T11Z,456,0
20191031T10Z,404,0
20191031T09Z,361,0
20191031T08Z,299,0
20191031T07Z,358,0
20191031T06Z,548,1
20191031T05Z,843,0
20191031T04Z,935,0
20191031T03Z,734,1
20191031T02Z,565,0
20191031T01Z,630,0
20191031T00Z,601,0
20191030T23Z,650,0
20191030T22Z,766,2
20191030T21Z,660,0
20191030T20Z,698,0
20191030T19Z,705,0
20191030T18Z,817,0
20191030T17Z,796,0
20191030T16Z,851,0
20191030T15Z,870,0
20191030T14Z,858,0
20191030T13Z,780,0
20191030T12Z,610,0
20191030T11Z,420,0
20191030T10Z,400,0
20191030T09Z,502,0
20191030T08Z,640,0
20191030T07Z,886,0
20191030T06Z,792,0
20191030T05Z,847,2
20191030T04Z,1024,0
20191030T03Z,993,1
20191030T02Z,883,1
20191030T01Z,826,1
20191030T00Z,663,1
20191029T23Z,661,1
20191029T22Z,826,2
20191029T21Z,858,1
20191029T20Z,689,1
20191029T19Z,786,0
20191029T18Z,956,1
20191029T17Z,942,3
20191029T16Z,902,3
20191029T15Z,789,4
20191029T14Z,623,5
20191029T13Z,600,5
20191029T12Z,360,5
20191029T11Z,261,5
20191029T10Z,217,6
20191029T09Z,179,6
20191029T08Z,313,6
20191029T07Z,352,6
20191029T06Z,360,5
20191029T05Z,442,4
20191029T04Z,940,4
20191029T03Z,987,7
20191029T02Z,833,4
20191029T01Z,875,4
20191029T00Z,948,1
20191028T23Z,920,0
20191028T22Z,899,1
20191028T21Z,971,0
20191028T20Z,963,4
20191028T19Z,944,7
20191028T18Z,997,8
20191028T17Z,876,7
20191028T16Z,943,7
20191028T15Z,925,8
20191028T14Z,731,6
20191028T13Z,486,6
20191028T12Z,367,5
20191028T11Z,409,6
20191028T10Z,469,5
20191028T09Z,361,3
20191028T08Z,342,3
20191028T07Z,447,2
20191028T06Z,538,1
20191028T05Z,607,0
20191028T04Z,664,0
20191028T03Z,538,0
20191028T02Z,524,0
20191028T01Z,496,0
20191028T00Z,377,0
20191027T23Z,448,0
20191027T22Z,501,0
20191027T21Z,572,0
20191027T20Z,546,0
20191027T19Z,492,0
20191027T18Z,559,0
20191027T17Z,725,0
20191027T16Z,818,1
20191027T15Z,684,2
20191027T14Z,613,1
20191027T13Z,870,1
20191027T12Z,769,1
20191027T11Z,560,1
20191027T10Z,412,2
20191027T09Z,504,1
20191027T08Z,469,0
20191027T07Z,507,1
20191027T06Z,703,1
20191027T05Z,929,2
20191027T04Z,926,5
20191027T03Z,801,5
20191027T02Z,729,6
20191027T01Z,611,4
20191027T00Z,553,5
20191026T23Z,604,7
20191026T22Z,705,7
20191026T21Z,845,6
20191026T20Z,920,5
20191026T19Z,862,0
20191026T18Z,768,1
20191026T17Z,736,0
20191026T16Z,722,0
20191026T15Z,747,0
20191026T14Z,749,0
20191026T13Z,682,0
20191026T12Z,313,1
20191026T11Z,306,1
20191026T10Z,384,0
20191026T09Z,407,2
20191026T08Z,562,2
20191026T07Z,747,1
20191026T06Z,682,0
20191026T05Z,830,3
20191026T04Z,680,3
20191026T03Z,564,1
20191026T02Z,530,4
20191026T01Z,546,8
20191026T00Z,485,7
20191025T23Z,590,7
20191025T22Z,664,8
20191025T21Z,575,8
20191025T20Z,522,8
20191025T19Z,627,8
20191025T18Z,859,7
20191025T17Z,948,8
20191025T16Z,912,7
20191025T15Z,880,4
20191025T14Z,654,4
20191025T13Z,587,3
20191025T12Z,404,2
20191025T11Z,458,0
20191025T10Z,456,0
20191025T09Z,489,0
20191025T08Z,649,0
20191025T07Z,749,0
20191025T06Z,687,0
20191025T05Z,896,1
20191025T04Z,808,0
20191025T03Z,742,2
20191025T02Z,792,2
20191025T01Z,815,3
20191025T00Z,665,3
20191024T23Z,573,5
20191024T22Z,488,4
20191024T21Z,513,5
20191024T20Z,539,5
20191024T19Z,669,6
20191024T18Z,730,6
20191024T17Z,822,4
20191024T16Z,855,2
20191024T15Z,806,2
20191024T14Z,905,1
20191024T13Z,728,0
20191024T12Z,366,1
20191024T11Z,350,1
20191024T10Z,416,0
20191024T09Z,624,0
20191024T08Z,548,0
