,coal,natural gas,solar,hydro
20191113T05Z,3381,1680,0,105
20191113T04Z,3324,1788,0,105
20191113T03Z,3461,1824,0,104
20191113T02Z,3466,1863,0,105
20191113T01Z,3391,1841,0,105
20191113T00Z,3454,1889,0,106
20191112T23Z,3435,1831,0,104
20191112T22Z,3377,1541,0,82
20191112T21Z,3528,1517,0,73
20191112T20Z,3509,1517,0,75
20191112T19Z,3484,1500,0,74
20191112T18Z,3335,1483,0,73
20191112T17Z,3358,1516,0,75
20191112T16Z,3352,1560,0,82
20191112T15Z,3395,1480,0,81
20191112T14Z,3342,1581,0,83
20191112T13Z,3292,1463,0,82
20191112T12Z,3233,1475,0,83
20191112T11Z,2970,1204,0,81
20191112T10Z,2898,1106,0,82
20191112T09Z,2918,956,0,81
20191112T08Z,2910,891,0,83
20191112T07Z,2921,890,0,82
20191112T06Z,2905,900,0,82
20191112T05Z,2908,911,0,82
20191112T04Z,2907,976,0,81
20191112T03Z,2997,969,0,83
20191112T02Z,3172,964,0,81
20191112T01Z,3262,960,0,81
20191112T00Z,3311,964,0,81
20191111T23Z,3063,963,0,79
20191111T22Z,2983,793,0,81
20191111T21Z,2958,662,1,79
20191111T20Z,2937,648,2,79
20191111T19Z,2953,625,2,79
20191111T18Z,2965,656,6,79
20191111T17Z,2996,656,9,77
20191111T16Z,3068,667,8,77
20191111T15Z,3063,718,4,77
20191111T14Z,3103,743,3,78
20191111T13Z,3112,689,0,77
20191111T12Z,2986,602,0,78
20191111T11Z,2661,602,0,77
20191111T10Z,2456,601,0,78
20191111T09Z,2358,600,0,78
20191111T08Z,2289,597,0,78
20191111T07Z,2276,596,0,78
20191111T06Z,2349,600,0,77
20191111T05Z,2465,584,0,78
20191111T04Z,2630,587,0,77
20191111T03Z,2776,596,0,78
20191111T02Z,2849,660,0,79
20191111T01Z,2862,657,0,77
20191111T00Z,2952,704,0,78
20191110T23Z,2913,687,0,78
20191110T22Z,2457,626,1,78
20191110T21Z,2370,661,5,77
20191110T20Z,2348,688,7,76
20191110T19Z,2358,650,8,77
20191110T18Z,2422,701,9,76
20191110T17Z,2466,714,9,77
20191110T16Z,2542,753,8,78
20191110T15Z,2616,821,6,76
20191110T14Z,2713,804,3,77
20191110T13Z,2673,829,0,76
20191110T12Z,2605,800,0,76
20191110T11Z,2548,754,0,77
20191110T10Z,2460,743,0,76
20191110T09Z,2456,739,0,77
20191110T08Z,2489,711,0,76
20191110T07Z,2525,711,0,76
20191110T06Z,2730,609,0,77
20191110T05Z,2714,690,0,76
20191110T04Z,2656,867,0,76
20191110T03Z,2736,953,0,76
20191110T02Z,2707,1039,0,76
20191110T01Z,2741,1157,0,77
20191110T00Z,2764,1166,0,76
20191109T23Z,2620,1030,0,75
20191109T22Z,2396,944,1,90
20191109T21Z,2369,893,5,103
20191109T20Z,2401,945,7,105
20191109T19Z,2475,965,9,103
20191109T18Z,2517,1050,9,104
20191109T17Z,2689,1069,9,102
20191109T16Z,2804,1166,8,102
20191109T15Z,2888,1368,6,103
20191109T14Z,2877,1442,3,103
20191109T13Z,2906,1452,0,103
20191109T12Z,2880,1414,0,103
20191109T11Z,2877,1405,0,103
20191109T10Z,2869,1371,0,103
20191109T09Z,2829,1257,0,104
20191109T08Z,2827,1301,0,80
20191109T07Z,2678,1295,0,76
20191109T06Z,2659,1299,0,76
20191109T05Z,2638,1299,0,76
20191109T04Z,2652,1363,0,77
20191109T03Z,2641,1390,0,76
20191109T02Z,2684,1404,0,78
20191109T01Z,2787,1452,0,76
20191109T00Z,2831,1435,0,77
20191108T23Z,2711,1411,0,76
20191108T22Z,2545,1333,1,78
20191108T21Z,2440,1251,3,77
20191108T20Z,2427,1269,7,78
20191108T19Z,2481,1271,9,78
20191108T18Z,2498,1373,10,78
20191108T17Z,2593,1534,0,78
20191108T16Z,2678,1522,9,78
20191108T15Z,2784,1470,7,80
20191108T14Z,2933,1437,4,78
20191108T13Z,2792,1595,1,105
20191108T12Z,2803,1618,0,110
20191108T11Z,2603,1428,0,109
20191108T10Z,2408,1168,0,110
20191108T09Z,2380,1078,0,110
20191108T08Z,2391,1060,0,111
20191108T07Z,2395,1055,0,109
20191108T06Z,2382,1076,0,110
20191108T05Z,2461,1108,0,109
20191108T04Z,2711,1234,0,109
20191108T03Z,2748,1383,0,110
20191108T02Z,2759,1397,0,108
20191108T01Z,2702,1387,0,108
20191108T00Z,2649,1368,0,104
20191107T23Z,2742,1315,0,76
20191107T22Z,2719,1240,0,76
20191107T21Z,2699,1163,0,75
20191107T20Z,2691,1145,1,76
20191107T19Z,2672,1142,1,74
20191107T18Z,2830,1053,1,76
20191107T17Z,2776,1025,1,76
20191107T16Z,2742,1030,1,75
20191107T15Z,2693,972,0,75
20191107T14Z,2701,1011,0,75
20191107T13Z,2722,958,0,76
20191107T12Z,2632,842,0,75
20191107T11Z,2372,598,0,76
20191107T10Z,2257,530,0,74
20191107T09Z,2249,478,0,74
20191107T08Z,2273,534,0,74
20191107T07Z,2269,513,0,74
20191107T06Z,2359,554,0,75
20191107T05Z,2472,566,0,74
20191107T04Z,2483,700,0,75
20191107T03Z,2550,924,0,75
20191107T02Z,2574,992,0,76
20191107T01Z,2632,999,0,74
20191107T00Z,2666,1007,0,76
20191106T23Z,2546,1005,0,74
20191106T22Z,2466,850,1,74
20191106T21Z,2485,894,2,74
20191106T20Z,2551,877,7,76
20191106T19Z,2551,871,9,74
20191106T18Z,2569,934,9,74
20191106T17Z,2570,1007,9,74
20191106T16Z,2498,1183,8,72
20191106T15Z,2575,1231,6,72
20191106T14Z,2667,1296,4,72
20191106T13Z,2726,1310,0,71
20191106T12Z,2652,1236,0,70
20191106T11Z,2599,927,0,70
20191106T10Z,2440,846,0,70
20191106T09Z,2421,810,0,69
20191106T08Z,2402,819,0,68
20191106T07Z,2384,834,0,69
20191106T06Z,2378,813,0,68
20191106T05Z,2485,845,0,68
20191106T04Z,2558,834,0,68
20191106T03Z,2605,987,0,67
20191106T02Z,2636,1020,0,67
20191106T01Z,2640,1030,0,66
20191106T00Z,2711,1046,0,65
20191105T23Z,2583,1063,0,64
20191105T22Z,2363,883,1,62
20191105T21Z,2392,951,2,62
20191105T20Z,2435,972,2,61
20191105T19Z,2470,962,2,61
20191105T18Z,2519,940,3,61
20191105T17Z,2593,935,4,60
20191105T16Z,2645,967,2,59
20191105T15Z,2561,1075,1,59
20191105T14Z,2552,1134,1,56
20191105T13Z,2552,1130,0,58
20191105T12Z,2615,1097,0,56
20191105T11Z,2495,821,0,54
20191105T10Z,2269,630,0,55
20191105T09Z,2257,613,0,55
20191105T08Z,2276,637,0,53
20191105T07Z,2301,597,0,53
20191105T06Z,2361,659,0,54
20191105T05Z,2544,657,0,52
20191105T04Z,2671,762,0,52
20191105T03Z,2696,870,0,52
20191105T02Z,2720,926,0,52
20191105T01Z,2738,1035,0,53
20191105T00Z,2673,990,0,52
20191104T23Z,2640,865,0,52
20191104T22Z,2646,875,2,44
20191104T21Z,2648,920,5,22
20191104T20Z,2708,956,7,3
20191104T19Z,2776,917,9,1
20191104T18Z,2759,983,9,42
20191104T17Z,2799,946,9,50
20191104T16Z,2865,1014,8,48
20191104T15Z,2806,1203,7,48
20191104T14Z,2959,1179,4,53
20191104T13Z,3072,1117,1,77
20191104T12Z,3062,1044,0,78
20191104T11Z,2825,960,0,77
20191104T10Z,2594,861,0,52
20191104T09Z,2433,851,0,47
20191104T08Z,2439,820,0,48
20191104T07Z,2397,820,0,46
20191104T06Z,2396,817,0,48
20191104T05Z,2442,854,0,48
20191104T04Z,2436,842,0,47
20191104T03Z,2534,889,0,48
20191104T02Z,2757,926,0,48
20191104T01Z,2809,843,0,46
20191104T00Z,2696,913,0,48
20191103T23Z,2479,828,0,48
20191103T22Z,2406,745,2,48
20191103T21Z,2398,723,5,48
20191103T20Z,2410,757,8,49
20191103T19Z,2405,749,9,59
20191103T18Z,2424,773,10,58
20191103T17Z,2505,805,9,58
20191103T16Z,2627,782,9,66
20191103T15Z,2753,908,7,68
20191103T14Z,2895,928,4,68
20191103T13Z,2780,891,1,69
20191103T12Z,2754,827,0,68
20191103T11Z,2719,928,0,69
20191103T10Z,2645,880,0,70
20191103T09Z,2446,793,0,69
20191103T08Z,2430,800,0,72
20191103T07Z,2422,749,0,71
20191103T06Z,2420,772,0,70
20191103T05Z,2406,748,0,72
20191103T04Z,2426,846,0,70
20191103T03Z,2512,871,0,73
20191103T02Z,2665,880,0,72
20191103T01Z,2903,927,0,73
20191103T00Z,2895,886,0,72
20191102T23Z,2750,911,0,61
20191102T22Z,2487,743,1,51
20191102T21Z,2493,753,5,52
20191102T20Z,2506,765,6,50
20191102T19Z,2518,806,9,53
20191102T18Z,2528,851,10,72
20191102T17Z,2611,835,10,71
20191102T16Z,2680,972,9,71
20191102T15Z,2791,1149,7,69
20191102T14Z,2909,1199,4,71
20191102T13Z,3036,1203,1,75
20191102T12Z,2977,1206,0,83
20191102T11Z,2720,1009,0,82
20191102T10Z,2744,1136,0,83
20191102T09Z,2787,936,0,84
20191102T08Z,2770,1018,0,84
20191102T07Z,2705,1071,0,85
20191102T06Z,2518,995,0,80
20191102T05Z,2429,1072,0,76
20191102T04Z,2457,1110,0,77
20191102T03Z,2501,1182,0,79
20191102T02Z,2720,1047,0,78
20191102T01Z,2909,1152,0,81
20191102T00Z,2883,1169,0,83
20191101T23Z,2659,937,0,83
20191101T22Z,2603,878,2,83
20191101T21Z,2589,887,5,85
20191101T20Z,2596,922,17,86
20191101T19Z,2629,1012,0,87
20191101T18Z,2642,1081,10,89
20191101T17Z,2661,1210,18,88
20191101T16Z,2737,1276,0,90
20191101T15Z,2731,1425,11,100
20191101T14Z,2768,1504,0,100
20191101T13Z,2776,1607,1,103
20191101T12Z,2760,1535,0,103
20191101T11Z,2751,1283,0,102
20191101T10Z,2533,1172,0,103
20191101T09Z,2473,998,0,105
20191101T08Z,2437,944,0,106
20191101T07Z,2384,976,0,107
20191101T06Z,2460,966,0,109
20191101T05Z,2484,976,0,111
20191101T04Z,2559,1093,0,112
20191101T03Z,2725,1129,0,113
20191101T02Z,2785,1228,0,111
20191101T01Z,2796,1252,0,112
20191101T00Z,2818,1290,0,111
20191031T23Z,2809,1163,0,111
20191031T22Z,2824,1067,0,111
20191031T21Z,2832,1019,0,109
20191031T20Z,2828,1000,2,110
20191031T19Z,2836,948,2,109
20191031T18Z,2920,906,1,109
20191031T17Z,2918,817,1,109
20191031T16Z,2835,849,0,110
20191031T15Z,2810,826,1,109
20191031T14Z,2890,772,0,109
20191031T13Z,2931,719,0,85
20191031T12Z,2906,635,0,76
20191031T11Z,2616,556,0,77
20191031T10Z,2330,489,0,77
20191031T09Z,2058,522,0,77
20191031T08Z,1980,539,0,78
20191031T07Z,2003,546,0,76
20191031T06Z,2031,544,0,78
20191031T05Z,2126,542,0,78
20191031T04Z,2264,532,0,79
20191031T03Z,2458,535,0,79
20191031T02Z,2589,594,0,80
20191031T01Z,2613,701,0,80
20191031T00Z,2718,730,0,80
20191030T23Z,2725,737,0,82
20191030T22Z,2554,658,0,80
20191030T21Z,2559,654,0,83
20191030T20Z,2603,663,1,83
20191030T19Z,2626,659,1,85
20191030T18Z,2638,669,1,84
20191030T17Z,2790,732,1,84
20191030T16Z,2683,622,1,84
20191030T15Z,2704,722,0,85
20191030T14Z,2696,698,0,84
20191030T13Z,2733,650,0,84
20191030T12Z,2734,622,0,76
20191030T11Z,2691,477,0,76
20191030T10Z,2171,435,0,75
20191030T09Z,2115,436,0,76
20191030T08Z,2144,436,0,75
20191030T07Z,2177,436,0,76
20191030T06Z,2238,437,0,75
20191030T05Z,2316,432,0,75
20191030T04Z,2473,415,0,75
20191030T03Z,2650,458,0,76
20191030T02Z,2701,620,0,76
20191030T01Z,2764,721,0,77
20191030T00Z,2772,724,0,77
20191029T23Z,2667,703,0,76
20191029T22Z,2614,670,1,77
20191029T21Z,2647,674,3,76
20191029T20Z,2686,731,3,76
20191029T19Z,2737,712,3,77
20191029T18Z,2800,685,2,76
20191029T17Z,2821,758,3,75
20191029T16Z,2812,759,2,76
20191029T15Z,2779,695,2,76
20191029T14Z,2772,683,1,76
20191029T13Z,2795,683,1,76
20191029T12Z,2903,597,0,71
20191029T11Z,2902,445,0,66
20191029T10Z,2423,435,0,67
20191029T09Z,2249,418,0,67
20191029T08Z,2216,401,0,66
20191029T07Z,2224,427,0,66
20191029T06Z,2263,429,0,66
20191029T05Z,2382,429,0,64
20191029T04Z,2537,428,0,63
20191029T03Z,2630,506,0,65
20191029T02Z,2694,679,0,66
20191029T01Z,2758,740,0,68
20191029T00Z,2893,751,0,68
20191028T23Z,2704,736,0,67
20191028T22Z,2712,732,2,67
20191028T21Z,2704,735,5,67
20191028T20Z,2724,739,7,68
20191028T19Z,2769,739,9,67
20191028T18Z,2762,743,9,66
20191028T17Z,2744,755,9,66
20191028T16Z,2737,766,8,61
20191028T15Z,2761,767,6,57
20191028T14Z,2789,754,2,55
20191028T13Z,2841,768,0,56
20191028T12Z,2897,669,0,54
20191028T11Z,2889,460,0,54
20191028T10Z,2446,398,0,53
20191028T09Z,2198,418,0,54
20191028T08Z,2112,415,0,54
20191028T07Z,2104,415,0,54
20191028T06Z,2128,416,0,54
20191028T05Z,2160,417,0,53
20191028T04Z,2210,416,0,54
20191028T03Z,2435,409,0,54
20191028T02Z,2591,406,0,54
20191028T01Z,2718,416,0,54
20191028T00Z,2727,510,0,54
20191027T23Z,2589,525,0,54
20191027T22Z,2563,418,2,55
20191027T21Z,2550,383,5,55
20191027T20Z,2486,407,8,55
20191027T19Z,2431,426,9,55
20191027T18Z,2414,430,10,56
20191027T17Z,2410,434,7,55
20191027T16Z,2380,437,5,55
20191027T15Z,2384,439,4,56
20191027T14Z,2354,439,1,56
20191027T13Z,2223,438,0,56
20191027T12Z,2106,433,0,57
20191027T11Z,2040,393,0,56
20191027T10Z,2025,348,0,57
20191027T09Z,2022,332,0,56
20191027T08Z,2023,345,0,56
20191027T07Z,2032,366,0,55
20191027T06Z,2081,405,0,56
20191027T05Z,2153,418,0,56
20191027T04Z,2288,417,0,55
20191027T03Z,2347,415,0,56
20191027T02Z,2523,408,0,56
20191027T01Z,2611,415,0,56
20191027T00Z,2637,416,0,56
20191026T23Z,2584,407,0,56
20191026T22Z,2551,409,1,56
20191026T21Z,2560,417,1,56
20191026T20Z,2561,420,1,56
20191026T19Z,2594,424,1,55
20191026T18Z,2666,415,1,55
20191026T17Z,2833,434,1,55
20191026T16Z,2986,467,1,55
20191026T15Z,2940,487,1,55
20191026T14Z,2854,435,0,54
20191026T13Z,2722,432,0,55
20191026T12Z,2469,408,0,55
20191026T11Z,2327,371,0,55
20191026T10Z,2327,338,0,55
20191026T09Z,2276,289,0,55
20191026T08Z,2331,240,0,55
20191026T07Z,2360,276,0,56
20191026T06Z,2379,338,0,55
20191026T05Z,2411,431,0,55
20191026T04Z,2487,513,0,55
20191026T03Z,2452,682,0,55
20191026T02Z,2532,782,0,55
20191026T01Z,2523,899,0,55
20191026T00Z,2511,897,0,55
20191025T23Z,2508,862,0,55
20191025T22Z,2494,895,0,54
20191025T21Z,2499,851,1,55
20191025T20Z,2539,886,1,55
20191025T19Z,2557,892,2,55
20191025T18Z,2602,901,2,55
20191025T17Z,2612,907,3,56
20191025T16Z,2579,993,4,55
20191025T15Z,2634,1054,2,56
20191025T14Z,2685,1070,2,56
20191025T13Z,2646,1026,1,55
20191025T12Z,2771,889,0,56
20191025T11Z,2788,746,0,55
20191025T10Z,2526,574,0,56
20191025T09Z,2353,488,0,55
20191025T08Z,2330,470,0,55
20191025T07Z,2329,495,0,55
20191025T06Z,2324,544,0,56
20191025T05Z,2333,615,0,55
20191025T04Z,2317,738,0,55
20191025T03Z,2382,812,0,55
20191025T02Z,2441,1054,0,55
20191025T01Z,2415,1273,0,55
20191025T00Z,2415,1234,0,55
20191024T23Z,2355,1124,0,54
20191024T22Z,2220,1231,2,55
20191024T21Z,2129,1293,6,54
20191024T20Z,2007,1411,8,55
20191024T19Z,2094,1345,9,54
20191024T18Z,2255,1353,10,54
20191024T17Z,2246,1371,9,53
20191024T16Z,2257,1394,9,46
20191024T15Z,2178,1356,7,43
20191024T14Z,2324,1319,4,42
20191024T13Z,2336,1333,1,43
20191024T12Z,2294,1402,0,43
20191024T11Z,2212,1270,0,42
20191024T10Z,2118,978,0,43
20191024T09Z,1971,844,0,43
20191024T08Z,1898,823,0,42
20191024T07Z,1949,873,0,43
20191024T06Z,1892,864,0,43
20191024T05Z,1946,886,0,43
20191024T04Z,1989,1024,0,43
20191024T03Z,1951,1240,0,43
20191024T02Z,2055,1394,0,43
20191024T01Z,2021,1475,0,43
20191024T00Z,2220,1497,0,43
20191023T23Z,2036,1489,0,43
20191023T22Z,1896,1326,3,43
20191023T21Z,1893,1352,6,43
20191023T20Z,1930,1387,8,43
20191023T19Z,1985,1462,9,43
20191023T18Z,2046,1414,10,43
20191023T17Z,2083,1401,10,33
20191023T16Z,2106,1403,9,33
20191023T15Z,2162,1393,7,27
20191023T14Z,2240,1453,5,21
20191023T13Z,2254,1396,1,11
20191023T12Z,2326,1381,0,0
20191023T11Z,2308,1314,0,0
20191023T10Z,1977,953,0,0
20191023T09Z,1825,919,0,0
20191023T08Z,1758,912,0,0
20191023T07Z,1821,919,0,0
20191023T06Z,1776,954,0,0
20191023T05Z,1881,964,0,0
20191023T04Z,2125,880,0,0
20191023T03Z,2168,995,0,0
20191023T02Z,2176,1166,0,0
20191023T01Z,2248,1419,0,0
20191023T00Z,2256,1470,0,0
20191022T23Z,2276,1336,0,0
20191022T22Z,2251,1154,3,0
20191022T21Z,2224,1233,6,0
20191022T20Z,2139,1321,7,0
20191022T19Z,2154,1330,9,11
20191022T18Z,2140,1329,9,12
20191022T17Z,2162,1362,9,23
20191022T16Z,2212,1277,7,23
20191022T15Z,2219,1204,7,28
20191022T14Z,2151,1170,4,34
20191022T13Z,2172,1173,1,35
20191022T12Z,2133,1123,0,34
20191022T11Z,1933,1048,0,46
20191022T10Z,1733,915,0,46
20191022T09Z,1580,866,0,45
20191022T08Z,1613,882,0,45
20191022T07Z,1643,881,0,45
20191022T06Z,1706,896,0,45
20191022T05Z,1852,896,0,45
20191022T04Z,2131,803,0,44
20191022T03Z,2290,825,0,45
20191022T02Z,2299,1023,0,45
20191022T01Z,2370,1234,0,44
20191022T00Z,2379,1276,0,45
20191021T23Z,2315,1383,0,44
20191021T22Z,2057,1389,0,45
20191021T21Z,2068,1388,0,44
20191021T20Z,2178,1395,3,45
20191021T19Z,2156,1390,7,44
20191021T18Z,2154,1393,5,36
20191021T17Z,2099,1406,3,34
20191021T16Z,2079,1409,6,33
20191021T15Z,2074,1352,5,34
20191021T14Z,2090,1293,4,33
20191021T13Z,2065,1250,1,33
20191021T12Z,2198,1191,0,24
20191021T11Z,2116,976,0,22
20191021T10Z,1941,867,0,23
20191021T09Z,1695,788,0,23
20191021T08Z,1599,792,0,23
20191021T07Z,1602,765,0,23
20191021T06Z,1646,795,0,22
20191021T05Z,1764,777,0,23
20191021T04Z,1857,818,0,23
20191021T03Z,1936,962,0,23
20191021T02Z,2089,1014,0,23
20191021T01Z,2290,987,0,23
20191021T00Z,2344,1099,0,23
20191020T23Z,2324,980,0,23
20191020T22Z,2328,967,3,23
20191020T21Z,2300,935,5,23
20191020T20Z,2172,876,7,23
20191020T19Z,2159,882,4,24
20191020T18Z,2067,882,3,23
20191020T17Z,2144,755,4,23
20191020T16Z,2057,730,3,23
20191020T15Z,2051,709,2,24
20191020T14Z,2095,646,1,23
20191020T13Z,1914,646,0,23
20191020T12Z,1817,648,0,23
20191020T11Z,1719,647,0,24
20191020T10Z,1619,648,0,23
20191020T09Z,1599,645,0,23
20191020T08Z,1610,641,0,24
20191020T07Z,1691,643,0,23
20191020T06Z,1745,645,0,24
20191020T05Z,1792,646,0,23
20191020T04Z,1842,710,0,23
20191020T03Z,1856,848,0,24
20191020T02Z,1904,1033,0,23
20191020T01Z,2101,1054,0,24
20191020T00Z,2055,1043,0,23
20191019T23Z,1958,863,0,24
20191019T22Z,1954,853,2,24
20191019T21Z,1960,862,4,23
20191019T20Z,1949,847,7,24
20191019T19Z,1993,881,9,24
20191019T18Z,2032,898,10,23
20191019T17Z,2026,922,6,24
20191019T16Z,1982,1018,5,23
20191019T15Z,2012,1046,5,23
20191019T14Z,1995,1042,2,24
20191019T13Z,1877,1047,1,23
20191019T12Z,1783,1046,0,23
20191019T11Z,1678,1039,0,23
20191019T10Z,1583,985,0,24
20191019T09Z,1609,890,0,23
20191019T08Z,1720,820,0,24
20191019T07Z,1780,790,0,23
20191019T06Z,1799,808,0,24
20191019T05Z,1836,817,0,24
20191019T04Z,1820,891,0,26
20191019T03Z,1933,938,0,34
20191019T02Z,1923,1048,0,34
20191019T01Z,1879,1228,0,34
20191019T00Z,1901,1226,0,34
20191018T23Z,1871,1192,0,34
20191018T22Z,1857,1067,3,33
20191018T21Z,1864,1124,6,34
20191018T20Z,1863,1163,8,33
20191018T19Z,1855,1203,9,32
20191018T18Z,1862,1268,10,33
20191018T17Z,1850,1314,10,32
20191018T16Z,1809,1425,9,33
20191018T15Z,1773,1533,7,32
20191018T14Z,1797,1562,5,32
20191018T13Z,1695,1661,1,32
20191018T12Z,1686,1679,0,22
20191018T11Z,1702,1585,0,22
20191018T10Z,1640,1258,0,22
20191018T09Z,1626,1028,0,21
20191018T08Z,1623,1018,0,21
20191018T07Z,1623,1054,0,22
20191018T06Z,1662,1062,0,21
20191018T05Z,1678,1100,0,22
20191018T04Z,1687,1193,0,21
20191018T03Z,1751,1258,0,22
20191018T02Z,1756,1333,0,21
20191018T01Z,1749,1410,0,22
20191018T00Z,1753,1417,0,22
20191017T23Z,1754,1308,1,21
20191017T22Z,1751,1319,3,22
20191017T21Z,1756,1389,6,22
20191017T20Z,1759,1460,9,22
20191017T19Z,1758,1513,8,21
20191017T18Z,1776,1548,9,22
20191017T17Z,1808,1515,8,22
20191017T16Z,1819,1520,9,22
20191017T15Z,1834,1599,7,22
20191017T14Z,1835,1588,5,22
20191017T13Z,1803,1600,2,20
20191017T12Z,1825,1572,0,2
20191017T11Z,1874,1319,0,0
20191017T10Z,1801,1033,0,0
20191017T09Z,1824,927,0,0
20191017T08Z,1776,893,0,0
20191017T07Z,1776,896,0,0
20191017T06Z,1791,928,0,0
20191017T05Z,1847,972,0,0
20191017T04Z,2150,849,0,0
20191017T03Z,2300,891,0,0
20191017T02Z,2417,918,0,0
20191017T01Z,2570,931,0,0
20191017T00Z,2540,936,0,0
20191016T23Z,2493,891,0,0
20191016T22Z,2482,921,1,0
20191016T21Z,2541,877,2,0
20191016T20Z,2557,876,3,0
20191016T19Z,2565,900,3,0
20191016T18Z,2573,896,3,0
20191016T17Z,2572,897,6,0
20191016T16Z,2570,912,6,0
20191016T15Z,2564,919,5,0
20191016T14Z,2582,912,4,0
20191016T13Z,2578,759,1,0
20191016T12Z,2742,740,0,0
20191016T11Z,2710,625,0,0
20191016T10Z,2305,577,0,0
20191016T09Z,2190,515,0,0
20191016T08Z,2187,546,0,0
20191016T07Z,2217,541,0,0
20191016T06Z,2331,546,0,0
20191016T05Z,2402,568,0,0
20191016T04Z,2536,555,0,0
20191016T03Z,2704,604,0,0
20191016T02Z,2777,738,0,0
20191016T01Z,2883,842,0,0
20191016T00Z,2909,862,0,0
20191015T23Z,2854,830,1,0
20191015T22Z,2848,821,3,0
20191015T21Z,2838,865,4,0
20191015T20Z,2893,872,5,0
20191015T19Z,2862,886,7,0
20191015T18Z,2850,903,6,0
20191015T17Z,2865,910,4,0
20191015T16Z,2837,921,7,0
20191015T15Z,2866,922,7,0
20191015T14Z,2709,935,4,0
20191015T13Z,2671,900,1,0
20191015T12Z,2678,899,0,0
20191015T11Z,2657,732,0,0
20191015T10Z,2450,561,0,0
20191015T09Z,2316,468,0,0
20191015T08Z,2327,512,0,12
20191015T07Z,2317,449,0,12
20191015T06Z,2340,483,0,19
20191015T05Z,2469,419,0,23
20191015T04Z,2549,451,0,24
20191015T03Z,2628,544,0,24
20191015T02Z,2683,712,0,23
20191015T01Z,2682,858,0,24
20191015T00Z,2700,888,0,23
20191014T23Z,2682,852,1,24
20191014T22Z,2805,909,3,23
20191014T21Z,2775,913,6,23
20191014T20Z,2751,909,8,23
20191014T19Z,2691,914,0,23
20191014T18Z,2600,916,9,23
20191014T17Z,2559,905,9,22
20191014T16Z,2546,914,8,23
20191014T15Z,2574,917,7,23
20191014T14Z,2601,903,4,22
20191014T13Z,2680,872,2,11
20191014T12Z,2712,725,0,0
20191014T11Z,2637,557,0,0
20191014T10Z,2300,425,0,0
20191014T09Z,2069,430,0,0
20191014T08Z,2078,422,0,0
20191014T07Z,2105,370,0,0
20191014T06Z,2129,348,0,0
20191014T05Z,2099,428,0,0
20191014T04Z,2210,424,0,0
20191014T03Z,2358,419,0,0
20191014T02Z,2538,425,0,0
20191014T01Z,2638,421,0,0
20191014T00Z,2667,425,0,0
20191013T23Z,2484,420,1,0
20191013T22Z,2451,421,3,0
20191013T21Z,2413,419,6,0
20191013T20Z,2347,413,8,0
20191013T19Z,2374,421,9,0
20191013T18Z,2389,421,9,0
20191013T17Z,2444,415,9,0
20191013T16Z,2477,429,8,0
20191013T15Z,2488,430,7,0
20191013T14Z,2502,430,4,0
20191013T13Z,2403,432,2,0
20191013T12Z,2273,433,0,0
20191013T11Z,2138,433,0,0
20191013T10Z,2036,432,0,0
20191013T09Z,1949,432,0,0
20191013T08Z,1942,430,0,0
20191013T07Z,1989,432,0,0
20191013T06Z,2020,433,0,0
20191013T05Z,2058,431,0,0
20191013T04Z,2251,423,0,0
20191013T03Z,2367,431,0,0
20191013T02Z,2426,430,0,0
20191013T01Z,2502,432,0,0
20191013T00Z,2462,430,0,0
20191012T23Z,2399,418,1,0
20191012T22Z,2402,427,3,0
20191012T21Z,2403,427,6,0
20191012T20Z,2391,416,8,0
20191012T19Z,2403,414,9,0
20191012T18Z,2460,422,9,0
20191012T17Z,2463,416,9,0
20191012T16Z,2520,416,9,0
20191012T15Z,2528,422,7,0
20191012T14Z,2524,422,5,0
20191012T13Z,2381,427,1,0
20191012T12Z,2238,433,0,0
20191012T11Z,2181,432,0,0
20191012T10Z,2109,431,0,0
20191012T09Z,2090,429,0,0
20191012T08Z,2126,430,0,0
20191012T07Z,2214,430,0,22
20191012T06Z,2277,432,0,24
20191012T05Z,2187,522,0,24
20191012T04Z,2268,707,0,25
20191012T03Z,2531,576,0,36
20191012T02Z,2750,590,0,35
20191012T01Z,2868,673,0,35
20191012T00Z,2941,675,0,35
20191011T23Z,2946,672,0,34
20191011T22Z,2971,682,1,36
20191011T21Z,3021,708,2,34
20191011T20Z,3017,685,4,34
20191011T19Z,3043,717,4,36
20191011T18Z,3016,723,3,34
20191011T17Z,2957,719,4,36
20191011T16Z,2897,680,6,34
20191011T15Z,3009,644,5,34
20191011T14Z,3055,442,1,25
20191011T13Z,2992,419,1,23
20191011T12Z,2935,419,0,2
20191011T11Z,2860,423,0,0
20191011T10Z,2561,426,0,0
20191011T09Z,2475,364,0,0
20191011T08Z,2506,390,0,0
20191011T07Z,2561,418,0,0
20191011T06Z,2655,420,0,0
20191011T05Z,2799,419,0,0
20191011T04Z,2992,417,0,0
20191011T03Z,3164,412,0,0
20191011T02Z,3216,629,0,0
20191011T01Z,3256,756,0,0
20191011T00Z,3172,864,0,0
20191010T23Z,3251,800,1,0
20191010T22Z,3195,888,2,0
20191010T21Z,3181,917,4,0
20191010T20Z,3145,952,5,0
20191010T19Z,3154,844,7,0
20191010T18Z,3157,770,9,0
20191010T17Z,3118,621,8,0
20191010T16Z,3197,439,8,0
20191010T15Z,3131,431,7,0
