,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191108T09Z,305,1114,2676,-1.0,801,0,0
20191108T08Z,309,1116,2680,0.0,806,0,0
20191108T07Z,304,1127,2682,-1.0,807,0,0
20191108T06Z,397,1161,2681,0.0,827,0,0
20191108T05Z,772,1211,2683,0.0,846,0,-1
20191108T04Z,1089,1248,2679,0.0,851,0,0
20191108T03Z,1176,1202,2671,0.0,830,0,0
20191108T02Z,1329,1036,2676,0.0,788,0,0
20191108T01Z,1347,1007,2677,0.0,748,33,0
20191108T00Z,1344,990,2677,0.0,712,25,0
20191107T23Z,1342,971,2674,0.0,679,23,0
20191107T22Z,1340,988,2679,0.0,682,196,-1
20191107T21Z,1035,954,2677,0.0,652,711,0
20191107T20Z,494,997,2675,0.0,662,1246,0
20191107T19Z,375,927,2682,0.0,638,1666,0
20191107T18Z,374,916,2678,0.0,654,1928,0
20191107T17Z,370,892,2681,0.0,646,2021,0
20191107T16Z,559,820,2678,0.0,615,1750,0
20191107T15Z,1070,709,2678,0.0,631,1494,-1
20191107T14Z,1338,1037,2679,0.0,681,1030,0
20191107T13Z,1348,1359,2679,0.0,745,329,0
20191107T12Z,1344,1417,2682,-1.0,797,0,0
20191107T11Z,1151,1403,2680,-1.0,794,0,0
20191107T10Z,762,1373,2679,-1.0,786,0,0
20191107T09Z,572,1216,2680,-1.0,779,0,-1
20191107T08Z,513,1199,2679,-1.0,782,0,0
20191107T07Z,512,1191,2683,0.0,783,0,0
20191107T06Z,589,1217,2679,-1.0,787,0,0
20191107T05Z,501,1202,2679,0.0,790,0,0
20191107T04Z,819,1161,2681,0.0,784,0,0
20191107T03Z,1214,1279,2681,0.0,828,0,0
20191107T02Z,1301,1313,2680,0.0,834,0,-1
20191107T01Z,1307,1345,2680,0.0,811,38,0
20191107T00Z,1303,1423,2678,0.0,837,45,0
20191106T23Z,1290,1233,2679,0.0,827,49,0
20191106T22Z,962,1082,2679,0.0,748,316,0
20191106T21Z,486,1051,2682,0.0,721,1052,0
20191106T20Z,278,1048,2681,0.0,716,1638,-1
20191106T19Z,252,1006,2681,0.0,719,1928,0
20191106T18Z,286,941,2679,0.0,698,2094,0
20191106T17Z,424,878,2682,0.0,681,2123,0
20191106T16Z,719,892,2683,0.0,667,1991,0
20191106T15Z,900,909,2679,0.0,656,1610,0
20191106T14Z,1120,1042,2683,-1.0,729,910,0
20191106T13Z,1284,1125,2679,-1.0,784,211,-1
20191106T12Z,1297,1132,2680,0.0,807,0,0
20191106T11Z,1027,1076,2680,0.0,792,0,0
20191106T10Z,461,1043,2679,-1.0,749,0,0
20191106T09Z,274,1085,2682,-1.0,721,0,0
20191106T08Z,284,1088,2679,-1.0,722,0,0
20191106T07Z,210,1129,2679,-1.0,734,0,0
20191106T06Z,299,1127,2681,0.0,766,0,0
20191106T05Z,434,1167,2680,0.0,766,0,0
20191106T04Z,666,1176,2677,0.0,756,0,-1
20191106T03Z,918,1334,2679,0.0,799,0,0
20191106T02Z,1204,1523,2677,0.0,855,0,0
20191106T01Z,1217,1582,2679,0.0,836,40,0
20191106T00Z,1195,1577,2677,0.0,836,40,0
20191105T23Z,1244,1353,2677,0.0,807,43,0
20191105T22Z,905,1185,2675,0.0,825,240,0
20191105T21Z,682,1210,2672,0.0,829,652,0
20191105T20Z,525,1223,2670,0.0,779,858,-1
20191105T19Z,350,1237,2684,0.0,736,1252,0
20191105T18Z,274,1182,2686,0.0,694,1496,0
20191105T17Z,383,1060,2688,0.0,649,1364,0
20191105T16Z,450,1098,2688,0.0,670,1166,0
20191105T15Z,518,1293,2687,0.0,704,967,0
20191105T14Z,894,1353,2684,0.0,753,686,-1
20191105T13Z,1152,1654,2683,-1.0,757,215,0
20191105T12Z,1274,1708,2682,-1.0,802,0,0
20191105T11Z,871,1469,2683,0.0,800,0,0
20191105T10Z,342,1281,2685,-1.0,789,0,0
20191105T09Z,210,1310,2686,-1.0,784,0,0
20191105T08Z,210,1302,2685,0.0,784,0,0
20191105T07Z,210,1302,2684,-2.0,783,0,-1
20191105T06Z,211,1305,2685,0.0,783,0,0
20191105T05Z,214,1309,2685,0.0,783,0,0
20191105T04Z,570,1167,2683,0.0,769,0,0
20191105T03Z,990,1358,2683,0.0,814,0,0
20191105T02Z,1186,1517,2685,0.0,821,0,0
20191105T01Z,1287,1740,2682,0.0,810,41,0
20191105T00Z,1325,1843,2684,0.0,843,39,-1
20191104T23Z,1344,1328,2685,0.0,824,38,0
20191104T22Z,1204,957,2684,0.0,745,164,0
20191104T21Z,791,978,2685,0.0,743,641,0
20191104T20Z,498,968,2685,0.0,729,950,0
20191104T19Z,413,910,2688,0.0,636,1325,0
20191104T18Z,350,857,2689,0.0,636,1620,-1
20191104T17Z,397,879,2684,0.0,623,1688,0
20191104T16Z,740,880,2687,0.0,651,1596,0
20191104T15Z,1277,1201,2684,0.0,751,1418,0
20191104T14Z,1354,1619,2686,0.0,767,1012,0
20191104T13Z,1355,2352,2683,0.0,777,338,0
20191104T12Z,1358,2398,2680,0.0,786,0,0
20191104T11Z,1354,1443,2682,0.0,765,0,-1
20191104T10Z,1309,1049,2683,0.0,732,0,0
20191104T09Z,1286,1116,2686,0.0,733,0,0
20191104T08Z,1234,1055,2680,0.0,724,0,0
20191104T07Z,1092,1067,2685,0.0,730,0,0
20191104T06Z,821,1153,2684,-19.0,758,0,0
20191104T05Z,727,1201,2682,0.0,759,0,0
20191104T04Z,951,1245,2682,0.0,759,0,-1
20191104T03Z,1077,1435,2679,0.0,760,0,0
20191104T02Z,995,1530,2679,0.0,767,0,0
20191104T01Z,909,1416,2677,0.0,730,0,0
20191104T00Z,974,1156,2681,0.0,645,41,0
20191103T23Z,728,885,2683,0.0,620,44,0
20191103T22Z,634,854,2679,0.0,604,395,0
20191103T21Z,299,852,2683,0.0,565,1247,-1
20191103T20Z,204,824,2685,0.0,550,1819,0
20191103T19Z,206,820,2682,0.0,539,2139,0
20191103T18Z,219,802,2696,0.0,552,2257,0
20191103T17Z,266,824,2683,0.0,588,2278,0
20191103T16Z,313,785,2681,0.0,586,2202,0
20191103T15Z,633,846,2685,0.0,598,1917,0
20191103T14Z,800,1430,2679,0.0,615,1349,-1
20191103T13Z,876,1532,2678,0.0,625,460,0
20191103T12Z,825,1521,2680,0.0,622,49,0
20191103T11Z,779,1504,2679,0.0,652,0,0
20191103T10Z,671,1516,2676,0.0,645,0,0
20191103T09Z,506,1511,2679,0.0,639,0,0
20191103T08Z,431,1472,2679,0.0,632,0,0
20191103T07Z,362,1456,2678,0.0,621,0,-1
20191103T06Z,284,1413,2679,0.0,615,0,0
20191103T05Z,275,1401,2678,0.0,621,0,0
20191103T04Z,295,1420,2676,0.0,613,0,0
20191103T03Z,443,1364,2676,0.0,613,0,0
20191103T02Z,561,1484,2675,0.0,617,0,0
20191103T01Z,664,1528,2677,0.0,621,0,-1
20191103T00Z,667,1605,2676,0.0,578,41,0
20191102T23Z,671,1315,2675,0.0,523,47,0
20191102T22Z,516,1113,2680,0.0,517,381,0
20191102T21Z,255,789,2676,0.0,512,1108,0
20191102T20Z,224,731,2680,0.0,516,1621,0
20191102T19Z,226,711,2679,0.0,509,1886,0
20191102T18Z,233,708,2680,0.0,508,2125,0
20191102T17Z,499,593,2683,0.0,475,2153,-1
20191102T16Z,664,623,2680,0.0,482,2062,0
20191102T15Z,664,710,2679,0.0,522,1728,0
20191102T14Z,665,809,2679,0.0,548,1244,0
20191102T13Z,664,1106,2679,0.0,552,435,0
20191102T12Z,663,1188,2675,0.0,551,46,0
20191102T11Z,665,1150,2676,0.0,589,0,0
20191102T10Z,666,1151,2675,0.0,587,0,-1
20191102T09Z,650,1113,2675,0.0,616,0,0
20191102T08Z,475,1290,2676,0.0,649,0,0
20191102T07Z,359,1510,2674,0.0,661,0,0
20191102T06Z,323,1679,2673,0.0,666,0,0
20191102T05Z,244,1825,2676,0.0,650,0,0
20191102T04Z,239,2157,2673,0.0,665,0,-1
20191102T03Z,368,2311,2677,0.0,670,0,0
20191102T02Z,462,2367,2671,0.0,673,0,0
20191102T01Z,516,2331,2672,0.0,666,0,0
20191102T00Z,672,2228,2668,0.0,628,41,0
20191101T23Z,680,2208,2668,0.0,627,49,0
20191101T22Z,642,1791,2675,0.0,615,429,-1
20191101T21Z,426,1494,2677,0.0,562,1297,0
20191101T20Z,371,1255,2677,0.0,549,1860,0
20191101T19Z,370,1223,2672,0.0,530,2166,0
20191101T18Z,372,1221,2676,0.0,548,2285,0
20191101T17Z,370,1248,2674,0.0,548,2290,0
20191101T16Z,367,1286,2671,0.0,559,2230,-1
20191101T15Z,432,1572,2671,0.0,573,1925,0
20191101T14Z,531,1698,2668,0.0,611,1356,0
20191101T13Z,654,1861,2671,0.0,600,463,0
20191101T12Z,672,2033,2668,0.0,587,32,0
20191101T11Z,660,1620,2669,0.0,586,0,0
20191101T10Z,539,1476,2666,0.0,547,0,0
20191101T09Z,332,1428,2668,0.0,538,0,0
20191101T08Z,254,1319,2668,0.0,532,0,-1
20191101T07Z,398,1181,2669,0.0,566,0,0
20191101T06Z,619,1230,2664,0.0,580,0,0
20191101T05Z,687,1276,2665,-7.0,586,0,0
20191101T04Z,695,1571,2659,0.0,581,0,0
20191101T03Z,697,2109,2667,0.0,587,0,0
20191101T02Z,697,2153,2668,0.0,594,0,0
20191101T01Z,696,2163,2661,0.0,590,0,0
20191101T00Z,697,2131,2663,0.0,567,21,0
20191031T23Z,696,2108,2668,0.0,565,17,0
20191031T22Z,699,2101,2668,0.0,569,183,-1
20191031T21Z,697,2112,2669,0.0,571,578,0
20191031T20Z,696,2130,2670,0.0,565,895,0
20191031T19Z,698,2142,2672,0.0,559,1074,0
20191031T18Z,698,2157,2669,0.0,564,1077,0
20191031T17Z,699,2160,2672,0.0,569,946,0
20191031T16Z,699,2134,2676,0.0,569,731,0
20191031T15Z,701,2133,2671,0.0,570,539,0
20191031T14Z,700,2226,2668,0.0,572,370,-1
20191031T13Z,701,2221,2668,0.0,577,152,0
20191031T12Z,694,1985,2671,0.0,574,30,0
20191031T11Z,637,1561,2668,-1.0,602,0,0
20191031T10Z,624,970,2667,0.0,601,0,0
20191031T09Z,635,906,2669,-1.0,586,0,0
20191031T08Z,634,908,2667,-1.0,586,0,0
20191031T07Z,622,906,2666,0.0,585,0,0
20191031T06Z,617,857,2670,-2.0,572,0,0
20191031T05Z,698,883,2670,0.0,586,0,-1
20191031T04Z,691,1542,2669,0.0,602,0,0
20191031T03Z,688,2140,2665,0.0,632,0,0
20191031T02Z,682,2212,2665,0.0,639,0,0
20191031T01Z,683,2360,2663,0.0,642,0,0
20191031T00Z,685,2377,2662,0.0,615,26,0
20191030T23Z,683,2375,2662,0.0,615,27,0
20191030T22Z,681,2298,2664,0.0,619,93,0
20191030T21Z,683,2063,2665,0.0,622,229,0
20191030T20Z,686,1896,2667,0.0,617,365,0
