,natural gas,solar,hydro
20190718T23Z,472,2,
20190718T22Z,469,6,
20190718T21Z,486,7,
20190718T20Z,528,8,
20190718T19Z,526,10,
20190718T18Z,526,15,
20190718T17Z,499,15,
20190718T16Z,465,16,
20190718T15Z,426,12,
20190718T14Z,402,8,
20190718T13Z,374,3,
20190718T12Z,351,1,
20190718T11Z,320,0,
20190718T10Z,299,0,
20190718T09Z,291,0,
20190718T08Z,295,0,
20190718T07Z,314,0,
20190718T06Z,347,0,
20190718T05Z,370,0,
20190718T04Z,405,0,
20190718T03Z,436,0,
20190718T02Z,449,0,
20190718T01Z,454,0,
20190718T00Z,470,2,
20190717T23Z,485,2,
20190717T22Z,507,3,
20190717T21Z,514,3,
20190717T20Z,532,2,
20190717T19Z,554,6,
20190717T18Z,531,10,
20190717T17Z,511,11,
20190717T16Z,471,15,
20190717T15Z,441,12,
20190717T14Z,405,8,
20190717T13Z,384,4,
20190717T12Z,354,1,
20190717T11Z,322,0,
20190717T10Z,303,0,
20190717T09Z,294,0,
20190717T08Z,297,0,
20190717T07Z,317,0,
20190717T06Z,352,0,
20190717T05Z,380,0,
20190717T04Z,422,0,
20190717T03Z,457,0,
20190717T02Z,493,0,
20190717T01Z,503,0,
20190717T00Z,523,1,
20190716T23Z,530,3,
20190716T22Z,545,7,
20190716T21Z,556,11,
20190716T20Z,562,15,
20190716T19Z,554,14,
20190716T18Z,535,16,
20190716T17Z,503,16,
20190716T16Z,464,17,
20190716T15Z,433,14,
20190716T14Z,386,9,
20190716T13Z,370,4,
20190716T12Z,346,1,
20190716T11Z,319,0,
20190716T10Z,298,0,
20190716T09Z,290,0,
20190716T08Z,294,0,
20190716T07Z,305,0,
20190716T06Z,323,0,
20190716T05Z,347,0,
20190716T04Z,388,0,
20190716T03Z,422,0,
20190716T02Z,471,0,
20190716T01Z,490,0,
20190716T00Z,521,1,
20190715T23Z,553,3,
20190715T22Z,560,10,
20190715T21Z,550,15,
20190715T20Z,535,18,
20190715T19Z,523,18,
20190715T18Z,501,18,
20190715T17Z,469,19,
20190715T16Z,433,17,
20190715T15Z,395,14,
20190715T14Z,364,9,
20190715T13Z,338,4,
20190715T12Z,320,1,
20190715T11Z,304,0,
20190715T10Z,284,0,
20190715T09Z,276,0,
20190715T08Z,277,0,
20190715T07Z,287,0,
20190715T06Z,304,0,
20190715T05Z,329,0,
20190715T04Z,362,0,
20190715T03Z,399,0,
20190715T02Z,436,0,
20190715T01Z,451,0,
20190715T00Z,472,2,
20190714T23Z,482,6,
20190714T22Z,488,10,
20190714T21Z,489,14,
20190714T20Z,485,17,
20190714T19Z,477,18,
20190714T18Z,455,18,
20190714T17Z,436,12,
20190714T16Z,396,16,
20190714T15Z,358,13,
20190714T14Z,320,10,
20190714T13Z,290,4,
20190714T12Z,271,1,
20190714T11Z,268,0,
20190714T10Z,268,0,
20190714T09Z,272,0,
20190714T08Z,279,0,
20190714T07Z,292,0,
20190714T06Z,309,0,
20190714T05Z,334,0,
20190714T04Z,362,0,
20190714T03Z,394,0,
20190714T02Z,424,0,
20190714T01Z,438,0,
20190714T00Z,448,3,
20190713T23Z,462,5,
20190713T22Z,468,10,
20190713T21Z,459,13,
20190713T20Z,451,15,
20190713T19Z,438,17,
20190713T18Z,418,16,
20190713T17Z,403,13,
20190713T16Z,374,14,
20190713T15Z,344,10,
20190713T14Z,305,8,
20190713T13Z,272,4,
20190713T12Z,273,1,
20190713T11Z,269,0,
20190713T10Z,262,0,
20190713T09Z,260,0,
20190713T08Z,264,0,
20190713T07Z,272,0,
20190713T06Z,274,0,
20190713T05Z,308,0,
20190713T04Z,320,0,
20190713T03Z,344,0,
20190713T02Z,353,0,
20190713T01Z,357,0,
20190713T00Z,348,1,
20190712T23Z,352,3,
20190712T22Z,367,4,
20190712T21Z,386,2,
20190712T20Z,412,1,
20190712T19Z,426,3,
20190712T18Z,456,13,
20190712T17Z,415,17,
20190712T16Z,413,12,
20190712T15Z,381,12,
20190712T14Z,356,6,
20190712T13Z,346,2,
20190712T12Z,318,1,
20190712T11Z,304,0,
20190712T10Z,285,0,
20190712T09Z,275,0,
20190712T08Z,279,0,
20190712T07Z,290,0,
20190712T06Z,305,0,
20190712T05Z,327,0,
20190712T04Z,358,0,
20190712T03Z,396,0,
20190712T02Z,434,0,
20190712T01Z,459,0,
20190712T00Z,466,2,
20190711T23Z,468,6,
20190711T22Z,481,8,
20190711T21Z,477,13,
20190711T20Z,469,15,
20190711T19Z,467,12,
20190711T18Z,483,9,
20190711T17Z,459,11,
20190711T16Z,422,14,
20190711T15Z,395,13,
20190711T14Z,368,9,
20190711T13Z,348,3,
20190711T12Z,330,1,
20190711T11Z,298,0,
20190711T10Z,276,0,
20190711T09Z,266,0,
20190711T08Z,268,0,
20190711T07Z,276,0,
20190711T06Z,305,0,
20190711T05Z,317,0,
20190711T04Z,339,0,
20190711T03Z,375,0,
20190711T02Z,396,0,
20190711T01Z,400,0,
20190711T00Z,409,1,
20190710T23Z,416,1,
20190710T22Z,434,3,
20190710T21Z,452,11,
20190710T20Z,463,10,
20190710T19Z,457,9,
20190710T18Z,471,3,
20190710T17Z,458,13,
20190710T16Z,428,13,
20190710T15Z,408,11,
20190710T14Z,378,9,
20190710T13Z,359,5,
20190710T12Z,350,1,
20190710T11Z,322,0,
20190710T10Z,299,0,
20190710T09Z,285,0,
20190710T08Z,283,0,
20190710T07Z,297,0,
20190710T06Z,315,0,
20190710T05Z,331,0,
20190710T04Z,354,0,
20190710T03Z,370,0,
20190710T02Z,415,0,
20190710T01Z,438,0,
20190710T00Z,444,1,
20190709T23Z,447,1,
20190709T22Z,470,1,
20190709T21Z,449,2,
20190709T20Z,528,3,
20190709T19Z,524,13,
20190709T18Z,497,12,
20190709T17Z,482,10,
20190709T16Z,455,13,
20190709T15Z,418,13,
20190709T14Z,382,9,
20190709T13Z,355,4,
20190709T12Z,331,1,
20190709T11Z,302,0,
20190709T10Z,279,0,
20190709T09Z,269,0,
20190709T08Z,272,0,
20190709T07Z,283,0,
20190709T06Z,299,0,
20190709T05Z,319,0,
20190709T04Z,361,0,
20190709T03Z,396,0,
20190709T02Z,427,0,
20190709T01Z,431,0,
20190709T00Z,451,0,
20190708T23Z,480,1,
20190708T22Z,507,2,
20190708T21Z,517,8,
20190708T20Z,504,14,
20190708T19Z,491,16,
20190708T18Z,464,18,
20190708T17Z,437,17,
20190708T16Z,412,13,
20190708T15Z,377,15,
20190708T14Z,348,10,
20190708T13Z,327,4,
20190708T12Z,322,1,
20190708T11Z,304,0,
20190708T10Z,285,0,
20190708T09Z,275,0,
20190708T08Z,275,0,
20190708T07Z,283,0,
20190708T06Z,281,0,
20190708T05Z,302,0,
20190708T04Z,329,0,
20190708T03Z,366,0,
20190708T02Z,404,0,
20190708T01Z,410,0,
20190708T00Z,421,2,
20190707T23Z,431,5,
20190707T22Z,436,6,
20190707T21Z,442,5,
20190707T20Z,475,4,
20190707T19Z,479,13,
20190707T18Z,458,14,
20190707T17Z,420,17,
20190707T16Z,377,16,
20190707T15Z,337,13,
20190707T14Z,297,9,
20190707T13Z,268,4,
20190707T12Z,272,1,
20190707T11Z,268,0,
20190707T10Z,265,0,
20190707T09Z,263,0,
20190707T08Z,269,0,
20190707T07Z,275,0,
20190707T06Z,267,0,
20190707T05Z,270,0,
20190707T04Z,289,0,
20190707T03Z,311,0,
20190707T02Z,331,0,
20190707T01Z,329,0,
20190707T00Z,323,1,
20190706T23Z,325,1,
20190706T22Z,329,0,
20190706T21Z,331,0,
20190706T20Z,335,0,
20190706T19Z,367,4,
20190706T18Z,399,9,
20190706T17Z,369,12,
20190706T16Z,350,7,
20190706T15Z,339,5,
20190706T14Z,314,3,
20190706T13Z,289,2,
20190706T12Z,276,0,
20190706T11Z,273,0,
20190706T10Z,270,0,
20190706T09Z,270,0,
20190706T08Z,278,0,
20190706T07Z,288,0,
20190706T06Z,303,0,
20190706T05Z,320,0,
20190706T04Z,337,0,
20190706T03Z,382,0,
20190706T02Z,417,0,
20190706T01Z,427,0,
20190706T00Z,434,1,
20190705T23Z,460,6,
20190705T22Z,495,10,
20190705T21Z,498,14,
20190705T20Z,474,13,
20190705T19Z,454,10,
20190705T18Z,455,8,
20190705T17Z,453,8,
20190705T16Z,423,12,
20190705T15Z,379,13,
20190705T14Z,349,8,
20190705T13Z,318,5,
20190705T12Z,300,1,
20190705T11Z,292,0,
20190705T10Z,280,0,
20190705T09Z,277,0,
20190705T08Z,281,0,
20190705T07Z,291,0,
20190705T06Z,305,0,
20190705T05Z,329,0,
20190705T04Z,357,0,
20190705T03Z,382,0,
20190705T02Z,413,0,
20190705T01Z,432,0,
20190705T00Z,463,1,
20190704T23Z,513,5,
20190704T22Z,540,8,
20190704T21Z,543,10,
20190704T20Z,539,8,
20190704T19Z,517,13,
20190704T18Z,490,14,
20190704T17Z,454,16,
20190704T16Z,422,15,
20190704T15Z,383,13,
20190704T14Z,348,9,
20190704T13Z,310,4,
20190704T12Z,287,1,
20190704T11Z,284,0,
20190704T10Z,283,0,
20190704T09Z,284,0,
20190704T08Z,291,0,
20190704T07Z,304,0,
20190704T06Z,321,0,
20190704T05Z,345,0,
20190704T04Z,372,0,
20190704T03Z,405,0,
20190704T02Z,436,0,
20190704T01Z,451,0,
20190704T00Z,476,0,
20190703T23Z,497,2,
20190703T22Z,517,8,
20190703T21Z,522,12,
20190703T20Z,536,4,
20190703T19Z,560,7,
20190703T18Z,526,14,
20190703T17Z,498,16,
20190703T16Z,460,15,
20190703T15Z,415,13,
20190703T14Z,381,8,
20190703T13Z,348,4,
20190703T12Z,328,1,
20190703T11Z,311,0,
20190703T10Z,294,0,
20190703T09Z,286,0,
20190703T08Z,289,0,
20190703T07Z,299,0,
20190703T06Z,319,0,
20190703T05Z,345,0,
20190703T04Z,380,0,
20190703T03Z,420,0,
20190703T02Z,454,0,
20190703T01Z,477,0,
20190703T00Z,501,0,
20190702T23Z,525,1,
20190702T22Z,556,3,
20190702T21Z,569,7,
20190702T20Z,563,10,
20190702T19Z,548,14,
20190702T18Z,532,12,
20190702T17Z,503,13,
20190702T16Z,462,15,
20190702T15Z,431,12,
20190702T14Z,401,9,
20190702T13Z,366,4,
20190702T12Z,336,1,
20190702T11Z,320,0,
20190702T10Z,305,0,
20190702T09Z,302,0,
20190702T08Z,307,0,
20190702T07Z,320,0,
20190702T06Z,338,0,
20190702T05Z,362,0,
20190702T04Z,397,0,
20190702T03Z,441,0,
20190702T02Z,477,0,
20190702T01Z,494,0,
20190702T00Z,516,2,
20190701T23Z,538,5,
20190701T22Z,543,9,
20190701T21Z,548,13,
20190701T20Z,536,15,
20190701T19Z,531,14,
20190701T18Z,522,12,
20190701T17Z,496,16,
20190701T16Z,446,15,
20190701T15Z,407,13,
20190701T14Z,376,9,
20190701T13Z,349,4,
20190701T12Z,325,1,
20190701T11Z,307,0,
20190701T10Z,287,0,
20190701T09Z,278,0,
20190701T08Z,279,0,
20190701T07Z,288,0,
20190701T06Z,304,0,
20190701T05Z,330,0,
20190701T04Z,363,0,
20190701T03Z,403,0,
20190701T02Z,433,0,
20190701T01Z,444,1,
20190701T00Z,468,2,
20190630T23Z,483,5,
20190630T22Z,485,6,
20190630T21Z,470,10,
20190630T20Z,452,12,
20190630T19Z,438,12,
20190630T18Z,423,12,
20190630T17Z,401,11,
20190630T16Z,369,12,
20190630T15Z,334,11,
20190630T14Z,295,9,
20190630T13Z,264,4,
20190630T12Z,262,1,
20190630T11Z,260,0,
20190630T10Z,260,0,
20190630T09Z,260,0,
20190630T08Z,251,0,
20190630T07Z,256,0,
20190630T06Z,271,0,
20190630T05Z,290,0,
20190630T04Z,318,0,
20190630T03Z,348,0,
20190630T02Z,377,0,
20190630T01Z,394,0,
20190630T00Z,418,1,
20190629T23Z,441,3,
20190629T22Z,438,10,
20190629T21Z,382,13,
20190629T20Z,384,7,
20190629T19Z,358,11,
20190629T18Z,319,15,
20190629T17Z,293,11,
20190629T16Z,305,5,
20190629T15Z,318,3,
20190629T14Z,299,2,
20190629T13Z,281,1,
20190629T12Z,258,1,
20190629T11Z,253,0,
20190629T10Z,254,0,
20190629T09Z,239,0,
20190629T08Z,259,0,
20190629T07Z,269,0,
20190629T06Z,286,0,
20190629T05Z,309,0,
20190629T04Z,350,0,
20190629T03Z,388,0,
20190629T02Z,417,0,
20190629T01Z,433,0,
20190629T00Z,453,2,
20190628T23Z,474,4,
20190628T22Z,492,5,
20190628T21Z,507,6,
20190628T20Z,515,8,
20190628T19Z,504,14,
20190628T18Z,478,16,
20190628T17Z,461,12,
20190628T16Z,421,14,
20190628T15Z,383,14,
20190628T14Z,360,10,
20190628T13Z,329,5,
20190628T12Z,304,1,
20190628T11Z,283,0,
20190628T10Z,272,0,
20190628T09Z,268,0,
20190628T08Z,269,0,
20190628T07Z,275,0,
20190628T06Z,290,0,
20190628T05Z,314,0,
20190628T04Z,343,0,
20190628T03Z,377,0,
20190628T02Z,412,0,
20190628T01Z,421,0,
20190628T00Z,447,1,
20190627T23Z,459,2,
20190627T22Z,469,2,
20190627T21Z,466,10,
20190627T20Z,452,15,
20190627T19Z,471,6,
20190627T18Z,476,14,
20190627T17Z,458,19,
20190627T16Z,423,18,
20190627T15Z,378,15,
20190627T14Z,355,8,
20190627T13Z,335,4,
20190627T12Z,323,1,
20190627T11Z,312,0,
20190627T10Z,293,0,
20190627T09Z,285,0,
20190627T08Z,286,0,
20190627T07Z,297,0,
20190627T06Z,315,0,
20190627T05Z,340,0,
20190627T04Z,375,0,
20190627T03Z,413,0,
20190627T02Z,456,0,
20190627T01Z,478,0,
20190627T00Z,509,2,
20190626T23Z,541,6,
20190626T22Z,549,11,
20190626T21Z,538,15,
20190626T20Z,537,16,
20190626T19Z,517,16,
20190626T18Z,495,19,
20190626T17Z,474,16,
20190626T16Z,447,16,
20190626T15Z,410,15,
20190626T14Z,377,10,
20190626T13Z,349,5,
20190626T12Z,326,1,
20190626T11Z,307,0,
20190626T10Z,289,0,
20190626T09Z,282,0,
20190626T08Z,287,0,
20190626T07Z,297,0,
20190626T06Z,312,0,
20190626T05Z,338,0,
20190626T04Z,371,0,
20190626T03Z,409,0,
20190626T02Z,449,0,
20190626T01Z,477,0,
20190626T00Z,503,1,
20190625T23Z,530,1,
20190625T22Z,545,6,
20190625T21Z,551,8,
20190625T20Z,549,15,
20190625T19Z,535,14,
20190625T18Z,509,16,
20190625T17Z,479,16,
20190625T16Z,450,15,
20190625T15Z,421,11,
20190625T14Z,391,9,
20190625T13Z,371,5,
20190625T12Z,353,1,
20190625T11Z,334,0,
20190625T10Z,313,0,
20190625T09Z,304,0,
20190625T08Z,306,0,
20190625T07Z,316,0,
20190625T06Z,334,0,
20190625T05Z,356,0,
20190625T04Z,388,0,
20190625T03Z,422,0,
20190625T02Z,454,0,
20190625T01Z,464,0,
20190625T00Z,498,2,
20190624T23Z,548,5,
20190624T22Z,551,10,
20190624T21Z,551,15,
20190624T20Z,539,17,
20190624T19Z,523,18,
20190624T18Z,506,14,
20190624T17Z,473,16,
20190624T16Z,438,15,
20190624T15Z,403,12,
20190624T14Z,372,8,
20190624T13Z,342,4,
20190624T12Z,320,1,
20190624T11Z,299,0,
20190624T10Z,278,0,
20190624T09Z,271,0,
20190624T08Z,272,0,
20190624T07Z,279,0,
20190624T06Z,294,0,
20190624T05Z,317,0,
20190624T04Z,345,0,
20190624T03Z,379,0,
20190624T02Z,410,0,
20190624T01Z,422,1,
20190624T00Z,462,1,
20190623T23Z,515,4,
20190623T22Z,525,8,
20190623T21Z,518,13,
20190623T20Z,506,14,
20190623T19Z,487,15,
20190623T18Z,460,15,
20190623T17Z,429,15,
20190623T16Z,391,16,
20190623T15Z,356,12,
20190623T14Z,314,9,
20190623T13Z,277,4,
20190623T12Z,253,1,
20190623T11Z,251,0,
20190623T10Z,252,0,
20190623T09Z,252,0,
20190623T08Z,256,0,
20190623T07Z,269,0,
20190623T06Z,288,0,
20190623T05Z,307,0,
20190623T04Z,332,0,
20190623T03Z,356,0,
20190623T02Z,378,0,
20190623T01Z,321,0,
20190623T00Z,322,2,
20190622T23Z,283,5,
20190622T22Z,325,0,
20190622T21Z,368,4,
20190622T20Z,375,14,
20190622T19Z,362,12,
20190622T18Z,340,18,
20190622T17Z,341,8,
20190622T16Z,335,12,
20190622T15Z,315,9,
20190622T14Z,319,8,
20190622T13Z,322,5,
20190622T12Z,298,1,
20190622T11Z,282,0,
20190622T10Z,290,0,
20190622T09Z,293,0,
20190622T08Z,302,0,
20190622T07Z,318,0,
20190622T06Z,340,0,
20190622T05Z,365,0,
20190622T04Z,412,0,
20190622T03Z,446,0,
20190622T02Z,481,0,
20190622T01Z,499,0,
20190622T00Z,514,2,
20190621T23Z,537,6,
20190621T22Z,550,9,
20190621T21Z,535,15,
20190621T20Z,541,18,
20190621T19Z,531,17,
20190621T18Z,508,16,
20190621T17Z,505,7,
20190621T16Z,452,14,
20190621T15Z,435,13,
20190621T14Z,398,7,
20190621T13Z,371,4,
20190621T12Z,349,1,
20190621T11Z,326,0,
20190621T10Z,306,0,
20190621T09Z,297,0,
20190621T08Z,300,0,
20190621T07Z,308,0,
20190621T06Z,334,0,
20190621T05Z,360,0,
20190621T04Z,379,0,
20190621T03Z,413,0,
20190621T02Z,449,0,
20190621T01Z,468,0,
20190621T00Z,481,1,
20190620T23Z,498,6,
20190620T22Z,503,9,
20190620T21Z,510,10,
20190620T20Z,512,16,
20190620T19Z,489,15,
20190620T18Z,455,18,
20190620T17Z,425,13,
20190620T16Z,405,11,
20190620T15Z,398,6,
20190620T14Z,376,7,
20190620T13Z,351,5,
20190620T12Z,355,1,
20190620T11Z,309,0,
20190620T10Z,283,0,
20190620T09Z,269,0,
20190620T08Z,268,0,
20190620T07Z,275,0,
20190620T06Z,290,0,
20190620T05Z,311,0,
20190620T04Z,358,0,
20190620T03Z,374,0,
20190620T02Z,407,0,
20190620T01Z,423,0,
20190620T00Z,439,2,
20190619T23Z,442,4,
20190619T22Z,445,8,
20190619T21Z,414,16,
20190619T20Z,390,12,
20190619T19Z,436,2,
20190619T18Z,419,13,
20190619T17Z,375,17,
20190619T16Z,365,7,
20190619T15Z,362,1,
20190619T14Z,360,9,
20190619T13Z,332,4,
20190619T12Z,314,1,
20190619T11Z,294,0,
20190619T10Z,271,0,
20190619T09Z,263,0,
20190619T08Z,261,0,
20190619T07Z,268,0,
20190619T06Z,285,0,
20190619T05Z,304,0,
20190619T04Z,316,0,
20190619T03Z,335,0,
20190619T02Z,364,0,
20190619T01Z,369,0,
20190619T00Z,379,1,
20190618T23Z,396,1,
20190618T22Z,427,0,
20190618T21Z,444,8,
20190618T20Z,438,14,
20190618T19Z,473,8,
20190618T18Z,471,12,
20190618T17Z,442,14,
20190618T16Z,421,12,
20190618T15Z,370,15,
20190618T14Z,343,9,
20190618T13Z,322,4,
20190618T12Z,311,1,
20190618T11Z,283,0,
20190618T10Z,284,0,
20190618T09Z,273,0,
20190618T08Z,275,0,
20190618T07Z,283,0,
20190618T06Z,296,0,
20190618T05Z,291,0,
20190618T04Z,345,0,
20190618T03Z,355,0,
20190618T02Z,382,0,
20190618T01Z,405,0,
20190618T00Z,415,2,
20190617T23Z,428,4,
20190617T22Z,432,5,
20190617T21Z,440,5,
20190617T20Z,427,7,
20190617T19Z,409,10,
20190617T18Z,381,14,
20190617T17Z,391,5,
20190617T16Z,382,10,
20190617T15Z,379,2,
20190617T14Z,351,7,
20190617T13Z,323,6,
20190617T12Z,304,1,
20190617T11Z,309,0,
20190617T10Z,291,0,
20190617T09Z,284,0,
20190617T08Z,286,0,
20190617T07Z,297,0,
20190617T06Z,315,0,
20190617T05Z,339,0,
20190617T04Z,387,0,
20190617T03Z,389,0,
20190617T02Z,431,0,
20190617T01Z,447,0,
20190617T00Z,457,2,
20190616T23Z,470,5,
20190616T22Z,470,11,
20190616T21Z,471,8,
20190616T20Z,451,16,
20190616T19Z,432,19,
20190616T18Z,434,15,
20190616T17Z,405,17,
20190616T16Z,378,12,
20190616T15Z,345,14,
20190616T14Z,314,10,
20190616T13Z,282,5,
20190616T12Z,292,1,
20190616T11Z,286,0,
20190616T10Z,288,0,
20190616T09Z,291,0,
20190616T08Z,297,0,
20190616T07Z,308,0,
20190616T06Z,326,0,
20190616T05Z,350,0,
20190616T04Z,382,0,
20190616T03Z,377,0,
20190616T02Z,405,0,
20190616T01Z,417,0,
20190616T00Z,438,1,
20190615T23Z,444,6,
20190615T22Z,444,11,
20190615T21Z,442,17,
20190615T20Z,440,12,
20190615T19Z,425,15,
20190615T18Z,408,10,
20190615T17Z,382,15,
20190615T16Z,357,16,
20190615T15Z,323,15,
20190615T14Z,292,11,
20190615T13Z,266,5,
20190615T12Z,280,2,
20190615T11Z,275,0,
20190615T10Z,271,0,
20190615T09Z,272,0,
20190615T08Z,277,0,
20190615T07Z,291,0,
20190615T06Z,314,0,
20190615T05Z,345,0,
20190615T04Z,322,0,
20190615T03Z,344,0,
20190615T02Z,383,0,
20190615T01Z,411,0,
20190615T00Z,430,1,
20190614T23Z,444,3,
20190614T22Z,447,11,
20190614T21Z,451,12,
20190614T20Z,437,14,
20190614T19Z,441,18,
20190614T18Z,409,19,
20190614T17Z,374,19,
20190614T16Z,361,18,
20190614T15Z,342,15,
20190614T14Z,314,9,
20190614T13Z,291,4,
20190614T12Z,277,1,
20190614T11Z,259,0,
20190614T10Z,259,0,
20190614T09Z,251,0,
20190614T08Z,240,0,
20190614T07Z,243,0,
20190614T06Z,263,0,
20190614T05Z,293,0,
20190614T04Z,303,0,
20190614T03Z,335,0,
20190614T02Z,364,0,
20190614T01Z,371,0,
20190614T00Z,388,2,
20190613T23Z,405,4,
20190613T22Z,406,6,
20190613T21Z,402,7,
20190613T20Z,407,9,
20190613T19Z,402,11,
20190613T18Z,392,10,
20190613T17Z,403,4,
20190613T16Z,394,2,
20190613T15Z,373,2,
20190613T14Z,350,1,
20190613T13Z,330,1,
20190613T12Z,304,0,
20190613T11Z,275,0,
20190613T10Z,255,0,
20190613T09Z,252,0,
20190613T08Z,252,0,
20190613T07Z,260,0,
20190613T06Z,278,0,
20190613T05Z,295,0,
20190613T04Z,322,0,
20190613T03Z,358,0,
20190613T02Z,375,0,
20190613T01Z,384,0,
20190613T00Z,395,0,
20190612T23Z,403,0,
20190612T22Z,408,1,
20190612T21Z,385,1,
20190612T20Z,393,1,
20190612T19Z,407,1,
20190612T18Z,415,10,
20190612T17Z,393,11,
20190612T16Z,403,10,
20190612T15Z,369,9,
20190612T14Z,339,6,
20190612T13Z,323,2,
20190612T12Z,312,2,
20190612T11Z,288,0,
20190612T10Z,260,0,
20190612T09Z,253,0,
20190612T08Z,252,0,
20190612T07Z,258,0,
20190612T06Z,275,0,
20190612T05Z,300,0,
20190612T04Z,320,0,
20190612T03Z,351,0,
20190612T02Z,384,0,
20190612T01Z,390,0,
20190612T00Z,389,1,
20190611T23Z,405,1,
20190611T22Z,429,2,
20190611T21Z,436,4,
20190611T20Z,463,7,
20190611T19Z,483,5,
20190611T18Z,454,14,
20190611T17Z,417,17,
20190611T16Z,380,16,
20190611T15Z,355,9,
20190611T14Z,341,6,
20190611T13Z,320,4,
20190611T12Z,309,1,
20190611T11Z,279,0,
20190611T10Z,274,0,
20190611T09Z,263,0,
20190611T08Z,246,0,
20190611T07Z,252,0,
20190611T06Z,265,0,
20190611T05Z,286,0,
20190611T04Z,342,0,
20190611T03Z,345,0,
20190611T02Z,380,0,
20190611T01Z,376,0,
20190611T00Z,398,1,
20190610T23Z,414,1,
20190610T22Z,440,5,
20190610T21Z,494,5,
20190610T20Z,486,12,
20190610T19Z,460,15,
20190610T18Z,431,14,
20190610T17Z,441,4,
20190610T16Z,418,9,
20190610T15Z,387,9,
20190610T14Z,355,8,
20190610T13Z,328,4,
20190610T12Z,311,1,
20190610T11Z,338,0,
20190610T10Z,315,0,
20190610T09Z,290,0,
20190610T08Z,288,0,
20190610T07Z,295,0,
20190610T06Z,307,0,
20190610T05Z,325,0,
20190610T04Z,340,0,
20190610T03Z,349,0,
20190610T02Z,369,0,
20190610T01Z,377,0,
20190610T00Z,381,1,
20190609T23Z,379,6,
20190609T22Z,369,9,
20190609T21Z,359,8,
20190609T20Z,341,11,
20190609T19Z,341,8,
20190609T18Z,360,4,
20190609T17Z,370,8,
20190609T16Z,354,10,
20190609T15Z,327,12,
20190609T14Z,295,9,
20190609T13Z,268,2,
20190609T12Z,278,0,
20190609T11Z,290,0,
20190609T10Z,285,0,
20190609T09Z,284,0,
20190609T08Z,286,0,
20190609T07Z,290,0,
20190609T06Z,271,0,
20190609T05Z,283,0,
20190609T04Z,301,0,
20190609T03Z,301,0,
20190609T02Z,321,0,
20190609T01Z,323,0,
20190609T00Z,326,0,
20190608T23Z,320,1,
20190608T22Z,330,1,
20190608T21Z,346,1,
20190608T20Z,356,2,
20190608T19Z,362,5,
20190608T18Z,358,8,
20190608T17Z,356,7,
20190608T16Z,351,6,
20190608T15Z,326,9,
20190608T14Z,306,5,
20190608T13Z,282,3,
20190608T12Z,265,1,
20190608T11Z,277,0,
20190608T10Z,272,0,
20190608T09Z,271,0,
20190608T08Z,274,0,
20190608T07Z,282,0,
20190608T06Z,295,0,
20190608T05Z,314,0,
20190608T04Z,321,0,
20190608T03Z,349,0,
20190608T02Z,378,0,
20190608T01Z,397,0,
20190608T00Z,416,2,
20190607T23Z,438,1,
20190607T22Z,448,3,
20190607T21Z,456,9,
20190607T20Z,444,14,
20190607T19Z,422,14,
20190607T18Z,390,13,
20190607T17Z,407,5,
20190607T16Z,413,11,
20190607T15Z,391,7,
20190607T14Z,381,7,
20190607T13Z,355,4,
20190607T12Z,327,1,
20190607T11Z,291,0,
20190607T10Z,267,0,
20190607T09Z,258,0,
20190607T08Z,260,0,
20190607T07Z,272,0,
20190607T06Z,289,0,
20190607T05Z,312,0,
20190607T04Z,347,0,
20190607T03Z,362,0,
20190607T02Z,385,0,
20190607T01Z,385,0,
20190607T00Z,384,1,
20190606T23Z,393,1,
20190606T22Z,397,3,
20190606T21Z,391,5,
20190606T20Z,409,5,
20190606T19Z,413,6,
20190606T18Z,392,6,
20190606T17Z,399,8,
20190606T16Z,385,7,
20190606T15Z,374,6,
20190606T14Z,364,1,
20190606T13Z,355,3,
20190606T12Z,351,1,
20190606T11Z,342,0,
20190606T10Z,319,0,
20190606T09Z,310,0,
20190606T08Z,314,0,
20190606T07Z,332,0,
20190606T06Z,351,0,
20190606T05Z,375,0,
20190606T04Z,386,0,
20190606T03Z,424,0,
20190606T02Z,421,0,
20190606T01Z,446,0,
20190606T00Z,455,1,
20190605T23Z,477,3,
20190605T22Z,496,6,
20190605T21Z,489,12,
20190605T20Z,501,11,
20190605T19Z,537,15,
20190605T18Z,527,14,
20190605T17Z,501,13,
20190605T16Z,434,17,
20190605T15Z,407,15,
20190605T14Z,378,10,
20190605T13Z,388,5,
20190605T12Z,361,2,
20190605T11Z,324,0,
20190605T10Z,303,0,
20190605T09Z,296,0,
20190605T08Z,296,0,
20190605T07Z,314,0,
20190605T06Z,338,0,
20190605T05Z,362,0,
20190605T04Z,400,0,
20190605T03Z,391,0,
20190605T02Z,428,0,
20190605T01Z,451,0,
20190605T00Z,488,2,
20190604T23Z,505,5,
20190604T22Z,505,11,
20190604T21Z,515,5,
20190604T20Z,521,9,
20190604T19Z,516,12,
20190604T18Z,501,8,
20190604T17Z,463,14,
20190604T16Z,411,16,
20190604T15Z,376,13,
20190604T14Z,344,9,
20190604T13Z,319,4,
20190604T12Z,298,1,
20190604T11Z,313,0,
20190604T10Z,293,0,
20190604T09Z,286,0,
20190604T08Z,294,0,
20190604T07Z,300,0,
20190604T06Z,321,0,
20190604T05Z,346,0,
