,coal,natural gas,other,hydro
20190728T19Z,181,737,4,0
20190728T18Z,187,719,4,0
20190728T17Z,160,633,4,0
20190728T16Z,136,581,4,0
20190728T15Z,136,534,4,0
20190728T14Z,137,460,4,0
20190728T13Z,136,360,4,0
20190728T12Z,137,352,4,0
20190728T11Z,137,353,4,0
20190728T10Z,135,353,4,0
20190728T09Z,134,354,4,0
20190728T08Z,138,356,4,0
20190728T07Z,135,365,4,0
20190728T06Z,137,446,4,0
20190728T05Z,134,508,4,0
20190728T04Z,138,551,4,0
20190728T03Z,141,634,4,0
20190728T02Z,182,644,4,0
20190728T01Z,205,631,4,0
20190728T00Z,208,644,4,0
20190727T23Z,209,643,4,0
20190727T22Z,209,638,4,0
20190727T21Z,207,639,4,0
20190727T20Z,209,640,4,0
20190727T19Z,208,641,4,0
20190727T18Z,189,642,4,0
20190727T17Z,165,598,4,0
20190727T16Z,137,562,4,0
20190727T15Z,135,518,4,0
20190727T14Z,137,479,4,0
20190727T13Z,135,307,4,0
20190727T12Z,136,218,4,0
20190727T11Z,137,191,4,0
20190727T10Z,137,231,4,0
20190727T09Z,133,223,4,0
20190727T08Z,136,240,4,0
20190727T07Z,137,242,4,0
20190727T06Z,135,337,4,0
20190727T05Z,135,518,4,0
20190727T04Z,186,533,4,0
20190727T03Z,206,519,4,0
20190727T02Z,206,527,4,0
20190727T01Z,208,538,4,0
20190727T00Z,205,558,4,0
20190726T23Z,204,557,4,0
20190726T22Z,207,555,4,0
20190726T21Z,206,556,4,0
20190726T20Z,205,554,4,0
20190726T19Z,207,554,4,0
20190726T18Z,207,543,4,0
20190726T17Z,201,510,4,0
20190726T16Z,182,386,4,0
20190726T15Z,131,334,4,0
20190726T14Z,113,284,4,0
20190726T13Z,131,212,4,0
20190726T12Z,127,225,4,0
20190726T11Z,133,253,4,0
20190726T10Z,132,247,4,0
20190726T09Z,131,235,4,0
20190726T08Z,130,227,4,0
20190726T07Z,132,227,4,0
20190726T06Z,131,248,4,0
20190726T05Z,132,362,4,0
20190726T04Z,130,480,4,0
20190726T03Z,167,507,4,0
20190726T02Z,182,551,4,0
20190726T01Z,195,554,4,0
20190726T00Z,194,551,4,0
20190725T23Z,213,555,4,0
20190725T22Z,210,552,4,0
20190725T21Z,210,554,4,0
20190725T20Z,212,554,4,0
20190725T19Z,209,553,3,0
20190725T18Z,211,534,4,0
20190725T17Z,214,452,4,0
20190725T16Z,193,368,4,0
20190725T15Z,176,290,4,0
20190725T14Z,178,251,4,0
20190725T13Z,178,224,4,0
20190725T12Z,159,234,4,0
20190725T11Z,125,239,4,0
20190725T10Z,128,220,4,0
20190725T09Z,127,222,4,0
20190725T08Z,129,233,4,0
20190725T07Z,125,205,4,0
20190725T06Z,126,228,4,0
20190725T05Z,128,381,4,0
20190725T04Z,156,468,4,0
20190725T03Z,189,476,4,0
20190725T02Z,189,473,4,0
20190725T01Z,203,470,4,0
20190725T00Z,207,476,4,0
20190724T23Z,207,477,4,0
20190724T22Z,208,476,4,0
20190724T21Z,206,477,4,0
20190724T20Z,207,477,4,0
20190724T19Z,208,453,4,0
20190724T18Z,202,381,4,0
20190724T17Z,172,381,3,0
20190724T16Z,171,380,3,0
20190724T15Z,173,360,3,0
20190724T14Z,173,347,4,0
20190724T13Z,173,356,4,0
20190724T12Z,175,353,4,1
20190724T11Z,139,295,4,0
20190724T10Z,130,292,4,0
20190724T09Z,126,292,4,0
20190724T08Z,124,306,4,0
20190724T07Z,126,317,4,0
20190724T06Z,142,344,4,0
20190724T05Z,206,360,4,0
20190724T04Z,204,498,4,0
20190724T03Z,202,540,4,0
20190724T02Z,208,554,3,0
20190724T01Z,205,552,3,0
20190724T00Z,203,555,4,0
20190723T23Z,204,554,4,0
20190723T22Z,205,546,4,0
20190723T21Z,206,549,4,0
20190723T20Z,215,547,4,0
20190723T19Z,274,548,4,1
20190723T18Z,325,547,4,1
20190723T17Z,359,449,4,1
20190723T16Z,376,293,4,0
20190723T15Z,379,243,4,0
20190723T14Z,378,237,3,0
20190723T13Z,314,248,4,1
20190723T12Z,297,251,4,2
20190723T11Z,277,251,4,2
20190723T10Z,325,225,4,2
20190723T09Z,342,205,4,2
20190723T08Z,342,224,4,2
20190723T07Z,371,267,4,2
20190723T06Z,393,350,4,2
20190723T05Z,393,413,4,2
20190723T04Z,421,542,4,2
20190723T03Z,424,668,4,2
20190723T02Z,427,725,4,2
20190723T01Z,423,724,4,2
20190723T00Z,426,722,4,2
20190722T23Z,424,722,4,2
20190722T22Z,429,725,4,2
20190722T21Z,427,725,4,2
20190722T20Z,423,719,4,0
20190722T19Z,424,712,3,0
20190722T18Z,422,697,4,0
20190722T17Z,412,620,4,0
20190722T16Z,371,619,4,0
20190722T15Z,278,566,4,0
20190722T14Z,276,510,4,0
20190722T13Z,278,504,4,0
20190722T12Z,276,497,4,0
20190722T11Z,280,427,4,0
20190722T10Z,279,406,4,0
20190722T09Z,276,405,4,0
20190722T08Z,276,408,4,0
20190722T07Z,279,448,4,0
20190722T06Z,277,490,4,0
20190722T05Z,277,522,4,0
20190722T04Z,291,613,4,0
20190722T03Z,381,633,4,0
20190722T02Z,431,635,4,0
20190722T01Z,433,702,4,0
20190722T00Z,433,726,4,0
20190721T23Z,432,729,4,0
20190721T22Z,433,725,4,0
20190721T21Z,421,728,4,0
20190721T20Z,424,726,4,0
20190721T19Z,421,712,4,0
20190721T18Z,402,633,4,0
20190721T17Z,376,629,4,0
20190721T16Z,352,612,4,0
20190721T15Z,266,562,4,0
20190721T14Z,268,486,4,0
20190721T13Z,268,459,4,0
20190721T12Z,267,408,4,1
20190721T11Z,267,413,4,1
20190721T10Z,268,413,4,1
20190721T09Z,268,414,4,1
20190721T08Z,267,412,4,1
20190721T07Z,268,413,4,1
20190721T06Z,270,460,4,1
20190721T05Z,268,498,4,1
20190721T04Z,268,542,4,1
20190721T03Z,267,629,4,1
20190721T02Z,303,634,4,1
20190721T01Z,360,634,4,1
20190721T00Z,426,635,4,1
20190720T23Z,404,630,4,1
20190720T22Z,366,632,4,1
20190720T21Z,365,631,4,1
20190720T20Z,430,594,4,1
20190720T19Z,430,574,4,1
20190720T18Z,434,554,4,1
20190720T17Z,428,509,3,1
20190720T16Z,344,510,4,1
20190720T15Z,277,500,3,1
20190720T14Z,276,476,4,1
20190720T13Z,277,482,3,2
20190720T12Z,277,445,4,2
20190720T11Z,279,453,3,2
20190720T10Z,277,432,4,2
20190720T09Z,280,424,4,2
20190720T08Z,275,411,3,2
20190720T07Z,279,437,4,2
20190720T06Z,277,473,3,2
20190720T05Z,280,472,4,2
20190720T04Z,278,506,3,2
20190720T03Z,275,592,4,2
20190720T02Z,278,682,4,1
20190720T01Z,299,681,4,1
20190720T00Z,355,618,4,1
20190719T23Z,364,631,4,1
20190719T22Z,365,653,4,1
20190719T21Z,416,627,4,2
20190719T20Z,436,622,4,0
20190719T19Z,435,672,4,0
20190719T18Z,437,666,4,0
20190719T17Z,434,580,4,0
20190719T16Z,439,580,4,0
20190719T15Z,414,520,4,0
20190719T14Z,351,501,4,0
20190719T13Z,287,503,4,0
20190719T12Z,282,432,4,0
20190719T11Z,281,397,4,0
20190719T10Z,284,395,4,0
20190719T09Z,281,397,4,0
20190719T08Z,285,405,4,0
20190719T07Z,282,439,4,0
20190719T06Z,283,509,4,0
20190719T05Z,282,504,4,0
20190719T04Z,280,594,4,0
20190719T03Z,282,677,4,0
20190719T02Z,279,805,4,0
20190719T01Z,335,810,4,0
20190719T00Z,365,781,4,0
20190718T23Z,365,799,4,0
20190718T22Z,400,794,4,0
20190718T21Z,437,797,4,0
20190718T20Z,434,742,4,0
20190718T19Z,440,798,4,0
20190718T18Z,436,802,4,0
20190718T17Z,425,776,4,0
20190718T16Z,347,689,4,0
20190718T15Z,289,544,4,0
20190718T14Z,284,506,4,0
20190718T13Z,278,502,4,0
20190718T12Z,270,462,4,0
20190718T11Z,252,406,4,0
20190718T10Z,247,391,4,0
20190718T09Z,231,389,4,1
20190718T08Z,164,454,4,1
20190718T07Z,132,509,4,1
20190718T06Z,126,508,4,1
20190718T05Z,129,580,4,1
20190718T04Z,128,779,4,1
20190718T03Z,162,982,4,1
20190718T02Z,168,1072,4,1
20190718T01Z,193,1066,4,1
20190718T00Z,205,1068,4,1
20190717T23Z,205,1065,4,2
20190717T22Z,208,1064,4,2
20190717T21Z,202,1069,4,2
20190717T20Z,206,1072,3,2
20190717T19Z,202,1072,3,2
20190717T18Z,197,1071,3,2
20190717T17Z,201,977,2,2
20190717T16Z,202,840,4,2
20190717T15Z,201,729,3,0
20190717T14Z,175,624,3,0
20190717T13Z,128,594,3,1
20190717T12Z,128,574,4,0
20190717T11Z,128,590,3,1
20190717T10Z,128,508,3,1
20190717T09Z,128,515,3,1
20190717T08Z,127,594,4,1
20190717T07Z,129,593,3,0
20190717T06Z,129,599,3,0
20190717T05Z,166,631,3,0
20190717T04Z,206,730,4,0
20190717T03Z,205,883,3,0
20190717T02Z,207,901,3,0
20190717T01Z,240,857,3,0
20190717T00Z,437,892,3,0
20190716T23Z,440,900,4,0
20190716T22Z,439,898,3,0
20190716T21Z,440,897,3,0
20190716T20Z,436,895,3,0
20190716T19Z,431,896,4,0
20190716T18Z,429,869,3,0
20190716T17Z,423,802,3,0
20190716T16Z,414,720,3,0
20190716T15Z,400,562,4,0
20190716T14Z,317,502,4,0
20190716T13Z,271,434,4,0
20190716T12Z,270,420,3,0
20190716T11Z,269,424,4,0
20190716T10Z,265,393,4,0
20190716T09Z,268,396,4,0
20190716T08Z,269,407,3,1
20190716T07Z,267,482,4,0
20190716T06Z,248,505,4,0
20190716T05Z,268,537,4,0
20190716T04Z,268,670,4,0
20190716T03Z,319,789,4,0
20190716T02Z,312,900,4,0
20190716T01Z,266,987,4,0
20190716T00Z,256,989,4,1
20190715T23Z,233,1033,4,1
20190715T22Z,229,1054,4,1
20190715T21Z,204,1053,4,0
20190715T20Z,203,1049,4,0
20190715T19Z,200,1083,4,0
20190715T18Z,200,1075,4,0
20190715T17Z,198,979,4,0
20190715T16Z,200,905,4,0
20190715T15Z,201,794,4,0
20190715T14Z,191,598,4,0
20190715T13Z,133,479,4,0
20190715T12Z,134,488,4,0
20190715T11Z,134,454,4,0
20190715T10Z,131,418,4,0
20190715T09Z,137,408,4,0
20190715T08Z,138,445,4,0
20190715T07Z,139,512,4,0
20190715T06Z,138,512,4,0
20190715T05Z,137,556,4,0
20190715T04Z,134,659,4,0
20190715T03Z,132,793,4,0
20190715T02Z,167,811,4,0
20190715T01Z,209,809,4,0
20190715T00Z,211,856,2,0
20190714T23Z,207,991,0,0
20190714T22Z,210,1064,0,0
20190714T21Z,210,1082,4,0
20190714T20Z,208,1087,3,0
20190714T19Z,209,1086,1,0
20190714T18Z,208,1017,4,0
20190714T17Z,208,973,4,0
20190714T16Z,209,847,4,0
20190714T15Z,209,680,4,0
20190714T14Z,161,489,4,0
20190714T13Z,134,428,4,0
20190714T12Z,134,426,4,0
20190714T11Z,132,409,4,0
20190714T10Z,135,410,4,0
20190714T09Z,134,425,4,0
20190714T08Z,136,452,4,0
20190714T07Z,133,491,4,0
20190714T06Z,135,497,4,0
20190714T05Z,134,556,4,0
20190714T04Z,134,670,4,0
20190714T03Z,133,794,4,0
20190714T02Z,135,815,4,0
20190714T01Z,161,813,4,0
20190714T00Z,207,807,4,0
20190713T23Z,209,792,4,0
20190713T22Z,210,790,4,0
20190713T21Z,210,792,4,0
20190713T20Z,210,794,4,0
20190713T19Z,212,791,4,0
20190713T18Z,209,788,4,0
20190713T17Z,211,753,4,1
20190713T16Z,211,653,4,1
20190713T15Z,209,504,4,2
20190713T14Z,141,506,4,2
20190713T13Z,137,441,4,2
20190713T12Z,137,386,4,2
20190713T11Z,136,421,4,2
20190713T10Z,133,414,4,2
20190713T09Z,136,421,4,2
20190713T08Z,132,442,4,2
20190713T07Z,133,508,4,2
20190713T06Z,135,512,5,2
20190713T05Z,133,570,4,2
20190713T04Z,134,709,4,2
20190713T03Z,176,775,4,2
20190713T02Z,212,807,4,2
20190713T01Z,213,810,4,1
20190713T00Z,212,799,4,0
20190712T23Z,212,809,4,0
20190712T22Z,211,799,4,0
20190712T21Z,213,800,4,0
20190712T20Z,213,800,5,17
20190712T19Z,214,801,4,78
20190712T18Z,212,801,4,70
20190712T17Z,212,795,4,0
20190712T16Z,213,730,4,0
20190712T15Z,212,660,4,0
20190712T14Z,213,508,4,0
20190712T13Z,158,506,4,0
20190712T12Z,132,507,4,0
20190712T11Z,135,501,2,0
20190712T10Z,134,454,3,0
20190712T09Z,132,453,4,0
20190712T08Z,134,480,4,0
20190712T07Z,132,507,4,0
20190712T06Z,172,508,4,0
20190712T05Z,211,621,4,0
20190712T04Z,213,770,4,0
20190712T03Z,212,828,4,0
20190712T02Z,211,903,4,0
20190712T01Z,212,898,4,0
20190712T00Z,213,893,4,0
20190711T23Z,211,898,4,0
20190711T22Z,212,897,4,0
20190711T21Z,211,894,5,0
20190711T20Z,212,892,4,0
20190711T19Z,211,900,4,0
20190711T18Z,213,892,4,0
20190711T17Z,212,897,4,0
20190711T16Z,213,825,4,0
20190711T15Z,211,644,4,0
20190711T14Z,200,527,4,0
20190711T13Z,136,505,4,0
20190711T12Z,134,507,4,0
20190711T11Z,134,505,4,0
20190711T10Z,135,507,4,0
20190711T09Z,134,505,4,0
20190711T08Z,135,506,4,0
20190711T07Z,134,506,4,0
20190711T06Z,134,556,4,0
20190711T05Z,156,683,5,0
20190711T04Z,185,795,4,0
20190711T03Z,184,958,4,0
20190711T02Z,186,984,4,0
20190711T01Z,183,977,4,0
20190711T00Z,188,971,4,0
20190710T23Z,207,972,4,0
20190710T22Z,214,970,4,0
20190710T21Z,212,971,4,1
20190710T20Z,216,969,4,1
20190710T19Z,217,973,4,1
20190710T18Z,218,974,5,1
20190710T17Z,217,860,3,1
20190710T16Z,218,704,4,0
20190710T15Z,219,634,4,0
20190710T14Z,216,518,4,0
20190710T13Z,185,507,3,0
20190710T12Z,185,507,4,0
20190710T11Z,183,506,3,0
20190710T10Z,180,476,3,0
20190710T09Z,177,443,4,0
20190710T08Z,178,451,3,0
20190710T07Z,179,507,4,0
20190710T06Z,179,506,3,0
20190710T05Z,178,497,4,0
20190710T04Z,144,584,3,0
20190710T03Z,133,748,4,0
20190710T02Z,134,793,3,0
20190710T01Z,135,803,4,0
20190710T00Z,182,777,3,0
20190709T23Z,184,777,4,0
20190709T22Z,179,840,3,0
20190709T21Z,205,901,5,0
20190709T20Z,211,974,2,0
20190709T19Z,211,985,4,0
20190709T18Z,213,1017,5,0
20190709T17Z,208,973,4,0
20190709T16Z,208,889,4,0
20190709T15Z,205,652,4,0
20190709T14Z,176,524,4,0
20190709T13Z,133,507,4,0
20190709T12Z,130,510,4,0
20190709T11Z,132,510,4,0
20190709T10Z,133,508,4,0
20190709T09Z,133,508,4,0
20190709T08Z,132,509,4,0
20190709T07Z,134,507,4,0
20190709T06Z,133,548,4,0
20190709T05Z,131,603,4,0
20190709T04Z,133,758,5,0
20190709T03Z,130,931,4,1
20190709T02Z,148,935,4,1
20190709T01Z,211,928,4,2
20190709T00Z,213,869,4,2
20190708T23Z,211,839,4,2
20190708T22Z,214,838,4,2
20190708T21Z,212,945,4,2
20190708T20Z,211,948,4,2
20190708T19Z,210,925,4,2
20190708T18Z,211,862,4,2
20190708T17Z,212,843,4,2
20190708T16Z,210,761,4,2
20190708T15Z,211,595,5,2
20190708T14Z,161,507,4,1
20190708T13Z,129,508,4,1
20190708T12Z,127,489,4,1
20190708T11Z,128,464,3,1
20190708T10Z,127,431,4,1
20190708T09Z,129,432,4,1
20190708T08Z,127,454,4,0
20190708T07Z,129,455,4,0
20190708T06Z,130,507,4,0
20190708T05Z,128,494,4,0
20190708T04Z,129,654,4,0
20190708T03Z,124,687,4,0
20190708T02Z,131,694,4,0
20190708T01Z,131,792,4,0
20190708T00Z,178,850,4,0
20190707T23Z,202,908,4,0
20190707T22Z,205,932,4,0
20190707T21Z,203,937,4,0
20190707T20Z,203,936,4,0
20190707T19Z,204,941,4,0
20190707T18Z,204,907,4,0
20190707T17Z,202,845,4,0
20190707T16Z,188,831,4,0
20190707T15Z,188,689,4,0
20190707T14Z,172,552,4,0
20190707T13Z,127,397,4,0
20190707T12Z,123,379,4,0
20190707T11Z,127,438,4,0
20190707T10Z,125,455,4,0
20190707T09Z,127,482,4,0
20190707T08Z,127,511,4,0
20190707T07Z,121,517,4,0
20190707T06Z,116,667,4,0
20190707T05Z,119,661,4,0
20190707T04Z,116,765,4,0
20190707T03Z,117,791,4,0
20190707T02Z,152,800,4,0
20190707T01Z,200,799,4,0
20190707T00Z,197,897,4,0
20190706T23Z,196,969,3,0
20190706T22Z,200,966,4,0
20190706T21Z,197,961,4,0
20190706T20Z,201,955,4,0
20190706T19Z,199,937,4,0
20190706T18Z,199,833,4,0
20190706T17Z,200,754,4,0
20190706T16Z,214,694,3,0
20190706T15Z,268,519,4,0
20190706T14Z,317,403,5,0
20190706T13Z,318,358,4,0
20190706T12Z,267,356,4,0
20190706T11Z,266,359,4,0
20190706T10Z,265,357,4,0
20190706T09Z,241,369,5,0
20190706T08Z,171,408,4,0
20190706T07Z,123,502,4,0
20190706T06Z,178,503,4,0
20190706T05Z,182,601,5,0
20190706T04Z,183,806,4,0
20190706T03Z,183,936,4,0
20190706T02Z,185,960,4,0
20190706T01Z,181,984,5,0
20190706T00Z,185,1007,4,0
20190705T23Z,183,1027,4,1
20190705T22Z,186,1032,4,1
20190705T21Z,186,1038,5,1
20190705T20Z,181,1037,4,0
20190705T19Z,155,1037,4,0
20190705T18Z,127,1044,4,0
20190705T17Z,126,1031,4,0
20190705T16Z,125,932,5,0
20190705T15Z,127,780,4,0
20190705T14Z,126,594,4,0
20190705T13Z,123,492,4,0
20190705T12Z,128,454,4,0
20190705T11Z,126,434,4,0
20190705T10Z,125,421,4,0
20190705T09Z,128,442,5,0
20190705T08Z,125,488,4,0
20190705T07Z,127,613,4,0
20190705T06Z,90,769,4,0
20190705T05Z,1,937,4,0
20190705T04Z,-16,1072,5,0
20190705T03Z,-18,965,4,0
20190705T02Z,-20,959,4,0
20190705T01Z,-15,984,4,0
20190705T00Z,-18,1001,4,0
20190704T23Z,-15,1126,4,0
20190704T22Z,113,1045,4,0
20190704T21Z,210,946,4,0
20190704T20Z,210,951,4,0
20190704T19Z,210,950,5,0
20190704T18Z,210,950,4,0
20190704T17Z,212,934,5,0
20190704T16Z,204,820,4,0
20190704T15Z,196,706,4,0
20190704T14Z,147,550,5,0
20190704T13Z,126,436,4,0
20190704T12Z,127,380,4,0
20190704T11Z,127,430,5,0
20190704T10Z,126,435,4,0
20190704T09Z,127,457,5,0
20190704T08Z,126,449,4,0
20190704T07Z,127,467,4,0
20190704T06Z,126,618,5,0
20190704T05Z,127,736,4,0
20190704T04Z,128,872,5,0
20190704T03Z,124,944,4,0
20190704T02Z,155,1041,5,0
20190704T01Z,196,1042,4,0
20190704T00Z,213,1002,4,0
20190703T23Z,212,995,5,0
20190703T22Z,208,994,4,0
20190703T21Z,213,941,5,0
20190703T20Z,202,931,4,0
20190703T19Z,212,958,5,0
20190703T18Z,213,958,4,0
20190703T17Z,211,922,4,0
20190703T16Z,212,768,5,0
20190703T15Z,207,650,4,0
20190703T14Z,161,509,4,0
20190703T13Z,125,510,5,0
20190703T12Z,127,506,4,0
20190703T11Z,135,513,4,0
20190703T10Z,128,510,4,0
20190703T09Z,132,476,5,0
20190703T08Z,129,511,4,0
20190703T07Z,123,510,4,0
20190703T06Z,201,510,5,0
20190703T05Z,213,551,4,0
20190703T04Z,211,730,4,0
20190703T03Z,214,876,4,0
20190703T02Z,214,963,5,0
20190703T01Z,210,986,4,0
20190703T00Z,213,1003,4,0
20190702T23Z,214,1000,4,0
20190702T22Z,212,1037,5,0
20190702T21Z,214,1037,4,0
20190702T20Z,213,1029,4,0
20190702T19Z,210,1035,4,0
20190702T18Z,214,1039,5,0
20190702T17Z,212,1040,4,0
20190702T16Z,211,917,4,0
20190702T15Z,212,817,4,0
20190702T14Z,172,621,4,0
20190702T13Z,127,511,3,0
20190702T12Z,127,512,4,0
20190702T11Z,126,512,4,0
20190702T10Z,127,511,4,0
20190702T09Z,125,510,4,0
20190702T08Z,126,509,4,0
20190702T07Z,127,509,4,0
20190702T06Z,144,509,4,0
20190702T05Z,211,558,5,0
20190702T04Z,210,739,4,0
20190702T03Z,209,945,4,0
20190702T02Z,213,956,4,0
20190702T01Z,210,952,4,0
20190702T00Z,214,946,4,0
20190701T23Z,209,937,4,0
20190701T22Z,210,939,5,0
20190701T21Z,212,927,4,0
20190701T20Z,211,954,4,0
20190701T19Z,213,955,4,0
20190701T18Z,213,954,4,0
20190701T17Z,212,925,4,0
20190701T16Z,212,816,4,0
20190701T15Z,202,666,4,0
20190701T14Z,187,549,4,0
20190701T13Z,126,512,4,0
20190701T12Z,127,506,4,0
20190701T11Z,125,441,4,0
20190701T10Z,127,370,4,0
20190701T09Z,127,363,4,0
20190701T08Z,126,375,4,0
20190701T07Z,126,430,4,0
20190701T06Z,129,518,4,0
20190701T05Z,132,639,4,0
20190701T04Z,130,764,4,0
20190701T03Z,130,743,4,0
20190701T02Z,129,696,4,0
20190701T01Z,139,745,4,0
20190701T00Z,194,770,3,0
20190630T23Z,212,771,4,0
20190630T22Z,211,774,3,0
20190630T21Z,208,778,4,0
20190630T20Z,210,760,4,0
20190630T19Z,209,685,4,0
20190630T18Z,169,680,4,0
20190630T17Z,129,678,4,0
20190630T16Z,124,666,4,0
20190630T15Z,127,514,4,0
20190630T14Z,123,454,4,0
20190630T13Z,123,422,4,0
20190630T12Z,120,364,4,0
20190630T11Z,122,362,4,0
20190630T10Z,121,361,4,0
20190630T09Z,122,363,4,0
20190630T08Z,120,368,4,0
20190630T07Z,125,412,4,1
20190630T06Z,120,459,4,0
20190630T05Z,121,553,4,0
20190630T04Z,122,660,4,0
20190630T03Z,118,646,4,0
20190630T02Z,130,616,4,0
20190630T01Z,127,638,4,0
20190630T00Z,127,647,4,0
20190629T23Z,124,681,4,0
20190629T22Z,127,687,4,0
20190629T21Z,126,690,4,0
20190629T20Z,125,690,4,0
20190629T19Z,127,691,4,0
20190629T18Z,127,686,4,0
20190629T17Z,125,663,4,0
20190629T16Z,126,651,4,0
20190629T15Z,125,509,4,0
20190629T14Z,126,460,4,0
20190629T13Z,126,413,4,0
20190629T12Z,127,362,4,0
20190629T11Z,126,362,4,0
20190629T10Z,125,362,4,0
20190629T09Z,128,367,4,0
20190629T08Z,125,394,4,0
20190629T07Z,127,442,4,0
20190629T06Z,128,548,4,0
20190629T05Z,126,592,4,0
20190629T04Z,127,712,4,0
20190629T03Z,126,828,4,0
20190629T02Z,126,906,4,0
20190629T01Z,144,928,4,0
20190629T00Z,170,930,4,0
20190628T23Z,174,953,4,0
20190628T22Z,195,958,4,0
20190628T21Z,210,953,4,0
20190628T20Z,210,951,4,0
20190628T19Z,211,957,4,0
20190628T18Z,212,941,4,0
20190628T17Z,214,895,3,0
20190628T16Z,214,779,3,0
20190628T15Z,209,626,3,0
20190628T14Z,158,510,4,0
20190628T13Z,126,428,3,0
20190628T12Z,128,421,3,0
20190628T11Z,125,351,3,0
20190628T10Z,126,353,3,0
20190628T09Z,127,373,4,0
20190628T08Z,126,400,3,0
20190628T07Z,126,447,3,0
20190628T06Z,127,479,3,0
20190628T05Z,125,605,4,0
20190628T04Z,128,755,3,0
20190628T03Z,125,902,3,0
20190628T02Z,149,955,3,0
20190628T01Z,216,972,3,0
20190628T00Z,213,1014,4,0
20190627T23Z,213,1055,3,0
20190627T22Z,213,1036,3,0
20190627T21Z,213,1032,3,0
20190627T20Z,214,1012,4,1
20190627T19Z,213,1047,3,1
20190627T18Z,211,1014,3,1
20190627T17Z,215,901,3,1
20190627T16Z,213,776,3,1
20190627T15Z,203,602,4,1
20190627T14Z,174,509,3,1
20190627T13Z,129,429,3,1
20190627T12Z,127,429,3,1
20190627T11Z,125,375,4,1
20190627T10Z,127,361,3,1
20190627T09Z,127,360,3,1
20190627T08Z,126,391,3,1
20190627T07Z,126,445,3,1
20190627T06Z,127,541,4,1
20190627T05Z,125,631,3,1
20190627T04Z,153,817,3,1
20190627T03Z,212,885,3,1
20190627T02Z,213,1010,4,1
20190627T01Z,211,1050,3,1
20190627T00Z,212,1059,3,1
20190626T23Z,210,1056,3,1
20190626T22Z,215,1056,4,1
20190626T21Z,212,1054,3,1
20190626T20Z,213,1048,3,1
20190626T19Z,211,965,3,2
20190626T18Z,213,944,3,1
20190626T17Z,214,811,4,1
20190626T16Z,198,670,3,2
20190626T15Z,180,503,3,2
20190626T14Z,176,443,3,2
20190626T13Z,150,384,4,2
20190626T12Z,125,400,3,2
20190626T11Z,127,397,3,2
20190626T10Z,126,362,3,2
20190626T09Z,128,369,4,2
20190626T08Z,127,402,3,2
20190626T07Z,126,464,3,2
20190626T06Z,127,625,3,2
20190626T05Z,129,692,4,1
20190626T04Z,125,846,3,0
20190626T03Z,142,983,3,0
20190626T02Z,173,1039,3,0
20190626T01Z,212,985,3,0
20190626T00Z,214,1031,3,0
20190625T23Z,216,1052,3,0
20190625T22Z,215,1042,4,0
20190625T21Z,215,1039,3,0
20190625T20Z,215,1025,3,0
20190625T19Z,208,1043,4,0
20190625T18Z,208,974,3,0
20190625T17Z,209,897,3,0
20190625T16Z,206,726,4,0
20190625T15Z,177,638,3,0
20190625T14Z,163,529,3,0
20190625T13Z,127,504,4,0
20190625T12Z,127,441,3,0
20190625T11Z,127,461,3,0
20190625T10Z,125,428,4,0
20190625T09Z,128,431,3,0
20190625T08Z,126,454,3,0
20190625T07Z,125,498,4,0
20190625T06Z,126,573,3,0
20190625T05Z,126,579,3,1
20190625T04Z,127,727,4,1
20190625T03Z,178,939,3,2
20190625T02Z,189,1025,3,2
20190625T01Z,190,1039,4,3
20190625T00Z,188,1052,3,3
20190624T23Z,188,1051,3,3
20190624T22Z,189,988,4,3
20190624T21Z,149,1039,3,2
20190624T20Z,118,1012,3,2
20190624T19Z,116,1014,4,2
20190624T18Z,118,1055,3,1
20190624T17Z,112,1058,3,0
20190624T16Z,136,967,4,0
20190624T15Z,186,679,3,0
20190624T14Z,183,513,3,0
20190624T13Z,145,499,4,1
20190624T12Z,127,465,3,0
20190624T11Z,127,459,3,0
20190624T10Z,125,481,4,0
20190624T09Z,126,481,3,0
20190624T08Z,129,498,3,0
20190624T07Z,129,504,4,0
20190624T06Z,127,579,3,0
20190624T05Z,129,666,4,0
20190624T04Z,127,790,3,0
20190624T03Z,130,800,3,0
20190624T02Z,101,904,4,0
20190624T01Z,40,1011,3,0
20190624T00Z,-11,1053,3,0
20190623T23Z,-16,1047,3,1
20190623T22Z,-15,1042,3,1
20190623T21Z,-18,1041,3,2
20190623T20Z,-15,1042,3,2
20190623T19Z,80,958,4,2
20190623T18Z,181,756,4,2
20190623T17Z,212,671,3,2
20190623T16Z,198,659,4,2
20190623T15Z,159,505,3,2
20190623T14Z,126,483,4,1
20190623T13Z,126,391,4,1
20190623T12Z,127,361,3,1
20190623T11Z,126,360,4,1
20190623T10Z,125,361,3,1
20190623T09Z,127,374,4,1
20190623T08Z,127,403,4,1
20190623T07Z,128,451,3,1
20190623T06Z,126,456,4,1
20190623T05Z,127,472,3,1
20190623T04Z,126,642,4,1
20190623T03Z,127,680,3,1
20190623T02Z,128,804,4,1
20190623T01Z,179,837,4,1
20190623T00Z,195,851,3,1
20190622T23Z,213,846,4,1
20190622T22Z,212,845,3,1
20190622T21Z,213,846,4,1
20190622T20Z,214,846,3,1
20190622T19Z,212,852,4,1
20190622T18Z,214,854,4,1
20190622T17Z,211,828,3,1
20190622T16Z,204,736,4,1
