,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191213T20-05,118520,183681,98344,3785,8025,993,33641,29426
20191213T19-05,115592,183397,98280,3945,8045,1878,32408,29449
20191213T18-05,110703,178773,98249,4081,7967,7802,30179,32061
20191213T17-05,107353,174068,98185,4184,7906,10267,27821,34402
20191213T16-05,105871,170220,98101,4027,7881,10954,27262,31179
20191213T15-05,106606,169620,98099,3851,7806,12342,27619,32563
20191213T14-05,107072,171319,97956,4479,7153,13252,28374,32012
20191213T13-05,108975,172034,97904,3918,7885,13268,29140,31194
20191213T12-05,112250,176323,97938,4613,7399,12153,31307,27298
20191213T11-05,116085,179582,97892,4590,7519,7948,33213,28819
20191213T10-05,117520,182812,97933,4567,7646,2638,33466,30696
20191213T09-05,118478,183109,97848,4029,8315,1248,31620,31139
20191213T08-05,115410,183353,97899,3782,8295,661,30019,31047
20191213T07-05,108975,175282,97916,3406,8320,142,25286,30285
20191213T06-05,102679,162339,97914,3008,7639,154,21057,30856
20191213T05-05,99025,152523,97677,2928,7307,161,18869,31040
20191213T04-05,97052,151529,97633,2871,7185,157,18465,33007
20191213T03-05,96743,151781,97726,2918,7285,150,19515,31304
20191213T02-05,99217,155967,97771,2923,7394,156,20432,30997
20191213T01-05,104006,161218,97675,2988,7484,156,24745,30195
20191213T00-05,110617,170306,97600,3503,7803,155,27938,29722
20191212T23-05,110291,178166,98179,3504,7629,160,31204,32309
20191212T22-05,115713,185542,98158,4741,7502,174,34709,32709
20191212T21-05,119175,192866,98041,4815,7675,166,36965,32627
20191212T20-05,118895,196800,98033,4791,7755,233,36876,31393
20191212T19-05,118000,193414,97938,4642,7742,2086,35859,29450
20191212T18-05,113372,186733,97839,4348,7693,7310,32469,28978
20191212T17-05,108873,180844,97735,4253,7555,9693,28843,28349
20191212T16-05,105294,174200,97647,4198,7611,11985,25155,31522
20191212T15-05,102979,172765,97630,4137,7387,14001,25309,32697
20191212T14-05,104190,173119,97478,3617,7973,14943,25719,32959
20191212T13-05,107377,173967,97351,3920,7963,14817,27391,32676
20191212T12-05,111789,177885,97304,4086,7979,12878,29770,33338
20191212T11-05,117328,184684,97287,3958,8099,9048,33415,34589
20191212T10-05,118498,190332,97373,3793,8220,4671,35688,38545
20191212T09-05,120096,192851,97400,4432,7632,2238,34927,42289
20191212T08-05,117361,194719,97426,4260,7680,738,35769,42518
20191212T07-05,110704,184786,97432,3209,7897,130,33168,42449
20191212T06-05,104774,168328,97337,2539,7576,190,28351,43044
20191212T05-05,102128,155541,97751,2840,7460,139,24965,44579
20191212T04-05,100428,152207,98265,2848,7450,138,23649,45061
20191212T03-05,100720,151601,98333,2846,7310,140,23816,43551
20191212T02-05,102060,154415,98390,2961,7428,139,25257,43486
20191212T01-05,100112,156049,98346,3105,7498,12,26910,56165
20191212T00-05,100692,166180,98146,3750,7847,13,29537,54784
20191211T23-05,108672,177924,98288,3758,8205,18,33924,55933
20191211T22-05,110892,190265,98273,4072,8232,27,37206,53680
20191211T21-05,111998,201522,98180,3968,8271,42,39816,49230
20191211T20-05,114074,205648,98222,3937,8294,806,40778,43945
20191211T19-05,113664,200462,98185,3925,8303,1634,39820,40447
20191211T18-05,108839,192415,98250,3822,8309,5603,35785,38167
20191211T17-05,103325,183968,98316,3856,8276,9547,31160,36349
20191211T16-05,102853,179360,98287,4035,8118,11077,28289,33927
20191211T15-05,106616,177687,98245,4170,8002,12221,28486,30868
20191211T14-05,109302,181574,98228,4128,7986,12857,28962,27140
20191211T13-05,111669,186429,98235,4229,8039,12969,29430,24810
20191211T12-05,114225,194101,98107,4207,8142,11730,32433,24735
20191211T11-05,116194,200834,97905,4804,7463,7822,34780,26953
20191211T10-05,117870,204560,97871,4180,8155,3274,36599,30853
20191211T09-05,117893,203007,97710,4072,8392,943,35259,33958
20191211T08-05,113923,199310,97614,3780,8407,151,34168,35163
20191211T07-05,106641,186012,97497,3362,8297,7,28243,36813
20191211T06-05,98644,169780,97434,2932,7707,7,23422,37791
20191211T05-05,92613,161219,97281,2819,7475,3,20150,37887
20191211T04-05,89940,157869,97250,2811,7261,4,19611,37902
20191211T03-05,90016,157512,97042,2836,7304,3,21874,37284
20191211T02-05,91837,160496,97073,3510,6752,4,21475,36992
20191211T01-05,92451,165333,97126,3644,7540,124,25977,36164
20191211T00-05,93864,165097,96925,3398,7084,214,28844,41797
20191210T23-05,104774,181235,97230,4233,7622,218,32673,37400
20191210T22-05,109427,189703,97207,4696,7344,223,35921,37030
20191210T21-05,111797,197539,97316,4855,7482,229,38022,36327
20191210T20-05,112818,199932,97559,4861,7465,803,39707,35698
20191210T19-05,111643,196665,97478,4827,7392,1589,38865,33688
20191210T18-05,107223,191020,97470,4543,7476,6008,36151,33532
20191210T17-05,102788,185638,97429,4300,7480,9216,32857,34253
20191210T16-05,100525,178057,97309,4204,7470,11443,30285,35562
20191210T15-05,100540,176172,97258,4277,7378,12727,29655,36100
20191210T14-05,100917,176099,97147,4570,7294,13293,29315,36645
20191210T13-05,102402,176437,97148,4419,7313,12285,30243,35971
20191210T12-05,104165,175246,97103,4349,7615,11085,30979,35777
