,coal,natural gas,solar
20191104T13-05,0,452,1
20191104T12-05,0,411,1
20191104T11-05,0,422,1
20191104T10-05,0,476,1
20191104T09-05,0,506,1
20191104T08-05,0,437,0
20191104T07-05,0,395,0
20191104T06-05,0,352,0
20191104T05-05,0,270,0
20191104T04-05,0,270,0
20191104T03-05,0,270,0
20191104T02-05,0,270,0
20191104T01-05,0,290,0
20191103T00-04,0,472,0
20191102T23-04,0,497,0
20191102T22-04,0,542,0
20191102T21-04,0,549,0
20191102T20-04,0,522,0
20191102T19-04,0,488,0
20191102T18-04,0,484,0
20191102T17-04,0,483,0
20191102T16-04,0,482,1
20191102T15-04,1,530,1
20191102T14-04,0,519,1
20191102T13-04,0,486,1
20191102T12-04,0,490,2
20191102T11-04,0,495,1
20191102T10-04,0,501,1
20191102T09-04,0,505,0
20191102T08-04,0,423,0
20191102T07-04,0,363,0
20191102T06-04,0,272,0
20191102T05-04,0,272,0
20191102T04-04,0,271,0
20191102T03-04,0,271,0
20191102T02-04,0,270,0
20191102T01-04,0,270,0
20191102T00-04,0,374,0
20191101T23-04,0,503,0
20191101T22-04,0,501,0
20191101T21-04,0,498,0
20191101T20-04,0,493,0
20191101T19-04,0,490,0
20191101T18-04,0,520,0
20191101T17-04,0,539,1
20191101T16-04,0,540,0
20191101T15-04,0,542,1
20191101T14-04,0,516,1
20191101T13-04,0,494,1
20191101T12-04,0,417,1
20191101T11-04,0,379,0
20191101T10-04,0,325,0
20191101T09-04,0,267,0
20191101T08-04,0,120,0
20191101T07-04,0,268,0
20191101T06-04,0,268,0
20191101T05-04,0,266,0
20191101T04-04,0,267,0
20191101T03-04,0,266,0
20191101T02-04,0,265,0
20191101T01-04,0,311,0
20191101T00-04,0,484,0
20191031T23-04,0,495,0
20191031T22-04,0,494,0
20191031T21-04,0,493,0
20191031T20-04,0,612,0
20191031T19-04,0,658,0
20191031T18-04,0,664,1
20191031T17-04,0,707,1
20191031T16-04,0,656,2
20191031T15-04,0,656,1
20191031T14-04,0,658,1
20191031T13-04,0,657,2
20191031T12-04,0,591,1
20191031T11-04,0,564,1
20191031T10-04,0,498,1
20191031T09-04,0,492,0
20191031T08-04,0,442,0
20191031T07-04,0,377,0
20191031T06-04,0,287,0
20191031T05-04,0,265,0
20191031T04-04,0,265,0
20191031T03-04,0,265,0
20191031T02-04,1,264,0
20191031T01-04,0,347,0
20191031T00-04,0,478,0
20191030T23-04,0,346,0
20191030T22-04,0,436,0
20191030T21-04,0,579,0
20191030T20-04,0,585,0
20191030T19-04,0,644,0
20191030T18-04,0,685,1
20191030T17-04,0,660,1
20191030T16-04,0,515,1
20191030T15-04,0,603,1
20191030T14-04,0,546,1
20191030T13-04,0,482,1
20191030T12-04,0,484,1
20191030T11-04,0,485,1
20191030T10-04,0,488,1
20191030T09-04,0,490,0
20191030T08-04,0,493,0
20191030T07-04,0,434,0
20191030T06-04,0,350,0
20191030T05-04,0,266,0
20191030T04-04,0,266,0
20191030T03-04,0,266,0
20191030T02-04,0,266,0
20191030T01-04,0,356,0
20191030T00-04,0,514,0
20191029T23-04,0,590,0
20191029T22-04,0,587,0
20191029T21-04,0,590,0
20191029T20-04,0,591,0
20191029T19-04,0,610,0
20191029T18-04,0,653,1
20191029T17-04,0,652,1
20191029T16-04,0,654,1
20191029T15-04,0,654,1
20191029T14-04,0,585,1
20191029T13-04,0,566,1
20191029T12-04,0,530,1
20191029T11-04,0,507,1
20191029T10-04,0,486,1
20191029T09-04,0,491,0
20191029T08-04,1,463,0
20191029T07-04,0,425,0
20191029T06-04,0,290,0
20191029T05-04,0,265,0
20191029T04-04,0,265,0
20191029T03-04,0,265,0
20191029T02-04,0,264,0
20191029T01-04,0,382,0
20191029T00-04,0,508,0
20191028T23-04,0,545,0
20191028T22-04,0,574,0
20191028T21-04,0,596,0
20191028T20-04,0,596,0
20191028T19-04,0,684,0
20191028T18-04,0,653,0
20191028T17-04,0,574,1
20191028T16-04,0,505,2
20191028T15-04,0,501,1
20191028T14-04,0,494,1
20191028T13-04,0,382,1
20191028T12-04,0,312,2
20191028T11-04,0,266,2
20191028T10-04,0,267,1
20191028T09-04,0,268,0
20191028T08-04,0,238,0
20191028T07-04,0,233,0
20191028T06-04,0,231,0
20191028T05-04,0,227,0
20191028T04-04,0,227,0
20191028T03-04,0,227,0
20191028T02-04,0,227,0
20191028T01-04,0,232,0
20191028T00-04,9,323,0
20191027T23-04,220,295,0
20191027T22-04,294,337,0
20191027T21-04,444,336,0
20191027T20-04,555,335,0
20191027T19-04,594,333,0
20191027T18-04,624,334,0
20191027T17-04,628,335,0
20191027T16-04,626,326,0
20191027T15-04,626,285,1
20191027T14-04,627,327,1
20191027T13-04,629,342,1
20191027T12-04,626,328,1
20191027T11-04,623,304,1
20191027T10-04,540,223,1
20191027T09-04,511,176,0
20191027T08-04,552,80,0
20191027T07-04,565,-7,0
20191027T06-04,539,-6,0
20191027T05-04,543,-6,0
20191027T04-04,546,-6,0
20191027T03-04,569,-5,0
20191027T02-04,601,-6,0
20191027T01-04,611,-6,0
20191027T00-04,614,145,0
20191026T23-04,607,225,0
20191026T22-04,585,225,0
20191026T21-04,586,225,0
20191026T20-04,593,224,0
20191026T19-04,589,222,0
20191026T18-04,627,228,1
20191026T17-04,626,280,1
20191026T16-04,627,326,1
20191026T15-04,626,306,1
20191026T14-04,621,256,1
20191026T13-04,600,220,1
20191026T12-04,609,221,1
20191026T11-04,612,222,1
20191026T10-04,558,224,1
20191026T09-04,542,145,0
