,coal,natural gas,solar
20190701T21-04,0,933,0
20190701T20-04,0,954,0
20190701T19-04,0,939,1
20190701T18-04,0,944,1
20190701T17-04,0,950,1
20190701T16-04,0,953,1
20190701T15-04,0,954,1
20190701T14-04,0,864,1
20190701T13-04,0,929,1
20190701T12-04,0,820,1
20190701T11-04,0,734,1
20190701T10-04,0,719,1
20190701T09-04,0,736,1
20190701T08-04,0,734,0
20190701T07-04,0,734,0
20190701T06-04,0,735,0
20190701T05-04,0,734,0
20190701T04-04,0,734,0
20190701T03-04,0,734,0
20190701T02-04,0,733,0
20190701T01-04,0,768,0
20190701T00-04,0,727,0
20190630T23-04,0,774,0
20190630T22-04,6,820,0
20190630T21-04,163,840,0
20190630T20-04,312,773,0
20190630T19-04,524,939,1
20190630T18-04,630,832,1
20190630T17-04,631,769,0
20190630T16-04,631,772,0
20190630T15-04,633,774,1
20190630T14-04,629,715,1
20190630T13-04,613,718,1
20190630T12-04,581,722,1
20190630T11-04,469,727,1
20190630T10-04,353,709,1
20190630T09-04,320,570,1
20190630T08-04,322,490,0
20190630T07-04,320,383,0
20190630T06-04,320,368,0
20190630T05-04,320,359,0
20190630T04-04,320,397,0
20190630T03-04,319,442,0
20190630T02-04,319,442,0
20190630T01-04,335,470,0
20190630T00-04,372,563,0
20190629T23-04,384,726,0
20190629T22-04,446,741,0
20190629T21-04,477,741,0
20190629T20-04,516,740,0
20190629T19-04,532,739,0
20190629T18-04,547,741,0
20190629T17-04,579,740,0
20190629T16-04,631,766,0
20190629T15-04,633,817,0
20190629T14-04,631,842,0
20190629T13-04,632,776,1
20190629T12-04,599,723,1
20190629T11-04,511,725,1
20190629T10-04,392,716,1
20190629T09-04,327,604,1
20190629T08-04,321,538,0
20190629T07-04,320,466,0
20190629T06-04,320,450,0
20190629T05-04,319,443,0
20190629T04-04,320,441,0
20190629T03-04,319,453,0
20190629T02-04,331,502,0
20190629T01-04,388,538,0
20190629T00-04,391,670,0
20190628T23-04,490,741,0
20190628T22-04,519,737,0
20190628T21-04,554,737,0
20190628T20-04,549,736,0
20190628T19-04,577,730,0
20190628T18-04,632,793,0
20190628T17-04,634,815,0
20190628T16-04,635,775,1
20190628T15-04,635,739,1
20190628T14-04,636,705,1
20190628T13-04,636,709,1
20190628T12-04,625,712,0
20190628T11-04,606,717,1
20190628T10-04,492,722,2
20190628T09-04,409,722,1
20190628T08-04,401,674,0
20190628T07-04,373,594,0
20190628T06-04,359,506,0
20190628T05-04,339,505,0
20190628T04-04,323,505,0
20190628T03-04,359,503,0
20190628T02-04,391,502,0
20190628T01-04,476,503,0
20190628T00-04,505,611,0
20190627T23-04,608,726,0
20190627T22-04,626,723,0
20190627T21-04,623,716,0
20190627T20-04,628,718,0
20190627T19-04,629,751,1
20190627T18-04,631,781,1
20190627T17-04,631,750,2
20190627T16-04,627,746,1
20190627T15-04,587,788,1
20190627T14-04,622,793,1
20190627T13-04,631,781,1
20190627T12-04,630,754,2
20190627T11-04,591,716,2
20190627T10-04,453,722,1
20190627T09-04,328,696,1
20190627T08-04,323,580,0
20190627T07-04,323,484,0
20190627T06-04,321,425,0
20190627T05-04,322,415,0
20190627T04-04,322,422,0
20190627T03-04,322,448,0
20190627T02-04,344,501,0
20190627T01-04,444,501,0
20190627T00-04,554,621,0
20190626T23-04,609,740,0
20190626T22-04,628,816,0
20190626T21-04,629,814,0
20190626T20-04,629,819,0
20190626T19-04,628,900,1
20190626T18-04,631,933,1
20190626T17-04,630,871,1
20190626T16-04,631,876,1
20190626T15-04,630,801,1
20190626T14-04,630,767,1
20190626T13-04,606,777,1
20190626T12-04,629,874,2
20190626T11-04,628,747,2
20190626T10-04,535,714,2
20190626T09-04,395,725,1
20190626T08-04,322,697,0
20190626T07-04,335,596,0
20190626T06-04,379,508,0
20190626T05-04,369,506,0
20190626T04-04,373,504,0
20190626T03-04,416,502,0
20190626T02-04,402,502,0
20190626T01-04,531,502,0
20190626T00-04,567,618,0
20190625T23-04,628,722,0
20190625T22-04,628,790,0
20190625T21-04,628,818,0
20190625T20-04,628,838,0
20190625T19-04,629,806,1
20190625T18-04,628,803,1
20190625T17-04,623,813,1
20190625T16-04,626,849,2
20190625T15-04,629,798,2
20190625T14-04,629,804,2
20190625T13-04,630,783,2
20190625T12-04,628,853,2
20190625T11-04,625,736,2
20190625T10-04,529,712,2
20190625T09-04,395,593,1
20190625T08-04,369,674,0
20190625T07-04,351,552,0
20190625T06-04,344,491,0
20190625T05-04,334,498,0
20190625T04-04,321,496,0
20190625T03-04,331,492,0
20190625T02-04,380,494,0
20190625T01-04,487,471,0
20190625T00-04,595,550,0
20190624T23-04,631,673,0
20190624T22-04,606,744,0
20190624T21-04,617,854,0
20190624T20-04,620,855,0
20190624T19-04,629,867,1
20190624T18-04,631,854,2
20190624T17-04,631,825,2
20190624T16-04,630,824,2
20190624T15-04,630,874,2
20190624T14-04,630,870,2
20190624T13-04,631,888,2
20190624T12-04,632,839,2
20190624T11-04,587,715,2
20190624T10-04,471,721,2
20190624T09-04,341,715,1
20190624T08-04,320,625,0
20190624T07-04,321,610,0
20190624T06-04,320,539,0
20190624T05-04,320,500,0
20190624T04-04,321,499,0
20190624T03-04,345,499,0
20190624T02-04,393,501,0
20190624T01-04,463,501,0
20190624T00-04,529,631,0
20190623T23-04,480,791,0
20190623T22-04,601,816,0
20190623T21-04,631,735,0
20190623T20-04,632,849,0
20190623T19-04,630,846,1
20190623T18-04,614,821,2
20190623T17-04,608,823,2
20190623T16-04,587,755,2
20190623T15-04,591,813,2
20190623T14-04,598,755,2
20190623T13-04,615,759,2
20190623T12-04,600,730,2
20190623T11-04,537,718,2
20190623T10-04,476,724,2
20190623T09-04,351,725,1
20190623T08-04,321,570,0
20190623T07-04,320,498,0
20190623T06-04,320,468,0
20190623T05-04,327,484,0
20190623T04-04,374,504,0
20190623T03-04,377,502,0
20190623T02-04,395,504,0
20190623T01-04,474,504,0
20190623T00-04,501,637,0
20190622T23-04,527,724,0
20190622T22-04,571,720,0
20190622T21-04,607,715,0
20190622T20-04,562,727,0
20190622T19-04,584,763,1
20190622T18-04,602,759,1
20190622T17-04,614,759,2
20190622T16-04,616,746,1
20190622T15-04,608,709,1
20190622T14-04,601,712,1
20190622T13-04,579,729,1
20190622T12-04,595,742,1
20190622T11-04,541,457,2
20190622T10-04,524,726,1
20190622T09-04,405,731,1
20190622T08-04,340,687,0
20190622T07-04,360,583,0
20190622T06-04,372,514,0
20190622T05-04,371,506,0
20190622T04-04,374,506,0
20190622T03-04,384,505,0
20190622T02-04,443,232,0
20190622T01-04,528,503,0
20190622T00-04,571,588,0
20190621T23-04,631,798,0
20190621T22-04,631,819,0
20190621T21-04,629,774,0
20190621T20-04,614,748,0
20190621T19-04,596,781,1
20190621T18-04,574,915,1
20190621T17-04,600,955,2
20190621T16-04,590,923,2
20190621T15-04,570,903,2
20190621T14-04,568,887,2
20190621T13-04,613,865,2
20190621T12-04,615,771,2
20190621T11-04,609,740,2
20190621T10-04,511,724,1
20190621T09-04,383,706,1
20190621T08-04,344,614,0
20190621T07-04,344,562,0
20190621T06-04,342,505,0
20190621T05-04,379,398,0
20190621T04-04,408,220,0
20190621T03-04,415,234,0
20190621T02-04,357,419,0
20190621T01-04,421,509,0
20190621T00-04,479,642,0
20190620T23-04,582,732,0
20190620T22-04,610,461,0
20190620T21-04,604,750,0
20190620T20-04,602,803,0
20190620T19-04,599,820,1
20190620T18-04,613,817,1
20190620T17-04,617,816,1
20190620T16-04,621,754,1
20190620T15-04,634,708,1
20190620T14-04,561,710,1
20190620T13-04,559,712,1
20190620T12-04,579,715,2
20190620T11-04,545,719,1
20190620T10-04,434,727,1
20190620T09-04,335,710,1
20190620T08-04,321,625,0
20190620T07-04,321,566,0
20190620T06-04,320,490,0
20190620T05-04,320,422,0
20190620T04-04,320,406,0
20190620T03-04,319,432,0
20190620T02-04,320,465,0
20190620T01-04,319,483,0
20190620T00-04,318,530,0
20190619T23-04,348,663,0
20190619T22-04,472,739,0
20190619T21-04,498,731,0
20190619T20-04,520,727,0
20190619T19-04,523,720,0
20190619T18-04,517,713,1
20190619T17-04,546,714,1
20190619T16-04,633,722,1
20190619T15-04,628,719,1
20190619T14-04,607,715,1
20190619T13-04,611,721,1
20190619T12-04,523,730,1
20190619T11-04,421,735,1
20190619T10-04,329,728,1
20190619T09-04,320,654,0
20190619T08-04,320,605,0
20190619T07-04,318,553,0
20190619T06-04,319,511,0
20190619T05-04,318,509,0
20190619T04-04,319,508,0
20190619T03-04,318,508,0
20190619T02-04,319,506,0
20190619T01-04,318,505,0
20190619T00-04,318,637,0
20190618T23-04,406,732,0
20190618T22-04,566,730,0
20190618T21-04,609,726,0
20190618T20-04,620,778,0
20190618T19-04,621,796,1
20190618T18-04,621,796,1
20190618T17-04,621,779,1
20190618T16-04,619,778,1
20190618T15-04,615,732,1
20190618T14-04,601,727,1
20190618T13-04,584,730,1
20190618T12-04,531,720,1
20190618T11-04,446,725,1
20190618T10-04,372,681,1
20190618T09-04,345,594,1
20190618T08-04,320,578,0
20190618T07-04,320,492,0
20190618T06-04,319,461,0
20190618T05-04,349,334,0
20190618T04-04,423,155,0
20190618T03-04,366,288,0
20190618T02-04,319,487,0
20190618T01-04,319,498,0
20190618T00-04,361,598,0
20190617T23-04,385,722,0
20190617T22-04,459,470,0
20190617T21-04,479,742,0
20190617T20-04,513,741,0
20190617T19-04,568,651,0
20190617T18-04,579,625,0
20190617T17-04,590,751,0
20190617T16-04,602,841,1
20190617T15-04,609,813,1
20190617T14-04,611,793,1
20190617T13-04,615,818,1
20190617T12-04,585,724,1
20190617T11-04,474,724,1
20190617T10-04,406,644,1
20190617T09-04,345,579,1
20190617T08-04,328,504,0
20190617T07-04,322,461,0
20190617T06-04,322,421,0
20190617T05-04,321,363,0
20190617T04-04,321,360,0
20190617T03-04,322,395,0
20190617T02-04,321,438,0
20190617T01-04,321,459,0
20190617T00-04,321,644,0
20190616T23-04,370,743,0
20190616T22-04,449,742,0
20190616T21-04,490,741,0
20190616T20-04,536,738,0
20190616T19-04,549,738,1
20190616T18-04,504,739,0
20190616T17-04,533,740,0
20190616T16-04,571,740,0
20190616T15-04,596,751,0
20190616T14-04,610,778,1
20190616T13-04,610,766,1
20190616T12-04,609,724,1
20190616T11-04,588,639,1
20190616T10-04,489,320,1
20190616T09-04,375,568,1
20190616T08-04,332,497,0
20190616T07-04,322,410,0
20190616T06-04,321,419,0
20190616T05-04,320,440,0
20190616T04-04,320,486,0
20190616T03-04,343,464,0
20190616T02-04,376,495,0
20190616T01-04,415,508,0
20190616T00-04,541,538,0
20190615T23-04,582,608,0
20190615T22-04,559,561,0
20190615T21-04,572,507,0
20190615T20-04,615,582,0
20190615T19-04,616,595,0
20190615T18-04,617,599,1
20190615T17-04,614,588,0
20190615T16-04,617,581,1
20190615T15-04,620,573,1
20190615T14-04,623,586,0
20190615T13-04,624,538,0
20190615T12-04,594,498,0
20190615T11-04,564,501,0
20190615T10-04,491,504,0
20190615T09-04,412,509,0
20190615T08-04,342,480,0
20190615T07-04,342,367,0
20190615T06-04,341,333,0
20190615T05-04,329,335,0
20190615T04-04,319,376,0
20190615T03-04,321,432,0
20190615T02-04,352,451,0
20190615T01-04,397,464,0
20190615T00-04,400,450,0
20190614T23-04,345,498,0
20190614T22-04,297,391,0
20190614T21-04,238,347,0
20190614T20-04,55,513,0
20190614T19-04,0,535,0
20190614T18-04,0,542,0
20190614T17-04,0,543,1
20190614T16-04,0,530,1
20190614T15-04,0,554,1
20190614T14-04,0,515,1
20190614T13-04,0,503,1
20190614T12-04,0,527,1
20190614T11-04,0,525,1
20190614T10-04,0,555,1
20190614T09-04,0,519,1
20190614T08-04,0,489,0
20190614T07-04,0,462,0
20190614T06-04,0,506,0
20190614T05-04,0,468,0
20190614T04-04,0,458,0
20190614T03-04,0,492,0
20190614T02-04,0,487,0
20190614T01-04,0,485,0
20190614T00-04,0,476,0
20190613T23-04,0,510,0
20190613T22-04,0,554,0
20190613T21-04,0,500,0
20190613T20-04,0,511,0
20190613T19-04,0,514,0
20190613T18-04,0,512,0
20190613T17-04,0,510,0
20190613T16-04,0,503,0
20190613T15-04,0,499,1
20190613T14-04,0,500,2
20190613T13-04,0,543,1
20190613T12-04,0,534,1
20190613T11-04,0,495,2
20190613T10-04,0,497,2
20190613T09-04,0,532,1
20190613T08-04,0,544,0
20190613T07-04,0,505,0
20190613T06-04,0,504,0
20190613T05-04,0,511,0
20190613T04-04,0,512,0
20190613T03-04,0,507,0
20190613T02-04,0,508,0
20190613T01-04,0,449,0
20190613T00-04,0,507,0
20190612T23-04,0,530,0
20190612T22-04,0,595,0
20190612T21-04,0,526,0
20190612T20-04,0,498,0
20190612T19-04,0,496,1
20190612T18-04,0,594,2
20190612T17-04,0,627,2
20190612T16-04,0,579,2
20190612T15-04,0,498,1
20190612T14-04,0,515,2
20190612T13-04,0,569,2
20190612T12-04,0,575,1
20190612T11-04,0,546,1
20190612T10-04,0,557,2
20190612T09-04,0,514,1
20190612T08-04,0,514,0
20190612T07-04,0,517,0
20190612T06-04,0,516,0
20190612T05-04,0,515,0
20190612T04-04,0,515,0
20190612T03-04,0,514,0
20190612T02-04,0,531,0
20190612T01-04,0,608,0
20190612T00-04,0,524,0
20190611T23-04,131,429,0
20190611T22-04,330,519,0
20190611T21-04,509,530,0
20190611T20-04,616,520,0
20190611T19-04,626,562,1
20190611T18-04,629,573,1
20190611T17-04,627,539,1
20190611T16-04,630,514,1
20190611T15-04,628,486,2
20190611T14-04,626,508,1
20190611T13-04,625,503,1
20190611T12-04,624,521,1
20190611T11-04,599,506,1
20190611T10-04,518,506,2
20190611T09-04,414,510,1
20190611T08-04,358,512,0
20190611T07-04,368,461,0
20190611T06-04,439,270,0
20190611T05-04,458,158,0
20190611T04-04,458,160,0
20190611T03-04,446,232,0
20190611T02-04,395,380,0
20190611T01-04,400,474,0
20190611T00-04,508,512,0
20190610T23-04,598,511,0
20190610T22-04,596,509,0
20190610T21-04,560,506,0
20190610T20-04,592,504,0
20190610T19-04,627,531,1
20190610T18-04,627,517,1
20190610T17-04,3750,504,2
20190610T16-04,0,509,1
20190610T15-04,0,508,1
20190610T14-04,0,504,1
20190610T13-04,0,502,1
20190610T12-04,0,505,1
20190610T11-04,566,508,1
20190610T10-04,504,511,1
20190610T09-04,431,513,0
20190610T08-04,362,513,0
20190610T07-04,321,490,0
20190610T06-04,321,402,0
20190610T05-04,321,335,0
20190610T04-04,321,322,0
20190610T03-04,320,354,0
20190610T02-04,321,409,0
20190610T01-04,325,493,0
20190610T00-04,391,516,0
20190609T23-04,468,517,0
20190609T22-04,488,513,0
20190609T21-04,485,514,0
20190609T20-04,494,511,0
20190609T19-04,464,510,0
20190609T18-04,482,507,0
20190609T17-04,494,505,0
20190609T16-04,512,503,1
20190609T15-04,540,508,1
20190609T14-04,529,511,0
20190609T13-04,493,500,1
20190609T12-04,476,498,0
20190609T11-04,529,501,0
20190609T10-04,557,505,0
20190609T09-04,441,510,1
20190609T08-04,325,507,0
20190609T07-04,321,445,0
20190609T06-04,321,423,0
20190609T05-04,319,438,0
20190609T04-04,320,453,0
20190609T03-04,320,493,0
20190609T02-04,353,511,0
20190609T01-04,409,511,0
20190609T00-04,496,511,0
20190608T23-04,571,510,0
20190608T22-04,571,510,0
20190608T21-04,601,510,0
20190608T20-04,628,554,0
20190608T19-04,626,570,0
20190608T18-04,623,597,0
20190608T17-04,625,599,1
20190608T16-04,624,545,1
20190608T15-04,605,496,1
20190608T14-04,471,503,2
20190608T13-04,398,502,1
20190608T12-04,426,497,1
20190608T11-04,479,500,1
20190608T10-04,446,502,1
20190608T09-04,385,506,1
20190608T08-04,351,507,0
20190608T07-04,330,507,0
20190608T06-04,329,504,0
20190608T05-04,337,489,0
20190608T04-04,344,508,0
20190608T03-04,376,496,0
20190608T02-04,385,506,0
20190608T01-04,461,506,0
20190608T00-04,492,504,0
20190607T23-04,520,503,0
20190607T22-04,558,502,0
20190607T21-04,523,500,0
20190607T20-04,521,498,0
20190607T19-04,561,497,0
20190607T18-04,574,496,1
20190607T17-04,606,496,1
20190607T16-04,618,539,1
20190607T15-04,624,592,1
20190607T14-04,623,593,1
20190607T13-04,624,550,1
20190607T12-04,611,503,1
20190607T11-04,618,504,1
20190607T10-04,604,506,1
20190607T09-04,533,508,1
20190607T08-04,476,511,0
20190607T07-04,382,507,0
20190607T06-04,353,499,0
20190607T05-04,348,458,0
20190607T04-04,349,457,0
20190607T03-04,359,477,0
20190607T02-04,387,510,0
20190607T01-04,449,510,0
20190607T00-04,531,508,0
20190606T23-04,599,508,0
20190606T22-04,574,502,0
20190606T21-04,545,385,0
20190606T20-04,592,458,0
20190606T19-04,616,463,0
20190606T18-04,621,509,0
20190606T17-04,623,565,0
20190606T16-04,625,577,1
20190606T15-04,625,503,0
20190606T14-04,626,494,1
20190606T13-04,617,510,1
20190606T12-04,616,589,2
20190606T11-04,619,513,2
20190606T10-04,604,507,2
20190606T09-04,530,513,1
20190606T08-04,461,508,0
20190606T07-04,344,482,0
20190606T06-04,321,460,0
20190606T05-04,320,425,0
20190606T04-04,320,438,0
20190606T03-04,323,501,0
20190606T02-04,363,515,0
20190606T01-04,425,515,0
20190606T00-04,473,515,0
20190605T23-04,514,514,0
20190605T22-04,535,509,0
20190605T21-04,557,504,0
20190605T20-04,563,504,0
20190605T19-04,565,503,0
20190605T18-04,574,504,0
20190605T17-04,614,500,0
20190605T16-04,625,492,1
20190605T15-04,625,515,1
20190605T14-04,626,548,1
20190605T13-04,628,589,1
20190605T12-04,628,596,1
20190605T11-04,615,519,2
20190605T10-04,603,506,2
20190605T09-04,527,511,1
20190605T08-04,414,512,0
20190605T07-04,319,471,0
20190605T06-04,318,404,0
20190605T05-04,318,374,0
20190605T04-04,369,293,0
20190605T03-04,381,341,0
20190605T02-04,397,409,0
20190605T01-04,464,453,0
20190605T00-04,575,472,0
20190604T23-04,598,516,0
20190604T22-04,552,532,0
20190604T21-04,564,570,0
20190604T20-04,497,664,0
20190604T19-04,615,602,0
20190604T18-04,619,611,0
20190604T17-04,620,579,0
20190604T16-04,619,505,1
20190604T15-04,619,542,2
20190604T14-04,619,587,1
20190604T13-04,621,524,2
20190604T12-04,601,494,2
20190604T11-04,615,497,2
20190604T10-04,592,498,1
20190604T09-04,543,503,1
20190604T08-04,475,508,0
20190604T07-04,378,511,0
20190604T06-04,347,505,0
20190604T05-04,329,504,0
20190604T04-04,339,514,0
20190604T03-04,366,511,0
20190604T02-04,422,510,0
20190604T01-04,502,510,0
20190602T00-04,479,513,0
20190601T23-04,592,415,0
20190601T22-04,625,381,0
20190601T21-04,621,447,0
20190601T20-04,621,410,0
20190601T19-04,620,487,1
20190601T18-04,624,459,1
20190601T17-04,625,480,2
20190601T16-04,625,350,2
20190601T15-04,625,490,2
20190601T14-04,625,472,2
20190601T13-04,628,373,1
20190601T12-04,628,238,1
20190601T11-04,627,229,1
20190601T10-04,620,230,2
20190601T09-04,606,233,1
20190601T08-04,544,235,0
20190601T07-04,416,235,0
20190601T06-04,409,235,0
20190601T05-04,412,227,0
20190601T04-04,436,224,0
20190601T03-04,469,223,0
20190601T02-04,523,224,0
20190601T01-04,577,224,0
20190601T00-04,612,223,0
20190531T23-04,610,271,0
20190531T22-04,623,356,0
20190531T21-04,624,365,0
20190531T20-04,623,590,0
20190531T19-04,620,583,1
20190531T18-04,617,599,2
20190531T17-04,620,596,2
20190531T16-04,621,540,2
20190531T15-04,621,546,2
20190531T14-04,620,577,2
20190531T13-04,622,496,2
20190531T12-04,623,362,2
20190531T11-04,620,263,1
20190531T10-04,615,236,0
20190531T09-04,570,237,0
20190531T08-04,489,237,0
20190531T07-04,468,236,0
20190531T06-04,430,235,0
20190531T05-04,411,234,0
20190531T04-04,424,234,0
20190531T03-04,465,233,0
20190531T02-04,525,117,0
20190531T01-04,589,258,0
20190531T00-04,610,193,0
20190530T23-04,623,338,0
20190530T22-04,624,379,0
20190530T21-04,623,446,0
20190530T20-04,623,505,0
20190530T19-04,625,579,1
20190530T18-04,626,589,1
20190530T17-04,627,586,1
20190530T16-04,629,566,2
20190530T15-04,630,468,2
20190530T14-04,629,480,2
20190530T13-04,630,331,1
20190530T12-04,628,315,2
20190530T11-04,594,233,2
20190530T10-04,534,234,2
20190530T09-04,520,235,1
20190530T08-04,444,236,0
20190530T07-04,364,236,0
20190530T06-04,322,222,0
20190530T05-04,322,198,0
20190530T04-04,354,190,0
20190530T03-04,372,219,0
20190530T02-04,416,236,0
20190530T01-04,483,233,0
20190530T00-04,555,231,0
20190529T23-04,588,231,0
20190529T22-04,616,329,0
20190529T21-04,613,316,0
20190529T20-04,623,452,0
20190529T19-04,626,600,1
20190529T18-04,628,548,2
20190529T17-04,629,541,2
20190529T16-04,630,491,2
20190529T15-04,630,422,2
20190529T14-04,630,388,2
20190529T13-04,593,237,2
20190529T12-04,522,231,2
20190529T11-04,514,233,2
20190529T10-04,455,235,2
20190529T09-04,454,237,1
20190529T08-04,474,236,0
20190529T07-04,416,236,0
20190529T06-04,384,236,0
20190529T05-04,374,236,0
20190529T04-04,391,236,0
20190529T03-04,436,236,0
20190529T02-04,501,236,0
20190529T01-04,532,236,0
20190529T00-04,573,238,0
20190528T23-04,626,403,0
20190528T22-04,626,240,0
20190528T21-04,628,469,0
20190528T20-04,627,509,0
20190528T19-04,626,452,1
20190528T18-04,624,480,1
20190528T17-04,625,523,1
20190528T16-04,627,594,2
20190528T15-04,625,592,2
20190528T14-04,626,473,2
20190528T13-04,627,481,2
20190528T12-04,627,426,2
20190528T11-04,625,336,2
20190528T10-04,584,238,1
20190528T09-04,546,236,0
20190528T08-04,530,236,0
20190528T07-04,520,236,0
20190528T06-04,485,236,0
20190528T05-04,468,236,0
20190528T04-04,480,236,0
20190528T03-04,516,236,0
20190528T02-04,568,235,0
20190528T01-04,572,234,0
20190528T00-04,591,233,0
20190527T23-04,624,386,0
20190527T22-04,621,447,0
20190527T21-04,623,461,0
20190527T20-04,624,450,0
20190527T19-04,622,445,1
20190527T18-04,624,526,1
20190527T17-04,622,668,2
20190527T16-04,624,535,2
20190527T15-04,624,215,2
20190527T14-04,626,433,2
20190527T13-04,626,453,2
20190527T12-04,626,427,0
20190527T11-04,617,312,0
20190527T10-04,529,242,0
20190527T09-04,452,237,0
20190527T08-04,388,238,0
20190527T07-04,373,234,0
20190527T06-04,374,234,0
20190527T05-04,376,234,0
20190527T04-04,404,234,0
20190527T03-04,428,234,0
20190527T02-04,488,234,0
20190527T01-04,507,234,0
20190527T00-04,558,234,0
20190526T23-04,620,360,0
20190526T22-04,623,421,0
20190526T21-04,622,371,0
20190526T20-04,622,357,0
20190526T19-04,625,310,1
20190526T18-04,629,285,1
20190526T17-04,631,356,2
20190526T16-04,630,370,2
20190526T15-04,632,410,1
20190526T14-04,630,388,2
20190526T13-04,631,282,2
20190526T12-04,619,246,0
20190526T11-04,578,233,0
20190526T10-04,498,235,0
20190526T09-04,411,235,0
20190526T08-04,327,211,0
20190526T07-04,335,228,0
20190526T06-04,371,225,0
20190526T05-04,371,239,0
20190526T04-04,374,239,0
20190526T03-04,416,239,0
20190526T02-04,478,239,0
20190526T01-04,517,237,0
20190526T00-04,545,236,0
20190525T23-04,620,299,0
20190525T22-04,627,429,0
20190525T21-04,628,420,0
20190525T20-04,629,375,0
20190525T19-04,628,403,1
20190525T18-04,630,360,2
20190525T17-04,629,380,2
20190525T16-04,630,401,2
20190525T15-04,631,451,2
20190525T14-04,631,429,1
20190525T13-04,632,394,1
20190525T12-04,625,331,0
20190525T11-04,591,243,0
20190525T10-04,509,235,0
20190525T09-04,444,237,0
20190525T08-04,397,238,0
20190525T07-04,323,212,0
20190525T06-04,323,199,0
20190525T05-04,340,175,0
20190525T04-04,352,211,0
20190525T03-04,404,234,0
20190525T02-04,424,235,0
20190525T01-04,495,234,0
20190525T00-04,525,113,0
20190524T23-04,614,233,0
20190524T22-04,628,286,0
20190524T21-04,566,237,0
20190524T20-04,605,337,0
20190524T19-04,604,401,1
20190524T18-04,611,462,2
20190524T17-04,609,462,2
20190524T16-04,597,463,2
20190524T15-04,599,457,2
20190524T14-04,617,375,2
20190524T13-04,572,281,2
20190524T12-04,546,285,2
20190524T11-04,532,261,2
20190524T10-04,463,242,0
20190524T09-04,407,236,0
20190524T08-04,404,236,0
20190524T07-04,385,236,0
20190524T06-04,349,235,0
20190524T05-04,322,219,0
20190524T04-04,321,235,0
20190524T03-04,361,236,0
20190524T02-04,384,236,0
20190524T01-04,384,236,0
20190524T00-04,397,236,0
20190523T23-04,503,236,0
20190523T22-04,568,234,0
20190523T21-04,603,234,0
20190523T20-04,628,352,0
20190523T19-04,627,424,1
20190523T18-04,624,514,2
20190523T17-04,626,553,1
20190523T16-04,623,486,2
20190523T15-04,622,443,1
20190523T14-04,620,352,1
20190523T13-04,576,271,2
20190523T12-04,515,246,2
20190523T11-04,556,259,2
20190523T10-04,554,247,2
20190523T09-04,460,250,1
20190523T08-04,407,233,0
20190523T07-04,388,233,0
20190523T06-04,321,233,0
20190523T05-04,319,224,0
20190523T04-04,332,231,0
20190523T03-04,359,232,0
20190523T02-04,414,232,0
20190523T01-04,509,233,0
20190523T00-04,494,232,0
20190522T23-04,587,233,0
20190522T22-04,631,267,0
20190522T21-04,628,339,0
20190522T20-04,627,465,0
20190522T19-04,627,517,1
20190522T18-04,616,602,1
20190522T17-04,593,597,1
20190522T16-04,589,544,1
20190522T15-04,597,527,1
20190522T14-04,589,458,1
20190522T13-04,606,350,1
20190522T12-04,610,304,1
20190522T11-04,600,240,1
20190522T10-04,560,229,2
20190522T09-04,538,229,1
20190522T08-04,508,229,0
20190522T07-04,452,228,0
20190522T06-04,408,229,0
20190522T05-04,383,228,0
20190522T04-04,398,229,0
20190522T03-04,435,228,0
20190522T02-04,506,229,0
20190522T01-04,610,229,0
20190522T00-04,629,217,0
20190521T23-04,631,286,0
20190521T22-04,631,441,0
20190521T21-04,630,485,0
20190521T20-04,631,563,0
20190521T19-04,631,620,1
20190521T18-04,630,656,1
20190521T17-04,630,638,1
20190521T16-04,631,579,2
20190521T15-04,611,570,1
20190521T14-04,629,438,1
20190521T13-04,624,369,2
20190521T12-04,632,317,2
20190521T11-04,631,255,2
20190521T10-04,546,269,1
20190521T09-04,458,270,0
20190521T08-04,409,265,0
20190521T07-04,442,248,0
20190521T06-04,417,237,0
20190521T05-04,398,237,0
20190521T04-04,405,236,0
20190521T03-04,415,231,0
20190521T02-04,466,231,0
20190521T01-04,523,231,0
20190521T00-04,586,231,0
20190520T23-04,619,231,0
20190520T22-04,634,271,0
20190520T21-04,633,295,0
20190520T20-04,631,297,0
20190520T19-04,630,310,1
20190520T18-04,630,346,1
20190520T17-04,630,369,1
20190520T16-04,630,324,1
20190520T15-04,631,327,1
20190520T14-04,631,341,1
20190520T13-04,626,275,1
20190520T12-04,631,273,0
20190520T11-04,592,239,0
20190520T10-04,536,234,0
20190520T09-04,451,236,0
20190520T08-04,382,238,0
20190520T07-04,372,238,0
20190520T06-04,325,225,0
20190520T05-04,320,213,0
20190520T04-04,322,225,0
20190520T03-04,325,219,0
20190520T02-04,368,234,0
20190520T01-04,437,236,0
20190520T00-04,545,235,0
20190519T23-04,542,260,0
20190519T22-04,549,340,0
20190519T21-04,603,361,0
20190519T20-04,629,341,0
20190519T19-04,631,449,1
20190519T18-04,629,461,2
20190519T17-04,629,405,2
20190519T16-04,630,320,2
20190519T15-04,625,277,2
20190519T14-04,616,277,2
20190519T13-04,619,297,0
20190519T12-04,614,250,0
20190519T11-04,557,233,0
20190519T10-04,469,235,0
20190519T09-04,383,218,0
20190519T08-04,328,210,0
20190519T07-04,323,194,0
