,hydro
20191204T17-05,154
20191204T16-05,153
20191204T15-05,153
20191204T14-05,153
20191204T13-05,153
20191204T12-05,154
20191204T11-05,151
20191204T10-05,155
20191204T09-05,152
20191204T08-05,154
20191204T07-05,153
20191204T06-05,152
20191204T05-05,154
20191204T04-05,153
20191204T03-05,153
20191204T02-05,153
20191204T01-05,154
20191204T00-05,154
20191203T23-05,153
20191203T22-05,152
20191203T21-05,153
20191203T20-05,153
20191203T19-05,153
20191203T18-05,153
20191203T17-05,153
20191203T16-05,154
20191203T15-05,153
20191203T14-05,153
20191203T13-05,153
20191203T12-05,153
20191203T11-05,153
20191203T10-05,153
20191203T09-05,153
20191203T08-05,153
20191203T07-05,153
20191203T06-05,155
20191203T05-05,153
20191203T04-05,154
20191203T03-05,153
20191203T02-05,153
20191203T01-05,153
20191203T00-05,154
20191202T23-05,153
20191202T22-05,153
20191202T21-05,153
20191202T20-05,153
20191202T19-05,153
20191202T18-05,154
20191202T17-05,154
20191202T16-05,153
20191202T15-05,154
20191202T14-05,153
20191202T13-05,153
20191202T12-05,154
20191202T11-05,153
20191202T10-05,153
20191202T09-05,154
20191202T08-05,154
20191202T07-05,153
20191202T06-05,153
20191202T05-05,153
20191202T04-05,154
20191202T03-05,153
20191202T02-05,154
20191202T01-05,153
20191202T00-05,154
20191201T23-05,123
20191201T22-05,122
20191201T21-05,123
20191201T20-05,123
20191201T19-05,122
20191201T18-05,124
20191201T17-05,122
20191201T16-05,123
20191201T15-05,123
20191201T14-05,123
20191201T13-05,124
20191201T12-05,124
20191201T11-05,123
20191201T10-05,123
20191201T09-05,123
20191201T08-05,119
20191201T07-05,3
20191201T06-05,0
20191201T05-05,1
20191201T04-05,0
20191201T03-05,1
20191201T02-05,0
20191201T01-05,1
20191201T00-05,0
20191130T23-05,3
20191130T22-05,117
20191130T21-05,123
20191130T20-05,123
20191130T19-05,122
20191130T18-05,123
20191130T17-05,112
20191130T16-05,2
20191130T15-05,0
20191130T14-05,1
20191130T13-05,3
20191130T12-05,121
20191130T11-05,123
20191130T10-05,123
20191130T09-05,123
20191130T08-05,123
20191130T07-05,119
20191130T06-05,4
20191130T05-05,0
20191130T04-05,1
20191130T03-05,0
20191130T02-05,1
20191130T01-05,0
20191130T00-05,1
20191129T23-05,3
20191129T22-05,121
20191129T21-05,123
20191129T20-05,123
20191129T19-05,123
20191129T18-05,122
20191129T17-05,81
20191129T16-05,0
20191129T15-05,3
20191129T14-05,0
20191129T13-05,5
20191129T12-05,122
20191129T11-05,123
20191129T10-05,122
20191129T09-05,123
20191129T08-05,123
20191129T07-05,118
20191129T06-05,4
20191129T05-05,0
20191129T04-05,1
20191129T03-05,0
20191129T02-05,0
20191129T01-05,1
20191129T00-05,0
20191128T23-05,1
20191128T22-05,0
20191128T21-05,2
20191128T20-05,118
20191128T19-05,124
20191128T18-05,121
20191128T17-05,7
20191128T16-05,2
20191128T15-05,24
20191128T14-05,121
20191128T13-05,123
20191128T12-05,123
20191128T11-05,108
20191128T10-05,123
20191128T09-05,121
20191128T08-05,123
20191128T07-05,123
20191128T06-05,118
20191128T05-05,3
20191128T04-05,0
20191128T03-05,1
20191128T02-05,1
20191128T01-05,5
20191128T00-05,123
20191127T23-05,123
20191127T22-05,123
20191127T21-05,123
20191127T20-05,123
20191127T19-05,123
20191127T18-05,115
20191127T17-05,1
20191127T16-05,0
20191127T15-05,1
20191127T14-05,0
20191127T13-05,1
20191127T12-05,0
20191127T11-05,5
20191127T10-05,121
20191127T09-05,122
20191127T08-05,123
20191127T07-05,123
20191127T06-05,120
20191127T05-05,1
20191127T04-05,1
20191127T03-05,2
20191127T02-05,1
20191127T01-05,7
20191127T00-05,122
20191126T23-05,123
20191126T22-05,124
20191126T21-05,123
20191126T20-05,123
20191126T19-05,122
20191126T18-05,115
20191126T17-05,2
20191126T16-05,0
20191126T15-05,1
20191126T14-05,0
20191126T13-05,1
20191126T12-05,0
20191126T11-05,6
20191126T10-05,120
20191126T09-05,121
20191126T08-05,124
20191126T07-05,123
20191126T06-05,118
20191126T05-05,4
20191126T04-05,1
20191126T03-05,0
20191126T02-05,2
20191126T01-05,6
20191126T00-05,122
20191125T23-05,123
20191125T22-05,122
20191125T21-05,123
20191125T20-05,123
20191125T19-05,122
20191125T18-05,119
20191125T17-05,3
20191125T16-05,0
20191125T15-05,1
20191125T14-05,1
20191125T13-05,0
20191125T12-05,1
20191125T11-05,14
20191125T10-05,123
20191125T09-05,122
20191125T08-05,123
20191125T07-05,122
20191125T06-05,119
20191125T05-05,4
20191125T04-05,1
20191125T03-05,1
20191125T02-05,0
20191125T01-05,1
20191125T00-05,0
20191124T23-05,3
20191124T22-05,121
20191124T21-05,123
20191124T20-05,123
20191124T19-05,122
20191124T18-05,123
20191124T17-05,123
20191124T16-05,118
20191124T15-05,3
20191124T14-05,2
20191124T13-05,0
20191124T12-05,8
20191124T11-05,123
20191124T10-05,121
20191124T09-05,124
20191124T08-05,122
20191124T07-05,120
20191124T06-05,2
20191124T05-05,1
20191124T04-05,0
20191124T03-05,1
20191124T02-05,0
20191124T01-05,1
20191124T00-05,0
20191123T23-05,7
20191123T22-05,121
20191123T21-05,122
20191123T20-05,123
20191123T19-05,123
20191123T18-05,122
20191123T17-05,123
20191123T16-05,118
20191123T15-05,2
20191123T14-05,0
20191123T13-05,3
20191123T12-05,5
20191123T11-05,123
20191123T10-05,123
20191123T09-05,123
20191123T08-05,124
20191123T07-05,120
20191123T06-05,3
20191123T05-05,1
20191123T04-05,0
20191123T03-05,1
20191123T02-05,0
20191123T01-05,5
