,coal,natural gas,nuclear,petroleum,other,solar
20191107T09Z,550,827,69,0.0,15,0
20191107T08Z,552,858,65,0.0,16,0
20191107T07Z,550,916,66,0.0,15,0
20191107T06Z,604,941,66,0.0,15,0
20191107T05Z,783,907,67,0.0,15,0
20191107T04Z,868,1012,66,0.0,13,0
20191107T03Z,969,1093,65,0.0,15,0
20191107T02Z,1172,1045,68,0.0,16,0
20191107T01Z,1201,1130,65,0.0,15,0
20191107T00Z,1251,1169,67,0.0,14,0
20191106T23Z,1249,1156,65,0.0,14,0
20191106T22Z,1279,1168,67,0.0,15,1
20191106T21Z,1232,1270,66,0.0,12,6
20191106T20Z,1291,1255,67,0.0,14,12
20191106T19Z,1294,1239,66,0.0,14,9
20191106T18Z,1273,1178,66,0.0,13,12
20191106T17Z,1222,1106,65,0.0,15,11
20191106T16Z,1153,1040,66,0.0,15,12
20191106T15Z,1072,989,67,2.0,14,9
20191106T14Z,933,1020,66,0.0,15,5
20191106T13Z,928,935,67,0.0,16,0
20191106T12Z,818,959,65,0.0,12,0
20191106T11Z,622,957,66,0.0,15,0
20191106T10Z,550,896,67,0.0,13,0
20191106T09Z,551,874,67,0.0,14,0
20191106T08Z,548,898,66,0.0,12,0
20191106T07Z,556,942,66,0.0,14,0
20191106T06Z,646,930,67,0.0,15,0
20191106T05Z,799,928,67,0.0,13,0
20191106T04Z,940,990,65,0.0,14,0
20191106T03Z,1031,1079,66,0.0,14,0
20191106T02Z,1214,1072,66,0.0,16,0
20191106T01Z,1297,1123,66,0.0,15,0
20191106T00Z,1296,1227,66,0.0,15,0
20191105T23Z,1295,1215,66,0.0,16,0
20191105T22Z,1292,1221,66,0.0,14,1
20191105T21Z,1295,1271,66,0.0,14,2
20191105T20Z,1296,1290,68,0.0,15,5
20191105T19Z,1294,1292,64,0.0,16,8
20191105T18Z,1292,1230,66,1.0,15,15
20191105T17Z,1284,1131,67,0.0,12,14
20191105T16Z,1200,1083,68,0.0,12,15
20191105T15Z,1131,1017,64,0.0,16,18
20191105T14Z,925,1019,66,0.0,14,13
20191105T13Z,853,950,67,0.0,17,2
20191105T12Z,721,962,66,0.0,18,0
20191105T11Z,652,848,67,0.0,16,0
20191105T10Z,649,749,65,0.0,15,0
20191105T09Z,651,719,67,0.0,17,0
20191105T08Z,675,731,66,0.0,16,0
20191105T07Z,697,764,65,0.0,17,0
20191105T06Z,904,639,67,0.0,17,0
20191105T05Z,1052,689,66,0.0,18,0
20191105T04Z,1168,705,66,0.0,15,0
20191105T03Z,1262,805,66,0.0,15,0
20191105T02Z,1287,942,66,0.0,16,0
20191105T01Z,1292,1031,66,0.0,16,0
20191105T00Z,1273,1057,66,0.0,17,0
20191104T23Z,1204,1074,66,0.0,15,0
20191104T22Z,1215,1065,66,0.0,16,1
20191104T21Z,1248,1068,67,0.0,14,4
20191104T20Z,1259,1071,65,0.0,13,6
20191104T19Z,1232,1069,67,0.0,12,9
20191104T18Z,1181,1053,66,2.0,8,12
20191104T17Z,1203,966,66,0.0,7,11
20191104T16Z,1249,865,64,0.0,7,12
20191104T15Z,1210,740,67,0.0,9,14
20191104T14Z,1153,673,67,0.0,9,7
20191104T13Z,1052,672,66,0.0,9,2
20191104T12Z,988,663,66,0.0,11,0
20191104T11Z,832,624,66,0.0,12,0
20191104T10Z,780,549,65,0.0,11,0
20191104T09Z,782,511,66,0.0,7,0
20191104T08Z,780,522,66,0.0,9,0
20191104T07Z,787,547,67,0.0,10,0
20191104T06Z,839,568,65,0.0,8,0
20191102T04Z,832,810,66,0.0,7,0
20191102T03Z,936,861,65,0.0,6,0
20191102T02Z,1034,901,66,0.0,7,0
20191102T01Z,1149,917,68,0.0,7,0
20191102T00Z,1220,956,66,0.0,7,0
20191101T23Z,1250,953,65,0.0,7,0
20191101T22Z,1194,1088,66,0.0,7,2
20191101T21Z,1190,1175,67,0.0,7,3
20191101T20Z,1189,1185,65,0.0,7,9
20191101T19Z,1106,1212,65,0.0,7,15
20191101T18Z,984,1225,66,0.0,6,17
20191101T17Z,879,1217,67,0.0,7,17
20191101T16Z,819,1184,66,0.0,7,13
20191101T15Z,817,1125,63,0.0,7,11
20191101T14Z,815,1039,66,0.0,7,5
20191101T13Z,814,997,67,0.0,7,1
20191101T12Z,813,1008,67,0.0,7,0
20191101T11Z,711,1042,65,0.0,7,0
20191101T10Z,553,1068,66,0.0,7,0
20191101T09Z,536,1004,67,0.0,6,0
20191101T08Z,536,1021,65,0.0,7,0
20191101T07Z,536,1080,66,0.0,7,0
20191101T06Z,541,1166,65,0.0,7,0
20191101T05Z,654,1163,67,0.0,7,0
20191101T04Z,0,161,65,0.0,7,0
20191101T03Z,997,1054,66,0.0,6,0
20191101T02Z,1450,1174,65,0.0,7,0
20191101T01Z,795,1156,67,0.0,7,0
20191101T00Z,1295,1171,65,0.0,7,0
20191031T23Z,1294,1395,66,0.0,7,1
20191031T22Z,1296,1566,66,0.0,7,5
20191031T21Z,1293,1640,66,0.0,7,11
20191031T20Z,1287,1623,66,2.0,7,17
20191031T19Z,1295,1547,66,0.0,7,17
20191031T18Z,1293,1462,66,0.0,6,17
20191031T17Z,1274,1314,64,0.0,7,16
20191031T16Z,1165,1232,67,0.0,7,17
20191031T15Z,891,1283,66,0.0,7,16
20191031T14Z,814,1199,67,0.0,7,14
20191031T13Z,815,1036,66,0.0,7,2
20191031T12Z,789,1031,66,0.0,7,0
20191031T11Z,634,1264,66,0.0,7,0
20191031T10Z,561,1157,66,0.0,7,0
20191031T09Z,535,1080,65,0.0,6,0
20191031T08Z,534,1077,66,0.0,7,0
20191031T07Z,537,1121,66,0.0,7,0
20191031T06Z,543,1202,66,0.0,7,0
20191031T05Z,680,1194,65,0.0,7,0
20191031T04Z,856,1194,68,0.0,7,0
20191031T03Z,957,1179,66,0.0,6,0
20191031T02Z,1080,1262,65,0.0,7,0
20191031T01Z,1245,1271,66,0.0,7,0
20191031T00Z,1297,1371,67,0.0,7,0
20191030T23Z,1296,1501,65,0.0,7,0
20191030T22Z,1295,1618,65,0.0,7,6
20191030T21Z,1295,1672,66,0.0,7,12
20191030T20Z,1294,1659,67,0.0,7,14
20191030T19Z,1293,1578,67,2.0,7,16
20191030T18Z,1291,1485,64,0.0,6,17
20191030T17Z,1208,1297,66,0.0,7,14
20191030T16Z,1019,1298,68,0.0,7,14
20191030T15Z,958,1161,66,0.0,7,15
20191030T14Z,872,1212,65,0.0,7,13
20191030T13Z,857,1067,65,0.0,7,3
20191030T12Z,814,1081,67,0.0,7,0
20191030T11Z,660,1274,67,0.0,7,0
20191030T10Z,498,1263,65,0.0,7,0
20191030T09Z,443,1217,65,0.0,6,0
20191030T08Z,494,1150,66,0.0,7,0
20191030T07Z,530,1165,65,0.0,7,0
20191030T06Z,541,1216,66,0.0,7,0
20191030T05Z,683,1189,67,0.0,7,0
20191030T04Z,862,1184,66,0.0,7,0
20191030T03Z,958,1193,67,0.0,6,0
20191030T02Z,1049,1326,65,0.0,7,0
20191030T01Z,1195,1395,67,0.0,7,0
20191030T00Z,1294,1511,65,0.0,7,0
20191029T23Z,1294,1616,66,0.0,7,0
20191029T22Z,1296,1722,66,0.0,7,4
20191029T21Z,1296,1779,67,0.0,7,10
20191029T20Z,1283,1764,67,0.0,7,13
20191029T19Z,1289,1710,65,0.0,7,11
20191029T18Z,1287,1649,67,0.0,6,18
20191029T17Z,1221,1517,65,0.0,7,18
20191029T16Z,1123,1430,67,0.0,7,17
20191029T15Z,918,1388,65,0.0,7,15
20191029T14Z,852,1261,67,0.0,7,10
20191029T13Z,856,1098,65,0.0,7,3
20191029T12Z,828,1092,66,0.0,7,0
20191029T11Z,642,1286,69,0.0,7,0
20191029T10Z,445,1308,66,0.0,7,0
20191029T09Z,393,1273,65,0.0,6,0
20191029T08Z,387,1277,66,0.0,7,0
20191029T07Z,466,1238,67,0.0,8,0
20191029T06Z,552,1236,65,0.0,7,0
20191029T05Z,579,1302,66,0.0,7,0
20191029T04Z,768,1294,67,0.0,7,0
20191029T03Z,950,1340,66,0.0,6,0
20191029T02Z,1183,1340,66,0.0,7,0
20191029T01Z,1278,1524,66,0.0,7,0
