,hydro
20191101T07-07,1059
20191101T06-07,1056
20191101T05-07,1072
20191101T04-07,846
20191101T03-07,831
20191101T02-07,902
20191101T01-07,1022
20191101T00-07,927
20191031T23-07,944
20191031T22-07,1049
20191031T21-07,1071
20191031T20-07,1050
20191031T19-07,939
20191031T18-07,817
20191031T17-07,722
20191031T16-07,680
20191031T15-07,756
20191031T14-07,774
20191031T13-07,777
20191031T12-07,733
20191031T11-07,692
20191031T10-07,677
20191031T09-07,877
20191031T08-07,924
20191031T07-07,947
20191031T06-07,692
20191031T05-07,743
20191031T04-07,578
20191031T03-07,617
20191031T02-07,719
20191031T01-07,776
20191031T00-07,838
20191030T23-07,897
20191030T22-07,964
20191030T21-07,998
20191030T20-07,1147
20191030T19-07,1062
20191030T18-07,963
20191030T17-07,818
20191030T16-07,608
20191030T15-07,613
20191030T14-07,568
20191030T13-07,634
20191030T12-07,708
20191030T11-07,793
20191030T10-07,805
20191030T09-07,900
20191030T08-07,894
20191030T07-07,727
20191030T06-07,578
20191030T05-07,682
20191030T04-07,756
20191030T03-07,878
20191030T02-07,898
20191030T01-07,694
20191030T00-07,1003
20191029T23-07,1192
20191029T22-07,1185
20191029T21-07,1002
20191029T20-07,1030
20191029T19-07,926
20191029T18-07,869
20191029T17-07,827
20191029T16-07,676
20191029T15-07,742
20191029T14-07,845
20191029T13-07,834
20191029T12-07,827
20191029T11-07,724
20191029T10-07,731
20191029T09-07,685
20191029T08-07,660
20191029T07-07,530
20191029T06-07,626
20191029T05-07,460
20191029T04-07,520
20191029T03-07,614
20191029T02-07,643
20191029T01-07,494
20191029T00-07,399
20191028T23-07,569
20191028T22-07,541
20191028T21-07,756
20191028T20-07,919
20191028T19-07,851
20191028T18-07,922
20191028T17-07,1142
20191028T16-07,1119
20191028T15-07,920
20191028T14-07,775
20191028T13-07,678
20191028T12-07,636
20191028T11-07,642
20191028T10-07,692
20191028T09-07,575
20191028T08-07,439
20191028T07-07,554
20191028T06-07,706
20191028T05-07,673
20191028T04-07,616
20191028T03-07,492
20191028T02-07,670
20191028T01-07,714
20191028T00-07,771
20191027T23-07,776
20191027T22-07,699
20191027T21-07,891
20191027T20-07,1056
20191027T19-07,984
20191027T18-07,877
20191027T17-07,838
20191027T16-07,886
20191027T15-07,733
20191027T14-07,646
20191027T13-07,691
20191027T12-07,683
20191027T11-07,630
20191027T10-07,477
20191027T09-07,455
20191027T08-07,601
20191027T07-07,549
20191027T06-07,435
20191027T05-07,352
20191027T04-07,629
20191027T03-07,754
20191027T02-07,652
20191027T01-07,681
20191027T00-07,755
20191026T23-07,835
20191026T22-07,875
20191026T21-07,809
20191026T20-07,757
20191026T19-07,770
20191026T18-07,681
20191026T17-07,616
20191026T16-07,649
20191026T15-07,645
20191026T14-07,569
20191026T13-07,582
20191026T12-07,660
20191026T11-07,774
20191026T10-07,839
20191026T09-07,833
20191026T08-07,810
20191026T07-07,730
20191026T06-07,669
20191026T05-07,631
20191026T04-07,544
20191026T03-07,489
20191026T02-07,455
20191026T01-07,444
20191026T00-07,391
20191025T23-07,382
20191025T22-07,704
20191025T21-07,1013
20191025T20-07,1042
20191025T19-07,989
20191025T18-07,950
20191025T17-07,843
20191025T16-07,676
20191025T15-07,633
20191025T14-07,643
20191025T13-07,568
20191025T12-07,505
20191025T11-07,440
20191025T10-07,440
20191025T09-07,431
20191025T08-07,683
20191025T07-07,925
