,natural gas,solar
20190830T06-07,730,0
20190830T05-07,670,0
20190830T04-07,653,0
20190830T03-07,665,0
20190830T02-07,686,0
20190830T01-07,715,0
20190830T00-07,740,0
20190829T23-07,834,0
20190829T22-07,826,0
20190829T21-07,931,0
20190829T20-07,972,0
20190829T19-07,1029,1
20190829T18-07,1080,14
20190829T17-07,1108,37
20190829T16-07,1111,55
20190829T15-07,1090,93
20190829T14-07,1057,93
20190829T13-07,979,95
20190829T12-07,959,92
20190829T11-07,854,87
20190829T10-07,839,96
20190829T09-07,733,93
20190829T08-07,697,84
20190829T07-07,686,32
20190829T06-07,763,0
20190829T05-07,683,0
20190829T04-07,637,0
20190829T03-07,651,0
20190829T02-07,669,0
20190829T01-07,729,0
20190829T00-07,824,0
20190828T23-07,902,0
20190828T22-07,841,0
20190828T21-07,882,0
20190828T20-07,930,0
20190828T19-07,991,1
20190828T18-07,945,24
20190828T17-07,963,79
20190828T16-07,956,101
20190828T15-07,926,106
20190828T14-07,988,106
20190828T13-07,951,88
20190828T12-07,862,102
20190828T11-07,799,89
20190828T10-07,766,74
20190828T09-07,689,76
20190828T08-07,517,37
20190828T07-07,667,10
20190828T06-07,768,0
20190828T05-07,707,0
20190828T04-07,704,0
20190828T03-07,719,0
20190828T02-07,752,0
20190828T01-07,766,0
20190828T00-07,770,0
20190827T23-07,860,0
20190827T22-07,852,0
20190827T21-07,901,0
20190827T20-07,931,0
20190827T19-07,976,2
20190827T18-07,1013,14
20190827T17-07,1072,34
20190827T16-07,1072,54
20190827T15-07,1023,74
20190827T14-07,1007,104
20190827T13-07,923,105
20190827T12-07,912,106
20190827T11-07,803,106
20190827T10-07,685,105
20190827T09-07,610,102
20190827T08-07,614,87
20190827T07-07,638,36
20190827T06-07,730,0
20190827T05-07,671,0
20190827T04-07,648,0
20190827T03-07,663,0
20190827T02-07,691,0
20190827T01-07,746,0
20190827T00-07,797,0
20190826T23-07,890,0
20190826T22-07,883,0
20190826T21-07,936,0
20190826T20-07,967,0
20190826T19-07,980,4
20190826T18-07,948,52
20190826T17-07,915,90
20190826T16-07,1008,95
20190826T15-07,1032,83
20190826T14-07,961,99
20190826T13-07,966,105
20190826T12-07,945,105
20190826T11-07,850,101
20190826T10-07,794,100
20190826T09-07,707,96
20190826T08-07,661,83
20190826T07-07,664,35
20190826T06-07,740,1
20190826T05-07,688,0
20190826T04-07,654,0
20190826T03-07,658,0
20190826T02-07,685,0
20190826T01-07,729,0
20190826T00-07,790,0
20190825T23-07,880,0
20190825T22-07,934,0
20190825T21-07,930,0
20190825T20-07,1012,0
20190825T19-07,1038,5
20190825T18-07,1091,52
20190825T17-07,1076,83
20190825T16-07,1052,92
20190825T15-07,1019,100
20190825T14-07,949,100
20190825T13-07,865,100
20190825T12-07,760,101
20190825T11-07,718,102
20190825T10-07,670,101
20190825T09-07,606,100
20190825T08-07,502,87
20190825T07-07,481,37
20190825T06-07,538,1
20190825T05-07,551,0
20190825T04-07,566,0
20190825T03-07,588,0
20190825T02-07,617,0
20190825T01-07,663,0
20190825T00-07,750,0
20190824T23-07,796,0
20190824T22-07,737,0
20190824T21-07,754,0
20190824T20-07,799,0
20190824T19-07,831,2
20190824T18-07,828,28
20190824T17-07,842,58
20190824T16-07,788,102
20190824T15-07,743,105
20190824T14-07,681,104
20190824T13-07,608,104
20190824T12-07,535,107
20190824T11-07,472,102
20190824T10-07,467,91
20190824T09-07,454,77
20190824T08-07,453,57
20190824T07-07,451,14
20190824T06-07,517,0
20190824T05-07,517,0
20190824T04-07,517,0
20190824T03-07,533,0
20190824T02-07,578,0
20190824T01-07,607,0
20190824T00-07,651,0
20190823T23-07,708,0
20190823T22-07,627,0
20190823T21-07,587,0
20190823T20-07,590,0
20190823T19-07,633,0
20190823T18-07,648,3
20190823T17-07,805,8
20190823T16-07,910,37
20190823T15-07,1020,80
20190823T14-07,968,87
20190823T13-07,862,94
20190823T12-07,797,102
20190823T11-07,709,100
20190823T10-07,642,98
20190823T09-07,579,92
20190823T08-07,538,71
20190823T07-07,607,23
20190823T06-07,719,0
20190823T05-07,657,0
20190823T04-07,625,0
20190823T03-07,647,0
20190823T02-07,648,0
20190823T01-07,724,0
20190823T00-07,761,0
20190822T23-07,848,0
20190822T22-07,803,0
20190822T21-07,863,0
20190822T20-07,780,0
20190822T19-07,795,3
20190822T18-07,808,11
20190822T17-07,863,44
20190822T16-07,848,78
20190822T15-07,792,100
20190822T14-07,816,105
20190822T13-07,763,106
20190822T12-07,756,106
20190822T11-07,670,106
20190822T10-07,626,105
20190822T09-07,594,101
20190822T08-07,531,85
20190822T07-07,529,36
20190822T06-07,685,1
20190822T05-07,640,0
20190822T04-07,607,0
20190822T03-07,595,0
20190822T02-07,619,0
20190822T01-07,648,0
20190822T00-07,669,0
20190821T23-07,768,0
20190821T22-07,750,0
20190821T21-07,754,0
20190821T20-07,775,0
20190821T19-07,855,0
20190821T18-07,902,4
20190821T17-07,885,16
20190821T16-07,942,42
20190821T15-07,872,63
20190821T14-07,854,104
20190821T13-07,865,105
20190821T12-07,842,105
20190821T11-07,770,106
20190821T10-07,751,98
20190821T09-07,664,92
20190821T08-07,637,73
20190821T07-07,612,24
20190821T06-07,686,1
20190821T05-07,642,0
20190821T04-07,611,0
20190821T03-07,628,0
20190821T02-07,649,0
20190821T01-07,707,0
20190821T00-07,768,0
20190820T23-07,877,0
20190820T22-07,858,0
20190820T21-07,898,0
20190820T20-07,860,0
20190820T19-07,885,2
20190820T18-07,889,8
20190820T17-07,929,22
20190820T16-07,922,44
20190820T15-07,950,62
20190820T14-07,960,91
20190820T13-07,958,103
20190820T12-07,951,96
20190820T11-07,956,85
20190820T10-07,874,76
20190820T09-07,735,48
20190820T08-07,706,34
20190820T07-07,663,15
20190820T06-07,734,1
20190820T05-07,686,0
20190820T04-07,653,0
20190820T03-07,668,0
20190820T02-07,708,0
20190820T01-07,756,0
20190820T00-07,760,0
20190819T23-07,859,0
20190819T22-07,967,0
20190819T21-07,1061,0
20190819T20-07,1027,0
20190819T19-07,1060,5
20190819T18-07,976,35
20190819T17-07,991,68
20190819T16-07,985,79
20190819T15-07,921,91
20190819T14-07,965,84
20190819T13-07,874,91
20190819T12-07,927,74
20190819T11-07,927,78
20190819T10-07,891,58
20190819T09-07,785,43
20190819T08-07,775,32
20190819T07-07,721,20
20190819T06-07,725,0
20190819T05-07,653,0
20190819T04-07,611,0
20190819T03-07,616,0
20190819T02-07,658,0
20190819T01-07,706,0
20190819T00-07,772,0
20190818T23-07,864,0
20190818T22-07,991,0
20190818T21-07,1120,0
20190818T20-07,1151,0
20190818T19-07,1184,6
20190818T18-07,1156,40
20190818T17-07,1111,69
20190818T16-07,1094,93
20190818T15-07,1103,80
20190818T14-07,1063,101
20190818T13-07,985,100
20190818T12-07,944,90
20190818T11-07,811,101
20190818T10-07,674,101
20190818T09-07,569,80
20190818T08-07,519,51
20190818T07-07,499,19
20190818T06-07,522,1
20190818T05-07,531,0
20190818T04-07,546,0
20190818T03-07,575,0
20190818T02-07,620,0
20190818T01-07,684,0
20190818T00-07,849,0
20190817T23-07,941,0
20190817T22-07,942,0
20190817T21-07,1028,0
20190817T20-07,1042,0
20190817T19-07,1067,8
20190817T18-07,1100,48
20190817T17-07,1137,81
20190817T16-07,1168,92
20190817T15-07,1138,103
20190817T14-07,1092,97
20190817T13-07,1012,105
20190817T12-07,905,106
20190817T11-07,867,104
20190817T10-07,757,106
20190817T09-07,640,102
20190817T08-07,552,87
20190817T07-07,550,40
20190817T06-07,671,1
20190817T05-07,680,0
20190817T04-07,684,0
20190817T03-07,709,0
20190817T02-07,747,0
20190817T01-07,793,0
20190817T00-07,878,0
20190816T23-07,967,0
20190816T22-07,952,0
20190816T21-07,1057,0
20190816T20-07,1046,0
20190816T19-07,1091,11
20190816T18-07,1089,31
20190816T17-07,1107,53
20190816T16-07,1066,101
20190816T15-07,1051,91
20190816T14-07,1127,82
20190816T13-07,1025,105
20190816T12-07,925,106
20190816T11-07,901,107
20190816T10-07,820,106
20190816T09-07,795,103
20190816T08-07,637,88
20190816T07-07,602,40
20190816T06-07,720,1
20190816T05-07,679,0
20190816T04-07,651,0
20190816T03-07,651,0
20190816T02-07,669,0
20190816T01-07,689,0
20190816T00-07,796,0
20190815T23-07,878,0
20190815T22-07,873,0
20190815T21-07,897,0
20190815T20-07,930,0
20190815T19-07,949,2
20190815T18-07,939,32
20190815T17-07,947,79
20190815T16-07,957,91
20190815T15-07,929,102
20190815T14-07,938,97
20190815T13-07,853,96
20190815T12-07,805,95
20190815T11-07,738,86
20190815T10-07,692,86
20190815T09-07,668,83
20190815T08-07,638,36
20190815T07-07,599,19
20190815T06-07,677,1
20190815T05-07,627,0
20190815T04-07,588,0
20190815T03-07,594,0
20190815T02-07,616,0
20190815T01-07,651,0
20190815T00-07,740,0
20190814T23-07,821,0
20190814T22-07,784,0
20190814T21-07,804,0
20190814T20-07,890,0
20190814T19-07,996,3
20190814T18-07,1072,24
20190814T17-07,1097,45
20190814T16-07,1019,68
20190814T15-07,993,89
20190814T14-07,1021,86
20190814T13-07,954,101
20190814T12-07,933,104
20190814T11-07,859,100
20190814T10-07,796,97
20190814T09-07,741,77
20190814T08-07,653,67
20190814T07-07,618,37
20190814T06-07,786,2
20190814T05-07,750,0
20190814T04-07,715,0
20190814T03-07,713,0
20190814T02-07,756,0
20190814T01-07,812,0
20190814T00-07,802,0
20190813T23-07,871,0
20190813T22-07,675,0
20190813T21-07,841,0
20190813T20-07,854,0
20190813T19-07,879,8
20190813T18-07,860,51
20190813T17-07,896,75
20190813T16-07,923,76
20190813T15-07,927,74
20190813T14-07,960,96
20190813T13-07,884,98
20190813T12-07,853,98
20190813T11-07,825,98
20190813T10-07,703,101
20190813T09-07,601,101
20190813T08-07,586,69
20190813T07-07,606,28
20190813T06-07,722,1
20190813T05-07,667,0
20190813T04-07,637,0
20190813T03-07,637,0
20190813T02-07,663,0
20190813T01-07,710,0
20190813T00-07,737,0
20190812T23-07,837,0
20190812T22-07,826,0
20190812T21-07,877,0
20190812T20-07,891,0
20190812T19-07,920,11
20190812T18-07,895,57
20190812T17-07,928,71
20190812T16-07,927,90
20190812T15-07,932,70
20190812T14-07,935,87
20190812T13-07,854,105
20190812T12-07,842,107
20190812T11-07,808,105
20190812T10-07,718,104
20190812T09-07,647,101
20190812T08-07,626,88
20190812T07-07,596,38
20190812T06-07,654,2
20190812T05-07,606,0
20190812T04-07,572,0
20190812T03-07,572,0
20190812T02-07,602,0
20190812T01-07,636,0
20190812T00-07,710,0
20190811T23-07,788,0
20190811T22-07,788,0
20190811T21-07,886,0
20190811T20-07,857,0
20190811T19-07,869,10
20190811T18-07,875,59
20190811T17-07,875,84
20190811T16-07,882,82
20190811T15-07,846,96
20190811T14-07,814,100
20190811T13-07,768,101
20190811T12-07,806,101
20190811T11-07,699,106
20190811T10-07,589,105
20190811T09-07,494,98
20190811T08-07,456,68
20190811T07-07,448,26
20190811T06-07,511,1
20190811T05-07,525,0
20190811T04-07,538,0
20190811T03-07,569,0
20190811T02-07,611,0
20190811T01-07,660,0
20190811T00-07,790,0
20190810T23-07,858,0
20190810T22-07,753,0
20190810T21-07,783,0
20190810T20-07,787,0
20190810T19-07,811,14
20190810T18-07,834,70
20190810T17-07,858,98
20190810T16-07,835,97
20190810T15-07,796,89
20190810T14-07,732,96
20190810T13-07,663,106
20190810T12-07,669,92
20190810T11-07,656,102
20190810T10-07,614,99
20190810T09-07,520,84
20190810T08-07,481,59
20190810T07-07,495,13
20190810T06-07,637,0
20190810T05-07,648,0
20190810T04-07,658,0
20190810T03-07,684,0
20190810T02-07,744,0
20190810T01-07,838,0
20190810T00-07,920,0
20190809T23-07,1002,0
20190809T22-07,887,0
20190809T21-07,908,0
20190809T20-07,990,0
20190809T19-07,1024,10
20190809T18-07,1041,47
20190809T17-07,1138,64
20190809T16-07,996,92
20190809T15-07,968,96
20190809T14-07,932,85
20190809T13-07,846,94
20190809T12-07,800,72
20190809T11-07,799,87
20190809T10-07,724,95
20190809T09-07,651,89
20190809T08-07,684,50
20190809T07-07,642,17
20190809T06-07,764,1
20190809T05-07,718,0
20190809T04-07,682,0
20190809T03-07,699,0
20190809T02-07,755,0
20190809T01-07,813,0
20190809T00-07,891,0
20190808T23-07,941,0
20190808T22-07,836,0
20190808T21-07,894,0
20190808T20-07,849,0
20190808T19-07,872,3
20190808T18-07,934,28
20190808T17-07,932,63
20190808T16-07,942,75
20190808T15-07,915,68
20190808T14-07,827,92
20190808T13-07,741,99
20190808T12-07,720,85
20190808T11-07,748,62
20190808T10-07,741,53
20190808T09-07,704,56
20190808T08-07,681,30
20190808T07-07,658,14
20190808T06-07,779,1
20190808T05-07,752,0
20190808T04-07,730,0
20190808T03-07,734,0
20190808T02-07,779,0
20190808T01-07,833,0
20190808T00-07,893,0
20190807T23-07,939,0
20190807T22-07,822,0
20190807T21-07,859,0
20190807T20-07,818,0
20190807T19-07,835,9
20190807T18-07,838,56
20190807T17-07,861,73
20190807T16-07,981,47
20190807T15-07,1009,79
20190807T14-07,943,97
20190807T13-07,887,92
20190807T12-07,820,102
20190807T11-07,782,101
20190807T10-07,726,102
20190807T09-07,652,94
20190807T08-07,594,58
20190807T07-07,582,24
20190807T06-07,780,1
20190807T05-07,737,0
20190807T04-07,710,0
20190807T03-07,706,0
20190807T02-07,740,0
20190807T01-07,781,0
20190807T00-07,720,0
20190806T23-07,819,0
20190806T22-07,746,0
20190806T21-07,795,0
20190806T20-07,765,0
20190806T19-07,806,11
20190806T18-07,842,52
20190806T17-07,951,64
20190806T16-07,920,79
20190806T15-07,843,97
20190806T14-07,844,76
20190806T13-07,711,81
20190806T12-07,728,79
20190806T11-07,652,67
20190806T10-07,642,45
20190806T09-07,614,22
20190806T08-07,563,14
20190806T07-07,564,6
20190806T06-07,642,0
20190806T05-07,594,0
20190806T04-07,562,0
20190806T03-07,571,0
20190806T02-07,620,0
20190806T01-07,687,0
20190806T00-07,896,0
20190805T23-07,912,0
20190805T22-07,859,0
20190805T21-07,904,0
20190805T20-07,886,0
20190805T19-07,886,4
20190805T18-07,898,35
20190805T17-07,941,53
20190805T16-07,868,86
20190805T15-07,878,72
20190805T14-07,848,100
20190805T13-07,801,102
20190805T12-07,802,101
20190805T11-07,790,100
20190805T10-07,784,95
20190805T09-07,718,92
20190805T08-07,648,79
20190805T07-07,616,35
20190805T06-07,702,2
20190805T05-07,683,0
20190805T04-07,650,0
20190805T03-07,656,0
20190805T02-07,682,0
20190805T01-07,728,0
20190805T00-07,787,0
20190804T23-07,883,0
20190804T22-07,915,0
20190804T21-07,904,0
20190804T20-07,862,0
20190804T19-07,763,6
20190804T18-07,780,27
20190804T17-07,779,60
20190804T16-07,887,92
20190804T15-07,825,90
20190804T14-07,861,92
20190804T13-07,854,103
20190804T12-07,848,103
20190804T11-07,819,104
20190804T10-07,766,102
20190804T09-07,666,95
20190804T08-07,604,65
20190804T07-07,574,24
20190804T06-07,596,1
20190804T05-07,604,0
20190804T04-07,615,0
20190804T03-07,643,0
20190804T02-07,696,0
20190804T01-07,764,0
20190804T00-07,879,0
20190803T23-07,972,0
20190803T22-07,861,0
20190803T21-07,928,0
20190803T20-07,927,0
20190803T19-07,896,3
20190803T18-07,902,17
20190803T17-07,949,31
20190803T16-07,932,45
20190803T15-07,929,89
20190803T14-07,844,100
20190803T13-07,878,101
20190803T12-07,890,103
20190803T11-07,827,100
20190803T10-07,738,102
20190803T09-07,675,94
20190803T08-07,608,68
20190803T07-07,577,25
20190803T06-07,712,2
20190803T05-07,732,0
20190803T04-07,741,0
20190803T03-07,759,0
20190803T02-07,801,0
20190803T01-07,832,0
20190803T00-07,919,0
20190802T23-07,1006,0
20190802T22-07,923,0
20190802T21-07,1000,0
20190802T20-07,1027,0
20190802T19-07,1056,6
20190802T18-07,1065,49
20190802T17-07,1051,58
20190802T16-07,1156,55
20190802T15-07,1151,56
20190802T14-07,1105,74
20190802T13-07,971,91
20190802T12-07,983,103
20190802T11-07,923,105
20190802T10-07,832,104
20190802T09-07,724,101
20190802T08-07,641,86
20190802T07-07,604,42
20190802T06-07,744,3
20190802T05-07,711,0
20190802T04-07,696,0
20190802T03-07,713,0
20190802T02-07,759,0
20190802T01-07,805,0
20190802T00-07,913,0
20190801T23-07,998,0
20190801T22-07,790,0
20190801T21-07,966,0
20190801T20-07,947,0
20190801T19-07,1021,7
20190801T18-07,1027,34
20190801T17-07,1081,56
20190801T16-07,1095,68
20190801T15-07,1058,95
20190801T14-07,1028,98
20190801T13-07,959,103
20190801T12-07,936,104
20190801T11-07,966,105
20190801T10-07,923,103
20190801T09-07,771,98
20190801T08-07,687,79
20190801T07-07,650,38
20190801T06-07,775,3
20190801T05-07,761,0
20190801T04-07,725,0
20190801T03-07,728,0
20190801T02-07,765,0
20190801T01-07,829,0
20190801T00-07,843,0
20190731T23-07,927,0
20190731T22-07,768,0
20190731T21-07,900,0
20190731T20-07,938,0
20190731T19-07,963,11
20190731T18-07,965,71
20190731T17-07,1019,82
20190731T16-07,1029,73
20190731T15-07,1009,77
20190731T14-07,951,101
20190731T13-07,875,103
20190731T12-07,822,103
20190731T11-07,721,103
20190731T10-07,616,102
20190731T09-07,497,97
20190731T08-07,462,75
20190731T07-07,536,29
20190731T06-07,706,3
20190731T05-07,691,0
20190731T04-07,653,0
20190731T03-07,639,0
20190731T02-07,700,0
20190731T01-07,755,0
20190731T00-07,823,0
20190730T23-07,899,0
20190730T22-07,721,0
20190730T21-07,842,0
20190730T20-07,885,0
20190730T19-07,903,17
20190730T18-07,919,68
20190730T17-07,962,77
20190730T16-07,943,94
20190730T15-07,918,97
20190730T14-07,896,98
20190730T13-07,860,99
20190730T12-07,817,99
20190730T11-07,749,76
20190730T10-07,623,91
20190730T09-07,509,90
20190730T08-07,447,75
20190730T07-07,467,39
20190730T06-07,670,2
20190730T05-07,623,0
20190730T04-07,597,0
20190730T03-07,608,0
20190730T02-07,631,0
20190730T01-07,674,0
20190730T00-07,738,0
20190729T23-07,830,0
20190729T22-07,779,0
20190729T21-07,829,0
20190729T20-07,827,0
20190729T19-07,846,4
20190729T18-07,860,52
20190729T17-07,891,79
20190729T16-07,925,95
20190729T15-07,928,96
20190729T14-07,926,95
20190729T13-07,877,78
20190729T12-07,845,91
20190729T11-07,737,97
20190729T10-07,703,78
20190729T09-07,697,37
20190729T08-07,622,28
20190729T07-07,600,9
20190729T06-07,699,0
20190729T05-07,681,0
20190729T04-07,673,0
20190729T03-07,676,0
20190729T02-07,662,0
20190729T01-07,710,0
20190729T00-07,780,0
20190728T23-07,866,0
20190728T22-07,916,0
20190728T21-07,1030,0
20190728T20-07,1032,0
20190728T19-07,1034,2
20190728T18-07,1021,20
20190728T17-07,1102,28
20190728T16-07,1077,48
20190728T15-07,1004,64
20190728T14-07,970,87
20190728T13-07,915,98
20190728T12-07,938,85
20190728T11-07,870,79
20190728T10-07,776,76
20190728T09-07,744,68
20190728T08-07,637,67
20190728T07-07,610,35
20190728T06-07,647,2
20190728T05-07,668,0
20190728T04-07,677,0
20190728T03-07,657,0
20190728T02-07,694,0
20190728T01-07,756,0
20190728T00-07,757,0
20190727T23-07,859,0
20190727T22-07,790,0
20190727T21-07,816,0
20190727T20-07,820,0
20190727T19-07,935,1
20190727T18-07,997,18
20190727T17-07,1042,40
20190727T16-07,1007,49
20190727T15-07,953,63
20190727T14-07,888,97
20190727T13-07,812,102
20190727T12-07,830,103
20190727T11-07,763,102
20190727T10-07,702,93
20190727T09-07,617,91
20190727T08-07,542,77
20190727T07-07,511,34
20190727T06-07,661,2
20190727T05-07,676,0
20190727T04-07,690,0
20190727T03-07,707,0
20190727T02-07,746,0
20190727T01-07,815,0
20190727T00-07,877,0
20190726T23-07,968,0
20190726T22-07,858,0
20190726T21-07,908,0
20190726T20-07,940,0
20190726T19-07,986,3
20190726T18-07,1078,19
20190726T17-07,1102,48
20190726T16-07,1067,92
20190726T15-07,1045,82
20190726T14-07,964,102
20190726T13-07,885,97
20190726T12-07,882,101
20190726T11-07,768,100
20190726T10-07,688,97
20190726T09-07,611,84
20190726T08-07,549,68
20190726T07-07,532,34
20190726T06-07,705,2
20190726T05-07,690,0
20190726T04-07,649,0
20190726T03-07,672,0
20190726T02-07,709,0
20190726T01-07,759,0
20190726T00-07,795,0
20190725T23-07,904,0
20190725T22-07,880,0
20190725T21-07,935,0
20190725T20-07,972,0
20190725T19-07,1011,10
20190725T18-07,1019,46
20190725T17-07,966,94
20190725T16-07,987,99
20190725T15-07,1032,96
20190725T14-07,964,101
20190725T13-07,865,104
20190725T12-07,811,104
20190725T11-07,754,104
20190725T10-07,695,99
20190725T09-07,638,97
20190725T08-07,556,85
20190725T07-07,539,49
20190725T06-07,666,5
20190725T05-07,659,0
20190725T04-07,630,0
20190725T03-07,621,0
20190725T02-07,670,0
20190725T01-07,710,0
20190725T00-07,834,0
20190724T23-07,916,0
20190724T22-07,853,0
20190724T21-07,885,0
20190724T20-07,882,0
20190724T19-07,923,12
20190724T18-07,956,69
20190724T17-07,977,90
20190724T16-07,993,88
20190724T15-07,969,92
20190724T14-07,898,93
20190724T13-07,831,89
20190724T12-07,780,91
20190724T11-07,759,94
20190724T10-07,681,93
20190724T09-07,627,84
20190724T08-07,585,52
20190724T07-07,530,33
20190724T06-07,708,2
20190724T05-07,680,0
20190724T04-07,647,0
20190724T03-07,649,0
20190724T02-07,682,0
20190724T01-07,733,0
20190724T00-07,732,0
20190723T23-07,838,0
20190723T22-07,829,0
20190723T21-07,844,0
20190723T20-07,825,0
20190723T19-07,828,11
20190723T18-07,783,63
20190723T17-07,783,87
20190723T16-07,777,82
20190723T15-07,768,82
20190723T14-07,729,86
20190723T13-07,639,91
20190723T12-07,650,86
20190723T11-07,587,81
20190723T10-07,564,56
20190723T09-07,574,40
20190723T08-07,607,13
20190723T07-07,599,4
20190723T06-07,680,0
20190723T05-07,687,0
20190723T04-07,662,0
20190723T03-07,654,0
20190723T02-07,675,0
20190723T01-07,666,0
20190723T00-07,607,0
20190722T23-07,681,0
20190722T22-07,734,0
20190722T21-07,791,0
20190722T20-07,796,0
20190722T19-07,824,9
20190722T18-07,864,34
20190722T17-07,880,49
20190722T16-07,818,80
20190722T15-07,745,88
20190722T14-07,694,90
20190722T13-07,660,95
20190722T12-07,657,70
20190722T11-07,684,53
20190722T10-07,632,55
20190722T09-07,596,46
20190722T08-07,641,24
20190722T07-07,605,15
20190722T06-07,602,3
20190722T05-07,565,0
20190722T04-07,528,0
20190722T03-07,538,0
20190722T02-07,574,0
20190722T01-07,645,0
20190722T00-07,724,0
20190721T23-07,882,0
20190721T22-07,882,0
20190721T21-07,910,0
20190721T20-07,931,0
20190721T19-07,986,8
20190721T18-07,1062,36
20190721T17-07,1106,39
20190721T16-07,1146,71
20190721T15-07,1038,85
20190721T14-07,985,98
20190721T13-07,963,102
20190721T12-07,942,102
20190721T11-07,785,103
20190721T10-07,679,103
20190721T09-07,561,99
20190721T08-07,530,86
20190721T07-07,536,50
20190721T06-07,490,5
20190721T05-07,522,0
20190721T04-07,537,0
20190721T03-07,540,0
20190721T02-07,608,0
20190721T01-07,665,0
20190721T00-07,798,0
20190720T23-07,883,0
20190720T22-07,871,0
20190720T21-07,906,0
20190720T20-07,923,0
20190720T19-07,981,17
20190720T18-07,1032,42
20190720T17-07,1033,55
20190720T16-07,1001,72
20190720T15-07,947,102
20190720T14-07,918,102
20190720T13-07,862,89
20190720T12-07,774,86
20190720T11-07,729,87
20190720T10-07,622,86
20190720T09-07,526,83
20190720T08-07,468,74
20190720T07-07,474,45
20190720T06-07,538,6
20190720T05-07,555,0
20190720T04-07,563,0
20190720T03-07,596,0
20190720T02-07,627,0
20190720T01-07,702,0
20190720T00-07,786,0
20190719T23-07,889,0
20190719T22-07,880,0
20190719T21-07,925,0
20190719T20-07,935,0
20190719T19-07,978,13
20190719T18-07,1028,32
20190719T17-07,1032,70
20190719T16-07,1043,78
20190719T15-07,993,99
20190719T14-07,966,105
20190719T13-07,896,105
20190719T12-07,795,105
20190719T11-07,757,104
20190719T10-07,665,102
20190719T09-07,576,100
20190719T08-07,557,87
20190719T07-07,561,48
20190719T06-07,611,4
20190719T05-07,598,0
20190719T04-07,590,0
20190719T03-07,615,0
20190719T02-07,667,0
20190719T01-07,732,0
20190719T00-07,859,0
20190718T23-07,957,0
20190718T22-07,895,0
20190718T21-07,949,0
20190718T20-07,961,0
20190718T19-07,1010,5
20190718T18-07,1057,22
20190718T17-07,1101,47
20190718T16-07,1104,58
20190718T15-07,1054,71
20190718T14-07,995,103
20190718T13-07,903,97
20190718T12-07,864,103
20190718T11-07,754,105
20190718T10-07,741,101
20190718T09-07,626,85
20190718T08-07,619,53
20190718T07-07,607,39
20190718T06-07,717,3
20190718T05-07,698,0
20190718T04-07,696,0
20190718T03-07,698,0
20190718T02-07,709,0
20190718T01-07,663,0
20190718T00-07,698,0
20190717T23-07,860,0
20190717T22-07,761,0
20190717T21-07,836,0
20190717T20-07,838,0
20190717T19-07,922,3
20190717T18-07,1069,14
20190717T17-07,1108,28
20190717T16-07,1150,59
20190717T15-07,1098,62
20190717T14-07,1014,75
20190717T13-07,920,80
20190717T12-07,855,80
20190717T11-07,830,79
20190717T10-07,738,79
20190717T09-07,669,66
20190717T08-07,650,61
20190717T07-07,619,22
20190717T06-07,746,1
20190717T05-07,721,0
20190717T04-07,690,0
20190717T03-07,712,0
20190717T02-07,760,0
20190717T01-07,820,0
20190717T00-07,848,0
20190716T23-07,926,0
20190716T22-07,831,0
20190716T21-07,889,0
20190716T20-07,961,0
20190716T19-07,1010,4
20190716T18-07,1076,10
20190716T17-07,1079,35
20190716T16-07,1090,56
20190716T15-07,1035,61
20190716T14-07,972,82
20190716T13-07,896,101
20190716T12-07,829,88
20190716T11-07,819,76
20190716T10-07,732,64
20190716T09-07,678,44
20190716T08-07,631,36
20190716T07-07,575,11
20190716T06-07,654,1
20190716T05-07,630,0
20190716T04-07,605,0
20190716T03-07,609,0
20190716T02-07,653,0
20190716T01-07,732,0
20190716T00-07,867,0
20190715T23-07,973,0
20190715T22-07,927,0
20190715T21-07,1044,0
20190715T20-07,1017,0
20190715T19-07,1069,10
20190715T18-07,1049,40
20190715T17-07,1014,85
20190715T16-07,987,97
20190715T15-07,989,103
20190715T14-07,975,105
20190715T13-07,927,104
20190715T12-07,979,105
20190715T11-07,886,105
20190715T10-07,776,105
20190715T09-07,700,101
20190715T08-07,627,87
20190715T07-07,602,48
20190715T06-07,690,6
20190715T05-07,679,0
20190715T04-07,649,0
20190715T03-07,656,0
20190715T02-07,694,0
20190715T01-07,752,0
20190715T00-07,813,0
20190714T23-07,915,0
20190714T22-07,910,0
20190714T21-07,1029,0
20190714T20-07,1060,0
20190714T19-07,1072,6
20190714T18-07,1063,52
20190714T17-07,986,83
20190714T16-07,968,92
20190714T15-07,965,88
20190714T14-07,988,86
20190714T13-07,996,102
20190714T12-07,923,104
20190714T11-07,819,105
20190714T10-07,685,105
20190714T09-07,553,102
20190714T08-07,469,88
20190714T07-07,432,54
20190714T06-07,574,7
20190714T05-07,624,0
20190714T04-07,644,0
20190714T03-07,668,0
20190714T02-07,717,0
20190714T01-07,777,0
20190714T00-07,867,0
20190713T23-07,965,0
20190713T22-07,966,0
20190713T21-07,1017,0
20190713T20-07,984,0
20190713T19-07,1015,25
20190713T18-07,1034,77
20190713T17-07,1047,96
20190713T16-07,1026,102
20190713T15-07,982,96
20190713T14-07,946,102
20190713T13-07,953,101
20190713T12-07,931,103
20190713T11-07,824,104
20190713T10-07,682,105
20190713T09-07,589,103
20190713T08-07,502,92
20190713T07-07,453,57
20190713T06-07,552,8
20190713T05-07,576,0
20190713T04-07,580,0
