,natural gas,solar
20191206T23-07,603,1
20191206T22-07,654,1
20191206T21-07,686,1
20191206T20-07,689,1
20191206T19-07,693,0
20191206T18-07,679,0
20191206T17-07,580,29
20191206T16-07,500,77
20191206T15-07,503,77
20191206T14-07,513,77
20191206T13-07,492,79
20191206T12-07,530,75
20191206T11-07,537,72
20191206T10-07,558,69
20191206T09-07,562,68
20191206T08-07,643,22
20191206T07-07,647,0
20191206T06-07,542,0
20191206T05-07,483,0
20191206T04-07,453,0
20191206T03-07,454,0
20191206T02-07,466,0
20191206T01-07,535,0
20191206T00-07,582,0
20191205T23-07,606,0
20191205T22-07,660,0
20191205T21-07,705,0
20191205T20-07,736,0
20191205T19-07,731,0
20191205T18-07,707,0
20191205T17-07,606,19
20191205T16-07,549,69
20191205T15-07,521,80
20191205T14-07,520,81
20191205T13-07,523,76
20191205T12-07,523,80
20191205T11-07,527,81
20191205T10-07,538,76
20191205T09-07,572,58
20191205T08-07,638,14
20191205T07-07,660,0
20191205T06-07,571,0
20191205T05-07,528,0
20191205T04-07,506,0
20191205T03-07,493,0
20191205T02-07,478,0
20191205T01-07,478,0
20191205T00-07,515,0
20191204T23-07,532,0
20191204T22-07,607,0
20191204T21-07,643,0
20191204T20-07,648,0
20191204T19-07,638,0
20191204T18-07,611,0
20191204T17-07,522,18
20191204T16-07,459,64
20191204T15-07,471,62
20191204T14-07,463,52
20191204T13-07,493,39
20191204T12-07,497,29
20191204T11-07,509,26
20191204T10-07,533,15
20191204T09-07,535,14
20191204T08-07,566,3
20191204T07-07,583,0
20191204T06-07,497,0
20191204T05-07,440,0
20191204T04-07,416,0
20191204T03-07,416,0
20191204T02-07,425,0
20191204T01-07,414,0
20191204T00-07,455,0
20191203T23-07,462,0
20191203T22-07,525,0
20191203T21-07,562,0
20191203T20-07,579,0
20191203T19-07,579,0
20191203T18-07,558,0
20191203T17-07,448,21
20191203T16-07,369,73
20191203T15-07,341,84
20191203T14-07,318,85
20191203T13-07,328,79
20191203T12-07,343,82
20191203T11-07,376,78
20191203T10-07,384,85
20191203T09-07,427,76
20191203T08-07,509,27
20191203T07-07,577,0
20191203T06-07,492,0
20191203T05-07,434,0
20191203T04-07,408,0
20191203T03-07,407,0
20191203T02-07,421,0
20191203T01-07,457,0
20191203T00-07,431,1
20191202T23-07,492,1
20191202T22-07,549,0
20191202T21-07,569,0
20191202T20-07,667,0
20191202T19-07,658,0
20191202T18-07,623,0
20191202T17-07,517,15
20191202T16-07,452,55
20191202T15-07,399,80
20191202T14-07,350,83
20191202T13-07,362,81
20191202T12-07,417,81
20191202T11-07,432,84
20191202T10-07,446,85
20191202T09-07,493,75
20191202T08-07,580,27
20191202T07-07,582,0
20191202T06-07,481,0
20191202T05-07,431,0
20191202T04-07,400,0
20191202T03-07,386,0
20191202T02-07,394,0
20191202T01-07,419,0
20191202T00-07,489,0
20191201T23-07,547,0
20191201T22-07,610,0
20191201T21-07,629,0
20191201T20-07,630,0
20191201T19-07,618,0
20191201T18-07,568,0
20191201T17-07,441,22
20191201T16-07,348,75
20191201T15-07,319,87
20191201T14-07,315,86
20191201T13-07,320,84
20191201T12-07,329,85
20191201T11-07,331,86
20191201T10-07,336,87
20191201T09-07,353,77
20191201T08-07,417,28
20191201T07-07,425,0
20191201T06-07,402,0
20191201T05-07,392,0
20191201T04-07,388,0
20191201T03-07,389,0
20191201T02-07,404,0
20191201T01-07,491,0
20191201T00-07,518,1
20191130T23-07,539,1
20191130T22-07,575,1
20191130T21-07,596,1
20191130T20-07,607,1
20191130T19-07,609,1
20191130T18-07,572,1
20191130T17-07,474,21
20191130T16-07,376,72
20191130T15-07,354,84
20191130T14-07,355,85
20191130T13-07,378,82
20191130T12-07,398,77
20191130T11-07,398,72
20191130T10-07,407,70
20191130T09-07,404,55
20191130T08-07,416,19
20191130T07-07,435,0
20191130T06-07,410,0
20191130T05-07,387,0
20191130T04-07,390,0
20191130T03-07,402,0
20191130T02-07,416,0
20191130T01-07,442,0
20191130T00-07,427,2
20191129T23-07,457,2
20191129T22-07,477,2
20191129T21-07,484,2
20191129T20-07,497,2
20191129T19-07,498,2
20191129T18-07,483,14
20191129T17-07,395,19
20191129T16-07,433,36
20191129T15-07,420,41
20191129T14-07,409,43
20191129T13-07,409,44
20191129T12-07,394,47
20191129T11-07,362,70
20191129T10-07,379,55
20191129T09-07,418,26
20191129T08-07,432,11
20191129T07-07,461,0
20191129T06-07,469,0
20191129T05-07,436,0
20191129T04-07,400,0
20191129T03-07,365,0
20191129T02-07,382,0
20191129T01-07,444,0
20191129T00-07,438,0
20191128T23-07,488,0
20191128T22-07,521,0
20191128T21-07,549,0
20191128T20-07,538,0
20191128T19-07,538,0
20191128T18-07,525,0
20191128T17-07,480,2
20191128T16-07,461,13
20191128T15-07,460,25
20191128T14-07,487,28
20191128T13-07,534,26
20191128T12-07,588,20
20191128T11-07,601,12
20191128T10-07,589,5
20191128T09-07,555,4
20191128T08-07,519,1
20191128T07-07,523,0
20191128T06-07,500,0
20191128T05-07,480,0
20191128T04-07,478,0
20191128T03-07,485,0
20191128T02-07,514,0
20191128T01-07,494,0
20191128T00-07,527,0
20191127T23-07,481,0
20191127T22-07,524,0
20191127T21-07,563,0
20191127T20-07,580,0
20191127T19-07,580,0
20191127T18-07,578,0
20191127T17-07,535,0
20191127T16-07,511,2
20191127T15-07,504,3
20191127T14-07,492,6
20191127T13-07,443,13
20191127T12-07,416,24
20191127T11-07,397,26
20191127T10-07,380,23
20191127T09-07,364,25
20191127T08-07,378,7
20191127T07-07,485,0
20191127T06-07,430,0
20191127T05-07,388,0
20191127T04-07,366,0
20191127T03-07,371,0
20191127T02-07,386,0
20191127T01-07,401,0
20191127T00-07,439,0
20191126T23-07,367,0
20191126T22-07,415,0
20191126T21-07,458,0
20191126T20-07,471,0
20191126T19-07,481,0
20191126T18-07,459,0
20191126T17-07,363,17
20191126T16-07,320,51
20191126T15-07,291,67
20191126T14-07,283,75
20191126T13-07,267,79
20191126T12-07,271,74
20191126T11-07,304,57
20191126T10-07,287,61
20191126T09-07,280,59
20191126T08-07,323,17
20191126T07-07,434,0
20191126T06-07,378,0
20191126T05-07,344,0
20191126T04-07,341,0
20191126T03-07,336,0
20191126T02-07,350,0
20191126T01-07,387,0
20191126T00-07,430,0
20191125T23-07,360,0
20191125T22-07,407,0
20191125T21-07,449,0
20191125T20-07,467,0
20191125T19-07,477,0
20191125T18-07,421,0
20191125T17-07,358,13
20191125T16-07,303,50
20191125T15-07,263,72
20191125T14-07,270,67
20191125T13-07,283,59
20191125T12-07,275,66
20191125T11-07,281,61
20191125T10-07,304,55
20191125T09-07,356,32
20191125T08-07,367,7
20191125T07-07,480,0
20191125T06-07,422,0
20191125T05-07,381,0
20191125T04-07,358,0
20191125T03-07,362,0
20191125T02-07,375,0
20191125T01-07,394,0
20191125T00-07,445,0
20191124T23-07,504,0
20191124T22-07,552,0
20191124T21-07,583,0
20191124T20-07,593,0
20191124T19-07,594,0
20191124T18-07,568,0
20191124T17-07,463,22
20191124T16-07,382,70
20191124T15-07,355,77
20191124T14-07,396,78
20191124T13-07,397,82
20191124T12-07,404,76
20191124T11-07,417,64
20191124T10-07,411,63
20191124T09-07,383,64
20191124T08-07,410,27
20191124T07-07,431,1
20191124T06-07,409,0
20191124T05-07,383,0
20191124T04-07,378,0
20191124T03-07,381,0
20191124T02-07,393,0
20191124T01-07,386,0
