,coal,natural gas,wind
20191105T16Z,1583,1186.0,51
20191105T15Z,1545,1188.0,82
20191105T14Z,1494,1206.0,124
20191105T13Z,1529,1243.0,135
20191105T12Z,1405,1192.0,139
20191105T11Z,1241,1111.0,147
20191105T10Z,1135,1086.0,151
20191105T09Z,995,1040.0,163
20191105T08Z,840,1145.0,193
20191105T07Z,988,1094.0,159
20191105T06Z,1183,1111.0,153
20191105T05Z,1179,1141.0,151
20191105T04Z,1337,1119.0,150
20191105T03Z,1353,1192.0,152
20191105T02Z,1335,1118.0,168
20191105T01Z,1467,1161.0,166
20191105T00Z,1523,1154.0,104
20191104T23Z,1507,1151.0,95
20191104T22Z,1453,1145.0,86
20191104T21Z,1455,1146.0,81
20191104T20Z,1476,1148.0,78
20191104T19Z,1490,1153.0,68
20191104T18Z,1545,1176.0,51
20191104T17Z,1515,1230.0,21
20191104T16Z,1532,1308.0,20
20191104T15Z,1525,1364.0,41
20191104T14Z,1500,1345.0,53
20191104T13Z,1545,1297.0,66
20191104T12Z,1531,1118.0,78
20191104T11Z,1537,928.0,59
20191104T10Z,1524,969.0,99
20191104T09Z,1404,977.0,129
20191104T08Z,1306,932.0,143
20191104T07Z,1259,940.0,159
20191104T06Z,1319,916.0,236
20191104T05Z,1438,987.0,276
20191104T04Z,1455,980.0,307
20191104T03Z,1479,987.0,316
20191104T02Z,1411,986.0,301
20191104T01Z,1466,902.0,212
20191104T00Z,1534,969.0,111
20191103T23Z,1499,967.0,136
20191103T22Z,1499,968.0,194
20191103T21Z,1452,972.0,211
20191103T20Z,1393,975.0,185
20191103T19Z,1485,983.0,202
20191103T18Z,1472,984.0,179
20191103T17Z,1410,984.0,182
20191103T16Z,1554,987.0,156
20191103T15Z,1611,995.0,216
20191103T14Z,1502,994.0,266
20191103T13Z,1457,985.0,279
20191103T12Z,1383,892.0,276
20191103T11Z,1280,889.0,305
20191103T10Z,1300,841.0,307
20191103T09Z,1291,786.0,321
20191103T08Z,1292,798.0,321
20191103T07Z,1306,810.0,310
20191103T06Z,1325,870.0,266
20191103T05Z,1404,876.0,225
20191103T04Z,1462,918.0,180
20191103T03Z,1522,965.0,124
20191103T02Z,1619,1303.0,59
20191103T01Z,1720,1407.0,23
20191103T00Z,1685,1472.0,26
20191102T23Z,1553,1324.0,49
20191102T22Z,1486,1278.0,72
20191102T21Z,1341,1336.0,77
20191102T20Z,1239,1324.0,123
20191102T19Z,1304,1289.0,154
20191102T18Z,1377,1287.0,116
20191102T17Z,1482,1291.0,51
20191102T16Z,1576,1293.0,52
20191102T15Z,1610,1220.0,61
20191102T14Z,1612,1212.0,107
20191102T13Z,1591,1204.0,168
20191102T12Z,1472,1166.0,179
20191102T11Z,1473,1142.0,156
20191102T10Z,1447,1125.0,157
20191102T09Z,1448,1118.0,116
20191102T08Z,1394,1122.0,139
20191102T07Z,1371,1126.0,158
20191102T06Z,1360,1133.0,212
20191102T05Z,1386,1150.0,304
20191102T04Z,1505,1184.0,305
20191102T03Z,1507,1193.0,241
20191102T02Z,1570,1192.0,115
20191102T01Z,1685,1185.0,44
20191102T00Z,1732,1185.0,8
20191101T23Z,1688,1178.0,29
20191101T22Z,1505,1199.0,87
20191101T21Z,1262,1172.0,89
20191101T20Z,1244,1173.0,97
20191101T19Z,1319,1170.0,109
20191101T18Z,1402,1179.0,87
20191101T17Z,1617,1180.0,111
20191101T16Z,1705,1253.0,107
20191101T15Z,1706,1307.0,138
20191101T14Z,1718,1327.0,194
20191101T13Z,1823,1298.0,219
20191101T12Z,1887,1177.0,248
20191101T11Z,1856,1189.0,260
20191101T10Z,1755,1080.0,271
20191101T09Z,1712,997.0,247
20191101T08Z,1715,1058.0,250
20191101T07Z,1759,991.0,285
20191101T06Z,1662,984.0,289
20191101T05Z,1631,927.0,267
20191101T04Z,1786,989.0,210
20191101T03Z,2051,1049.0,187
20191101T02Z,2215,1281.0,106
20191101T01Z,2120,1411.0,94
20191101T00Z,2133,1410.0,72
20191031T23Z,1987,1320.0,68
20191031T22Z,1798,1274.0,84
20191031T21Z,1705,1190.0,100
20191031T20Z,1712,1220.0,102
20191031T19Z,1830,1408.0,75
20191031T18Z,1969,1437.0,63
20191031T17Z,2077,1401.0,55
20191031T16Z,2163,1378.0,39
20191031T15Z,2252,1290.0,66
20191031T14Z,2347,1182.0,93
20191031T13Z,2310,1163.0,137
20191031T12Z,2145,1160.0,161
20191031T11Z,2111,1165.0,138
20191031T10Z,2112,1153.0,129
20191031T09Z,2025,1142.0,158
20191031T08Z,2165,1137.0,133
20191031T07Z,2109,1130.0,168
20191031T06Z,2017,1101.0,203
20191031T05Z,1978,1112.0,195
20191031T04Z,2170,1009.0,198
20191031T03Z,2317,1003.0,249
20191031T02Z,2286,1120.0,228
20191031T01Z,2234,1143.0,201
20191031T00Z,2225,1128.0,181
20191030T23Z,2111,1055.0,188
20191030T22Z,1839,1117.0,249
20191030T21Z,1808,1012.0,271
20191030T20Z,1885,901.0,296
20191030T19Z,1862,964.0,311
20191030T18Z,1750,1004.0,318
20191030T17Z,1680,943.0,293
20191030T16Z,1600,950.0,293
20191030T15Z,1634,836.0,290
20191030T14Z,1653,778.0,305
20191030T13Z,1669,771.0,277
20191030T12Z,1558,768.0,233
20191030T11Z,1460,739.0,226
20191030T10Z,1298,774.0,190
20191030T09Z,1358,754.0,186
20191030T08Z,1488,804.0,180
20191030T07Z,1618,818.0,169
20191030T06Z,1643,914.0,157
20191030T05Z,1541,967.0,158
20191030T04Z,1615,969.0,145
20191030T03Z,1635,979.0,139
20191030T02Z,1657,1099.0,138
20191030T01Z,1696,1135.0,133
20191030T00Z,1651,1139.0,116
20191029T23Z,1511,1117.0,112
20191029T22Z,1382,1199.0,97
20191029T21Z,1227,1085.0,75
20191029T20Z,1217,1094.0,52
20191029T19Z,1232,1089.0,46
20191029T18Z,1285,1094.0,48
20191029T17Z,1345,1085.0,46
20191029T16Z,1435,853.0,38
20191029T15Z,1463,807.0,41
20191029T14Z,1580,816.0,17
20191029T13Z,1679,813.0,25
20191029T12Z,1623,815.0,33
20191029T11Z,1627,800.0,35
20191029T10Z,1582,815.0,56
20191029T09Z,1543,815.0,71
20191029T08Z,1564,816.0,51
20191029T07Z,1612,816.0,30
20191029T06Z,1558,816.0,54
20191029T05Z,1584,837.0,80
20191029T04Z,1622,925.0,86
