,coal,natural gas,wind
20190729T00Z,2031,1427.0,196
20190728T23Z,2014,1487.0,163
20190728T22Z,2026,1529.0,202
20190728T21Z,2025,1504.0,239
20190728T20Z,2036,1460.0,251
20190728T19Z,2018,1393.0,222
20190728T18Z,2025,1206.0,232
20190728T17Z,1947,1080.0,239
20190728T16Z,1705,1084.0,248
20190728T15Z,1533,1034.0,222
20190728T14Z,1531,864.0,191
20190728T13Z,1285,701.0,233
20190728T12Z,1076,705.0,233
20190728T11Z,1035,684.0,213
20190728T10Z,1064,751.0,187
20190728T09Z,1048,764.0,234
20190728T08Z,1050,838.0,262
20190728T07Z,1175,861.0,271
20190728T06Z,1334,788.0,296
20190728T05Z,1581,846.0,258
20190728T04Z,1843,944.0,229
20190728T03Z,1927,1135.0,168
20190728T02Z,1958,1346.0,123
20190728T01Z,1964,1507.0,107
20190728T00Z,1967,1519.0,119
20190727T23Z,2038,1499.0,124
20190727T22Z,2042,1527.0,127
20190727T21Z,2030,1517.0,132
20190727T20Z,2044,1438.0,122
20190727T19Z,2024,1380.0,108
20190727T18Z,1996,1226.0,113
20190727T17Z,2019,1029.0,139
20190727T16Z,2024,804.0,139
20190727T15Z,1873,686.0,100
20190727T14Z,1549,714.0,102
20190727T13Z,1066,723.0,169
20190727T12Z,1061,523.0,200
20190727T11Z,1042,543.0,195
20190727T10Z,1047,553.0,199
20190727T09Z,1046,520.0,210
20190727T08Z,1053,545.0,209
20190727T07Z,1137,577.0,218
20190727T06Z,1186,750.0,234
20190727T05Z,1506,892.0,249
20190727T04Z,1795,932.0,252
20190727T03Z,2126,829.0,222
20190727T02Z,2237,938.0,141
20190727T01Z,2290,1066.0,122
20190727T00Z,2308,1425.0,103
20190726T23Z,2310,1518.0,126
20190726T22Z,2304,1550.0,124
20190726T21Z,2265,1533.0,149
20190726T20Z,2159,1499.0,143
20190726T19Z,2156,1287.0,126
20190726T18Z,1990,1045.0,137
20190726T17Z,1895,899.0,182
20190726T16Z,1910,701.0,177
20190726T15Z,1789,578.0,183
20190726T14Z,1723,404.0,175
20190726T13Z,1413,362.0,172
20190726T12Z,1405,350.0,174
20190726T11Z,1221,402.0,176
20190726T10Z,1190,392.0,163
20190726T09Z,1198,371.0,217
20190726T08Z,1198,374.0,234
20190726T07Z,1307,332.0,230
20190726T06Z,1452,345.0,223
20190726T05Z,1667,460.0,228
20190726T04Z,1691,917.0,243
20190726T03Z,1821,940.0,190
20190726T02Z,2058,938.0,154
20190726T01Z,2237,1026.0,97
20190726T00Z,2281,1190.0,53
20190725T23Z,2295,1308.0,38
20190725T22Z,2295,1310.0,47
20190725T21Z,2291,1199.0,58
20190725T20Z,2291,978.0,64
20190725T19Z,2211,892.0,80
20190725T18Z,1968,851.0,126
20190725T17Z,1829,705.0,163
20190725T16Z,1765,660.0,110
20190725T15Z,1539,772.0,63
20190725T14Z,1442,694.0,62
20190725T13Z,1560,671.0,136
20190725T12Z,1504,762.0,166
20190725T11Z,1435,786.0,152
20190725T10Z,1373,796.0,139
20190725T09Z,1294,687.0,141
20190725T08Z,1338,697.0,131
20190725T07Z,1451,835.0,104
20190725T06Z,1668,928.0,113
20190725T05Z,1866,943.0,102
20190725T04Z,2131,953.0,66
20190725T03Z,2191,983.0,29
20190725T02Z,2151,1281.0,24
20190725T01Z,2239,1440.0,9
20190725T00Z,2232,1545.0,0
20190724T23Z,2246,1635.0,1
20190724T22Z,2202,1623.0,0
20190724T21Z,2221,1630.0,0
20190724T20Z,2228,1547.0,0
20190724T19Z,2128,1486.0,0
20190724T18Z,2207,1339.0,0
20190724T17Z,2181,1074.0,0
20190724T16Z,2117,926.0,1
20190724T15Z,2097,928.0,6
20190724T14Z,1914,887.0,14
20190724T13Z,1874,826.0,24
20190724T12Z,1774,901.0,16
20190724T11Z,1552,931.0,30
20190724T10Z,1403,869.0,42
20190724T09Z,1373,849.0,42
20190724T08Z,1476,850.0,27
20190724T07Z,1676,881.0,11
20190724T06Z,1842,917.0,2
20190724T05Z,1999,930.0,0
20190724T04Z,2181,1102.0,0
20190724T03Z,2263,1298.0,0
20190724T02Z,2261,1331.0,1
20190724T01Z,2246,1482.0,9
20190724T00Z,2262,1529.0,11
20190723T23Z,2238,1527.0,19
20190723T22Z,2254,1529.0,28
20190723T21Z,2223,1466.0,33
20190723T20Z,2210,1314.0,39
20190723T19Z,2198,1332.0,42
20190723T18Z,2185,1288.0,36
20190723T17Z,2166,1190.0,30
20190723T16Z,2234,1042.0,53
20190723T15Z,2176,970.0,77
20190723T14Z,2161,926.0,72
20190723T13Z,1981,927.0,109
20190723T12Z,1907,930.0,140
20190723T11Z,1782,933.0,149
20190723T10Z,1643,927.0,172
20190723T09Z,1689,926.0,176
20190723T08Z,1701,917.0,193
20190723T07Z,1707,916.0,212
20190723T06Z,1742,909.0,213
20190723T05Z,1863,921.0,219
20190723T04Z,2027,921.0,252
20190723T03Z,2165,923.0,195
20190723T02Z,2169,923.0,121
20190723T01Z,2163,924.0,176
20190723T00Z,2183,921.0,230
20190722T23Z,2200,923.0,243
20190722T22Z,2168,921.0,264
20190722T21Z,2158,918.0,262
20190722T20Z,2172,919.0,265
20190722T19Z,2170,918.0,270
20190722T18Z,2162,919.0,274
20190722T17Z,2132,920.0,251
20190722T16Z,2152,915.0,201
20190722T15Z,2095,886.0,160
20190722T14Z,1941,877.0,131
20190722T13Z,1688,826.0,120
20190722T12Z,1568,808.0,160
20190722T11Z,1226,806.0,194
20190722T10Z,1197,771.0,210
20190722T09Z,1180,681.0,197
20190722T08Z,1202,780.0,129
20190722T07Z,1233,859.0,132
20190722T06Z,1453,806.0,145
20190722T05Z,1703,771.0,130
20190722T04Z,1900,812.0,154
20190722T03Z,2218,829.0,117
20190722T02Z,2279,1025.0,85
20190722T01Z,2302,1277.0,109
20190722T00Z,2284,1429.0,35
20190721T23Z,2275,1491.0,21
20190721T22Z,2296,1508.0,3
20190721T21Z,2289,1501.0,4
20190721T20Z,2286,1467.0,13
20190721T19Z,2271,1435.0,24
20190721T18Z,2241,1305.0,25
20190721T17Z,2062,1250.0,52
20190721T16Z,1972,1096.0,118
20190721T15Z,2096,853.0,87
20190721T14Z,1838,828.0,77
20190721T13Z,1423,750.0,182
20190721T12Z,1283,687.0,240
20190721T11Z,1310,792.0,150
20190721T10Z,1345,831.0,146
20190721T09Z,1324,768.0,157
20190721T08Z,1479,803.0,138
20190721T07Z,1586,737.0,163
20190721T06Z,1613,711.0,224
20190721T05Z,1964,744.0,168
20190721T04Z,2146,788.0,245
20190721T03Z,2037,1085.0,215
20190721T02Z,2144,1353.0,82
20190721T01Z,2209,1438.0,138
20190721T00Z,2282,1495.0,168
20190720T23Z,2298,1500.0,162
20190720T22Z,2306,1501.0,144
20190720T21Z,2249,1499.0,153
20190720T20Z,2254,1501.0,157
20190720T19Z,2239,1419.0,149
20190720T18Z,2213,1270.0,184
20190720T17Z,2191,1190.0,209
20190720T16Z,2153,1087.0,234
20190720T15Z,2110,970.0,254
20190720T14Z,1955,817.0,263
20190720T13Z,1669,766.0,234
20190720T12Z,1416,767.0,232
20190720T11Z,1496,703.0,245
20190720T10Z,1516,741.0,238
20190720T09Z,1614,706.0,271
20190720T08Z,1598,786.0,271
20190720T07Z,1609,840.0,291
20190720T06Z,1655,872.0,329
20190720T05Z,1932,862.0,308
20190720T04Z,2193,915.0,278
20190720T03Z,2268,1202.0,270
20190720T02Z,2314,1342.0,264
20190720T01Z,2312,1526.0,251
20190720T00Z,2293,1585.0,283
20190719T23Z,2250,1584.0,298
20190719T22Z,2275,1560.0,291
20190719T21Z,2262,1587.0,282
20190719T20Z,2262,1584.0,249
20190719T19Z,2310,1531.0,190
20190719T18Z,2298,1382.0,161
20190719T17Z,2171,1293.0,181
20190719T16Z,1839,1207.0,220
20190719T15Z,1811,1132.0,222
20190719T14Z,1794,897.0,191
20190719T13Z,1768,826.0,200
20190719T12Z,1500,708.0,222
20190719T11Z,1402,735.0,245
20190719T10Z,1424,727.0,264
20190719T09Z,1412,733.0,298
20190719T08Z,1550,694.0,324
20190719T07Z,1593,740.0,353
20190719T06Z,1634,794.0,353
20190719T05Z,1691,839.0,358
20190719T04Z,2047,901.0,349
20190719T03Z,2157,1045.0,322
20190719T02Z,2255,1200.0,285
20190719T01Z,2291,1375.0,252
20190719T00Z,2309,1579.0,310
20190718T23Z,2277,1588.0,346
20190718T22Z,2265,1586.0,355
20190718T21Z,2228,1581.0,332
20190718T20Z,2231,1574.0,303
20190718T19Z,2246,1475.0,277
20190718T18Z,2243,1385.0,244
20190718T17Z,2178,1285.0,250
20190718T16Z,2062,1151.0,248
20190718T15Z,2080,925.0,250
20190718T14Z,1834,724.0,271
20190718T13Z,1710,638.0,270
20190718T12Z,1595,607.0,269
20190718T11Z,1400,707.0,280
20190718T10Z,1260,788.0,270
20190718T09Z,1193,693.0,325
20190718T08Z,1192,684.0,348
20190718T07Z,1327,669.0,351
20190718T06Z,1479,788.0,325
20190718T05Z,1629,846.0,339
20190718T04Z,1978,870.0,312
20190718T03Z,2239,1020.0,270
20190718T02Z,2296,1310.0,241
20190718T01Z,2292,1542.0,228
20190718T00Z,2299,1524.0,262
20190717T23Z,2294,1535.0,274
20190717T22Z,2294,1539.0,306
20190717T21Z,2300,1536.0,275
20190717T20Z,2288,1525.0,226
20190717T19Z,2299,1515.0,156
20190717T18Z,2298,1508.0,114
20190717T17Z,2292,1305.0,130
20190717T16Z,2269,1195.0,160
20190717T15Z,2284,1001.0,156
20190717T14Z,2103,870.0,154
20190717T13Z,1975,770.0,136
20190717T12Z,1851,740.0,152
20190717T11Z,1662,778.0,167
20190717T10Z,1626,698.0,157
20190717T09Z,1605,775.0,124
20190717T08Z,1619,820.0,120
20190717T07Z,1691,882.0,108
20190717T06Z,1693,858.0,100
20190717T05Z,1702,847.0,101
20190717T04Z,2008,887.0,108
20190717T03Z,2285,1082.0,85
20190717T02Z,2308,1413.0,33
20190717T01Z,2305,1571.0,7
20190717T00Z,2302,1573.0,22
20190716T23Z,2292,1583.0,44
20190716T22Z,2323,1554.0,53
20190716T21Z,2305,1607.0,30
20190716T20Z,2295,1599.0,15
20190716T19Z,2301,1501.0,15
20190716T18Z,2315,1269.0,6
20190716T17Z,2236,1244.0,2
20190716T16Z,2096,1282.0,2
20190716T15Z,2003,1213.0,8
20190716T14Z,1946,966.0,9
20190716T13Z,1961,807.0,3
20190716T12Z,1873,780.0,3
20190716T11Z,1608,772.0,2
20190716T10Z,1398,792.0,4
20190716T09Z,1288,785.0,7
20190716T08Z,1241,794.0,9
20190716T07Z,1201,789.0,27
20190716T06Z,1223,782.0,42
20190716T05Z,1494,759.0,46
20190716T04Z,1849,840.0,12
20190716T03Z,2198,962.0,6
20190716T02Z,2216,1111.0,6
20190716T01Z,2231,1195.0,16
20190716T00Z,2309,1378.0,19
20190715T23Z,2314,1395.0,26
20190715T22Z,2311,1319.0,40
20190715T21Z,2290,1324.0,69
20190715T20Z,2271,1307.0,97
20190715T19Z,2204,1306.0,89
20190715T18Z,2213,1301.0,43
20190715T17Z,2089,1272.0,31
20190715T16Z,2036,1255.0,29
20190715T15Z,2041,1154.0,40
20190715T14Z,1944,952.0,28
20190715T13Z,1909,846.0,24
20190715T12Z,1903,807.0,46
20190715T11Z,1558,750.0,49
20190715T10Z,1456,759.0,73
20190715T09Z,1463,657.0,95
20190715T08Z,1489,774.0,109
20190715T07Z,1498,727.0,121
20190715T06Z,1561,784.0,105
20190715T05Z,1755,662.0,136
20190715T04Z,2043,750.0,83
20190715T03Z,2219,882.0,58
20190715T02Z,2234,1021.0,52
20190715T01Z,2304,1384.0,30
20190715T00Z,2290,1470.0,44
20190714T23Z,2289,1525.0,70
20190714T22Z,2294,1530.0,84
20190714T21Z,2314,1470.0,86
20190714T20Z,2294,1458.0,41
20190714T19Z,2295,1363.0,19
20190714T18Z,2250,1279.0,16
20190714T17Z,2157,1221.0,8
20190714T16Z,2207,1091.0,0
20190714T15Z,2096,971.0,3
20190714T14Z,1873,859.0,1
20190714T13Z,1649,836.0,5
20190714T12Z,1446,708.0,22
20190714T11Z,1392,770.0,28
20190714T10Z,1337,794.0,53
20190714T09Z,1341,774.0,73
20190714T08Z,1410,781.0,93
20190714T07Z,1533,811.0,74
20190714T06Z,1602,780.0,54
20190714T05Z,1823,735.0,33
20190714T04Z,2049,900.0,19
20190714T03Z,2215,1061.0,12
20190714T02Z,2252,1172.0,13
20190714T01Z,2297,1352.0,12
20190714T00Z,2292,1457.0,20
20190713T23Z,2295,1497.0,25
20190713T22Z,2295,1497.0,28
20190713T21Z,2296,1491.0,45
20190713T20Z,2280,1473.0,44
20190713T19Z,2285,1443.0,59
20190713T18Z,2239,1335.0,35
20190713T17Z,2175,1181.0,27
20190713T16Z,2135,1029.0,22
20190713T15Z,2082,916.0,8
20190713T14Z,1898,889.0,0
20190713T13Z,1584,868.0,9
20190713T12Z,1359,692.0,18
20190713T11Z,1390,698.0,24
20190713T10Z,1364,736.0,20
20190713T09Z,1356,711.0,11
20190713T08Z,1391,741.0,1
20190713T07Z,1354,811.0,31
20190713T06Z,1557,728.0,85
20190713T05Z,1776,754.0,27
20190713T04Z,1986,850.0,7
20190713T03Z,2206,923.0,18
20190713T02Z,2211,1144.0,28
20190713T01Z,2302,1356.0,26
20190713T00Z,2298,1394.0,31
20190712T23Z,2291,1608.0,31
20190712T22Z,2282,1620.0,26
20190712T21Z,2291,1603.0,10
20190712T20Z,2288,1613.0,12
20190712T19Z,2285,1588.0,9
20190712T18Z,2259,1570.0,7
20190712T17Z,2227,1345.0,5
20190712T16Z,2104,1185.0,5
20190712T15Z,1940,976.0,0
20190712T14Z,1749,829.0,0
20190712T13Z,1492,798.0,0
20190712T12Z,1308,794.0,0
20190712T11Z,1243,736.0,6
20190712T10Z,1292,732.0,5
20190712T09Z,1309,738.0,12
20190712T08Z,1406,719.0,26
20190712T07Z,1476,738.0,36
20190712T06Z,1619,819.0,26
20190712T05Z,1985,746.0,33
20190712T04Z,2281,837.0,29
20190712T03Z,2296,1180.0,30
20190712T02Z,2293,1267.0,19
20190712T01Z,2295,1408.0,14
20190712T00Z,2284,1496.0,15
20190711T23Z,2277,1476.0,18
20190711T22Z,2283,1527.0,30
20190711T21Z,2268,1447.0,52
20190711T20Z,2275,1443.0,51
20190711T19Z,2255,1448.0,57
20190711T18Z,2189,1289.0,75
20190711T17Z,2042,1191.0,97
20190711T16Z,1962,1097.0,109
20190711T15Z,1920,965.0,65
20190711T14Z,1840,809.0,60
20190711T13Z,1580,800.0,101
20190711T12Z,1329,840.0,144
20190711T11Z,1256,800.0,191
20190711T10Z,1247,739.0,197
20190711T09Z,1245,739.0,209
20190711T08Z,1236,741.0,207
20190711T07Z,1235,726.0,183
20190711T06Z,1413,731.0,110
20190711T05Z,1562,809.0,66
20190711T04Z,1748,843.0,89
20190711T03Z,1938,881.0,109
20190711T02Z,1903,1016.0,115
20190711T01Z,1918,1129.0,109
20190711T00Z,2020,1288.0,136
20190710T23Z,2093,1296.0,147
20190710T22Z,2026,1284.0,185
20190710T21Z,2014,1296.0,153
20190710T20Z,2003,1292.0,149
20190710T19Z,2012,1290.0,156
20190710T18Z,1910,1283.0,181
20190710T17Z,1985,1200.0,144
20190710T16Z,2058,1098.0,61
20190710T15Z,2077,1003.0,57
20190710T14Z,2102,935.0,51
20190710T13Z,1766,852.0,57
20190710T12Z,1591,774.0,70
20190710T11Z,1479,774.0,44
20190710T10Z,1450,752.0,47
20190710T09Z,1444,783.0,47
20190710T08Z,1550,781.0,48
20190710T07Z,1600,847.0,44
20190710T06Z,1777,849.0,59
20190710T05Z,2016,821.0,63
20190710T04Z,2123,1104.0,68
20190710T03Z,2128,1529.0,69
20190710T02Z,2115,1723.0,41
20190710T01Z,2138,1775.0,38
20190710T00Z,2124,1751.0,48
20190709T23Z,2141,1791.0,56
20190709T22Z,2117,1725.0,61
20190709T21Z,2066,1707.0,47
20190709T20Z,2140,1528.0,57
20190709T19Z,2112,1528.0,86
20190709T18Z,2012,1521.0,125
20190709T17Z,2008,1378.0,163
20190709T16Z,2159,1185.0,110
20190709T15Z,2155,997.0,84
20190709T14Z,1996,920.0,111
20190709T13Z,1903,809.0,85
20190709T12Z,1491,816.0,85
20190709T11Z,1292,804.0,111
20190709T10Z,1205,822.0,93
20190709T09Z,1226,807.0,86
20190709T08Z,1266,815.0,110
20190709T07Z,1380,791.0,140
20190709T06Z,1559,735.0,152
20190709T05Z,1628,787.0,148
20190709T04Z,1860,893.0,116
20190709T03Z,2171,928.0,95
20190709T02Z,2088,1110.0,98
20190709T01Z,2121,1288.0,85
20190709T00Z,2194,1306.0,110
20190708T23Z,2237,1480.0,58
20190708T22Z,2245,1487.0,54
20190708T21Z,2246,1487.0,38
20190708T20Z,2269,1487.0,31
20190708T19Z,2243,1484.0,33
20190708T18Z,2265,1481.0,26
20190708T17Z,2215,1289.0,13
20190708T16Z,2243,1095.0,7
20190708T15Z,2200,969.0,12
20190708T14Z,1982,901.0,17
20190708T13Z,1748,903.0,50
20190708T12Z,1699,903.0,62
20190708T11Z,1579,902.0,75
20190708T10Z,1415,902.0,74
20190708T09Z,1436,903.0,61
20190708T08Z,1451,903.0,56
20190708T07Z,1574,902.0,71
20190708T06Z,1700,899.0,64
20190708T05Z,1979,898.0,43
20190708T04Z,2095,920.0,23
20190708T03Z,2206,1084.0,13
20190708T02Z,2137,1162.0,2
20190708T01Z,2184,1231.0,4
20190708T00Z,2238,1275.0,5
20190707T23Z,2275,1300.0,8
20190707T22Z,2241,1284.0,11
20190707T21Z,2247,1292.0,1
20190707T20Z,2221,1296.0,0
20190707T19Z,2219,1286.0,0
20190707T18Z,2231,1149.0,0
20190707T17Z,2133,1079.0,0
20190707T16Z,2098,999.0,0
20190707T15Z,2097,932.0,1
20190707T14Z,1935,924.0,1
20190707T13Z,1762,926.0,13
20190707T12Z,1604,896.0,38
20190707T11Z,1607,908.0,20
20190707T10Z,1600,907.0,17
20190707T09Z,1644,909.0,20
20190707T08Z,1726,911.0,33
20190707T07Z,1724,904.0,58
20190707T06Z,1812,903.0,36
20190707T05Z,1912,908.0,29
20190707T04Z,2073,928.0,5
20190707T03Z,2155,1058.0,5
20190707T02Z,2177,1241.0,5
20190707T01Z,2267,1346.0,13
20190707T00Z,2307,1417.0,20
20190706T23Z,2301,1455.0,13
20190706T22Z,2284,1494.0,5
20190706T21Z,2300,1469.0,10
20190706T20Z,2286,1493.0,6
20190706T19Z,2326,1479.0,11
20190706T18Z,2281,1376.0,33
20190706T17Z,2177,1290.0,36
20190706T16Z,1936,1208.0,33
20190706T15Z,1866,1046.0,59
20190706T14Z,1890,938.0,29
20190706T13Z,1769,925.0,24
20190706T12Z,1582,929.0,27
20190706T11Z,1540,928.0,19
20190706T10Z,1484,926.0,32
20190706T09Z,1507,924.0,31
20190706T08Z,1518,923.0,54
20190706T07Z,1579,892.0,74
20190706T06Z,1720,792.0,73
20190706T05Z,1881,826.0,76
20190706T04Z,2128,906.0,52
20190706T03Z,2192,910.0,80
20190706T02Z,2145,923.0,46
20190706T01Z,2162,933.0,43
20190706T00Z,2124,949.0,77
20190705T23Z,2121,1268.0,67
20190705T22Z,2189,1302.0,39
20190705T21Z,2206,1371.0,15
20190705T20Z,2231,1409.0,34
20190705T19Z,2144,1410.0,10
20190705T18Z,2218,1350.0,16
20190705T17Z,2224,1307.0,26
20190705T16Z,2207,1285.0,41
20190705T15Z,2157,1148.0,66
20190705T14Z,2080,971.0,66
20190705T13Z,1859,925.0,43
20190705T12Z,1749,865.0,41
20190705T11Z,1660,831.0,45
20190705T10Z,1550,890.0,53
20190705T09Z,1557,791.0,96
20190705T08Z,1709,763.0,108
20190705T07Z,1721,762.0,89
20190705T06Z,1833,746.0,86
20190705T05Z,1930,855.0,93
20190705T04Z,2039,826.0,102
20190705T03Z,2212,786.0,83
20190705T02Z,2239,920.0,52
20190705T01Z,2257,1123.0,42
20190705T00Z,2275,1280.0,53
20190704T23Z,2244,1331.0,82
20190704T22Z,2234,1362.0,99
20190704T21Z,2220,1347.0,93
20190704T20Z,2254,1381.0,59
20190704T19Z,2164,1379.0,84
20190704T18Z,2204,1335.0,79
20190704T17Z,2208,1197.0,71
20190704T16Z,2150,1036.0,89
20190704T15Z,1853,865.0,82
20190704T14Z,1586,757.0,66
20190704T13Z,1236,787.0,75
20190704T12Z,1192,726.0,114
20190704T11Z,1335,768.0,108
20190704T10Z,1351,854.0,140
20190704T09Z,1234,862.0,165
20190704T08Z,1257,862.0,171
20190704T07Z,1321,860.0,131
20190704T06Z,1724,695.0,125
20190704T05Z,1863,747.0,108
20190704T04Z,1976,766.0,109
20190704T03Z,2168,886.0,114
20190704T02Z,2196,1057.0,84
20190704T01Z,2257,1167.0,134
20190704T00Z,2268,1243.0,172
20190703T23Z,2328,1273.0,133
20190703T22Z,2280,1306.0,95
20190703T21Z,2295,1311.0,81
20190703T20Z,2316,1427.0,48
20190703T19Z,2304,1515.0,34
20190703T18Z,2229,1457.0,64
20190703T17Z,2214,1365.0,61
20190703T16Z,2162,1229.0,105
20190703T15Z,2160,1115.0,133
20190703T14Z,2012,996.0,142
20190703T13Z,2080,908.0,83
20190703T12Z,1899,785.0,78
20190703T11Z,1618,707.0,93
20190703T10Z,1341,807.0,77
20190703T09Z,1321,833.0,73
20190703T08Z,1338,848.0,89
20190703T07Z,1579,790.0,88
20190703T06Z,1903,770.0,54
20190703T05Z,2027,772.0,63
20190703T04Z,2177,908.0,40
20190703T03Z,2255,1182.0,65
20190703T02Z,2247,1271.0,84
20190703T01Z,2302,1371.0,123
20190703T00Z,2301,1481.0,135
20190702T23Z,2307,1665.0,137
20190702T22Z,2309,1701.0,81
20190702T21Z,2293,1635.0,68
20190702T20Z,2328,1664.0,52
20190702T19Z,2301,1693.0,39
20190702T18Z,2277,1545.0,45
20190702T17Z,2262,1477.0,65
20190702T16Z,2133,1361.0,62
20190702T15Z,2032,1276.0,67
20190702T14Z,1992,1124.0,62
20190702T13Z,1990,916.0,87
20190702T12Z,1860,808.0,86
20190702T11Z,1496,853.0,79
20190702T10Z,1327,822.0,122
20190702T09Z,1293,805.0,142
20190702T08Z,1324,839.0,141
20190702T07Z,1461,878.0,106
20190702T06Z,1682,867.0,95
20190702T05Z,1701,886.0,136
20190702T04Z,1757,875.0,124
20190702T03Z,1918,976.0,87
20190702T02Z,2011,1291.0,53
20190702T01Z,2036,1452.0,54
20190702T00Z,2043,1527.0,69
20190701T23Z,2058,1556.0,91
20190701T22Z,2028,1583.0,85
20190701T21Z,2062,1541.0,71
20190701T20Z,2029,1549.0,48
20190701T19Z,2028,1536.0,46
20190701T18Z,1997,1530.0,42
20190701T17Z,1926,1301.0,29
20190701T16Z,1933,1198.0,43
20190701T15Z,1770,1079.0,39
20190701T14Z,1556,956.0,32
20190701T13Z,1292,906.0,33
20190701T12Z,1033,889.0,61
20190701T11Z,963,891.0,73
20190701T10Z,904,850.0,106
20190701T09Z,890,758.0,133
20190701T08Z,892,824.0,126
20190701T07Z,995,870.0,130
20190701T06Z,1117,842.0,110
20190701T05Z,1245,808.0,160
20190701T04Z,1605,950.0,154
20190701T03Z,1855,1166.0,78
20190701T02Z,1911,1299.0,41
20190701T01Z,2047,1383.0,45
20190701T00Z,2046,1506.0,58
20190630T23Z,2046,1484.0,73
20190630T22Z,2043,1503.0,62
20190630T21Z,2044,1432.0,41
20190630T20Z,2038,1386.0,41
20190630T19Z,2051,1354.0,38
20190630T18Z,2039,1296.0,15
20190630T17Z,2041,1279.0,7
20190630T16Z,2035,1223.0,8
20190630T15Z,1997,1024.0,13
20190630T14Z,1641,895.0,25
20190630T13Z,1116,857.0,64
20190630T12Z,891,742.0,93
20190630T11Z,896,698.0,119
20190630T10Z,893,696.0,119
20190630T09Z,896,755.0,103
20190630T08Z,878,844.0,98
20190630T07Z,950,907.0,117
20190630T06Z,1117,912.0,135
20190630T05Z,1370,913.0,132
20190630T04Z,1643,967.0,98
20190630T03Z,1867,1266.0,75
20190630T02Z,1933,1455.0,54
20190630T01Z,1907,1570.0,56
20190630T00Z,1995,1482.0,59
20190629T23Z,2038,1594.0,57
20190629T22Z,2031,1617.0,52
20190629T21Z,2035,1598.0,59
20190629T20Z,2046,1543.0,52
20190629T19Z,2032,1593.0,40
20190629T18Z,2028,1605.0,22
20190629T17Z,2037,1491.0,9
20190629T16Z,2031,1190.0,14
20190629T15Z,1987,859.0,16
20190629T14Z,1694,774.0,20
20190629T13Z,1218,803.0,31
20190629T12Z,905,845.0,69
20190629T11Z,765,847.0,123
20190629T10Z,727,841.0,151
20190629T09Z,732,813.0,169
20190629T08Z,822,813.0,160
20190629T07Z,950,861.0,149
20190629T06Z,1202,890.0,161
20190629T05Z,1533,916.0,172
20190629T04Z,1780,976.0,159
20190629T03Z,1853,1224.0,130
20190629T02Z,1879,1380.0,118
20190629T01Z,2061,1423.0,100
20190629T00Z,2048,1424.0,104
20190628T23Z,2061,1464.0,131
20190628T22Z,2039,1479.0,181
20190628T21Z,2047,1503.0,193
20190628T20Z,2043,1417.0,140
20190628T19Z,2036,1499.0,60
20190628T18Z,2052,1491.0,69
20190628T17Z,2046,1510.0,88
20190628T16Z,2036,1419.0,135
20190628T15Z,2035,1156.0,148
20190628T14Z,1976,947.0,165
20190628T13Z,1740,871.0,157
20190628T12Z,1399,810.0,226
20190628T11Z,1182,803.0,245
20190628T10Z,1145,856.0,219
20190628T09Z,1168,875.0,200
20190628T08Z,1291,887.0,228
20190628T07Z,1451,912.0,190
20190628T06Z,1606,910.0,185
20190628T05Z,1719,911.0,184
20190628T04Z,1749,1074.0,207
20190628T03Z,1925,1275.0,149
20190628T02Z,1994,1381.0,133
20190628T01Z,2028,1476.0,161
20190628T00Z,2031,1521.0,254
20190627T23Z,2025,1488.0,348
20190627T22Z,2037,1502.0,320
20190627T21Z,2151,1517.0,278
20190627T20Z,2247,1368.0,238
20190627T19Z,2307,1298.0,235
20190627T18Z,2282,1305.0,165
20190627T17Z,2285,1329.0,107
20190627T16Z,2141,1268.0,93
20190627T15Z,2115,1047.0,87
20190627T14Z,1994,809.0,93
20190627T13Z,1662,832.0,119
20190627T12Z,1377,828.0,139
20190627T11Z,1288,889.0,140
20190627T10Z,1299,910.0,169
20190627T09Z,1313,851.0,201
20190627T08Z,1424,892.0,201
20190627T07Z,1543,906.0,211
20190627T06Z,1623,905.0,218
20190627T05Z,1853,898.0,175
20190627T04Z,2064,914.0,178
20190627T03Z,2144,956.0,139
20190627T02Z,2113,1140.0,115
20190627T01Z,2182,1310.0,97
20190627T00Z,2189,1296.0,93
20190626T23Z,2255,1292.0,112
20190626T22Z,2224,1303.0,172
20190626T21Z,2160,1381.0,231
20190626T20Z,2168,1403.0,209
20190626T19Z,2182,1298.0,158
20190626T18Z,2193,1231.0,127
20190626T17Z,2238,1182.0,85
20190626T16Z,2188,1084.0,172
20190626T15Z,2057,838.0,259
20190626T14Z,1758,875.0,194
20190626T13Z,1587,799.0,197
20190626T12Z,1264,839.0,190
20190626T11Z,994,859.0,195
20190626T10Z,958,783.0,181
20190626T09Z,957,825.0,152
20190626T08Z,1033,875.0,97
20190626T07Z,1177,865.0,74
20190626T06Z,1348,856.0,172
20190626T05Z,1579,896.0,190
20190626T04Z,1911,908.0,188
20190626T03Z,2140,962.0,172
20190626T02Z,2205,1103.0,90
20190626T01Z,2271,1145.0,111
20190626T00Z,2235,1273.0,126
20190625T23Z,2261,1280.0,118
20190625T22Z,2255,1255.0,130
20190625T21Z,2279,1245.0,94
20190625T20Z,2284,1279.0,55
20190625T19Z,2274,1148.0,57
20190625T18Z,2173,1066.0,92
20190625T17Z,2148,1008.0,88
20190625T16Z,2061,922.0,86
