,natural gas,other,solar,hydro
20191105T01Z,93,495,9,18
20191105T00Z,53,496,70,19
20191104T23Z,58,490,129,20
20191104T22Z,55,488,134,19
20191104T21Z,59,491,139,21
20191104T20Z,59,496,137,22
20191104T19Z,57,499,143,21
20191104T18Z,43,498,142,21
20191104T17Z,54,503,133,23
20191104T16Z,57,515,86,23
20191104T15Z,81,503,16,21
20191104T14Z,60,506,0,24
20191104T13Z,59,503,0,20
20191104T12Z,59,503,0,19
20191104T11Z,60,503,0,18
20191104T10Z,59,506,0,15
20191104T09Z,59,501,0,19
20191102T07Z,44,532,0,19
20191102T06Z,45,527,0,22
20191102T05Z,70,516,0,20
20191102T04Z,106,508,0,23
20191102T03Z,151,519,0,21
20191102T02Z,151,518,0,20
20191102T01Z,148,520,10,22
20191102T00Z,64,486,78,22
20191101T23Z,60,478,119,22
20191101T22Z,59,476,131,21
20191101T21Z,59,477,132,22
20191101T20Z,59,479,132,22
20191101T19Z,59,472,134,24
20191101T18Z,60,480,133,25
20191101T17Z,57,499,133,24
20191101T16Z,49,539,97,24
20191101T15Z,82,541,22,22
20191101T14Z,76,538,0,24
20191101T13Z,57,539,0,25
20191101T12Z,60,539,0,25
20191101T11Z,53,541,0,23
20191101T10Z,50,536,0,22
20191101T09Z,57,541,0,22
20191101T08Z,60,537,0,22
20191101T07Z,59,540,0,22
20191101T06Z,59,535,0,22
20191101T05Z,54,536,0,23
20191101T04Z,98,537,0,22
20191101T03Z,150,527,0,24
20191101T02Z,139,532,0,21
20191101T01Z,79,531,10,23
20191101T00Z,57,494,86,20
20191031T23Z,60,456,129,23
20191031T22Z,50,440,139,22
20191031T21Z,52,435,143,22
20191031T20Z,59,434,141,24
20191031T19Z,58,442,144,24
20191031T18Z,60,438,142,25
20191031T17Z,58,446,136,25
20191031T16Z,54,507,99,24
20191031T15Z,90,480,20,23
20191031T14Z,84,487,0,26
20191031T13Z,58,515,0,26
20191031T12Z,48,538,0,22
20191031T11Z,42,540,0,24
20191031T10Z,45,538,0,24
20191031T09Z,44,489,0,21
20191031T08Z,41,485,0,23
20191031T07Z,40,509,0,21
20191031T06Z,45,514,0,22
20191031T05Z,44,463,0,22
20191031T04Z,93,436,0,22
20191031T03Z,148,432,0,22
20191031T02Z,146,431,0,21
20191031T01Z,59,449,15,22
20191031T00Z,51,481,87,24
20191030T23Z,41,467,139,24
20191030T22Z,45,468,149,23
20191030T21Z,52,466,151,23
20191030T20Z,50,466,144,24
20191030T19Z,49,478,154,26
20191030T18Z,48,468,146,23
20191030T17Z,49,515,126,25
20191030T16Z,44,524,81,24
20191030T15Z,58,521,17,24
20191030T14Z,58,525,0,25
20191030T13Z,59,520,0,24
20191030T12Z,48,520,0,24
20191030T11Z,44,518,0,23
20191030T10Z,49,520,0,22
20191030T09Z,56,513,0,20
20191030T08Z,59,512,0,21
20191030T07Z,59,513,0,22
20191030T06Z,59,511,0,21
20191030T05Z,63,511,0,19
20191030T04Z,103,508,0,23
20191030T03Z,104,508,0,21
20191030T02Z,104,511,0,23
20191030T01Z,65,509,10,22
20191030T00Z,51,495,77,22
20191029T23Z,55,475,127,21
20191029T22Z,47,481,143,21
20191029T21Z,56,484,147,25
20191029T20Z,46,484,143,21
20191029T19Z,40,489,134,24
20191029T18Z,52,491,116,23
20191029T17Z,38,489,128,23
20191029T16Z,64,494,98,24
20191029T15Z,70,497,20,23
20191029T14Z,59,520,0,25
20191029T13Z,54,518,0,21
20191029T12Z,53,518,0,25
20191029T11Z,45,514,0,21
20191029T10Z,47,519,0,22
20191029T09Z,52,515,0,22
20191029T08Z,54,516,0,20
20191029T07Z,57,512,0,15
20191029T06Z,43,508,0,21
20191029T05Z,59,507,0,17
20191029T04Z,66,508,0,20
20191029T03Z,141,500,0,22
20191029T02Z,151,503,0,21
20191029T01Z,128,501,12,21
20191029T00Z,57,497,86,23
20191028T23Z,59,502,124,22
20191028T22Z,59,470,115,22
20191028T21Z,60,463,118,22
20191028T20Z,58,458,118,21
20191028T19Z,39,457,120,25
20191028T18Z,40,457,121,23
20191028T17Z,42,456,118,24
20191028T16Z,76,463,96,24
20191028T15Z,97,489,22,27
20191028T14Z,63,505,0,24
20191028T13Z,46,506,0,26
20191028T12Z,43,500,0,25
20191028T11Z,44,496,0,24
20191028T10Z,52,500,0,23
20191028T09Z,53,492,0,20
20191028T08Z,58,497,0,19
20191028T07Z,94,496,0,20
20191028T06Z,124,487,0,17
20191028T05Z,127,481,0,17
20191028T04Z,122,460,0,22
20191028T03Z,54,450,0,21
20191028T02Z,57,426,0,18
20191028T01Z,55,414,9,18
20191028T00Z,54,402,70,18
20191027T23Z,53,380,120,18
20191027T22Z,41,374,133,19
20191027T21Z,43,354,138,17
20191027T20Z,55,352,137,17
20191027T19Z,50,352,139,17
20191027T18Z,39,348,135,17
