,natural gas,other,solar,hydro
20190815T11Z,154,509,0,32
20190815T10Z,179,503,0,32
20190815T09Z,194,506,0,29
20190815T08Z,235,498,0,30
20190815T07Z,269,501,0,30
20190815T06Z,276,497,0,31
20190815T05Z,273,494,0,30
20190815T04Z,281,491,0,30
20190815T03Z,296,491,1,26
20190815T02Z,305,490,33,29
20190815T01Z,297,493,94,27
20190815T00Z,259,495,126,30
20190814T23Z,251,495,134,26
20190814T22Z,238,492,141,21
20190814T21Z,254,500,145,28
20190814T20Z,204,498,150,28
20190814T19Z,200,493,149,29
20190814T18Z,197,493,149,30
20190814T17Z,168,495,142,30
20190814T16Z,172,502,124,28
20190814T15Z,169,505,64,27
20190814T14Z,177,508,10,30
20190814T13Z,168,509,0,28
20190814T12Z,160,500,0,29
20190814T11Z,168,502,0,30
20190814T10Z,188,502,0,30
20190814T09Z,190,503,0,31
20190814T08Z,206,503,0,26
20190814T07Z,270,499,0,30
20190814T06Z,274,499,0,27
20190814T05Z,278,494,0,31
20190814T04Z,289,489,0,28
20190814T03Z,279,492,1,29
20190814T02Z,282,486,34,29
20190814T01Z,250,491,94,30
20190814T00Z,241,486,127,27
20190813T23Z,239,483,138,30
20190813T22Z,195,487,150,29
20190813T21Z,193,486,154,29
20190813T20Z,203,477,154,27
20190813T19Z,201,488,156,28
20190813T18Z,195,488,148,30
20190813T17Z,192,490,126,28
20190813T16Z,181,501,104,25
20190813T15Z,181,504,62,31
20190813T14Z,178,507,12,28
20190813T13Z,187,507,0,28
20190813T12Z,184,502,0,28
20190813T11Z,193,500,0,28
20190813T10Z,201,501,0,27
20190813T09Z,212,503,0,24
20190813T08Z,212,505,0,28
20190813T07Z,217,505,0,29
20190813T06Z,225,506,0,24
20190813T05Z,264,505,0,30
20190813T04Z,268,507,0,27
20190813T03Z,261,501,1,27
20190813T02Z,272,495,35,27
20190813T01Z,278,502,88,27
20190813T00Z,282,499,115,27
20190812T23Z,253,498,124,27
20190812T22Z,270,497,129,29
20190812T21Z,206,494,133,27
20190812T20Z,214,496,134,27
20190812T19Z,205,498,132,27
20190812T18Z,200,494,132,25
20190812T17Z,198,496,121,28
20190812T16Z,185,496,106,25
20190812T15Z,183,500,66,27
20190812T14Z,184,507,10,27
20190812T13Z,193,502,0,25
20190812T12Z,184,502,0,30
20190812T11Z,192,502,0,25
20190812T10Z,189,503,0,25
20190812T09Z,183,507,0,27
20190812T08Z,201,511,0,27
20190812T07Z,197,510,0,27
20190812T06Z,232,507,0,29
20190812T05Z,237,507,0,28
20190812T04Z,235,501,0,26
20190812T03Z,249,501,1,28
20190812T02Z,257,492,37,27
20190812T01Z,250,498,92,28
20190812T00Z,246,494,115,26
20190811T23Z,208,493,126,27
20190811T22Z,199,498,133,24
20190811T21Z,199,495,137,27
20190811T20Z,198,493,137,26
20190811T19Z,190,492,138,25
20190811T18Z,172,495,132,26
20190811T17Z,164,497,124,26
20190811T16Z,154,499,108,27
20190811T15Z,174,506,64,25
20190811T14Z,178,507,10,26
20190811T13Z,173,504,0,27
20190811T12Z,167,505,0,27
20190811T11Z,172,501,0,28
20190811T10Z,179,504,0,25
20190811T09Z,183,503,0,29
20190811T08Z,203,499,0,28
20190811T07Z,210,507,0,29
20190811T06Z,203,508,0,29
20190811T05Z,229,511,0,28
20190811T04Z,240,499,0,28
20190811T03Z,255,504,1,27
20190811T02Z,257,502,38,31
20190811T01Z,251,499,88,30
20190811T00Z,235,498,110,28
20190810T23Z,206,489,123,30
20190810T22Z,193,484,130,27
20190810T21Z,190,476,132,28
20190810T20Z,189,483,136,31
20190810T19Z,187,478,134,29
20190810T18Z,184,481,128,30
20190810T17Z,158,488,119,28
20190810T16Z,157,491,106,32
20190810T15Z,170,493,61,27
20190810T14Z,176,496,10,31
20190810T13Z,180,492,0,29
20190810T12Z,176,493,0,29
20190810T11Z,173,491,0,30
20190810T10Z,177,492,0,30
20190810T09Z,191,493,0,31
20190810T08Z,199,488,0,30
20190810T07Z,252,489,0,28
20190810T06Z,258,499,0,30
20190810T05Z,284,501,0,29
20190810T04Z,293,501,0,28
20190810T03Z,309,499,1,31
20190810T02Z,302,499,32,29
20190810T01Z,305,505,83,30
20190810T00Z,283,507,110,26
20190809T23Z,264,501,122,32
20190809T22Z,239,506,127,30
20190809T21Z,235,507,128,28
20190809T20Z,241,513,132,32
20190809T19Z,235,510,129,27
20190809T18Z,235,506,126,30
20190809T17Z,229,510,117,29
20190809T16Z,202,517,104,29
20190809T15Z,179,520,60,29
20190809T14Z,188,513,10,25
20190809T13Z,173,517,0,30
20190809T12Z,173,515,0,30
20190809T11Z,178,513,0,27
20190809T10Z,197,511,0,30
20190809T09Z,220,514,0,28
20190809T08Z,224,511,0,30
20190809T07Z,230,512,0,29
20190809T06Z,241,505,0,29
20190809T05Z,250,504,0,29
20190809T04Z,266,504,0,30
20190809T03Z,266,495,2,29
20190809T02Z,288,497,31,29
20190809T01Z,280,500,82,29
20190809T00Z,280,495,102,31
20190808T23Z,272,496,114,28
20190808T22Z,280,497,121,30
20190808T21Z,239,494,124,28
20190808T20Z,244,500,126,29
20190808T19Z,208,497,125,28
20190808T18Z,198,501,119,27
20190808T17Z,183,492,116,30
20190808T16Z,179,504,98,27
20190808T15Z,175,506,58,26
20190808T14Z,181,509,10,27
20190808T13Z,197,505,0,30
20190808T12Z,205,510,0,28
20190808T11Z,205,503,0,26
20190808T10Z,208,507,0,28
20190808T09Z,213,498,0,27
20190808T08Z,232,501,0,30
20190808T07Z,220,501,0,28
20190808T06Z,240,497,0,27
20190808T05Z,283,497,0,29
20190808T04Z,283,494,0,26
20190808T03Z,295,493,1,30
20190808T02Z,287,490,34,27
20190808T01Z,241,491,84,26
20190808T00Z,238,490,105,30
20190807T23Z,219,488,116,26
20190807T22Z,200,488,116,29
20190807T21Z,180,490,80,28
20190807T20Z,240,488,45,26
20190807T19Z,242,486,43,27
20190807T18Z,264,483,43,28
20190807T17Z,245,473,59,25
20190807T16Z,235,487,61,25
20190807T15Z,211,491,29,26
20190807T14Z,208,488,5,28
20190807T13Z,201,491,0,27
20190807T12Z,178,492,0,29
20190807T11Z,189,493,0,28
20190807T10Z,215,494,0,26
20190807T09Z,230,489,0,28
20190807T08Z,246,484,0,27
20190807T07Z,232,477,0,26
20190807T06Z,244,471,0,27
20190807T05Z,266,472,0,26
20190807T04Z,265,471,0,29
20190807T03Z,267,465,1,25
20190807T02Z,261,467,17,27
20190807T01Z,285,465,14,30
20190807T00Z,299,472,45,25
20190806T23Z,279,472,69,26
20190806T22Z,270,474,80,27
20190806T21Z,207,474,89,28
20190806T20Z,183,473,70,27
20190806T19Z,201,475,58,26
20190806T18Z,201,474,27,26
20190806T17Z,171,473,14,26
20190806T16Z,191,482,5,25
20190806T15Z,208,479,2,26
20190806T14Z,211,479,0,26
20190806T13Z,189,479,0,28
20190806T12Z,175,476,0,26
20190806T11Z,194,472,0,28
20190806T10Z,217,468,0,30
20190806T09Z,229,481,0,27
20190806T08Z,248,478,0,26
20190806T07Z,251,478,0,27
20190806T06Z,264,476,0,27
20190806T05Z,287,472,0,25
20190806T04Z,287,461,0,27
20190806T03Z,284,426,1,28
20190806T02Z,307,441,11,26
20190806T01Z,276,445,40,26
20190806T00Z,246,435,88,27
20190805T23Z,258,440,102,26
20190805T22Z,286,447,110,27
20190805T21Z,254,440,115,26
20190805T20Z,240,439,118,27
20190805T19Z,218,442,121,25
20190805T18Z,216,438,121,25
20190805T17Z,207,440,109,26
20190805T16Z,191,441,95,23
20190805T15Z,189,439,47,26
20190805T14Z,193,443,5,22
20190805T13Z,177,441,0,24
20190805T12Z,171,442,0,27
20190805T11Z,191,442,0,25
20190805T10Z,217,442,0,26
20190805T09Z,224,439,0,24
20190805T08Z,241,442,0,27
20190805T07Z,272,437,0,23
20190805T06Z,274,441,0,23
20190805T05Z,277,459,0,22
20190805T04Z,300,461,0,25
20190805T03Z,309,455,3,25
20190805T02Z,319,459,34,21
20190805T01Z,313,457,77,24
20190805T00Z,295,454,97,23
20190804T23Z,279,452,108,22
20190804T22Z,272,450,114,24
20190804T21Z,231,445,115,21
20190804T20Z,226,433,121,26
20190804T19Z,223,430,124,19
20190804T18Z,220,431,118,23
20190804T17Z,221,430,113,25
20190804T16Z,186,431,97,27
20190804T15Z,178,436,55,21
20190804T14Z,186,435,10,22
20190804T13Z,185,427,0,24
20190804T12Z,186,416,0,24
20190804T11Z,197,407,0,26
20190804T10Z,206,410,0,28
20190804T09Z,218,423,0,26
20190804T08Z,232,426,0,30
20190804T07Z,262,425,0,26
20190804T06Z,258,420,0,30
20190804T05Z,271,424,0,31
20190804T04Z,289,421,0,31
20190804T03Z,297,415,4,31
20190804T02Z,314,417,31,33
20190804T01Z,301,416,75,30
20190804T00Z,278,417,99,30
20190803T23Z,270,411,104,31
20190803T22Z,274,406,112,32
20190803T21Z,225,404,119,30
20190803T20Z,221,403,120,31
20190803T19Z,212,409,117,33
20190803T18Z,199,399,120,34
20190803T17Z,211,420,111,32
20190803T16Z,182,450,83,32
20190803T15Z,176,461,40,34
20190803T14Z,178,461,6,32
20190803T13Z,178,461,0,35
20190803T12Z,172,461,0,34
20190803T11Z,179,458,0,33
20190803T10Z,195,466,0,32
20190803T09Z,202,468,0,34
20190803T08Z,209,469,0,36
20190803T07Z,227,460,0,35
20190803T06Z,281,405,0,35
20190803T05Z,293,357,0,32
20190803T04Z,307,322,0,34
20190803T03Z,302,325,1,35
20190803T02Z,277,352,28,34
20190803T01Z,270,400,87,34
20190803T00Z,274,428,102,36
20190802T23Z,250,500,112,35
20190802T22Z,255,507,108,31
20190802T21Z,227,510,117,36
20190802T20Z,215,512,118,35
20190802T19Z,214,503,119,34
20190802T18Z,194,504,100,33
20190802T17Z,172,504,110,35
20190802T16Z,178,506,90,35
20190802T15Z,170,510,60,31
20190802T14Z,180,507,9,36
20190802T13Z,187,507,0,34
20190802T12Z,191,505,0,33
20190802T11Z,191,502,0,35
20190802T10Z,212,501,0,36
20190802T09Z,225,497,0,31
20190802T08Z,231,496,0,34
20190802T07Z,254,476,0,38
20190802T06Z,266,406,0,37
20190802T05Z,307,336,0,37
20190802T04Z,337,338,0,36
20190802T03Z,328,395,4,38
20190802T02Z,315,479,33,40
20190802T01Z,280,501,84,34
20190802T00Z,255,499,103,37
20190801T23Z,237,497,120,37
20190801T22Z,196,493,119,36
20190801T21Z,199,490,127,37
20190801T20Z,196,497,127,34
20190801T19Z,185,495,126,39
20190801T18Z,184,495,123,38
20190801T17Z,178,501,116,36
20190801T16Z,177,501,98,38
20190801T15Z,189,505,59,36
20190801T14Z,192,508,12,36
20190801T13Z,160,509,0,39
20190801T12Z,161,504,0,36
20190801T11Z,166,507,0,37
20190801T10Z,186,511,0,37
20190801T09Z,198,509,0,35
20190801T08Z,229,507,0,39
20190801T07Z,792,507,0,37
20190801T06Z,784,502,0,37
20190801T05Z,788,498,0,38
20190801T04Z,762,498,0,39
20190801T03Z,773,498,3,36
20190801T02Z,830,496,36,38
20190801T01Z,865,499,85,38
20190801T00Z,848,495,108,37
20190731T23Z,851,495,118,39
20190731T22Z,839,490,128,35
20190731T21Z,823,495,127,36
20190731T20Z,835,485,128,40
20190731T19Z,826,487,122,35
20190731T18Z,787,485,100,37
20190731T17Z,773,485,90,38
20190731T16Z,736,482,55,37
20190731T15Z,714,488,25,36
20190731T14Z,704,495,3,37
20190731T13Z,732,497,0,39
20190731T12Z,722,491,0,39
20190731T11Z,727,493,0,37
20190731T10Z,732,499,0,38
20190731T09Z,718,497,0,36
20190731T08Z,710,496,0,38
20190731T07Z,174,500,0,37
20190731T06Z,228,495,0,37
20190731T05Z,239,494,0,38
20190731T04Z,226,494,0,36
20190731T03Z,208,490,1,36
20190731T02Z,224,488,11,35
20190731T01Z,214,482,38,35
20190731T00Z,214,480,64,36
20190730T23Z,187,490,70,35
20190730T22Z,186,487,91,37
20190730T21Z,161,483,91,37
20190730T20Z,158,491,108,36
20190730T19Z,154,494,111,36
20190730T18Z,155,489,109,38
20190730T17Z,155,483,100,39
20190730T16Z,153,477,89,37
20190730T15Z,167,466,56,36
20190730T14Z,196,476,11,39
20190730T13Z,201,473,0,38
20190730T12Z,178,473,0,37
20190730T11Z,182,471,0,38
20190730T10Z,186,474,0,34
20190730T09Z,223,470,0,39
20190730T08Z,248,471,0,35
20190730T07Z,237,462,0,37
20190730T06Z,269,398,0,37
20190730T05Z,270,313,0,36
20190730T04Z,265,312,0,34
20190730T03Z,256,337,3,34
20190730T02Z,281,413,31,31
20190730T01Z,251,471,72,31
20190730T00Z,251,466,93,28
20190729T23Z,215,470,117,28
20190729T22Z,163,469,124,28
20190729T21Z,158,470,123,28
20190729T20Z,158,471,128,29
20190729T19Z,162,460,125,28
20190729T18Z,178,461,125,31
20190729T17Z,184,457,112,30
20190729T16Z,170,465,101,31
20190729T15Z,145,471,61,29
20190729T14Z,156,472,10,29
20190729T13Z,175,468,0,31
20190729T12Z,180,471,0,31
20190729T11Z,181,466,0,28
20190729T10Z,182,466,0,33
20190729T09Z,183,473,0,31
20190729T08Z,218,472,0,26
20190729T07Z,228,465,0,27
20190729T06Z,261,455,0,29
20190729T05Z,280,428,0,29
20190729T04Z,313,388,0,29
20190729T03Z,311,428,4,27
20190729T02Z,311,468,33,28
20190729T01Z,289,465,76,25
20190729T00Z,253,467,97,27
20190728T23Z,226,467,112,26
20190728T22Z,208,471,113,27
20190728T21Z,161,466,121,24
20190728T20Z,147,464,124,25
20190728T19Z,149,460,122,28
20190728T18Z,163,460,122,25
20190728T17Z,175,458,113,25
20190728T16Z,182,466,89,27
20190728T15Z,168,468,53,24
20190728T14Z,188,477,6,25
20190728T13Z,184,477,0,26
20190728T12Z,169,480,0,29
20190728T11Z,171,479,0,28
20190728T10Z,176,475,0,31
20190728T09Z,183,470,0,32
20190728T08Z,165,438,0,28
20190728T07Z,210,391,0,32
20190728T06Z,268,337,0,28
20190728T05Z,281,302,0,34
20190728T04Z,296,305,0,32
20190728T03Z,293,326,5,33
20190728T02Z,311,387,36,34
20190728T01Z,296,409,85,35
20190728T00Z,278,408,106,36
20190727T23Z,222,408,113,36
20190727T22Z,202,405,116,36
20190727T21Z,165,409,120,36
20190727T20Z,163,408,114,35
20190727T19Z,156,412,114,37
20190727T18Z,161,411,113,34
20190727T17Z,158,411,109,40
20190727T16Z,151,410,94,35
20190727T15Z,163,412,53,37
20190727T14Z,169,411,13,37
20190727T13Z,173,409,0,35
20190727T12Z,178,409,0,38
20190727T11Z,178,399,0,35
20190727T10Z,181,396,0,36
20190727T09Z,197,392,0,39
20190727T08Z,251,381,0,37
20190727T07Z,240,395,0,39
20190727T06Z,270,358,0,38
20190727T05Z,281,324,0,35
20190727T04Z,304,323,0,35
20190727T03Z,326,376,4,38
20190727T02Z,299,454,34,38
20190727T01Z,324,442,86,38
20190727T00Z,274,426,104,41
20190726T23Z,247,411,118,36
20190726T22Z,250,374,121,40
20190726T21Z,208,375,124,39
20190726T20Z,201,378,125,39
20190726T19Z,169,374,127,39
20190726T18Z,161,373,123,37
20190726T17Z,166,375,115,40
20190726T16Z,177,377,99,39
20190726T15Z,173,372,61,39
20190726T14Z,188,378,8,41
20190726T13Z,176,374,0,38
20190726T12Z,174,375,0,41
20190726T11Z,180,373,0,38
20190726T10Z,184,367,0,39
20190726T09Z,197,368,0,41
20190726T08Z,204,360,0,36
20190726T07Z,230,356,0,40
20190726T06Z,247,347,0,37
20190726T05Z,275,338,0,41
20190726T04Z,294,335,0,41
20190726T03Z,281,333,5,38
20190726T02Z,296,334,13,41
20190726T01Z,336,339,25,40
20190726T00Z,329,409,52,42
20190725T23Z,287,481,77,40
20190725T22Z,271,494,105,39
20190725T21Z,220,495,123,39
20190725T20Z,160,496,126,42
20190725T19Z,158,498,107,41
20190725T18Z,147,485,115,40
20190725T17Z,151,484,108,39
20190725T16Z,149,482,94,38
20190725T15Z,154,489,52,41
20190725T14Z,158,495,9,40
20190725T13Z,152,498,0,40
20190725T12Z,163,501,0,40
20190725T11Z,161,499,0,39
20190725T10Z,165,497,0,38
20190725T09Z,170,496,0,39
20190725T08Z,192,504,0,40
20190725T07Z,206,494,0,38
20190725T06Z,208,497,0,37
20190725T05Z,229,492,0,41
20190725T04Z,216,497,0,39
20190725T03Z,209,499,0,39
20190725T02Z,218,485,18,36
20190725T01Z,234,485,33,39
20190725T00Z,224,480,39,39
20190724T23Z,174,483,69,39
20190724T22Z,180,481,92,39
20190724T21Z,159,480,116,39
20190724T20Z,183,480,99,41
20190724T19Z,175,477,113,39
20190724T18Z,186,481,112,41
20190724T17Z,185,482,105,35
20190724T16Z,159,484,75,40
20190724T15Z,196,495,44,37
20190724T14Z,174,493,13,40
20190724T13Z,172,493,0,41
20190724T12Z,164,501,0,40
20190724T11Z,152,498,0,39
20190724T10Z,157,498,0,40
20190724T09Z,157,495,0,39
20190724T08Z,188,500,0,40
20190724T07Z,197,497,0,39
20190724T06Z,196,492,0,37
20190724T05Z,193,493,0,40
20190724T04Z,198,488,0,38
20190724T03Z,165,498,1,40
20190724T02Z,158,491,17,39
20190724T01Z,214,492,27,40
20190724T00Z,248,495,47,38
20190723T23Z,220,493,99,39
20190723T22Z,200,484,119,36
20190723T21Z,167,489,124,39
20190723T20Z,173,493,111,37
20190723T19Z,164,492,114,39
20190723T18Z,172,498,115,36
20190723T17Z,184,492,100,38
20190723T16Z,181,499,84,37
20190723T15Z,173,499,52,37
20190723T14Z,174,501,9,36
20190723T13Z,171,499,0,37
20190723T12Z,171,498,0,36
20190723T11Z,169,498,0,37
20190723T10Z,165,500,0,39
20190723T09Z,172,499,0,40
20190723T08Z,192,496,0,36
20190723T07Z,194,544,0,34
20190723T06Z,200,539,0,36
20190723T05Z,227,540,0,33
20190723T04Z,250,541,0,32
20190723T03Z,255,542,0,35
20190723T02Z,247,540,17,34
20190723T01Z,225,531,25,33
20190723T00Z,192,527,29,35
20190722T23Z,224,513,25,32
20190722T22Z,240,503,48,35
20190722T21Z,201,507,56,34
20190722T20Z,182,503,77,34
20190722T19Z,158,508,93,36
20190722T18Z,155,494,94,34
20190722T17Z,161,505,78,33
20190722T16Z,149,510,76,35
20190722T15Z,185,528,49,36
20190722T14Z,206,535,9,33
20190722T13Z,201,536,0,34
20190722T12Z,194,536,0,34
20190722T11Z,192,532,0,35
20190722T10Z,197,533,0,34
20190722T09Z,202,535,0,36
20190722T08Z,210,533,0,34
20190722T07Z,211,529,0,29
20190722T06Z,224,534,0,27
20190722T05Z,275,527,0,29
20190722T04Z,276,529,0,28
20190722T03Z,273,531,4,31
20190722T02Z,263,527,37,31
20190722T01Z,268,530,67,31
20190722T00Z,233,529,89,28
20190721T23Z,236,533,113,31
20190721T22Z,184,534,121,24
20190721T21Z,183,535,124,25
20190721T20Z,191,537,126,27
20190721T19Z,186,532,126,30
20190721T18Z,205,528,125,32
20190721T17Z,200,527,117,35
20190721T16Z,195,533,104,33
20190721T15Z,170,535,68,38
20190721T14Z,171,533,18,34
20190721T13Z,180,525,0,36
20190721T12Z,178,527,0,36
20190721T11Z,188,522,0,36
20190721T10Z,199,518,0,39
20190721T09Z,208,507,0,37
20190721T08Z,213,506,0,37
20190721T07Z,196,504,0,36
20190721T06Z,230,501,0,34
20190721T05Z,278,497,0,34
20190721T04Z,286,507,0,37
20190721T03Z,280,513,4,35
20190721T02Z,258,515,46,37
20190721T01Z,255,520,90,35
20190721T00Z,229,520,112,40
20190720T23Z,183,527,120,39
20190720T22Z,174,527,126,37
20190720T21Z,166,526,131,41
20190720T20Z,174,529,131,42
20190720T19Z,167,531,131,41
20190720T18Z,161,530,130,42
20190720T17Z,152,531,121,40
20190720T16Z,152,534,108,43
20190720T15Z,165,534,69,44
20190720T14Z,177,532,20,42
20190720T13Z,175,531,0,41
20190720T12Z,161,534,0,41
20190720T11Z,160,534,0,38
20190720T10Z,177,530,0,38
20190720T09Z,175,536,0,37
20190720T08Z,201,531,0,40
20190720T07Z,214,521,0,40
20190720T06Z,224,523,0,38
20190720T05Z,272,522,0,38
20190720T04Z,282,519,0,37
20190720T03Z,289,515,4,41
20190720T02Z,297,518,47,41
20190720T01Z,294,524,91,41
20190720T00Z,296,525,112,39
20190719T23Z,268,524,119,42
20190719T22Z,234,530,126,40
20190719T21Z,187,530,130,42
20190719T20Z,186,531,132,41
20190719T19Z,177,535,133,40
20190719T18Z,167,530,130,42
20190719T17Z,181,535,121,38
20190719T16Z,155,536,110,39
20190719T15Z,161,540,75,39
20190719T14Z,167,539,22,40
20190719T13Z,163,542,0,41
20190719T12Z,161,536,0,41
20190719T11Z,171,534,0,41
20190719T10Z,189,537,0,40
20190719T09Z,194,530,0,41
20190719T08Z,210,528,0,40
20190719T07Z,204,526,0,41
20190719T06Z,214,535,0,38
20190719T05Z,237,529,0,40
20190719T04Z,276,529,0,40
20190719T03Z,277,531,6,39
20190719T02Z,289,525,46,37
20190719T01Z,295,521,87,38
20190719T00Z,260,528,110,42
20190718T23Z,251,531,120,40
20190718T22Z,240,526,127,43
20190718T21Z,196,531,130,44
20190718T20Z,197,527,127,43
20190718T19Z,179,527,131,43
20190718T18Z,183,523,128,43
20190718T17Z,186,530,118,45
20190718T16Z,173,530,107,42
20190718T15Z,167,526,69,43
20190718T14Z,173,532,21,41
20190718T13Z,172,529,0,45
20190718T12Z,173,532,0,42
20190718T11Z,187,530,0,44
20190718T10Z,198,530,0,45
20190718T09Z,200,529,0,42
20190718T08Z,202,528,0,43
20190718T07Z,192,523,0,44
20190718T06Z,188,520,0,43
20190718T05Z,230,497,0,43
20190718T04Z,275,483,0,42
20190718T03Z,271,492,4,42
20190718T02Z,254,516,39,43
20190718T01Z,247,519,84,44
20190718T00Z,246,519,103,43
20190717T23Z,225,520,115,39
20190717T22Z,189,515,123,42
20190717T21Z,174,516,132,41
20190717T20Z,169,510,133,43
20190717T19Z,197,505,134,42
20190717T18Z,205,510,128,42
20190717T17Z,200,513,121,41
20190717T16Z,181,519,104,42
20190717T15Z,156,524,72,41
20190717T14Z,168,531,20,44
20190717T13Z,151,526,0,39
20190717T12Z,151,500,0,43
20190717T11Z,159,490,0,40
20190717T10Z,177,486,0,41
20190717T09Z,204,485,0,41
20190717T08Z,211,486,0,41
20190717T07Z,198,486,0,43
20190717T06Z,234,464,0,41
20190717T05Z,231,415,0,45
20190717T04Z,247,372,0,44
20190717T03Z,250,387,7,42
20190717T02Z,252,448,37,43
20190717T01Z,258,478,62,40
20190717T00Z,257,472,78,40
20190716T23Z,245,474,94,40
20190716T22Z,199,476,112,40
20190716T21Z,196,478,122,41
20190716T20Z,191,481,123,39
20190716T19Z,191,479,129,39
20190716T18Z,186,488,126,37
20190716T17Z,188,481,118,40
20190716T16Z,180,489,104,38
20190716T15Z,160,492,70,41
20190716T14Z,164,496,19,39
20190716T13Z,165,505,0,40
20190716T12Z,166,517,0,39
20190716T11Z,165,512,0,38
20190716T10Z,188,508,0,40
20190716T09Z,196,512,0,39
20190716T08Z,197,507,0,41
20190716T07Z,212,499,0,39
20190716T06Z,228,477,0,39
20190716T05Z,233,434,0,40
20190716T04Z,243,436,0,40
20190716T03Z,240,470,8,42
20190716T02Z,248,497,45,37
20190716T01Z,246,496,91,39
20190716T00Z,242,503,103,40
20190715T23Z,206,500,111,37
20190715T22Z,187,501,117,41
20190715T21Z,192,494,120,40
20190715T20Z,180,496,125,38
20190715T19Z,170,475,126,36
20190715T18Z,178,464,123,35
20190715T17Z,167,483,116,34
20190715T16Z,150,506,106,35
20190715T15Z,151,508,70,36
20190715T14Z,148,505,19,32
20190715T13Z,148,507,0,37
20190715T12Z,148,512,0,34
20190715T11Z,149,509,0,34
20190715T10Z,170,504,0,34
20190715T09Z,178,505,0,35
20190715T08Z,186,502,0,34
20190715T07Z,180,501,0,33
20190715T06Z,232,501,0,34
20190715T05Z,247,496,0,32
20190715T04Z,248,497,0,31
20190715T03Z,210,497,11,35
20190715T02Z,249,496,45,31
20190715T01Z,238,495,83,31
20190715T00Z,205,488,101,32
20190714T23Z,195,467,105,32
20190714T22Z,178,464,117,30
20190714T21Z,176,458,122,32
20190714T20Z,201,452,125,31
20190714T19Z,184,449,125,33
20190714T18Z,197,448,104,30
20190714T17Z,184,447,97,33
20190714T16Z,171,437,88,35
20190714T15Z,165,431,57,33
20190714T14Z,157,419,12,33
20190714T13Z,150,408,0,34
20190714T12Z,164,407,0,33
20190714T11Z,179,409,0,35
20190714T10Z,178,397,0,32
20190714T09Z,193,391,0,36
20190714T08Z,197,380,0,32
20190714T07Z,197,363,0,35
20190714T06Z,195,368,0,34
20190714T05Z,179,372,0,32
20190714T04Z,207,360,0,34
20190714T03Z,181,350,4,34
20190714T02Z,227,352,26,36
20190714T01Z,206,352,52,32
20190714T00Z,234,354,84,37
20190713T23Z,204,363,107,33
20190713T22Z,179,357,116,34
20190713T21Z,193,361,119,36
20190713T20Z,156,363,124,34
20190713T19Z,151,369,125,36
20190713T18Z,151,367,125,33
20190713T17Z,166,365,113,36
20190713T16Z,181,368,102,34
20190713T15Z,182,374,64,36
20190713T14Z,183,374,18,35
20190713T13Z,191,371,0,38
20190713T12Z,180,376,0,36
20190713T11Z,183,382,0,40
20190713T10Z,196,379,0,39
20190713T09Z,197,377,0,39
20190713T08Z,198,379,0,39
20190713T07Z,242,377,0,40
20190713T06Z,246,383,0,38
20190713T05Z,248,367,0,39
20190713T04Z,260,374,0,39
20190713T03Z,259,418,5,38
20190713T02Z,215,507,40,40
20190713T01Z,196,545,85,38
20190713T00Z,190,549,100,35
20190712T23Z,186,544,109,39
20190712T22Z,190,540,115,38
20190712T21Z,190,531,118,39
20190712T20Z,192,527,115,38
20190712T19Z,186,520,108,38
20190712T18Z,162,525,110,39
20190712T17Z,185,524,108,40
20190712T16Z,187,527,77,38
20190712T15Z,178,540,57,39
20190712T14Z,164,541,19,39
20190712T13Z,154,544,0,38
20190712T12Z,165,544,0,39
20190712T11Z,171,540,0,42
20190712T10Z,196,537,0,39
20190712T09Z,200,535,0,42
20190712T08Z,205,537,0,40
20190712T07Z,202,533,0,40
20190712T06Z,223,523,0,39
20190712T05Z,252,525,0,41
20190712T04Z,254,526,0,39
20190712T03Z,247,529,8,39
20190712T02Z,239,523,43,40
20190712T01Z,278,527,69,39
20190712T00Z,276,515,101,39
20190711T23Z,291,512,104,40
20190711T22Z,249,517,106,40
20190711T21Z,223,519,116,38
20190711T20Z,208,525,121,38
20190711T19Z,201,522,131,39
20190711T18Z,198,523,129,40
20190711T17Z,180,523,123,38
20190711T16Z,177,524,99,39
20190711T15Z,192,525,62,39
20190711T14Z,184,508,15,40
20190711T13Z,181,478,0,39
20190711T12Z,176,503,0,38
20190711T11Z,188,541,0,41
20190711T10Z,202,540,0,38
20190711T09Z,210,537,0,42
20190711T08Z,206,558,0,38
20190711T07Z,196,563,0,41
20190711T06Z,191,568,0,38
20190711T05Z,209,570,0,40
20190711T04Z,267,569,0,40
20190711T03Z,278,567,5,37
20190711T02Z,246,556,43,41
20190711T01Z,245,561,88,40
20190711T00Z,250,561,110,36
20190710T23Z,229,558,116,41
20190710T22Z,193,555,124,37
20190710T21Z,207,563,129,40
20190710T20Z,201,557,129,39
20190710T19Z,197,569,129,39
20190710T18Z,185,564,126,38
20190710T17Z,180,567,117,40
20190710T16Z,169,562,104,36
20190710T15Z,175,566,68,38
20190710T14Z,183,564,21,37
20190710T13Z,168,567,0,40
20190710T12Z,160,561,0,39
20190710T11Z,164,565,0,42
20190710T10Z,160,566,0,43
20190710T09Z,187,565,0,42
20190710T08Z,199,563,0,44
20190710T07Z,220,636,0,40
20190710T06Z,224,565,0,44
20190710T05Z,210,570,0,42
20190710T04Z,226,563,0,42
20190710T03Z,243,556,5,45
20190710T02Z,247,564,45,40
