,wind
20191222T20-07,14
20191222T19-07,18
20191222T18-07,2
20191222T17-07,0
20191222T16-07,0
20191222T15-07,0
20191222T14-07,0
20191222T13-07,0
20191222T12-07,0
20191222T11-07,61
20191222T10-07,100
20191222T09-07,88
20191222T08-07,75
20191222T07-07,39
20191222T06-07,31
20191222T05-07,2
20191222T04-07,74
20191222T03-07,142
20191222T02-07,85
20191222T01-07,67
20191221T23-07,70
20191221T22-07,175
20191221T21-07,162
20191221T20-07,159
20191221T19-07,50
20191221T18-07,126
20191221T17-07,112
20191221T16-07,166
20191221T15-07,110
20191221T14-07,6
20191221T13-07,5
20191221T12-07,11
20191221T11-07,13
20191221T10-07,35
20191221T09-07,40
20191221T08-07,24
20191221T07-07,18
20191221T06-07,23
20191221T05-07,24
20191221T04-07,27
20191221T03-07,31
20191221T02-07,43
20191221T01-07,133
20191220T23-07,176
20191220T22-07,191
20191220T21-07,185
20191220T20-07,169
20191220T19-07,138
20191220T18-07,83
20191220T17-07,108
20191220T16-07,100
20191220T15-07,131
20191220T14-07,181
20191220T13-07,181
20191220T12-07,194
20191220T11-07,192
20191220T10-07,193
20191220T09-07,181
20191220T08-07,161
20191220T07-07,166
20191220T06-07,157
20191220T05-07,75
20191220T04-07,33
20191220T03-07,74
20191220T02-07,112
20191220T01-07,77
20191219T23-07,15
20191219T22-07,18
20191219T21-07,32
20191219T20-07,61
20191219T19-07,86
20191219T18-07,141
20191219T17-07,188
20191219T16-07,187
20191219T15-07,190
20191219T14-07,189
20191219T13-07,177
20191219T12-07,99
20191219T11-07,88
20191219T10-07,157
20191219T09-07,136
20191219T08-07,116
20191219T07-07,101
20191219T06-07,134
20191219T05-07,157
20191219T04-07,186
20191219T03-07,166
20191219T02-07,126
20191219T01-07,33
20191218T23-07,9
20191218T22-07,3
20191218T21-07,7
20191218T20-07,16
20191218T19-07,38
20191218T18-07,76
20191218T17-07,68
20191218T16-07,81
20191218T15-07,106
20191218T14-07,151
20191218T13-07,154
20191218T12-07,177
20191218T11-07,191
20191218T10-07,190
20191218T09-07,184
20191218T08-07,175
20191218T07-07,164
20191218T06-07,173
20191218T05-07,157
20191218T04-07,175
20191218T03-07,168
20191218T02-07,178
20191218T01-07,172
20191217T23-07,189
20191217T22-07,174
20191217T21-07,142
20191217T20-07,143
20191217T19-07,187
20191217T18-07,147
20191217T17-07,147
20191217T16-07,168
20191217T15-07,142
20191217T14-07,180
20191217T13-07,191
20191217T12-07,192
20191217T11-07,186
20191217T10-07,179
20191217T09-07,191
20191217T08-07,193
20191217T07-07,193
20191217T06-07,194
20191217T05-07,193
20191217T04-07,194
20191217T03-07,192
20191217T02-07,194
20191217T01-07,194
20191216T23-07,193
20191216T22-07,190
20191216T21-07,194
20191216T20-07,194
20191216T19-07,194
20191216T18-07,193
20191216T17-07,194
20191216T16-07,194
20191216T15-07,190
20191216T14-07,191
20191216T13-07,190
20191216T12-07,189
20191216T11-07,188
20191216T10-07,172
20191216T09-07,149
20191216T08-07,172
20191216T07-07,188
20191216T06-07,191
20191216T05-07,181
20191216T04-07,176
20191216T03-07,179
20191216T02-07,181
20191216T01-07,189
20191215T23-07,163
20191215T22-07,145
20191215T21-07,140
20191215T20-07,99
20191215T19-07,48
20191215T18-07,3
20191215T17-07,0
20191215T16-07,0
20191215T15-07,0
20191215T14-07,0
20191215T13-07,0
20191215T12-07,0
20191215T11-07,0
20191215T10-07,0
20191215T09-07,16
20191215T08-07,71
20191215T07-07,77
20191215T06-07,98
20191215T05-07,100
20191215T04-07,82
20191215T03-07,94
20191215T02-07,87
20191215T01-07,55
20191214T23-07,7
20191214T22-07,2
20191214T21-07,0
20191214T20-07,0
20191214T19-07,0
20191214T18-07,0
20191214T17-07,6
20191214T16-07,34
20191214T15-07,43
20191214T14-07,45
20191214T13-07,39
20191214T12-07,25
20191214T11-07,15
20191214T10-07,12
20191214T09-07,9
20191214T08-07,0
20191214T07-07,2
20191214T06-07,0
20191214T05-07,0
20191214T04-07,0
20191214T03-07,0
20191214T02-07,0
20191214T01-07,0
20191213T23-07,0
20191213T22-07,0
20191213T21-07,0
20191213T20-07,0
20191213T19-07,0
20191213T18-07,0
20191213T17-07,0
20191213T16-07,0
20191213T15-07,1
20191213T14-07,0
20191213T13-07,0
20191213T12-07,1
20191213T11-07,0
20191213T10-07,0
20191213T09-07,0
20191213T08-07,2
20191213T07-07,6
20191213T06-07,1
20191213T05-07,0
20191213T04-07,2
20191213T03-07,21
20191213T02-07,17
20191213T01-07,16
20191212T23-07,130
20191212T22-07,187
20191212T21-07,186
20191212T20-07,191
20191212T19-07,193
20191212T18-07,163
20191212T17-07,193
20191212T16-07,192
20191212T15-07,191
20191212T14-07,142
20191212T13-07,164
20191212T12-07,137
20191212T11-07,65
20191212T10-07,32
20191212T09-07,38
20191212T08-07,20
20191212T07-07,16
20191212T06-07,48
20191212T05-07,87
20191212T04-07,14
20191212T03-07,12
20191212T02-07,10
20191212T01-07,59
20191211T23-07,53
20191211T22-07,67
20191211T21-07,104
20191211T20-07,119
20191211T19-07,167
20191211T18-07,184
20191211T17-07,187
20191211T16-07,167
20191211T15-07,115
20191211T14-07,183
20191211T13-07,130
20191211T12-07,138
20191211T11-07,124
20191211T10-07,40
20191211T09-07,15
20191211T08-07,17
20191211T07-07,28
20191211T06-07,57
20191211T05-07,72
20191211T04-07,3
20191211T03-07,0
20191211T02-07,0
20191211T01-07,9
20191210T23-07,28
20191210T22-07,15
20191210T21-07,12
20191210T20-07,3
20191210T19-07,1
20191210T18-07,1
20191210T17-07,36
20191210T16-07,36
20191210T15-07,91
20191210T14-07,187
20191210T13-07,170
20191210T12-07,151
20191210T11-07,122
20191210T10-07,111
20191210T09-07,134
20191210T08-07,146
20191210T07-07,148
20191210T06-07,146
20191210T05-07,174
20191210T04-07,140
20191210T03-07,59
20191210T02-07,14
20191210T01-07,2
20191209T23-07,0
20191209T22-07,0
20191209T21-07,0
20191209T20-07,0
20191209T19-07,5
20191209T18-07,20
20191209T17-07,3
20191209T16-07,16
20191209T15-07,31
20191209T14-07,48
20191209T13-07,33
20191209T12-07,99
20191209T11-07,181
20191209T10-07,181
20191209T09-07,168
20191209T08-07,176
20191209T07-07,178
20191209T06-07,103
20191209T05-07,61
20191209T04-07,34
20191209T03-07,9
20191209T02-07,2
20191209T01-07,4
20191208T23-07,0
20191208T22-07,3
20191208T21-07,3
20191208T20-07,7
20191208T19-07,4
20191208T18-07,1
20191208T17-07,0
20191208T16-07,0
20191208T15-07,0
20191208T14-07,7
20191208T13-07,24
20191208T12-07,68
20191208T11-07,110
20191208T10-07,112
20191208T09-07,130
20191208T08-07,159
20191208T07-07,135
20191208T06-07,91
20191208T05-07,46
20191208T04-07,21
20191208T03-07,21
20191208T02-07,12
20191208T01-07,12
20191207T23-07,45
20191207T22-07,86
20191207T21-07,105
20191207T20-07,130
20191207T19-07,98
20191207T18-07,73
20191207T17-07,50
20191207T16-07,155
20191207T15-07,179
20191207T14-07,153
20191207T13-07,165
20191207T12-07,140
20191207T11-07,160
20191207T10-07,182
20191207T09-07,131
20191207T08-07,61
20191207T07-07,13
20191207T06-07,32
20191207T05-07,33
20191207T04-07,54
20191207T03-07,77
20191207T02-07,41
20191207T01-07,74
20191206T23-07,111
20191206T22-07,53
20191206T21-07,123
20191206T20-07,110
20191206T19-07,47
20191206T18-07,38
20191206T17-07,57
20191206T16-07,26
20191206T15-07,18
20191206T14-07,34
20191206T13-07,109
20191206T12-07,55
20191206T11-07,79
20191206T10-07,64
20191206T09-07,59
20191206T08-07,92
20191206T07-07,103
20191206T06-07,101
20191206T05-07,85
20191206T04-07,55
20191206T03-07,17
20191206T02-07,2
20191206T01-07,0
20191205T23-07,0
20191205T22-07,0
20191205T21-07,0
20191205T20-07,0
20191205T19-07,1
20191205T18-07,14
20191205T17-07,26
20191205T16-07,10
20191205T15-07,7
20191205T14-07,8
20191205T13-07,12
20191205T12-07,5
20191205T11-07,0
20191205T10-07,0
20191205T09-07,0
20191205T08-07,0
20191205T07-07,0
20191205T06-07,0
20191205T05-07,0
20191205T04-07,0
20191205T03-07,11
20191205T02-07,9
20191205T01-07,22
20191204T23-07,162
20191204T22-07,168
20191204T21-07,174
