,coal,natural gas,petroleum,solar,hydro,wind
20191114T00-07,1780,80,60,0,409,46
20191113T23-07,1783,86,60,0,414,24
20191113T22-07,1775,125,59,0,411,29
20191113T21-07,1786,130,60,0,416,18
20191113T20-07,1836,133,60,0,411,26
20191113T19-07,1892,74,60,0,415,70
20191113T18-07,1944,28,59,0,412,112
20191113T17-07,2042,27,59,0,419,103
20191113T16-07,2048,13,59,2,412,120
20191113T15-07,2043,39,59,6,419,129
20191113T14-07,2036,119,59,6,417,134
20191113T13-07,2035,68,59,6,418,175
20191113T12-07,2041,13,58,7,418,240
20191113T11-07,2037,13,59,7,416,249
20191113T10-07,1970,13,58,5,419,230
20191113T09-07,2016,34,58,1,413,135
20191113T08-07,2046,67,58,0,420,74
20191113T07-07,2032,81,59,0,414,76
20191113T06-07,2032,77,60,0,410,91
20191113T05-07,2024,37,60,0,414,115
20191113T04-07,1990,31,60,0,409,119
20191113T03-07,1958,30,60,0,410,148
20191113T02-07,1955,20,61,0,412,193
20191113T01-07,2041,13,61,0,411,210
20191113T00-07,2041,16,61,0,407,256
20191112T23-07,2042,29,61,0,412,257
20191112T22-07,2021,31,61,0,413,241
20191112T21-07,2013,42,61,0,413,326
20191112T20-07,2025,64,60,0,407,282
20191112T19-07,2002,62,59,0,406,252
20191112T18-07,2002,63,58,0,406,259
20191112T17-07,2001,65,57,0,407,229
20191112T16-07,2013,83,53,0,407,154
20191112T15-07,2014,83,54,1,409,160
20191112T14-07,2012,80,54,3,405,214
20191112T13-07,2027,58,54,4,409,279
20191112T12-07,2025,73,54,5,410,308
20191112T11-07,2028,75,54,3,406,283
20191112T10-07,2033,36,55,3,412,309
20191112T09-07,2033,18,55,2,411,332
20191112T08-07,2031,13,57,0,413,329
20191112T07-07,2035,12,58,0,408,342
20191112T06-07,2018,14,58,0,408,335
20191112T05-07,2020,15,59,0,409,332
20191112T04-07,2016,12,59,0,408,323
20191112T03-07,2024,13,59,0,409,328
20191112T02-07,2019,13,59,0,412,325
20191112T01-07,2000,13,59,0,406,327
20191112T00-07,2038,17,58,0,412,331
20191111T23-07,2044,13,59,0,412,334
20191111T22-07,1973,18,61,0,411,329
20191111T21-07,2038,13,59,0,410,317
20191111T20-07,2042,13,60,0,407,304
20191111T19-07,2040,15,59,0,410,309
20191111T18-07,2043,28,59,0,409,288
20191111T17-07,2044,26,57,0,408,290
20191111T16-07,2045,13,58,4,409,264
20191111T15-07,2049,12,58,8,405,250
20191111T14-07,2040,19,59,7,408,193
20191111T13-07,2042,60,59,6,409,131
20191111T12-07,2039,65,58,4,407,109
20191111T11-07,2042,65,60,3,410,99
20191111T10-07,2043,40,59,2,412,96
20191111T09-07,2040,14,59,0,413,102
20191111T08-07,2039,16,60,0,417,91
20191111T07-07,2035,16,60,0,411,68
20191111T06-07,2026,16,59,0,406,45
20191111T05-07,2030,16,59,0,404,25
20191111T04-07,2035,18,60,0,402,12
20191111T03-07,2008,31,60,0,407,6
20191111T02-07,2008,31,60,0,406,7
20191111T01-07,2030,45,60,0,402,-2
20191111T00-07,2030,69,60,0,405,2
20191110T23-07,2033,70,61,0,416,17
20191110T22-07,2026,88,59,0,415,23
20191110T21-07,2026,111,58,0,420,33
20191110T20-07,2024,117,60,0,419,55
20191110T19-07,2006,119,60,0,419,55
20191110T18-07,2004,67,59,0,418,79
20191110T17-07,2002,15,60,0,417,111
20191110T16-07,1981,13,60,0,418,89
20191110T15-07,1970,12,60,2,418,76
20191110T14-07,1960,14,59,3,418,80
20191110T13-07,1962,44,60,4,416,46
20191110T12-07,1960,89,60,3,414,55
20191110T11-07,1964,80,59,1,415,78
20191110T10-07,1959,31,60,0,415,132
20191110T09-07,1825,30,60,0,413,151
20191110T08-07,1959,17,59,0,414,150
20191110T07-07,2035,12,61,0,410,147
20191110T06-07,2043,13,61,0,410,140
20191110T05-07,2033,12,60,0,409,109
20191110T04-07,2035,13,59,0,409,45
20191110T03-07,2035,13,60,0,411,22
20191110T02-07,2042,12,60,0,409,15
20191110T01-07,2038,20,59,0,410,7
20191110T00-07,2039,66,60,0,411,9
20191109T23-07,2038,76,59,0,415,36
20191109T22-07,2045,43,59,0,417,91
20191109T21-07,2037,26,60,0,417,157
20191109T20-07,2040,22,60,0,415,178
20191109T19-07,1944,105,60,0,417,204
20191109T18-07,1939,130,59,0,418,176
20191109T17-07,1943,87,60,0,418,162
20191109T16-07,1939,68,59,0,416,154
20191109T15-07,1938,40,59,1,418,210
20191109T14-07,1947,31,59,4,416,252
20191109T13-07,1940,11,59,6,421,317
20191109T12-07,1940,10,58,5,417,332
20191109T11-07,1943,30,59,6,416,281
20191109T10-07,1942,26,59,4,420,276
20191109T09-07,1942,10,60,0,418,290
20191109T08-07,1946,12,60,0,421,265
20191109T07-07,2031,16,61,0,411,279
20191109T06-07,2041,9,60,0,417,276
20191109T05-07,2016,10,60,0,411,316
20191109T04-07,1990,10,59,0,400,315
20191109T03-07,1989,24,59,0,414,299
20191109T02-07,1989,23,60,0,411,285
20191109T01-07,1991,32,60,0,409,307
20191109T00-07,1996,30,59,0,412,300
20191108T23-07,2007,14,60,0,416,340
20191108T22-07,2041,28,58,0,411,302
20191108T21-07,2033,10,60,0,415,316
20191108T20-07,2031,9,60,0,414,334
20191108T19-07,2033,9,61,0,416,344
20191108T18-07,2025,8,59,0,414,348
20191108T17-07,1935,9,59,0,415,358
20191108T16-07,1915,9,58,3,416,337
20191108T15-07,1958,8,56,6,411,339
20191108T14-07,1963,8,56,5,417,344
20191108T13-07,1959,9,56,8,414,351
20191108T12-07,1961,9,58,5,417,345
20191108T11-07,1959,29,58,7,415,343
20191108T10-07,1965,52,57,4,415,336
20191108T09-07,1975,61,58,2,414,348
20191108T08-07,2048,64,58,0,413,352
20191108T07-07,2042,72,58,0,411,351
20191108T06-07,2051,43,58,0,411,354
20191108T05-07,2046,31,58,0,408,356
20191108T04-07,2046,31,58,0,411,344
20191108T03-07,2045,27,59,0,411,347
20191108T02-07,2048,26,58,0,408,340
20191108T01-07,2047,20,58,0,407,340
20191108T00-07,2044,25,57,0,412,336
20191107T23-07,2046,12,55,0,413,330
20191107T22-07,2045,12,56,0,417,336
20191107T21-07,2048,11,58,0,414,333
20191107T20-07,2044,12,57,0,416,323
20191107T19-07,2041,12,58,0,415,299
20191107T18-07,2028,12,58,0,416,325
20191107T17-07,1971,10,57,0,418,307
20191107T16-07,2023,10,56,4,419,286
20191107T15-07,2023,13,54,9,419,263
20191107T14-07,2020,21,54,9,420,243
20191107T13-07,1955,13,57,10,417,230
20191107T12-07,2029,26,55,7,417,185
20191107T11-07,2020,63,55,5,415,147
20191107T10-07,2024,62,56,3,415,124
20191107T09-07,2026,65,57,1,417,111
20191107T08-07,2027,83,57,0,418,135
20191107T07-07,2034,71,57,0,410,140
20191107T06-07,2048,63,57,0,412,158
20191107T05-07,2050,59,57,0,410,165
20191107T04-07,2051,59,56,0,411,144
20191107T03-07,2046,63,56,0,412,95
20191107T02-07,2050,60,57,0,412,78
20191107T01-07,2043,66,58,0,409,46
20191107T00-07,2038,77,58,0,407,34
20191106T23-07,2046,66,58,0,417,24
20191106T22-07,2050,67,58,0,418,12
20191106T21-07,2057,131,58,0,418,10
20191106T20-07,2045,140,58,0,418,10
20191106T19-07,2037,145,59,0,420,5
20191106T18-07,2043,123,60,0,406,2
20191106T17-07,2039,70,60,0,403,1
20191106T16-07,2044,52,60,4,405,1
20191106T15-07,2052,47,60,6,401,-1
20191106T14-07,2041,65,60,5,401,-1
20191106T13-07,2033,75,59,4,415,-1
20191106T12-07,2000,67,60,2,413,-3
20191106T11-07,1998,93,59,1,412,0
20191106T10-07,1999,117,59,0,414,1
20191106T09-07,2000,86,58,0,410,1
20191106T08-07,1999,83,59,0,412,8
20191106T07-07,2033,84,60,0,407,29
20191106T06-07,2038,79,60,0,410,57
20191106T05-07,2045,41,58,0,405,64
20191106T04-07,2043,31,59,0,406,60
20191106T03-07,2041,31,59,0,411,59
20191106T02-07,2036,50,59,0,405,79
20191106T01-07,1982,84,60,0,404,96
20191106T00-07,2031,64,61,0,408,101
20191105T23-07,2030,79,60,0,412,98
20191105T22-07,2037,83,59,0,411,75
20191105T21-07,2044,83,59,0,412,116
20191105T20-07,2042,69,60,0,414,160
20191105T19-07,2032,31,60,0,415,217
20191105T18-07,1970,20,60,0,418,271
20191105T17-07,1963,30,60,0,417,246
20191105T16-07,1966,20,59,3,415,259
20191105T15-07,1952,12,59,7,412,301
20191105T14-07,1954,13,59,7,417,289
20191105T13-07,1962,22,59,6,413,265
20191105T12-07,1931,19,59,7,416,251
20191105T11-07,1958,12,59,5,418,289
20191105T10-07,1946,13,60,5,421,273
20191105T09-07,1948,19,60,2,410,278
20191105T08-07,2004,65,60,0,413,261
20191105T07-07,2026,67,61,0,412,279
20191105T06-07,2017,22,61,0,411,295
20191105T05-07,1873,14,60,0,405,306
20191105T04-07,1871,17,60,0,409,319
20191105T03-07,1864,14,60,0,408,317
20191105T02-07,1887,12,61,0,411,298
20191105T01-07,2031,13,61,0,412,255
20191105T00-07,1951,21,60,0,411,188
20191104T23-07,2025,21,60,0,415,131
20191104T22-07,2043,111,60,0,418,72
20191104T21-07,2039,119,61,0,417,59
20191104T20-07,2048,119,61,0,414,52
20191104T19-07,2042,120,60,0,419,27
20191104T18-07,2040,121,60,0,419,17
20191104T17-07,2040,68,59,0,415,14
20191104T16-07,2037,51,59,0,419,11
20191104T15-07,2042,54,58,0,415,13
20191104T14-07,2043,61,60,3,413,6
20191104T13-07,2041,79,59,3,416,5
20191104T12-07,2042,118,59,3,416,7
20191104T11-07,2036,157,58,0,410,5
20191104T10-07,2037,129,59,0,415,7
20191104T09-07,2040,115,59,0,414,6
20191104T08-07,2042,147,59,0,424,4
20191104T07-07,2046,166,59,0,421,4
20191104T06-07,2049,80,60,0,414,1
20191104T05-07,2019,34,60,0,416,19
20191104T04-07,2011,22,60,0,417,28
20191104T03-07,2020,18,60,0,414,46
20191104T02-07,1970,31,60,0,417,52
20191104T01-07,2044,23,60,0,419,83
20191104T00-07,1977,30,59,0,416,124
20191103T23-07,1978,63,59,0,420,114
20191103T22-07,2039,65,59,0,420,129
20191103T21-07,2042,92,59,0,419,140
20191103T20-07,2049,95,60,0,421,129
20191103T19-07,2044,94,59,0,421,156
20191103T18-07,2041,94,57,0,418,173
20191103T17-07,2040,78,57,0,418,134
20191103T16-07,2041,76,56,0,422,143
20191103T15-07,2008,78,57,0,419,149
20191103T14-07,2004,65,58,2,420,170
20191103T13-07,2005,65,58,4,417,151
20191103T12-07,2027,73,58,6,419,125
20191103T11-07,2020,78,58,4,418,90
20191103T10-07,2042,57,57,0,417,124
20191103T09-07,2045,55,59,0,414,147
20191103T08-07,2024,69,60,0,418,187
20191103T07-07,2033,59,61,0,414,199
20191103T06-07,2033,65,60,0,409,226
20191103T05-07,2039,68,60,0,408,194
20191103T04-07,2046,78,60,0,408,214
20191103T03-07,2028,74,61,0,410,250
20191103T02-07,2002,47,59,0,363,278
20191103T01-07,2002,60,59,0,448,278
20191103T01-06,2037,52,59,0,408,243
20191103T00-06,0,0,0,0,0,0
20191102T23-06,0,0,0,0,0,0
20191102T22-06,0,0,0,0,0,0
20191102T21-06,0,0,0,0,0,0
20191102T20-06,0,0,0,0,0,0
20191102T19-06,0,0,0,0,0,0
20191102T18-06,0,0,0,0,0,0
20191102T17-06,0,0,0,0,0,0
20191102T16-06,0,0,0,0,0,0
20191102T15-06,0,0,0,0,0,0
20191102T14-06,0,0,0,0,0,0
20191102T13-06,0,0,0,0,0,0
20191102T12-06,0,0,0,0,0,0
20191102T11-06,0,0,0,0,0,0
20191102T10-06,0,0,0,0,0,0
20191102T09-06,0,0,0,0,0,0
20191102T08-06,0,0,0,0,0,0
20191102T07-06,0,0,0,0,0,0
20191102T06-06,0,0,0,0,0,0
20191102T05-06,0,0,0,0,0,0
20191102T04-06,0,0,0,0,0,0
20191102T03-06,0,0,0,0,0,0
20191102T02-06,0,0,0,0,0,0
20191102T01-06,0,0,0,0,0,0
20191102T00-06,2071,27,60,0,415,322
20191101T23-06,2067,12,58,0,421,321
20191101T22-06,2110,12,59,0,418,315
20191101T21-06,2081,12,59,0,414,280
20191101T20-06,2090,35,60,0,415,291
20191101T19-06,2069,24,59,0,413,254
20191101T18-06,2061,12,58,0,413,299
20191101T17-06,2052,12,58,6,414,291
20191101T16-06,2109,44,58,9,411,248
20191101T15-06,2122,93,57,10,409,190
20191101T14-06,2118,96,58,11,411,125
20191101T13-06,2116,94,58,10,406,138
20191101T12-06,2127,92,58,9,405,163
20191101T11-06,2116,98,57,8,406,142
20191101T10-06,2109,95,57,3,404,143
20191101T09-06,2118,90,59,0,403,150
20191101T08-06,2103,102,59,0,402,152
20191101T07-06,2107,101,60,0,393,146
20191101T06-06,2111,31,60,0,398,171
20191101T05-06,2113,22,59,0,392,239
20191101T04-06,2111,30,59,0,393,222
20191101T03-06,2102,21,59,0,388,232
20191101T02-06,2071,25,59,0,394,217
20191101T01-06,2083,13,59,0,391,200
20191101T00-06,2109,22,58,0,392,129
20191031T23-06,2081,25,58,0,396,153
20191031T22-06,2080,30,57,0,394,166
20191031T21-06,2073,30,56,0,396,154
20191031T20-06,2082,12,57,0,397,186
20191031T19-06,2039,12,57,0,396,198
20191031T18-06,2037,15,58,0,394,216
20191031T17-06,1992,33,58,0,399,238
20191031T16-06,1988,31,58,4,398,246
20191031T15-06,1986,29,59,6,390,303
20191031T14-06,1985,29,60,6,401,336
20191031T13-06,1970,30,59,6,402,322
20191031T12-06,1976,31,59,5,399,342
20191031T11-06,1969,33,58,1,400,345
20191031T10-06,1947,32,60,1,401,324
20191031T09-06,1968,42,58,0,396,319
20191031T08-06,1958,31,59,0,399,330
20191031T07-06,1960,16,60,0,399,331
20191031T06-06,1959,19,60,0,395,312
20191031T05-06,1960,12,60,0,392,311
20191031T04-06,1952,17,59,0,393,326
20191031T03-06,2018,31,60,0,391,312
20191031T02-06,2030,28,58,0,389,312
20191031T01-06,1905,20,58,0,389,328
20191031T00-06,2068,13,57,0,387,321
20191030T23-06,2072,12,58,0,391,332
20191030T22-06,2079,14,57,0,392,336
20191030T21-06,2031,25,58,0,387,333
20191030T20-06,2062,17,59,0,383,338
20191030T19-06,2092,13,60,0,385,337
20191030T18-06,2048,14,59,0,388,329
20191030T17-06,2007,31,59,7,389,325
20191030T16-06,2030,17,60,8,384,333
20191030T15-06,2065,12,58,11,386,319
20191030T14-06,2008,14,59,11,388,313
20191030T13-06,2066,12,59,11,384,304
20191030T12-06,2061,13,59,10,382,307
20191030T11-06,2066,15,61,8,387,311
20191030T10-06,2017,15,60,5,384,316
20191030T09-06,2072,17,60,0,388,323
20191030T08-06,2070,17,59,0,387,323
20191030T07-06,2062,19,59,0,382,313
20191030T06-06,2066,16,59,0,383,318
20191030T05-06,2064,17,59,0,380,323
20191030T04-06,2062,17,59,0,381,329
20191030T03-06,1993,30,58,0,381,329
20191030T02-06,1986,31,61,0,378,316
20191030T01-06,2037,30,60,0,381,296
20191030T00-06,2040,16,59,0,379,283
20191029T23-06,2051,16,58,0,388,282
20191029T22-06,1977,37,58,0,386,263
20191029T21-06,1870,71,58,0,385,229
20191029T20-06,1915,89,59,0,388,202
20191029T19-06,2073,33,61,0,387,164
20191029T18-06,2054,13,60,0,392,165
20191029T17-06,2050,14,60,7,387,168
20191029T16-06,2056,13,59,8,391,168
20191029T15-06,2053,13,60,10,388,171
20191029T14-06,2036,14,59,11,387,170
20191029T13-06,2055,13,60,11,384,141
20191029T12-06,2055,20,61,7,396,129
20191029T11-06,2047,15,60,5,396,152
20191029T10-06,2042,15,59,2,396,144
20191029T09-06,2059,34,59,0,395,177
20191029T08-06,2056,67,60,0,397,192
20191029T07-06,2058,42,60,0,395,201
20191029T06-06,2015,17,61,0,392,213
20191029T05-06,1975,16,59,0,393,205
20191029T04-06,1961,28,59,0,389,176
20191029T03-06,1933,31,60,0,387,169
20191029T02-06,1802,31,60,0,389,213
20191029T01-06,1884,30,59,0,383,232
20191029T00-06,1904,27,59,0,385,220
20191028T23-06,1914,26,61,0,390,223
20191028T22-06,2038,62,58,0,390,253
20191028T21-06,2038,66,58,0,394,274
20191028T20-06,2047,70,60,0,389,269
20191028T19-06,2047,74,60,0,393,294
20191028T18-06,2046,65,59,0,396,308
20191028T17-06,2054,18,59,1,394,311
20191028T16-06,2072,13,59,4,385,305
20191028T15-06,2059,13,59,5,393,305
20191028T14-06,2055,15,60,4,393,299
20191028T13-06,2058,50,60,3,392,289
20191028T12-06,2052,60,58,3,395,293
20191028T11-06,2044,65,57,0,390,212
20191028T10-06,2055,66,58,0,395,203
20191028T09-06,1999,65,59,0,391,237
20191028T08-06,1971,73,59,0,393,235
20191028T07-06,1899,40,60,0,388,240
20191028T06-06,1858,17,59,0,388,279
20191028T05-06,1826,29,59,0,384,293
20191028T04-06,1897,30,59,0,387,279
20191028T03-06,1888,21,60,0,390,294
20191028T02-06,1800,15,59,0,387,297
20191028T01-06,1903,24,60,0,390,297
20191028T00-06,1989,15,60,0,389,301
20191027T23-06,1989,12,60,0,391,291
20191027T22-06,1989,20,58,0,389,248
20191027T21-06,1987,42,59,0,392,188
20191027T20-06,1994,58,61,0,390,187
20191027T19-06,1987,47,61,0,410,168
20191027T18-06,2009,20,60,0,372,186
20191027T17-06,2002,17,60,6,371,216
20191027T16-06,1946,12,60,6,392,263
20191027T15-06,1941,12,60,7,390,286
20191027T14-06,1942,12,59,7,393,286
20191027T13-06,1938,21,59,7,386,248
20191027T12-06,1944,20,59,4,389,228
20191027T11-06,2005,12,60,3,391,174
20191027T10-06,2013,16,59,2,391,188
20191027T09-06,1986,30,58,0,388,169
20191027T08-06,1983,20,57,0,393,201
20191027T07-06,1958,13,59,0,388,239
20191027T06-06,1964,22,59,0,387,227
20191027T05-06,1934,31,59,0,391,195
20191027T04-06,1893,31,60,0,390,231
20191027T03-06,1891,16,59,0,390,266
20191027T02-06,1906,16,59,0,381,275
20191027T01-06,1991,31,59,0,383,257
20191027T00-06,1985,30,59,0,380,292
20191026T23-06,1984,13,59,0,388,318
20191026T22-06,1983,12,59,0,388,315
20191026T21-06,1988,47,59,0,386,249
20191026T20-06,1989,70,60,0,385,232
20191026T19-06,1990,82,59,0,385,174
20191026T18-06,1993,67,59,0,384,209
20191026T17-06,1989,28,58,1,382,270
20191026T16-06,1986,13,59,3,386,302
20191026T15-06,1985,12,59,2,381,290
20191026T14-06,1987,12,58,2,383,275
20191026T13-06,1985,21,58,1,387,277
20191026T12-06,1980,30,58,1,381,275
20191026T11-06,1979,31,59,0,384,275
20191026T10-06,1977,31,58,0,384,269
20191026T09-06,1982,22,58,0,378,290
20191026T08-06,1943,30,59,0,378,293
20191026T07-06,1853,31,60,0,368,293
20191026T06-06,1823,31,60,0,369,298
20191026T05-06,1869,28,60,0,371,314
20191026T04-06,1876,24,60,0,368,303
20191026T03-06,1775,26,60,0,371,296
20191026T02-06,1928,10,58,0,374,325
20191026T01-06,1927,8,59,0,373,315
20191026T00-06,1965,9,59,0,376,301
20191025T23-06,1963,9,58,0,382,295
20191025T22-06,1957,13,58,0,387,262
20191025T21-06,1958,22,59,0,385,215
20191025T20-06,1954,32,59,0,380,249
20191025T19-06,1932,31,59,0,377,271
20191025T18-06,1961,29,57,0,385,285
20191025T17-06,1959,29,57,8,382,327
20191025T16-06,1924,30,57,8,382,317
20191025T15-06,1940,9,55,10,384,331
20191025T14-06,1986,21,52,10,383,312
20191025T13-06,2017,23,37,10,385,319
20191025T12-06,2019,11,37,10,371,315
20191025T11-06,2023,9,37,7,382,320
20191025T10-06,2024,24,35,3,383,308
20191025T09-06,2044,33,28,0,382,301
20191025T08-06,2041,10,28,0,382,309
20191025T07-06,2039,10,28,0,376,327
20191025T06-06,2040,10,25,0,375,334
20191025T05-06,2001,10,25,0,376,336
20191025T04-06,2004,11,25,0,370,341
20191025T03-06,2002,11,25,0,376,326
20191025T02-06,2000,11,25,0,369,329
20191025T01-06,1977,10,23,0,366,340
20191025T00-06,1979,14,29,0,362,345
20191024T23-06,1978,20,30,0,370,344
20191024T22-06,2000,11,28,0,359,347
20191024T21-06,2002,10,29,0,359,345
20191024T20-06,1991,14,28,0,358,339
20191024T19-06,1989,12,27,0,362,329
20191024T18-06,1998,10,26,0,360,345
20191024T17-06,2001,1,26,3,352,338
20191024T16-06,1997,0,24,8,315,351
20191024T15-06,1966,-1,26,10,323,346
20191024T14-06,1966,0,27,11,303,334
20191024T13-06,2032,10,27,11,307,307
20191024T12-06,2035,19,27,9,318,299
20191024T11-06,2025,12,26,7,319,300
20191024T10-06,1951,21,24,4,316,300
20191024T09-06,2035,12,22,0,321,298
20191024T08-06,2040,18,10,0,318,277
20191024T07-06,2040,17,7,0,313,290
20191024T06-06,1966,12,7,0,311,264
20191024T05-06,2038,11,6,0,310,243
20191024T04-06,2039,12,4,0,310,169
20191024T03-06,2041,12,1,0,315,135
20191024T02-06,2042,12,0,0,306,124
20191024T01-06,2052,50,0,0,309,95
20191024T00-06,2038,85,0,0,310,67
20191023T23-06,1998,27,0,0,313,97
20191023T22-06,2032,11,0,0,310,150
20191023T21-06,2021,46,0,0,312,156
20191023T20-06,2021,67,0,0,312,118
20191023T19-06,1988,74,0,0,306,133
20191023T18-06,1984,33,0,0,316,160
20191023T17-06,2002,31,0,2,320,170
20191023T16-06,2007,29,0,3,312,220
20191023T15-06,2031,12,0,5,317,251
20191023T14-06,2040,11,0,5,322,287
20191023T13-06,2019,10,0,5,321,258
20191023T12-06,2007,22,0,2,320,242
20191023T11-06,1938,20,0,3,324,233
20191023T10-06,1896,10,0,0,322,275
20191023T09-06,1892,11,0,0,320,280
20191023T08-06,1848,16,0,0,320,294
20191023T07-06,1771,52,0,0,312,273
20191023T06-06,1761,31,0,0,315,265
20191023T05-06,1750,11,0,0,313,293
20191023T04-06,1740,10,0,0,309,302
20191023T03-06,1689,11,0,0,314,249
20191023T02-06,1735,17,0,0,308,219
20191023T01-06,1736,29,0,0,315,215
20191023T00-06,1745,12,0,0,314,272
20191022T23-06,1739,12,0,0,322,291
20191022T22-06,1745,26,0,0,317,223
20191022T21-06,1745,17,0,0,325,246
20191022T20-06,1741,17,0,0,322,291
20191022T19-06,1635,20,0,0,321,275
20191022T18-06,1731,27,0,0,321,262
20191022T17-06,1674,21,0,1,326,270
20191022T16-06,1697,9,0,6,323,291
20191022T15-06,1714,24,0,10,328,212
20191022T14-06,1722,9,0,8,326,314
20191022T13-06,1721,21,0,5,327,285
20191022T12-06,1719,9,0,4,327,354
20191022T11-06,1722,10,0,1,325,351
20191022T10-06,1722,10,0,0,323,307
20191022T09-06,1720,10,0,0,368,327
20191022T08-06,1723,10,0,0,371,314
20191022T07-06,1720,19,0,0,367,284
20191022T06-06,1706,31,0,0,364,271
20191022T05-06,1686,24,0,0,366,295
20191022T04-06,1650,31,0,0,366,310
20191022T03-06,1624,12,0,0,367,326
20191022T02-06,1667,11,0,0,369,336
20191022T01-06,1650,31,0,0,372,322
20191022T00-06,1690,13,0,0,370,333
20191021T23-06,1632,10,0,0,377,317
20191021T22-06,1715,10,0,0,377,294
20191021T21-06,1721,23,0,0,378,248
20191021T20-06,1720,53,0,0,375,250
20191021T19-06,1719,49,0,0,379,224
20191021T18-06,1717,19,0,0,377,266
20191021T17-06,1720,9,0,2,376,294
20191021T16-06,1725,16,0,4,377,261
20191021T15-06,1722,12,0,5,378,235
20191021T14-06,1718,20,0,9,375,234
20191021T13-06,1718,11,0,11,376,186
20191021T12-06,1713,10,0,7,378,217
20191021T11-06,1718,11,0,5,380,169
20191021T10-06,1720,11,0,3,382,128
20191021T09-06,1720,11,0,0,382,150
20191021T08-06,1725,26,0,0,384,145
20191021T07-06,1731,17,0,0,380,187
20191021T06-06,1720,11,0,0,381,191
20191021T05-06,1721,12,0,0,381,133
20191021T04-06,1693,22,0,0,377,81
20191021T03-06,1586,27,0,0,382,76
20191021T02-06,1543,31,0,0,379,72
20191021T01-06,1490,31,0,0,383,73
20191021T00-06,1486,31,0,0,381,115
20191020T23-06,1479,26,0,0,387,153
20191020T22-06,1468,37,0,0,387,160
20191020T21-06,1455,58,0,0,387,169
20191020T20-06,1280,63,0,0,389,174
20191020T19-06,1264,25,0,0,387,195
20191020T18-06,1263,16,0,0,389,212
20191020T17-06,1235,26,0,3,389,187
20191020T16-06,1107,28,0,5,385,151
20191020T15-06,904,60,0,8,387,183
20191020T14-06,870,73,0,8,385,137
20191020T13-06,873,80,0,8,385,106
20191020T12-06,880,83,0,7,385,101
20191020T11-06,874,79,0,6,385,114
20191020T10-06,888,65,0,1,386,162
20191020T09-06,887,63,0,0,382,181
20191020T08-06,899,64,0,0,383,140
20191020T07-06,950,27,0,0,382,158
20191020T06-06,918,28,0,0,378,194
20191020T05-06,892,30,0,0,374,203
20191020T04-06,892,31,0,0,378,217
20191020T03-06,870,22,0,0,378,210
20191020T02-06,734,11,0,0,383,218
20191020T01-06,734,20,0,0,384,188
20191020T00-06,721,17,0,0,382,140
20191019T23-06,514,11,0,0,394,137
20191019T22-06,468,45,0,0,389,72
20191019T21-06,336,63,0,0,393,58
20191019T20-06,288,83,0,0,386,30
20191019T19-06,283,72,0,0,390,67
20191019T18-06,290,64,0,0,392,93
20191019T17-06,284,72,0,0,391,70
20191019T16-06,285,79,0,2,394,62
20191019T15-06,287,76,0,3,390,61
20191019T14-06,287,76,0,8,397,109
20191019T13-06,290,82,0,9,392,122
20191019T12-06,284,59,0,9,397,225
20191019T11-06,292,69,0,7,395,187
20191019T10-06,295,33,0,6,395,181
20191019T09-06,297,15,0,0,393,285
20191019T08-06,292,11,0,0,397,322
20191019T07-06,291,26,0,0,387,306
20191019T06-06,291,22,0,0,389,318
20191019T05-06,288,23,0,0,386,313
20191019T04-06,290,14,0,0,388,311
20191019T03-06,287,27,0,0,385,335
20191019T02-06,288,31,0,0,385,331
20191019T01-06,289,30,0,0,386,333
20191019T00-06,289,31,0,0,387,346
20191018T23-06,290,12,0,0,392,342
20191018T22-06,290,32,0,0,395,346
20191018T21-06,284,53,0,0,393,351
20191018T20-06,255,62,0,0,393,344
20191018T19-06,163,58,0,0,396,350
20191018T18-06,131,63,0,1,399,344
20191018T17-06,66,75,0,7,394,353
20191018T16-06,38,69,0,9,397,335
20191018T15-06,51,75,0,10,398,342
20191018T14-06,72,63,0,11,397,346
20191018T13-06,68,64,0,9,399,351
20191018T12-06,68,62,0,11,399,351
20191018T11-06,50,50,0,6,399,354
20191018T10-06,37,12,0,4,399,333
20191018T09-06,39,18,0,0,400,314
20191018T08-06,39,17,0,0,401,308
20191018T07-06,39,10,0,0,397,357
20191018T06-06,39,11,0,0,399,346
20191018T05-06,39,24,0,0,398,354
20191018T04-06,39,22,0,0,398,322
20191018T03-06,43,24,0,0,400,335
20191018T02-06,68,26,0,0,403,316
20191018T01-06,97,18,0,0,404,337
20191018T00-06,111,31,-3,0,407,333
20191017T23-06,123,23,-3,0,411,294
20191017T22-06,144,11,-3,0,411,331
20191017T21-06,143,16,-3,0,414,293
20191017T20-06,143,31,-3,0,404,205
20191017T19-06,144,17,-3,0,397,288
20191017T18-06,143,28,-3,1,403,273
20191017T17-06,133,28,-3,3,399,276
20191017T16-06,143,11,-3,2,396,270
20191017T15-06,143,9,-3,5,393,243
20191017T14-06,143,16,-3,6,392,117
20191017T13-06,143,49,-3,6,399,56
20191017T12-06,143,136,-3,6,395,22
20191017T11-06,144,156,-3,5,396,19
20191017T10-06,143,141,-3,3,396,27
20191017T09-06,144,133,-3,0,397,49
20191017T08-06,138,108,-3,0,396,57
20191017T07-06,113,76,-3,0,395,54
20191017T06-06,112,66,-3,0,402,47
20191017T05-06,112,75,-3,0,398,45
