,coal,natural gas,petroleum,other,solar
20191106T04Z,656,1686,0,650,0
20191106T03Z,730,1851,0,654,0
20191106T02Z,738,1941,0,659,0
20191106T01Z,738,2002,0,657,0
20191106T00Z,740,1946,0,661,0
20191105T23Z,813,1908,0,662,0
20191105T22Z,851,1837,0,655,28
20191105T21Z,818,1770,0,661,118
20191105T20Z,779,1790,0,658,170
20191105T19Z,809,1755,0,652,204
20191105T18Z,853,1852,0,653,256
20191105T17Z,817,1867,0,658,254
20191105T16Z,671,1810,0,661,282
20191105T15Z,573,1676,0,662,303
20191105T14Z,595,1465,0,622,251
20191105T13Z,609,1462,0,615,85
20191105T12Z,621,1420,0,611,0
20191105T11Z,636,1221,0,506,0
20191105T10Z,647,1087,0,472,0
20191105T09Z,648,1074,0,467,0
20191105T08Z,648,1110,0,464,0
20191105T07Z,648,1184,0,498,0
20191105T06Z,648,1266,0,592,0
20191105T05Z,648,1424,0,611,0
20191105T04Z,648,1628,0,611,0
20191105T03Z,648,1840,0,664,0
20191105T02Z,718,1971,0,669,0
20191105T01Z,779,2071,0,668,0
20191105T00Z,852,2135,0,664,0
20191104T23Z,851,2092,0,666,2
20191104T22Z,850,2080,0,664,41
20191104T21Z,849,2039,0,663,109
20191104T20Z,849,1956,0,661,171
20191104T19Z,800,1901,0,661,204
20191104T18Z,861,1699,0,658,212
20191104T17Z,852,1616,0,653,167
20191104T16Z,761,1470,0,608,204
20191104T15Z,653,1364,0,606,205
20191104T14Z,622,1347,0,601,116
20191104T13Z,603,1368,0,603,28
20191104T12Z,639,1213,0,606,0
20191104T11Z,556,1092,0,553,0
20191104T10Z,525,1010,0,501,0
20191104T09Z,533,953,0,498,0
20191104T08Z,521,967,0,543,0
20191104T07Z,516,1022,0,602,0
20191104T06Z,515,1130,0,604,0
20191104T03Z,524,1268,0,605,0
20191104T02Z,545,1439,0,606,0
20191104T01Z,636,1427,0,665,0
20191104T00Z,664,1690,0,660,0
20191103T23Z,617,1827,0,664,0
20191103T22Z,615,1962,0,664,0
20191103T21Z,615,1922,0,661,1
20191103T20Z,615,1857,0,659,20
20191103T19Z,609,1848,0,660,62
20191103T18Z,533,1877,0,659,123
20191103T17Z,530,1725,0,659,190
20191103T16Z,530,1617,0,658,225
20191103T15Z,529,1431,0,662,269
20191103T14Z,508,1264,0,611,310
20191103T13Z,505,1180,0,489,262
20191103T12Z,502,1058,0,349,230
20191103T11Z,505,1022,0,310,85
20191103T10Z,509,1013,0,265,1
20191103T09Z,544,941,0,263,0
20191103T08Z,606,877,0,263,0
20191103T07Z,628,887,0,263,0
20191103T06Z,639,914,0,262,0
20191103T05Z,645,1012,0,265,0
20191103T04Z,645,1329,0,266,0
20191103T03Z,645,1494,0,337,0
20191103T02Z,645,1619,0,348,0
20191103T01Z,645,1755,0,350,0
20191103T00Z,643,1906,0,346,0
20191102T23Z,738,1894,0,344,9
20191102T22Z,763,2016,0,345,62
20191102T21Z,720,2088,0,343,153
20191102T20Z,698,2097,0,343,184
20191102T19Z,645,2072,0,343,242
20191102T18Z,645,1913,0,339,269
20191102T17Z,645,1680,0,345,283
20191102T16Z,567,1549,0,348,265
20191102T15Z,466,1593,0,343,151
20191102T14Z,479,1481,0,346,89
