,solar,hydro,wind
20191104T10Z,0,1066,-81
20191104T09Z,0,1512,84
20191104T08Z,0,165,-25
20191104T07Z,0,275,-18
20191104T06Z,0,330,-28
20191104T05Z,0,392,-32
20191104T04Z,0,448,-45
20191104T03Z,0,360,-30
20191104T02Z,0,380,-55
20191104T01Z,0,605,-36
20191104T00Z,0,672,-65
20191103T23Z,0,728,-56
20191103T22Z,0,784,-75
20191103T21Z,0,840,-48
20191103T20Z,0,672,-85
20191103T19Z,0,595,-72
20191103T18Z,0,630,-76
20191103T17Z,0,665,-80
20191103T16Z,0,220,-84
20191103T15Z,0,672,-88
20191103T14Z,0,704,-92
20191103T13Z,0,690,-48
20191103T12Z,0,720,300
20191103T11Z,0,720,156
20191103T10Z,0,720,27
20191103T09Z,0,720,-108
20191103T08Z,0,756,-108
20191103T07Z,0,786,-116
20191103T06Z,0,754,-120
20191103T05Z,0,1050,-124
20191103T04Z,0,1054,-32
20191103T03Z,0,1089,-198
20191103T02Z,0,1155,-102
20191103T01Z,0,1156,-560
20191103T00Z,0,1225,-144
20191102T23Z,0,1260,-185
20191102T22Z,0,1258,-114
20191102T21Z,0,1292,-195
20191102T20Z,0,1365,-200
20191102T19Z,0,1400,-164
20191102T18Z,0,861,-210
20191102T17Z,0,840,-172
20191102T16Z,0,860,-132
20191102T15Z,0,880,-315
20191102T14Z,0,1395,-230
20191102T13Z,0,506,-188
20191102T12Z,0,470,-240
20191102T11Z,0,480,-98
20191102T10Z,0,1274,-50
20191102T09Z,0,2150,-102
20191102T08Z,0,1581,-156
20191101T07Z,0,50,2
20191101T06Z,0,23,4
20191101T05Z,0,15,20
20191101T04Z,0,14,13
20191101T03Z,0,17,13
20191101T02Z,0,44,2
20191101T01Z,0,49,0
20191101T00Z,0,38,5
20191031T23Z,0,6,2
20191031T22Z,0,21,-1
20191031T21Z,0,33,-7
20191031T20Z,0,37,-3
20191031T19Z,0,48,-6
20191031T18Z,0,36,-5
20191031T17Z,0,32,-7
20191031T16Z,0,28,-8
20191031T15Z,0,45,-4
20191031T14Z,0,29,-7
20191031T13Z,0,30,-6
20191031T12Z,0,12,-7
20191031T11Z,0,6,-7
20191031T10Z,0,5,-4
20191031T09Z,0,11,-7
20191031T08Z,0,20,-3
20191031T07Z,0,30,-4
20191031T06Z,0,47,8
20191031T05Z,0,55,23
20191031T04Z,0,53,41
20191031T03Z,0,55,19
20191031T02Z,0,50,30
20191031T01Z,0,56,26
20191031T00Z,0,56,20
20191030T23Z,0,56,15
20191030T22Z,0,56,0
20191030T21Z,0,56,9
20191030T20Z,0,55,24
20191030T19Z,0,29,21
20191030T18Z,0,5,13
20191030T17Z,0,7,-3
20191030T16Z,0,6,-4
20191030T15Z,0,15,-4
20191030T14Z,0,10,-3
20191030T13Z,0,23,1
20191030T12Z,0,10,-1
20191030T11Z,0,20,-4
20191030T10Z,0,9,-1
20191030T09Z,0,17,-3
20191030T08Z,0,43,3
20191030T07Z,0,57,2
20191030T06Z,0,56,44
20191030T05Z,0,55,74
20191030T04Z,0,53,126
20191030T03Z,0,36,215
20191030T02Z,0,41,203
20191030T01Z,0,53,211
20191030T00Z,0,40,321
20191029T23Z,0,6,352
20191029T22Z,0,44,315
20191029T21Z,0,49,317
20191029T20Z,0,46,322
20191029T19Z,0,19,335
20191029T18Z,0,18,350
20191029T17Z,0,48,370
20191029T16Z,0,50,483
20191029T15Z,0,28,696
20191029T14Z,0,18,679
20191029T13Z,0,34,652
20191029T12Z,0,13,708
20191029T11Z,0,47,751
20191029T10Z,0,55,744
20191029T09Z,0,56,772
20191029T08Z,0,56,790
20191029T07Z,0,23,802
20191029T06Z,0,4,805
20191029T05Z,0,6,652
20191029T04Z,0,26,517
20191029T03Z,0,29,228
20191029T02Z,0,25,72
20191029T01Z,0,26,46
20191029T00Z,0,57,35
20191028T23Z,0,56,46
20191028T22Z,0,57,87
20191028T21Z,0,57,142
20191028T20Z,0,57,80
20191028T19Z,0,57,145
20191028T18Z,0,40,284
20191028T17Z,0,43,349
20191028T16Z,0,52,295
20191028T15Z,0,22,287
20191028T14Z,0,9,301
20191028T13Z,0,30,167
20191028T12Z,0,24,194
20191028T11Z,0,5,178
20191028T10Z,0,4,138
20191028T09Z,0,5,66
20191028T08Z,0,21,53
20191028T07Z,0,25,20
20191028T06Z,0,30,-3
20191028T05Z,0,9,-5
20191028T04Z,0,5,-6
20191028T03Z,0,5,-4
20191028T02Z,0,21,-5
20191028T01Z,0,34,-6
20191028T00Z,0,52,-3
20191027T23Z,0,52,-4
20191027T22Z,0,40,-1
20191027T21Z,0,40,0
20191027T20Z,0,40,11
20191027T19Z,0,40,15
20191027T18Z,0,40,21
20191027T17Z,0,49,22
20191027T16Z,0,40,89
20191027T15Z,0,39,135
20191027T14Z,0,25,179
20191027T13Z,0,34,211
20191027T12Z,0,47,256
20191027T11Z,0,49,281
20191027T10Z,0,50,298
20191027T09Z,0,50,296
20191027T08Z,0,7,365
20191027T07Z,0,46,335
