,coal,natural gas,solar,wind
20191212T00-07,352,471.0,0.0,8.0
20191211T23-07,323,556.0,0.0,5.0
20191211T22-07,352,598.0,0.0,2.0
20191211T21-07,353,656.0,0.0,2.0
20191211T20-07,367,670.0,0.0,0.0
20191211T19-07,368,675.0,0.0,1.0
20191211T18-07,367,683.0,0.0,5.0
20191211T17-07,352,587.0,4.0,5.0
20191211T16-07,317,453.0,91.0,2.0
20191211T15-07,278,386.0,136.0,3.0
20191211T14-07,297,331.0,133.0,8.0
20191211T13-07,298,391.0,95.0,11.0
20191211T12-07,299,425.0,107.0,14.0
20191211T11-07,303,390.0,112.0,7.0
20191211T10-07,362,365.0,109.0,12.0
20191211T09-07,362,529.0,46.0,20.0
20191211T08-07,363,619.0,10.0,27.0
20191211T07-07,363,644.0,0.0,28.0
20191211T06-07,362,544.0,0.0,28.0
20191211T05-07,363,457.0,0.0,28.0
20191211T04-07,363,404.0,0.0,27.0
20191211T03-07,362,376.0,0.0,28.0
20191211T02-07,362,383.0,0.0,28.0
20191211T01-07,363,395.0,0.0,24.0
20191211T00-07,363,434.0,0.0,13.0
20191210T23-07,363,493.0,0.0,5.0
20191210T22-07,352,580.0,0.0,4.0
20191210T21-07,363,622.0,0.0,5.0
20191210T20-07,363,648.0,0.0,13.0
20191210T19-07,362,657.0,0.0,30.0
20191210T18-07,362,665.0,0.0,24.0
20191210T17-07,352,576.0,7.0,14.0
20191210T16-07,334,420.0,94.0,18.0
20191210T15-07,292,364.0,145.0,12.0
20191210T14-07,293,322.0,146.0,16.0
20191210T13-07,287,309.0,141.0,19.0
20191210T12-07,308,284.0,140.0,25.0
20191210T11-07,308,307.0,143.0,25.0
20191210T10-07,307,363.0,147.0,12.0
20191210T09-07,323,453.0,117.0,3.0
20191210T08-07,357,588.0,22.0,12.0
20191210T07-07,332,661.0,0.0,10.0
20191210T06-07,338,561.0,0.0,1.0
20191210T05-07,357,473.0,0.0,0.0
20191210T04-07,357,421.0,0.0,1.0
20191210T03-07,358,406.0,0.0,4.0
20191210T02-07,358,412.0,0.0,2.0
20191210T01-07,357,434.0,0.0,-1.0
20191210T00-07,358,460.0,0.0,0.0
20191209T23-07,452,419.0,0.0,0.0
20191209T22-07,639,306.0,0.0,6.0
20191209T21-07,635,386.0,0.0,0.0
20191209T20-07,635,427.0,0.0,-1.0
20191209T19-07,635,443.0,0.0,0.0
20191209T18-07,634,456.0,0.0,4.0
20191209T17-07,634,333.0,3.0,13.0
20191209T16-07,588,284.0,35.0,13.0
20191209T15-07,635,184.0,55.0,8.0
20191209T14-07,634,214.0,45.0,31.0
20191209T13-07,634,313.0,40.0,4.0
20191209T12-07,635,334.0,47.0,1.0
20191209T11-07,635,299.0,28.0,1.0
20191209T10-07,604,228.0,103.0,4.0
20191209T09-07,574,296.0,38.0,4.0
20191209T08-07,629,289.0,4.0,16.0
20191209T07-07,629,304.0,0.0,3.0
20191209T06-07,624,162.0,0.0,46.0
20191209T05-07,624,79.0,0.0,46.0
20191209T04-07,557,91.0,0.0,58.0
20191209T03-07,555,79.0,0.0,63.0
20191209T02-07,554,129.0,0.0,27.0
20191209T01-07,574,112.0,0.0,43.0
20191209T00-07,573,174.0,0.0,12.0
20191208T23-07,575,227.0,0.0,6.0
20191208T22-07,633,242.0,0.0,6.0
20191208T21-07,634,295.0,0.0,3.0
20191208T20-07,634,329.0,0.0,4.0
20191208T19-07,634,333.0,0.0,30.0
20191208T18-07,627,333.0,0.0,27.0
20191208T17-07,614,285.0,1.0,40.0
20191208T16-07,603,238.0,18.0,34.0
20191208T15-07,604,204.0,42.0,37.0
20191208T14-07,605,190.0,37.0,37.0
20191208T13-07,604,162.0,41.0,51.0
20191208T12-07,605,180.0,46.0,40.0
20191208T11-07,638,168.0,43.0,30.0
20191208T10-07,638,211.0,23.0,11.0
20191208T09-07,639,193.0,11.0,7.0
20191208T08-07,639,178.0,1.0,10.0
20191208T07-07,639,142.0,0.0,8.0
20191208T06-07,598,155.0,0.0,0.0
20191208T05-07,574,144.0,0.0,3.0
20191208T04-07,573,114.0,0.0,14.0
20191208T03-07,574,106.0,0.0,19.0
20191208T02-07,575,134.0,0.0,7.0
20191208T01-07,609,117.0,0.0,5.0
20191208T00-07,628,133.0,0.0,5.0
20191207T23-07,629,168.0,0.0,15.0
20191207T22-07,628,241.0,0.0,6.0
20191207T21-07,629,284.0,0.0,8.0
20191207T20-07,629,301.0,0.0,12.0
20191207T19-07,629,323.0,0.0,10.0
20191207T18-07,629,336.0,0.0,20.0
20191207T17-07,629,268.0,1.0,23.0
20191207T16-07,583,267.0,12.0,21.0
20191207T15-07,584,197.0,37.0,34.0
20191207T14-07,564,119.0,115.0,11.0
20191207T13-07,564,63.0,126.0,8.0
20191207T12-07,564,79.0,101.0,2.0
20191207T11-07,564,114.0,118.0,0.0
20191207T10-07,564,171.0,107.0,0.0
20191207T09-07,623,171.0,59.0,-1.0
20191207T08-07,625,250.0,9.0,0.0
20191207T07-07,624,229.0,0.0,1.0
20191207T06-07,624,179.0,0.0,2.0
20191207T05-07,623,131.0,0.0,6.0
20191207T04-07,624,105.0,0.0,1.0
20191207T03-07,624,104.0,0.0,0.0
20191207T02-07,624,109.0,0.0,0.0
20191207T01-07,624,122.0,0.0,0.0
20191207T00-07,624,156.0,0.0,0.0
20191206T23-07,623,202.0,0.0,0.0
20191206T22-07,629,260.0,0.0,0.0
20191206T21-07,629,308.0,0.0,1.0
20191206T20-07,629,321.0,0.0,2.0
20191206T19-07,629,340.0,0.0,1.0
20191206T18-07,629,345.0,0.0,3.0
20191206T17-07,644,262.0,2.0,7.0
20191206T16-07,614,131.0,85.0,10.0
20191206T15-07,599,35.0,143.0,8.0
20191206T14-07,624,86.0,130.0,4.0
20191206T13-07,598,99.0,97.0,2.0
20191206T12-07,564,53.0,142.0,3.0
20191206T11-07,565,49.0,134.0,10.0
20191206T10-07,564,134.0,119.0,14.0
20191206T09-07,624,164.0,53.0,23.0
20191206T08-07,624,288.0,9.0,33.0
20191206T07-07,624,302.0,0.0,36.0
20191206T06-07,624,191.0,0.0,54.0
20191206T05-07,624,100.0,0.0,50.0
20191206T04-07,574,110.0,0.0,51.0
20191206T03-07,574,91.0,0.0,54.0
20191206T02-07,575,111.0,0.0,35.0
20191206T01-07,633,79.0,0.0,21.0
20191206T00-07,564,194.0,0.0,15.0
20191205T23-07,476,344.0,0.0,0.0
20191205T22-07,361,525.0,0.0,4.0
20191205T21-07,265,638.0,0.0,39.0
20191205T20-07,266,690.0,0.0,22.0
20191205T19-07,275,680.0,0.0,45.0
20191205T18-07,289,719.0,0.0,5.0
20191205T17-07,290,632.0,5.0,14.0
20191205T16-07,291,486.0,62.0,27.0
20191205T15-07,291,380.0,86.0,49.0
20191205T14-07,290,318.0,97.0,55.0
20191205T13-07,288,330.0,88.0,52.0
20191205T12-07,289,310.0,99.0,53.0
20191205T11-07,292,334.0,85.0,50.0
20191205T10-07,304,326.0,99.0,49.0
20191205T09-07,423,267.0,90.0,47.0
20191205T08-07,565,253.0,15.0,48.0
20191205T07-07,638,212.0,0.0,50.0
20191205T06-07,638,135.0,0.0,30.0
20191205T05-07,638,74.0,0.0,17.0
20191205T04-07,638,46.0,0.0,11.0
20191205T03-07,638,26.0,0.0,15.0
20191205T02-07,639,11.0,0.0,36.0
20191205T01-07,639,33.0,0.0,35.0
20191205T00-07,638,91.0,0.0,7.0
20191204T23-07,638,144.0,0.0,13.0
20191204T22-07,638,214.0,0.0,17.0
20191204T21-07,638,280.0,0.0,12.0
20191204T20-07,639,320.0,0.0,5.0
20191204T19-07,638,345.0,0.0,11.0
20191204T18-07,639,316.0,18.0,34.0
20191204T17-07,584,262.0,46.0,52.0
20191204T16-07,584,224.0,69.0,40.0
20191204T15-07,517,151.0,117.0,50.0
20191204T14-07,515,191.0,98.0,35.0
20191204T13-07,516,89.0,141.0,18.0
20191204T12-07,514,134.0,124.0,4.0
20191204T11-07,573,52.0,140.0,5.0
20191204T10-07,610,78.0,110.0,2.0
20191204T09-07,638,205.0,32.0,1.0
20191204T08-07,621,312.0,2.0,0.0
20191204T07-07,638,287.0,0.0,0.0
20191204T06-07,638,208.0,0.0,-1.0
20191204T05-07,638,129.0,0.0,1.0
20191204T04-07,638,88.0,0.0,0.0
20191204T03-07,638,81.0,0.0,0.0
20191204T02-07,639,84.0,0.0,0.0
20191204T01-07,574,159.0,0.0,-1.0
20191204T00-07,573,190.0,0.0,5.0
20191203T23-07,574,246.0,0.0,0.0
20191203T22-07,616,281.0,0.0,2.0
20191203T21-07,634,326.0,0.0,2.0
20191203T20-07,633,357.0,0.0,5.0
20191203T19-07,633,385.0,0.0,3.0
20191203T18-07,633,403.0,0.0,1.0
20191203T17-07,633,323.0,1.0,0.0
20191203T16-07,624,248.0,26.0,-1.0
20191203T15-07,613,216.0,51.0,0.0
20191203T14-07,564,219.0,73.0,0.0
20191203T13-07,540,78.0,132.0,0.0
20191203T12-07,540,63.0,133.0,2.0
20191203T11-07,563,63.0,147.0,8.0
20191203T10-07,563,100.0,116.0,9.0
20191203T09-07,638,231.0,75.0,3.0
20191203T08-07,624,330.0,33.0,6.0
20191203T07-07,599,411.0,0.0,6.0
20191203T06-07,598,320.0,0.0,7.0
20191203T05-07,573,256.0,0.0,7.0
20191203T04-07,573,200.0,0.0,7.0
20191203T03-07,582,181.0,0.0,1.0
20191203T02-07,633,126.0,0.0,0.0
20191203T01-07,632,140.0,0.0,0.0
20191203T00-07,633,161.0,0.0,-1.0
20191202T23-07,632,207.0,0.0,0.0
20191202T22-07,634,283.0,0.0,0.0
20191202T21-07,649,320.0,0.0,0.0
20191202T20-07,648,353.0,0.0,0.0
20191202T19-07,647,367.0,0.0,0.0
20191202T18-07,648,378.0,0.0,0.0
20191202T17-07,623,313.0,4.0,0.0
20191202T16-07,623,194.0,56.0,0.0
20191202T15-07,623,121.0,84.0,0.0
20191202T14-07,598,81.0,129.0,0.0
20191202T13-07,598,19.0,138.0,1.0
20191202T12-07,563,54.0,150.0,1.0
20191202T11-07,562,71.0,156.0,5.0
20191202T10-07,578,85.0,157.0,21.0
20191202T09-07,588,151.0,136.0,34.0
20191202T08-07,629,264.0,49.0,56.0
20191202T07-07,628,364.0,0.0,46.0
20191202T06-07,628,264.0,0.0,46.0
20191202T05-07,629,179.0,0.0,35.0
20191202T04-07,628,126.0,0.0,34.0
20191202T03-07,618,116.0,0.0,38.0
20191202T02-07,618,111.0,0.0,39.0
20191202T01-07,623,122.0,0.0,35.0
20191202T00-07,624,142.0,0.0,35.0
20191201T23-07,613,208.0,0.0,23.0
20191201T22-07,613,264.0,0.0,32.0
20191201T21-07,629,299.0,0.0,18.0
20191201T20-07,628,333.0,0.0,20.0
20191201T19-07,628,341.0,0.0,16.0
20191201T18-07,627,360.0,0.0,9.0
