,coal,natural gas,solar,wind
20190825T20-07,700,1015.0,0.0,56.0
20190825T19-07,700,1088.0,0.0,54.0
20190825T18-07,734,1097.0,45.0,59.0
20190825T17-07,715,1069.0,135.0,32.0
20190825T16-07,714,1009.0,169.0,17.0
20190825T15-07,595,1038.0,180.0,15.0
20190825T14-07,594,932.0,190.0,6.0
20190825T13-07,556,882.0,175.0,5.0
20190825T12-07,595,756.0,168.0,5.0
20190825T11-07,594,695.0,137.0,2.0
20190825T10-07,556,608.0,142.0,6.0
20190825T09-07,555,508.0,134.0,8.0
20190825T08-07,556,399.0,151.0,1.0
20190825T07-07,556,464.0,38.0,-1.0
20190825T06-07,555,474.0,0.0,1.0
20190825T05-07,555,469.0,0.0,9.0
20190825T04-07,556,441.0,0.0,23.0
20190825T03-07,555,475.0,0.0,35.0
20190825T02-07,557,521.0,0.0,36.0
20190825T01-07,625,498.0,0.0,50.0
20190825T00-07,639,579.0,0.0,51.0
20190824T23-07,655,694.0,0.0,24.0
20190824T22-07,595,877.0,0.0,20.0
20190824T21-07,596,961.0,0.0,36.0
20190824T20-07,576,1070.0,0.0,31.0
20190824T19-07,576,1145.0,0.0,35.0
20190824T18-07,561,1179.0,52.0,45.0
20190824T17-07,537,1180.0,121.0,19.0
20190824T16-07,548,1101.0,170.0,7.0
20190824T15-07,507,1037.0,185.0,14.0
20190824T14-07,430,1043.0,184.0,5.0
20190824T13-07,347,1033.0,187.0,4.0
20190824T12-07,341,963.0,171.0,3.0
20190824T11-07,267,915.0,182.0,3.0
20190824T10-07,272,808.0,181.0,1.0
20190824T09-07,278,741.0,155.0,0.0
20190824T08-07,278,701.0,100.0,-1.0
20190824T07-07,278,692.0,43.0,0.0
20190824T06-07,278,705.0,0.0,1.0
20190824T05-07,278,683.0,0.0,18.0
20190824T04-07,278,699.0,0.0,13.0
20190824T03-07,278,733.0,0.0,2.0
20190824T02-07,278,736.0,0.0,36.0
20190824T01-07,278,793.0,0.0,34.0
20190824T00-07,277,885.0,0.0,17.0
20190823T23-07,317,965.0,0.0,8.0
20190823T22-07,278,1136.0,0.0,12.0
20190823T21-07,308,1264.0,0.0,11.0
20190823T20-07,308,1409.0,0.0,3.0
20190823T19-07,348,1435.0,0.0,14.0
20190823T18-07,348,1462.0,56.0,32.0
20190823T17-07,348,1400.0,143.0,44.0
20190823T16-07,348,1397.0,166.0,17.0
20190823T15-07,347,1328.0,165.0,21.0
20190823T14-07,348,1237.0,183.0,4.0
20190823T13-07,347,1132.0,192.0,4.0
20190823T12-07,348,1010.0,194.0,10.0
20190823T11-07,348,908.0,193.0,6.0
20190823T10-07,312,860.0,190.0,1.0
20190823T09-07,338,788.0,151.0,0.0
20190823T08-07,338,802.0,87.0,-1.0
20190823T07-07,337,818.0,26.0,0.0
20190823T06-07,338,805.0,0.0,0.0
20190823T05-07,318,771.0,0.0,4.0
20190823T04-07,318,744.0,0.0,1.0
20190823T03-07,348,725.0,0.0,6.0
20190823T02-07,347,759.0,0.0,12.0
20190823T01-07,328,842.0,0.0,10.0
20190823T00-07,358,873.0,0.0,14.0
20190822T23-07,299,1041.0,0.0,5.0
20190822T22-07,298,1164.0,0.0,14.0
20190822T21-07,307,1304.0,0.0,7.0
20190822T20-07,298,1452.0,0.0,2.0
20190822T19-07,358,1525.0,0.0,5.0
20190822T18-07,358,1667.0,8.0,-1.0
20190822T17-07,358,1738.0,52.0,16.0
20190822T16-07,358,1746.0,55.0,17.0
20190822T15-07,358,1662.0,88.0,17.0
20190822T14-07,357,1501.0,163.0,4.0
20190822T13-07,358,1384.0,183.0,6.0
20190822T12-07,358,1265.0,182.0,2.0
20190822T11-07,358,1151.0,191.0,3.0
20190822T10-07,358,1034.0,190.0,4.0
20190822T09-07,348,940.0,182.0,1.0
20190822T08-07,348,871.0,158.0,-1.0
20190822T07-07,400,836.0,65.0,1.0
20190822T06-07,530,689.0,0.0,2.0
20190822T05-07,527,648.0,0.0,-1.0
20190822T04-07,527,627.0,0.0,-1.0
20190822T03-07,528,641.0,0.0,-1.0
20190822T02-07,527,680.0,0.0,-1.0
20190822T01-07,527,742.0,0.0,-1.0
20190822T00-07,527,820.0,0.0,9.0
20190821T23-07,655,821.0,0.0,14.0
20190821T22-07,715,940.0,0.0,13.0
20190821T21-07,714,1137.0,0.0,0.0
20190821T20-07,707,1289.0,0.0,-1.0
20190821T19-07,596,1503.0,0.0,30.0
20190821T18-07,725,1456.0,28.0,57.0
20190821T17-07,635,1559.0,83.0,42.0
20190821T16-07,701,1411.0,143.0,52.0
20190821T15-07,701,1411.0,124.0,11.0
20190821T14-07,705,1289.0,151.0,13.0
20190821T13-07,655,1227.0,155.0,2.0
20190821T12-07,575,1139.0,177.0,3.0
20190821T11-07,585,957.0,186.0,5.0
20190821T10-07,420,967.0,185.0,1.0
20190821T09-07,420,813.0,178.0,0.0
20190821T08-07,420,699.0,147.0,1.0
20190821T07-07,510,608.0,70.0,0.0
20190821T06-07,509,605.0,0.0,3.0
20190821T05-07,510,569.0,0.0,3.0
20190821T04-07,509,549.0,0.0,20.0
20190821T03-07,509,609.0,0.0,-1.0
20190821T02-07,509,652.0,0.0,10.0
20190821T01-07,509,733.0,0.0,13.0
20190821T00-07,595,742.0,0.0,18.0
20190820T23-07,645,810.0,0.0,37.0
20190820T22-07,714,963.0,0.0,14.0
20190820T21-07,647,1216.0,0.0,10.0
20190820T20-07,660,1336.0,0.0,24.0
20190820T19-07,637,1449.0,1.0,54.0
20190820T18-07,694,1499.0,59.0,19.0
20190820T17-07,645,1481.0,140.0,25.0
20190820T16-07,695,1384.0,138.0,39.0
20190820T15-07,704,1245.0,178.0,50.0
20190820T14-07,704,1180.0,184.0,0.0
20190820T13-07,632,1106.0,186.0,1.0
20190820T12-07,571,992.0,188.0,0.0
20190820T11-07,550,845.0,181.0,-1.0
20190820T10-07,486,731.0,185.0,0.0
20190820T09-07,484,593.0,179.0,-1.0
20190820T08-07,484,517.0,160.0,-1.0
20190820T07-07,500,526.0,73.0,-1.0
20190820T06-07,509,523.0,0.0,1.0
20190820T05-07,509,477.0,0.0,-1.0
20190820T04-07,509,473.0,0.0,-1.0
20190820T03-07,496,513.0,0.0,0.0
20190820T02-07,552,507.0,0.0,2.0
20190820T01-07,553,549.0,0.0,27.0
20190820T00-07,562,663.0,0.0,-1.0
20190819T23-07,724,635.0,0.0,4.0
20190819T22-07,724,812.0,0.0,6.0
20190819T21-07,725,987.0,0.0,7.0
20190819T20-07,712,1140.0,0.0,6.0
20190819T19-07,576,1389.0,0.0,9.0
20190819T18-07,578,1449.0,62.0,10.0
20190819T17-07,575,1396.0,148.0,2.0
20190819T16-07,575,1350.0,177.0,2.0
20190819T15-07,605,1282.0,148.0,1.0
20190819T14-07,531,1220.0,181.0,4.0
20190819T13-07,512,1144.0,169.0,4.0
20190819T12-07,560,953.0,177.0,4.0
20190819T11-07,524,900.0,144.0,4.0
20190819T10-07,466,805.0,177.0,4.0
20190819T09-07,467,752.0,104.0,0.0
20190819T08-07,467,665.0,95.0,0.0
20190819T07-07,466,643.0,48.0,2.0
20190819T06-07,466,642.0,0.0,2.0
20190819T05-07,467,612.0,0.0,-1.0
20190819T04-07,465,595.0,0.0,3.0
20190819T03-07,467,611.0,0.0,1.0
20190819T02-07,467,637.0,0.0,9.0
20190819T01-07,467,649.0,0.0,43.0
20190819T00-07,492,713.0,0.0,36.0
20190818T23-07,506,805.0,0.0,47.0
20190818T22-07,485,970.0,0.0,45.0
20190818T21-07,526,1089.0,0.0,38.0
20190818T20-07,537,1241.0,0.0,9.0
20190818T19-07,536,1317.0,1.0,18.0
20190818T18-07,536,1367.0,70.0,9.0
20190818T17-07,536,1299.0,140.0,22.0
20190818T16-07,472,1305.0,159.0,10.0
20190818T15-07,472,1264.0,148.0,16.0
20190818T14-07,464,1163.0,182.0,8.0
20190818T13-07,451,1100.0,174.0,2.0
20190818T12-07,518,971.0,138.0,3.0
20190818T11-07,535,849.0,143.0,1.0
20190818T10-07,466,805.0,144.0,0.0
20190818T09-07,466,668.0,149.0,0.0
20190818T08-07,467,568.0,120.0,2.0
20190818T07-07,467,497.0,65.0,2.0
20190818T06-07,466,551.0,0.0,7.0
20190818T05-07,467,544.0,0.0,23.0
20190818T04-07,467,546.0,0.0,33.0
20190818T03-07,467,592.0,0.0,13.0
20190818T02-07,467,648.0,0.0,11.0
20190818T01-07,467,704.0,0.0,16.0
20190818T00-07,511,712.0,0.0,50.0
20190817T23-07,511,818.0,0.0,55.0
20190817T22-07,534,938.0,0.0,38.0
20190817T21-07,536,1061.0,0.0,52.0
20190817T20-07,516,1209.0,0.0,34.0
20190817T19-07,516,1283.0,0.0,39.0
20190817T18-07,536,1321.0,50.0,40.0
20190817T17-07,535,1278.0,140.0,46.0
20190817T16-07,536,1239.0,164.0,34.0
20190817T15-07,478,1260.0,169.0,41.0
20190817T14-07,399,1249.0,178.0,36.0
20190817T13-07,398,1179.0,176.0,9.0
20190817T12-07,397,1069.0,186.0,10.0
20190817T11-07,398,940.0,187.0,3.0
20190817T10-07,398,821.0,186.0,0.0
20190817T09-07,399,699.0,180.0,1.0
20190817T08-07,426,569.0,160.0,0.0
20190817T07-07,466,526.0,72.0,0.0
20190817T06-07,467,569.0,0.0,2.0
20190817T05-07,476,572.0,0.0,-1.0
20190817T04-07,477,574.0,0.0,5.0
20190817T03-07,507,587.0,0.0,0.0
20190817T02-07,535,621.0,0.0,1.0
20190817T01-07,496,719.0,0.0,16.0
20190817T00-07,522,758.0,0.0,52.0
20190816T23-07,541,867.0,0.0,55.0
20190816T22-07,540,1020.0,0.0,55.0
20190816T21-07,531,1164.0,0.0,53.0
20190816T20-07,515,1305.0,0.0,16.0
20190816T19-07,522,1384.0,0.0,7.0
20190816T18-07,508,1503.0,16.0,5.0
20190816T17-07,521,1516.0,85.0,6.0
20190816T16-07,536,1430.0,129.0,8.0
20190816T15-07,536,1393.0,151.0,8.0
20190816T14-07,525,1278.0,167.0,16.0
20190816T13-07,526,1151.0,190.0,11.0
20190816T12-07,523,1042.0,192.0,1.0
20190816T11-07,480,951.0,190.0,4.0
20190816T10-07,480,828.0,188.0,7.0
20190816T09-07,448,755.0,179.0,5.0
20190816T08-07,449,673.0,162.0,4.0
20190816T07-07,454,669.0,78.0,1.0
20190816T06-07,460,649.0,0.0,7.0
20190816T05-07,515,549.0,0.0,21.0
20190816T04-07,478,573.0,0.0,17.0
20190816T03-07,478,608.0,0.0,9.0
20190816T02-07,476,639.0,0.0,1.0
20190816T01-07,535,638.0,0.0,11.0
20190816T00-07,481,787.0,0.0,17.0
20190815T23-07,474,919.0,0.0,8.0
20190815T22-07,526,1037.0,0.0,12.0
20190815T21-07,527,1189.0,0.0,38.0
20190815T20-07,704,1184.0,0.0,16.0
20190815T19-07,704,1281.0,2.0,51.0
20190815T18-07,655,1375.0,71.0,49.0
20190815T17-07,655,1328.0,144.0,48.0
20190815T16-07,653,1333.0,171.0,-1.0
20190815T15-07,655,1320.0,132.0,-1.0
20190815T14-07,595,1273.0,149.0,6.0
20190815T13-07,595,1174.0,169.0,2.0
20190815T12-07,637,995.0,163.0,2.0
20190815T11-07,639,820.0,189.0,0.0
20190815T10-07,488,829.0,180.0,1.0
20190815T09-07,489,689.0,159.0,-1.0
20190815T08-07,489,588.0,126.0,2.0
20190815T07-07,488,611.0,19.0,10.0
20190815T06-07,549,524.0,0.0,17.0
20190815T05-07,645,407.0,0.0,5.0
20190815T04-07,645,401.0,0.0,5.0
20190815T03-07,645,415.0,0.0,3.0
20190815T02-07,714,394.0,0.0,5.0
20190815T01-07,714,450.0,0.0,3.0
20190815T00-07,575,643.0,0.0,14.0
20190814T23-07,575,757.0,0.0,28.0
20190814T22-07,577,964.0,0.0,1.0
20190814T21-07,575,1122.0,0.0,29.0
20190814T20-07,595,1232.0,0.0,50.0
20190814T19-07,635,1335.0,2.0,50.0
20190814T18-07,636,1402.0,56.0,50.0
20190814T17-07,725,1245.0,147.0,42.0
20190814T16-07,724,1224.0,143.0,35.0
20190814T15-07,586,1271.0,173.0,12.0
20190814T14-07,585,1152.0,177.0,19.0
20190814T13-07,495,1121.0,191.0,8.0
20190814T12-07,495,976.0,182.0,12.0
20190814T11-07,496,819.0,172.0,8.0
20190814T10-07,497,664.0,181.0,2.0
20190814T09-07,496,562.0,158.0,0.0
20190814T08-07,496,506.0,120.0,0.0
20190814T07-07,497,536.0,37.0,-1.0
20190814T06-07,495,518.0,0.0,-1.0
20190814T05-07,496,476.0,0.0,-1.0
20190814T04-07,496,462.0,0.0,-1.0
20190814T03-07,495,472.0,0.0,-1.0
20190814T02-07,576,432.0,0.0,5.0
20190814T01-07,574,487.0,0.0,5.0
20190814T00-07,695,455.0,0.0,8.0
20190813T23-07,694,590.0,0.0,15.0
20190813T22-07,576,875.0,0.0,23.0
20190813T21-07,714,907.0,0.0,26.0
20190813T20-07,714,1052.0,0.0,30.0
20190813T19-07,715,1192.0,2.0,7.0
20190813T18-07,714,1225.0,76.0,4.0
20190813T17-07,715,1172.0,156.0,2.0
20190813T16-07,715,1100.0,178.0,5.0
20190813T15-07,645,1084.0,186.0,14.0
20190813T14-07,547,1110.0,191.0,4.0
20190813T13-07,577,983.0,193.0,1.0
20190813T12-07,525,903.0,195.0,5.0
20190813T11-07,467,823.0,194.0,14.0
20190813T10-07,467,699.0,191.0,23.0
20190813T09-07,458,615.0,183.0,17.0
20190813T08-07,457,555.0,163.0,2.0
20190813T07-07,506,537.0,79.0,0.0
20190813T06-07,565,481.0,0.0,2.0
20190813T05-07,496,512.0,0.0,-1.0
20190813T04-07,496,500.0,0.0,-1.0
20190813T03-07,496,524.0,0.0,1.0
20190813T02-07,535,532.0,0.0,0.0
20190813T01-07,496,642.0,0.0,2.0
20190813T00-07,498,711.0,0.0,0.0
20190812T23-07,570,755.0,0.0,0.0
20190812T22-07,705,787.0,0.0,2.0
20190812T21-07,704,941.0,0.0,13.0
20190812T20-07,705,1054.0,0.0,30.0
20190812T19-07,706,1176.0,1.0,4.0
20190812T18-07,706,1214.0,52.0,8.0
20190812T17-07,714,1120.0,137.0,29.0
20190812T16-07,625,1171.0,156.0,4.0
20190812T15-07,492,1206.0,175.0,26.0
20190812T14-07,482,1101.0,187.0,44.0
20190812T13-07,468,1086.0,184.0,2.0
20190812T12-07,468,968.0,187.0,5.0
20190812T11-07,468,853.0,194.0,1.0
20190812T10-07,444,767.0,190.0,2.0
20190812T09-07,444,673.0,182.0,0.0
20190812T08-07,444,595.0,159.0,2.0
20190812T07-07,444,612.0,81.0,0.0
20190812T06-07,421,628.0,0.0,4.0
20190812T05-07,420,586.0,0.0,0.0
20190812T04-07,419,570.0,0.0,0.0
20190812T03-07,419,549.0,0.0,39.0
20190812T02-07,419,582.0,0.0,42.0
20190812T01-07,420,638.0,0.0,31.0
20190812T00-07,496,662.0,0.0,8.0
20190811T23-07,549,700.0,0.0,20.0
20190811T22-07,575,797.0,0.0,33.0
20190811T21-07,575,918.0,0.0,41.0
20190811T20-07,575,1034.0,0.0,21.0
20190811T19-07,576,1074.0,1.0,48.0
20190811T18-07,644,1026.0,76.0,40.0
20190811T17-07,619,990.0,156.0,19.0
20190811T16-07,524,1020.0,154.0,23.0
20190811T15-07,488,965.0,154.0,37.0
20190811T14-07,489,878.0,171.0,26.0
20190811T13-07,432,825.0,171.0,22.0
20190811T12-07,409,742.0,174.0,15.0
20190811T11-07,409,607.0,184.0,8.0
20190811T10-07,409,543.0,131.0,9.0
20190811T09-07,409,491.0,119.0,14.0
20190811T08-07,409,473.0,87.0,-1.0
20190811T07-07,470,410.0,25.0,-1.0
20190811T06-07,489,405.0,0.0,3.0
20190811T05-07,489,397.0,0.0,3.0
20190811T04-07,488,393.0,0.0,1.0
20190811T03-07,523,367.0,0.0,-1.0
20190811T02-07,586,331.0,0.0,0.0
20190811T01-07,605,348.0,0.0,-1.0
20190811T00-07,606,392.0,0.0,6.0
20190810T23-07,607,451.0,0.0,14.0
20190810T22-07,431,678.0,0.0,26.0
20190810T21-07,431,723.0,0.0,30.0
20190810T20-07,431,741.0,0.0,32.0
20190810T19-07,417,783.0,0.0,3.0
20190810T18-07,416,780.0,6.0,3.0
20190810T17-07,416,759.0,15.0,11.0
20190810T16-07,416,777.0,15.0,16.0
20190810T15-07,416,805.0,23.0,9.0
20190810T14-07,495,799.0,25.0,6.0
20190810T13-07,575,788.0,41.0,5.0
20190810T12-07,687,814.0,63.0,2.0
20190810T11-07,714,748.0,89.0,3.0
20190810T10-07,603,678.0,115.0,-1.0
20190810T09-07,575,596.0,103.0,-1.0
20190810T08-07,576,531.0,59.0,-1.0
20190810T07-07,575,472.0,19.0,14.0
20190810T06-07,593,435.0,0.0,45.0
20190810T05-07,635,384.0,0.0,43.0
20190810T04-07,635,369.0,0.0,49.0
20190810T03-07,635,382.0,0.0,51.0
20190810T02-07,635,482.0,0.0,-1.0
20190810T01-07,635,512.0,0.0,9.0
20190810T00-07,597,608.0,0.0,21.0
20190809T23-07,655,651.0,0.0,25.0
20190809T22-07,715,698.0,0.0,48.0
20190809T21-07,715,810.0,0.0,48.0
20190809T20-07,715,937.0,0.0,16.0
20190809T19-07,715,985.0,6.0,13.0
20190809T18-07,714,1038.0,41.0,5.0
20190809T17-07,715,970.0,99.0,2.0
20190809T16-07,714,840.0,165.0,6.0
20190809T15-07,681,807.0,118.0,12.0
20190809T14-07,575,787.0,133.0,12.0
20190809T13-07,575,748.0,117.0,4.0
20190809T12-07,630,652.0,118.0,4.0
20190809T11-07,610,603.0,106.0,13.0
20190809T10-07,610,626.0,51.0,14.0
20190809T09-07,634,608.0,27.0,0.0
20190809T08-07,645,556.0,14.0,9.0
20190809T07-07,646,530.0,11.0,22.0
20190809T06-07,726,453.0,0.0,3.0
20190809T05-07,714,431.0,0.0,0.0
20190809T04-07,715,417.0,0.0,2.0
20190809T03-07,714,431.0,0.0,1.0
20190809T02-07,713,473.0,0.0,1.0
20190809T01-07,700,532.0,0.0,2.0
20190809T00-07,665,638.0,0.0,3.0
20190808T23-07,635,767.0,0.0,1.0
20190808T22-07,674,853.0,0.0,8.0
20190808T21-07,714,946.0,0.0,5.0
20190808T20-07,715,1020.0,0.0,3.0
20190808T19-07,715,1030.0,1.0,27.0
20190808T18-07,635,1078.0,44.0,37.0
20190808T17-07,634,1055.0,41.0,56.0
20190808T16-07,585,1189.0,41.0,19.0
20190808T15-07,586,1233.0,48.0,22.0
20190808T14-07,679,1170.0,63.0,7.0
20190808T13-07,715,1088.0,116.0,2.0
20190808T12-07,714,915.0,155.0,3.0
20190808T11-07,714,739.0,183.0,8.0
20190808T10-07,610,703.0,185.0,6.0
20190808T09-07,545,657.0,176.0,2.0
20190808T08-07,546,577.0,153.0,12.0
20190808T07-07,546,590.0,75.0,4.0
20190808T06-07,545,568.0,0.0,19.0
20190808T05-07,550,504.0,0.0,42.0
20190808T04-07,550,528.0,0.0,2.0
20190808T03-07,569,539.0,0.0,0.0
20190808T02-07,645,505.0,0.0,-1.0
20190808T01-07,694,526.0,0.0,-1.0
20190808T00-07,695,613.0,0.0,0.0
20190807T23-07,694,742.0,0.0,1.0
20190807T22-07,695,887.0,0.0,4.0
20190807T21-07,724,1005.0,0.0,10.0
20190807T20-07,724,1096.0,0.0,20.0
20190807T19-07,725,1158.0,2.0,19.0
20190807T18-07,724,1180.0,61.0,30.0
20190807T17-07,724,1149.0,106.0,28.0
20190807T16-07,680,1139.0,148.0,41.0
20190807T15-07,635,1116.0,159.0,32.0
20190807T14-07,625,1087.0,144.0,6.0
20190807T13-07,625,950.0,178.0,5.0
20190807T12-07,671,769.0,193.0,3.0
20190807T11-07,624,712.0,180.0,3.0
20190807T10-07,625,596.0,193.0,0.0
20190807T09-07,596,574.0,149.0,0.0
20190807T08-07,555,564.0,104.0,1.0
20190807T07-07,555,597.0,26.0,2.0
20190807T06-07,630,494.0,0.0,2.0
20190807T05-07,659,434.0,0.0,0.0
20190807T04-07,666,396.0,0.0,0.0
20190807T03-07,670,405.0,0.0,-1.0
20190807T02-07,620,471.0,0.0,0.0
20190807T01-07,654,477.0,0.0,2.0
20190807T00-07,620,574.0,0.0,4.0
20190806T23-07,620,686.0,0.0,4.0
20190806T22-07,620,803.0,0.0,6.0
20190806T21-07,596,959.0,0.0,1.0
20190806T20-07,595,1048.0,0.0,1.0
20190806T19-07,596,1064.0,0.0,20.0
20190806T18-07,596,1117.0,14.0,0.0
20190806T17-07,625,1167.0,34.0,-1.0
20190806T16-07,735,1183.0,35.0,12.0
20190806T15-07,677,1115.0,90.0,7.0
20190806T14-07,625,1002.0,149.0,14.0
20190806T13-07,581,941.0,152.0,12.0
20190806T12-07,599,794.0,166.0,21.0
20190806T11-07,605,677.0,160.0,19.0
20190806T10-07,595,585.0,139.0,21.0
20190806T09-07,586,601.0,74.0,13.0
20190806T08-07,585,597.0,39.0,7.0
20190806T07-07,556,625.0,12.0,4.0
20190806T06-07,602,544.0,0.0,2.0
20190806T05-07,575,520.0,0.0,0.0
20190806T04-07,576,490.0,0.0,-1.0
20190806T03-07,620,444.0,0.0,3.0
20190806T02-07,650,435.0,0.0,1.0
20190806T01-07,650,463.0,0.0,5.0
20190806T00-07,689,490.0,0.0,0.0
20190805T23-07,645,614.0,0.0,10.0
20190805T22-07,596,791.0,0.0,1.0
20190805T21-07,595,898.0,0.0,17.0
20190805T20-07,595,1003.0,0.0,16.0
20190805T19-07,597,1117.0,0.0,27.0
20190805T18-07,642,1308.0,3.0,10.0
20190805T17-07,719,1495.0,22.0,8.0
20190805T16-07,663,1569.0,65.0,1.0
20190805T15-07,611,1531.0,119.0,6.0
20190805T14-07,712,1345.0,112.0,10.0
20190805T13-07,644,1245.0,173.0,3.0
20190805T12-07,625,1101.0,189.0,1.0
20190805T11-07,694,868.0,186.0,-1.0
20190805T10-07,525,892.0,182.0,-1.0
20190805T09-07,506,797.0,160.0,-1.0
20190805T08-07,513,683.0,130.0,0.0
20190805T07-07,526,670.0,50.0,1.0
20190805T06-07,526,673.0,0.0,0.0
20190805T05-07,506,656.0,0.0,1.0
20190805T04-07,506,645.0,0.0,3.0
20190805T03-07,531,655.0,0.0,1.0
20190805T02-07,555,680.0,0.0,0.0
20190805T01-07,595,705.0,0.0,-1.0
20190805T00-07,662,721.0,0.0,4.0
20190804T23-07,715,801.0,0.0,5.0
20190804T22-07,714,952.0,0.0,4.0
20190804T21-07,648,1166.0,0.0,4.0
20190804T20-07,595,1344.0,0.0,3.0
20190804T19-07,595,1409.0,2.0,13.0
20190804T18-07,596,1517.0,17.0,2.0
20190804T17-07,719,1364.0,77.0,2.0
20190804T16-07,695,1387.0,84.0,18.0
20190804T15-07,694,1238.0,153.0,0.0
20190804T14-07,626,1227.0,156.0,0.0
20190804T13-07,611,1097.0,179.0,-1.0
20190804T12-07,660,921.0,175.0,-1.0
20190804T11-07,729,722.0,183.0,1.0
20190804T10-07,654,663.0,172.0,3.0
20190804T09-07,555,588.0,176.0,2.0
20190804T08-07,555,487.0,145.0,0.0
20190804T07-07,555,495.0,45.0,0.0
20190804T06-07,569,497.0,0.0,6.0
20190804T05-07,593,444.0,0.0,24.0
20190804T04-07,595,418.0,0.0,45.0
20190804T03-07,635,401.0,0.0,48.0
20190804T02-07,714,401.0,0.0,13.0
20190804T01-07,714,444.0,0.0,21.0
20190804T00-07,635,583.0,0.0,40.0
20190803T23-07,635,687.0,0.0,48.0
20190803T22-07,635,783.0,0.0,48.0
20190803T21-07,643,918.0,0.0,6.0
20190803T20-07,562,1067.0,0.0,16.0
20190803T19-07,576,1128.0,0.0,5.0
20190803T18-07,595,1184.0,3.0,5.0
20190803T17-07,677,1185.0,7.0,24.0
20190803T16-07,752,1156.0,17.0,37.0
20190803T15-07,744,1224.0,37.0,0.0
20190803T14-07,731,1232.0,90.0,0.0
20190803T13-07,735,1071.0,163.0,1.0
20190803T12-07,735,913.0,168.0,-1.0
20190803T11-07,715,786.0,169.0,-1.0
20190803T10-07,562,781.0,165.0,2.0
20190803T09-07,528,666.0,152.0,3.0
20190803T08-07,512,568.0,133.0,3.0
20190803T07-07,513,571.0,50.0,2.0
20190803T06-07,660,421.0,0.0,4.0
20190803T05-07,714,373.0,0.0,4.0
20190803T04-07,715,374.0,0.0,4.0
20190803T03-07,715,402.0,0.0,5.0
20190803T02-07,714,457.0,0.0,6.0
20190803T01-07,714,532.0,0.0,4.0
20190803T00-07,714,593.0,0.0,15.0
20190802T23-07,655,762.0,0.0,21.0
20190802T22-07,716,828.0,0.0,20.0
20190802T21-07,724,941.0,0.0,20.0
20190802T20-07,724,1024.0,0.0,8.0
20190802T19-07,724,1076.0,1.0,7.0
20190802T18-07,724,1134.0,14.0,0.0
20190802T17-07,714,1138.0,50.0,3.0
20190802T16-07,695,1091.0,85.0,0.0
20190802T15-07,715,1092.0,46.0,9.0
20190802T14-07,715,1143.0,54.0,20.0
20190802T13-07,714,1140.0,115.0,2.0
20190802T12-07,715,945.0,177.0,2.0
20190802T11-07,715,800.0,180.0,-1.0
20190802T10-07,715,665.0,175.0,0.0
20190802T09-07,715,545.0,166.0,0.0
20190802T08-07,678,480.0,147.0,0.0
20190802T07-07,605,553.0,79.0,0.0
20190802T06-07,623,516.0,0.0,0.0
20190802T05-07,724,388.0,0.0,0.0
20190802T04-07,724,374.0,0.0,0.0
20190802T03-07,724,390.0,0.0,-1.0
20190802T02-07,714,444.0,0.0,-1.0
20190802T01-07,714,499.0,0.0,-1.0
20190802T00-07,714,589.0,0.0,-1.0
20190801T23-07,715,722.0,0.0,0.0
20190801T22-07,714,871.0,0.0,0.0
20190801T21-07,715,1013.0,0.0,1.0
20190801T20-07,715,1119.0,0.0,1.0
20190801T19-07,715,1174.0,12.0,3.0
20190801T18-07,715,1176.0,74.0,8.0
20190801T17-07,714,1226.0,68.0,1.0
20190801T16-07,714,1145.0,98.0,0.0
20190801T15-07,694,1034.0,155.0,2.0
20190801T14-07,645,984.0,156.0,0.0
20190801T13-07,550,1011.0,157.0,0.0
20190801T12-07,537,890.0,165.0,0.0
20190801T11-07,516,790.0,175.0,0.0
20190801T10-07,419,781.0,171.0,-1.0
20190801T09-07,419,684.0,153.0,0.0
20190801T08-07,465,567.0,140.0,0.0
20190801T07-07,533,502.0,70.0,0.0
20190801T06-07,679,348.0,0.0,0.0
20190801T05-07,684,321.0,0.0,0.0
20190801T04-07,685,293.0,0.0,0.0
20190801T03-07,595,387.0,0.0,0.0
20190801T02-07,595,409.0,0.0,0.0
20190801T01-07,596,440.0,0.0,0.0
20190801T00-07,596,506.0,0.0,0.0
20190731T23-07,596,596.0,0.0,0.0
20190731T22-07,695,608.0,0.0,0.0
20190731T21-07,729,671.0,0.0,0.0
20190731T20-07,720,711.0,0.0,0.0
20190731T19-07,714,712.0,4.0,0.0
20190731T18-07,670,766.0,19.0,0.0
20190731T17-07,620,771.0,37.0,0.0
20190731T16-07,645,797.0,35.0,0.0
20190731T15-07,714,963.0,18.0,-1.0
20190731T14-07,715,976.0,73.0,0.0
20190731T13-07,716,763.0,121.0,0.0
20190731T12-07,655,676.0,129.0,0.0
20190731T11-07,595,570.0,162.0,1.0
20190731T10-07,595,520.0,147.0,1.0
20190731T09-07,595,585.0,87.0,0.0
20190731T08-07,595,536.0,87.0,0.0
20190731T07-07,596,552.0,24.0,0.0
20190731T06-07,629,482.0,0.0,-1.0
20190731T05-07,684,390.0,0.0,1.0
20190731T04-07,684,367.0,0.0,0.0
20190731T03-07,685,368.0,0.0,1.0
20190731T02-07,684,406.0,0.0,0.0
20190731T01-07,684,441.0,0.0,-1.0
20190731T00-07,685,500.0,0.0,0.0
20190730T23-07,715,556.0,0.0,0.0
20190730T22-07,702,689.0,0.0,-1.0
