,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191108T16Z,29390,20323,12605,1607,506,108,1327,9867
20191108T15Z,29668,21831,12609,1465,548,44,1728,8503
20191108T14Z,30220,22121,12605,1592,537,15,1804,8772
20191108T13Z,28782,21441,12604,1565,517,0,1764,9323
20191108T12Z,26795,19228,12608,1337,495,0,1570,9341
20191108T11Z,25803,17183,12609,1209,473,0,909,9019
20191108T10Z,25586,16903,12612,1140,434,0,884,8461
20191108T09Z,25826,16882,12606,1155,452,0,886,7646
20191108T08Z,26714,17011,12604,1185,447,0,888,6750
20191108T07Z,27408,17481,12603,1219,468,0,923,6181
20191108T06Z,28093,18390,12601,1353,475,0,938,5272
20191108T05Z,29041,19862,12598,1529,488,1,1008,4447
20191108T04Z,30370,21473,12597,1889,487,1,1175,3792
20191108T03Z,31151,23163,12588,2573,471,1,1425,3034
20191108T02Z,31884,24350,12589,2671,494,1,1646,2814
20191108T01Z,31857,25407,12586,2952,496,1,1617,2573
20191108T00Z,31319,25122,12586,2935,498,1,1599,2375
20191107T23Z,30396,23195,12579,2638,483,11,1597,2248
20191107T22Z,30407,22631,12579,2291,461,35,1080,2587
20191107T21Z,30687,22053,12579,2282,473,62,951,2811
20191107T20Z,30724,22313,12585,2275,467,64,974,3026
20191107T19Z,30589,22063,12590,2283,479,59,999,2981
20191107T18Z,30732,22433,12587,2410,475,64,927,2483
20191107T17Z,31001,22940,12588,2490,471,78,1069,2267
20191107T16Z,30728,22282,12579,2311,475,75,1510,2780
20191107T15Z,30280,22203,12585,2245,476,33,1393,3767
20191107T14Z,29575,21244,12592,2222,482,8,1548,4510
20191107T13Z,27581,20751,12592,2181,488,1,1573,4807
20191107T12Z,24638,18099,12594,1931,480,0,1510,5266
20191107T11Z,22988,16419,12591,1307,453,0,1007,5840
20191107T10Z,21595,15418,12596,1142,444,0,947,6960
20191107T09Z,20951,14631,12592,1081,439,0,947,7903
20191107T08Z,20819,14427,12594,1087,439,0,945,8551
20191107T07Z,21155,14727,12589,1109,443,0,943,9553
20191107T06Z,22300,15367,12543,1171,451,0,945,10210
20191107T05Z,23446,15966,12563,1197,461,0,945,10807
20191107T04Z,25486,17131,12559,1175,452,0,945,10981
20191107T03Z,27528,18516,12560,1478,459,0,950,10383
20191107T02Z,28468,19585,12569,1806,456,0,956,9480
20191107T01Z,29117,20788,12568,1901,485,0,1120,8331
20191107T00Z,28536,20566,12573,1911,495,0,1584,8878
20191106T23Z,27192,19119,12580,1844,500,16,1551,9746
20191106T22Z,25938,18213,12587,1732,488,63,1242,10390
20191106T21Z,26133,18100,12581,1601,483,72,977,10345
20191106T20Z,26261,17892,12576,1585,499,91,974,10288
20191106T19Z,27346,17758,12581,1680,497,93,983,9528
20191106T18Z,27503,17982,12585,1739,489,72,998,9211
20191106T17Z,27386,18546,12579,1668,499,84,1189,8787
20191106T16Z,27511,19903,12586,1920,521,102,1438,7558
20191106T15Z,27784,20017,12590,2100,522,99,1567,7263
20191106T14Z,27352,20241,12601,2122,531,31,1519,7919
20191106T13Z,25945,20415,12594,1929,517,1,1628,7710
20191106T12Z,24054,18498,12592,1746,493,0,1522,7420
20191106T11Z,22692,17241,12594,1397,478,0,982,7118
20191106T10Z,22256,15925,12593,1253,475,0,975,6854
20191106T09Z,22100,15981,12593,1282,486,0,979,6598
20191106T08Z,22612,16177,12595,1291,495,0,979,6109
20191106T07Z,23888,16893,12590,1372,498,0,977,5184
20191106T06Z,25316,17309,12590,1646,501,0,958,4326
20191106T05Z,27077,18640,12583,1876,499,0,951,3510
20191106T04Z,28281,20240,12575,1972,493,0,957,2998
20191106T03Z,28950,21754,12568,2455,496,0,1062,2806
20191106T02Z,29074,23172,12566,2801,512,0,1235,2654
20191106T01Z,28990,23841,12562,2918,517,0,1533,2595
20191106T00Z,28477,23460,12558,2895,503,0,1783,2551
20191105T23Z,27492,21791,12566,2582,497,26,1773,2773
20191105T22Z,27507,21503,12567,2614,479,125,1035,2758
20191105T21Z,27332,20885,12561,2597,465,195,957,2932
20191105T20Z,27496,20907,12568,2627,451,210,953,2935
20191105T19Z,27483,21063,12574,2616,463,204,964,2947
20191105T18Z,27552,21055,12582,2591,466,210,973,3018
20191105T17Z,27781,21391,12585,2687,475,206,979,2967
20191105T16Z,27920,21622,12599,2903,473,185,1010,2573
20191105T15Z,28166,22418,12591,2946,470,113,1292,2184
20191105T14Z,27930,22473,12589,2777,486,27,1519,2907
20191105T13Z,26472,21433,12587,2552,498,0,1542,3815
20191105T12Z,23898,18989,12590,2298,490,0,1439,4267
20191105T11Z,21583,17522,12583,1961,480,0,952,4731
20191105T10Z,20788,16509,12584,1819,455,0,951,4943
20191105T09Z,20737,16159,12584,1810,446,0,950,5053
20191105T08Z,20793,15839,12583,1783,451,0,949,5845
20191105T07Z,21045,15843,12584,1786,447,0,945,6325
20191105T06Z,22296,16115,12581,1839,441,0,935,6486
20191105T05Z,22765,17512,12573,1883,473,0,1024,6804
20191105T04Z,24251,18790,12562,1924,447,0,973,7060
20191105T03Z,25455,19965,12559,2093,454,0,1070,7278
20191105T02Z,25869,20805,12542,2110,472,0,1353,7402
20191105T01Z,26150,21414,12543,2179,476,0,1576,7191
20191105T00Z,25895,21373,12545,2199,481,1,1567,7290
20191104T23Z,24612,20091,12547,2094,440,20,1462,7551
20191104T22Z,23265,19468,12547,1916,437,115,1034,8607
20191104T21Z,23229,18909,12552,1611,444,155,1027,9789
20191104T20Z,22855,18863,12555,1631,436,149,1008,10547
20191104T19Z,22474,18880,12555,1920,438,172,1024,10412
20191104T18Z,23123,18957,12550,2064,467,169,1092,10050
20191104T17Z,23974,19373,12552,2081,447,158,1090,9736
20191104T16Z,24485,20532,12558,2167,419,122,1145,8863
20191104T15Z,24563,21109,12561,2282,422,96,1424,8429
20191104T14Z,23762,21543,12565,2288,412,33,1598,8822
20191104T13Z,21635,22024,12566,2282,413,1,1599,9050
20191104T12Z,18643,19678,12566,1752,424,0,1604,9223
20191104T11Z,17404,17547,12569,1758,407,0,986,9040
20191104T10Z,17375,16322,12573,1601,376,0,997,8895
20191104T09Z,17240,16131,12565,1535,369,0,992,8507
20191104T08Z,17211,16344,12556,1528,373,0,1025,8211
20191104T07Z,17924,16554,12549,1578,348,0,1028,7803
20191104T06Z,19212,16790,12535,1784,345,0,1011,7128
20191104T05Z,20557,17478,12536,1877,351,0,1099,6102
20191104T04Z,22753,18343,12548,1925,348,0,1102,5204
20191104T03Z,24284,19324,12545,2082,349,0,1107,4548
20191104T02Z,25128,20153,12548,2106,352,0,1150,4087
20191104T01Z,25313,20653,12547,2176,357,0,1403,3537
20191104T00Z,24819,20353,12548,2157,383,1,1641,3302
20191103T23Z,23033,18884,12548,2035,378,27,1612,3650
20191103T22Z,21870,17941,12551,1890,370,114,1134,4212
20191103T21Z,20837,17586,12551,1885,373,152,1132,4634
20191103T20Z,20680,17776,12559,1889,367,180,1133,4956
20191103T19Z,21152,17795,12559,1884,371,185,1142,4437
20191103T18Z,22380,18280,12565,1890,379,196,1140,3534
20191103T17Z,23189,19035,12570,2018,375,184,1141,2925
20191103T16Z,23431,20012,12577,2104,372,158,1223,3159
20191103T15Z,23384,20066,12581,2083,374,115,1392,4330
20191103T14Z,22861,19866,12582,1905,380,41,1336,5196
20191103T13Z,21697,18994,12578,1872,377,2,1113,5701
20191103T12Z,20976,17846,12573,1710,370,0,1095,5863
20191103T11Z,20210,16904,12559,1484,376,0,1095,6280
20191103T10Z,19648,16813,12549,1422,370,0,1094,6402
20191103T09Z,19033,16608,12535,1289,388,0,1095,6711
20191103T08Z,19812,16665,12525,1293,384,0,1094,6301
20191103T07Z,20207,16919,12415,1405,370,0,1095,6323
20191103T06Z,21404,16409,12342,1395,376,0,1099,6158
20191103T05Z,22338,16874,12343,1489,379,0,1082,5198
20191103T04Z,23445,18068,12348,1737,383,0,1087,4175
20191103T03Z,24611,19243,12348,1926,386,0,1089,3390
20191103T02Z,24858,20284,12472,2012,379,0,1218,2972
20191103T01Z,24630,20626,12570,2124,369,0,1601,3088
20191103T00Z,23909,20051,12567,2069,375,1,1719,3677
20191102T23Z,22477,18751,12566,1912,379,23,1109,5076
20191102T22Z,20329,17306,12564,1702,380,99,1105,7612
20191102T21Z,19672,16897,12566,1633,375,173,1104,9152
20191102T20Z,19932,17020,12567,1607,375,210,1105,9488
