,coal
20181007T18Z,976
20181007T17Z,972
20181007T16Z,977
20181007T15Z,919
20181007T14Z,632
20181007T13Z,414
20181007T12Z,416
20181007T11Z,403
20181007T10Z,407
20181007T09Z,408
20181007T08Z,414
20181007T07Z,410
20181007T06Z,408
20181007T05Z,415
20181007T04Z,660
20181007T03Z,967
20181007T02Z,974
20181007T01Z,969
20181007T00Z,969
20181006T23Z,957
20181006T22Z,956
20181006T21Z,929
20181006T20Z,873
20181006T19Z,852
20181006T18Z,797
20181006T17Z,779
20181006T16Z,772
20181006T15Z,726
20181006T14Z,536
20181006T13Z,344
20181006T12Z,343
20181006T11Z,340
20181006T10Z,347
20181006T09Z,349
20181006T08Z,342
20181006T07Z,341
20181006T06Z,344
20181006T05Z,349
20181006T04Z,492
20181006T03Z,765
20181006T02Z,774
20181006T01Z,777
20181006T00Z,777
20181005T23Z,776
20181005T22Z,779
20181005T21Z,774
20181005T20Z,781
20181005T19Z,776
20181005T18Z,779
20181005T17Z,780
20181005T16Z,779
20181005T15Z,787
20181005T14Z,775
20181005T13Z,775
20181005T12Z,769
20181005T11Z,577
20181005T10Z,335
20181005T09Z,343
20181005T08Z,344
20181005T07Z,340
20181005T06Z,345
20181005T05Z,394
20181005T04Z,678
20181005T03Z,947
20181005T02Z,951
20181005T01Z,946
20181005T00Z,947
20181004T23Z,948
20181004T22Z,947
20181004T21Z,940
20181004T20Z,952
20181004T19Z,949
20181004T18Z,934
20181004T17Z,943
20181004T16Z,944
20181004T15Z,939
20181004T14Z,938
20181004T13Z,945
20181004T12Z,910
20181004T11Z,763
20181004T10Z,567
20181004T09Z,538
20181004T08Z,580
20181004T07Z,612
20181004T06Z,589
20181004T05Z,615
20181004T04Z,702
20181004T03Z,916
20181004T02Z,939
20181004T01Z,937
20181004T00Z,939
20181003T23Z,943
20181003T22Z,939
20181003T21Z,933
20181003T20Z,953
20181003T19Z,944
20181003T18Z,950
20181003T17Z,963
20181003T16Z,962
20181003T15Z,959
20181003T14Z,958
20181003T13Z,954
20181003T12Z,929
20181003T11Z,770
20181003T10Z,665
20181003T09Z,647
20181003T08Z,656
20181003T07Z,648
20181003T06Z,648
20181003T05Z,646
20181003T04Z,738
20181003T03Z,959
20181003T02Z,947
20181003T01Z,940
20181003T00Z,930
20181002T23Z,946
20181002T22Z,939
20181002T21Z,929
20181002T20Z,957
20181002T19Z,951
20181002T18Z,932
20181002T17Z,915
20181002T16Z,925
20181002T15Z,899
20181002T14Z,888
20181002T13Z,884
20181002T12Z,914
20181002T11Z,797
20181002T10Z,651
20181002T09Z,648
20181002T08Z,656
20181002T07Z,650
20181002T06Z,649
20181002T05Z,648
20181002T04Z,738
20181002T03Z,959
20181002T02Z,963
20181002T01Z,953
20181002T00Z,954
20181001T23Z,954
20181001T22Z,938
20181001T21Z,911
20181001T20Z,893
20181001T19Z,899
20181001T18Z,847
20181001T17Z,881
20181001T16Z,915
20181001T15Z,899
20181001T14Z,893
20181001T13Z,936
20181001T12Z,888
20181001T11Z,596
20181001T10Z,423
20181001T09Z,416
20181001T08Z,423
20181001T07Z,420
20181001T06Z,417
20181001T05Z,417
20181001T04Z,416
20181001T03Z,421
20181001T02Z,414
20181001T01Z,424
20181001T00Z,415
20180930T23Z,420
20180930T22Z,418
20180930T21Z,414
20180930T20Z,414
20180930T19Z,406
20180930T18Z,418
20180930T17Z,410
20180930T16Z,416
20180930T15Z,415
20180930T14Z,420
20180930T13Z,418
20180930T12Z,407
20180930T11Z,415
20180930T10Z,419
20180930T09Z,414
20180930T08Z,422
20180930T07Z,411
20180930T06Z,408
20180930T05Z,429
20180930T04Z,498
20180930T03Z,495
20180930T02Z,492
20180930T01Z,496
20180930T00Z,494
20180929T23Z,490
20180929T22Z,498
20180929T21Z,496
20180929T20Z,493
20180929T19Z,498
20180929T18Z,497
20180929T17Z,496
20180929T16Z,496
20180929T15Z,504
20180929T14Z,506
20180929T13Z,510
20180929T12Z,509
20180929T11Z,502
20180929T10Z,511
20180929T09Z,508
20180929T08Z,508
20180929T07Z,505
20180929T06Z,510
20180929T05Z,566
20180929T04Z,869
20180929T03Z,1159
20180929T02Z,1171
20180929T01Z,1268
20180929T00Z,1496
20180928T23Z,1553
20180928T22Z,1558
20180928T21Z,1561
20180928T20Z,1557
20180928T19Z,1569
20180928T18Z,1559
20180928T17Z,1550
20180928T16Z,1564
20180928T15Z,1555
20180928T14Z,1556
20180928T13Z,1540
20180928T12Z,1424
20180928T11Z,892
20180928T10Z,671
20180928T09Z,665
20180928T08Z,676
20180928T07Z,670
20180928T06Z,671
20180928T05Z,853
20180928T04Z,1356
20180928T03Z,1556
20180928T02Z,1557
20180928T01Z,1565
20180928T00Z,1569
20180927T23Z,1870
20180927T22Z,1943
20180927T21Z,1931
20180927T20Z,1938
20180927T19Z,1934
20180927T18Z,1927
20180927T17Z,1932
20180927T16Z,1926
20180927T15Z,1927
20180927T14Z,1905
20180927T13Z,1877
20180927T12Z,1833
20180927T11Z,1234
20180927T10Z,845
20180927T09Z,835
20180927T08Z,838
20180927T07Z,837
20180927T06Z,846
20180927T05Z,1418
20180927T04Z,1889
20180927T03Z,1924
20180927T02Z,1922
20180927T01Z,1944
20180927T00Z,1941
20180926T23Z,1936
20180926T22Z,1944
20180926T21Z,1942
20180926T20Z,1930
20180926T19Z,1913
20180926T18Z,1921
20180926T17Z,1910
20180926T16Z,1916
20180926T15Z,1920
20180926T14Z,1920
20180926T13Z,1927
20180926T12Z,1884
20180926T11Z,1572
20180926T10Z,1180
20180926T09Z,943
20180926T08Z,902
20180926T07Z,952
20180926T06Z,1321
20180926T05Z,1407
20180926T04Z,1601
20180926T03Z,1924
20180926T02Z,1920
20180926T01Z,1932
20180926T00Z,1928
20180925T23Z,1929
20180925T22Z,1921
20180925T21Z,1918
20180925T20Z,1916
20180925T19Z,1922
20180925T18Z,1927
20180925T17Z,1912
20180925T16Z,1921
20180925T15Z,1917
20180925T14Z,1915
20180925T13Z,1899
20180925T12Z,1828
20180925T11Z,1352
20180925T10Z,915
20180925T09Z,850
20180925T08Z,849
20180925T07Z,847
20180925T06Z,926
20180925T05Z,1435
20180925T04Z,1833
20180925T03Z,1886
20180925T02Z,1916
20180925T01Z,1925
20180925T00Z,1929
20180924T23Z,1925
20180924T22Z,1922
20180924T21Z,1923
20180924T20Z,1927
20180924T19Z,1927
20180924T18Z,1917
20180924T17Z,1922
20180924T16Z,1927
20180924T15Z,1928
20180924T14Z,1911
20180924T13Z,1861
20180924T12Z,1717
20180924T11Z,1275
20180924T10Z,976
20180924T09Z,853
20180924T08Z,849
20180924T07Z,849
20180924T06Z,853
20180924T05Z,858
20180924T04Z,859
20180924T03Z,859
20180924T02Z,867
20180924T01Z,869
20180924T00Z,866
20180923T23Z,874
20180923T22Z,883
20180923T21Z,883
20180923T20Z,883
20180923T19Z,879
20180923T18Z,847
20180923T17Z,827
20180923T16Z,826
20180923T15Z,844
20180923T14Z,955
20180923T13Z,1011
20180923T12Z,1014
20180923T11Z,1019
20180923T10Z,946
20180923T09Z,871
20180923T08Z,869
20180923T07Z,864
20180923T06Z,874
20180923T05Z,877
20180923T04Z,865
20180923T03Z,877
20180923T02Z,872
20180923T01Z,881
20180923T00Z,887
20180922T23Z,881
20180922T22Z,884
20180922T21Z,877
20180922T20Z,885
20180922T19Z,883
20180922T18Z,875
20180922T17Z,884
20180922T16Z,886
20180922T15Z,889
20180922T14Z,886
20180922T13Z,889
20180922T12Z,849
20180922T11Z,847
20180922T10Z,844
20180922T09Z,837
20180922T08Z,843
20180922T07Z,828
20180922T06Z,841
20180922T05Z,1127
20180922T04Z,1718
20180922T03Z,1733
20180922T02Z,1751
20180922T01Z,1771
20180922T00Z,1775
20180921T23Z,1782
20180921T22Z,1794
20180921T21Z,1798
20180921T20Z,1791
20180921T19Z,1787
20180921T18Z,1798
20180921T17Z,1781
20180921T16Z,1728
20180921T15Z,1624
20180921T14Z,1707
20180921T13Z,1814
20180921T12Z,1720
20180921T11Z,1548
20180921T10Z,1402
20180921T09Z,1299
20180921T08Z,1192
20180921T07Z,1187
20180921T06Z,1339
20180921T05Z,1350
20180921T04Z,1513
20180921T03Z,1748
20180921T02Z,1744
20180921T01Z,1753
20180921T00Z,1758
20180920T23Z,1738
20180920T22Z,1759
20180920T21Z,1764
20180920T20Z,1774
20180920T19Z,1757
20180920T18Z,1764
20180920T17Z,1762
20180920T16Z,1766
20180920T15Z,1751
20180920T14Z,1747
20180920T13Z,1740
20180920T12Z,1713
20180920T11Z,1477
20180920T10Z,1154
20180920T09Z,936
20180920T08Z,961
20180920T07Z,1220
20180920T06Z,1310
20180920T05Z,1520
20180920T04Z,1764
20180920T03Z,1758
20180920T02Z,1762
20180920T01Z,1763
20180920T00Z,1766
20180919T23Z,1767
20180919T22Z,1765
20180919T21Z,1761
20180919T20Z,1744
20180919T19Z,1746
20180919T18Z,1737
20180919T17Z,1749
20180919T16Z,1738
20180919T15Z,1736
20180919T14Z,1737
20180919T13Z,1728
20180919T12Z,1694
20180919T11Z,1357
20180919T10Z,950
20180919T09Z,790
20180919T08Z,765
20180919T07Z,768
20180919T06Z,977
20180919T05Z,1291
20180919T04Z,1491
20180919T03Z,1755
20180919T02Z,1751
20180919T01Z,1749
20180919T00Z,1753
20180918T23Z,1760
20180918T22Z,1756
20180918T21Z,1756
20180918T20Z,1754
20180918T19Z,1749
20180918T18Z,1759
20180918T17Z,1749
20180918T16Z,1749
20180918T15Z,1742
20180918T14Z,1744
20180918T13Z,1719
20180918T12Z,1694
20180918T11Z,1462
20180918T10Z,1340
20180918T09Z,1324
20180918T08Z,1324
20180918T07Z,1328
20180918T06Z,1317
20180918T05Z,1481
20180918T04Z,1718
20180918T03Z,1713
20180918T02Z,1734
20180918T01Z,1736
20180918T00Z,1712
20180917T23Z,1714
20180917T22Z,1723
20180917T21Z,1725
20180917T20Z,1718
20180917T19Z,1717
20180917T18Z,1685
20180917T17Z,1667
20180917T16Z,1661
20180917T15Z,1658
20180917T14Z,1652
20180917T13Z,1675
20180917T12Z,1609
20180917T11Z,1417
20180917T10Z,1296
20180917T09Z,1169
20180917T08Z,1083
20180917T07Z,1216
20180917T06Z,1150
20180917T05Z,901
20180917T04Z,764
20180917T03Z,737
20180917T02Z,699
20180917T01Z,678
20180917T00Z,683
20180916T23Z,680
20180916T22Z,678
20180916T21Z,677
20180916T20Z,680
20180916T19Z,675
20180916T18Z,678
20180916T17Z,679
20180916T16Z,672
20180916T15Z,670
20180916T14Z,678
20180916T13Z,673
20180916T12Z,677
20180916T11Z,666
20180916T10Z,670
20180916T09Z,663
20180916T08Z,666
20180916T07Z,660
20180916T06Z,670
20180916T05Z,669
20180916T04Z,648
20180916T03Z,678
20180916T02Z,673
20180916T01Z,675
20180916T00Z,755
20180915T23Z,771
20180915T22Z,766
20180915T21Z,765
20180915T20Z,766
20180915T19Z,766
20180915T18Z,770
20180915T17Z,764
20180915T16Z,760
20180915T15Z,757
20180915T14Z,759
20180915T13Z,760
20180915T12Z,756
20180915T11Z,758
20180915T10Z,765
20180915T09Z,757
20180915T08Z,760
20180915T07Z,767
20180915T06Z,760
20180915T05Z,1191
20180915T04Z,1717
20180915T03Z,1752
20180915T02Z,1750
20180915T01Z,1752
20180915T00Z,1754
20180914T23Z,1764
20180914T22Z,1757
20180914T21Z,1753
20180914T20Z,1742
20180914T19Z,1751
20180914T18Z,1752
20180914T17Z,1750
20180914T16Z,1743
20180914T15Z,1750
20180914T14Z,1757
20180914T13Z,1751
20180914T12Z,1722
20180914T11Z,1461
20180914T10Z,1043
20180914T09Z,791
20180914T08Z,775
20180914T07Z,783
20180914T06Z,856
20180914T05Z,1064
20180914T04Z,1436
20180914T03Z,1722
20180914T02Z,1732
20180914T01Z,1742
20180914T00Z,1748
20180913T23Z,1729
20180913T22Z,1742
20180913T21Z,1745
20180913T20Z,1720
20180913T19Z,1737
20180913T18Z,1732
20180913T17Z,1739
20180913T16Z,1723
20180913T15Z,1730
20180913T14Z,1740
20180913T13Z,1715
20180913T12Z,1671
20180913T11Z,1428
20180913T10Z,1150
20180913T09Z,822
20180913T08Z,870
20180913T07Z,1179
20180913T06Z,1318
20180913T05Z,1463
20180913T04Z,1728
20180913T03Z,1711
20180913T02Z,1705
20180913T01Z,1727
20180913T00Z,1722
20180912T23Z,1716
20180912T22Z,1725
20180912T21Z,1706
20180912T20Z,1704
20180912T19Z,1690
20180912T18Z,1680
20180912T17Z,1663
20180912T16Z,1633
20180912T15Z,1565
20180912T14Z,1561
20180912T13Z,1538
20180912T12Z,1471
20180912T11Z,1205
20180912T10Z,831
20180912T09Z,688
20180912T08Z,688
20180912T07Z,691
20180912T06Z,830
20180912T05Z,1099
20180912T04Z,1355
20180912T03Z,1680
20180912T02Z,1714
20180912T01Z,1728
20180912T00Z,1725
20180911T23Z,1726
20180911T22Z,1720
20180911T21Z,1709
20180911T20Z,1730
20180911T19Z,1723
20180911T18Z,1720
20180911T17Z,1706
20180911T16Z,1712
20180911T15Z,1712
20180911T14Z,1716
20180911T13Z,1713
20180911T12Z,1703
20180911T11Z,1495
20180911T10Z,1095
20180911T09Z,921
20180911T08Z,916
20180911T07Z,1090
20180911T06Z,1248
20180911T05Z,1345
20180911T04Z,1598
20180911T03Z,1719
20180911T02Z,1723
20180911T01Z,1733
20180911T00Z,1742
20180910T23Z,1738
20180910T22Z,1730
20180910T21Z,1724
20180910T20Z,1729
20180910T19Z,1730
20180910T18Z,1728
20180910T17Z,1731
20180910T16Z,1725
20180910T15Z,1708
20180910T14Z,1664
20180910T13Z,1612
20180910T12Z,1528
20180910T11Z,1016
20180910T10Z,768
20180910T09Z,775
20180910T08Z,767
20180910T07Z,774
20180910T06Z,777
20180910T05Z,773
20180910T04Z,775
20180910T03Z,770
20180910T02Z,777
20180910T01Z,775
20180910T00Z,772
20180909T23Z,776
20180909T22Z,771
20180909T21Z,772
20180909T20Z,777
20180909T19Z,763
20180909T18Z,780
20180909T17Z,774
20180909T16Z,773
20180909T15Z,774
20180909T14Z,775
20180909T13Z,776
20180909T12Z,766
20180909T11Z,773
20180909T10Z,774
20180909T09Z,776
20180909T08Z,780
20180909T07Z,775
20180909T06Z,776
20180909T05Z,775
20180909T04Z,749
20180909T03Z,772
20180909T02Z,772
20180909T01Z,769
20180909T00Z,769
20180908T23Z,761
20180908T22Z,774
20180908T21Z,763
20180908T20Z,767
20180908T19Z,774
20180908T18Z,764
20180908T17Z,768
20180908T16Z,766
20180908T15Z,772
20180908T14Z,761
20180908T13Z,770
20180908T12Z,763
20180908T11Z,760
20180908T10Z,765
20180908T09Z,757
20180908T08Z,763
20180908T07Z,751
20180908T06Z,716
20180908T05Z,1136
20180908T04Z,1570
20180908T03Z,1552
20180908T02Z,1537
20180908T01Z,1520
20180908T00Z,1502
20180907T23Z,1500
20180907T22Z,1493
20180907T21Z,1476
20180907T20Z,1468
20180907T19Z,1460
20180907T18Z,1391
20180907T17Z,1320
20180907T16Z,1313
20180907T15Z,1287
20180907T14Z,1265
20180907T13Z,1262
20180907T12Z,1241
20180907T11Z,1189
20180907T10Z,972
20180907T09Z,829
20180907T08Z,992
20180907T07Z,1109
20180907T06Z,1133
20180907T05Z,1111
20180907T04Z,1157
20180907T03Z,1321
20180907T02Z,1319
20180907T01Z,1320
20180907T00Z,1313
20180906T23Z,1311
20180906T22Z,1316
20180906T21Z,1309
20180906T20Z,1314
20180906T19Z,1313
20180906T18Z,1309
20180906T17Z,1319
20180906T16Z,1313
20180906T15Z,1314
20180906T14Z,1299
20180906T13Z,1289
20180906T12Z,1280
20180906T11Z,1290
20180906T10Z,1265
20180906T09Z,1202
20180906T08Z,1173
20180906T07Z,1131
20180906T06Z,1117
20180906T05Z,1127
20180906T04Z,1221
20180906T03Z,1220
20180906T02Z,1226
20180906T01Z,1220
20180906T00Z,1221
20180905T23Z,1222
20180905T22Z,1220
20180905T21Z,1225
20180905T20Z,1227
20180905T19Z,1220
20180905T18Z,1231
20180905T17Z,1226
20180905T16Z,1225
20180905T15Z,1227
20180905T14Z,1210
20180905T13Z,1194
20180905T12Z,1164
20180905T11Z,1075
20180905T10Z,927
20180905T09Z,788
20180905T08Z,787
20180905T07Z,946
20180905T06Z,1087
20180905T05Z,1106
20180905T04Z,1136
20180905T03Z,1134
20180905T02Z,1137
20180905T01Z,1132
20180905T00Z,1142
20180904T23Z,1142
20180904T22Z,1143
20180904T21Z,1285
20180904T20Z,1340
20180904T19Z,1340
20180904T18Z,1335
20180904T17Z,1328
20180904T16Z,1324
20180904T15Z,1325
20180904T14Z,1331
20180904T13Z,1304
20180904T12Z,999
20180904T11Z,826
20180904T10Z,830
20180904T09Z,807
20180904T08Z,902
20180904T07Z,1163
20180904T06Z,1235
20180904T05Z,924
20180904T04Z,790
20180904T03Z,772
20180904T02Z,693
20180904T01Z,596
20180904T00Z,588
20180903T23Z,591
20180903T22Z,590
20180903T21Z,585
20180903T20Z,591
20180903T19Z,588
20180903T18Z,586
20180903T17Z,586
20180903T16Z,587
20180903T15Z,586
20180903T14Z,580
20180903T13Z,583
20180903T12Z,586
20180903T11Z,582
20180903T10Z,576
20180903T09Z,588
20180903T08Z,577
20180903T07Z,593
20180903T06Z,602
20180903T05Z,608
20180903T04Z,597
20180903T03Z,694
20180903T02Z,766
20180903T01Z,765
20180903T00Z,763
20180902T23Z,750
20180902T22Z,746
20180902T21Z,746
20180902T20Z,681
20180902T19Z,749
20180902T18Z,750
20180902T17Z,706
20180902T16Z,817
20180902T15Z,837
20180902T14Z,837
20180902T13Z,834
20180902T12Z,836
20180902T11Z,836
20180902T10Z,834
20180902T09Z,844
20180902T08Z,838
20180902T07Z,842
20180902T06Z,844
20180902T05Z,837
20180902T04Z,825
20180902T03Z,844
20180902T02Z,849
20180902T01Z,838
20180902T00Z,840
20180901T23Z,835
20180901T22Z,833
20180901T21Z,832
20180901T20Z,832
20180901T19Z,825
20180901T18Z,834
20180901T17Z,834
20180901T16Z,837
20180901T15Z,839
20180901T14Z,834
20180901T13Z,830
20180901T12Z,834
20180901T11Z,832
20180901T10Z,837
20180901T09Z,833
20180901T08Z,833
20180901T07Z,826
20180901T06Z,865
20180901T05Z,1265
20180901T04Z,1863
20180901T03Z,1875
20180901T02Z,1901
20180901T01Z,1906
20180901T00Z,1919
20180831T23Z,1923
20180831T22Z,1940
20180831T21Z,1923
20180831T20Z,1928
20180831T19Z,1930
20180831T18Z,1924
20180831T17Z,1928
20180831T16Z,1925
20180831T15Z,1918
20180831T14Z,1922
20180831T13Z,1917
20180831T12Z,1879
20180831T11Z,1579
20180831T10Z,1258
20180831T09Z,1009
20180831T08Z,1116
20180831T07Z,1385
20180831T06Z,1393
20180831T05Z,1413
20180831T04Z,1394
20180831T03Z,1406
20180831T02Z,1419
20180831T01Z,1674
20180831T00Z,1933
20180830T23Z,1924
20180830T22Z,1940
20180830T21Z,1931
20180830T20Z,1921
20180830T19Z,1924
20180830T18Z,1922
20180830T17Z,1900
20180830T16Z,1883
20180830T15Z,1828
20180830T14Z,1765
20180830T13Z,1731
20180830T12Z,1733
20180830T11Z,1743
20180830T10Z,1739
20180830T09Z,1717
20180830T08Z,1737
20180830T07Z,1738
20180830T06Z,1734
20180830T05Z,1691
20180830T04Z,1740
20180830T03Z,1731
20180830T02Z,1747
20180830T01Z,1741
20180830T00Z,1741
20180829T23Z,1731
20180829T22Z,1733
20180829T21Z,1734
20180829T20Z,1741
20180829T19Z,1737
20180829T18Z,1742
20180829T17Z,1734
20180829T16Z,1735
20180829T15Z,1731
20180829T14Z,1724
20180829T13Z,1717
20180829T12Z,1690
20180829T11Z,1415
20180829T10Z,1221
20180829T09Z,1213
20180829T08Z,1219
20180829T07Z,1217
20180829T06Z,1234
20180829T05Z,1225
20180829T04Z,1445
20180829T03Z,1735
20180829T02Z,1749
20180829T01Z,1744
20180829T00Z,1754
20180828T23Z,1737
20180828T22Z,1732
20180828T21Z,1562
20180828T20Z,1507
20180828T19Z,1414
20180828T18Z,1645
20180828T17Z,1749
20180828T16Z,1747
20180828T15Z,1750
20180828T14Z,1738
20180828T13Z,1745
20180828T12Z,1746
20180828T11Z,1734
20180828T10Z,1571
20180828T09Z,1380
20180828T08Z,1478
20180828T07Z,1684
20180828T06Z,1732
20180828T05Z,1735
20180828T04Z,1742
20180828T03Z,1732
20180828T02Z,1734
20180828T01Z,1734
20180828T00Z,1737
20180827T23Z,1729
20180827T22Z,1735
20180827T21Z,1713
20180827T20Z,1658
20180827T19Z,1734
20180827T18Z,1732
20180827T17Z,1708
20180827T16Z,1826
20180827T15Z,1922
20180827T14Z,1925
20180827T13Z,1914
20180827T12Z,1905
20180827T11Z,1827
20180827T10Z,1533
20180827T09Z,1433
20180827T08Z,1429
20180827T07Z,1548
20180827T06Z,1600
20180827T05Z,1481
20180827T04Z,1451
20180827T03Z,1439
20180827T02Z,1442
20180827T01Z,1445
20180827T00Z,1442
20180826T23Z,1442
20180826T22Z,1441
20180826T21Z,1383
20180826T20Z,1347
20180826T19Z,1350
20180826T18Z,1300
20180826T17Z,1279
20180826T16Z,1279
20180826T15Z,1282
20180826T14Z,1251
20180826T13Z,1049
20180826T12Z,944
20180826T11Z,946
20180826T10Z,951
20180826T09Z,949
20180826T08Z,952
20180826T07Z,945
20180826T06Z,954
20180826T05Z,950
20180826T04Z,1129
20180826T03Z,1424
20180826T02Z,1422
20180826T01Z,1429
20180826T00Z,1431
20180825T23Z,1424
20180825T22Z,1425
20180825T21Z,1428
20180825T20Z,1402
20180825T19Z,1344
20180825T18Z,1333
20180825T17Z,1302
20180825T16Z,1236
20180825T15Z,1223
20180825T14Z,1180
20180825T13Z,1129
20180825T12Z,1058
20180825T11Z,911
20180825T10Z,776
20180825T09Z,794
20180825T08Z,973
20180825T07Z,1110
20180825T06Z,1122
20180825T05Z,1161
20180825T04Z,1388
20180825T03Z,1709
20180825T02Z,1728
20180825T01Z,1741
20180825T00Z,1732
20180824T23Z,1742
20180824T22Z,1739
20180824T21Z,1734
20180824T20Z,1743
20180824T19Z,1729
20180824T18Z,1728
20180824T17Z,1726
20180824T16Z,1721
20180824T15Z,1708
20180824T14Z,1498
20180824T13Z,1376
20180824T12Z,1337
20180824T11Z,1012
20180824T10Z,767
20180824T09Z,760
20180824T08Z,765
20180824T07Z,766
20180824T06Z,770
20180824T05Z,909
20180824T04Z,1333
20180824T03Z,1863
20180824T02Z,1923
20180824T01Z,1922
20180824T00Z,1906
20180823T23Z,1908
20180823T22Z,1902
20180823T21Z,1898
20180823T20Z,1897
20180823T19Z,1900
20180823T18Z,1898
20180823T17Z,1912
20180823T16Z,1901
20180823T15Z,1665
20180823T14Z,1462
20180823T13Z,1517
20180823T12Z,1460
20180823T11Z,1334
20180823T10Z,1056
20180823T09Z,861
20180823T08Z,949
20180823T07Z,1269
20180823T06Z,1327
20180823T05Z,1374
20180823T04Z,1760
20180823T03Z,1888
20180823T02Z,1902
20180823T01Z,1917
20180823T00Z,1915
20180822T23Z,1904
20180822T22Z,1906
20180822T21Z,1906
20180822T20Z,1903
20180822T19Z,1903
20180822T18Z,1905
20180822T17Z,1904
20180822T16Z,1904
20180822T15Z,1908
20180822T14Z,1904
20180822T13Z,1873
20180822T12Z,1810
20180822T11Z,1460
20180822T10Z,1009
20180822T09Z,930
20180822T08Z,926
20180822T07Z,944
20180822T06Z,1124
20180822T05Z,1405
20180822T04Z,1662
20180822T03Z,1881
20180822T02Z,1853
20180822T01Z,1808
20180822T00Z,1757
20180821T23Z,1740
20180821T22Z,1739
20180821T21Z,1737
20180821T20Z,1737
20180821T19Z,1735
20180821T18Z,1729
20180821T17Z,1733
20180821T16Z,1733
20180821T15Z,1721
20180821T14Z,1718
20180821T13Z,1706
20180821T12Z,1698
20180821T11Z,1623
20180821T10Z,1543
20180821T09Z,1210
20180821T08Z,1171
20180821T07Z,1389
20180821T06Z,1601
20180821T05Z,1632
20180821T04Z,1720
20180821T03Z,1721
20180821T02Z,1720
20180821T01Z,1724
20180821T00Z,1727
20180820T23Z,1726
20180820T22Z,1728
20180820T21Z,1726
20180820T20Z,1724
20180820T19Z,1725
20180820T18Z,1725
20180820T17Z,1718
20180820T16Z,1716
20180820T15Z,1680
20180820T14Z,1478
20180820T13Z,1221
20180820T12Z,1297
20180820T11Z,1245
20180820T10Z,1152
20180820T09Z,1065
20180820T08Z,1081
20180820T07Z,1161
20180820T06Z,1161
20180820T05Z,1158
20180820T04Z,1169
20180820T03Z,1156
20180820T02Z,1158
20180820T01Z,1161
20180820T00Z,1164
20180819T23Z,1430
20180819T22Z,1669
20180819T21Z,1447
20180819T20Z,1162
20180819T19Z,1157
20180819T18Z,1155
20180819T17Z,1162
20180819T16Z,1161
20180819T15Z,1154
20180819T14Z,1157
20180819T13Z,1152
20180819T12Z,1124
20180819T11Z,926
20180819T10Z,753
20180819T09Z,752
20180819T08Z,753
20180819T07Z,754
20180819T06Z,757
20180819T05Z,757
20180819T04Z,876
20180819T03Z,1139
20180819T02Z,1170
20180819T01Z,1177
20180819T00Z,1180
20180818T23Z,1448
20180818T22Z,1688
20180818T21Z,1438
20180818T20Z,1178
20180818T19Z,1181
20180818T18Z,1183
20180818T17Z,1181
20180818T16Z,1177
20180818T15Z,1172
20180818T14Z,1159
20180818T13Z,1166
20180818T12Z,1161
20180818T11Z,1157
20180818T10Z,1153
20180818T09Z,1149
20180818T08Z,1138
20180818T07Z,1130
20180818T06Z,1143
20180818T05Z,1493
20180818T04Z,1808
20180818T03Z,1898
20180818T02Z,1908
20180818T01Z,1912
20180818T00Z,1912
20180817T23Z,1912
20180817T22Z,1911
20180817T21Z,1901
20180817T20Z,1901
20180817T19Z,1905
20180817T18Z,1902
20180817T17Z,1871
20180817T16Z,1835
20180817T15Z,1772
20180817T14Z,1742
20180817T13Z,1742
20180817T12Z,1739
20180817T11Z,1733
20180817T10Z,1662
20180817T09Z,1447
20180817T08Z,1458
20180817T07Z,1633
20180817T06Z,1723
20180817T05Z,1723
20180817T04Z,1740
20180817T03Z,1732
20180817T02Z,1720
20180817T01Z,1722
20180817T00Z,1721
20180816T23Z,1720
20180816T22Z,1711
20180816T21Z,1707
20180816T20Z,1709
20180816T19Z,1709
20180816T18Z,1710
20180816T17Z,1714
20180816T16Z,1714
20180816T15Z,1713
20180816T14Z,1708
20180816T13Z,1694
20180816T12Z,1649
20180816T11Z,1371
20180816T10Z,954
20180816T09Z,766
20180816T08Z,770
20180816T07Z,966
20180816T06Z,1208
20180816T05Z,1214
20180816T04Z,1357
20180816T03Z,1733
20180816T02Z,1732
20180816T01Z,1732
20180816T00Z,1734
20180815T23Z,1738
20180815T22Z,1737
20180815T21Z,1736
20180815T20Z,1736
20180815T19Z,1735
20180815T18Z,1742
20180815T17Z,1744
20180815T16Z,1742
20180815T15Z,1738
20180815T14Z,1721
20180815T13Z,1596
20180815T12Z,1404
20180815T11Z,1381
20180815T10Z,1278
20180815T09Z,1238
20180815T08Z,1277
20180815T07Z,1282
20180815T06Z,1318
20180815T05Z,1547
20180815T04Z,1696
20180815T03Z,1698
20180815T02Z,1711
20180815T01Z,1726
20180815T00Z,1722
20180814T23Z,1718
20180814T22Z,1719
20180814T21Z,1716
20180814T20Z,1713
20180814T19Z,1708
20180814T18Z,1692
20180814T17Z,1667
20180814T16Z,1664
20180814T15Z,1655
20180814T14Z,1648
20180814T13Z,1573
20180814T12Z,1520
20180814T11Z,1398
20180814T10Z,1268
20180814T09Z,1250
20180814T08Z,1249
20180814T07Z,1268
20180814T06Z,1294
20180814T05Z,1551
20180814T04Z,1673
20180814T03Z,1662
20180814T02Z,1669
20180814T01Z,1664
20180814T00Z,1660
20180813T23Z,1663
20180813T22Z,1660
20180813T21Z,1657
20180813T20Z,1654
