,coal
20181119T03Z,2076
20181119T02Z,2070
20181119T01Z,2054
20181119T00Z,2049
20181118T23Z,2047
20181118T22Z,2037
20181118T21Z,2032
20181118T20Z,2042
20181118T19Z,2008
20181118T18Z,1999
20181118T17Z,2008
20181118T16Z,1999
20181118T15Z,1996
20181118T14Z,1926
20181118T13Z,1877
20181118T12Z,1746
20181118T11Z,1597
20181118T10Z,1482
20181118T09Z,1437
20181118T08Z,1413
20181118T07Z,1410
20181118T06Z,1411
20181118T05Z,1404
20181118T04Z,1601
20181118T03Z,1917
20181118T02Z,1920
20181118T01Z,1911
20181118T00Z,1908
20181117T23Z,1914
20181117T22Z,1906
20181117T21Z,1903
20181117T20Z,1903
20181117T19Z,1892
20181117T18Z,1898
20181117T17Z,1928
20181117T16Z,1928
20181117T15Z,1929
20181117T14Z,1933
20181117T13Z,1928
20181117T12Z,1917
20181117T11Z,1909
20181117T10Z,1904
20181117T09Z,1897
20181117T08Z,1866
20181117T07Z,1832
20181117T06Z,1768
20181117T05Z,1699
20181117T04Z,1662
20181117T03Z,1664
20181117T02Z,1671
20181117T01Z,1665
20181117T00Z,1653
20181116T23Z,1663
20181116T22Z,1651
20181116T21Z,1666
20181116T20Z,1661
20181116T19Z,1657
20181116T18Z,1660
20181116T17Z,1651
20181116T16Z,1637
20181116T15Z,1645
20181116T14Z,1639
20181116T13Z,1617
20181116T12Z,1556
20181116T11Z,1407
20181116T10Z,1286
20181116T09Z,1306
20181116T08Z,1310
20181116T07Z,1303
20181116T06Z,1310
20181116T05Z,1313
20181116T04Z,1499
20181116T03Z,1747
20181116T02Z,1750
20181116T01Z,1750
20181116T00Z,1742
20181115T23Z,1721
20181115T22Z,1712
20181115T21Z,1683
20181115T20Z,1665
20181115T19Z,1616
20181115T18Z,1566
20181115T17Z,1545
20181115T16Z,1552
20181115T15Z,1572
20181115T14Z,1724
20181115T13Z,1765
20181115T12Z,1771
20181115T11Z,1773
20181115T10Z,1755
20181115T09Z,1763
20181115T08Z,1763
20181115T07Z,1760
20181115T06Z,1758
20181115T05Z,1752
20181115T04Z,1751
20181115T03Z,1759
20181115T02Z,1737
20181115T01Z,1699
20181115T00Z,1666
20181114T23Z,1675
20181114T22Z,1663
20181114T21Z,1672
20181114T20Z,1669
20181114T19Z,1668
20181114T18Z,1778
20181114T17Z,1854
20181114T16Z,1851
20181114T15Z,1851
20181114T14Z,1837
20181114T13Z,1821
20181114T12Z,1822
20181114T11Z,1663
20181114T10Z,1594
20181114T09Z,1598
20181114T08Z,1592
20181114T07Z,1590
20181114T06Z,1584
20181114T05Z,1597
20181114T04Z,1711
20181114T03Z,1814
20181114T02Z,1817
20181114T01Z,1819
20181114T00Z,1804
20181113T23Z,1800
20181113T22Z,1813
20181113T21Z,1776
20181113T20Z,1734
20181113T19Z,1699
20181113T18Z,1612
20181113T17Z,1536
20181113T16Z,1531
20181113T15Z,1536
20181113T14Z,1534
20181113T13Z,1546
20181113T12Z,1554
20181113T11Z,1556
20181113T10Z,1522
20181113T09Z,1482
20181113T08Z,1470
20181113T07Z,1426
20181113T06Z,1390
20181113T05Z,1357
20181113T04Z,1353
20181113T03Z,1360
20181113T02Z,1337
20181113T01Z,1334
20181113T00Z,1319
20181112T23Z,1292
20181112T22Z,1258
20181112T21Z,1232
20181112T20Z,1208
20181112T19Z,1196
20181112T18Z,1147
20181112T17Z,1138
20181112T16Z,1137
20181112T15Z,1136
20181112T14Z,1137
20181112T13Z,1139
20181112T12Z,1119
20181112T11Z,1131
20181112T10Z,1120
20181112T09Z,1115
20181112T08Z,1125
20181112T07Z,1120
20181112T06Z,1119
20181112T05Z,1128
20181112T04Z,1126
20181112T03Z,1121
20181112T02Z,1126
20181112T01Z,1108
20181112T00Z,1007
20181111T23Z,965
20181111T22Z,964
20181111T21Z,1068
20181111T20Z,1118
20181111T19Z,1124
20181111T18Z,1122
20181111T17Z,1122
20181111T16Z,1122
20181111T15Z,1125
20181111T14Z,1128
20181111T13Z,1119
20181111T12Z,1102
20181111T11Z,972
20181111T10Z,890
20181111T09Z,863
20181111T08Z,847
20181111T07Z,855
20181111T06Z,850
20181111T05Z,850
20181111T04Z,954
20181111T03Z,1067
20181111T02Z,1074
20181111T01Z,1064
20181111T00Z,987
20181110T23Z,1092
20181110T22Z,1114
20181110T21Z,1112
20181110T20Z,1122
20181110T19Z,1122
20181110T18Z,1126
20181110T17Z,1129
20181110T16Z,1133
20181110T15Z,1124
20181110T14Z,1131
20181110T13Z,1123
20181110T12Z,1128
20181110T11Z,1114
20181110T10Z,1120
20181110T09Z,1115
20181110T08Z,1114
20181110T07Z,1115
20181110T06Z,1117
20181110T05Z,1226
20181110T04Z,1267
20181110T03Z,1265
20181110T02Z,1262
20181110T01Z,1258
20181110T00Z,1264
20181109T23Z,1273
20181109T22Z,1271
20181109T21Z,1251
20181109T20Z,1237
20181109T19Z,1235
20181109T18Z,1209
20181109T17Z,1202
20181109T16Z,1204
20181109T15Z,1196
20181109T14Z,1233
20181109T13Z,1263
20181109T12Z,1255
20181109T11Z,1136
20181109T10Z,1058
20181109T09Z,1060
20181109T08Z,1067
20181109T07Z,1079
20181109T06Z,1089
20181109T05Z,1063
20181109T04Z,1219
20181109T03Z,1309
20181109T02Z,1319
20181109T01Z,1316
20181109T00Z,1316
20181108T23Z,1315
20181108T22Z,1326
20181108T21Z,1325
20181108T20Z,1329
20181108T19Z,1329
20181108T18Z,1337
20181108T17Z,1327
20181108T16Z,1335
20181108T15Z,1338
20181108T14Z,1321
20181108T13Z,1229
20181108T12Z,1163
20181108T11Z,1142
20181108T10Z,1083
20181108T09Z,984
20181108T08Z,956
20181108T07Z,951
20181108T06Z,1049
20181108T05Z,1193
20181108T04Z,1188
20181108T03Z,1193
20181108T02Z,1191
20181108T01Z,1190
20181108T00Z,1197
20181107T23Z,1186
20181107T22Z,1293
20181107T21Z,1361
20181107T20Z,1362
20181107T19Z,1368
20181107T18Z,1363
20181107T17Z,1364
20181107T16Z,1353
20181107T15Z,1367
20181107T14Z,1359
20181107T13Z,1361
20181107T12Z,1351
20181107T11Z,1301
20181107T10Z,1238
20181107T09Z,1216
20181107T08Z,1153
20181107T07Z,1156
20181107T06Z,1144
20181107T05Z,1142
20181107T04Z,1240
20181107T03Z,1361
20181107T02Z,1362
20181107T01Z,1363
20181107T00Z,1365
20181106T23Z,1367
20181106T22Z,1367
20181106T21Z,1365
20181106T20Z,1361
20181106T19Z,1367
20181106T18Z,1387
20181106T17Z,1391
20181106T16Z,1389
20181106T15Z,1390
20181106T14Z,1394
20181106T13Z,1391
20181106T12Z,1377
20181106T11Z,1299
20181106T10Z,1083
20181106T09Z,865
20181106T08Z,941
20181106T07Z,1172
20181106T06Z,1273
20181106T05Z,1229
20181106T04Z,1294
20181106T03Z,1387
20181106T02Z,1385
20181106T01Z,1393
20181106T00Z,1388
20181105T23Z,1380
20181105T22Z,1381
20181105T21Z,1384
20181105T20Z,1378
20181105T19Z,1380
20181105T18Z,1366
20181105T17Z,1368
20181105T16Z,1368
20181105T15Z,1351
20181105T14Z,1345
20181105T13Z,1364
20181105T12Z,1339
20181105T11Z,1066
20181105T10Z,816
20181105T09Z,817
20181105T08Z,815
20181105T07Z,817
20181105T06Z,814
20181105T05Z,818
20181105T04Z,821
20181105T03Z,1079
20181105T02Z,1367
20181105T01Z,1373
20181105T00Z,1356
20181104T23Z,1087
20181104T22Z,811
20181104T21Z,807
20181104T20Z,805
20181104T19Z,808
20181104T18Z,806
20181104T17Z,805
20181104T16Z,893
20181104T15Z,1177
20181104T14Z,1333
20181104T13Z,1119
20181104T12Z,944
20181104T11Z,798
20181104T10Z,597
20181104T09Z,604
20181104T08Z,602
20181104T07Z,598
20181104T06Z,598
20181104T05Z,591
20181104T04Z,599
20181104T03Z,908
20181104T02Z,1370
20181104T01Z,1368
20181104T00Z,1362
20181103T23Z,1202
20181103T22Z,878
20181103T21Z,846
20181103T20Z,907
20181103T19Z,1203
20181103T18Z,1371
20181103T17Z,1384
20181103T16Z,1394
20181103T15Z,1399
20181103T14Z,1396
20181103T13Z,1398
20181103T12Z,1389
20181103T11Z,1377
20181103T10Z,1063
20181103T09Z,808
20181103T08Z,807
20181103T07Z,799
20181103T06Z,809
20181103T05Z,803
20181103T04Z,807
20181103T03Z,1189
20181103T02Z,1697
20181103T01Z,1909
20181103T00Z,2002
20181102T23Z,2003
20181102T22Z,2008
20181102T21Z,1997
20181102T20Z,1997
20181102T19Z,1980
20181102T18Z,1956
20181102T17Z,1900
20181102T16Z,1852
20181102T15Z,1796
20181102T14Z,1804
20181102T13Z,1798
20181102T12Z,1801
20181102T11Z,1734
20181102T10Z,1228
20181102T09Z,860
20181102T08Z,860
20181102T07Z,860
20181102T06Z,862
20181102T05Z,863
20181102T04Z,860
20181102T03Z,1264
20181102T02Z,1802
20181102T01Z,1808
20181102T00Z,1804
20181101T23Z,1811
20181101T22Z,1803
20181101T21Z,1803
20181101T20Z,1816
20181101T19Z,1814
20181101T18Z,1816
20181101T17Z,1812
20181101T16Z,1813
20181101T15Z,1813
20181101T14Z,1780
20181101T13Z,1815
20181101T12Z,1783
20181101T11Z,1776
20181101T10Z,1583
20181101T09Z,1438
20181101T08Z,1436
20181101T07Z,1433
20181101T06Z,1428
20181101T05Z,1428
20181101T04Z,1430
20181101T03Z,1639
20181101T02Z,1798
20181101T01Z,1793
20181101T00Z,1790
20181031T23Z,1796
20181031T22Z,1795
20181031T21Z,1797
20181031T20Z,1791
20181031T19Z,1797
20181031T18Z,1792
20181031T17Z,1774
20181031T16Z,1777
20181031T15Z,1785
20181031T14Z,1762
20181031T13Z,1767
20181031T12Z,1737
20181031T11Z,1668
20181031T10Z,1140
20181031T09Z,785
20181031T08Z,772
20181031T07Z,779
20181031T06Z,772
20181031T05Z,778
20181031T04Z,824
20181031T03Z,1225
20181031T02Z,1726
20181031T01Z,1728
20181031T00Z,1726
20181030T23Z,1707
20181030T22Z,1644
20181030T21Z,1607
20181030T20Z,1677
20181030T19Z,1796
20181030T18Z,1801
20181030T17Z,1801
20181030T16Z,1776
20181030T15Z,1700
20181030T14Z,1502
20181030T13Z,1467
20181030T12Z,1455
20181030T11Z,1474
20181030T10Z,1472
20181030T09Z,1474
20181030T08Z,1463
20181030T07Z,1475
20181030T06Z,1478
20181030T05Z,1467
20181030T04Z,1480
20181030T03Z,1475
20181030T02Z,1477
20181030T01Z,1468
20181030T00Z,1423
20181029T23Z,1384
20181029T22Z,1382
20181029T21Z,1404
20181029T20Z,1412
20181029T19Z,1390
20181029T18Z,1408
20181029T17Z,1391
20181029T16Z,1369
20181029T15Z,1329
20181029T14Z,1235
20181029T13Z,1162
20181029T12Z,1129
20181029T11Z,1104
20181029T10Z,1053
20181029T09Z,1014
20181029T08Z,977
20181029T07Z,975
20181029T06Z,970
20181029T05Z,966
20181029T04Z,959
20181029T03Z,964
20181029T02Z,966
20181029T01Z,966
20181029T00Z,970
20181028T23Z,965
20181028T22Z,960
20181028T21Z,955
20181028T20Z,946
20181028T19Z,950
20181028T18Z,962
20181028T17Z,910
20181028T16Z,873
20181028T15Z,871
20181028T14Z,864
20181028T13Z,843
20181028T12Z,803
20181028T11Z,771
20181028T10Z,529
20181028T09Z,359
20181028T08Z,360
20181028T07Z,346
20181028T06Z,357
20181028T05Z,350
20181028T04Z,353
20181028T03Z,576
20181028T02Z,788
20181028T01Z,800
20181028T00Z,794
20181027T23Z,788
20181027T22Z,791
20181027T21Z,788
20181027T20Z,786
20181027T19Z,791
20181027T18Z,782
20181027T17Z,786
20181027T16Z,787
20181027T15Z,782
20181027T14Z,786
20181027T13Z,787
20181027T12Z,800
20181027T11Z,787
20181027T10Z,793
20181027T09Z,790
20181027T08Z,791
20181027T07Z,792
20181027T06Z,792
20181027T05Z,789
20181027T04Z,791
20181027T03Z,791
20181027T02Z,790
20181027T01Z,797
20181027T00Z,797
20181026T23Z,795
20181026T22Z,787
20181026T21Z,786
20181026T20Z,779
20181026T19Z,777
20181026T18Z,766
20181026T17Z,774
20181026T16Z,752
20181026T15Z,734
20181026T14Z,730
20181026T13Z,742
20181026T12Z,737
20181026T11Z,733
20181026T10Z,501
20181026T09Z,353
20181026T08Z,350
20181026T07Z,354
20181026T06Z,347
20181026T05Z,352
20181026T04Z,362
20181026T03Z,552
20181026T02Z,779
20181026T01Z,789
20181026T00Z,781
20181025T23Z,787
20181025T22Z,778
20181025T21Z,787
20181025T20Z,785
20181025T19Z,782
20181025T18Z,787
20181025T17Z,778
20181025T16Z,776
20181025T15Z,779
20181025T14Z,773
20181025T13Z,776
20181025T12Z,778
20181025T11Z,782
20181025T10Z,782
20181025T09Z,778
20181025T08Z,773
20181025T07Z,780
20181025T06Z,773
20181025T05Z,770
20181025T04Z,771
20181025T03Z,769
20181025T02Z,760
20181025T01Z,774
20181025T00Z,768
20181024T23Z,761
20181024T22Z,754
20181024T21Z,840
20181024T20Z,1483
20181024T19Z,1597
20181024T18Z,1602
20181024T17Z,1594
20181024T16Z,1592
20181024T15Z,1597
20181024T14Z,1599
20181024T13Z,1592
20181024T12Z,1540
20181024T11Z,1318
20181024T10Z,932
20181024T09Z,685
20181024T08Z,682
20181024T07Z,683
20181024T06Z,685
20181024T05Z,680
20181024T04Z,828
20181024T03Z,1284
20181024T02Z,1597
20181024T01Z,1598
20181024T00Z,1598
20181023T23Z,1600
20181023T22Z,1588
20181023T21Z,1592
20181023T20Z,1599
20181023T19Z,1597
20181023T18Z,1594
20181023T17Z,1591
20181023T16Z,1590
20181023T15Z,1594
20181023T14Z,1589
20181023T13Z,1598
20181023T12Z,1573
20181023T11Z,1337
20181023T10Z,1230
20181023T09Z,1228
20181023T08Z,1229
20181023T07Z,1227
20181023T06Z,1229
20181023T05Z,1224
20181023T04Z,1374
20181023T03Z,1584
20181023T02Z,1589
20181023T01Z,1598
20181023T00Z,1598
20181022T23Z,1594
20181022T22Z,1599
20181022T21Z,1591
20181022T20Z,1594
20181022T19Z,1579
20181022T18Z,1587
20181022T17Z,1585
20181022T16Z,1586
20181022T15Z,1577
20181022T14Z,1576
20181022T13Z,1545
20181022T12Z,1421
20181022T11Z,953
20181022T10Z,680
20181022T09Z,672
20181022T08Z,664
20181022T07Z,674
20181022T06Z,669
20181022T05Z,669
