,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191213T07-05,897,12843,3844,0,1648,0,22.0
20191213T06-05,773,11221,3847,0,1212,0,22.0
20191213T05-05,766,10458,3845,0,1003,0,22.0
20191213T04-05,766,10243,3845,0,975,0,23.0
20191213T03-05,770,10460,3844,0,967,0,23.0
20191213T02-05,774,11119,3841,0,959,0,23.0
20191213T01-05,838,12015,3845,0,1017,0,21.0
20191213T00-05,1036,13365,3844,0,1484,0,20.0
20191212T23-05,1162,15403,3839,0,1570,0,20.0
20191212T22-05,1290,16883,3842,0,1661,0,20.0
20191212T21-05,1427,17988,3838,0,1709,0,20.0
20191212T20-05,1447,18966,3842,0,1699,-1,21.0
20191212T19-05,1513,19398,3836,0,1709,2,20.0
20191212T18-05,1516,18556,3837,0,1705,9,39.0
20191212T17-05,1515,17656,3835,0,1670,90,20.0
20191212T16-05,1459,17134,3840,0,1646,242,20.0
20191212T15-05,1433,17292,3841,0,1626,351,20.0
20191212T14-05,1410,17165,3841,0,1617,462,20.0
20191212T13-05,1371,16752,3840,0,1585,607,21.0
20191212T12-05,1367,16505,3842,0,1610,504,19.0
20191212T11-05,1369,16262,3841,0,1642,444,22.0
20191212T10-05,1264,16273,3837,0,1667,338,22.0
20191212T09-05,1237,15294,3841,0,1677,151,22.0
20191212T08-05,1227,14803,3840,0,1655,15,22.0
20191212T07-05,1063,13878,3837,0,1211,0,21.0
20191212T06-05,812,11908,3840,0,1117,0,22.0
20191212T05-05,768,10770,3835,0,1062,0,22.0
20191212T04-05,769,10290,3837,0,1033,0,22.0
20191212T03-05,772,10314,3837,0,1013,0,21.0
20191212T02-05,768,10850,3833,0,1018,0,22.0
20191212T01-05,851,11622,3828,0,1199,0,21.0
20191212T00-05,1036,12919,3830,0,1537,0,22.0
20191211T23-05,1151,15076,3831,0,1593,0,22.0
20191211T22-05,1318,17126,3832,0,1599,0,22.0
20191211T21-05,1389,18617,3831,0,1596,0,22.0
20191211T20-05,1393,19855,3829,0,1631,-1,23.0
20191211T19-05,1409,20526,3829,0,1652,0,23.0
20191211T18-05,1361,20001,3835,0,1665,5,38.0
20191211T17-05,1382,19695,3831,0,1677,161,22.0
20191211T16-05,1604,19569,3831,0,1630,465,22.0
20191211T15-05,1661,19362,3839,0,1640,775,22.0
20191211T14-05,1693,19154,3836,0,1657,962,22.0
20191211T13-05,1665,18720,3842,0,1663,957,22.0
20191211T12-05,1579,17935,3843,0,1700,972,22.0
20191211T11-05,1522,17043,3845,0,1666,870,22.0
20191211T10-05,1572,15901,3841,0,1653,580,22.0
20191211T09-05,1507,14943,3845,0,1667,267,22.0
20191211T08-05,1342,14275,3842,0,1693,34,22.0
20191211T07-05,1042,13318,3843,0,1680,0,23.0
20191211T06-05,911,11723,3843,0,1195,0,22.0
20191211T05-05,779,10805,3839,0,1029,0,22.0
20191211T04-05,773,10705,3847,0,973,0,22.0
20191211T03-05,843,10979,3844,0,970,0,22.0
20191211T02-05,880,11551,3839,0,1017,0,22.0
20191211T01-05,946,12283,3841,0,1439,0,22.0
20191211T00-05,1106,13874,3843,0,1598,0,22.0
20191210T23-05,1289,16354,3843,0,1629,0,22.0
20191210T22-05,1398,18401,3840,0,1706,0,21.0
20191210T21-05,1421,19868,3841,0,1844,0,20.0
20191210T20-05,1420,21057,3842,0,1794,2,20.0
20191210T19-05,1418,21799,3841,0,1807,4,20.0
20191210T18-05,1419,21208,3841,0,1792,22,37.0
20191210T17-05,1451,20928,3843,0,1760,227,22.0
20191210T16-05,1385,20761,3845,0,1762,634,22.0
