,natural gas,hydro
20190807T23-07,196,102.0
20190807T22-07,204,101.0
20190807T21-07,235,101.0
20190807T20-07,277,101.0
20190807T19-07,280,101.0
20190807T18-07,298,102.0
20190807T17-07,305,101.0
20190807T16-07,278,102.0
20190807T15-07,290,102.0
20190807T14-07,266,102.0
20190807T13-07,237,102.0
20190807T12-07,231,102.0
20190807T11-07,212,101.0
20190807T10-07,192,102.0
20190807T09-07,192,101.0
20190807T08-07,192,101.0
20190807T07-07,193,102.0
20190807T06-07,198,102.0
20190807T05-07,194,102.0
20190807T04-07,184,101.0
20190807T03-07,180,101.0
20190807T02-07,183,101.0
20190807T01-07,198,102.0
20190807T00-07,210,101.0
20190806T23-07,217,101.0
20190806T22-07,264,102.0
20190806T21-07,289,101.0
20190806T20-07,297,101.0
20190806T19-07,326,101.0
20190806T18-07,341,101.0
20190806T17-07,342,101.0
20190806T16-07,346,101.0
20190806T15-07,340,99.0
20190806T14-07,323,99.0
20190806T13-07,292,100.0
20190806T12-07,244,99.0
20190806T11-07,249,97.0
20190806T10-07,236,97.0
20190806T09-07,222,96.0
20190806T08-07,219,96.0
20190806T07-07,218,96.0
20190806T06-07,212,96.0
20190806T05-07,203,96.0
20190806T04-07,201,96.0
20190806T03-07,194,96.0
20190806T02-07,196,96.0
20190806T01-07,206,96.0
20190806T00-07,220,96.0
20190805T23-07,238,96.0
20190805T22-07,272,96.0
20190805T21-07,320,89.0
20190805T20-07,355,80.0
20190805T19-07,332,82.0
20190805T18-07,336,61.0
20190805T17-07,339,50.0
20190805T16-07,351,30.0
20190805T15-07,360,29.0
20190805T14-07,365,32.0
20190805T13-07,332,30.0
20190805T12-07,300,30.0
20190805T11-07,287,30.0
20190805T10-07,266,30.0
20190805T09-07,227,30.0
20190805T08-07,230,29.0
20190805T07-07,206,29.0
20190805T06-07,201,30.0
20190805T05-07,199,30.0
20190805T04-07,201,29.0
20190805T03-07,209,34.0
20190805T02-07,216,34.0
20190805T01-07,210,51.0
20190805T00-07,225,60.0
20190804T23-07,260,72.0
20190804T22-07,302,80.0
20190804T21-07,307,87.0
20190804T20-07,313,86.0
20190804T19-07,306,87.0
20190804T18-07,311,87.0
20190804T17-07,306,86.0
20190804T16-07,283,86.0
20190804T15-07,260,86.0
20190804T14-07,257,86.0
20190804T13-07,252,86.0
20190804T12-07,211,87.0
20190804T11-07,212,87.0
20190804T10-07,202,87.0
20190804T09-07,191,86.0
20190804T08-07,189,86.0
20190804T07-07,188,86.0
20190804T06-07,188,87.0
20190804T05-07,194,87.0
20190804T04-07,195,87.0
20190804T03-07,194,86.0
20190804T02-07,190,86.0
20190804T01-07,191,87.0
20190804T00-07,203,87.0
20190803T23-07,201,87.0
20190803T22-07,270,87.0
20190803T21-07,275,87.0
20190803T20-07,274,86.0
20190803T19-07,280,87.0
20190803T18-07,283,87.0
20190803T17-07,268,87.0
20190803T16-07,251,87.0
20190803T15-07,217,87.0
20190803T14-07,225,87.0
20190803T13-07,215,87.0
20190803T12-07,204,87.0
20190803T11-07,197,87.0
20190803T10-07,193,87.0
20190803T09-07,195,87.0
20190803T08-07,190,87.0
20190803T07-07,187,87.0
20190803T06-07,187,87.0
20190803T05-07,187,87.0
20190803T04-07,186,87.0
20190803T03-07,182,87.0
20190803T02-07,183,87.0
20190803T01-07,190,87.0
20190803T00-07,215,87.0
20190802T23-07,240,87.0
20190802T22-07,266,86.0
20190802T21-07,289,87.0
20190802T20-07,289,87.0
20190802T19-07,287,87.0
20190802T18-07,296,87.0
20190802T17-07,297,87.0
20190802T16-07,296,87.0
20190802T15-07,279,87.0
20190802T14-07,255,87.0
20190802T13-07,215,87.0
20190802T12-07,206,89.0
20190802T11-07,194,89.0
20190802T10-07,211,85.0
20190802T09-07,211,69.0
20190802T08-07,211,68.0
20190802T07-07,211,69.0
20190802T06-07,208,69.0
20190802T05-07,207,68.0
20190802T04-07,206,68.0
20190802T03-07,208,68.0
20190802T02-07,210,68.0
20190802T01-07,213,68.0
20190802T00-07,220,68.0
20190801T23-07,255,68.0
20190801T22-07,282,68.0
20190801T21-07,314,68.0
20190801T20-07,337,68.0
20190801T19-07,356,68.0
20190801T18-07,357,58.0
20190801T17-07,356,55.0
20190801T16-07,355,40.0
20190801T15-07,370,35.0
20190801T14-07,341,33.0
20190801T13-07,321,34.0
20190801T12-07,285,34.0
20190801T11-07,255,33.0
20190801T10-07,232,32.0
20190801T09-07,224,31.0
20190801T08-07,232,29.0
20190801T07-07,233,28.0
20190801T06-07,231,26.0
20190801T05-07,231,25.0
20190801T04-07,231,27.0
20190801T03-07,229,27.0
20190801T02-07,216,30.0
20190801T01-07,216,39.0
20190801T00-07,244,41.0
20190731T23-07,298,41.0
20190731T22-07,334,41.0
20190731T21-07,362,41.0
20190731T20-07,366,41.0
20190731T19-07,360,41.0
20190731T18-07,358,40.0
20190731T17-07,352,40.0
20190731T16-07,350,36.0
20190731T15-07,334,30.0
20190731T14-07,322,32.0
20190731T13-07,283,33.0
20190731T12-07,273,30.0
20190731T11-07,234,33.0
20190731T10-07,227,33.0
20190731T09-07,229,29.0
20190731T08-07,229,28.0
20190731T07-07,224,29.0
20190731T06-07,217,28.0
20190731T05-07,216,27.0
20190731T04-07,217,27.0
20190731T03-07,221,27.0
20190731T02-07,229,29.0
20190731T01-07,249,29.0
20190731T00-07,253,28.0
20190730T23-07,282,28.0
20190730T22-07,341,28.0
20190730T21-07,367,28.0
20190730T20-07,370,28.0
20190730T19-07,372,28.0
20190730T18-07,374,28.0
20190730T17-07,370,28.0
20190730T16-07,350,28.0
20190730T15-07,316,28.0
20190730T14-07,309,28.0
20190730T13-07,323,30.0
20190730T12-07,275,31.0
20190730T11-07,266,32.0
20190730T10-07,254,39.0
20190730T09-07,245,41.0
20190730T08-07,245,41.0
20190730T07-07,234,41.0
20190730T06-07,231,42.0
20190730T05-07,232,41.0
20190730T04-07,239,41.0
20190730T03-07,246,41.0
20190730T02-07,249,41.0
20190730T01-07,247,41.0
20190730T00-07,276,41.0
20190729T23-07,320,40.0
20190729T22-07,358,40.0
20190729T21-07,364,40.0
20190729T20-07,364,40.0
20190729T19-07,376,40.0
20190729T18-07,389,41.0
20190729T17-07,452,41.0
20190729T16-07,446,43.0
20190729T15-07,443,54.0
20190729T14-07,377,40.0
20190729T13-07,398,40.0
20190729T12-07,391,40.0
20190729T11-07,348,41.0
20190729T10-07,346,42.0
20190729T09-07,303,44.0
20190729T08-07,291,63.0
20190729T07-07,254,78.0
20190729T06-07,225,88.0
20190729T05-07,217,99.0
20190729T04-07,217,100.0
20190729T03-07,218,99.0
20190729T02-07,231,99.0
20190729T01-07,270,89.0
20190729T00-07,273,88.0
20190728T23-07,294,88.0
20190728T22-07,336,88.0
20190728T21-07,340,100.0
20190728T20-07,331,100.0
20190728T19-07,328,101.0
20190728T18-07,278,100.0
20190728T17-07,288,95.0
20190728T16-07,268,90.0
20190728T15-07,258,90.0
20190728T14-07,229,90.0
20190728T13-07,192,90.0
20190728T12-07,195,90.0
20190728T11-07,193,90.0
20190728T10-07,208,91.0
20190728T09-07,214,91.0
20190728T08-07,207,91.0
20190728T07-07,201,90.0
20190728T06-07,193,91.0
20190728T05-07,189,91.0
20190728T04-07,190,91.0
20190728T03-07,188,91.0
20190728T02-07,180,91.0
20190728T01-07,187,91.0
20190728T00-07,209,100.0
20190727T23-07,232,100.0
20190727T22-07,224,100.0
20190727T21-07,240,100.0
20190727T20-07,254,100.0
20190727T19-07,266,100.0
20190727T18-07,266,100.0
20190727T17-07,278,93.0
20190727T16-07,261,90.0
20190727T15-07,235,88.0
20190727T14-07,237,87.0
20190727T13-07,231,88.0
20190727T12-07,199,89.0
20190727T11-07,174,94.0
20190727T10-07,182,100.0
20190727T09-07,182,100.0
20190727T08-07,183,100.0
20190727T07-07,181,100.0
20190727T06-07,181,100.0
20190727T05-07,180,100.0
20190727T04-07,181,100.0
20190727T03-07,182,99.0
20190727T02-07,185,100.0
20190727T01-07,194,100.0
20190727T00-07,214,100.0
20190726T23-07,235,100.0
20190726T22-07,236,100.0
20190726T21-07,256,100.0
20190726T20-07,286,100.0
20190726T19-07,302,99.0
20190726T18-07,301,99.0
20190726T17-07,304,99.0
20190726T16-07,298,100.0
20190726T15-07,290,101.0
20190726T14-07,252,100.0
20190726T13-07,245,100.0
20190726T12-07,220,100.0
20190726T11-07,206,100.0
20190726T10-07,191,100.0
20190726T09-07,194,100.0
20190726T08-07,190,101.0
20190726T07-07,187,100.0
20190726T06-07,185,101.0
20190726T05-07,185,101.0
20190726T04-07,188,102.0
20190726T03-07,197,102.0
20190726T02-07,205,102.0
20190726T01-07,199,100.0
20190726T00-07,205,100.0
20190725T23-07,236,101.0
20190725T22-07,322,100.0
20190725T21-07,329,100.0
20190725T20-07,334,101.0
20190725T19-07,346,101.0
20190725T18-07,344,100.0
20190725T17-07,336,101.0
20190725T16-07,324,100.0
20190725T15-07,267,100.0
20190725T14-07,271,100.0
20190725T13-07,225,100.0
20190725T12-07,196,101.0
20190725T11-07,201,100.0
20190725T10-07,202,100.0
20190725T09-07,194,101.0
20190725T08-07,192,102.0
20190725T07-07,189,101.0
20190725T06-07,191,101.0
20190725T05-07,189,101.0
20190725T04-07,191,101.0
20190725T03-07,198,101.0
20190725T02-07,190,101.0
20190725T01-07,193,101.0
20190725T00-07,230,101.0
20190724T23-07,247,102.0
20190724T22-07,283,101.0
20190724T21-07,304,101.0
20190724T20-07,309,101.0
20190724T19-07,297,101.0
20190724T18-07,296,100.0
20190724T17-07,297,102.0
20190724T16-07,297,103.0
20190724T15-07,296,103.0
20190724T14-07,285,103.0
20190724T13-07,226,103.0
20190724T12-07,203,103.0
20190724T11-07,197,103.0
20190724T10-07,189,103.0
20190724T09-07,178,104.0
20190724T08-07,176,103.0
20190724T07-07,176,103.0
20190724T06-07,178,103.0
20190724T05-07,178,103.0
20190724T04-07,178,101.0
20190724T03-07,180,101.0
20190724T02-07,184,101.0
20190724T01-07,182,102.0
20190724T00-07,197,101.0
20190723T23-07,200,102.0
20190723T22-07,262,102.0
20190723T21-07,277,102.0
20190723T20-07,331,102.0
20190723T19-07,325,101.0
20190723T18-07,340,101.0
20190723T17-07,308,92.0
20190723T16-07,299,91.0
20190723T15-07,292,89.0
20190723T14-07,259,89.0
20190723T13-07,226,90.0
20190723T12-07,203,90.0
20190723T11-07,195,90.0
20190723T10-07,192,90.0
20190723T09-07,199,90.0
20190723T08-07,199,90.0
20190723T07-07,202,99.0
20190723T06-07,203,100.0
20190723T05-07,203,99.0
20190723T04-07,204,100.0
20190723T03-07,205,100.0
20190723T02-07,206,100.0
20190723T01-07,208,100.0
20190723T00-07,213,101.0
20190722T23-07,229,102.0
20190722T22-07,282,102.0
20190722T21-07,286,102.0
20190722T20-07,293,101.0
20190722T19-07,304,101.0
20190722T18-07,303,102.0
20190722T17-07,302,101.0
20190722T16-07,296,102.0
20190722T15-07,264,101.0
20190722T14-07,236,102.0
20190722T13-07,216,102.0
20190722T12-07,210,102.0
20190722T11-07,202,102.0
20190722T10-07,205,92.0
20190722T09-07,208,91.0
20190722T08-07,211,91.0
20190722T07-07,207,90.0
20190722T06-07,203,89.0
20190722T05-07,203,88.0
20190722T04-07,202,86.0
20190722T03-07,196,86.0
20190722T02-07,198,86.0
20190722T01-07,209,86.0
20190722T00-07,226,86.0
20190721T23-07,234,87.0
20190721T22-07,237,86.0
20190721T21-07,213,86.0
20190721T20-07,206,86.0
20190721T19-07,213,86.0
20190721T18-07,221,85.0
20190721T17-07,216,86.0
20190721T16-07,206,87.0
20190721T15-07,186,87.0
20190721T14-07,196,87.0
20190721T13-07,183,87.0
20190721T12-07,181,87.0
20190721T11-07,182,87.0
20190721T10-07,190,86.0
20190721T09-07,194,87.0
20190721T08-07,199,86.0
20190721T07-07,199,86.0
20190721T06-07,199,86.0
20190721T05-07,198,86.0
20190721T04-07,198,86.0
20190721T03-07,196,86.0
20190721T02-07,198,86.0
20190721T01-07,204,86.0
20190721T00-07,191,86.0
20190720T23-07,202,87.0
20190720T22-07,201,86.0
20190720T21-07,190,86.0
20190720T20-07,193,86.0
20190720T19-07,197,86.0
20190720T18-07,203,87.0
20190720T17-07,206,86.0
20190720T16-07,204,87.0
20190720T15-07,198,87.0
20190720T14-07,195,86.0
20190720T13-07,188,86.0
20190720T12-07,192,71.0
20190720T11-07,194,70.0
20190720T10-07,197,71.0
20190720T09-07,197,71.0
20190720T08-07,197,72.0
20190720T07-07,196,72.0
20190720T06-07,189,74.0
20190720T05-07,182,74.0
20190720T04-07,182,74.0
20190720T03-07,182,73.0
20190720T02-07,191,74.0
20190720T01-07,213,74.0
20190720T00-07,224,74.0
20190719T23-07,210,73.0
20190719T22-07,270,72.0
20190719T21-07,259,76.0
20190719T20-07,270,85.0
20190719T19-07,262,86.0
20190719T18-07,262,86.0
20190719T17-07,255,85.0
20190719T16-07,225,84.0
20190719T15-07,203,78.0
20190719T14-07,217,73.0
20190719T13-07,214,73.0
20190719T12-07,223,73.0
20190719T11-07,220,74.0
20190719T10-07,207,73.0
20190719T09-07,204,73.0
20190719T08-07,203,73.0
20190719T07-07,203,74.0
20190719T06-07,204,73.0
20190719T05-07,204,73.0
20190719T04-07,203,73.0
20190719T03-07,201,73.0
20190719T02-07,198,73.0
20190719T01-07,204,73.0
20190719T00-07,208,76.0
20190718T23-07,211,84.0
20190718T22-07,218,85.0
20190718T21-07,242,84.0
20190718T20-07,242,89.0
20190718T19-07,236,96.0
20190718T18-07,263,100.0
20190718T17-07,259,101.0
20190718T16-07,261,100.0
20190718T15-07,268,98.0
20190718T14-07,246,89.0
20190718T13-07,236,85.0
20190718T12-07,221,85.0
20190718T11-07,204,85.0
20190718T10-07,198,86.0
20190718T09-07,192,85.0
20190718T08-07,187,85.0
20190718T07-07,186,85.0
20190718T06-07,189,85.0
20190718T05-07,192,85.0
20190718T04-07,195,85.0
20190718T03-07,195,85.0
20190718T02-07,196,85.0
20190718T01-07,194,86.0
20190718T00-07,198,85.0
20190717T23-07,196,85.0
20190717T22-07,238,88.0
20190717T21-07,270,91.0
20190717T20-07,271,91.0
20190717T19-07,271,91.0
20190717T18-07,269,91.0
20190717T17-07,255,91.0
20190717T16-07,226,91.0
20190717T15-07,214,89.0
20190717T14-07,198,81.0
20190717T13-07,194,82.0
20190717T12-07,190,81.0
20190717T11-07,177,82.0
20190717T10-07,169,82.0
20190717T09-07,165,81.0
20190717T08-07,166,80.0
20190717T07-07,180,81.0
20190717T06-07,179,80.0
20190717T05-07,178,81.0
20190717T04-07,178,80.0
20190717T03-07,181,80.0
20190717T02-07,187,80.0
20190717T01-07,193,80.0
20190717T00-07,196,80.0
20190716T23-07,196,80.0
20190716T22-07,202,84.0
20190716T21-07,242,86.0
20190716T20-07,248,84.0
20190716T19-07,255,88.0
20190716T18-07,264,89.0
20190716T17-07,264,88.0
20190716T16-07,270,84.0
20190716T15-07,264,84.0
20190716T14-07,238,83.0
20190716T13-07,234,72.0
20190716T12-07,228,72.0
20190716T11-07,211,68.0
20190716T10-07,202,68.0
20190716T09-07,205,68.0
20190716T08-07,198,68.0
20190716T07-07,191,68.0
20190716T06-07,190,68.0
20190716T05-07,192,68.0
20190716T04-07,196,68.0
20190716T03-07,197,68.0
20190716T02-07,198,68.0
20190716T01-07,196,68.0
20190716T00-07,196,70.0
20190715T23-07,200,79.0
20190715T22-07,230,84.0
20190715T21-07,282,91.0
20190715T20-07,302,90.0
20190715T19-07,314,91.0
20190715T18-07,316,91.0
20190715T17-07,303,91.0
20190715T16-07,295,91.0
20190715T15-07,259,90.0
20190715T14-07,242,86.0
20190715T13-07,222,84.0
20190715T12-07,218,75.0
20190715T11-07,223,70.0
20190715T10-07,215,70.0
20190715T09-07,198,69.0
20190715T08-07,195,69.0
20190715T07-07,198,69.0
20190715T06-07,194,70.0
20190715T05-07,191,70.0
20190715T04-07,190,69.0
20190715T03-07,185,69.0
20190715T02-07,191,69.0
20190715T01-07,197,70.0
20190715T00-07,186,81.0
20190714T23-07,190,90.0
20190714T22-07,210,90.0
20190714T21-07,248,90.0
20190714T20-07,245,90.0
20190714T19-07,242,92.0
20190714T18-07,234,94.0
20190714T17-07,227,101.0
20190714T16-07,218,92.0
20190714T15-07,204,92.0
20190714T14-07,192,92.0
20190714T13-07,202,92.0
20190714T12-07,195,92.0
20190714T11-07,190,92.0
20190714T10-07,196,92.0
20190714T09-07,190,92.0
20190714T08-07,180,91.0
20190714T07-07,174,92.0
20190714T06-07,174,92.0
20190714T05-07,178,92.0
20190714T04-07,184,92.0
20190714T03-07,186,92.0
20190714T02-07,190,92.0
20190714T01-07,187,92.0
20190714T00-07,187,92.0
20190713T23-07,192,92.0
20190713T22-07,192,92.0
20190713T21-07,216,91.0
20190713T20-07,236,91.0
20190713T19-07,224,91.0
20190713T18-07,225,91.0
20190713T17-07,229,91.0
20190713T16-07,225,92.0
20190713T15-07,195,92.0
20190713T14-07,183,92.0
20190713T13-07,191,91.0
20190713T12-07,187,92.0
20190713T11-07,184,92.0
20190713T10-07,181,92.0
20190713T09-07,177,92.0
20190713T08-07,175,91.0
20190713T07-07,176,91.0
20190713T06-07,176,92.0
20190713T05-07,176,91.0
20190713T04-07,176,91.0
20190713T03-07,178,91.0
20190713T02-07,185,91.0
20190713T01-07,192,91.0
20190713T00-07,195,91.0
20190712T23-07,208,91.0
20190712T22-07,249,91.0
20190712T21-07,267,91.0
20190712T20-07,291,91.0
20190712T19-07,297,92.0
20190712T18-07,280,91.0
20190712T17-07,278,92.0
20190712T16-07,257,92.0
20190712T15-07,261,91.0
20190712T14-07,242,91.0
20190712T13-07,198,91.0
20190712T12-07,199,91.0
20190712T11-07,196,92.0
20190712T10-07,192,92.0
20190712T09-07,191,91.0
20190712T08-07,190,91.0
20190712T07-07,187,91.0
20190712T06-07,186,92.0
20190712T05-07,178,91.0
20190712T04-07,178,91.0
20190712T03-07,180,91.0
20190712T02-07,180,92.0
20190712T01-07,173,91.0
20190712T00-07,189,91.0
20190711T23-07,183,92.0
20190711T22-07,198,101.0
20190711T21-07,215,101.0
20190711T20-07,226,101.0
20190711T19-07,224,100.0
20190711T18-07,225,101.0
20190711T17-07,224,100.0
20190711T16-07,230,87.0
20190711T15-07,235,87.0
20190711T14-07,231,87.0
20190711T13-07,207,87.0
20190711T12-07,210,87.0
20190711T11-07,194,87.0
20190711T10-07,182,87.0
20190711T09-07,181,86.0
20190711T08-07,184,85.0
20190711T07-07,177,85.0
20190711T06-07,175,85.0
20190711T05-07,175,86.0
20190711T04-07,175,86.0
20190711T03-07,180,85.0
20190711T02-07,187,86.0
20190711T01-07,198,85.0
20190711T00-07,198,85.0
20190710T23-07,211,84.0
20190710T22-07,214,86.0
20190710T21-07,210,82.0
20190710T20-07,219,82.0
20190710T19-07,221,88.0
20190710T18-07,206,88.0
20190710T17-07,196,88.0
20190710T16-07,202,84.0
20190710T15-07,168,80.0
20190710T14-07,128,71.0
20190710T13-07,113,70.0
20190710T12-07,70,71.0
20190710T11-07,45,71.0
20190710T10-07,38,70.0
20190710T09-07,54,70.0
20190710T08-07,34,71.0
20190710T07-07,34,70.0
20190710T06-07,34,71.0
20190710T05-07,33,71.0
20190710T04-07,27,70.0
20190710T03-07,26,70.0
20190710T02-07,18,70.0
20190710T01-07,25,71.0
20190710T00-07,36,73.0
20190709T23-07,36,79.0
20190709T22-07,22,87.0
20190709T21-07,22,90.0
20190709T20-07,31,91.0
20190709T19-07,36,91.0
20190709T18-07,33,91.0
20190709T17-07,27,82.0
20190709T16-07,24,72.0
20190709T15-07,20,70.0
20190709T14-07,29,71.0
20190709T13-07,24,70.0
20190709T12-07,25,71.0
20190709T11-07,28,71.0
20190709T10-07,26,70.0
20190709T09-07,33,70.0
20190709T08-07,33,70.0
20190709T07-07,34,70.0
20190709T06-07,37,70.0
20190709T05-07,37,70.0
20190709T04-07,37,71.0
20190709T03-07,37,70.0
20190709T02-07,35,70.0
20190709T01-07,30,71.0
20190709T00-07,46,73.0
20190708T23-07,35,80.0
20190708T22-07,24,72.0
20190708T21-07,25,72.0
20190708T20-07,26,72.0
20190708T19-07,14,76.0
20190708T18-07,16,80.0
20190708T17-07,16,80.0
20190708T16-07,27,74.0
20190708T15-07,32,70.0
20190708T14-07,30,55.0
20190708T13-07,31,71.0
20190708T12-07,32,71.0
20190708T11-07,26,72.0
20190708T10-07,25,72.0
20190708T09-07,25,72.0
20190708T08-07,26,72.0
20190708T07-07,27,71.0
20190708T06-07,24,72.0
20190708T05-07,18,74.0
20190708T04-07,18,72.0
20190708T03-07,18,72.0
20190708T02-07,18,71.0
20190708T01-07,20,72.0
20190708T00-07,30,72.0
20190707T23-07,37,72.0
20190707T22-07,18,71.0
20190707T21-07,19,72.0
20190707T20-07,34,72.0
20190707T19-07,39,72.0
20190707T18-07,39,72.0
20190707T17-07,38,72.0
20190707T16-07,27,72.0
20190707T15-07,17,72.0
20190707T14-07,17,72.0
20190707T13-07,24,72.0
20190707T12-07,28,72.0
20190707T11-07,21,73.0
20190707T10-07,20,73.0
20190707T09-07,21,72.0
20190707T08-07,27,72.0
20190707T07-07,35,72.0
20190707T06-07,32,73.0
20190707T05-07,21,72.0
20190707T04-07,21,72.0
20190707T03-07,24,72.0
20190707T02-07,20,72.0
20190707T01-07,29,72.0
20190707T00-07,33,72.0
20190706T23-07,29,72.0
20190706T22-07,21,72.0
20190706T21-07,26,72.0
20190706T20-07,23,72.0
20190706T19-07,22,72.0
20190706T18-07,23,73.0
20190706T17-07,23,73.0
20190706T16-07,23,73.0
20190706T15-07,23,72.0
20190706T14-07,21,71.0
20190706T13-07,21,71.0
20190706T12-07,27,71.0
20190706T11-07,19,72.0
20190706T10-07,17,72.0
20190706T09-07,18,71.0
20190706T08-07,26,71.0
20190706T07-07,26,71.0
20190706T06-07,26,71.0
20190706T05-07,25,71.0
20190706T04-07,25,71.0
20190706T03-07,24,71.0
20190706T02-07,21,71.0
20190706T01-07,17,72.0
20190706T00-07,24,71.0
20190705T23-07,20,69.0
20190705T22-07,26,71.0
20190705T21-07,30,71.0
20190705T20-07,33,80.0
20190705T19-07,30,85.0
20190705T18-07,32,83.0
20190705T17-07,25,82.0
20190705T16-07,23,82.0
20190705T15-07,20,80.0
20190705T14-07,33,71.0
20190705T13-07,35,70.0
20190705T12-07,42,71.0
20190705T11-07,35,71.0
20190705T10-07,23,71.0
20190705T09-07,17,70.0
20190705T08-07,17,70.0
20190705T07-07,22,70.0
20190705T06-07,22,70.0
20190705T05-07,23,70.0
20190705T04-07,30,70.0
20190705T03-07,31,71.0
20190705T02-07,30,70.0
20190705T01-07,31,70.0
20190705T00-07,40,70.0
20190704T23-07,40,71.0
20190704T22-07,43,70.0
20190704T21-07,40,69.0
20190704T20-07,39,71.0
20190704T19-07,33,70.0
20190704T18-07,26,72.0
20190704T17-07,20,72.0
20190704T16-07,20,72.0
20190704T15-07,20,72.0
20190704T14-07,19,72.0
20190704T13-07,19,72.0
20190704T12-07,18,72.0
20190704T11-07,20,72.0
20190704T10-07,26,72.0
20190704T09-07,27,72.0
20190704T08-07,31,72.0
20190704T07-07,31,72.0
20190704T06-07,31,68.0
20190704T05-07,31,68.0
20190704T04-07,32,68.0
20190704T03-07,32,68.0
20190704T02-07,26,68.0
20190704T01-07,23,68.0
20190704T00-07,24,68.0
20190703T23-07,30,68.0
20190703T22-07,36,73.0
20190703T21-07,35,73.0
20190703T20-07,46,72.0
20190703T19-07,44,74.0
20190703T18-07,41,73.0
20190703T17-07,39,73.0
20190703T16-07,39,74.0
20190703T15-07,38,73.0
20190703T14-07,35,73.0
20190703T13-07,29,73.0
20190703T12-07,28,73.0
20190703T11-07,34,73.0
20190703T10-07,29,73.0
20190703T09-07,27,74.0
20190703T08-07,29,73.0
20190703T07-07,37,68.0
20190703T06-07,36,68.0
20190703T05-07,33,69.0
20190703T04-07,36,68.0
20190703T03-07,36,69.0
20190703T02-07,36,68.0
20190703T01-07,40,68.0
20190703T00-07,31,68.0
20190702T23-07,31,68.0
20190702T22-07,37,68.0
20190702T21-07,24,69.0
20190702T20-07,17,72.0
20190702T19-07,23,73.0
20190702T18-07,31,73.0
20190702T17-07,34,71.0
20190702T16-07,29,70.0
20190702T15-07,31,72.0
20190702T14-07,32,73.0
20190702T13-07,38,72.0
20190702T12-07,31,73.0
20190702T11-07,25,83.0
20190702T10-07,27,84.0
20190702T09-07,32,84.0
20190702T08-07,32,84.0
20190702T07-07,31,83.0
20190702T06-07,34,83.0
20190702T05-07,34,84.0
20190702T04-07,33,84.0
20190702T03-07,26,84.0
20190702T02-07,21,85.0
20190702T01-07,29,84.0
20190702T00-07,36,84.0
20190701T23-07,30,84.0
20190701T22-07,18,83.0
20190701T21-07,25,84.0
20190701T20-07,35,83.0
20190701T19-07,22,84.0
20190701T18-07,26,84.0
20190701T17-07,31,84.0
20190701T16-07,31,84.0
20190701T15-07,32,84.0
20190701T14-07,40,84.0
20190701T13-07,44,84.0
20190701T12-07,36,85.0
20190701T11-07,33,91.0
20190701T10-07,39,89.0
20190701T09-07,36,84.0
20190701T08-07,25,96.0
20190701T07-07,35,96.0
20190701T06-07,34,97.0
20190701T05-07,34,97.0
20190701T04-07,34,97.0
20190701T03-07,34,97.0
20190701T02-07,33,97.0
20190701T01-07,34,97.0
20190701T00-07,34,97.0
20190630T23-07,19,97.0
20190630T22-07,19,97.0
20190630T21-07,20,97.0
20190630T20-07,29,97.0
20190630T19-07,35,98.0
20190630T18-07,34,97.0
20190630T17-07,35,97.0
20190630T16-07,36,96.0
20190630T15-07,40,97.0
20190630T14-07,33,97.0
20190630T13-07,30,97.0
20190630T12-07,34,97.0
20190630T11-07,38,98.0
20190630T10-07,40,97.0
20190630T09-07,42,98.0
20190630T08-07,37,97.0
20190630T07-07,31,97.0
20190630T06-07,30,97.0
20190630T05-07,30,97.0
20190630T04-07,30,97.0
20190630T03-07,30,97.0
20190630T02-07,29,97.0
20190630T01-07,22,97.0
20190630T00-07,24,96.0
20190629T23-07,21,96.0
20190629T22-07,26,97.0
20190629T21-07,22,97.0
20190629T20-07,22,97.0
20190629T19-07,22,96.0
20190629T18-07,23,97.0
20190629T17-07,29,96.0
20190629T16-07,35,95.0
20190629T15-07,47,94.0
20190629T14-07,44,96.0
20190629T13-07,38,97.0
20190629T12-07,38,97.0
20190629T11-07,42,97.0
20190629T10-07,42,97.0
20190629T09-07,42,97.0
20190629T08-07,38,97.0
20190629T07-07,32,97.0
20190629T06-07,31,97.0
20190629T05-07,31,97.0
20190629T04-07,32,97.0
20190629T03-07,34,97.0
20190629T02-07,34,97.0
20190629T01-07,28,97.0
20190629T00-07,32,97.0
20190628T23-07,40,97.0
20190628T22-07,43,96.0
20190628T21-07,45,97.0
20190628T20-07,44,97.0
20190628T19-07,28,97.0
20190628T18-07,25,97.0
20190628T17-07,29,97.0
20190628T16-07,24,96.0
20190628T15-07,57,98.0
20190628T14-07,72,97.0
20190628T13-07,85,97.0
20190628T12-07,90,98.0
20190628T11-07,88,98.0
20190628T10-07,87,97.0
20190628T09-07,84,97.0
20190628T08-07,77,97.0
20190628T07-07,74,97.0
20190628T06-07,68,97.0
20190628T05-07,28,97.0
20190628T04-07,32,97.0
20190628T03-07,33,97.0
20190628T02-07,33,97.0
20190628T01-07,33,97.0
20190628T00-07,33,97.0
20190627T23-07,29,97.0
20190627T22-07,33,97.0
20190627T21-07,59,97.0
20190627T20-07,61,97.0
20190627T19-07,70,97.0
20190627T18-07,83,97.0
20190627T17-07,84,98.0
20190627T16-07,82,97.0
20190627T15-07,82,97.0
20190627T14-07,82,97.0
20190627T13-07,78,97.0
20190627T12-07,74,97.0
20190627T11-07,75,97.0
20190627T10-07,79,96.0
20190627T09-07,80,96.0
