,natural gas,hydro
20191227T13-08,138,14.0
20191227T12-08,139,14.0
20191227T11-08,140,13.0
20191227T10-08,139,13.0
20191227T09-08,136,13.0
20191227T08-08,141,13.0
20191227T07-08,134,14.0
20191227T06-08,117,14.0
20191227T05-08,108,14.0
20191227T04-08,98,14.0
20191227T03-08,101,14.0
20191227T02-08,103,14.0
20191227T01-08,106,14.0
20191227T00-08,114,13.0
20191226T23-08,161,13.0
20191226T22-08,206,13.0
20191226T21-08,209,13.0
20191226T20-08,218,13.0
20191226T19-08,227,13.0
20191226T18-08,227,14.0
20191226T17-08,210,14.0
20191226T16-08,162,14.0
20191226T15-08,160,14.0
20191226T14-08,160,13.0
20191226T13-08,159,13.0
20191226T12-08,162,13.0
20191226T11-08,158,14.0
20191226T10-08,151,14.0
20191226T09-08,158,14.0
20191226T08-08,160,14.0
20191226T07-08,148,15.0
20191226T06-08,126,13.0
20191226T05-08,93,13.0
20191226T04-08,93,13.0
20191226T03-08,93,13.0
20191226T02-08,90,13.0
20191226T01-08,82,13.0
20191226T00-08,87,13.0
20191225T23-08,88,13.0
20191225T22-08,90,14.0
20191225T21-08,92,14.0
20191225T20-08,93,14.0
20191225T19-08,92,14.0
20191225T18-08,92,14.0
20191225T17-08,92,15.0
20191225T16-08,105,15.0
20191225T15-08,108,14.0
20191225T14-08,108,13.0
20191225T13-08,104,13.0
20191225T12-08,104,13.0
20191225T11-08,102,13.0
20191225T10-08,97,13.0
20191225T09-08,96,13.0
20191225T08-08,90,14.0
20191225T07-08,84,16.0
20191225T06-08,82,13.0
20191225T05-08,82,12.0
20191225T04-08,86,12.0
20191225T03-08,87,12.0
20191225T02-08,91,12.0
20191225T01-08,93,12.0
20191225T00-08,98,12.0
20191224T23-08,127,12.0
20191224T22-08,172,12.0
20191224T21-08,176,12.0
20191224T20-08,182,12.0
20191224T19-08,184,12.0
20191224T18-08,185,12.0
20191224T17-08,164,12.0
20191224T16-08,146,14.0
20191224T15-08,142,13.0
20191224T14-08,137,13.0
20191224T13-08,137,13.0
20191224T12-08,137,13.0
20191224T11-08,140,14.0
20191224T10-08,150,14.0
20191224T09-08,158,14.0
20191224T08-08,156,14.0
20191224T07-08,150,14.0
20191224T06-08,146,14.0
20191224T05-08,122,14.0
20191224T04-08,105,14.0
20191224T03-08,100,14.0
20191224T02-08,94,13.0
20191224T01-08,97,13.0
