,Demand1
20191102T10-04,22285
20191102T09-04,19942
20191102T08-04,18400
20191102T07-04,17582
20191102T06-04,16973
20191102T05-04,16817
20191102T04-04,17091
20191102T03-04,17660
20191102T02-04,18659
20191102T01-04,19998
20191102T00-04,17612
20191101T23-04,18460
20191101T22-04,24320
20191101T21-04,29331
20191101T20-04,30835
20191101T19-04,31445
20191101T18-04,32755
20191101T17-04,33760
20191101T16-04,33840
20191101T15-04,33198
20191101T14-04,32073
20191101T13-04,30596
20191101T12-04,29146
20191101T11-04,27541
20191101T10-04,25698
20191101T09-04,23968
20191101T08-04,23255
20191101T07-04,22478
20191101T06-04,20844
20191101T05-04,20021
20191101T04-04,20168
20191101T03-04,20875
20191101T02-04,21998
20191101T01-04,23597
20191101T00-04,24198
20191031T23-04,28819
20191031T22-04,31629
20191031T21-04,32222
20191031T20-04,34227
20191031T19-04,35960
20191031T18-04,38431
20191031T17-04,39537
20191031T16-04,39311
20191031T15-04,38445
20191031T14-04,37130
20191031T13-04,35239
20191031T12-04,33071
20191031T11-04,30572
20191031T10-04,27988
20191031T09-04,25498
20191031T08-04,24620
20191031T07-04,23718
20191031T06-04,21776
20191031T05-04,20764
20191031T04-04,20841
20191031T03-04,21544
20191031T02-04,22716
20191031T01-04,24387
20191031T00-04,27399
20191030T23-04,30252
20191030T22-04,33039
20191030T21-04,35287
20191030T20-04,37252
20191030T19-04,37908
20191030T18-04,39544
20191030T17-04,40477
20191030T16-04,40175
20191030T15-04,38961
20191030T14-04,38754
20191030T13-04,36503
20191030T12-04,34453
20191030T11-04,32154
20191030T10-04,29745
20191030T09-04,27351
20191030T08-04,26487
20191030T07-04,25533
20191030T06-04,23499
20191030T05-04,22390
20191030T04-04,22421
20191030T03-04,23037
20191030T02-04,24005
20191030T01-04,25675
20191030T00-04,27776
20191029T23-04,30615
20191029T22-04,33480
20191029T21-04,35912
20191029T20-04,37859
20191029T19-04,38517
20191029T18-04,40162
20191029T17-04,41234
20191029T16-04,41132
20191029T15-04,40156
20191029T14-04,39265
20191029T13-04,37519
20191029T12-04,35290
20191029T11-04,32826
20191029T10-04,30130
20191029T09-04,27683
20191029T08-04,26778
20191029T07-04,25729
20191029T06-04,23540
20191029T05-04,22426
20191029T04-04,22451
20191029T03-04,23076
20191029T02-04,24205
20191029T01-04,25879
20191029T00-04,28173
20191028T23-04,31081
20191028T22-04,33908
20191028T21-04,36368
