,Demand
20191110T13Z,3227
20191110T12Z,3164
20191110T11Z,3088
20191110T10Z,2984
20191110T09Z,2894
20191110T08Z,2854
20191110T07Z,2797
20191110T06Z,2793
20191110T05Z,2812
20191110T04Z,2800
20191110T03Z,2809
20191110T02Z,2826
20191110T01Z,2812
20191110T00Z,2797
20191109T23Z,2657
20191109T22Z,2482
20191109T21Z,2416
20191109T20Z,2436
20191109T19Z,2490
20191109T18Z,2571
20191109T17Z,2705
20191109T16Z,2892
20191109T15Z,3071
20191109T14Z,3171
20191109T13Z,3105
20191109T12Z,2973
20191109T11Z,2832
20191109T10Z,2642
20191109T09Z,2553
20191109T08Z,2532
20191109T07Z,2571
20191109T06Z,2538
20191109T05Z,2580
20191109T04Z,2627
20191109T03Z,2687
20191109T02Z,2684
20191109T01Z,2714
20191109T00Z,2639
20191108T23Z,2530
20191108T22Z,2282
20191108T21Z,2225
20191108T20Z,2147
20191108T19Z,2218
20191108T18Z,2280
20191108T17Z,2267
20191108T16Z,2362
20191108T15Z,2396
20191108T14Z,2302
20191108T13Z,2284
20191108T12Z,2237
20191108T11Z,2031
20191108T10Z,1964
20191108T09Z,1954
20191108T08Z,2004
20191108T07Z,2046
20191108T06Z,2128
20191108T05Z,2201
20191108T04Z,2303
20191108T03Z,2447
20191108T02Z,2554
20191108T01Z,2611
20191108T00Z,2662
20191107T23Z,2602
20191107T22Z,2482
20191107T21Z,2447
20191107T20Z,2430
20191107T19Z,2417
20191107T18Z,2309
20191107T17Z,2274
20191107T16Z,2255
20191107T15Z,2270
20191107T14Z,2402
20191107T13Z,2428
20191107T12Z,2428
20191107T11Z,2205
20191107T10Z,2076
20191107T09Z,2062
20191107T08Z,2058
20191107T07Z,2051
20191107T06Z,2110
20191107T05Z,2204
20191107T04Z,2267
20191107T03Z,2455
20191107T02Z,2517
20191107T01Z,2612
20191107T00Z,2653
20191106T23Z,2500
20191106T22Z,2437
20191106T21Z,2422
20191106T20Z,2363
20191106T19Z,2393
20191106T18Z,2490
20191106T17Z,2343
20191106T16Z,2310
20191106T15Z,2267
20191106T14Z,2271
20191106T13Z,2367
20191106T12Z,2348
20191106T11Z,2126
20191106T10Z,2017
20191106T09Z,2062
20191106T08Z,1915
20191106T07Z,2005
20191106T06Z,2035
20191106T05Z,2125
20191106T04Z,2268
20191106T03Z,2363
20191106T02Z,2524
20191106T01Z,2607
20191106T00Z,2650
20191105T23Z,2536
20191105T22Z,2450
20191105T21Z,2374
20191105T20Z,2289
20191105T19Z,2359
20191105T18Z,2339
20191105T17Z,2323
20191105T16Z,2322
20191105T15Z,2357
20191105T14Z,2336
20191105T13Z,2397
20191105T12Z,2404
20191105T11Z,2221
20191105T10Z,2092
20191105T09Z,2039
20191105T08Z,2048
20191105T07Z,2003
20191105T06Z,2090
20191105T05Z,2189
20191105T04Z,2325
20191105T03Z,2437
20191105T02Z,2556
20191105T01Z,2600
20191105T00Z,2619
20191104T23Z,2522
20191104T22Z,2366
20191104T21Z,2330
20191104T20Z,2291
20191104T19Z,2287
20191104T18Z,2359
20191104T17Z,2424
20191104T16Z,2493
20191104T15Z,2646
20191104T14Z,2813
20191104T13Z,2886
20191104T12Z,2893
20191104T11Z,2681
20191104T10Z,2482
20191104T09Z,2339
20191104T08Z,2345
20191104T07Z,2359
20191104T06Z,2328
20191104T04Z,
20191104T03Z,
20191104T02Z,
20191104T01Z,
20191104T00Z,
20191103T23Z,
20191103T22Z,
20191103T21Z,
20191103T20Z,
20191103T19Z,
20191103T18Z,
20191103T17Z,
20191103T16Z,
20191103T15Z,
20191103T14Z,
20191103T13Z,
20191103T12Z,
20191103T11Z,
20191103T10Z,
20191103T09Z,
20191103T08Z,
20191103T07Z,
20191103T06Z,
20191103T05Z,
20191103T04Z,2291
20191103T03Z,2365
20191103T02Z,2443
20191103T01Z,2439
20191103T00Z,2486
20191102T23Z,2393
20191102T22Z,2269
20191102T21Z,2268
20191102T20Z,2247
20191102T19Z,2222
20191102T18Z,2260
20191102T17Z,2339
20191102T16Z,2424
20191102T15Z,2586
20191102T14Z,2660
20191102T13Z,2677
20191102T12Z,2540
20191102T11Z,2432
20191102T10Z,2293
20191102T09Z,2235
20191102T08Z,2188
20191102T07Z,2157
20191102T06Z,2195
20191102T05Z,2224
20191102T04Z,2309
20191102T03Z,2369
20191102T02Z,2425
20191102T01Z,2443
20191102T00Z,2393
20191101T23Z,2374
20191101T22Z,2299
20191101T21Z,2390
20191101T20Z,2161
20191101T19Z,2244
20191101T18Z,2291
20191101T17Z,2308
20191101T16Z,2330
20191101T15Z,2349
