,Demand
20191102T11Z,4132
20191102T10Z,3922
20191102T09Z,3834
20191102T08Z,3844
20191102T07Z,3951
20191102T06Z,4146
20191102T05Z,4485
20191102T04Z,5068
20191102T03Z,5562
20191102T02Z,6007
20191102T01Z,6387
20191102T00Z,6710
20191101T23Z,6835
20191101T22Z,7152
20191101T21Z,7364
20191101T20Z,7358
20191101T19Z,7167
20191101T18Z,6849
20191101T17Z,6461
20191101T16Z,6167
20191101T15Z,5887
20191101T14Z,5604
20191101T13Z,5424
20191101T12Z,5431
20191101T11Z,5212
20191101T10Z,4843
20191101T09Z,4692
20191101T08Z,4764
20191101T07Z,4945
20191101T06Z,5224
20191101T05Z,5636
20191101T04Z,6069
20191101T03Z,6828
20191101T02Z,7489
20191101T01Z,7859
20191101T00Z,8308
20191031T23Z,8813
20191031T22Z,9486
20191031T21Z,9726
20191031T20Z,9585
20191031T19Z,9365
20191031T18Z,9018
20191031T17Z,8472
20191031T16Z,7880
20191031T15Z,7157
20191031T14Z,6502
20191031T13Z,5972
20191031T12Z,5824
20191031T11Z,5522
20191031T10Z,5027
20191031T09Z,4765
20191031T08Z,4776
20191031T07Z,4935
20191031T06Z,5214
20191031T05Z,5643
20191031T04Z,5640
20191031T03Z,6251
20191031T02Z,6917
20191031T01Z,7540
20191031T00Z,8109
20191030T23Z,8351
20191030T22Z,8806
20191030T21Z,9053
20191030T20Z,8961
20191030T19Z,8650
20191030T18Z,8973
20191030T17Z,8016
20191030T16Z,7479
20191030T15Z,6981
20191030T14Z,6414
20191030T13Z,5924
20191030T12Z,5779
20191030T11Z,5554
20191030T10Z,5055
20191030T09Z,4833
20191030T08Z,4834
20191030T07Z,4960
20191030T06Z,5187
20191030T05Z,5573
20191030T04Z,6134
20191030T03Z,6846
20191030T02Z,7564
20191030T01Z,8202
20191030T00Z,8734
20191029T23Z,8986
20191029T22Z,9522
20191029T21Z,9751
20191029T20Z,9663
20191029T19Z,9425
20191029T18Z,9024
20191029T17Z,8546
20191029T16Z,7899
20191029T15Z,7245
20191029T14Z,6585
20191029T13Z,6120
20191029T12Z,5989
20191029T11Z,5687
