,Demand1
20191225T05-05,14345
20191225T04-05,14312
20191225T03-05,14481
20191225T02-05,14831
20191225T01-05,15349
20191225T00-05,16040
20191224T23-05,16766
20191224T22-05,17375
20191224T21-05,17766
20191224T20-05,18136
20191224T19-05,18623
20191224T18-05,19032
20191224T17-05,18283
20191224T16-05,17545
20191224T15-05,17238
20191224T14-05,17104
20191224T13-05,17172
20191224T12-05,17438
20191224T11-05,17659
20191224T10-05,17741
20191224T09-05,17594
20191224T08-05,16975
20191224T07-05,15946
20191224T06-05,14815
20191224T05-05,14185
20191224T04-05,14031
20191224T03-05,14142
20191224T02-05,14475
20191224T01-05,15116
20191224T00-05,16160
20191223T23-05,17334
20191223T22-05,18318
20191223T21-05,18967
20191223T20-05,19385
20191223T19-05,19708
20191223T18-05,19892
20191223T17-05,18926
20191223T16-05,18073
20191223T15-05,17773
20191223T14-05,17688
20191223T13-05,17727
20191223T12-05,17944
20191223T11-05,18228
20191223T10-05,18489
20191223T09-05,18502
20191223T08-05,17997
20191223T07-05,16901
20191223T06-05,15549
20191223T05-05,14788
20191223T04-05,14531
20191223T03-05,14608
20191223T02-05,14881
20191223T01-05,15434
20191223T00-05,16344
20191222T23-05,17435
20191222T22-05,18394
20191222T21-05,18975
20191222T20-05,19305
20191222T19-05,19561
20191222T18-05,19587
20191222T17-05,18463
20191222T16-05,17478
20191222T15-05,17206
20191222T14-05,17139
20191222T13-05,17227
20191222T12-05,17400
20191222T11-05,17570
20191222T10-05,17634
20191222T09-05,17441
20191222T08-05,16842
20191222T07-05,16226
20191222T06-05,15748
20191222T05-05,15536
20191222T04-05,15545
20191222T03-05,15708
20191222T02-05,16072
20191222T01-05,16688
20191222T00-05,17551
20191221T23-05,18498
20191221T22-05,19300
20191221T21-05,19874
20191221T20-05,20190
20191221T19-05,20455
20191221T18-05,20499
20191221T17-05,19602
20191221T16-05,18903
20191221T15-05,18753
20191221T14-05,18815
20191221T13-05,19058
20191221T12-05,19376
20191221T11-05,19495
20191221T10-05,19439
20191221T09-05,18954
20191221T08-05,18294
20191221T07-05,17468
20191221T06-05,16824
20191221T05-05,16489
20191221T04-05,16455
20191221T03-05,16678
20191221T02-05,17037
20191221T01-05,17663
20191221T00-05,18611
20191220T23-05,19686
20191220T22-05,20703
20191220T21-05,21326
20191220T20-05,21751
20191220T19-05,22075
20191220T18-05,22236
20191220T17-05,21262
20191220T16-05,20292
20191220T15-05,20003
20191220T14-05,20035
20191220T13-05,20202
20191220T12-05,20529
20191220T11-05,20790
20191220T10-05,21015
20191220T09-05,20966
20191220T08-05,20654
20191220T07-05,19502
20191220T06-05,17920
20191220T05-05,16979
20191220T04-05,16739
20191220T03-05,16880
20191220T02-05,17222
20191220T01-05,17841
20191220T00-05,18808
