,Demand1
20191205T04-05,573
20191205T03-05,566
20191205T02-05,567
20191205T01-05,587
20191205T00-05,621
20191204T23-05,645
20191204T22-05,684
20191204T21-05,716
20191204T20-05,726
20191204T19-05,723
20191204T18-05,684
20191204T17-05,627
20191204T16-05,600
20191204T15-05,600
20191204T14-05,613
20191204T13-05,630
20191204T12-05,656
20191204T11-05,703
20191204T10-05,777
20191204T09-05,827
20191204T08-05,840
20191204T07-05,816
20191204T06-05,728
20191204T05-05,690
20191204T04-05,670
20191204T03-05,662
20191204T02-05,664
20191204T01-05,661
20191204T00-05,685
20191203T23-05,721
20191203T22-05,755
20191203T21-05,779
20191203T20-05,800
20191203T19-05,787
20191203T18-05,750
20191203T17-05,677
20191203T16-05,657
20191203T15-05,647
20191203T14-05,683
20191203T13-05,704
20191203T12-05,757
20191203T11-05,775
20191203T10-05,806
20191203T09-05,842
20191203T08-05,834
20191203T07-05,798
20191203T06-05,728
20191203T05-05,688
20191203T04-05,674
20191203T03-05,667
20191203T02-05,667
20191203T01-05,678
20191203T00-05,698
20191202T23-05,737
20191202T22-05,790
20191202T21-05,821
20191202T20-05,840
20191202T19-05,840
20191202T18-05,817
20191202T17-05,748
20191202T16-05,727
20191202T15-05,716
20191202T14-05,710
20191202T13-05,715
20191202T12-05,743
20191202T11-05,764
20191202T10-05,765
20191202T09-05,770
20191202T08-05,742
20191202T07-05,686
20191202T06-05,609
20191202T05-05,564
20191202T04-05,531
20191202T03-05,516
20191202T02-05,510
20191202T01-05,509
20191202T00-05,521
20191201T23-05,540
20191201T22-05,566
20191201T21-05,584
20191201T20-05,593
20191201T19-05,584
20191201T18-05,560
20191201T17-05,507
20191201T16-05,484
20191201T15-05,482
20191201T14-05,487
20191201T13-05,492
20191201T12-05,495
20191201T11-05,510
20191201T10-05,517
20191201T09-05,517
20191201T08-05,481
20191201T07-05,448
20191201T06-05,421
20191201T05-05,407
20191201T04-05,402
20191201T03-05,409
20191201T02-05,410
20191201T01-05,430
20191201T00-05,454
20191130T23-05,485
20191130T22-05,515
20191130T21-05,551
20191130T20-05,556
20191130T19-05,558
20191130T18-05,541
20191130T17-05,526
20191130T16-05,497
20191130T15-05,494
20191130T14-05,510
20191130T13-05,527
20191130T12-05,540
20191130T11-05,554
20191130T10-05,558
20191130T09-05,539
20191130T08-05,508
20191130T07-05,469
20191130T06-05,446
20191130T05-05,429
20191130T04-05,423
20191130T03-05,424
20191130T02-05,427
20191130T01-05,443
20191130T00-05,472
20191129T23-05,504
20191129T22-05,522
20191129T21-05,551
20191129T20-05,553
20191129T19-05,557
20191129T18-05,542
20191129T17-05,516
20191129T16-05,500
20191129T15-05,503
20191129T14-05,502
20191129T13-05,519
20191129T12-05,537
20191129T11-05,564
20191129T10-05,581
20191129T09-05,574
20191129T08-05,550
20191129T07-05,531
20191129T06-05,498
20191129T05-05,479
20191129T04-05,470
20191129T03-05,469
20191129T02-05,472
20191129T01-05,487
20191129T00-05,506
20191128T23-05,528
20191128T22-05,546
20191128T21-05,557
20191128T20-05,554
20191128T19-05,544
20191128T18-05,524
20191128T17-05,496
20191128T16-05,499
20191128T15-05,506
20191128T14-05,536
20191128T13-05,579
20191128T12-05,621
20191128T11-05,649
