,Demand1
20191025T17-04,1914
20191025T16-04,1861
20191025T15-04,1898
20191025T14-04,1859
20191025T13-04,1781
20191025T12-04,1721
20191025T11-04,1629
20191025T10-04,1520
20191025T09-04,1423
20191025T08-04,1369
20191025T07-04,1297
20191025T06-04,1187
20191025T05-04,1105
20191025T04-04,1086
20191025T03-04,1097
20191025T02-04,1128
20191025T01-04,1175
20191025T00-04,1294
20191024T23-04,1423
20191024T22-04,1558
20191024T21-04,1656
20191024T20-04,1717
20191024T19-04,1677
20191024T18-04,1673
20191024T17-04,1658
20191024T16-04,1612
20191024T15-04,1622
20191024T14-04,1544
20191024T13-04,1534
20191024T12-04,1484
20191024T11-04,1420
20191024T10-04,1355
20191024T09-04,1306
20191024T08-04,1298
20191024T07-04,1231
20191024T06-04,1062
20191024T05-04,976
20191024T04-04,944
20191024T03-04,943
20191024T02-04,972
20191024T01-04,1034
20191024T00-04,
20191023T23-04,
20191023T22-04,
20191023T21-04,
20191023T20-04,
20191023T19-04,
20191023T18-04,
20191023T17-04,
20191023T16-04,
20191023T15-04,
20191023T14-04,
20191023T13-04,1366
20191023T12-04,1324
20191023T11-04,1296
20191023T10-04,1251
20191023T09-04,1219
20191023T08-04,1222
20191023T07-04,1146
20191023T06-04,1049
20191023T05-04,964
20191023T04-04,963
20191023T03-04,1008
20191023T02-04,1070
20191023T01-04,1176
20191023T00-04,1314
20191022T23-04,1493
20191022T22-04,1635
20191022T21-04,1741
20191022T20-04,1819
20191022T19-04,1815
20191022T18-04,1835
20191022T17-04,1843
20191022T16-04,1934
20191022T15-04,2012
20191022T14-04,2049
20191022T13-04,1968
20191022T12-04,1851
20191022T11-04,1610
20191022T10-04,1615
20191022T09-04,1535
20191022T08-04,1520
20191022T07-04,1444
20191022T06-04,1296
20191022T05-04,1185
20191022T04-04,1160
20191022T03-04,1164
20191022T02-04,1207
20191022T01-04,1272
20191022T00-04,1363
20191021T23-04,1497
20191021T22-04,1617
20191021T21-04,1718
20191021T20-04,1759
20191021T19-04,1747
20191021T18-04,1704
20191021T17-04,1697
20191021T16-04,1697
20191021T15-04,1684
20191021T14-04,1660
20191021T13-04,1614
20191021T12-04,1547
20191021T11-04,1442
20191021T10-04,1331
20191021T09-04,1250
20191021T08-04,1227
20191021T07-04,1158
20191021T06-04,1022
20191021T05-04,933
20191021T04-04,907
20191021T03-04,922
20191021T02-04,963
20191021T01-04,1039
20191021T00-04,1141
20191020T23-04,1280
20191020T22-04,1420
20191020T21-04,1543
20191020T20-04,1636
