,Demand
20191102T11Z,2353
20191102T10Z,2360
20191102T09Z,2404
20191102T08Z,2466
20191102T07Z,2579
20191102T06Z,2723
20191102T05Z,2826
20191102T04Z,2912
20191102T03Z,2952
20191102T02Z,3023
20191102T01Z,2925
20191102T00Z,2711
20191101T23Z,2500
20191101T22Z,2380
20191101T21Z,2291
20191101T20Z,2266
20191101T19Z,2277
20191101T18Z,2361
20191101T17Z,2535
20191101T16Z,2754
20191101T15Z,3010
20191101T14Z,3024
20191101T13Z,2768
20191101T12Z,2567
20191101T11Z,2464
20191101T10Z,2441
20191101T09Z,2459
20191101T08Z,2495
20191101T07Z,2574
20191101T06Z,2739
20191101T05Z,2873
20191101T04Z,2906
20191101T03Z,2866
20191101T02Z,2927
20191101T01Z,2890
20191101T00Z,2671
20191031T23Z,2457
20191031T22Z,2312
20191031T21Z,2237
20191031T20Z,2221
20191031T19Z,2208
20191031T18Z,2387
20191031T17Z,2562
20191031T16Z,2811
20191031T15Z,3074
20191031T14Z,3130
20191031T13Z,2822
20191031T12Z,2586
20191031T11Z,2484
20191031T10Z,2459
20191031T09Z,2495
20191031T08Z,2538
20191031T07Z,2635
20191031T06Z,2812
20191031T05Z,2981
20191031T04Z,3080
20191031T03Z,3110
20191031T02Z,3110
20191031T01Z,2913
20191031T00Z,2625
20191030T23Z,2400
20191030T22Z,2274
20191030T21Z,2211
20191030T20Z,2216
20191030T19Z,2241
20191030T18Z,2364
20191030T17Z,2540
20191030T16Z,2784
20191030T15Z,2943
20191030T14Z,2958
20191030T13Z,2694
20191030T12Z,2492
20191030T11Z,2396
20191030T10Z,2391
20191030T09Z,2410
20191030T08Z,2463
20191030T07Z,2560
20191030T06Z,2746
20191030T05Z,2920
20191030T04Z,3039
20191030T03Z,3074
20191030T02Z,3109
20191030T01Z,2950
20191030T00Z,2708
20191029T23Z,2484
20191029T22Z,2341
20191029T21Z,2269
20191029T20Z,2230
20191029T19Z,2255
20191029T18Z,2343
20191029T17Z,2465
20191029T16Z,2644
20191029T15Z,2864
20191029T14Z,2897
20191029T13Z,2635
20191029T12Z,2433
20191029T11Z,2341
20191029T10Z,2353
20191029T09Z,2368
20191029T08Z,2435
20191029T07Z,2545
20191029T06Z,2729
20191029T05Z,2920
20191029T04Z,3044
20191029T03Z,3106
20191029T02Z,3169
20191029T01Z,3028
20191029T00Z,2824
20191028T23Z,2609
20191028T22Z,2482
20191028T21Z,2387
20191028T20Z,2333
20191028T19Z,2330
20191028T18Z,2375
20191028T17Z,2567
20191028T16Z,2644
20191028T15Z,2789
20191028T14Z,2824
20191028T13Z,2589
20191028T12Z,2409
20191028T11Z,2365
20191028T10Z,2377
20191028T09Z,2439
20191028T08Z,2533
20191028T07Z,2661
20191028T06Z,2857
20191028T05Z,3117
20191028T04Z,3278
20191028T03Z,3387
20191028T02Z,3473
20191028T01Z,3396
20191028T00Z,3233
20191027T23Z,3010
20191027T22Z,2772
20191027T21Z,2569
20191027T20Z,2421
20191027T19Z,2345
20191027T18Z,2290
20191027T17Z,2327
20191027T16Z,2369
20191027T15Z,2410
20191027T14Z,2419
20191027T13Z,2341
20191027T12Z,2303
20191027T11Z,2296
20191027T10Z,2336
20191027T09Z,2389
20191027T08Z,2460
20191027T07Z,2573
20191027T06Z,2755
20191027T05Z,2905
20191027T04Z,3025
20191027T03Z,3132
20191027T02Z,3278
20191027T01Z,3271
20191027T00Z,3185
20191026T23Z,2948
20191026T22Z,2718
20191026T21Z,2514
20191026T20Z,2389
20191026T19Z,2320
20191026T18Z,2300
20191026T17Z,2345
20191026T16Z,2416
20191026T15Z,2469
20191026T14Z,2491
20191026T13Z,2397
20191026T12Z,2326
20191026T11Z,2314
20191026T10Z,2346
20191026T09Z,2402
20191026T08Z,2492
20191026T07Z,2616
20191026T06Z,2796
20191026T05Z,2959
20191026T04Z,3075
20191026T03Z,3137
20191026T02Z,3272
20191026T01Z,3257
20191026T00Z,3161
20191025T23Z,2963
20191025T22Z,2787
20191025T21Z,2623
20191025T20Z,2508
20191025T19Z,2457
20191025T18Z,2366
20191025T17Z,2540
20191025T16Z,2668
20191025T15Z,2787
20191025T14Z,2803
20191025T13Z,2586
20191025T12Z,2416
20191025T11Z,2346
20191025T10Z,2367
20191025T09Z,2640
20191025T08Z,2564
20191025T07Z,2625
20191025T06Z,2864
20191025T05Z,3052
20191025T04Z,3219
20191025T03Z,3299
20191025T02Z,3393
20191025T01Z,3323
20191025T00Z,3231
20191024T23Z,3059
20191024T22Z,2968
20191024T21Z,2797
20191024T20Z,2676
20191024T19Z,2602
20191024T18Z,2571
20191024T17Z,2615
20191024T16Z,2694
20191024T15Z,2812
20191024T14Z,2828
20191024T13Z,2605
20191024T12Z,2430
20191024T11Z,2368
20191024T10Z,2415
20191024T09Z,2476
20191024T08Z,2586
20191024T07Z,2746
20191024T06Z,2993
20191024T05Z,3254
20191024T04Z,3468
20191024T03Z,3590
20191024T02Z,3714
20191024T01Z,3723
20191024T00Z,3631
20191023T23Z,3449
20191023T22Z,3239
20191023T21Z,3009
20191023T20Z,2791
20191023T19Z,2627
20191023T18Z,2549
20191023T17Z,2553
20191023T16Z,2632
20191023T15Z,2760
20191023T14Z,2780
20191023T13Z,2577
20191023T12Z,2399
20191023T11Z,2344
20191023T10Z,2371
20191023T09Z,2427
20191023T08Z,2551
20191023T07Z,2707
20191023T06Z,2961
20191023T05Z,3244
20191023T04Z,3446
20191023T03Z,3545
20191023T02Z,3686
20191023T01Z,3705
20191023T00Z,3611
20191022T23Z,3426
20191022T22Z,3231
20191022T21Z,3003
20191022T20Z,2787
20191022T19Z,2629
20191022T18Z,2547
20191022T17Z,2563
20191022T16Z,2624
20191022T15Z,2752
20191022T14Z,2770
20191022T13Z,2569
20191022T12Z,2377
20191022T11Z,2325
20191022T10Z,2372
20191022T09Z,2431
20191022T08Z,2528
20191022T07Z,2656
20191022T06Z,2891
20191022T05Z,3137
20191022T04Z,3338
20191022T03Z,3434
20191022T02Z,3558
20191022T01Z,3501
20191022T00Z,3371
20191021T23Z,3176
20191021T22Z,2979
20191021T21Z,2792
20191021T20Z,2624
20191021T19Z,2538
20191021T18Z,2499
20191021T17Z,2529
20191021T16Z,2638
20191021T15Z,2781
20191021T14Z,2795
20191021T13Z,2577
20191021T12Z,2381
20191021T11Z,2306
20191021T10Z,2305
20191021T09Z,2373
20191021T08Z,2453
20191021T07Z,2590
20191021T06Z,2807
20191021T05Z,3029
20191021T04Z,3217
20191021T03Z,3332
20191021T02Z,3440
20191021T01Z,3400
20191021T00Z,3250
20191020T23Z,3029
20191020T22Z,2796
20191020T21Z,2582
20191020T20Z,2396
20191020T19Z,2301
20191020T18Z,2262
20191020T17Z,2276
20191020T16Z,2321
20191020T15Z,2368
20191020T14Z,2392
20191020T13Z,2332
20191020T12Z,2267
20191020T11Z,2283
20191020T10Z,2312
20191020T09Z,2377
20191020T08Z,2467
20191020T07Z,2600
20191020T06Z,2777
20191020T05Z,2939
20191020T04Z,3085
20191020T03Z,3223
20191020T02Z,3373
20191020T01Z,3365
20191020T00Z,3281
20191019T23Z,3079
20191019T22Z,2880
20191019T21Z,2659
20191019T20Z,2511
20191019T19Z,2413
20191019T18Z,2354
20191019T17Z,2359
20191019T16Z,2421
20191019T15Z,2473
20191019T14Z,2487
20191019T13Z,2421
20191019T12Z,2352
20191019T11Z,2358
20191019T10Z,2406
20191019T09Z,2471
20191019T08Z,2591
20191019T07Z,2754
20191019T06Z,2964
20191019T05Z,3177
20191019T04Z,3328
20191019T03Z,3423
20191019T02Z,3564
20191019T01Z,3580
20191019T00Z,3555
20191018T23Z,3408
20191018T22Z,3271
20191018T21Z,3099
20191018T20Z,2928
20191018T19Z,2833
20191018T18Z,2771
20191018T17Z,2746
20191018T16Z,2792
20191018T15Z,2870
20191018T14Z,2873
20191018T13Z,2716
20191018T12Z,2595
20191018T11Z,2575
