,Demand
20191102T11Z,2066
20191102T10Z,2052
20191102T09Z,2035
20191102T08Z,2087
20191102T07Z,2160
20191102T06Z,2286
20191102T05Z,2395
20191102T04Z,2477
20191102T03Z,2532
20191102T02Z,2510
20191102T01Z,2387
20191102T00Z,2298
20191101T23Z,2294
20191101T22Z,2350
20191101T21Z,2431
20191101T20Z,2535
20191101T19Z,2664
20191101T18Z,2858
20191101T17Z,3050
20191101T16Z,3208
20191101T15Z,3224
20191101T14Z,2965
20191101T13Z,2606
20191101T12Z,2364
20191101T11Z,2243
20191101T10Z,2218
20191101T09Z,2208
20191101T08Z,2232
20191101T07Z,2281
20191101T06Z,2428
20191101T05Z,2565
20191101T04Z,2580
20191101T03Z,2577
20191101T02Z,2565
20191101T01Z,2472
20191101T00Z,2399
20191031T23Z,2402
20191031T22Z,2444
20191031T21Z,2522
20191031T20Z,2638
20191031T19Z,2808
20191031T18Z,3015
20191031T17Z,3176
20191031T16Z,3317
20191031T15Z,3360
20191031T14Z,3153
20191031T13Z,2771
20191031T12Z,2494
20191031T11Z,2377
20191031T10Z,2326
20191031T09Z,2299
20191031T08Z,2320
20191031T07Z,2405
20191031T06Z,2555
20191031T05Z,2724
20191031T04Z,2834
20191031T03Z,2878
20191031T02Z,2806
20191031T01Z,2604
20191031T00Z,2495
20191030T23Z,2450
20191030T22Z,2506
20191030T21Z,2604
20191030T20Z,2737
20191030T19Z,2844
20191030T18Z,3040
20191030T17Z,3242
20191030T16Z,3497
20191030T15Z,3521
20191030T14Z,3277
20191030T13Z,2869
20191030T12Z,2581
20191030T11Z,2488
20191030T10Z,2413
20191030T09Z,2370
20191030T08Z,2418
20191030T07Z,2454
20191030T06Z,2603
20191030T05Z,2796
20191030T04Z,2924
20191030T03Z,2964
20191030T02Z,2915
20191030T01Z,2683
20191030T00Z,2540
20191029T23Z,2498
20191029T22Z,2547
20191029T21Z,2623
20191029T20Z,2691
20191029T19Z,2771
20191029T18Z,2912
20191029T17Z,3065
20191029T16Z,3208
20191029T15Z,3262
20191029T14Z,3020
20191029T13Z,2602
20191029T12Z,2300
20191029T11Z,2184
20191029T10Z,2136
20191029T09Z,2118
20191029T08Z,2137
20191029T07Z,2189
20191029T06Z,2319
20191029T05Z,2502
20191029T04Z,2633
20191029T03Z,2697
20191029T02Z,2678
20191029T01Z,2479
20191029T00Z,2383
20191028T23Z,2360
20191028T22Z,2390
20191028T21Z,2453
20191028T20Z,2559
20191028T19Z,2694
20191028T18Z,2878
20191028T17Z,3039
20191028T16Z,3150
20191028T15Z,3164
20191028T14Z,2939
20191028T13Z,2508
20191028T12Z,2241
20191028T11Z,2093
20191028T10Z,2028
20191028T09Z,2015
20191028T08Z,2002
20191028T07Z,2031
20191028T06Z,2166
20191028T05Z,2329
20191028T04Z,2444
20191028T03Z,2479
20191028T02Z,2449
20191028T01Z,2242
20191028T00Z,2111
20191027T23Z,2077
20191027T22Z,2071
20191027T21Z,2131
20191027T20Z,2225
20191027T19Z,2314
20191027T18Z,2452
20191027T17Z,2575
20191027T16Z,2622
20191027T15Z,2468
20191027T14Z,2286
20191027T13Z,2118
20191027T12Z,1991
20191027T11Z,1916
20191027T10Z,1899
20191027T09Z,1875
20191027T08Z,1898
20191027T07Z,1973
20191027T06Z,2076
20191027T05Z,2180
20191027T04Z,2258
20191027T03Z,2322
20191027T02Z,2293
20191027T01Z,2191
20191027T00Z,2086
20191026T23Z,2066
20191026T22Z,2104
20191026T21Z,2078
20191026T20Z,2157
20191026T19Z,2205
20191026T18Z,2305
20191026T17Z,2367
20191026T16Z,2376
20191026T15Z,2225
20191026T14Z,2036
20191026T13Z,1875
20191026T12Z,1763
20191026T11Z,1724
20191026T10Z,1712
20191026T09Z,1737
20191026T08Z,1790
20191026T07Z,1868
20191026T06Z,2009
20191026T05Z,2128
20191026T04Z,2231
20191026T03Z,2292
20191026T02Z,2308
20191026T01Z,2253
20191026T00Z,2260
20191025T23Z,2188
20191025T22Z,2236
20191025T21Z,2358
20191025T20Z,2395
20191025T19Z,2386
20191025T18Z,2446
20191025T17Z,2521
20191025T16Z,2605
20191025T15Z,2632
20191025T14Z,2430
20191025T13Z,2107
20191025T12Z,1862
20191025T11Z,1780
20191025T10Z,1770
20191025T09Z,1798
20191025T08Z,1826
20191025T07Z,1920
20191025T06Z,2059
20191025T05Z,2222
20191025T04Z,2340
20191025T03Z,2400
20191025T02Z,2385
20191025T01Z,2254
20191025T00Z,2244
20191024T23Z,2220
20191024T22Z,2248
20191024T21Z,2291
20191024T20Z,2340
20191024T19Z,2402
20191024T18Z,2513
20191024T17Z,2638
20191024T16Z,2741
20191024T15Z,2804
20191024T14Z,2563
20191024T13Z,2133
20191024T12Z,1965
20191024T11Z,1867
20191024T10Z,1829
20191024T09Z,1846
20191024T08Z,1885
20191024T07Z,1964
20191024T06Z,2100
20191024T05Z,2262
20191024T04Z,2375
20191024T03Z,2451
20191024T02Z,2406
20191024T01Z,2273
20191024T00Z,2222
20191023T23Z,2197
20191023T22Z,2228
20191023T21Z,2256
20191023T20Z,2306
20191023T19Z,2370
20191023T18Z,2443
20191023T17Z,2566
20191023T16Z,2603
20191023T15Z,2640
20191023T14Z,2447
20191023T13Z,2080
20191023T12Z,1845
20191023T11Z,1747
20191023T10Z,1718
20191023T09Z,1733
20191023T08Z,1781
20191023T07Z,1861
20191023T06Z,2005
20191023T05Z,2176
20191023T04Z,2305
20191023T03Z,2380
20191023T02Z,2368
20191023T01Z,2259
20191023T00Z,2212
20191022T23Z,2220
20191022T22Z,2232
20191022T21Z,2227
20191022T20Z,1846
20191022T19Z,2332
20191022T18Z,2383
20191022T17Z,2461
20191022T16Z,2510
20191022T15Z,2548
20191022T14Z,2361
20191022T13Z,2016
20191022T12Z,1802
20191022T11Z,1724
20191022T10Z,1697
20191022T09Z,1720
20191022T08Z,1780
20191022T07Z,1882
20191022T06Z,2025
20191022T05Z,2211
20191022T04Z,2350
20191022T03Z,2458
20191022T02Z,2468
20191022T01Z,2361
20191022T00Z,2296
20191021T23Z,2276
20191021T22Z,2295
20191021T21Z,2345
20191021T20Z,2370
20191021T19Z,2409
20191021T18Z,2464
20191021T17Z,2524
20191021T16Z,2567
20191021T15Z,2585
20191021T14Z,2396
20191021T13Z,2066
20191021T12Z,1828
20191021T11Z,1735
20191021T10Z,1706
20191021T09Z,1726
20191021T08Z,1753
20191021T07Z,1825
20191021T06Z,1973
20191021T05Z,2131
20191021T04Z,2265
20191021T03Z,2346
20191021T02Z,2337
20191021T01Z,2215
20191021T00Z,2152
20191020T23Z,2136
20191020T22Z,2172
20191020T21Z,2245
20191020T20Z,2308
20191020T19Z,2348
20191020T18Z,2369
20191020T17Z,2364
20191020T16Z,2302
20191020T15Z,2174
20191020T14Z,2018
20191020T13Z,1862
20191020T12Z,1804
20191020T11Z,1762
20191020T10Z,1756
20191020T09Z,1763
20191020T08Z,1802
20191020T07Z,1890
20191020T06Z,2027
20191020T05Z,2115
20191020T04Z,2217
20191020T03Z,2278
20191020T02Z,2283
20191020T01Z,2190
20191020T00Z,2132
20191019T23Z,2128
20191019T22Z,2148
20191019T21Z,2197
20191019T20Z,2264
20191019T19Z,2309
20191019T18Z,2327
20191019T17Z,2325
20191019T16Z,2241
20191019T15Z,2112
20191019T14Z,1957
20191019T13Z,1818
20191019T12Z,1752
20191019T11Z,1732
20191019T10Z,1718
20191019T09Z,1759
20191019T08Z,2067
20191019T07Z,1899
20191019T06Z,2026
20191019T05Z,2163
20191019T04Z,2261
20191019T03Z,2331
20191019T02Z,2355
20191019T01Z,2289
20191019T00Z,2239
20191018T23Z,2226
20191018T22Z,2248
20191018T21Z,2273
20191018T20Z,2327
20191018T19Z,2357
20191018T18Z,2437
20191018T17Z,2473
20191018T16Z,2539
20191018T15Z,2520
20191018T14Z,2342
20191018T13Z,2047
20191018T12Z,1842
20191018T11Z,1766
20191018T10Z,1765
20191018T09Z,1782
20191018T08Z,1850
20191018T07Z,1922
20191018T06Z,2089
20191018T05Z,2304
20191018T04Z,2477
20191018T03Z,2486
20191018T02Z,2475
20191018T01Z,2372
20191018T00Z,2320
20191017T23Z,2267
20191017T22Z,2313
20191017T21Z,2333
20191017T20Z,2382
20191017T19Z,2420
20191017T18Z,2471
20191017T17Z,2499
20191017T16Z,2531
20191017T15Z,2524
20191017T14Z,2345
20191017T13Z,2019
20191017T12Z,1809
20191017T11Z,1715
20191017T10Z,1729
20191017T09Z,1762
20191017T08Z,1825
20191017T07Z,1915
20191017T06Z,2070
20191017T05Z,2233
20191017T04Z,2387
20191017T03Z,2466
20191017T02Z,2489
20191017T01Z,2396
20191017T00Z,2355
20191016T23Z,2342
20191016T22Z,2350
20191016T21Z,2378
20191016T20Z,2370
20191016T19Z,2429
20191016T18Z,2499
20191016T17Z,2485
20191016T16Z,2528
20191016T15Z,2533
20191016T14Z,2381
20191016T13Z,2063
20191016T12Z,1851
20191016T11Z,1768
20191016T10Z,1748
20191016T09Z,1767
20191016T08Z,1824
20191016T07Z,1900
20191016T06Z,2042
20191016T05Z,2240
20191016T04Z,2392
20191016T03Z,2476
20191016T02Z,2447
20191016T01Z,2358
20191016T00Z,2305
20191015T23Z,2277
20191015T22Z,2302
20191015T21Z,2326
20191015T20Z,2365
20191015T19Z,2399
20191015T18Z,2494
20191015T17Z,2600
20191015T16Z,2682
20191015T15Z,2727
20191015T14Z,2536
20191015T13Z,2190
20191015T12Z,1948
20191015T11Z,1842
20191015T10Z,1807
20191015T09Z,1813
20191015T08Z,1855
20191015T07Z,1911
20191015T06Z,2048
20191015T05Z,2229
20191015T04Z,2363
20191015T03Z,2460
20191015T02Z,2394
20191015T01Z,2306
20191015T00Z,2253
20191014T23Z,2262
20191014T22Z,2255
20191014T21Z,2303
20191014T20Z,2363
20191014T19Z,2415
20191014T18Z,2512
20191014T17Z,2588
20191014T16Z,2653
20191014T15Z,2677
20191014T14Z,2471
20191014T13Z,2109
20191014T12Z,1854
20191014T11Z,1756
20191014T10Z,1711
20191014T09Z,1708
20191014T08Z,1732
20191014T07Z,1776
20191014T06Z,1921
20191014T05Z,2108
20191014T04Z,2219
20191014T03Z,2266
20191014T02Z,2216
20191014T01Z,2109
20191014T00Z,2046
20191013T23Z,2009
20191013T22Z,2028
20191013T21Z,2042
20191013T20Z,2080
20191013T19Z,2128
20191013T18Z,2213
20191013T17Z,2298
20191013T16Z,2292
20191013T15Z,2137
20191013T14Z,1983
20191013T13Z,1852
20191013T12Z,1769
20191013T11Z,1720
20191013T10Z,1715
20191013T09Z,1740
20191013T08Z,1766
20191013T07Z,1849
20191013T06Z,1945
20191013T05Z,2073
20191013T04Z,2159
20191013T03Z,2205
20191013T02Z,2207
20191013T01Z,2123
20191013T00Z,2067
20191012T23Z,2059
20191012T22Z,2061
20191012T21Z,2116
20191012T20Z,2171
20191012T19Z,2270
20191012T18Z,2403
20191012T17Z,2499
20191012T16Z,2563
20191012T15Z,2460
20191012T14Z,2298
20191012T13Z,2120
20191012T12Z,2000
20191012T11Z,1921
20191012T10Z,1906
20191012T09Z,1898
20191012T08Z,1935
20191012T07Z,2014
20191012T06Z,2133
20191012T05Z,2308
20191012T04Z,2342
20191012T03Z,2373
20191012T02Z,2342
20191012T01Z,2248
20191012T00Z,2223
20191011T23Z,2211
20191011T22Z,2241
20191011T21Z,2304
20191011T20Z,2367
20191011T19Z,2463
20191011T18Z,2610
20191011T17Z,2741
20191011T16Z,2874
20191011T15Z,2911
20191011T14Z,2696
20191011T13Z,2370
20191011T12Z,2131
20191011T11Z,2005
20191011T10Z,1969
20191011T09Z,1963
20191011T08Z,1993
20191011T07Z,2056
20191011T06Z,2200
20191011T05Z,2333
20191011T04Z,2457
20191011T03Z,2496
20191011T02Z,2394
20191011T01Z,2286
20191011T00Z,2228
20191010T23Z,2218
20191010T22Z,2271
20191010T21Z,2341
20191010T20Z,2392
20191010T19Z,2474
20191010T18Z,2610
20191010T17Z,2795
20191010T16Z,2959
20191010T15Z,3041
20191010T14Z,2851
20191010T13Z,2472
20191010T12Z,2213
20191010T11Z,2076
20191010T10Z,2044
20191010T09Z,2012
20191010T08Z,2042
20191010T07Z,2123
20191010T06Z,2265
20191010T05Z,2435
20191010T04Z,2548
20191010T03Z,2608
20191010T02Z,2478
20191010T01Z,5935
20191010T00Z,2270
20191009T23Z,2256
20191009T22Z,2283
20191009T21Z,2324
20191009T20Z,2368
20191009T19Z,2442
20191009T18Z,2543
20191009T17Z,2651
20191009T16Z,2795
20191009T15Z,2853
20191009T14Z,2633
20191009T13Z,2279
20191009T12Z,1994
20191009T11Z,1882
20191009T10Z,1842
20191009T09Z,1818
20191009T08Z,1876
20191009T07Z,1948
20191009T06Z,2099
20191009T05Z,2261
20191009T04Z,2403
20191009T03Z,2472
20191009T02Z,2374
20191009T01Z,2275
20191009T00Z,2224
20191008T23Z,2199
20191008T22Z,2206
20191008T21Z,2255
20191008T20Z,2254
20191008T19Z,2274
20191008T18Z,2301
20191008T17Z,2312
20191008T16Z,66675
20191008T15Z,2368
20191008T14Z,2184
20191008T13Z,1878
20191008T12Z,1676
20191008T11Z,1612
20191008T10Z,1614
20191008T09Z,1633
20191008T08Z,1703
20191008T07Z,1783
20191008T06Z,1941
20191008T05Z,2141
20191008T04Z,2329
20191008T03Z,2417
20191008T02Z,2361
20191008T01Z,2299
20191008T00Z,2251
20191007T23Z,2235
20191007T22Z,2238
20191007T21Z,2256
20191007T20Z,2299
20191007T19Z,2697
20191007T18Z,2351
20191007T17Z,2402
20191007T16Z,2509
20191007T15Z,2572
20191007T14Z,2389
20191007T13Z,2021
20191007T12Z,1794
20191007T11Z,1672
20191007T10Z,1640
20191007T09Z,1638
20191007T08Z,1659
20191007T07Z,1732
20191007T06Z,1889
20191007T05Z,2071
20191007T04Z,2188
20191007T03Z,2274
20191007T02Z,2176
20191007T01Z,2063
20191007T00Z,1978
20191006T23Z,1899
20191006T22Z,1901
20191006T21Z,1926
20191006T20Z,1972
20191006T19Z,2049
20191006T18Z,2113
20191006T17Z,2204
20191006T16Z,2229
20191006T15Z,2158
20191006T14Z,1984
20191006T13Z,1831
20191006T12Z,1713
20191006T11Z,1676
20191006T10Z,1649
20191006T09Z,1666
20191006T08Z,1708
20191006T07Z,1788
20191006T06Z,1910
20191006T05Z,2019
20191006T04Z,2104
20191006T03Z,2144
20191006T02Z,2099
20191006T01Z,2040
20191006T00Z,2006
20191005T23Z,2000
20191005T22Z,1979
20191005T21Z,2023
20191005T20Z,2066
20191005T19Z,2240
20191005T18Z,2308
20191005T17Z,2321
20191005T16Z,2315
20191005T15Z,2217
